Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423),S(422),C7H9O(956),S(1059),C5H8(381),C7H8(253),S(1058)
0.0,0.0015804471457083473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.347916933920758e-20,0.0015804471457083473,1.1492209344557642e-24,2.208712172097273e-37,5.3767746211696326e-38,1.7448505969999168e-55,1.7478922159565263e-56,0.0,0.0,5.9616690210660922e-23,1.5222791792985931e-38,2.0352110785811093e-44,9.449194286787858e-46,1.7456308187778671e-42,3.4921132150550559e-100,1.0062491437125977e-75,3.7118007089341385e-66,9.4491942867885954e-46,1.7456308187921447e-42,6.907419737961376e-87,1.6547449019672264e-80,8.6711547449002093e-45,1.6104552817288004e-55,4.0408258238897156e-78,2.6570697860814328e-76,2.0352110771532619e-44,1.5190619411307183e-56,1.8129791961952959e-31,1.6309032560107613e-30,2.4249715302387065e-76,8.2787739653791052e-81,1.2256980115774343e-48,1.001355143991998e-58,1.0748071196269046e-61,3.6319239264547598e-43,2.1135640676065871e-76,0.35999999999999999,0.0,0.0098899999999993941,0.108803,5.2392056909076104e-23,2.1782187542144691e-22,2.521548749441867e-29,1.1253685731435263e-57,0.0,8.4642074847058307e-34,4.0097491382611177e-44,8.2453240032691835e-46,6.1336994185380384e-30,2.1533996785745273e-48,0.0,3.6891846369316716e-53,0.0,0.0,0.0,0.0,2.9113498105840526e-16,2.9113498946577738e-16,2.1928079938295578e-17,3.6168537312932691e-26,2.6652140853255571e-27,1.8122011756249066e-30,1.6165552854632674e-41,4.6343517934627767e-42,2.8886035738896994e-42,2.4238228987219293e-52,4.87142031032175e-63,1.7469394587057314e-46,2.3925330351474721e-44,7.9155501405335769e-64
9.374167414978122e-20,0.0015804471457083473,3.2178186413984773e-24,7.9264821467120194e-37,3.247571892174896e-37,2.1150307646450093e-54,2.6414257957159078e-55,0.0,0.0,1.6692677454971e-22,9.1945682358301902e-38,1.2292674922400713e-43,5.707313348964372e-45,1.0543610144863221e-41,1.0979763111061761e-98,1.7381145778372841e-74,8.303146033566802e-65,5.7073133489652482e-45,1.0543610145032732e-41,1.545183763153661e-85,1.9655511241436549e-79,5.2373774656852693e-44,1.9119325150325598e-54,1.4698563739021133e-76,8.3542534592124035e-75,1.2292674905449304e-43,1.8034303364363039e-55,5.0763417490744926e-31,9.8506556885255908e-30,7.6244985400310521e-75,5.0363822616635044e-79,1.4551486823503433e-47,1.1888088268761024e-57,1.276011012363646e-60,2.1936820514802699e-42,6.6469976875244346e-75,0.35999999999999999,0.0,0.0098899999999983081,0.108803,1.4669775934165406e-22,6.0990125118003953e-22,1.5230154442453265e-28,2.3992455352929725e-56,0.0,5.1123813206389916e-33,2.4218884668593e-43,4.9801756979672895e-45,3.7047544487772209e-29,2.5565161100402191e-47,0.0,4.3798000009438938e-52,0.0,0.0,0.0,0.0,8.1517794684612428e-16,8.1517797049540636e-16,6.1398623827219028e-17,2.184579652862421e-25,1.6097893047504904e-26,1.0358289863361031e-29,1.919174713777131e-40,5.2315110101588182e-41,3.2608144731342228e-41,2.8775625315387096e-51,1.0897172306067335e-61,1.9720412850240902e-45,2.8404152189284982e-43,1.7706768891322601e-62
2.142666837709285e-19,0.0015804471457083475,7.355014154973257e-24,2.633037452320766e-36,1.563566091318787e-36,2.095630627824931e-53,2.8415499782126368e-54,0.0,0.0,3.8154711106724574e-22,4.4267908408630256e-37,5.9183938281700848e-43,2.7478256982146684e-44,5.0762944201733958e-41,2.4495248977396767e-97,2.6707262936233432e-73,1.6405613275668236e-63,2.7478256982155276e-44,5.0762944203398237e-41,3.0530971645977092e-84,1.9318729015118542e-78,2.5215717994652956e-43,1.8771466893563913e-53,4.7236713516875294e-75,1.8637887917102392e-73,5.918393811527095e-43,1.7706185983523051e-54,1.1603066853743539e-30,4.7426667018101794e-29,1.7009837221042925e-73,2.2736638401064152e-77,1.4286736116120741e-46,1.1671795556163601e-56,1.2527951784591341e-59,1.0561634776654383e-41,1.4843138767183123e-73,0.35999999999999999,0.0,0.0098899999999961328,0.108803,3.3530916419177388e-22,1.3940600026971776e-21,7.3326637571135303e-28,4.6076659359608804e-55,0.0,2.461391536367459e-32,1.1660350304307105e-42,2.3977402201397324e-44,1.7836797908808437e-28,2.5100026848647696e-46,0.0,4.3001136127404203e-51,0.0,0.0,0.0,0.0,1.8632638779519206e-15,1.8632639325195826e-15,1.4033971160503159e-16,1.0517810638020133e-24,7.750442518334525e-26,4.8586973702727289e-29,1.8842572488079839e-39,4.9962132825263701e-40,3.114152785504522e-40,2.8252079278959911e-50,2.1530975837844422e-60,1.88334478600159e-44,2.7887365045317509e-42,3.4985590830352287e-61
4.55316703013223e-19,0.0015804471457083473,1.5629405580880234e-23,9.1011570328523803e-36,6.8285040942062343e-36,1.8611395859150213e-52,2.6119193734646267e-53,0.0,0.0,8.1078845546006802e-22,1.9332976438966799e-36,2.5847180818427677e-42,1.2000476740260423e-43,2.2169511389874953e-40,4.5876899090568124e-96,4.0160097580894025e-72,2.9192908848278128e-62,1.2000476740268026e-43,2.2169511391346985e-40,5.4330649336435878e-83,1.7123970295925283e-77,1.1012366522389187e-42,1.660315003409124e-52,1.4465432263572083e-73,3.490673107825805e-72,2.5847180671222311e-42,1.5660920983458393e-53,2.4656517058724242e-30,2.0712471695755809e-28,3.1857544091245023e-72,8.5849231202063746e-76,1.2636456415824601e-45,1.0323570987864929e-55,1.1080831476767822e-58,4.6125433850722843e-41,2.7851627527097603e-72,0.35999999999999999,0.0,0.0098899999999917821,0.108803,7.125319738318692e-22,2.9623775057312639e-21,3.2023669053189708e-27,8.0816693835083282e-54,0.0,1.0749543503664773e-31,5.092381209510191e-42,1.047156148403876e-43,7.7897982612313202e-28,2.220068958343026e-45,0.0,3.8034017931492545e-50,0.0,0.0,0.0,0.0,3.9594357382849472e-15,3.9594358564276081e-15,2.9822188716051938e-16,4.5934042257424041e-24,3.3848218451781891e-25,2.0959036865662652e-28,1.6666042724949406e-38,4.3587245654180625e-39,2.7168044041929077e-39,2.4988643656723551e-49,3.8313220005403036e-59,1.6430406236480781e-43,2.4666058553191958e-41,6.2254987274582091e-60
9.37416741497812e-19,0.0015804471457083473,3.2178190027723826e-23,3.3186761689453752e-35,2.8507661969328607e-35,1.5674048299076101e-51,2.234629712619721e-52,0.0,0.0,1.6692738296767119e-21,8.0711519806552948e-36,1.0790689247039873e-41,5.0099628072907829e-43,9.2553345934166871e-40,7.9240986905060379e-95,6.1363052255164568e-71,4.923810545810952e-61,5.0099628072971743e-43,9.2553345946540219e-40,9.1644548436028855e-82,1.4455513906420322e-76,4.5974462424754197e-42,1.3955948263937539e-51,4.4511212022442849e-72,6.0292799504633707e-71,1.0790689123304896e-41,1.3163947723178186e-52,5.0763417451256123e-30,8.6470493733462833e-28,5.5025990144196159e-71,2.9785093857566755e-74,1.0621703211642116e-44,8.6775834526024505e-55,9.3141065227663405e-58,1.9256460644335804e-40,4.8286016118225716e-71,0.35999999999999999,0.0,0.0098899999999830825,0.108803,1.4669775928714827e-21,6.0990125117986793e-21,1.3369251411290976e-26,1.3532726080497051e-52,0.0,4.4877228066705653e-31,2.1259688166327676e-41,4.3716707864315288e-43,3.2520874314273084e-27,1.8661017407118829e-44,0.0,3.1969883791527532e-49,0.0,0.0,0.0,0.0,8.1517794514367352e-15,8.1517797036823555e-15,6.1398623827094571e-16,1.9176558366316498e-23,1.4130964691728695e-24,8.6978127902181675e-28,1.4008813760004396e-37,3.6388589961032227e-38,2.2681103161573441e-38,2.1004459795912149e-48,6.4620841796679225e-58,1.3716841615839136e-42,2.0733308430190698e-40,1.0500212753845562e-58
1.9016168184669904e-18,0.001580447145708347,6.5275765301529639e-23,1.2595544158167474e-34,1.1646311379382786e-34,1.2862494012877193e-50,1.8477635628024987e-51,0.0,0.0,3.3862553198339766e-21,3.2973411056505213e-35,4.4083486964308916e-41,2.0467332762777597e-42,3.7811061721493939e-39,1.3166040874853627e-93,9.5500794055093419e-70,8.0873736291430567e-60,2.0467332762830003e-42,3.7811061731638366e-39,1.50552473724334e-80,1.1952801631989976e-75,1.8782067995951973e-41,1.1441929971567215e-50,1.3892031338873445e-70,1.001777276711911e-69,4.4083485949854822e-41,1.0792599667982096e-51,1.0297721816660171e-29,3.5326019510969327e-27,9.1426522672146786e-70,9.9196847955733903e-73,8.7083143416264614e-44,7.1144071845517748e-54,7.6362672560089792e-57,7.8668924900355977e-40,8.082314263967118e-70,0.35999999999999999,0.0,0.0098899999999656815,0.108803,2.9758688299884011e-21,1.237228252393048e-20,5.4617754039228956e-26,2.2147295877432094e-51,0.0,1.8333811965605606e-30,8.6852755292988392e-41,1.7859701603179346e-42,1.3285838286143063e-26,1.5299429710523923e-43,0.0,2.6210842269038754e-48,0.0,0.0,0.0,0.0,1.6536466847683247e-14,1.6536467395946621e-14,1.2455149404896009e-15,7.8342497570701247e-23,5.7729599883068363e-24,3.5428996724355661e-27,1.1485272722987072e-36,2.9732451834062528e-37,1.8532314902421652e-37,1.7220723739651421e-47,1.0613991447294399e-56,1.1207781713514317e-41,1.6998418863334753e-39,1.7246628389479634e-57
3.8300169724053465e-18,0.0015804471457083473,1.3147094136961571e-22,4.8988275245711476e-34,4.7076263051476094e-34,1.0421160562826943e-49,1.5027796431868519e-50,0.0,0.0,6.8202612670442535e-21,1.3328478308807985e-34,1.7819250649268604e-40,8.273223134586032e-42,1.5283835667263074e-38,2.1464172574667796e-92,1.5050480793523452e-68,1.3109981845001036e-58,8.2732231346284719e-42,1.5283835675478286e-38,2.4413631733682557e-79,9.8437517564794516e-75,7.592012171809251e-41,9.2659721937813688e-50,4.3835052074506289e-69,1.6331608652257001e-68,1.7819249827737376e-40,8.7401270157006248e-51,2.0740481931842025e-29,1.4279342998778451e-26,1.4904836244867602e-68,3.2379535725757107e-71,7.0522192382082863e-43,5.7614313795246648e-53,6.1840471978473941e-56,3.1799237203991931e-39,1.3370243308932929e-68,0.35999999999999999,0.0,0.0098899999999308794,0.108803,5.9936513003730003e-21,2.4918822548181956e-20,2.2077369239081585e-25,3.583684662643936e-50,0.0,7.4108199228370071e-30,3.510726609455603e-40,7.2191769397053972e-42,5.3703482565372839e-26,1.2389875146905745e-42,0.0,2.1226219627755188e-47,0.0,0.0,0.0,0.0,3.3305841519948014e-14,3.3305842771494236e-14,2.5085723449181214e-15,3.1667289692412355e-22,2.3335225912905957e-23,1.4300083476826936e-26,9.301072873239271e-36,2.4037375992485926e-36,1.4982559284229529e-36,1.3945786234213372e-46,1.720573356136569e-55,9.0609990081885924e-41,1.376576024213188e-38,2.7957519433546903e-56
7.686817280282059e-18,0.0015804471457083473,2.6386139558768547e-22,1.9312977287713879e-33,1.8929166664436971e-33,8.3897778335398178e-49,1.2123833610922223e-49,0.0,0.0,1.3688445029046517e-20,5.3594016083978758e-34,7.165042622955147e-40,3.3266266253070049e-41,6.1455630789968784e-38,3.4665981097038639e-91,2.3890842808183311e-67,2.111322429548463e-57,3.3266266253411623e-41,6.1455630856091939e-38,3.9344534921568889e-78,8.1872108418926158e-74,3.0527146940850923e-40,7.4580615903727959e-49,1.392341412460514e-67,2.637594909962438e-67,7.1650419617153462e-40,7.0348145760215259e-50,4.1626002050656676e-29,5.7416618999762995e-26,2.4071368316266781e-67,1.0464527376053416e-69,5.676240386769347e-42,4.6373011881457176e-52,4.9774591692128309e-55,1.2786333382495417e-38,2.2219673091448879e-67,0.35999999999999999,0.0,0.0098899999998612754,0.108803,1.2029216225745254e-20,5.001190259663643e-20,8.8772129053071419e-25,5.7661976132205805e-49,0.0,2.9798580921017197e-29,1.411647226225119e-39,2.9027992960719094e-41,2.1593934134997485e-25,9.9724498991885741e-42,0.0,1.7084708189851618e-46,0.0,0.0,0.0,0.0,6.6844590383564546e-14,6.6844593486665845e-14,5.0346871537400056e-15,1.2733277574232322e-21,9.3829906003716239e-23,5.7458244970508126e-26,7.48631459383517e-35,1.9331019145134141e-35,1.2049074811272635e-35,1.1224778270397338e-45,2.7709290713918016e-54,7.2869191258997574e-40,1.1079881328818335e-37,4.5024696130514727e-55
1.5400417896035483e-17,0.0015804471457083473,5.2864271235141395e-22,7.6683735012487002e-33,7.5914491498444892e-33,6.7330556262621823e-48,9.7439386332869059e-49,0.0,0.0,2.7425500023367613e-20,2.1494231965252209e-33,2.8735028038512131e-39,1.3341260556169862e-40,2.4646456440117698e-37,5.5732730047907185e-90,3.8070927689730681e-66,3.3891409904847412e-56,1.3341260556443953e-40,2.4646456493177377e-37,6.3243795888860485e-77,6.9935731127994559e-73,1.2242751208569726e-39,5.9846264149605791e-48,4.4385040471141916e-66,4.239971717486277e-66,2.8735022732479204e-39,5.6449956278846609e-49,8.3397041842089785e-29,2.3026639322416608e-25,3.8694079302560361e-66,3.3652486462585913e-68,4.5548267406642948e-41,3.7211421254888728e-51,3.9940974888892509e-54,5.1278915377540076e-38,3.7732242659535971e-66,0.35999999999999999,0.0,0.0098899999997220673,0.108803,2.4100346014902008e-20,1.0019806269335144e-19,3.5601592849884657e-24,9.2518441162308782e-48,0.0,1.1950563684124322e-28,5.6613327197049207e-39,1.16415234836399e-40,8.6601333939934444e-25,8.0022637808883816e-41,0.0,1.3709402355486419e-45,0.0,0.0,0.0,0.0,1.3392208618714589e-13,1.3392209477331465e-13,1.008691677124314e-14,5.1066135496997541e-21,3.7629980072210759e-22,2.303497900146053e-25,6.0072991378696483e-34,1.5505371194678173e-34,9.6645385165703297e-35,9.0071716368791479e-45,4.447950730173956e-53,5.8448276729420765e-39,8.8909068062979684e-37,7.2274521961552561e-54
