Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423),S(422),C7H9O(956),S(1059)
0.0,0.0021304619959295096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6512634112665193e-20,0.0021304619959295096,1.5216286460826566e-24,2.1326885642914777e-37,7.1540067518669788e-38,3.1193483425108124e-55,2.2293734743231183e-56,0.0,0.0,5.5963250701710584e-23,1.4348933591793322e-38,4.5467663922277731e-67,7.0234168185745627e-66,5.5015466019583196e-65,-4.8496291477393876e-108,4.4684158025257151e-76,7.0023068334555261e-66,2.1109988621786872e-68,3.9274280262282455e-65,3.2955195097967899e-113,1.198025268926555e-102,6.1530024573061924e-67,2.9478346746190154e-55,4.9692732852963528e-78,5.7861411524329939e-99,4.5467663872965375e-67,1.0541093055876371e-81,3.9503162489868345e-54,2.4872554445353021e-30,4.4684158026094863e-76,1.5368249985683444e-80,1.8014173791462049e-48,2.3769610784071503e-81,2.3089076054270355e-84,8.1307600119314163e-66,2.0359122492508581e-79,0.35999999999999999,0.0,0.0098899999999994027,0.108803,4.9473859757940186e-23,1.1470703307538745e-35,3.0806046175477981e-29,1.2524933841382082e-57,0.0,7.8321491732205046e-34,3.8848153811303502e-44,3.200726736089487e-48,6.0253914289907931e-30,2.0067757263270636e-48,0.0,3.4706534235086834e-53,0.0,0.0,0.0,0.0,2.843016770539703e-16,2.8430168509501154e-16,2.9070745717570182e-17,3.208151063725732e-26,2.0811336959691719e-27,2.4872554445271462e-30,1.4396504504328194e-41,4.9543629153162386e-42,3.2015353050866798e-42,2.4375198206721984e-52,4.1485588992026889e-63
1.3023537551546254e-19,0.0021304619959295096,4.2605602399147094e-24,8.2894274524370994e-37,4.3210201042635186e-37,3.7588608537298309e-54,3.3690440274986543e-55,0.0,0.0,1.566971433173052e-22,8.6667578586939192e-38,1.0170934579398492e-65,1.5711102518164415e-64,1.2306739712142245e-63,2.5131694223139446e-106,1.4049414307129597e-74,1.5663880327160429e-64,4.7222201914852978e-67,8.7854994159780662e-64,2.9134678353902849e-111,4.9472041928898115e-101,1.3764020404958925e-65,3.4996693330797185e-54,1.9442915478793351e-76,6.5813182575715459e-97,1.0170934559049608e-65,4.349811573472267e-80,4.6898154610915528e-53,1.5023022920302493e-29,1.4049414307612063e-74,9.3492565247850411e-79,2.1386427171250066e-47,9.8085964648494181e-80,9.5277719026757096e-83,1.8188184954447083e-64,9.7257971761945516e-78,0.35999999999999999,0.0,0.0098899999999983255,0.108803,1.385268073187252e-22,6.9283050082357288e-35,1.8606851884254154e-28,2.8018165543730911e-56,0.0,4.73061810050888e-33,2.3464284774079691e-43,1.9332389646454216e-47,3.6393364230975152e-29,2.3824441513822709e-47,0.0,4.1203597443761097e-52,0.0,0.0,0.0,0.0,7.9604469564693157e-16,7.9604471825915847e-16,8.1398088009183152e-17,1.937723241670883e-25,1.2570047500592697e-26,1.5023022920205666e-29,1.7091532701471611e-40,5.8818196458864925e-41,3.8008627093682936e-41,2.8938235166079973e-51,9.2801602504042576e-62
2.976808583210572e-19,0.0021304619959295096,9.7384235511118998e-24,2.9874503327499123e-36,2.0803852026467137e-36,3.7148226761842874e-53,3.6242968189733495e-54,0.0,0.0,3.581650939585564e-22,4.1726728406338054e-37,2.0096052912161649e-64,3.1042491165697844e-63,2.4316043917985485e-62,2.6376736139458777e-104,3.1343471009966296e-73,3.0949188073966906e-63,9.3303115403597136e-66,1.7358666442240996e-62,3.0010285698947503e-109,1.959879961284207e-99,2.7195385005669793e-64,3.435996119589195e-53,7.1045931434902662e-75,5.9580446228238399e-95,2.009605283166349e-64,1.7207422089650597e-78,4.6044886516928502e-52,7.2329388856725621e-29,3.1343471012129854e-73,4.2207015238519182e-77,2.0997321114009999e-46,3.8801832359814635e-78,3.7690918315116516e-81,3.5936788663389306e-63,5.064202503745378e-76,0.35999999999999999,0.0,0.0098899999999961744,0.108803,3.1663270242626611e-22,3.3356808375557607e-34,8.9583982192271827e-28,5.5359518412540805e-55,0.0,2.277588979398066e-32,1.1297042936405631e-42,9.3077135892587998e-47,1.7521838275307575e-28,2.3390978022969519e-46,0.0,4.045393630399396e-51,0.0,0.0,0.0,0.0,1.8195307324161138e-15,1.8195307845599577e-15,1.8605277259235577e-16,9.3293032810225377e-25,6.0519367532867025e-26,7.2329388855774969e-29,1.6780569383574057e-39,5.7748053918440754e-40,3.7317095366341371e-40,2.8411730580440006e-50,1.8336032534030414e-60
6.325718239322466e-19,0.0021304619959295096,2.0694150667638621e-23,1.1013104914540188e-35,9.0855889799769589e-36,3.2953895966467586e-52,3.3314139552295672e-53,0.0,0.0,7.6110165688130687e-22,1.8223176158927578e-36,3.5759852902227708e-63,5.52384549252641e-62,4.3269101343293681e-61,2.1059026499659977e-102,5.8702854391464638e-72,5.5072427054990615e-62,1.6602791198745182e-64,3.0888819748265991e-61,3.0670241455587925e-107,7.0147236049635212e-98,4.8392735007304619e-63,3.0390996841370892e-52,2.4068547297835011e-73,4.5156709685754174e-93,3.5759852614935478e-63,6.1412067740343186e-77,4.072618106959041e-51,3.1588144692892007e-28,5.8702854399604495e-72,1.593656756025184e-75,1.8571892911677764e-45,1.3848098481666775e-76,1.3451621147349154e-79,6.394759591990166e-62,2.0209903415236612e-74,0.35999999999999999,0.0,0.0098899999999918706,0.108803,6.7284449258523182e-22,1.4567796463050298e-33,3.9123678553971618e-27,9.8509588105457616e-54,0.0,9.9468294481873254e-32,4.9337153357167405e-42,4.0649232035679058e-46,7.6522471146122989e-28,2.068905524258612e-45,0.0,3.5781048534108434e-50,0.0,0.0,0.0,0.0,3.8665028042875161e-15,3.8665029170515758e-15,3.9536214175848765e-16,4.0743518382300603e-24,2.6430397581361437e-25,3.1588144692051174e-28,1.4842224259635498e-38,5.1077499444525132e-39,3.3006548066848806e-39,2.512985339964032e-49,3.2627989202750373e-59
1.3023537551546255e-18,0.0021304619959295096,4.2605606877221448e-23,4.1898973043388665e-35,3.7930547444351814e-35,2.7738083279318449e-51,2.8501988035705006e-52,0.0,0.0,1.5669774292877975e-21,7.6078320345137954e-36,6.0314220285880504e-62,9.3167729706871647e-61,7.2979665084753107e-60,1.5000619613176216e-100,1.0139458961956569e-70,9.2887699421004996e-61,2.8003034878981386e-63,5.2098510269617745e-60,3.296611457950743e-105,2.3836629551355131e-96,8.1621422283811363e-62,2.554546450741006e-51,7.8974601763779771e-72,3.1399222697610153e-91,6.031421931518502e-62,2.0749750083496281e-75,3.4232809776693625e-50,1.3187428859490476e-27,1.0139458964775145e-70,5.5291367860490169e-74,1.5610795324518647e-44,4.6789595783205721e-75,4.5449988460931606e-78,1.0785696928248341e-60,7.1829166527781965e-73,0.35999999999999999,0.0,0.0098899999999832646,0.108803,1.3852680726786977e-21,6.0817698298855211e-33,1.6333365602241544e-26,1.6615105311539436e-52,0.0,4.1526054900190685e-31,2.0597289365883961e-41,1.6970255393354773e-45,3.1946625354647504e-27,1.7390397651294633e-44,0.0,3.0076127261944653e-49,0.0,0.0,0.0,0.0,7.96044694136247e-15,7.9604471815948937e-15,8.1398088008989771e-16,1.7009616825559258e-23,1.1034170534326213e-24,1.3187428858783699e-27,1.2475784378080869e-37,4.293371547839503e-38,2.7743992137688812e-38,2.1123155050883384e-48,5.5031869419128715e-58
2.641917617599383e-18,0.0021304619959295096,8.6428527202504549e-23,1.6300895586740881e-34,1.549586787172091e-34,2.2756623190996871e-50,2.3567715347260875e-51,0.0,0.0,3.1787395603447201e-21,3.1080596463273723e-35,9.9066293175975207e-61,1.5302828123954838e-59,1.1986932339711243e-58,1.0119972406302393e-98,1.68468650476486e-69,1.5256833060082309e-59,4.5995071289581499e-62,8.5571962711564803e-59,3.7688101451580959e-103,7.9260341305760345e-95,1.3406343600169628e-60,2.0943715961478268e-50,2.5565836742080205e-70,2.0937167147622882e-89,9.9066289984540676e-61,6.8220640970997469e-74,2.8066126782102234e-49,5.387495200119019e-27,1.6846865057026181e-69,1.8414341802994122e-72,1.2798673650027689e-43,1.538339595027217e-73,1.4942962359765513e-76,1.7715540244656919e-59,2.419404451848167e-71,0.35999999999999999,0.0,0.0098899999999660509,0.108803,2.8101152319677671e-21,2.4846027052328876e-32,6.6727127580625409e-26,2.7290380634410006e-51,0.0,1.6964748381425852e-30,8.4146639969545127e-41,6.9329040347943068e-45,1.3051238849271859e-26,1.425769885351204e-43,0.0,2.4658226250969917e-48,0.0,0.0,0.0,0.0,1.6148335188840975e-14,1.6148335708921855e-14,1.6512183567493037e-15,6.9489834332861476e-23,4.5078185584424304e-24,5.3874951995395614e-27,1.0228402520964828e-36,3.5199653148952858e-37,2.2746200473721514e-37,1.7318037211285847e-47,9.0389999672242136e-57
5.321045342488898e-18,0.0021304619959295096,1.7407439947754067e-22,6.4258199342275411e-34,6.2636788428135492e-34,1.8435003886498088e-49,1.9167672930911597e-50,0.0,0.0,6.4023061674341882e-21,1.2563371226050667e-34,1.6059074729683875e-59,2.4806545593307662e-58,1.9431335285363585e-57,6.6484117716251233e-97,2.7464649565674094e-68,2.4731985595235832e-58,7.456000025548621e-61,1.387158493198091e-57,4.5192409207758269e-101,2.6285702578655404e-93,2.1732262252848838e-59,1.6960765429353745e-49,8.2264085765209383e-69,1.3676046246588414e-87,1.6059073694549656e-59,2.2127202976810393e-72,2.2728678861316986e-48,2.1777118729991926e-26,2.7464649596268496e-68,6.0107529513512016e-71,1.0364698524772475e-42,4.9895679605422171e-72,4.8467143735251947e-75,2.871765626681639e-58,7.9407296271279287e-70,0.35999999999999999,0.0,0.0098899999999316254,0.108803,5.6598095469544581e-21,1.0043171788919222e-31,2.6972171559707846e-25,4.4238903607174865e-50,0.0,6.8574225330153351e-30,3.401341094243277e-40,2.8023914514120455e-44,5.27551941356961e-26,1.1546254469025162e-42,0.0,1.9968870923384474e-47,0.0,0.0,0.0,0.0,3.2524111577112401e-14,3.2524112756537091e-14,3.3256933100544586e-15,2.8088901679283719e-22,1.8221322211883279e-23,2.1777118725299319e-26,8.283226654050248e-36,2.8505590524260717e-36,1.8420462065351203e-36,1.4024593093743556e-46,1.465260486537199e-55
1.0679300792267929e-17,0.0021304619959295096,3.4936627052549231e-22,2.5511410412987604e-33,2.5185987526193775e-33,1.484054830471197e-48,1.5463936382819675e-49,0.0,0.0,1.2849608761514473e-20,5.0517544820763095e-34,2.5862650254791312e-58,3.9950182606102858e-57,3.1293570986216708e-56,4.3107823163425707e-95,4.435550698613352e-67,3.9830105971335955e-57,1.2007660628789822e-59,2.2339763187037453e-56,5.5841808046679822e-99,8.8405813870936836e-92,3.4999143409453683e-58,1.3651501568920329e-48,2.6395626088090142e-67,8.8422626140619335e-86,2.5862646919968063e-58,7.1285742193443435e-71,1.829402088239564e-47,8.7564850651981901e-26,4.4355507084984126e-67,1.9425747794635569e-69,8.3424123286425106e-42,1.6074560132549668e-70,1.5614338223689208e-73,4.6248906916495188e-57,2.5732419302326217e-68,0.35999999999999999,0.0,0.0098899999998627725,0.108803,1.1359198162562045e-20,4.0383235689758191e-31,1.0845391328359646e-24,7.12454206806804e-49,0.0,2.7573394358637955e-29,1.3676637859172038e-39,1.1268299149362774e-43,2.1212631530866252e-25,9.2934305505221233e-42,0.0,1.6072684567882277e-46,0.0,0.0,0.0,0.0,6.5275663926912844e-14,6.5275666823612763e-14,6.6746432166101394e-15,1.1294423500126412e-21,7.3267126047123587e-23,8.7564850614211741e-26,6.6670631787611149e-35,2.2943777238995668e-35,1.4826389104874978e-35,1.1288208705371122e-45,2.3597556830630368e-54
2.139581169182599e-17,0.0021304619959295096,6.9995051861291221e-22,1.0165916509200798e-32,1.0100715799222394e-32,1.1909612625408488e-47,1.2428726101100851e-48,0.0,0.0,2.5744891469271366e-20,2.0260421903377257e-33,4.1515298953455567e-57,6.412890892093338e-56,5.0233126501169058e-55,2.7769012113963159e-93,7.1300261036941132e-66,6.3936159147886891e-56,1.9274962436900277e-58,3.5860277992743275e-55,7.0177332228156806e-97,3.0775959376263743e-90,5.6181392428248133e-57,1.0954473474274792e-47,8.4578635479500072e-66,5.6879982146348365e-84,4.151528824603444e-57,2.2888363459007198e-69,1.4679804109617569e-46,3.5117432799383225e-25,7.130026135478956e-66,6.2470505281566559e-68,6.694262509062451e-41,5.1612056275475367e-69,5.0134379926218339e-72,7.4239760067429441e-56,8.286257220758573e-67,0.35999999999999999,0.0,0.0098899999997250684,0.108803,2.2757975336314087e-20,1.6195550783867427e-30,4.3494868118755845e-24,1.143647469108054e-47,0.0,1.1058164350948432e-28,5.4849394059878726e-39,4.519097060738291e-43,8.5072139977409068e-25,7.4573934626627513e-41,0.0,1.289731713736535e-45,0.0,0.0,0.0,0.0,1.3077876691954444e-13,1.3077877484514509e-13,1.337254302950299e-14,4.5295687177986261e-21,2.9383387146844963e-22,3.511743276907505e-25,5.3499011084072974e-34,1.8410933163779728e-34,1.1897241422026476e-34,9.0580702747626279e-45,3.7879267573340374e-53
