Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423),S(422),C7H9O(956),S(1059),C5H8(381),C7H8(253),S(1058),S(160)
0.0,0.002217591335480845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0441924206895533e-19,0.002217591335480845,1.1850809155114555e-25,6.9842074675705194e-36,1.5007622550708935e-38,1.2535615044643227e-56,2.0256493451493647e-49,0.0,0.0,1.56230333885234e-23,1.0745591496796444e-38,4.6453527956140018e-45,2.1567709287158992e-46,5.0599059747910007e-43,1.697597211664069e-103,8.224576495937188e-78,1.5608019560645453e-66,2.1567709287160827e-46,5.0599059750517771e-43,3.6528701119586251e-88,1.4821681623756541e-83,1.7476918931167254e-45,1.0450001029289246e-56,3.5179493857297178e-78,1.1487642611561745e-76,4.6453527695363722e-45,1.5859773428140631e-56,7.6355784994050382e-33,1.6732866954384402e-30,7.3161751936277284e-78,4.1987633155605519e-81,8.0023837427367854e-49,4.2409905709823187e-59,2.1791831593745238e-62,8.9447127190308497e-44,4.5200511381684108e-77,0.35999999999999999,0.0,0.0098899999999993767,0.108803,1.6450118655311295e-23,4.9534679169582289e-23,3.38090300070515e-29,1.8502262440874765e-56,0.0,1.7393280031600962e-33,1.1065157303666881e-44,5.1570929197921433e-46,1.7085260657125729e-29,1.3337755055232898e-47,0.0,5.3414845721825593e-53,0.0,0.0,0.0,5.864989405055123e-117,2.9253586614791136e-16,2.9253586563914287e-16,3.6681523928145329e-17,2.1414038357213405e-25,1.4333014074967544e-26,1.6809222738971312e-30,2.5666635203544114e-40,2.3690261973605339e-41,1.7625665515166162e-41,4.1782353958277558e-52,5.5158540119747759e-62,3.6305123338140184e-46,1.1021190635549221e-43,8.0080493241456759e-63,6.9679085247165656e-36
8.523738777930749e-19,0.002217591335480845,3.3182266882678897e-25,4.2180429526247084e-35,9.0646043059582198e-38,1.5558029305001683e-55,2.4048509804927729e-48,0.0,0.0,4.3744611478194303e-23,6.4903519815683753e-38,2.8057931031171014e-44,1.3026896406477321e-45,3.0561832079258854e-42,5.337520144633056e-102,2.1063421782135199e-76,3.4914515326859775e-65,1.3026896406479499e-45,3.0561832082354779e-42,8.2848016385434834e-87,1.7799430361625922e-82,1.0556059032021015e-44,1.2406241354361489e-55,1.4308150697248703e-76,3.6119029792209604e-75,2.8057930721577398e-44,1.8828723009953066e-55,2.1379619792499113e-32,1.0106651759628215e-29,2.3003230353137582e-76,2.5543130623046892e-79,9.5004300819622832e-48,5.0349040043287666e-58,2.5871262462029875e-61,5.4026064810615398e-43,1.4229735850037293e-75,0.35999999999999999,0.0,0.0098899999999982596,0.108803,4.6060332228377084e-23,1.3869710167482844e-22,2.0420654097150822e-28,4.1300641547035596e-55,0.0,1.0505541137802835e-32,6.683354774800173e-44,3.1148841232968851e-45,1.0319497436505123e-28,1.5834582832790478e-46,0.0,6.3414104838707028e-52,0.0,0.0,0.0,4.5256889244765165e-115,8.1910042452004042e-16,8.1910042374298669e-16,1.0270826699877132e-16,1.2934079148348978e-24,8.65714043571821e-26,1.012803137893494e-29,3.0471430051297636e-39,2.806231901958667e-40,2.0878496337849423e-40,4.9604009004401569e-51,1.2338744284681696e-60,4.3005264333821519e-45,1.3084357513078497e-42,1.7913685065460712e-61,4.208616746070086e-35
1.948283149241314e-18,0.002217591335480845,7.5845187331240134e-25,2.0307146790579505e-34,4.3642170657158621e-37,1.557108916784572e-54,2.3610971038211112e-47,0.0,0.0,9.9988239618850611e-23,3.1248400803889348e-37,1.3508686148139182e-43,6.2718898562557708e-45,1.4714206561974034e-41,1.19077282785849e-100,4.3193976942249848e-75,6.8985199769070238e-64,6.271889856257909e-45,1.4714206565013636e-41,1.7058692762685023e-85,1.7883255183825041e-81,5.0822880215774258e-44,1.2180521606838012e-54,5.5449050431996702e-75,8.0579946430384706e-74,1.3508685844178339e-43,1.84861518956407e-54,4.8867702355347286e-32,4.8659178891050373e-29,5.1318983849866063e-75,1.153140280391696e-77,9.327578808548122e-47,4.9432986047585208e-57,2.5400558886869587e-60,2.6011224568445316e-42,3.1902224529765755e-74,0.35999999999999999,0.0,0.0098899999999960218,0.108803,1.0528075934853046e-22,3.1702194668531296e-22,9.8316658853881503e-28,8.1503968077784943e-54,0.0,5.0579658312633367e-32,3.2177473889844186e-43,1.4996826206892004e-44,4.9683937984913277e-28,1.5546487375070688e-45,0.0,6.226034416637313e-51,0.0,0.0,0.0,4.9323174615973315e-113,1.872229538487852e-15,1.8722295397642207e-15,2.347617531398808e-16,6.2272023251657826e-24,4.1680403946572823e-25,4.8708046588623806e-29,2.9917031479363783e-38,2.7519229085239293e-39,2.0474434823792926e-39,4.8701506767685413e-50,2.4379277262494982e-59,4.2172985854969432e-44,1.2846299775508947e-41,3.5394418864336444e-60,2.0262677946994712e-34
4.1401016921377925e-18,0.002217591335480845,1.6117104820209283e-24,8.8684792006564063e-34,1.9059685061635865e-36,1.389008262918838e-53,2.0883639124460056e-46,0.0,0.0,2.1247738374541556e-22,1.3647129275229137e-36,5.8995982762065699e-43,2.7390990748707925e-44,6.4260805748424358e-41,2.230196356943679e-99,7.7885208184807498e-74,1.2275548243514754e-62,2.7390990748726838e-44,6.4260805775309285e-41,3.2811393280883115e-84,1.6537182829857252e-80,2.2195687005320291e-43,1.0773533913006529e-53,1.9536550940877535e-73,1.5091872188702296e-72,5.899598007356645e-43,1.6350791987855824e-53,1.0384386738768373e-31,2.1250742879358697e-28,9.6114934105217187e-74,4.3540478041973062e-76,8.2501382112416491e-46,4.3722916290251448e-56,2.2466506660407868e-59,1.135978513405624e-41,6.0329117630393309e-73,0.35999999999999999,0.0,0.0098899999999915444,0.108803,2.2372161348492437e-22,6.7367163670625045e-22,4.2937467688776942e-27,1.44944320284176e-52,0.0,2.2089465620228906e-31,1.4052746108131057e-42,6.549508004143684e-44,2.1698281028328861e-27,1.3750692112718138e-44,0.0,5.5068569330671671e-50,0.0,0.0,0.0,4.0349423868766871e-111,3.9784877553176886e-15,3.9784877710608721e-15,4.9886872542153008e-16,2.71958284128383e-23,1.8202926858994927e-24,2.1261127261862537e-28,2.6461276614804071e-37,2.4326433629583937e-38,1.8098979988836166e-38,4.3075925124053183e-49,4.3381613487169867e-58,3.7280057738005455e-43,1.1362406636116582e-40,6.2982462555520542e-59,8.849243782079489e-34
8.52373877793075e-18,0.0022175913354808455,3.3182284983871901e-24,3.7023783128040938e-33,7.9570454563474573e-36,1.1722134741582443e-52,1.7553961417649475e-45,0.0,0.0,4.3746322337951214e-22,5.6975178722290254e-36,2.462966255433653e-42,1.1435199422666099e-43,2.6827621360062661e-40,3.8521826649502048e-98,1.3211395326025364e-72,2.070450825722017e-61,1.1435199422682e-43,2.6827621382661062e-40,6.3619905771638566e-83,1.5109623207766954e-79,9.266262383768968e-43,9.0558052348595726e-53,6.5548515919614238e-72,2.6067938134094678e-71,2.4629660294490923e-42,1.3743825849969742e-52,2.1379619707891693e-31,8.8717677217760441e-28,1.6601518687718669e-72,1.5106280379853262e-74,6.9347389249498085e-45,3.6751745547581734e-55,1.8884452518206628e-58,4.7424866664285116e-41,1.0619944959490448e-71,0.35999999999999999,0.0,0.0098899999999825915,0.108803,4.6060332134206095e-22,1.386971016748e-21,1.7925547331578096e-26,2.4439650745691951e-51,0.0,9.22191705484094e-31,5.866743101631843e-42,2.7342906624806894e-43,9.0586051948041116e-27,1.1558285408174667e-43,0.0,4.6288450638303516e-49,0.0,0.0,0.0,2.903977991423478e-109,8.1910041445542202e-15,8.191004230670912e-15,1.0270826699825496e-15,1.1353722866254099e-22,7.5993631479553753e-24,8.8739056801848932e-28,2.2242299103575072e-36,2.044204997880247e-37,1.5208980247233828e-37,3.6207900349412125e-48,7.3169405539802137e-57,3.1327278604046111e-42,9.5507873541160842e-40,1.0622907921115959e-57,3.6943850599251783e-33
1.729101294951666e-17,0.0022175913354808455,6.7312677269165371e-24,1.5125348946482157e-32,3.2507144446541131e-35,9.6291638005532151e-52,1.4391805343915864e-44,0.0,0.0,8.8746510817122652e-22,2.3277118853627454e-35,1.0062021689830867e-41,4.6716520673959783e-43,1.0959958637493222e-39,6.4009433952508968e-97,2.1757497296629853e-71,3.4007223365684645e-60,4.6716520674090145e-43,1.0959958656020757e-39,1.3168648542989222e-81,1.4370173340212559e-78,3.7855705197728131e-42,7.4244976160581325e-52,2.1472499168761585e-70,4.3313869570074168e-70,1.0062019837072917e-41,1.1268018757877091e-51,4.3370085496762471e-31,3.6244073214227961e-27,2.7583851004663282e-71,5.0310659418120952e-73,5.6855190163592454e-44,3.0131301286609835e-54,1.5482615061947651e-57,1.9374605392288985e-40,1.8307921318532267e-70,0.35999999999999999,0.0,0.0098899999999646857,0.108803,9.3436673539372978e-22,2.8135697768309969e-21,7.323170815471404e-26,4.0136213509530706e-50,0.0,3.7674540127978036e-30,2.3967545379511739e-41,1.1170469517564955e-42,3.7007357946292277e-26,9.4761809387428517e-43,0.0,3.795006844015341e-48,0.0,0.0,0.0,1.9684117224075396e-107,1.6616036745334722e-14,1.6616037137957942e-14,2.0835105590954717e-15,4.6383661350989435e-22,3.1045874063394494e-23,3.6248410193565651e-27,1.8235583371907928e-35,1.6757278937398469e-36,1.246749312398256e-36,2.9685407508613675e-47,1.201808815955507e-55,2.5680407164041137e-41,7.8303124089427913e-39,1.7448141864656469e-56,1.5092768243230055e-32
3.482556129268849e-17,0.0022175913354808455,1.3557358967162473e-23,6.1138928762851912e-32,1.3139921627289614e-34,7.8055026723715643e-51,1.1654868772181719e-43,0.0,0.0,1.7875896998459794e-21,9.4097106541961484e-35,4.0672307646777019e-41,1.8883564442722808e-42,4.4301904740405551e-39,1.0438306924575726e-95,3.5315312778705495e-70,5.5127195314915335e-59,1.8883564442828386e-42,4.430190489044634e-39,3.0162048792012609e-80,1.484805551297548e-77,1.5301881182784239e-41,6.0125528585154944e-51,6.9516303386929114e-69,7.0617756673249833e-69,4.0672292642662919e-41,9.1251336669808115e-51,8.7351016477000589e-31,1.4650439775112539e-26,4.4969223799165837e-70,1.6422523485869551e-71,4.6042824337321598e-43,2.4401108729101296e-53,1.25382229889592e-56,7.8315252119208905e-40,3.2006954084234937e-69,0.35999999999999999,0.0,0.0098899999999288724,0.108803,1.8818935568466574e-21,5.666767296994982e-21,2.9601425970908393e-25,6.5057699352264806e-49,0.0,1.5228651420346668e-29,9.6880533586688575e-41,4.5152823667139534e-42,1.4958965758769831e-25,7.6740573975256301e-42,0.0,3.0732949306707506e-47,0.0,0.0,0.0,1.2960918275078201e-105,3.3466101236125554e-14,3.3466102904799833e-14,4.1963663372848503e-15,1.8749016570005384e-21,1.2549235437618334e-22,1.465131326161705e-26,1.476765263240807e-34,1.3569530568582527e-35,1.0095793037538815e-35,2.4039985456884031e-46,1.9481810686316768e-54,2.0795223644265694e-40,6.3411898442203169e-38,2.8284137025736056e-55,6.1007380952565767e-32
6.989465797903215e-17,0.0022175913354808455,2.7209592580402899e-23,2.4583663584131917e-31,5.2835160320362074e-34,6.2857531422419437e-50,9.3808711266608518e-43,0.0,0.0,3.588322171538687e-21,3.7841879576665246e-34,1.6354161809780951e-40,7.592998091594374e-42,1.7813600712331807e-38,1.6878252418352672e-94,5.6910443624142389e-69,8.8780715535224619e-58,7.5929980916793482e-42,1.7813600833097687e-38,7.6967720380526512e-79,1.7119563148632853e-76,6.1528190279489209e-41,4.839429155756783e-50,2.2374631341395476e-67,1.1406471719517022e-67,1.6354149733164798e-40,7.3447013372047735e-50,1.753128760474631e-30,5.8908821345610416e-26,7.2627305564291584e-69,5.3076608692735963e-70,3.7059298466827179e-42,1.9640134735866264e-52,1.0091852497888642e-55,3.1490217944136582e-39,5.866920668918104e-68,0.35999999999999999,0.0,0.0098899999998572456,0.108803,3.7769471731509185e-21,1.1373162337314917e-20,1.1902602113874877e-24,1.0476955679033017e-47,0.0,6.1233737070499081e-29,3.8955142434099483e-40,1.8155751704871097e-41,6.0149343237020536e-25,6.1767496439206569e-41,0.0,2.4736551246872503e-46,0.0,0.0,0.0,8.4130578791757228e-104,6.7166227374626999e-14,6.7166234247555081e-14,8.4220778935177392e-15,7.5388963303988317e-21,5.0459897706236845e-22,5.8910574283918012e-26,1.1886298717953981e-33,1.0921554504114702e-34,8.1256858214108356e-35,1.9349427957716431e-45,3.1374764963252708e-53,1.6737244477654301e-39,5.1039410015599766e-37,4.5550560571952659e-54,2.453079842480976e-31
1.4003285135171946e-16,0.002217591335480845,5.4514264337874509e-23,9.8591418577857167e-31,2.1189353333436171e-33,5.0455024845812925e-49,7.5275884447552842e-42,0.0,0.0,7.1917202681201584e-21,1.5180975985372901e-33,6.5587549862468194e-40,3.0451317453101444e-41,7.1440503481616961e-38,2.7262159132006867e-93,9.1383127324744834e-68,1.4251292541010194e-56,3.0451317453783313e-41,7.1440504450687066e-38,2.147031032926682e-77,2.2032434282670431e-75,2.4675555451405824e-40,3.8833427940317362e-49,7.1806515646239335e-66,1.834098776173065e-66,6.5587452955232568e-40,5.8936600987835358e-49,3.5123658562833399e-30,2.362511010775687e-25,1.1675234552426522e-67,1.706983214363555e-68,2.9737797730044014e-41,1.5759970562539576e-51,8.0980758030867561e-55,1.2628985436991206e-38,1.1674247266500043e-66,0.35999999999999999,0.0,0.0098899999997139939,0.108803,7.5670542993534597e-21,2.2785952417922658e-20,4.7734749405213194e-24,1.6817531989978061e-46,0.0,2.4557466901798357e-28,1.5622679011269864e-39,7.2812683873995582e-41,2.4122576755018309e-24,4.9564535901181918e-40,0.0,1.9849524423608538e-45,0.0,0.0,0.0,5.4224562387778818e-102,1.3456646827931314e-13,1.3456649616935281e-13,1.6873501005400058e-14,3.0234339952730925e-20,2.0236654957433719e-21,2.3625461191510342e-25,9.5380175767409395e-33,8.7637000471144878e-34,6.5202309777951375e-34,1.5526627107587039e-44,5.0363155504351291e-52,1.3430385183130519e-38,4.0955908077392897e-36,7.3118191371523763e-53,9.8379464239428909e-31
