Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101)
0.0,0.002135434373685944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.253805598436798e-16,0.002135434373685944,9.3253143733772404e-29,2.7616428186954184e-40,2.7616405252737603e-40,6.6477498151571984e-60,7.6617286846421687e-60,0.0,0.0,1.970591902969971e-25,1.7263060944987757e-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999994218,0.108803,2.814038335801727e-25,8.4852117338696122e-39,2.027474841116449e-29,0.0,0.0,3.0399321594025112e-35,1.3013940752828192e-46,8.5533510712725632e-49,3.9292836511611777e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6486662181721852e-16,2.648666217322015e-16,4.6811807681828492e-17
3.510655675623034e-16,0.002135434373685944,2.6110911060702185e-28,1.6680335837129309e-39,1.6680325199031863e-39,1.009346974599017e-58,1.1633024228505622e-58,0.0,0.0,5.5455242079176286e-25,2.6293897866285818e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999983862,0.108803,7.879307337271824e-25,5.1250725459712171e-38,1.2245948038316348e-28,0.0,0.0,1.8361190242762193e-34,7.8604202146960839e-46,5.1662240470406474e-48,2.3732873256530264e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4162654108653255e-16,7.4162654084879118e-16,1.3107306150821986e-16
8.024355829995506e-16,0.002135434373685944,5.9682227696330851e-28,8.0308797064147324e-39,8.0308752870631079e-39,1.0963502032116127e-57,1.2635764986301106e-57,0.0,0.0,1.2806856336218912e-24,2.8746645523338948e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999963115,0.108803,1.8009845328319965e-24,2.4675065602802384e-37,5.895896834926125e-28,0.0,0.0,8.8401227194990323e-34,3.7844539709042219e-45,2.4873144915140897e-47,1.1426356862750296e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6951463796184434e-15,1.6951463790764782e-15,2.9959556915740291e-16
1.705175613874045e-15,0.002135434373685944,1.2682535401146454e-27,3.5073107156687469e-38,3.5073089279825205e-38,1.0271494104532949e-56,1.1838209940521568e-56,0.0,0.0,2.7775390666438433e-24,2.7280851657216396e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999921603,0.108803,3.8270921262848055e-24,1.0776291112080898e-36,2.5748930450760306e-27,0.0,0.0,3.8607138423962699e-33,1.6527704755903576e-44,1.0862755860392448e-46,4.9901902422733597e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6021860566553964e-15,3.6021860555098828e-15,6.3664058444137024e-16
3.5106556756230338e-15,0.002135434373685944,2.6111357881692706e-27,1.4642454390704962e-37,1.464244721294585e-37,9.119840750461113e-56,1.0510902504088396e-55,0.0,0.0,5.949593962128987e-24,2.4838066095754599e-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999838579,0.108803,7.8793072941631417e-24,4.4989242503574226e-36,1.0749671579322671e-26,0.0,0.0,1.6117720308747819e-32,6.8999913869800962e-44,4.5349867378773705e-46,2.0833061965941472e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4162654106218229e-15,7.4162654082888078e-15,1.3107306149517095e-15
7.121615799121012e-15,0.002135434373685944,5.2969791712615111e-27,5.9820207304764498e-37,5.9820178552576609e-37,8.090156704690566e-55,9.3241723285353723e-55,0.0,0.0,1.3007095870819898e-23,2.3115822807663143e-52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999672531,0.108803,1.5983737553810685e-23,1.8379858264735402e-35,4.3915915809108967e-26,0.0,0.0,6.5846146542099063e-32,2.8188716226821627e-43,1.8526900553476512e-45,8.510985599881112e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5044424118124767e-14,1.5044424113495138e-14,2.6589106757420064e-15
1.4343536046116966e-14,0.002135434373685944,1.0668981485179399e-26,2.4181095797792858e-36,2.4181084289975109e-36,7.4728657450944922e-54,8.6127438285680823e-54,0.0,0.0,2.9975668158729548e-23,2.3319387118019395e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999340436,0.108803,3.2192597768669272e-23,7.429662780517358e-35,1.7751515224964392e-25,0.0,0.0,2.6616065220189721e-31,1.139432979707735e-42,7.4888694229750899e-45,3.4402764751746505e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0300741531410999e-14,3.0300741522501699e-14,5.3552707964010767e-15
2.878737654010888e-14,0.002135434373685944,2.1414248302360433e-26,9.7237649936302074e-36,9.7237603892433589e-36,7.4695152512282785e-53,8.6089102217699671e-53,0.0,0.0,7.5327086613822911e-23,2.7157440685952059e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999998676262,0.108803,6.4610316980640548e-23,2.9876198547145737e-34,7.137806117408862e-25,0.0,0.0,1.0702202762179003e-30,4.581609896839171e-42,3.0112414574168049e-44,1.3833200532526786e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0813376351104867e-14,6.0813376334890443e-14,1.0747991034033121e-14
5.767505752809271e-14,0.002135434373685944,4.2909830681396637e-26,3.9001882266899222e-35,3.9001863846961109e-35,8.3175726444782378e-52,9.5863659913572674e-52,0.0,0.0,2.1168701901840735e-22,3.8618172934288802e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999997347898,0.108803,1.2944575053360008e-22,1.1983176754512251e-33,2.8625794346546435e-24,0.0,0.0,4.2920619744277263e-30,1.8374304857564807e-41,1.2076425052356739e-43,5.5477322266047063e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2183864596297816e-13,1.2183864593717031e-13,2.1533431494552813e-14
