Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423),S(422),C7H9O(956),S(1059),C5H8(381),C7H8(253),S(1058),S(160),S(1870),S(1888)
0.0,0.0011887621225247062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.966125348222821e-18,0.0011887621225247062,4.5685800306785073e-27,3.2516290816946443e-36,2.1832788996917131e-39,1.6631888510542507e-58,2.9291541767682764e-49,0.0,0.0,2.7936653398515805e-24,7.6498098202061292e-39,1.8360421465915675e-46,8.5244806316176062e-48,2.7135505550891519e-44,1.5372992345003276e-108,5.1673661073952335e-81,2.6373946576738267e-68,8.5244806316178797e-48,2.7135505567331844e-44,2.8842055769197734e-90,2.9993695855185702e-88,6.122519278758938e-47,1.465608581058758e-59,3.4280980811422081e-79,1.1380590043727974e-77,1.836041982188236e-46,4.8221552334239128e-57,3.1769734981070046e-35,2.6939741467224627e-31,1.1053105303980622e-79,3.2005180249379308e-82,7.0977555583985977e-50,2.6771947998194211e-60,7.6713821526964908e-64,3.959132560362687e-45,2.9012988736658759e-78,0.35999999999999999,0.0,0.0098899999999993802,0.108803,3.4918618084360568e-24,3.1891023259878401e-24,1.7949104388831242e-29,3.1508357989400373e-55,0.0,4.8834512505242577e-33,1.7949223168451036e-45,6.2166103253929782e-46,6.774904490448859e-29,1.7798341888243372e-46,0.0,9.3337158051540247e-53,0.0,0.0,0.0,3.9934735245846635e-118,2.9744784566979086e-16,2.9744784782249874e-16,2.344258619569592e-17,3.1748688409057609e-24,3.2841581367506781e-25,2.6942918423462105e-31,1.5026451423509891e-38,9.7023266534583098e-41,7.5614202318233208e-41,7.4482375924878679e-52,2.1055588776964139e-60,1.8080905688342364e-46,3.16348325152603e-43,3.8143629226542872e-61,3.2494436025578955e-36,1.9368835749844155e-43,3.4593155862986006e-46
5.505150975023899e-18,0.0011887621225247062,1.279202582547131e-26,1.9639832972826456e-35,1.3187006053771259e-38,2.4660533238635864e-57,3.4774922014191818e-48,0.0,0.0,7.8227298827467632e-24,4.6207155168475071e-38,1.1089695500232588e-45,5.1487862903802637e-47,1.6389845307772997e-43,4.8336172132225167e-107,1.5793858826835714e-79,5.8997468854220294e-67,5.1487862903805845e-47,1.6389845327290957e-43,8.053737690289509e-89,6.1619632528131927e-87,3.6980016363860236e-46,1.7399706401123502e-58,1.4111390705326527e-77,3.5783352573630684e-76,1.1089693548436238e-45,5.7248626817743255e-56,8.8955257716824453e-35,1.6271605258132475e-30,3.4753541580532808e-78,1.9470467836255769e-80,8.4264560684322911e-49,3.1783656572679553e-59,9.1074648708437399e-63,2.3913160612835911e-44,9.1488004136266804e-77,0.35999999999999999,0.0,0.0098899999999982682,0.108803,9.7772130470678679e-24,8.9294865127657803e-24,1.0841258923250363e-28,7.0479036688420398e-54,0.0,2.9496045511423958e-32,1.0841326458298635e-44,3.7548326314804585e-45,4.0920423079857651e-28,2.1130191553704696e-45,0.0,1.1080987393351078e-51,0.0,0.0,0.0,3.0815432567243199e-116,8.3285395758841276e-16,8.3285397283858944e-16,6.5639241347906864e-17,1.9176207571137688e-23,1.9836314263112128e-24,1.6272494790217182e-30,1.7839403535134056e-37,1.1517934330896902e-39,8.9763975509216326e-40,8.8425444054161246e-51,4.7100490873642755e-59,2.1464410197003063e-45,3.7556873042187193e-42,8.532572697934034e-60,1.9626638027197661e-35,2.2994680365595323e-42,4.1068999305814013e-45
1.2583202228626056e-17,0.0011887621225247062,2.923892437334282e-26,9.455732533819368e-35,6.3489772896128166e-38,2.6368056949769003e-56,3.4142232319132503e-47,0.0,0.0,1.7882726693145343e-23,2.2249102670483716e-37,5.3392119645175474e-45,2.4789189509992406e-46,7.8910049467510311e-43,1.0784060869654045e-105,3.4886680208716374e-78,1.1656908194421749e-65,2.4789189509995565e-46,7.8910049659138781e-43,2.5645955992168312e-87,1.1270199751673676e-85,1.7804285942865357e-45,1.7083137727488415e-57,5.5631400752443569e-76,7.9839019640242269e-75,5.3392100482323278e-45,5.6207041049046219e-55,2.033263022676465e-34,7.8340789365620712e-30,7.7540291323542346e-77,8.7903638864505823e-79,8.2731459543240193e-48,3.1205382305287655e-58,8.9417629725866715e-62,1.1513157407902607e-43,2.0642512962212306e-75,0.35999999999999999,0.0,0.0098899999999960426,0.108803,2.234791545811922e-23,2.0410254886320972e-23,5.2195993648665677e-28,1.3925030971465738e-52,0.0,1.4201076173910742e-31,5.2196275942220543e-44,1.8077902750389333e-44,1.9701422194511241e-27,2.0745747491980499e-44,0.0,1.087937910983461e-50,0.0,0.0,0.0,3.3584169153828589e-114,1.9036661402776514e-15,1.903666218613143e-15,1.5003255165216196e-16,9.2325182474542922e-23,9.5503305373781352e-24,7.8342822427443919e-30,1.7514832952792302e-36,1.1308029079512296e-38,8.8128096967646107e-39,8.6816556182167089e-50,9.30625507091781e-58,2.1073245805531725e-44,3.6873560407947991e-41,1.6858905961078834e-58,9.4493799978604006e-35,2.2576310496497586e-41,4.0321796936252643e-44
2.673930473583037e-17,0.0011887621225247062,6.2132749302229142e-26,4.129566356555662e-34,2.7727665268307259e-37,2.4182782502182589e-55,3.0198431483680038e-46,0.0,0.0,3.8010191212046248e-23,9.7188293441250786e-37,2.3317749751415199e-44,1.0826090229844383e-45,3.4462091352667269e-42,2.0201419947130614e-104,6.5066185936998088e-77,2.0742854415339952e-64,1.0826090229847177e-45,3.4462091522160491e-42,8.0319433166935979e-86,1.9183954283318146e-84,7.7755993602660286e-45,1.510984684537826e-56,1.9812371584123181e-74,1.4956050873160802e-73,2.3317732802089621e-44,4.9714490855847058e-54,4.3206838768654382e-34,3.4213493548270144e-29,1.4525051448762296e-75,3.3194230684034608e-77,7.317506428941186e-47,2.7600806917262531e-57,7.9088880084916156e-61,5.0280982714407864e-43,3.9520968636677353e-74,0.35999999999999999,0.0,0.0098899999999915913,0.108803,4.7489320015373517e-23,4.3371791633428606e-23,2.2795360595958328e-27,2.4778458557261603e-51,0.0,6.2019830234649707e-31,2.2795446224683706e-43,7.8950950348672967e-44,8.6041286370164062e-27,1.8349378936608871e-43,0.0,9.6226875778936674e-50,0.0,0.0,0.0,2.7473940994272964e-112,4.0452903410641219e-15,4.0452906931317437e-15,3.1881917226000477e-16,4.0320830746540149e-22,4.1708794652376699e-23,3.4213925438697779e-29,1.5491672755411263e-35,1.0001672200074358e-37,7.7947121530382054e-38,7.6788137772511186e-49,1.6559954299305457e-56,1.863877837373754e-43,3.2614246149013075e-40,2.9999451500245353e-57,4.1267913102583914e-34,1.996848555226756e-40,3.566419033944288e-43
5.5051509750238997e-17,0.0011887621225247062,1.2792051049257238e-25,1.7240124566706703e-33,1.157576564391951e-36,2.0675254296397501e-54,2.5383624208737333e-45,0.0,0.0,7.8295003839630301e-23,4.0591429394974626e-36,9.7347085019602523e-44,4.5196794758046745e-45,1.4387244415814221e-41,3.4921534564403375e-103,1.121686796245206e-75,3.4985886569725e-63,4.5196794758070231e-45,1.4387244558283482e-41,2.5236582556257924e-84,3.1609861737193958e-83,3.2461596102159485e-44,1.27007450967302e-55,6.6864815996991412e-73,2.584348244896597e-72,9.7346942550311427e-44,4.1788024367873764e-53,8.8955254379335069e-34,1.4283470622326027e-28,2.509740964857372e-74,1.1519036232546532e-75,6.150809310300488e-46,2.3200140711904504e-56,6.6478967853001984e-60,2.0991320113064527e-42,7.1222607001480162e-73,0.35999999999999999,0.0,0.0098899999999826869,0.108803,9.7772128070493805e-23,8.9294865127632879e-23,9.5166133668868689e-27,4.1792159256784259e-50,0.0,2.5892057947973659e-30,9.5166176447814107e-43,3.2960467239799487e-43,3.5920543015609509e-26,1.5423758995250417e-42,0.0,8.0884486528406566e-49,0.0,0.0,0.0,1.9773202597147797e-110,8.3285380842691533e-15,8.3285395740469656e-15,6.5639241347302084e-16,1.6833151414815919e-21,1.7412594125135226e-22,1.4283559427993748e-28,1.3021686671836876e-34,8.4069424609452237e-37,6.5518737467759381e-37,6.4544849704002323e-48,2.7930684269610752e-55,1.5666916391405382e-42,2.741423828354263e-39,5.0598220532650408e-56,1.7228531395859274e-33,1.678470619153969e-39,2.9977930481898884e-42
1.1167591977905625e-16,0.0011887621225247062,2.5949647820352073e-25,7.0431520844930634e-33,4.7290871381990475e-36,1.710071395604656e-53,2.0811066383645178e-44,0.0,0.0,1.5898416343286573e-22,1.659700397217852e-35,3.9769517723556036e-43,1.8464364714307005e-44,5.8776585132580239e-41,5.821444527256454e-102,1.8619700530677191e-74,5.746452481230878e-62,1.8464364714326264e-44,5.8776586300629295e-41,7.984435340741473e-83,5.1305938423381421e-82,1.3261620715528428e-43,1.0412851929990023e-54,2.1970663644627112e-71,4.297460832894779e-71,3.9769400918628665e-43,3.4260345923362528e-52,1.8045207970830195e-33,5.835272437051923e-28,4.1729589988510057e-73,3.8379280733223744e-74,5.0428120485151217e-45,1.9020876105428779e-55,5.4503472169823009e-59,8.5756388797729316e-42,1.2816578821560892e-71,0.35999999999999999,0.0,0.0098899999999648783,0.108803,1.9833773994322436e-22,1.8114101211599744e-22,3.8878462999115185e-26,6.8643453301164655e-49,0.0,1.0577750253669181e-29,3.8878223298412362e-42,1.3465426031950071e-42,1.4674713620602277e-25,1.2645330088526918e-41,0.0,6.6313987795346207e-48,0.0,0.0,0.0,1.3402931043010898e-108,1.6895030937208509e-14,1.6895037063389852e-14,1.3315388958883756e-15,6.8768902120384485e-21,7.1136074630585358e-22,5.8352903596196032e-28,1.0675969203586435e-33,6.8924875209936684e-36,5.37159663366161e-36,5.2917428085197585e-47,4.5875907187744626e-54,1.2844662144799545e-41,2.2475847596283866e-38,8.3106943230692103e-55,7.0384090856817178e-33,1.3761101290961674e-38,2.4577767096263903e-41
2.2492473983669075e-16,0.0011887621225247062,5.2265019494630101e-25,2.846953675747723e-32,1.9115800422819165e-35,1.39266767130332e-52,1.6853402091792005e-43,0.0,0.0,3.2084061980311129e-22,6.7201580474951795e-35,1.6075521116014237e-42,7.4635908880015743e-44,2.3758433245451068e-40,9.6160415028359263e-101,3.0341130531343717e-73,9.3152798716361297e-61,7.4635908880171687e-44,2.3758434191367401e-40,2.5390053484271169e-81,8.2680704188595164e-81,5.3605587337568857e-43,8.4326197397750271e-54,7.1239997826179383e-70,7.0174453279524736e-70,1.6075426524363936e-42,2.7744914477748607e-51,3.6344570679666057e-33,2.3587173937988654e-27,6.8127132125720346e-72,1.2538133038468201e-72,4.0838112131503613e-44,1.540359709126608e-54,4.4138321352603964e-58,3.4664100921374281e-41,2.4098239540557973e-70,0.35999999999999999,0.0,0.0098899999999292627,0.108803,3.9946894673899025e-22,3.648333060925511e-22,1.5715290052103042e-25,1.1127368776171669e-47,0.0,4.2756955699526571e-29,1.5714985246864767e-41,5.4429402458848234e-42,5.9317536639481348e-25,1.0240517129658559e-40,0.0,5.3702784848564824e-47,0.0,0.0,0.0,8.82510543318341e-107,3.4028006109211873e-14,3.40280309521283e-14,2.6818318606763742e-15,2.7797478494348008e-20,2.8754295108938296e-21,2.3587209289387561e-27,8.6456826994942931e-33,5.5816938924707573e-35,4.3500408862459149e-35,4.2853355628392189e-46,7.43657668747268e-53,1.0401960611577527e-40,1.8201522089290445e-37,1.3471738826296495e-53,2.8450309038836366e-32,1.1144072417512188e-37,1.9903791565967048e-40
4.514223799519598e-16,0.0011887621225247062,1.0489647537140806e-24,1.144746755662427e-31,7.6864388634127544e-35,1.1269945061356555e-51,1.3565182368291295e-42,0.0,0.0,6.4646607993074883e-22,2.7113007779634958e-34,6.4639334857858023e-42,3.0010766282431029e-43,9.5531597277771265e-40,1.6343211184118805e-99,4.8990548389142987e-72,1.5002076604795546e-59,3.0010766282556541e-43,9.5531604891327513e-40,8.0980359146484764e-80,1.3279186397767479e-79,2.1554567729675967e-42,6.7873418464429517e-53,2.2947545636903819e-68,1.1370334872699948e-68,6.4638573502096408e-42,2.2331517849302963e-50,7.2943286669510171e-33,9.4843550072695477e-27,1.1033998675581571e-70,4.0588923890556381e-71,3.2870246941964229e-43,1.239815256127893e-53,3.5526355323889834e-57,1.3938280465606574e-40,4.9267320557395909e-69,0.35999999999999999,0.0,0.0098899999998580297,0.108803,8.0173129253449914e-22,7.3221789404495976e-22,6.3190439409015853e-25,1.7920236876841249e-46,0.0,1.7192382176200728e-28,6.3187541822025834e-41,2.1885821330122529e-41,2.3851318906053511e-24,8.2424606549305978e-40,0.0,4.3224670426518218e-46,0.0,0.0,0.0,5.728469261751991e-105,6.8293914317776959e-14,6.8294014369839022e-14,5.3824177900815288e-15,1.117723478726188e-19,1.156194051453075e-20,9.4843615022101043e-27,6.9588073251388348e-32,4.4926108566072663e-34,3.5012729093043622e-34,3.4491224044345302e-45,1.1976037506497451e-51,8.3724579801216269e-40,1.465016522253054e-36,2.1694999395711697e-52,1.1439691195197029e-31,8.9696800559018559e-37,1.6020429490235481e-39
9.044176601824977e-16,0.0011887621225247062,2.1016223723679998e-24,4.590940133836717e-31,3.0826535654466802e-34,9.1146794894994654e-51,1.0885362073418537e-41,0.0,0.0,1.305367178951027e-21,1.0946959228284169e-33,2.5923562301571026e-41,1.2035656000290138e-42,3.831242893147968e-39,3.1506438054875058e-98,7.8744067702720001e-71,2.4081994259314496e-58,1.2035656000390848e-42,3.8312435040876954e-39,2.5869902345425225e-78,2.1296756974201836e-78,8.6443431663125108e-42,5.4464719282277497e-52,7.3674927781936424e-67,1.8396888865884685e-67,2.5922951361734099e-41,1.7919631748567322e-49,1.4614068093790728e-32,3.8036955588626419e-26,1.7837934903052967e-69,1.3096425414783978e-69,2.6376594300198102e-42,9.9487326733638573e-53,2.8507653711603621e-56,5.5898722219398103e-40,1.1246672816669625e-67,0.35999999999999999,0.0,0.0098899999997155638,0.108803,1.6062557129634944e-21,1.4669870699470068e-21,2.5342151793008895e-24,2.8765837889941324e-45,0.0,6.8949128704361111e-28,2.5339648757390237e-40,8.7771916090731154e-41,9.5654443031774982e-24,6.614058093825285e-39,0.0,3.4685071238658467e-45,0.0,0.0,0.0,3.6921720146852433e-103,1.3682556219361859e-13,1.3682596376638095e-13,1.0783589648208468e-14,4.4825637987606931e-19,4.6368271273975363e-20,3.8036963788160169e-26,5.5840202452162501e-31,3.6050068544981628e-33,2.8095251988163903e-33,2.7675615348575824e-44,1.9223101046315213e-50,6.7184677807482752e-39,1.1755829737560446e-35,3.4822644247906694e-51,4.5877853594911542e-31,7.1975408640039306e-36,1.285558866388857e-38
