Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423)
9.904619945173007e-16,0.000834863734453928,9.2518661272022457e-24,2.3053840623301924e-33,2.3053803475172351e-33,1.2890249199578982e-49,2.2874207594384885e-49,0.0,0.0,2.7964643585843764e-21,3.9558527439673766e-33,2.4525162045651294e-57,1.3918135705106694e-57,3.5736998456337803e-55,8.7121726360609417e-97,1.4337955083400598e-69,1.2779499854349993e-57,1.1386324572600961e-58,3.5449723251411474e-55,1.617537393711217e-96,1.6729746435673318e-93,8.642725642784055e-58,1.8549088120283644e-51,6.408684913614217e-66,5.463513338164851e-83,2.452435726977723e-57,3.3938724170482621e-70,1.0890295392505219e-48,7.2489276366412039e-26,1.4337959940246385e-69,2.3891752981965514e-68,9.8448698639603824e-42,1.3239952798015155e-68,4.6080357138911091e-72,5.2419050922501453e-56,1.5371681135635283e-66,0.35999999999999999,0.0,0.0098899999994737087,0.108803,3.3804300551654615e-21,5.4753014933931208e-32,6.3619823849792872e-24,2.1303986352087377e-51,0.0,2.2819475446127194e-27,9.2587043944107407e-40,1.5963675473300796e-42,3.0346196302839033e-23,3.6437795243445847e-38,0.0,2.1870910157394015e-44,0.0,0.0,0.0,0.0,2.5614734166282117e-13,2.5614859038910168e-13,1.3995667070061016e-14,1.4244579191856729e-18,1.7510266469385546e-19,7.2489261796929739e-26,2.9978182378153634e-30,1.4569482310413281e-32
1.9817845120532957e-15,0.0008348637344539279,1.8512181246773347e-23,9.2277142240563405e-33,9.227704937721314e-33,1.0540860514636226e-48,2.4361987325991032e-48,0.0,0.0,5.7236667673964587e-21,1.6146341989980947e-32,3.9274833938816271e-56,2.2287867748864001e-56,5.7227686554381665e-54,5.585323077896757e-95,2.2968796008789234e-68,2.0464497192985529e-56,1.8233606436958517e-57,5.6767670122230994e-54,2.9898983087583298e-94,1.0716860115564425e-91,1.3840089745374054e-56,1.4851038249984972e-50,2.0525495611814947e-64,3.6052288355579632e-81,3.927225640366128e-56,1.0869892904498279e-68,8.7191637462621284e-48,2.9015671843097295e-25,2.2968811570297664e-68,7.7393386875001173e-67,7.8821532577170696e-41,4.2404898589147086e-67,1.4758612650489082e-70,8.3941625413104408e-55,5.7092138457311952e-65,0.35999999999999999,0.0,0.0098899999989469582,0.108803,6.7637922734915887e-21,2.2045222239982365e-31,2.5464375770344364e-23,3.4988009315409328e-50,0.0,9.1337315531629713e-27,3.705895614870309e-39,6.3897207838272326e-42,1.214638000497072e-22,2.9172432555992127e-37,0.0,1.7510017206809145e-43,0.0,0.0,0.0,0.0,5.1251437515165557e-13,5.1251937457219774e-13,2.8003493705891276e-14,5.7015134895956608e-18,7.0085415197036146e-19,2.9015660178938575e-25,2.4001011256658002e-29,1.1664158724302539e-31
3.964429547125286e-15,0.0008348637344539279,3.7034044660229134e-23,3.6924270264631163e-32,3.6924244271860972e-32,8.7863323342171084e-48,2.9175327981205378e-47,0.0,0.0,1.1963159854744884e-20,6.7108361587762732e-32,6.2873769330193655e-55,3.5677400505025028e-55,9.1607834385116116e-53,3.5780504728952424e-93,3.6775632777430386e-67,3.2758593799197129e-55,2.9187750733324287e-56,9.0871502723117428e-53,3.8394575746485435e-92,6.8624843367865455e-90,2.2154677945485631e-55,1.1886126998558926e-49,6.5712082159686465e-63,2.4114540804807486e-79,6.2865517193254366e-55,3.4800646065733388e-67,6.9784779889321451e-47,1.1610904506484767e-24,3.6775682609769343e-67,2.5220176020842107e-65,6.3085523349174624e-40,1.357618504253319e-65,4.7250615083191924e-69,1.3437052497003229e-53,1.8362080928761022e-63,0.35999999999999999,0.0,0.0098899999978934571,0.10880299999999997,1.353050235048322e-20,8.9247904734841032e-31,1.018896030414592e-22,5.8461844311937647e-49,0.0,3.6546779035415678e-26,1.4828417369132276e-38,2.556792909259108e-41,4.8601285692216559e-22,2.3346877171973646e-36,0.0,1.4013320422189765e-42,0.0,0.0,0.0,0.0,1.025239884166291e-12,1.0252598907771827e-12,5.6019146959638739e-14,2.2813236995008942e-17,2.8042267843596931e-18,1.1610895172070513e-24,1.9208483273149475e-28,9.3344142619515744e-31
7.929719617269267e-15,0.0008348637344539279,7.4082704155377503e-23,1.4773234318053099e-31,1.4773226151760643e-31,7.5900631972086224e-47,3.8832920469941047e-46,0.0,0.0,2.5982469296197497e-20,2.8849887476012901e-31,1.0064601821076163e-53,5.7102829343654423e-54,1.4662306067387055e-51,2.2915743349617357e-91,5.8871498148933544e-66,5.2431043146341373e-54,4.6716849646223118e-55,1.454446718001333e-51,4.917472283418873e-90,4.3939213325202132e-88,3.5459715581139109e-54,9.5119602908631376e-49,2.1034126081872644e-61,1.6749708206737095e-77,1.0061960215219212e-53,1.1140106491257228e-65,5.5846640793173278e-46,4.6458029931068609e-24,5.8871657696006337e-66,8.3530290907364401e-64,5.0484951601431925e-39,4.3458941217479119e-64,1.5125484080812451e-67,2.1506716939455622e-52,5.8799190156888291e-62,0.35999999999999999,0.0,0.009889999995786455,0.1088029999999999,2.7063865126537028e-20,3.6535724627211066e-30,4.0761620615101861e-22,1.0137395469682048e-47,0.0,1.4621055890783985e-25,5.9323387256127419e-38,1.0229414983590709e-40,1.9443634424073567e-21,1.8681153042605471e-35,0.0,1.1212761457214959e-41,0.0,0.0,0.0,0.0,2.0506566716223459e-12,2.0507367150817417e-12,1.1205045339548139e-13,9.1265854580043607e-17,1.1217911264128763e-17,4.6457955248894611e-24,1.5370312930952739e-27,7.4682174062709068e-30
1.586029975755723e-14,0.0008348637344539273,1.4819975358652578e-22,5.9106735538710511e-31,5.9106707332497607e-31,6.9678890502199198e-46,5.5856822383399541e-45,0.0,0.0,6.0182142771162493e-20,1.3143207003028754e-30,1.6114095143620761e-52,9.1397548694441132e-53,2.3469114094157002e-50,1.467792380434266e-89,9.4250911365046182e-65,8.3919412790649935e-53,7.4778119035844185e-54,2.3280546800017874e-50,6.2983453504798294e-88,2.8137281581732196e-86,5.6758335434014044e-53,7.6122952472446825e-48,6.732804480382914e-60,1.2401348237137186e-75,1.6105638623514247e-52,3.5662679345766174e-64,4.469553099274784e-45,1.8590205611902815e-23,9.4251422220779486e-65,2.8527196611857212e-62,4.0402913442076267e-38,1.391241364414264e-62,4.8420968373601489e-66,3.4424645623329227e-51,1.882726545293457e-60,0.35999999999999999,0.0,0.0098899999915724509,0.10880299999999959,5.4130361652591041e-20,1.5280095327300429e-29,1.6305291025159353e-21,1.8721739197452295e-46,0.0,5.8488699858664621e-25,2.3731335902239942e-37,4.0925618214198099e-40,7.7780511007177623e-21,1.494650814936453e-34,0.0,8.9710225147890271e-41,0.0,0.0,0.0,0.0,4.101353334472151e-12,4.101673535583468e-12,2.2411306598055765e-13,3.6507754173806978e-16,4.486872285912495e-17,1.8590145872200329e-23,1.2298390464278605e-26,5.9739702528785457e-29
2.3790879897845193e-14,0.0008348637344539267,2.2233653322647474e-22,1.2561802563100523e-30,1.2561796847600648e-30,2.2188861181396301e-45,2.0766439356498918e-44,0.0,0.0,1.0054263238538827e-19,3.0284530964304906e-30,5.9328305088871183e-52,3.3645343717301586e-52,8.6396760271636527e-50,8.3772691341461198e-89,3.5940956193979071e-64,3.0892371078900721e-52,2.7528213781807225e-53,8.5702681276586761e-50,3.4718591903106572e-87,1.569322147854754e-85,2.0894420168083297e-52,2.1770229844801886e-47,3.0742394625813854e-59,6.895007088590567e-75,5.9289690068205275e-52,1.6284669953380087e-63,1.2782817035230806e-44,3.9513182722810198e-23,3.5941196001504083e-64,1.3448903863517288e-61,1.1554815812243631e-37,6.3528258637586851e-62,2.2110485791250297e-65,1.267274540161467e-50,8.3244332850655104e-60,0.35999999999999999,0.0,0.0098899999873584468,0.10880299999999914,8.1196629638215229e-20,3.3447099168700393e-29,3.464856788253028e-21,7.4422912139127197e-46,0.0,1.2429104624251689e-24,5.0430368961886619e-37,8.6975817963887522e-40,1.6528702031379449e-20,4.2739049599321813e-34,0.0,2.5652080157139393e-40,0.0,0.0,0.0,0.0,6.1519130954894483e-12,6.1525935322909506e-12,3.3617567827902494e-13,7.7578545133956486e-16,9.5338663971127492e-17,3.9513011919658257e-23,3.5168550871411976e-26,1.7080315205568687e-28
3.965204017842111e-14,0.0008348637344539239,3.7068901148587911e-22,3.4739897806516983e-30,3.4739882735333025e-30,1.2809474413394715e-44,1.6420388620821131e-43,0.0,0.0,2.0590496890303175e-19,1.0052511029681612e-29,4.5698682193515274e-51,2.5899610589976448e-51,6.6518377381421524e-49,2.3524737578256626e-87,2.9584222379735798e-63,2.377991762603578e-51,2.1195275762615886e-52,6.59843016838772e-49,2.1167408515499463e-85,4.083988775898934e-84,1.6086906732257112e-51,1.0009641268460715e-46,4.0033034885362735e-58,2.4392253049052449e-73,4.5648381591822217e-51,2.1212798961484288e-62,5.8786285203412288e-44,1.0930220636270212e-22,2.9584557047384222e-63,2.2673549533176931e-60,5.3128487506349024e-37,8.2753001546823584e-61,2.8801595547778005e-64,9.757013987674373e-50,1.3438343091844996e-58,0.35999999999999999,0.0,0.0098899999789304402,0.10880299999999761,1.3532825533208869e-19,9.9431677916009354e-29,9.5788121646173366e-21,7.8685183252640599e-45,0.0,3.4363307033123137e-24,1.394288406587362e-36,2.4051650312638694e-39,4.5697669945883851e-20,1.9642325679886308e-33,0.0,1.1788986931217356e-39,0.0,0.0,0.0,0.0,1.0252485092020155e-11,1.0254366265016403e-11,5.6030090172952325e-13,2.1447043361889139e-15,2.6352057700330121e-16,1.0930142165951181e-22,1.616554085850278e-25,7.8470319084311491e-28
5.3453745653538194e-14,0.0008348637344539207,4.9983847958511867e-22,6.0729514116397338e-30,6.0729488215758178e-30,3.1849107034399541e-44,4.551266127974165e-43,0.0,0.0,3.1615341394006654e-19,1.9415358674074806e-29,1.2072552339719541e-50,6.8399772889451624e-51,1.7569308408269535e-48,9.8452730437254966e-87,8.2911958335610795e-63,6.2800950060401756e-51,5.5983834061931566e-52,1.7428285425144477e-48,1.094511435149573e-84,1.6390703307602855e-83,4.2489722628882327e-51,2.1878334540264021e-46,1.2372484786473695e-57,1.1090973327094024e-72,1.2057004387823308e-50,6.5569042660624883e-62,1.2851378893857663e-43,1.9110385570711622e-22,8.2913044993799817e-63,8.2265086426626831e-60,1.1612555807344683e-36,2.5579019688579143e-60,8.9026063068083309e-64,2.5770982177300584e-49,4.7427244739759965e-58,0.35999999999999999,0.0,0.0098899999715967475,0.10880299999999579,1.8243060481794244e-19,1.8142731113721711e-28,1.6741277510012468e-20,2.4634550236055017e-44,0.0,6.0060638931087521e-24,2.4369744493205051e-36,4.2043336970400379e-39,7.9871010142631364e-20,4.2923336457413583e-33,0.0,2.5761312642682827e-39,0.0,0.0,0.0,0.0,1.3820215504574768e-11,1.3823503367731911e-11,7.5532511529193306e-13,3.7483834414712064e-15,4.6051169203649585e-16,1.911021412672099e-22,3.5329484651944826e-25,1.7144399074451165e-27
6.725545112865528e-14,0.0008348637344539175,6.2905215701303342e-22,9.3948152224099609e-30,9.3948112588957069e-30,6.6123301060798337e-44,1.0197710985465419e-42,0.0,0.0,4.4644829976557662e-19,3.2995516268220332e-29,2.6876985766946709e-50,1.5222236250501435e-50,3.9105320817273966e-48,2.9720318686336825e-86,1.8709237976817493e-62,1.3976024090712521e-50,1.2460944079093394e-51,3.8791542135358579e-48,3.3656816507080165e-84,4.8358685503050027e-83,9.4572154862227809e-51,4.0884807733385462e-46,3.2411749487604085e-57,3.3447797571650441e-72,2.6836247886550147e-50,1.7180081279951611e-61,2.4020097394482884e-43,2.9568531593334602e-22,1.8709527968322931e-62,2.2004104759310461e-59,2.170104399231098e-36,6.7020747177276481e-60,2.3326157218806088e-63,5.7360555887307826e-49,1.2208873483351239e-57,0.35999999999999999,0.0,0.0098899999642630548,0.10880299999999349,2.2953221960308294e-19,2.9288618899121202e-28,2.5892803578478258e-20,5.9572662208404592e-44,0.0,9.2896464934986177e-24,3.7693260400539065e-36,6.5037811186614092e-39,1.2353742410318131e-19,8.0192601697289672e-33,0.0,4.8128273826880569e-39,0.0,0.0,0.0,0.0,1.7387500550015992e-11,1.7392585796753178e-11,9.5034932792154891e-13,5.7974114064237892e-15,7.1216132004011454e-16,2.9568211356015953e-22,6.6011515211214527e-25,3.202373188661864e-27
8.105715660377236e-14,0.0008348637344539127,7.583252766001393e-22,1.3386221507263347e-29,1.3386215901206455e-29,1.2102167589472582e-43,1.9844591412857207e-42,0.0,0.0,5.9530045565508571e-19,5.1015279391846003e-29,5.1154667118067915e-50,2.8961795196165913e-50,7.4413265190984791e-48,7.659023518952816e-86,3.660505270057908e-62,2.65903195153025e-50,2.3712384912811577e-51,7.3816383870156217e-48,1.0007248459875811e-83,1.2241545651503354e-82,1.7995979998967886e-50,6.776828647233138e-46,7.0001607279205613e-57,9.2567595159181213e-72,5.1066666688910528e-50,3.7111856068371465e-61,3.9823757750039449e-43,4.2137391003230097e-22,3.6605693283532039e-62,5.1830603182549445e-59,3.5970782617834178e-36,1.4477575774060731e-59,5.0388375902917857e-63,1.0915134087866141e-48,2.7777536632404066e-57,0.35999999999999999,0.0,0.0098899999569293622,0.10880299999999073,2.7663315667510096e-19,4.3382527332080153e-28,3.6885523574471583e-20,1.2683853964551826e-43,0.0,1.323408312955088e-23,5.3698441468867175e-36,9.2665272090290242e-39,1.7599216280629768e-19,1.3289278581358939e-32,0.0,7.9755092602329488e-39,0.0,0.0,0.0,0.0,2.0954373337829836e-11,2.0961617632050752e-11,1.1453735396876084e-12,8.2586801012030558e-15,1.0143906174362332e-15,4.2136860419532079e-22,1.0940377671001038e-24,5.3058369837618694e-27
