Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423),S(422),C7H9O(956),S(1059),C5H8(381)
0.0,0.0013286775479173943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.510332856640538e-21,0.0013286775479173943,1.2009901763841367e-23,1.9661860702432197e-35,2.1177480401555619e-37,3.6667610237185752e-54,1.3133383442957601e-55,0.0,0.0,2.2917799419527878e-22,2.3206413012772966e-38,4.709321167274981e-67,1.3197183219293643e-65,6.1270116216301453e-65,-1.7601665356460091e-106,1.3215274063553235e-74,1.3175318584841178e-65,2.1864776834858368e-68,3.1652000196865148e-65,2.2433183705037711e-111,5.5146625938247193e-100,1.3049387296005749e-66,3.5672311832179548e-54,7.0951067140841827e-77,3.4841639554981389e-99,4.7093211663457139e-67,1.2986133369088733e-81,2.1973236771663388e-53,2.0784747429180412e-30,1.3215274063601441e-74,2.3696119537464416e-80,2.4151910494183029e-48,1.2851985934795801e-81,2.8498025133942247e-84,7.8743351897528338e-66,1.342747885340556e-79,0.35999999999999999,0.0,0.0098899999999994097,0.108803,1.6042152589815767e-22,4.2815942999210972e-35,2.0656643831681498e-29,7.0199568590688424e-59,0.0,3.8265257707009283e-34,1.5278973762992974e-43,6.9737407033941507e-48,2.2389989824177583e-30,3.5320604555379307e-49,0.0,2.6507658210170316e-53,0.0,0.0,0.0,0.0,2.8704319139311154e-16,2.8704327216475125e-16,1.4572788882007912e-17,5.6937962557400278e-27,4.4242083081333995e-28,2.0784747429167461e-30,1.0123496905986189e-42,8.3950426838233949e-43,4.5542758556620087e-43,1.4981023833181477e-52,4.2376402570212406e-64,9.4981393915183939e-47
1.2628931998593508e-20,0.0013286775479173945,3.3627724995542327e-23,5.5739360828661717e-35,1.2791198180563701e-36,4.3854263608565869e-53,1.984717602469136e-54,0.0,0.0,6.4169839890095152e-22,1.4016673774982724e-37,1.0534563084095619e-65,2.9521570984885572e-64,1.3705879922219837e-63,9.1215153373216897e-105,4.1550936147907636e-73,2.9472660736328072e-64,4.8910695810856439e-67,7.0804258387339638e-64,1.84156122146073e-109,2.2757061731006507e-98,2.9190957416288687e-65,4.2350168623131039e-53,2.249585658026751e-75,3.9629850946459918e-97,1.053456308026097e-65,5.3587642979591875e-80,2.6086626705673124e-52,1.2553987452492336e-29,4.1550936148185247e-73,1.4415505900658862e-78,2.867314814970788e-47,5.3034079834972195e-80,1.1759789870442468e-82,1.7614572852912284e-64,6.414467785492996e-78,0.35999999999999999,0.0,0.0098899999999983515,0.108803,4.4918027251230273e-22,2.5860829631144749e-34,1.2476612873542338e-28,1.5705393049123746e-57,0.0,2.3112215654884532e-33,9.2285001468979165e-43,4.2121393965002068e-47,1.3523553853801899e-29,4.1932622925768803e-48,0.0,3.1469891827111291e-52,0.0,0.0,0.0,0.0,8.0372093588207232e-16,8.0372116205975217e-16,4.0803808869618538e-17,3.4390529380784523e-26,2.6722218170183589e-27,1.2553987452476964e-29,1.2018631829630776e-41,9.9665946718416316e-42,5.4068362948259975e-42,1.7785471484207698e-51,9.4794317400755435e-63,1.1276191099752169e-45
2.886613028249945e-20,0.0013286775479173945,7.6863371686090241e-23,1.3063896454294629e-34,6.1584113278085335e-36,4.3197683550359329e-52,2.1350701782337023e-53,0.0,0.0,1.4667392689289796e-21,6.748425375900229e-37,2.0814521453279709e-64,5.8329649502017314e-63,2.7080509109881463e-62,9.5734014594039842e-103,9.2697853185509993e-72,5.8233011149356776e-63,9.6639350032841519e-66,1.3989728315134818e-62,1.5149841817345715e-107,9.0029889529591789e-97,5.7676412803432633e-64,4.1579646721087694e-52,5.1547104371375436e-74,3.5876754614383654e-95,2.0814521438110222e-64,2.1198738670769731e-78,2.5612004813096013e-51,6.0442045603067163e-29,9.2697853186754978e-72,6.5078484744407088e-77,2.8151466906162784e-46,2.0979754595288749e-78,4.6520559297839365e-81,3.4803427676942457e-63,3.3400000884996368e-76,0.35999999999999999,0.0,0.0098899999999962317,0.108803,1.0266977657304375e-21,1.2450876313602531e-33,6.0069520250630457e-28,3.1033005348719696e-56,0.0,1.1127536940974676e-32,4.443125561353597e-42,2.02796381402223e-46,6.5110090408682139e-29,4.1169698392020327e-47,0.0,3.0897326409763027e-51,0.0,0.0,0.0,0.0,1.8370764247854323e-15,1.8370769418435482e-15,9.3265848844825289e-17,1.6557559505864137e-25,1.2865597743638713e-26,6.0442045602916204e-29,1.179997117440646e-40,9.785261744844687e-41,5.3084639342102226e-41,1.7461881347265745e-50,1.8729759657431536e-61,1.1071031317500577e-44
6.134052685031133e-20,0.0013286775479173945,1.6333466597577004e-22,2.914165859341719e-34,2.6895400389349287e-35,3.8263981466611061e-51,1.9625001876540162e-52,0.0,0.0,3.1168212514517692e-21,2.9472149396134493e-36,3.7038328899190592e-63,1.0379449491233647e-61,4.8188319133079596e-61,7.6433454612896536e-101,1.736128212600322e-70,1.03622532172221e-61,1.7196460719562722e-64,2.4893974109884947e-61,1.1117602890784013e-105,3.2134743506178476e-95,1.0263209510882241e-62,3.6776726710452149e-51,1.018321933674245e-72,2.7191389066897055e-93,3.7038328845051769e-63,7.5656792680241263e-77,2.2653528249365769e-50,2.6396629316703327e-28,1.7361282126471612e-70,2.4572397837893647e-75,2.4899653714783578e-45,7.4875254066684385e-77,1.6602857202110307e-79,6.1930840114300983e-62,1.3329063661090597e-74,0.35999999999999999,0.0,0.0098899999999919937,0.108803,2.1817327521260845e-21,5.437624853312839e-33,2.6233937653939504e-27,5.5223042261804425e-55,0.0,4.8596877285591025e-32,1.9404296586778564e-41,8.8566508738877512e-46,2.843528707667566e-28,3.6414132250647085e-46,0.0,2.7328335308330578e-50,0.0,0.0,0.0,0.0,3.9037874022939096e-15,3.9037885013863179e-15,1.9818992879518076e-16,7.2311212387677119e-25,5.6187445343690985e-26,2.6396629316569816e-28,1.0436943776512272e-39,8.6549531897328539e-40,4.6952762295395352e-40,1.5444836262406544e-49,3.3328606439860479e-60,9.7922018759639466e-44
1.2628931998593506e-19,0.0013286775479173943,3.3627725818946547e-22,6.568854854900836e-34,1.1228300360341078e-34,3.2185432872773194e-50,1.6789651134020802e-51,0.0,0.0,6.4169861863642788e-21,1.2304044560062007e-35,6.247055562375303e-62,1.7506458714782937e-60,8.1276643834202595e-60,5.444454334724293e-99,2.9987297879406773e-69,1.7477454688533324e-60,2.9004348480035024e-63,4.1987326055819951e-60,7.7335066510923101e-104,1.0860113645977547e-93,1.7310402997695577e-61,3.0913054865369437e-50,1.9427447610517111e-71,1.8907208493796858e-91,6.2470555440830215e-62,2.5562720401509392e-75,1.9041655536514753e-49,1.1020073160431238e-27,2.998729788102865e-69,8.5253064969321573e-74,2.0929659333776772e-44,2.5298656165863917e-75,5.6097302236337858e-78,1.0445541420257556e-60,4.7373580537346757e-73,0.35999999999999999,0.0,0.0098899999999835179,0.108803,4.4918027247548918e-21,2.2701013809899064e-32,1.0952152548491136e-26,9.3142927635212657e-54,0.0,2.0288239634176637e-31,8.1009118061386157e-41,3.697477483459042e-45,1.1871172604750911e-27,3.0608272436556076e-45,0.0,2.297111248235176e-49,0.0,0.0,0.0,0.0,8.0372093561178913e-15,8.0372116203725695e-15,4.0803808869565973e-16,3.0188507693734527e-24,2.3457152297080436e-25,1.1020073160319012e-27,8.7728813574398329e-39,7.2750096408487337e-39,3.9466625761037392e-39,1.2982315432902616e-48,5.6213565688680443e-59,8.230935787021036e-43
2.561869062571826e-19,0.0013286775479173943,6.8216245715419986e-22,1.5634779190784243e-33,4.5871271777812778e-34,2.6396417390437485e-49,1.3882089031447299e-50,0.0,0.0,1.3017319935657013e-20,5.0266055922803469e-35,1.0260807618263121e-60,2.8754411190249034e-59,1.3349713242164848e-58,3.6730294956796084e-97,4.9824345428028902e-68,2.8706771991633023e-59,4.7639733171871204e-62,6.8964309585821989e-59,5.3125480834411811e-102,3.5722182302937305e-92,2.8432389085451991e-60,2.5344390232724628e-49,3.8395769293695088e-70,1.2607392131277831e-89,1.0260807558122099e-60,8.4044632438747825e-74,1.5611499764537159e-48,4.5020594943630762e-27,4.9824345433425008e-68,2.8392831319758232e-72,1.7159399353079117e-43,8.317644699419589e-74,1.8443565759657466e-76,1.7156833263044624e-59,1.5956727066668659e-71,0.35999999999999999,0.0,0.0098899999999665644,0.108803,9.1119426693625555e-21,9.2741052215884911e-32,4.4743116711479897e-26,1.5298850856754437e-52,0.0,8.2884078786082346e-31,3.309486762685779e-40,1.5105402689177988e-44,4.8497613558519327e-27,2.509451118459762e-44,0.0,1.8833105869145073e-48,0.0,0.0,0.0,0.0,1.6304053258993953e-14,1.6304057857947913e-14,8.2773440849568933e-16,1.2332990395894561e-23,9.5830120345116616e-25,4.5020594942710671e-27,7.1925388104579875e-38,5.9644924162556065e-38,3.2357124166382093e-38,1.0643686440732296e-47,9.2330948853455823e-58,6.7482185911560093e-42
5.159820787996776e-19,0.0013286775479173943,1.3739329132330423e-21,4.079281383222582e-33,1.8541902361753304e-33,2.1380036266317498e-48,1.1288815657816436e-49,0.0,0.0,2.6218002952113338e-20,2.0318358998558084e-34,1.6633211636213742e-59,4.6612140243146104e-58,2.1640460724343106e-57,2.4130307155298803e-95,8.1226262964413485e-67,4.6534915046998007e-58,7.7226064912787271e-61,1.1179411920088023e-57,3.7206997377783002e-100,1.1597110638445435e-90,4.6090128531922872e-59,2.0524544576998824e-48,8.2544124607381046e-69,8.2350369301191391e-88,1.6633211441147776e-59,2.7259675431900082e-72,1.264259743863089e-47,1.8198044553875174e-26,8.1226262982018323e-67,9.2678938348904319e-71,1.3896126669039221e-42,2.6978081556523351e-72,5.9821264227816161e-75,2.7811966428003702e-58,5.2371578787968329e-70,0.35999999999999999,0.0,0.0098899999999326575,0.108803,1.8352222555978067e-20,3.7487419053582383e-31,1.808588311646897e-25,2.4800175753938501e-51,0.0,3.3503069840372512e-30,1.3377474342184349e-39,6.1058458572447616e-44,1.9603510810377772e-26,2.0322186007514215e-43,0.0,1.5251537414001825e-47,0.0,0.0,0.0,0.0,3.2837741045658485e-14,3.2837750331509951e-14,1.6671270480920356e-15,4.9851918863736179e-23,3.8736066294612271e-24,1.8198044553130061e-26,5.8247048961646764e-37,4.8302005582925202e-37,2.6203637893975916e-37,8.6195330583569029e-47,1.4967244175048832e-56,5.4648826024830533e-41
1.0355724238846675e-18,0.0013286775479173943,2.7574740579882215e-21,1.1921363171872053e-32,7.4556181056519461e-33,1.7209925634046926e-47,9.1050507618990828e-49,0.0,0.0,5.2619431056509373e-20,8.1699352625992044e-34,2.6787275593590421e-58,7.5067416796350597e-57,3.4851295762106641e-56,1.5645906783348618e-93,1.311806474844027e-65,7.4943047985389722e-57,1.243702053292877e-59,1.8004098734644567e-56,2.7444513995469855e-98,3.7430621037810777e-89,7.4226733020185399e-58,1.6519939503378338e-47,1.977497131449429e-67,5.3243144766141873e-86,2.6787274965159409e-58,8.7820677846587283e-71,1.0175862579580812e-46,7.3173538865196928e-26,1.3118064754128393e-65,2.9952236578005116e-69,1.1184811977465568e-41,8.6913485618915273e-71,1.9272217627955094e-73,4.4790315730404847e-57,1.6971323379764835e-68,0.35999999999999999,0.0,0.0098899999998648437,0.108803,3.6832782318809863e-20,1.5073528695012776e-30,7.2722540250047579e-25,3.9939985816922105e-50,0.0,1.3471437025035266e-29,5.3790233602886065e-39,2.4551342276645854e-43,7.8824854773969789e-26,1.635706364537688e-42,0.0,1.22757641644353e-46,0.0,0.0,0.0,0.0,6.5905116542637174e-14,6.5905135272279461e-14,3.3459123272698758e-15,2.0045237164012456e-22,1.5575601454837097e-23,7.3173538859199645e-26,4.6882298084820099e-36,3.8877655623910738e-36,2.1090967166683917e-36,6.9377498019700863e-46,2.4104283670166531e-55,4.3986133195198946e-40
2.0747531140546473e-18,0.0013286775479173943,5.5245572778885569e-21,3.88474299705456e-32,2.9900368955263144e-32,1.3810447892363984e-46,7.3140124559517917e-48,0.0,0.0,1.0542253555123433e-19,3.2765194538049102e-33,4.299951311089969e-57,1.2049983500545044e-55,5.5944050997464376e-55,1.0078699268223022e-91,2.1086911044692706e-64,1.2030019547292066e-55,1.9964174601810839e-58,2.8900567314629402e-55,2.2060455363754255e-96,1.2062486255519465e-87,1.1915035133576387e-56,1.3256211756580767e-46,5.250534575441506e-66,3.4249192746946844e-84,4.2999511093139408e-57,2.8197379368586915e-69,8.165489315799905e-46,2.9345863530350133e-25,2.1086911062982522e-64,9.6321937340233361e-68,8.9751076961578514e-41,2.7906098938829758e-69,6.1879052292662203e-72,7.1898380136801991e-56,5.4650377207433501e-67,0.35999999999999999,0.0,0.0098899999997292161,0.108803,7.3793901802876509e-20,6.0451610870841295e-30,2.9164990982530139e-24,6.4112588472240888e-49,0.0,5.4026487670347145e-29,2.1572287605339555e-38,9.8461900518552481e-43,3.161229229149286e-25,1.3125514009109221e-41,0.0,9.8505276411423794e-46,0.0,0.0,0.0,0.0,1.3203986723119303e-13,1.3203990512840022e-13,6.703482885566149e-15,8.0390365240778268e-22,6.2465124704279281e-23,2.9345863525537682e-25,3.7620099961070474e-35,3.1196869167809553e-35,1.6924172446623667e-35,5.5671068331481444e-45,3.8692708257041822e-54,3.5296107629125807e-39
