Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423),S(422),C7H9O(956),S(1059),C5H8(381),C7H8(253),S(1058),S(160),S(1870)
0.0,0.001360251811783148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9773122850425527e-18,0.001360251811783148,5.4402006236178278e-27,3.3500900795384924e-36,2.4196032233359906e-39,1.992911514686971e-58,2.8772128235974117e-49,0.0,0.0,3.0176174202700605e-24,7.6592198065244255e-39,2.4002364792819621e-46,1.1143954217404761e-47,3.4954356452198194e-44,3.0599833350152233e-108,8.8905515741318502e-81,4.2424532784362834e-68,1.1143954217405176e-47,3.4954356470829225e-44,3.9418444109180995e-90,5.597748067531053e-88,8.0440374999180987e-47,2.682379610224137e-59,5.0099903985421738e-79,1.4020165326107215e-77,2.4002362929716028e-46,5.6627977872962948e-57,4.6704051987677102e-35,3.5389862990585765e-31,1.4051778357278912e-79,4.2616472186963397e-82,9.5401635585296259e-50,3.5403162636676319e-60,1.0019850900579221e-63,5.1454580502159338e-45,3.5928685665186845e-78,0.35999999999999999,0.0,0.0098899999999993837,0.108803,3.7462255440447906e-24,3.9294936384702195e-24,2.0256287833594987e-29,3.0259915067152246e-55,0.0,4.5661536754309222e-33,1.9779153920287444e-45,5.6721763120045329e-46,6.2476907000140095e-29,1.5281615900815996e-46,0.0,8.8969053692228256e-53,0.0,0.0,0.0,4.0518459540606654e-118,2.9521197390334914e-16,2.9521197560351085e-16,2.6453320961769133e-17,2.6800940473405998e-24,2.5666000982729187e-25,3.5394533378121937e-31,1.1763261023187943e-38,9.8341042801234612e-41,7.8325162777448435e-41,7.2498477907810976e-52,1.6738279153142294e-60,2.2289393602225662e-46,3.2591981249259445e-43,2.8729933822463783e-61,3.347667546269099e-36,1.8763819158664567e-43
5.536474398119148e-18,0.001360251811783148,1.5232563846644217e-26,2.023453504406438e-35,1.4614405154384531e-38,2.9249034169949992e-57,3.4158274256220669e-48,0.0,0.0,8.4497602536314232e-24,4.6263661185890623e-38,1.4497429393595589e-45,6.7309483344129942e-47,2.1112431245812691e-43,9.621261168594193e-107,2.7110329385171916e-79,9.4901990376425481e-67,6.7309483344134862e-47,2.111243126793145e-43,1.0754024862416806e-88,1.0697764960609496e-86,4.8585986406393028e-46,3.184521295351048e-58,2.0626158963616103e-77,4.4082651084494907e-76,1.4497427181719003e-45,6.7228735212512323e-56,1.3077134526515463e-34,2.1375478940250813e-30,4.4181900299945086e-78,2.5925849588277165e-80,1.1326082998527069e-48,4.203063457556728e-59,1.1895566965041801e-62,3.1078566563601747e-44,1.1331695914274928e-76,0.35999999999999999,0.0,0.0098899999999982717,0.108803,1.0489431507802287e-23,1.1002582187716433e-23,1.2234797725341081e-28,6.7686028963498456e-54,0.0,2.7579568165468706e-32,1.1946604751460604e-44,3.4259944884401117e-45,3.773605179741815e-28,1.8142334451487902e-45,0.0,1.0562406046480739e-51,0.0,0.0,0.0,3.1265860521325784e-116,8.2659351824545792e-16,8.2659353085793035e-16,7.4069298692903805e-17,1.6187767877391454e-23,1.550226395099866e-24,2.1376786632733428e-30,1.3965343796945229e-37,1.1674291217747734e-39,9.2981600183994642e-40,8.6070164947714106e-51,3.7442847442603451e-59,2.646025547058441e-45,3.8693200020342293e-42,6.4267681977006093e-60,2.0219910709460062e-35,2.2276404823846043e-42
1.2654798624272338e-17,0.001360251811783148,3.4817298694754186e-26,9.7420554866355671e-35,7.0362087014577531e-38,3.1168367627356754e-56,3.3536803864477203e-47,0.0,0.0,1.9315771827823034e-23,2.2275971464678592e-37,6.9798892698507377e-45,3.2406618670720824e-46,1.0164726779326702e-42,2.146545028860739e-105,5.9833145996774312e-78,1.8751037614816031e-65,3.2406618670725662e-46,1.0164726801043032e-42,3.3012963501242396e-87,1.8635576092684432e-85,2.3392060910093394e-45,3.1265823611817063e-57,8.1331655875938255e-76,9.8354746393127986e-75,6.9798870982172036e-45,6.6005570642090761e-55,2.9890593061874464e-34,1.0291374698567807e-29,9.8574883439369856e-77,1.1704676469480104e-78,1.1120017191528375e-47,4.1265926038555918e-58,1.1679138134924998e-61,1.4962991920474183e-43,2.5586346090437675e-75,0.35999999999999999,0.0,0.0098899999999960513,0.108803,2.3975843373224837e-23,2.5148759286208129e-23,5.890528312783982e-28,1.3373147044071677e-52,0.0,1.3278374836952059e-31,5.751771635434522e-44,1.6494688655149821e-44,1.8168284509611769e-27,1.7812251652158223e-44,0.0,1.0370232873983261e-50,0.0,0.0,0.0,3.407506798894515e-114,1.8893565721939979e-15,1.8893566380391693e-15,1.6930125415497415e-16,7.7937132368478151e-23,7.4636721219230701e-24,1.0291673583909406e-29,1.371125794616969e-36,1.1461494910800749e-38,9.1286751231524889e-39,8.4504138973642579e-50,7.3980698546347874e-58,2.5977952437867467e-44,3.7989212975868453e-41,1.2698197643007185e-58,9.7350153195426459e-35,2.1871103639245882e-41
2.689144707657872e-17,0.001360251811783148,7.3986801999202525e-26,4.2546110294640183e-34,3.0728987058286539e-37,2.8545764438998332e-55,2.9662936819330875e-46,0.0,0.0,4.1054698605824661e-23,9.7302680675773184e-37,3.048301969723494e-44,1.4152821656162082e-45,4.4392031898908858e-42,4.0209712443471018e-104,1.1155341267404018e-76,3.3366482307879714e-64,1.4152821656166367e-45,4.4392032090987338e-42,1.0066853629675957e-85,3.083925753742631e-84,1.0215927480571933e-44,2.7654275258072139e-56,2.8968923033382642e-74,1.8424007699300732e-73,3.0483000489382441e-44,5.8381179297976703e-54,6.3517509652046482e-34,4.4945152254066015e-29,1.8464761713768009e-75,4.4198456532613002e-77,9.8355323724847075e-47,3.6499243857324451e-57,1.0330065327401854e-60,6.5347316312353579e-43,4.905410454488407e-74,0.35999999999999999,0.0,0.0098899999999916104,0.108803,5.0948666855700677e-23,5.3441113483188591e-23,2.5725483593336163e-27,2.3796381854594922e-51,0.0,5.7990151148895608e-31,2.5119460124811413e-43,7.2036638540811533e-44,7.9345671414408773e-27,1.5754735053554731e-43,0.0,9.1723535082349575e-50,0.0,0.0,0.0,2.7875527412237775e-112,4.0148825411483786e-15,4.0148828390912525e-15,3.5976516507831891e-16,3.4037191788766347e-22,3.2595811288237074e-23,4.4945787247052805e-29,1.2127453415577937e-35,1.0137391219698889e-37,8.0740730963973951e-38,7.4742848345111827e-49,1.3164449171385409e-56,2.2976831638315258e-43,3.3601028215318077e-40,2.2595716649466925e-57,4.2515358152539607e-34,1.9344738658421866e-40
5.536474398119148e-17,0.001360251811783148,1.5232594304101037e-25,1.7762161437484072e-33,1.2828759799576054e-36,2.4388870190896413e-54,2.4933508588920447e-45,0.0,0.0,8.4560166678244379e-23,4.0636713515340741e-36,1.2726068582471298e-43,5.9085243461202426e-45,1.853279907511093e-41,6.950360238619689e-103,1.9227698616153062e-75,5.6277492369282053e-63,5.9085243461238445e-45,1.8532799236564466e-41,3.1108832148679299e-84,5.0044314844870462e-83,4.2649485525649325e-44,2.3245098691144084e-55,9.7774133765013037e-73,3.183408732452935e-72,1.2726052437114225e-43,4.9072898180184962e-53,1.3077134091020661e-33,1.8763728988026521e-28,3.1902843815654637e-74,1.533714602659325e-75,8.267362803964747e-46,3.0679813030168856e-56,8.6830421878771004e-60,2.7281217749394989e-42,8.8631575629871187e-73,0.35999999999999999,0.0,0.0098899999999827268,0.108803,1.0489431282717956e-22,1.1002582187713783e-22,1.073988204957568e-26,4.0135719785164916e-50,0.0,2.4209746310966426e-30,1.0486848590143814e-42,3.0073878246767934e-43,3.312525566322365e-26,1.3242804416276973e-42,0.0,7.7099157495434201e-49,0.0,0.0,0.0,2.0062228254495914e-110,8.2659339232864315e-15,8.2659351879538656e-15,7.4069298692182409e-16,1.4209856287786723e-21,1.360810475719987e-22,1.8763859606292378e-28,1.0193857069254279e-34,8.5210146062478421e-37,6.786685877058565e-37,6.2825689984193796e-48,2.2203697294720368e-55,1.9313270004720274e-42,2.8243688075657679e-39,3.8110818170303818e-56,1.7749315613756155e-33,1.6260410328124692e-39
1.12311337790417e-16,0.001360251811783148,3.0900476285625103e-25,7.2564212911207605e-33,5.2409772704708097e-36,2.0163469480909402e-53,2.0442034258513817e-44,0.0,0.0,1.7168156087229324e-22,1.6613485253748031e-35,5.1990207282729374e-43,2.4138249069509742e-44,7.5712528188902362e-41,1.1582534592083564e-101,3.1914915961853988e-74,9.2436091527902622e-62,2.4138249069539264e-44,7.5712529512595936e-41,9.7503744579375706e-83,8.0581702296543831e-82,1.7423705886573374e-43,1.9057759343280586e-54,3.2128112578698705e-71,5.2929986803928064e-71,5.1990074913342589e-43,4.0232925558294953e-52,2.6527899573779154e-33,7.6656058902967576e-28,5.3038794757923869e-73,5.1096729237000719e-74,6.7780920630132197e-45,2.5153163209234047e-55,7.1188823421379151e-59,1.114526724994351e-41,1.6022171093887351e-71,0.35999999999999999,0.0,0.0098899999999649615,0.108803,2.1278560079628003e-22,2.2319523866498958e-22,4.3875914799473183e-26,6.5922728755426949e-49,0.0,9.8904711039763659e-30,4.2841940564581282e-42,1.2286160305163408e-42,1.3532747601248877e-25,1.0857251664765358e-41,0.0,6.3210546631546163e-48,0.0,0.0,0.0,1.3598843394837051e-108,1.676803446448039e-14,1.676803967271316e-14,1.5025486305960982e-15,5.8051889196081731e-21,5.5593508874808774e-22,7.6656322926959025e-28,8.357542763209563e-34,6.9860080379362352e-36,5.5641067918067353e-36,5.1508005098563697e-47,3.6469408237666636e-54,1.5834148663941294e-41,2.3155880661086482e-38,6.2596605621587312e-55,7.2511668119109002e-33,1.3331253479891294e-38
2.2620452540886807e-16,0.0013602518117831481,6.2236455341307475e-25,2.9331606146547969e-32,2.1184951361658376e-35,1.6413711779445452e-52,1.655455007380426e-43,0.0,0.0,3.4636618132557632e-22,6.7251879465341774e-35,2.1015325350767382e-42,9.7570655738913327e-44,3.0604211897498767e-40,1.9107794605226922e-100,5.200387018387945e-73,1.4984334590952441e-60,9.7570655739152391e-44,3.0604212969460063e-40,3.0850895201539016e-81,1.2932851018718504e-80,7.0429400403459226e-43,1.5433504917672603e-53,1.0417747087266024e-69,8.6410422965880258e-70,2.1015218154614348e-42,3.2581664234817483e-51,5.34294274638024e-33,3.0985688336027446e-27,8.6570099644298029e-72,1.6690330988838244e-72,5.4890885240316913e-44,2.0369681910188907e-54,5.7650550839397574e-58,4.5050949249108705e-41,3.0344737875801617e-70,0.35999999999999999,0.0,0.0098899999999294292,0.108803,4.2856816083932222e-22,4.4953407224050656e-22,1.7735340044004216e-25,1.0686326662069422e-47,0.0,3.9978863865924871e-29,1.7317189021879855e-41,4.9662622359777022e-42,5.4701527987309432e-25,8.7924847137202697e-41,0.0,5.1189538181239691e-47,0.0,0.0,0.0,8.9541047007938307e-107,3.3772226654545239e-14,3.3772247790370119e-14,3.0262599178937008e-15,2.3465493454556002e-20,2.2471753399719868e-21,3.0985740749120332e-27,6.7681594305353791e-33,5.6574289024730748e-35,4.5059394894530335e-35,4.1712046125397756e-46,5.9117732621230625e-53,1.2822922327465124e-40,1.8752230515620763e-37,1.0147008446544829e-53,2.9310312861049187e-32,1.0795973130334125e-37
4.539909006457702e-16,0.001360251811783148,1.2490927382308305e-24,1.1794102848106238e-31,8.5184427379411731e-35,1.3273634912906522e-51,1.3324639885632663e-42,0.0,0.0,6.9750274943966725e-22,2.7120107385692345e-34,8.4502119665749406e-42,3.9232726415301744e-43,1.2305816962619774e-39,3.2317997601371346e-99,8.3966799825152664e-72,2.4131956503490356e-59,3.9232726415494166e-43,1.2305817825427353e-39,9.8143380192125597e-80,2.0727335977436691e-79,2.8319348442388884e-42,1.2422287480155166e-52,3.355752242516703e-68,1.3994447654084949e-68,8.450125685798464e-42,2.622455471130609e-50,1.0723247094187668e-32,1.2459276313280888e-26,1.4014516125826988e-70,5.4014644358602179e-71,4.4181182593968694e-43,1.6395289231711526e-53,4.6402172260985146e-57,1.8114786179342206e-40,6.2651796000360842e-69,0.35999999999999999,0.0,0.0098899999998583645,0.108803,8.6013321734693455e-22,9.0221173939079799e-22,7.131297215896499e-25,1.7209952980395896e-46,0.0,1.6075323970713436e-28,6.9629980024677993e-41,1.9969120433068838e-41,2.1995242597572651e-24,7.0769579502472963e-40,0.0,4.1201791584353352e-46,0.0,0.0,0.0,5.812206096879614e-105,6.7780575465426855e-14,6.7780660618254321e-14,6.0736824922851226e-15,9.4353650154452958e-20,9.0357676734896277e-21,1.2459286218496027e-26,5.4476109582929279e-32,4.5535700818556612e-34,3.6267533813390961e-34,3.3572724054904086e-45,9.5204871205534939e-52,1.0321063998773095e-39,1.5093423305828821e-36,1.6340893296123018e-52,1.1785497423164019e-31,8.6895036748255068e-37
9.095636511195743e-16,0.001360251811783148,2.5025835226726914e-24,4.7299571869308626e-31,3.4163302527243766e-34,1.0722021711001355e-50,1.0692341270545895e-41,0.0,0.0,1.4068451860722373e-21,1.0939278586324259e-33,3.3889466889616591e-41,1.5734073907609263e-42,4.9351813575422258e-39,6.1340990149044044e-98,1.3496110024964134e-70,3.8737608429131569e-58,1.5734073907763659e-42,4.9351820498907578e-39,3.1311601786836e-78,3.3203649911168715e-78,1.1357322371409265e-41,9.9681997274843864e-52,1.0773945354756903e-66,2.2621501230099448e-67,3.388877454093721e-41,2.1043548446464465e-49,2.1483850869015892e-32,4.9967810477372274e-26,2.2635373545386842e-69,1.7418138471814689e-69,3.5452974089017969e-42,1.3156182428085341e-52,3.7234810438212411e-56,7.2648375586087232e-40,1.4457971261558058e-67,0.35999999999999999,0.0,0.0098899999997162352,0.108803,1.7232630760655819e-21,1.8075670736884359e-21,2.8599651178122998e-24,2.7625680696916755e-45,0.0,6.4469228108410162e-28,2.7923392538381422e-40,8.0085091562224379e-41,8.8210750643018207e-24,5.6788151883363773e-39,0.0,3.3061839524942024e-45,0.0,0.0,0.0,3.7461455797678713e-103,1.3579713081055121e-13,1.3579747264443871e-13,1.2168527640252836e-14,3.7839980060989828e-19,3.6237264910800778e-20,4.9967825397079828e-26,4.3713766428300369e-31,3.6539252118036379e-33,2.910215517656601e-33,2.6938777841547628e-44,1.5281715128752336e-50,8.2821135116188255e-39,1.2111516484117082e-35,2.6228983907823862e-51,4.726471107378974e-31,6.9727237182088395e-36
