Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423),S(422)
0.0,0.0016086092550449702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0933756809026196e-17,0.0016086092550449702,2.8580900227971719e-28,5.5999505816397361e-40,5.599936773390222e-40,1.7759017515456528e-59,2.1456185846809596e-59,0.0,0.0,3.8115369042910459e-25,4.8655545560790836e-39,2.0347534043354119e-68,3.9467938129640956e-69,4.204823344147542e-66,-4.5568941779016897e-116,1.9178435578666458e-83,3.0020886179227748e-69,9.4470515262988899e-70,4.1980746873790534e-66,1.1931524131207457e-115,7.4328535241191557e-112,6.2417056715650469e-69,1.0843053493108411e-61,2.7198090944743348e-79,3.1214295816867127e-99,2.0347495518069525e-68,3.9575832351134282e-84,3.0000572926042309e-58,1.7864440874928274e-31,1.9178435780370551e-83,1.4844687877774055e-82,2.1732970894834869e-50,6.056127949692298e-82,6.8408901367352763e-86,5.0595038651972913e-67,2.0957663509781828e-80,0.35999999999999999,0.0,0.0098899999999994062,0.108803,5.3405148097881786e-25,1.5093119149912588e-38,1.7688496196888104e-29,1.5959731344302914e-53,0.0,1.1049598226652005e-32,2.5170889617696885e-46,1.2890404410556749e-48,2.7105663104403477e-28,2.3710406395178606e-45,0.0,1.396764141011823e-52,0.0,0.0,0.0,0.0,2.7951820052268029e-16,2.7951823625644068e-16,3.5200940217263579e-17,4.0288796763098742e-23,4.4019001148820245e-24,1.7864440703995475e-31,8.777512593731427e-37,8.8143507094318163e-40,8.2789289867909829e-40
1.1461451906527334e-16,0.0016086092550449702,8.0026563264080717e-28,3.3823679962971894e-39,3.382363314449254e-39,2.6846664850301972e-58,3.373062301559739e-58,0.0,0.0,1.0691308811415435e-24,2.9431624305197602e-38,4.5516721269763286e-67,8.8288252000108358e-68,9.4060274897792753e-65,2.3614722383481961e-114,6.0300126517282632e-82,6.715556046964309e-68,2.1132689807199273e-68,9.3909310784274341e-65,1.5519625837019768e-113,8.4294641484012524e-110,1.3962454723777004e-67,1.2872881037312594e-60,1.1223371126761733e-77,3.5511871368059802e-97,4.5516562294001016e-67,1.6331088086431429e-82,3.5616703703606565e-57,1.0790130165416064e-30,6.0300127678995956e-82,9.0335174597227715e-81,2.5801400290612039e-49,2.499079671527609e-80,2.8229141949823735e-84,1.1317914907325991e-65,1.001173484355627e-78,0.35999999999999999,0.0,0.0098899999999983342,0.108803,1.4953441102760133e-24,9.1212485997204583e-38,1.0683850121515262e-28,3.5701255513707459e-52,0.0,6.6739571931517622e-32,1.5203217137584157e-45,7.7858047596446033e-48,1.6371820267784439e-27,2.814899424460443e-44,0.0,1.6582383652733131e-51,0.0,0.0,0.0,0.0,7.8265083092664942e-16,7.8265104725490004e-16,9.8562632608006879e-17,2.4334429714143101e-22,2.658746687304733e-23,1.0790129962484806e-30,1.0420662648070512e-35,1.0464389878193223e-38,9.8287359894138361e-39
2.6197604357776765e-16,0.0016086092550449702,1.8291805983932431e-27,1.6284653232893718e-38,1.6284638686841156e-38,2.8967010937024317e-57,3.9190810776408358e-57,0.0,0.0,2.4526874520122063e-24,1.421454470632272e-37,8.9933810109750679e-66,1.7444293787675864e-66,1.8584750643241009e-63,2.4784684114946307e-112,1.3452658947444751e-80,1.3268823913970725e-66,4.1754692166645074e-67,1.8554922954644189e-63,3.4383232919019065e-111,7.6239586121585992e-108,2.7587495772111188e-66,1.2638687735469124e-59,4.4398564134360089e-76,3.2230611642482256e-95,8.9933181216598476e-66,6.4604248411869184e-81,3.4968740786138439e-56,5.194991221864732e-30,1.345265946840701e-80,4.0865040148153618e-79,2.5332004332223175e-48,9.8861239257388878e-79,1.1167182931318733e-82,2.2362323536711295e-64,5.2131007722511567e-77,0.35999999999999999,0.0,0.0098899999999961952,0.108803,3.4179292230164316e-24,4.3965859963449277e-37,5.1438123219480208e-28,7.0539554681714217e-51,0.0,3.2132229606948471e-31,7.3196944135694844e-45,3.7485303460924888e-47,7.8823264597996603e-27,2.7636848955174368e-43,0.0,1.6280682116531201e-50,0.0,0.0,0.0,0.0,1.7889155695874493e-15,1.7889166121993632e-15,2.2528601738816894e-16,1.1715976802557833e-21,1.2800710802827605e-22,5.1949910226259527e-30,1.0231067618702961e-34,1.0273984606435207e-37,9.6498932655989554e-38
5.566990926027563e-16,0.0016086092550449702,3.8870173500180178e-27,7.1119477360014057e-38,7.1119430036866753e-38,2.6803058887000886e-56,4.1373599615469133e-56,0.0,0.0,5.2502093330213305e-24,6.2469500423632042e-37,1.6003398162862715e-64,3.1041270979607151e-65,3.3070661883840617e-62,1.9788057337740242e-110,2.5195462674517281e-79,2.3611223384973923e-65,7.4300452930012231e-66,3.3017586093383159e-62,5.6831718660132214e-109,5.7760594299599405e-106,4.9090611544156825e-65,1.1178806055405745e-58,1.5845549487307555e-74,2.4551805745753762e-93,1.6003173714755234e-64,2.3056860656992789e-79,3.0929544330573019e-55,2.2687962003921193e-29,2.5195464634516796e-79,1.549259465245802e-77,2.2405935933802596e-47,3.528296949956845e-77,3.9854991288510053e-81,3.9792670885417497e-63,2.0804206517595381e-75,0.35999999999999999,0.0,0.0098899999999919174,0.108803,7.2630988651191916e-24,1.9245833066078826e-36,2.2464365658289327e-27,1.2552097474582385e-49,0.0,1.4032987643893225e-30,3.196702684616273e-44,1.6370821284269064e-46,3.4424188309110711e-26,2.4444478998535583e-42,0.0,1.4400078094772686e-49,0.0,0.0,0.0,0.0,3.8014429583227547e-15,3.8014475138790948e-15,4.7873278694319504e-16,5.1166717162270414e-21,5.5903979236315685e-22,2.2687960241682705e-29,9.0492620588065395e-34,9.0871955886370382e-37,8.5351892696045052e-37
1.1461451906527335e-15,0.0016086092550449702,8.0027181337381849e-27,2.9691090993056564e-37,2.9691074485807953e-37,2.3240077512999477e-55,4.4555457294948582e-55,0.0,0.0,1.0966887903988406e-23,2.6406432274520451e-36,2.699260180167036e-63,5.2355918695856131e-64,5.5778815046804607e-61,1.4095456069570102e-108,4.3519314759840734e-78,3.9823982422490713e-64,1.2531928568492761e-64,5.5689298301811686e-61,8.2241070751872273e-107,4.0156325027991829e-104,8.279895721581723e-64,9.396510332702001e-58,5.3538647618071308e-73,1.7243783547430566e-91,2.6991843438094605e-63,7.7904352441743287e-78,2.5998296867936874e-54,9.4718364352431728e-29,4.3519321546761073e-78,5.4185307603933436e-76,1.8833648521526217e-46,1.1921383014020744e-75,1.3466174832565889e-79,6.7116533346716032e-62,7.3942047287653601e-74,0.35999999999999999,0.0,0.00988999999998336,0.108803,1.4953435816114952e-23,8.072186262209898e-36,9.378418623032859e-27,2.1170814093189142e-48,0.0,5.8584950863422111e-30,1.3345603003835557e-43,6.8344993330564483e-46,1.4371419127735168e-25,2.0547055930688507e-41,0.0,1.2104131854215208e-48,0.0,0.0,0.0,0.0,7.8264893814662629e-15,7.8265084044068063e-15,9.8562632603205516e-16,2.1361070789673313e-20,2.3338737409089589e-21,9.4718349539855509e-29,7.6064476782895059e-33,7.638289264898587e-36,7.174286961945599e-36
2.325037386752688e-15,0.0016086092550449702,1.6234228822989116e-26,1.2129870699376697e-36,1.2129864605826507e-36,1.9729329139234418e-54,5.1988032821724466e-54,0.0,0.0,2.2886783096744796e-23,1.105482834006592e-35,4.4337184742763333e-62,8.5995671229026445e-63,9.161790733982291e-60,9.509537355008228e-107,7.2309383277652232e-77,6.5411677921602157e-63,2.0583968092484489e-63,9.1470886768345438e-60,1.1179190717553679e-104,2.6774540076382723e-102,1.3599909124435568e-62,7.7039093212279485e-57,1.7602413056555671e-71,1.1727471086074733e-89,4.4334691381503142e-62,2.5613535091169506e-76,2.1315226777193598e-53,3.8696023856279962e-28,7.2309405858591141e-77,1.8335089190009596e-74,1.5441142197704067e-45,3.9195334208774929e-74,4.4274331784815836e-78,1.102403693915932e-60,2.4906148381743042e-72,0.35999999999999999,0.0,0.0098899999999662452,0.108803,3.0334100387687725e-23,3.3283394417894746e-35,3.8313803523354771e-26,3.4772688949468949e-47,0.0,2.3933855714040073e-29,5.452113112932532e-43,2.7921190112938793e-45,5.8711921298582005e-25,1.6845715298330657e-40,0.0,9.9236962101250193e-48,0.0,0.0,0.0,0.0,1.5876548810589505e-14,1.5876626534175451e-14,1.9994134041250058e-15,8.7266728323475083e-20,9.5345757321746795e-21,3.8696011712199143e-28,6.2362215271634689e-32,6.262255309741429e-35,5.8818255107164391e-35
4.6828217789525965e-15,0.0016086092550449702,3.2697686688158339e-26,4.903161830157048e-36,4.9031594970754762e-36,1.6880340111053771e-53,6.6914553706615257e-53,0.0,0.0,4.8672716205854827e-23,4.6843499599937449e-35,7.1878232874076709e-61,1.3940568920043819e-61,1.4852004855587911e-58,6.2476719935828602e-105,1.1788707957494397e-75,1.060373118455376e-61,3.3368295758891361e-62,1.4828175737990387e-58,1.474196695802835e-102,1.7488759370875158e-100,2.2046559729035153e-61,6.2389590271545174e-56,5.7093504831569992e-70,7.9597588099551776e-88,7.1870145530597961e-61,8.3078820346270237e-75,1.7262045713598976e-52,1.5641940758142064e-27,1.1788715324816575e-75,6.1736043951382444e-73,1.2504927631924175e-44,1.2713204442562676e-72,1.436060532109824e-76,1.7870861705491985e-59,8.1747298242004331e-71,0.35999999999999999,0.0,0.0098899999999320174,0.108803,6.1095392228520614e-23,1.3700970984987231e-34,1.5486973828151649e-25,5.6366611273715484e-46,0.0,9.6744404467933654e-29,2.2038303458091876e-42,1.1286215957697816e-44,2.3732285090572864e-24,1.3642092869059403e-39,0.0,8.036462617577637e-47,0.0,0.0,0.0,0.0,3.1976534001337819e-14,3.1976848188887417e-14,4.0269875599718322e-15,3.5274432399588286e-19,3.8539794295852964e-20,1.5641930923816345e-27,5.0502476543692899e-31,5.0712140815019101e-34,4.7631116364273425e-34
9.398390563352415e-15,0.0016086092550449704,6.5626348360566038e-26,1.9715995196307469e-35,1.9715986074918336e-35,1.4964764386562624e-52,9.3714929768011458e-52,0.0,0.0,1.0802907748241777e-22,2.0571135360319315e-34,1.1577654012736759e-59,2.2451839300602446e-60,2.3919887546804639e-57,4.0513233039414255e-103,1.9040259612993306e-74,1.7077678903876065e-60,5.3741341390530143e-61,2.3881522924809596e-57,1.9152381426934198e-100,1.1307826551799899e-98,3.5507090431677457e-60,5.0218719384726596e-55,1.8393755254314073e-68,5.5336164316332189e-86,1.157504843969589e-59,2.676627422130361e-73,1.3894720815183987e-51,6.2898685881977797e-27,1.9040283418624863e-74,2.1171909434995385e-71,1.0065521042734015e-43,4.0959283711838762e-71,4.6266879889772311e-75,2.8781921616872871e-58,2.6492529345136138e-69,0.35999999999999999,0.0,0.0098899999998635617,0.108803,1.2261782685583132e-22,5.707968266586409e-34,6.2271812221065133e-25,9.0772129676720841e-45,0.0,3.8900445684459137e-28,8.8614972834454705e-42,4.5381574950618662e-44,9.5426376286469204e-24,1.0980336532348985e-38,0.0,6.4684380533760158e-46,0.0,0.0,0.0,0.0,6.4175969722097206e-14,6.4177233081584308e-14,8.0821358703091822e-15,1.4183553823774735e-18,1.5496291549684712e-19,6.2898606731046774e-27,4.0648686552831699e-30,4.081556898170881e-33,3.8335362049937045e-33
1.8829528132152052e-14,0.0016086092550449702,1.3149065543685971e-25,7.907474997397084e-35,7.9074713910880672e-35,1.4189921139275341e-51,1.391335858239485e-50,0.0,0.0,2.5787917360434349e-22,9.6420574834022082e-34,1.8591077394915873e-58,3.6043479271378544e-59,3.8401207571409419e-56,2.6104109545804416e-101,3.0611943864796032e-73,2.7415693856635209e-59,8.6277038310704737e-60,3.8339660581234008e-56,3.5642533876854374e-98,7.2753182589524549e-97,5.7003456016407715e-59,4.0300808963081635e-54,5.9060559806071572e-67,4.4980449084692977e-84,1.8582710485734101e-58,8.5950858009073e-72,1.1151005429537725e-50,2.5227696766391517e-26,3.0612020423325463e-73,8.0987595724175597e-70,8.0776967995190761e-43,1.3152674953161627e-69,1.4857038050064347e-73,4.6206814391222618e-57,9.893633320951644e-68,0.35999999999999999,0.0,0.0098899999997266487,0.108803,2.4566210113214817e-22,2.4486564130174658e-33,2.4973277855316059e-24,1.456947355517475e-43,0.0,1.5600775459640729e-27,3.5538506483968402e-41,1.8200199285979249e-43,3.8270166116975912e-23,8.8110179232870303e-38,0.0,5.1905041919062549e-45,0.0,0.0,0.0,0.0,1.2857270259470821e-13,1.2857776922066228e-13,1.6192432485558676e-14,5.6881269267916339e-18,6.2143930200078135e-19,2.5227633259617951e-26,3.2617850200756628e-29,3.2748756712982772e-32,3.075801685568109e-32
