Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162)
0.0,0.0007612857457340774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.214088483269972e-18,0.0007612857457340774,5.6871651459814602e-28,7.4647174883922708e-40,7.4646384739989995e-40,2.7653202837936012e-59,3.2781593035224307e-59,0.0,0.0,6.120832057358547e-25,5.0323906390581124e-39,5.6928424903007084e-69,9.0373772723370665e-70,1.0801172337149215e-66,-4.3337401981802801e-116,1.9271402916799125e-83,6.3942739766943756e-70,2.6431032552564169e-70,1.0786798056408349e-66,2.3601802011076386e-116,4.2352471395806986e-112,1.7792112581179193e-69,4.8556311885118748e-62,3.3738542078772734e-80,6.4006763941616235e-100,5.6928377659202107e-69,6.9087757618016526e-85,1.6452011308396165e-58,5.0537017350812249e-32,1.9271403020052133e-83,4.0868122209254374e-83,7.2435605871186312e-51,1.0236333052900255e-82,1.9429089567931299e-86,1.3626284036285964e-67,4.4984906784425462e-81,0.35999999999999999,0.0,0.0098899999999994357,0.108803,8.3909866053853939e-25,1.0390787422062256e-38,8.5423876011262445e-30,6.3186415615433616e-63,0.0,4.643476395597687e-33,3.3486340548405114e-46,2.1863641857098346e-48,1.7603165268487355e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7363859060166323e-16,2.7363860906480747e-16,1.5614718653040348e-17,2.2065606288901108e-23,3.3756718819736862e-24,5.0537017350812249e-32
2.5799447753155922e-17,0.0007612857457340774,1.5924065276869584e-27,4.5086655248980077e-39,4.5086423159104808e-39,4.180129181923198e-58,4.957220884029288e-58,0.0,0.0,1.7150428152810036e-24,3.0413547584357712e-38,1.2734674102205196e-67,2.0216257921719149e-68,2.4161798422747045e-65,2.2458274348886736e-114,6.0592401349124725e-82,1.4303739517412176e-68,5.9125182427813997e-69,2.4129643810911832e-65,3.0699397931291882e-114,4.7818047964746354e-110,3.9800257398936476e-68,5.7646072299734969e-61,1.3922305586700426e-78,7.2809468922782737e-98,1.2734654606910532e-67,2.8509265884380114e-83,1.9531834629878877e-57,3.0524370200479505e-31,6.0592401943809479e-82,2.4864905412909774e-81,8.5995581521839934e-50,4.2240528478385091e-81,8.0174707983662552e-85,3.0481462481607731e-66,2.1489837106127057e-79,0.35999999999999999,0.0,0.0098899999999984244,0.108803,2.3494762338866502e-24,6.2776387584783215e-38,5.1596016951539269e-29,1.9873122085925472e-61,0.0,2.8046597272551639e-32,2.0225749462987219e-45,1.3205639679293138e-47,1.0632311696273346e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.661879821913352e-16,7.6618809444361648e-16,4.3721212228465346e-17,1.3327625129225708e-22,2.0389054571637454e-23,3.0524370200479505e-31
5.897016629292782e-17,0.0007612857457340774,3.6397877011131067e-27,2.1707237010528389e-38,2.1707178846614997e-38,4.5023682009787187e-57,5.3400176163964625e-57,0.0,0.0,3.9258013904121688e-24,1.4661054068262227e-37,2.5161626953249053e-66,3.994394683903771e-67,4.7739676408583748e-64,2.3570901507979817e-112,1.351784619942925e-80,2.8261797942333246e-67,1.1682148304840779e-67,4.7676144656609511e-64,6.8013168588502801e-112,4.3186560063499421e-108,7.8638658875728525e-67,5.6597295505419757e-60,5.5075272596620334e-77,6.598064065059612e-96,2.516154983174742e-66,1.1277990153858895e-81,1.9176485455310265e-56,1.4696182226496738e-30,1.3517846466111142e-80,1.1233733625729498e-79,8.4431035921300394e-49,1.6709944804051343e-79,3.1716339758525918e-83,6.0226277102323014e-65,1.1189724559850001e-77,0.35999999999999999,0.0,0.0098899999999963982,0.108803,5.3702313180978328e-24,3.0240457152793131e-37,2.4841256905181257e-28,4.4390679567000479e-60,0.0,1.3503229123110486e-31,9.7378274891021196e-45,6.3579470484528819e-47,5.1190002712149345e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7512864793974771e-15,1.751287021449885e-15,9.9934199379124805e-17,6.4166767049068573e-22,9.8164484395559559e-23,1.4696182226496738e-30
1.2531160337247162e-16,0.0007612857457340774,7.7345546369589142e-27,9.4801159083195993e-38,9.4801013650114512e-38,4.1495234015606399e-56,4.921778363144807e-56,0.0,0.0,8.3666759581054071e-24,6.4188935665401039e-37,4.4773974206434353e-65,7.1078219002057954e-66,8.4950326179058004e-63,1.881891090649911e-110,2.5317485232128461e-79,5.0290427494452656e-66,2.0787789477996702e-66,8.4837276045384093e-63,1.124179052987169e-109,3.2699581072576108e-106,1.3993349617767164e-65,5.0059737882491362e-59,1.9655986121435349e-75,5.0108102016242029e-94,4.4773698964881598e-65,4.0250403661285177e-80,1.6961409818325099e-55,6.4182193704572133e-30,2.531748623545455e-79,4.2480559932134763e-78,7.4678409036373579e-48,5.9636690611216935e-78,1.1319352550410908e-81,1.0716959879911399e-63,4.4655341015776891e-76,0.35999999999999999,0.0,0.0098899999999923459,0.108803,1.1411741236580045e-23,1.3221148925136686e-36,1.0848825806575393e-27,8.3342030493822123e-59,0.0,5.8972147792785539e-31,4.2527648958611525e-44,2.7766825121406279e-46,2.2356017939313281e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7214823299176369e-15,3.7214847004572544e-15,2.1236017367968156e-16,2.8023303413218644e-21,4.2870977171128458e-22,6.4182193704572133e-30
2.5799447753155923e-16,0.0007612857457340774,1.592410686461991e-26,3.9577646657291498e-37,3.9577607716424347e-37,3.5692186638693654e-55,4.2335937816021664e-55,0.0,0.0,1.7325854709355012e-23,2.6931552228132075e-36,7.5518538302110615e-64,1.1988414215169963e-64,1.4328155587521846e-61,1.3405021206636931e-108,4.372985083711088e-78,8.4822386319998434e-65,3.5061749111342663e-65,1.4309088443336326e-61,1.6267893528661274e-107,2.2727151532072686e-104,2.3601898404131057e-64,4.207834537615812e-58,6.6413221359891877e-74,3.4981804805542203e-92,7.5517608320465888e-64,1.3599740817038119e-78,1.4257130018577169e-54,2.6794890101432212e-29,4.3729854311325532e-78,1.4782869176996118e-76,6.2771894142936658e-47,2.0149947030434051e-76,3.8245643284856744e-80,1.8075772099115347e-62,1.5871269988624467e-74,0.35999999999999999,0.0,0.0098899999999842395,0.108803,2.349476007378394e-23,5.531559486043873e-36,4.5291681039513904e-27,1.4465215481139296e-57,0.0,2.4619709661284478e-30,1.7754454574692411e-43,1.159210287923876e-45,9.3331964688119059e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6618694553949315e-15,7.661879358453162e-15,4.372121222777464e-16,1.169916953806769e-20,1.78977621613512e-21,2.6794890101432212e-29
5.233602258497344e-16,0.0007612857457340774,3.2303284743782108e-26,1.616879710438529e-36,1.6168785553297559e-36,2.9829711997859596e-54,3.5383054494833861e-54,0.0,0.0,3.5553930244424021e-23,1.1111871397947072e-35,1.240416812484781e-62,1.9691116991297444e-63,2.353417464148311e-60,9.0436106816954103e-107,7.2658436193286325e-77,1.393217790056112e-63,5.7589369036079047e-64,2.3502858157484486e-60,2.2113070723319951e-105,1.5151396968648369e-102,3.8766415557340498e-63,3.4498565546103473e-57,2.1835271540497624e-72,2.3512257646770353e-90,1.2403862365490099e-62,4.4713229631527627e-77,1.1688927190497662e-53,1.0946658537797688e-28,7.2658447752316681e-77,4.9528631736974606e-75,5.1464505602468497e-46,6.624899295690801e-75,1.2574402631912337e-78,2.968968353381884e-61,5.3459228690234933e-73,0.35999999999999999,0.0,0.0098899999999680285,0.108803,4.766079374915028e-23,2.2696209434739902e-35,1.8503104114602885e-26,2.4266444735560014e-56,0.0,1.0057953759266262e-29,7.2532726123070919e-43,4.735752252545728e-45,3.8129145225977179e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5542625404141226e-14,1.5542665874384382e-14,8.8691601946168156e-16,4.7794859554767497e-20,7.3117978571966909e-21,1.0946658537797688e-28
1.0540917224860847e-15,0.0007612857457340774,6.506193419716892e-26,6.5357189177610264e-36,6.5357151202571101e-36,2.4775767667137408e-53,2.9389140436733925e-53,0.0,0.0,7.3248949997798124e-23,4.5800856527279695e-35,2.0108422273264024e-61,3.1920507910848802e-62,3.8150352385839758e-59,5.9414012665737631e-105,1.1845365936921037e-75,2.2584905459732579e-62,9.3355953933418545e-63,3.8099591417300145e-59,2.9159917197496996e-103,9.8958618143531886e-101,6.2842764698600655e-62,2.793814985184942e-56,7.0822552753643644e-71,1.5601313943214877e-88,2.0107430538830965e-61,1.4502795744017732e-75,9.4661106796378525e-53,4.4248723175619838e-28,1.184536970812567e-75,1.6359862022888326e-73,4.1677799956121603e-45,2.1487945759917425e-73,4.0785239840809632e-77,4.8128819199055423e-60,1.754613001812256e-71,0.35999999999999999,0.0,0.0098899999999356066,0.108803,9.5992845103722327e-23,9.2533869495699571e-35,7.4792299702687025e-26,4.0317628471656504e-55,0.0,4.0655849472556976e-29,2.9318876319150904e-42,1.9142667668244812e-44,1.541240391092443e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1304064093151009e-14,3.1304227706122263e-14,1.7863238137807736e-15,1.931939357056709e-19,2.9555278333769677e-20,4.4248723175619838e-28
2.1155547157587858e-15,0.0007612857457340774,1.3058040788180442e-25,2.6280105842782577e-35,2.6280092316514609e-35,2.0819478983815045e-52,2.4697447040995453e-52,0.0,0.0,1.5359443666144856e-22,1.912796053273288e-34,3.2386349404669389e-60,5.1408149344186641e-61,6.1441387271518524e-58,3.852511612213889e-103,1.9130966343705257e-74,3.6373082161257418e-61,1.5035044503181391e-61,6.1359652474257165e-58,3.7882344925862203e-101,6.3979656630753669e-99,1.0120870105258426e-60,2.2487563920035413e-55,2.2816669131612406e-69,1.0401566014332845e-86,3.2383154327374041e-60,4.6723763664073828e-74,7.6193335414683202e-52,1.7792682720514157e-27,1.9130978528892304e-74,5.4119026714014275e-72,3.3546738683694243e-44,6.9227849759902214e-72,1.3139808754601027e-75,7.7511792248730748e-59,5.6861065773921269e-70,0.35999999999999999,0.0,0.0098899999998707609,0.108803,1.9265688382826557e-22,3.784451267895903e-34,3.0073489484062594e-25,6.7558798833800847e-54,0.0,1.6347532028778625e-28,1.1788982148989108e-41,7.6971823819476733e-44,6.1972548227306324e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2826648640042327e-14,6.2827306570042251e-14,3.5851394022238421e-15,7.768200695016928e-19,1.1883904556929832e-19,1.7792682720514157e-27
4.238480702304187e-15,0.0007612857457340774,2.6162205434342293e-25,1.0539713478464772e-34,1.0539708402500445e-34,1.8067951412368996e-51,2.1435304321153532e-51,0.0,0.0,3.3410697801285325e-22,8.2419751427876977e-34,5.1994824980569878e-59,8.2525174192254781e-60,9.8631595325247422e-57,2.4818873779392316e-101,3.0754619545417532e-73,5.8389382619692544e-60,2.4135718843560116e-60,9.8500438394459319e-57,4.885149540767877e-99,4.1156915385769465e-97,1.6246997483175717e-59,1.8045672868064822e-54,7.3261083069197789e-68,7.0957092905885478e-85,5.1984565790505995e-59,1.5002711143890506e-72,6.114330825517989e-51,7.136035131970501e-27,3.0754658728834727e-73,1.8205800109820212e-70,2.6920460097464045e-43,2.2228619008019699e-70,4.2191099631267096e-74,1.2442941219027693e-57,1.8311320725158195e-68,0.35999999999999999,0.0,0.0098899999997410712,0.108803,3.8598470533928157e-22,1.5688307155232487e-33,1.2060681786877625e-24,1.1646202885244464e-52,0.0,6.5560865051815937e-28,4.7279018422784508e-41,3.0869143240681959e-43,2.4853723496737948e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2587064643173564e-13,1.2587328510719881e-13,7.1827705783295228e-15,3.1153618396934709e-18,4.7658626552380973e-19,7.136035131970501e-27
