Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409)
0.0,0.0017956985090991776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0017956985090991776,1.3209145083693351e-21,1.3209145042598475e-21,1.279533996830091e-21,1.2795339899281562e-21,6.4379350704261627e-30,1.128201868759393e-22,2.8249659727802169e-29,1.8933538017022476e-29,5.3566968692587115e-23,2.4491952024766835e-29,1.886095779261216e-29,1.8270097410467371e-29,4.8797981730039339e-38,2.2311470215056833e-44,4.4480572248862835e-23,2.0337459442764936e-29,1.7155515737102062e-38,1.0817059237585297e-23,8.7651084749055597e-31,7.8438649063069698e-45,2.9688531742591527e-38,5.3312037825014119e-53,3.0279220859115617e-58,4.0114862770887978e-31,6.2813679023795399e-54,9.5398217420250438e-46,2.4355402539032533e-53,1.3556284545249746e-53,4.1352598493738745e-24,5.2852892767169645e-39,2.4525886930641207e-38,4.1960682501607317e-31,1.927314350813875e-68,1.9524318814890736e-48,1.152430731806784e-52,9.9944297692570366e-55,6.092983276165195e-39,2.040848532606639e-48,2.8197986798058801e-54,2.1481535557548638e-38,9.8218129026012604e-45,9.2044503468092592e-63,4.3887623249803641e-39,1.1844589826074061e-53,4.2084697075125446e-69,4.2604469082489345e-54,2.1481801952322343e-38,9.8219345981881007e-45,8.9049244770156513e-46,3.3717973419798558e-49,5.9046184461855262e-32,1.5479598509206507e-63,7.8193759648889945e-66,1.5488940063832565e-73,5.1522750840256601e-41,2.3557292488323473e-47,1.6011077427989661e-55,9.074171000020308e-61,8.7223721740710179e-76,9.1312770428608289e-79,1.8864283405208003e-87,5.7263397459470019e-71,7.473961333945586e-73,6.9027867291717413e-48,5.9362029943492172e-59,4.3503561032155814e-69,2.4499318096560875e-80,2.4732027193989438e-82,1.5473874202380413e-83,6.5231958399814413e-82,2.9463168776586934e-80,1.3149759916858429e-88,3.1605277476866909e-93,5.7626865034802734e-35,2.312044763071366e-57,1.7971864726051529e-25,9.8928662814923875e-64,2.379725774264995e-76,1.6040105936786072e-32,9.4718444389230902e-103,6.9852767789591941e-106,1.2711019348375637e-108,2.7994260162469155e-49,1.3801519063690305e-52,-3.0458007637325079e-104,-6.0332557714614557e-112,-5.4901179027419738e-112,-2.3632010905634948e-117,1.2606551774809678e-45,-4.959059735574499e-120,4.9820414240183508e-42,4.0878293983393035e-39,7.8549793084734986e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.3683869256218378e-48,2.374595804531484e-50,4.5271361456447496e-52,4.116509692709961e-55,4.5670168979600114e-51,2.1153631785402886e-53,6.46742780334603e-59,5.4142434081777073e-60
3.0000000000000002e-15,0.0017956985090991776,4.3401476144196807e-21,4.3401475874144776e-21,4.2041830641344219e-21,4.2041830187788499e-21,4.2306430155280364e-29,3.7069490492825579e-22,1.8564061910440692e-28,1.2442039191700287e-28,1.7600567310022112e-22,1.6094707603791917e-28,1.2394343596540743e-28,1.2006063908881452e-28,4.6009517899266573e-37,2.7411230840512625e-43,1.4615038454465969e-22,1.3364613184025124e-28,1.6175198094343961e-37,3.5541768114821955e-23,5.7599285633835143e-30,9.636747016299622e-44,2.7992041858532066e-37,8.0729555371146244e-52,5.4502539666681913e-57,2.6361194269077133e-30,8.0850653130190776e-53,1.1550468322197411e-44,3.8307752966388927e-52,2.0286679190990894e-52,1.3587282510610435e-23,4.9832719425718334e-38,2.3124401960450172e-37,2.7574161451543068e-30,4.0134791677915019e-67,1.8408640128683478e-47,1.7449969000990213e-51,1.2278846272464964e-53,5.7448127866204501e-38,2.5073276515783418e-47,4.2699801564913959e-53,2.0254012850753934e-37,1.2066795619178009e-43,1.3938142170314424e-61,4.137975254623179e-38,1.7936088457495142e-52,7.5752337763334389e-68,6.4515325544093849e-53,2.0254264138269321e-37,1.2066945153401958e-43,1.0940333161384095e-44,4.1421644763376543e-48,3.8801778514258548e-31,2.8747830835362977e-62,1.6755433469959016e-64,3.7615253516191292e-72,4.857858660410548e-40,2.8941812823779305e-46,2.4245315428812444e-54,1.6333490576136568e-59,2.1052782589531598e-74,1.904520959013229e-77,4.4735118663955118e-86,1.1922418690131032e-69,1.7696439092817894e-71,8.4805660045559527e-47,7.2930483861389207e-58,6.5799411806092869e-68,4.4001297468236187e-79,5.1082146231197521e-81,3.6244199540103377e-82,1.5428109903874136e-80,6.1265746754297106e-79,3.0916778972891584e-87,8.3338156709542809e-92,3.7869082967932948e-34,3.5010958891628883e-56,5.9050230775683627e-25,1.7807157311270558e-62,5.7792207684645306e-75,1.0540640835721049e-31,2.7680010681830354e-101,2.2405519032779752e-104,4.4402757948476131e-107,3.4389002694074839e-48,2.0897497970201515e-51,1.261846261249599e-102,2.3271416963068562e-110,2.1176430323053015e-110,9.1555680451011624e-116,8.2843053097371659e-45,1.779562913120304e-118,4.6973535230703152e-41,3.8542391572037126e-38,7.3390494603661246e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.6811607913065632e-47,2.8962570188895049e-49,5.6046826993032392e-51,6.2724647814672221e-54,5.6109066375565037e-50,1.9944832539222045e-52,7.9456343542774539e-58,6.6517673004579638e-59
7e-15,0.0017956985090991776,9.6238052198596393e-21,9.6238050730922475e-21,9.3223185287554301e-21,9.3223182822577886e-21,2.2992623996839865e-28,8.2197569216977266e-22,1.0089163387185862e-27,6.7619775505769517e-28,3.9027292670333247e-22,8.7471105179374258e-28,6.7360559638556098e-28,6.5250343663101928e-28,7.4312228076811873e-36,1.3864958782304927e-41,3.2407215984930617e-22,7.2633660458561395e-28,2.6125359322949178e-36,7.8810020740406468e-23,3.1303964429239934e-29,4.8743932304796264e-42,4.5211353941111672e-36,1.3332310825552427e-49,3.0343495453135439e-54,1.4326731538298572e-29,4.6176094872804809e-51,5.64935538913083e-43,7.2000431938382413e-50,3.2314271479872511e-50,3.0128323043537415e-23,8.0487273206308446e-37,3.7349328224080877e-36,1.4985952588568162e-29,7.4713546626960735e-64,2.9732693765724406e-46,2.8791065943889614e-49,6.2106624852499612e-52,9.2787424148649505e-37,1.2682379433277348e-45,7.0518948425405364e-51,3.2713204952606659e-36,6.1035348366946359e-42,2.3018344262721738e-59,6.6834473492093209e-37,2.9621503154949579e-50,4.2173646910506496e-65,1.0654733933617561e-50,3.2713612527012483e-36,6.1036106098331974e-42,5.5337572314349311e-43,2.0931666229272991e-46,2.1087923648815991e-30,1.8060885718549568e-59,3.6505903685171206e-61,2.8928588079647051e-68,7.8461673453410945e-39,1.4639150529963577e-44,4.0040617420967196e-52,9.0934342912814073e-57,1.4090560337900962e-70,3.6621352292982817e-74,3.0264676882581086e-82,2.2111130566096584e-66,1.1545460184994946e-67,4.2895852884387359e-45,3.6889195231616708e-56,1.0679599852599418e-65,2.3362134082392538e-76,8.088244811539596e-78,1.9402924525642418e-78,9.8157437384127944e-77,1.1081913162055825e-75,1.7202941563054074e-83,1.6539652172694245e-87,2.0581024167791414e-33,5.7820813852141207e-54,1.3093629780122147e-24,9.9140442693717053e-60,4.4446176598201453e-71,5.7286084126523182e-31,1.9783660042976949e-96,5.8039841624942994e-99,4.2245789172300612e-101,1.7370517887166041e-46,3.4464501987671353e-49,1.7878236260156079e-97,1.416562080273413e-104,1.2890383285328863e-104,4.7074434822366313e-110,4.5023393338748945e-44,3.9513360140416068e-112,7.5869386889173275e-40,6.2251799364180494e-37,1.0951464016671728e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.5035277555002559e-46,1.351879341543244e-47,2.708604923916282e-49,9.9144260893540073e-52,2.8380752561069967e-48,3.2213625998495033e-51,4.018632254264667e-56,3.3644506940578935e-57
1.5e-14,0.0017956985090991776,2.0191119341189998e-20,2.0191118691891158e-20,1.9558588127490193e-20,1.9558587036984847e-20,1.0171936056954761e-27,1.724537367802215e-21,4.4634453720441243e-27,2.9914986692164884e-27,8.1880585276484381e-22,3.8697120072864622e-27,2.9800309095619171e-27,2.8866749341089698e-27,6.9111599304871978e-35,2.6665911249874749e-40,6.7991440288861187e-22,3.2133052865530795e-27,2.4297021231807683e-35,1.6534656589214454e-22,1.3848877424573566e-28,9.3747241071954153e-41,4.2047356513434457e-35,5.2304392154722591e-48,2.4068967931209382e-52,6.3381427420134337e-29,9.1629293222550248e-50,1.0775223584688672e-41,2.9142709111823332e-48,1.2572595662896974e-48,6.3210406999489691e-23,7.4854500408453428e-36,3.4735452481918089e-35,6.6297819549329297e-29,1.1409859150536053e-61,2.7651891207036433e-45,1.1279654626671026e-47,1.1944315482935511e-50,8.6294036027297717e-36,2.4391471402514362e-44,2.7666159369306186e-49,3.042375633632568e-35,1.1738656981456007e-40,9.0302851892875885e-58,6.2157173426258479e-36,1.162115373077233e-48,3.3452430502211081e-63,4.1800866578124605e-49,3.0424137878978338e-35,1.1738803107158942e-40,1.0642832156982763e-41,4.0199660743485029e-45,9.3292978214559201e-30,1.4487876780215372e-57,5.8905061713235361e-59,9.3633558223486204e-66,7.2970676189005517e-38,2.815489248575216e-43,1.5708458837943422e-50,7.2130654908580397e-55,3.8626793111403473e-68,5.8432622922517111e-72,9.6858996694825435e-80,3.3602734548212586e-64,3.5201816902436044e-65,8.2499969373610114e-44,7.0947498493994331e-55,4.0874749201418706e-64,1.7357575431145646e-74,1.0237680275104723e-75,4.7553426148286152e-76,2.9006143867569695e-74,1.6321059984073358e-73,4.370695610824094e-81,8.4204678230123932e-85,9.1050456912813542e-33,2.2684414369579084e-52,2.7470488901300395e-24,7.864176193440841e-58,1.4386041601757354e-68,2.5343358199901283e-30,2.0104256900558914e-93,1.1716021498252057e-95,1.7059820875269712e-97,3.3339369365701636e-45,1.3494024619885655e-47,2.2533893577823749e-94,3.572306353702771e-101,3.2507171810895375e-101,9.877685572574557e-107,1.9918345479906275e-43,1.6586216129041745e-108,7.0559969732902576e-39,5.7895337686369893e-36,9.0895250894214633e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.6354479791709628e-44,2.3306450075846799e-46,4.7099914171156831e-48,3.5253677624403195e-50,5.458370193683927e-47,2.9958838187557732e-50,7.727795596884604e-55,6.4704225194950879e-56
3.1e-14,0.0017956985090991776,4.1325743225653426e-20,4.1325740519263928e-20,4.0031122002932008e-20,4.0031117457518174e-20,4.2398388806923105e-27,3.5296611236565229e-21,1.8604410999485726e-26,1.2469084150494117e-26,1.6758653803631452e-21,1.6129552508069932e-26,1.2421284132627077e-26,1.2032160051833692e-26,5.8329801345283662e-34,4.533793372990994e-39,1.3915936587305907e-21,1.3393550284837093e-26,2.0506558677932998e-34,3.3841981579756746e-22,5.772455426446402e-28,1.593910610448834e-39,3.5487816656781683e-34,1.7854618891860492e-46,1.6465886698447438e-50,2.6418452431767924e-28,1.5815763748822451e-48,1.8248098001004032e-40,1.0103284588924855e-46,4.274674070767673e-47,1.2937458647119118e-22,6.3176789464728113e-35,2.931646107258967e-34,2.7634053835105449e-28,1.4394415701691578e-59,2.3338032470761515e-44,3.8399829205259697e-46,2.0306630974890917e-49,7.2832011770634237e-35,4.1470772862131738e-43,9.4445614417668318e-48,2.5677372409037153e-34,1.9958229022319779e-39,3.0825013476725696e-56,5.246032053355896e-35,3.9671661761094695e-47,2.2884671904113242e-61,1.4269786341558247e-47,2.5677698560008168e-34,1.9958478793659018e-39,1.8095102700280756e-40,6.8156284856320194e-44,3.8886136124905263e-29,9.6880426886581438e-56,7.8879871834576942e-57,2.5092831050282463e-63,6.1586880599544853e-37,4.7869563153496183e-42,5.3622390291096009e-49,4.93455159461763e-53,7.9265758024631301e-66,8.0030314797245737e-70,2.6540798080390471e-77,4.2032560324225662e-62,8.8128781565530065e-63,1.402685585428183e-42,1.2062643714182206e-53,1.3307386597277476e-62,1.048961192959217e-72,9.6953721206090931e-74,8.4529116006476286e-74,6.8926508453833731e-72,1.9375647924700615e-71,8.2870368322314368e-79,3.1952661473543569e-82,3.7951415947974467e-32,7.7439250086523071e-51,5.6222790089607656e-24,5.3802425494715698e-56,3.8553576356524169e-66,1.0563547240742967e-29,1.5173641568189794e-90,1.7434771349434441e-92,5.0778390653108794e-94,5.6454941821919939e-44,4.5882186041065297e-46,2.4722999354587958e-91,7.8391556172872734e-98,7.1334582667983706e-98,1.6240234887274534e-103,8.3023091342949863e-43,5.4543504130881295e-105,5.9552528001561198e-38,4.8863565504269084e-35,6.3237569162915434e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.7806193665382302e-43,3.2871900634806277e-45,6.6701688289321777e-47,1.0056796158936185e-48,9.2804859810947754e-46,2.5284484565549574e-49,1.3135341348540857e-53,1.1000176132995007e-54
6.300000000000001e-14,0.0017956985090991776,8.3594973561798631e-20,8.3594962533120837e-20,8.0976168465715066e-20,8.0976149942921639e-20,1.7277568077972959e-26,7.1399102536571607e-21,7.5813949972769481e-26,5.0812180936496612e-26,3.3899591378938496e-21,6.5728160467130635e-26,5.0617389984559586e-26,4.9031686883925721e-26,4.773930520704906e-33,7.4381373556008035e-38,2.8149312498145345e-21,5.457892433208858e-26,1.6783354807667143e-33,6.8456695401356327e-22,2.3523092459133696e-27,2.6149703928069558e-38,2.9044702369841268e-33,5.8648098628900812e-45,1.0823827341190896e-48,1.0765640866520365e-27,2.6143386117696943e-47,2.9879192527613731e-39,3.3448240772214819e-45,1.4014332129373791e-45,2.6170299164901281e-22,5.1706282120672697e-34,2.399358827869924e-33,1.1261003841744778e-27,1.6349460711129682e-57,1.9100710839390525e-43,1.2545456935886507e-44,3.3310647527062679e-48,5.9608999570354575e-34,6.8036548572806519e-42,3.1026022635558316e-46,2.101515361638715e-33,3.2743196107197425e-38,1.012477581463325e-54,4.2935526527383909e-34,1.3032302520867163e-45,1.5042469981035942e-59,4.6877053643806591e-46,2.1015427294879372e-33,3.2743610223962753e-38,2.9686610732546442e-39,1.1119326841307566e-42,1.5846313990615242e-28,5.9692701998703514e-54,9.726592987007313e-55,6.1901944949227503e-61,5.040508687172986e-36,7.8534869772020093e-41,1.7613669900689766e-47,3.243722968957526e-51,1.3313673284488791e-63,1.0524260089065246e-67,6.9787945177816881e-75,4.7104833676104595e-60,1.9761971195757591e-60,2.3012579731717211e-41,1.9789973375457889e-52,4.0008937752739069e-61,5.4994478539317751e-71,7.4609067688011064e-72,1.1590888366686848e-71,1.4322392595146667e-69,2.0118377207435508e-69,1.2762411223036701e-76,9.8477253421025777e-80,1.5465411774286952e-31,2.5439392504557392e-49,1.1372172490329406e-23,3.5370361393010428e-54,9.5110781660388268e-64,4.3046992029196428e-29,9.2477727965275583e-88,2.0662684744021136e-89,1.2036957754799621e-90,9.1877456932047757e-43,1.495377579467255e-44,2.4677147819971394e-88,1.564993981550985e-94,1.4241111453292716e-94,2.1640488697346445e-100,3.3832335263360234e-42,1.4537130265518791e-101,4.8740537093478156e-37,3.9992150278275496e-34,3.8200367805519912e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.5618714690403481e-42,4.017255428328957e-44,8.167969247960023e-46,2.4772422031241553e-47,1.5225727713245674e-44,2.0692784792159796e-48,2.1537990625090472e-52,1.8043702496772331e-53
1.2700000000000001e-13,0.0017956985090991776,1.6813336450302251e-19,1.6813331999737312e-19,1.6286617623896155e-19,1.6286610149123536e-19,6.9722752846640099e-26,1.4360414986301289e-20,3.0594327859522936e-25,2.050500074952078e-25,6.8180454657554469e-21,2.6523766511862463e-25,2.0426391146335527e-25,1.9786487177937943e-25,3.8595436539621711e-32,1.2037615339331215e-36,5.661522752354404e-21,2.2024643682762212e-25,1.3568737073497784e-32,1.3768637840450605e-21,9.492649889480909e-27,4.2319812105662478e-37,2.3481773676127494e-32,1.8987687079836707e-43,7.0101825760382921e-47,4.3444050698682611e-27,4.2469280218398852e-46,4.8307698397799421e-38,1.0873398664593568e-43,4.5335027641223253e-44,5.2635998690417502e-22,4.1802619798855902e-33,1.939774258638983e-32,4.5443054586690393e-27,1.664064536915481e-55,1.5442186178554521e-42,4.0183844955182996e-43,5.3894550576747701e-47,4.8192510731265194e-33,1.1010673684674383e-40,1.0046762193662145e-44,1.69896808482149e-32,5.2989586675993156e-37,3.27763916354182e-53,3.4711802767365681e-33,4.220015774839962e-44,9.7414835686129266e-58,1.5179497014107323e-44,1.6989913006287869e-32,5.2990270917526309e-37,4.8043105966479001e-38,1.779653566275444e-41,6.3947059703634779e-28,3.4044774551289779e-52,1.1102076492776106e-52,1.4135105515781804e-58,4.075072664425886e-35,1.2709837006646549e-39,5.7025439931514242e-46,2.1008395582646354e-49,1.8552428858483399e-61,1.3632580344952906e-65,1.8067079495341043e-72,4.7090795312077616e-58,3.9533577991702594e-58,3.7243164503404474e-40,3.2027420231897694e-51,1.1074548956588719e-59,2.4215513331467561e-69,4.7336021458882606e-70,1.2074584200352159e-69,2.6130196533588398e-67,1.8339995249764446e-67,1.6197804734294599e-74,2.5014453534908855e-77,6.2409957804755762e-31,8.2377637099680062e-48,2.2869692950390004e-23,2.2912462653313897e-52,2.1719279261929012e-61,1.7371377815009191e-28,4.5937169515394883e-85,1.9447557447052744e-86,2.2660659705095474e-87,1.4634466576079844e-41,4.7671213514861124e-43,2.2670020620493145e-85,2.8755328777395438e-91,2.6166757961618559e-91,2.4007700813337378e-97,1.3652856357182859e-41,3.2257074030924049e-98,3.9405713295173068e-36,3.2332748626342688e-33,2.0171069946300004e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.3827366145183755e-41,4.2944699050670239e-43,8.7403011178107991e-45,5.3341411495012152e-46,2.4641325297334754e-43,1.6727744153340962e-47,3.4818068089968533e-51,2.919101223197749e-52
2.55e-13,0.0017956985090991776,3.3720986746168349e-19,3.3720968867277507e-19,3.266458511768365e-19,3.266455508991672e-19,2.8009180216050599e-25,2.880145033796097e-20,1.2290414969681632e-24,8.2373163010376519e-25,1.3673813400387721e-20,1.0654784784538999e-24,8.2057349073608309e-25,7.948670052555356e-25,3.1032176767770465e-31,1.9364951192893673e-35,1.1354371061096934e-20,8.8474634648108498e-25,1.0909812468002885e-31,2.7614676583373244e-21,3.8134284692119561e-26,6.8080235707657257e-36,1.8880582443249629e-31,6.1079231325262871e-42,4.5105104876127338e-45,1.745232155137788e-26,6.844947673007649e-45,7.76729592403874e-37,3.5059344870117232e-42,1.4581335680359413e-42,1.0556747167073623e-21,3.3610922586927899e-32,1.5596233475504937e-31,1.8255359144783644e-26,1.4986045137016663e-53,1.2416061726827009e-41,1.2656607266787194e-41,8.6654663263463635e-46,3.8749985670045186e-32,1.7712527570499197e-39,3.2330419682920501e-43,1.3659886229506769e-31,8.5241850494379677e-36,1.0541390009487842e-51,2.7909655647002394e-32,1.3579541362540031e-42,6.2666649188637107e-56,4.8846866927713185e-43,1.3660090417137914e-31,8.5242996432892274e-36,7.7285034593305095e-37,2.8010838272487886e-40,2.5689004359723317e-27,1.76171041838681e-50,1.1500285592445844e-50,2.9294527010002002e-56,3.2765280658375101e-34,2.044646802581064e-38,1.8343891204050305e-44,1.3517319172054252e-47,2.1600544983707189e-59,1.7540508861299082e-63,4.6422195418669562e-70,4.1594078969048751e-56,6.9884200606597517e-56,5.9914580522687402e-39,5.1522731454185975e-50,2.7602124240020111e-58,8.5597416154666892e-68,2.5071080449589414e-68,9.4142260852655405e-68,4.2255656138859018e-65,1.4818548743567728e-65,1.7144658756252753e-72,5.2995057773484964e-75,2.5071524179528314e-30,2.6509388084171076e-46,4.5855672037832715e-23,1.4748086789740141e-50,4.5016803165179442e-59,6.9784540671840903e-28,1.8632453605482997e-82,1.4272199009912657e-83,3.3265462695954479e-84,2.2821724374674504e-40,1.487849705855967e-41,1.8849806548426085e-82,4.7822015968707621e-88,4.3517090808221062e-88,2.2535343767808364e-94,5.4846467018590429e-41,6.0562555968702996e-95,3.1684985472618159e-35,2.5997699532842914e-32,9.5295559950603659e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.1876526603854696e-39,4.1027464400109021e-42,8.3542001571942756e-44,1.0256865180679078e-44,3.9642357809597047e-42,1.3447176597583405e-46,5.5889298989731688e-50,4.6926692122167365e-51
5.11e-13,0.0017956985090991776,6.7536175768769756e-19,6.7536104101711575e-19,6.5420383862339795e-19,6.5420263497046462e-19,1.1227428141423495e-24,5.7683624553196847e-20,4.9265846457196087e-24,3.3019142536554595e-24,2.738373060692494e-20,4.2706285439857701e-24,3.2892531722916292e-24,3.1862082370713919e-24,2.4885703530667893e-30,3.1064295781226802e-34,2.2738729070608507e-20,3.5462283444510416e-24,8.7489939920644105e-31,5.5307162624889359e-21,1.5286217286987123e-25,1.0921163411724626e-34,1.5141520245908864e-30,1.9582477819742106e-40,2.8923643619601552e-43,6.9956349314007854e-26,1.0990694581726589e-43,1.2456251939248792e-35,1.1260126903429687e-40,4.6771649959488511e-41,2.1143071310438363e-21,2.6953763692460686e-31,1.2506676516199725e-30,7.3175256807251832e-26,1.200607911163483e-51,9.9567864599649411e-41,3.8954064740711617e-40,1.388608226626526e-44,3.1077111571625609e-31,2.8412343209959111e-38,1.0373197969640236e-41,1.0953575943769512e-30,1.3673218702041487e-34,3.3783345536102282e-50,2.2381758812939896e-31,4.3567038815941965e-41,4.0169274419454659e-54,1.567206632350169e-41,1.0953767789702397e-30,1.3673417025358869e-34,1.2397019393974231e-35,4.3070797344485405e-39,1.029742881486354e-26,8.1071976220551279e-49,1.0597400047362553e-48,5.4011400880034379e-54,2.6275807905388903e-33,3.2799569639693629e-37,5.8812304116598464e-43,8.6680318886697501e-46,2.1218412308170321e-57,2.2487535375774796e-61,1.1866671342999982e-67,3.2772938338534927e-54,1.1020261459226632e-53,9.6116430065267018e-38,8.265059592278773e-49,6.0976579473807058e-57,2.388878131447354e-66,1.1337329561279973e-66,5.5688541128912592e-66,6.2193595035251395e-63,1.089861709642817e-63,1.5458579496457813e-70,9.5645451494133516e-73,1.0049919310047874e-29,8.505724854728276e-45,9.1791416275408859e-23,9.4645044781245987e-49,8.3015126274779121e-57,2.797288651981399e-27,6.1952070885688784e-80,7.9701735281314808e-81,3.7161517472944729e-81,3.4494400618181129e-39,4.5023643111222328e-40,1.3925820670567788e-79,7.0664958244633067e-85,6.4303799179655253e-85,1.8225769434469799e-91,2.1985030497630172e-40,9.7969987219795416e-92,2.5411322276358444e-34,2.0849931017161931e-31,4.1750215021365078e-42,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.905139600881962e-38,3.6204282336502646e-41,7.3738665833044249e-43,1.819056874230576e-43,6.3598009036750589e-41,1.0779654862251285e-45,8.9263944348148777e-49,7.5172014719940907e-50
