Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556)
0.0,0.003097712267889755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.003097712267889755,1.226562370850155e-21,1.2265623669683947e-21,1.18821239377192e-21,1.1882123911945556e-21,5.6870264321809185e-30,6.2076946525899107e-23,1.5186021107636377e-29,1.0178826022577259e-29,2.9495515700219861e-23,7.8176220515506936e-30,1.0139782038397467e-29,9.8227493283193251e-30,2.5766675876542744e-38,6.8293138320346308e-45,2.4496814576144055e-23,6.4927442452823676e-30,9.0711834294839392e-39,5.9594645346895206e-24,2.7892534187574226e-31,2.4042665978987951e-45,1.5627621074096965e-38,1.6070075815181126e-53,9.0215636859392673e-59,2.2603162417396135e-31,1.8822700655522033e-54,2.9248895711397972e-46,7.2974045307628476e-54,2.4010333128957391e-54,2.2897824957466837e-24,9.6617509185250125e-40,7.6706617581371829e-39,2.4004411839223917e-31,5.5243402775817856e-69,8.5940745986077654e-49,2.0141423897711133e-53,2.5479505050127591e-55,1.8758408107658792e-39,6.0549311975817242e-49,8.2365951860701555e-55,6.6753764390123406e-39,1.7692713413761193e-45,2.315244480725885e-63,8.0243426023491583e-40,2.0902552288843143e-54,6.1364266952853822e-70,4.3952263857751971e-55,6.6753451299675737e-39,1.7692630245646652e-45,2.7354840694316374e-46,5.9299672534560878e-50,1.8929241632244031e-32,4.4619270431562777e-64,2.2464925716287857e-66,2.5751366599979804e-74,1.6080814130335654e-41,4.2621301872435021e-48,2.8488003839775199e-56,1.5958336251694148e-61,2.4305810708350743e-76,7.6252225010494806e-80,1.5278733468821911e-88,9.6889611310843903e-72,1.2610123848419604e-73,2.1603500312040491e-48,1.4966169062937882e-59,6.2632355985453429e-70,2.0148994713527476e-81,2.0178847190963306e-83,1.2611953820201412e-84,1.811193330199348e-82,8.1904997693822641e-81,6.2137060291266802e-90,1.4904935617093562e-94,1.8040480014044367e-35,6.9731156290476104e-58,1.6464471665327234e-25,2.9167558949391337e-64,3.918504387853987e-77,5.2005088323114273e-33,4.3267648648601109e-104,3.1777983546545398e-107,5.7503599547963977e-110,4.9242559081874121e-50,2.4110857841741774e-53,-1.5985165720424204e-105,-1.8323695642970726e-113,-2.8175152265921865e-113,-1.1847405801747634e-118,8.7536167165624423e-46,-2.4671365757089442e-121,9.0559697809427284e-43,1.258627862540695e-39,3.4459626325896456e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.060158683070022e-49,1.0407332382483744e-50,1.9625242416692703e-52,1.7745678082771826e-55,8.0053553581588929e-52,4.1884202964270421e-54,7.4128979776414095e-60,6.2088737514487943e-61,7.7433233465094362e-54,3.4685398786767069e-60
3.0000000000000002e-15,0.003097712267889755,4.0301334768931121e-21,4.0301334513844032e-21,3.9041263971543958e-21,3.9041263802174278e-21,3.7371887817837731e-29,2.0396711275841652e-22,9.9793852349540735e-29,6.6889427917550599e-29,9.6913811248786743e-23,5.1372937355064752e-29,6.6632853056930695e-29,6.4549495202438192e-29,2.4294291780671333e-37,8.3902990199522703e-44,8.0489512109036883e-23,4.266659899145532e-29,8.5528293054478431e-38,1.9581101290842555e-23,1.8329381024687407e-30,2.9538129889084669e-44,1.4734612968195321e-37,2.4334656749072331e-52,1.6238798081782968e-57,1.4853506347987742e-30,2.4227758267075334e-53,3.5425219930754501e-45,1.1477873145900611e-52,3.5940554835228123e-53,7.5235711786283349e-24,9.1096499326182258e-39,7.2323368713331742e-38,1.5774327365377211e-30,1.150404466937356e-67,8.1029838708929887e-48,3.0497919815942698e-52,3.1303332257859764e-54,1.7686499069685573e-38,7.4389138907456589e-48,1.2472556424794536e-53,6.293925109968918e-38,2.1736758594198213e-44,3.5059356359165348e-62,7.5658079920923771e-39,3.1652430352160992e-53,1.1045552076813914e-68,6.6556276378116267e-54,6.2938956249470964e-38,2.1736656455898349e-44,3.3607370672441979e-45,7.2848132645055349e-49,1.2439216007314971e-31,8.2864843241620392e-63,4.8138771583050473e-65,6.2538615530726576e-73,1.5161909176318329e-40,5.2363309533926205e-47,4.3138925347961568e-55,2.8724976182291354e-60,5.8666841572342656e-75,1.5904015647604671e-78,3.6232280590347544e-87,2.0172820959285066e-70,2.9857696033571554e-72,2.6541441597086164e-47,1.8387006408911182e-58,9.4732173263066609e-69,3.6188383520353939e-80,4.1678533171307788e-82,2.9541673154463397e-83,4.2836956219497463e-81,1.7031399875138435e-79,1.4609420164657499e-88,3.9302448887055095e-93,1.1855172650056005e-34,1.0559288017312149e-56,5.4097464666488353e-25,5.2501600404249918e-63,9.5163059019269688e-76,3.4174774099889556e-32,1.2644446806734083e-102,1.019301189307319e-105,2.008764428331763e-108,6.0491111126852558e-49,3.6507353991812663e-52,6.6224511506042552e-104,7.0677402417535181e-112,1.0867603221441972e-111,4.5898862936004634e-117,5.7523766690523698e-45,8.8532100933529679e-120,8.5384864333064877e-42,1.1867062754617681e-38,3.2196584576363019e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.9881941188600834e-48,1.2693796128134698e-49,2.4296899821114579e-51,2.7040111534624971e-54,9.835151430237403e-51,3.9490806604325969e-53,9.1072086784408213e-59,7.6280290712118662e-60,7.300846182119621e-53,4.261348040794753e-59
7e-15,0.003097712267889755,8.9363827511688131e-21,8.9363826125345377e-21,8.6569756697916691e-21,8.6569755777429383e-21,2.0310808012893418e-28,4.522749198652524e-22,5.423578704465693e-28,3.6352949138910873e-28,2.1489567469597191e-22,2.792004793065772e-28,3.6213505899920138e-28,3.5081246035806941e-28,3.9238923431710846e-36,4.2439252732648775e-42,1.7847660590512503e-22,2.3188347624799624e-28,1.3814103586647982e-36,4.3418986472419741e-23,9.961625128801017e-30,1.494078247391279e-42,2.3798614881758648e-36,4.0188187789528292e-50,9.0407213124871415e-55,8.0725564417628941e-30,1.3837355700013515e-51,1.7340071543851992e-43,2.1573289708880031e-50,5.7297062047376608e-51,1.6682702088862465e-23,1.471345106492928e-37,1.1681299754307442e-36,8.5730025363841921e-30,2.1417202564795907e-64,1.308753556338791e-46,5.031953076554204e-50,1.5833299984523837e-52,2.8566374490922906e-37,3.7626966883061769e-46,2.0598494246590195e-51,1.0165624218753608e-36,1.0994733941624943e-42,5.7899376025322909e-60,1.2219915172722467e-37,5.2274140028615349e-51,6.1494079748695815e-66,1.0991809892428427e-51,1.0165577113176953e-36,1.0994682519526878e-42,1.6999046436265882e-43,3.6812720769990392e-47,6.7604437565085657e-31,5.2063178936681172e-60,1.0489288362674631e-61,4.810119579800061e-69,2.4488761488970493e-39,2.6486067139897546e-45,7.1243061929705725e-53,1.5992226582803896e-57,3.9273288909111222e-71,3.058131682346932e-75,2.4512293594476298e-83,3.7415933940065109e-67,1.948162974412827e-68,1.3425021526354639e-45,9.3003965292419396e-57,1.5376345680677807e-66,1.9219441380484157e-77,6.6016018321036357e-79,1.5826200206330376e-79,2.7256006530127353e-77,3.0809156272282997e-76,8.1319427088056467e-85,7.8028916842476775e-89,6.4430288594445963e-34,1.7438730130534671e-54,1.1995470020150198e-24,2.9230000792647969e-60,7.31943997750147e-72,1.8573253064624357e-31,9.0406161567804039e-98,2.6414643048040395e-100,1.9119383703804878e-102,3.0555476984257587e-47,6.0209141402364286e-50,9.3840509875103695e-99,4.3027585833835746e-106,6.6160756089263677e-106,2.3606933451027238e-111,3.126291559542846e-44,1.9663901500076284e-113,1.3790955886873378e-40,1.9167103867744741e-37,4.8048421180998147e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.5230929560562264e-46,5.9256067581799102e-48,1.1743434688176247e-49,4.2745333579910618e-52,4.9747592180747724e-49,6.3783438568549193e-52,4.6061526134787844e-57,3.8582674523712265e-58,1.1791949901989571e-51,2.1554435122329649e-57
1.5e-14,0.003097712267889755,1.8748880767402277e-20,1.8748880154084292e-20,1.8162673445192527e-20,1.8162673037968998e-20,8.9855010358976725e-28,9.4889058754137808e-22,2.3993910516099414e-27,1.608254409916608e-27,4.5085889414626096e-22,1.235180956876065e-27,1.6020854131003396e-27,1.5519942249105315e-27,3.6492878441782394e-35,8.1621757134316341e-41,3.7445037474974484e-22,1.0258509267938617e-27,1.2847358549140418e-35,9.1094825671799482e-23,4.4070266364208637e-29,2.8735029055284316e-41,2.2133132692075975e-35,1.5766366932260782e-48,7.1712590995026772e-53,3.5712979732651813e-29,2.7458211083324245e-50,3.3079922117627076e-42,8.7319889878372013e-49,2.2297139840706651e-49,3.5000966269567239e-23,1.3683765365692763e-36,1.0863798601011803e-35,3.7926952443321294e-29,3.2710547753323073e-62,1.2171637403864272e-45,1.9714210818287568e-48,3.045057736235028e-51,2.6567262474744295e-36,7.2366323574600208e-45,8.0812503270479237e-50,9.4541943131976021e-36,2.1145717005724238e-41,2.2714457211851627e-58,1.1364734226046095e-36,2.0508303972227766e-49,4.8777654172545152e-64,4.3123358420216846e-50,9.4541512588179141e-36,2.1145618801870975e-41,3.2693572109052552e-42,7.0700264532285676e-46,2.9908205194414098e-30,4.1766235651377346e-58,1.6926504394891736e-59,1.5570116148896421e-66,2.2774979780651294e-38,5.0939635736130796e-44,2.7949617268954183e-51,1.2685317665179878e-55,1.0767924009651701e-68,4.8795330519586776e-73,7.8449292621021267e-81,5.6869099106490531e-65,5.9406644948931255e-66,2.5819836769534481e-44,1.7887098548890014e-55,5.8855206336940769e-65,1.4285083806985387e-75,8.3585942956885342e-77,3.8818215714860683e-77,8.0550642836034601e-75,4.5378807162757681e-74,2.0667062357104148e-82,3.9737611363165822e-86,2.8503961476858254e-33,6.8416092528902778e-53,2.5166751389283512e-24,2.3186289071995198e-58,2.3692801017648388e-69,8.2168117645205416e-31,9.1901130160540124e-95,5.3340537469185106e-97,7.7236678561013748e-99,5.8646235172181735e-46,2.3574269392650574e-48,1.1828605911990913e-95,1.0851547825407561e-102,1.6685738544656194e-102,4.9546935860791409e-108,1.3830713063133695e-43,8.2561992388927704e-110,1.2825857587184114e-39,1.7825765558903249e-36,3.9883827153810528e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.852559713210265e-45,1.0216895118899755e-46,2.042301156680626e-48,1.5201087456598734e-50,9.5677841419459539e-48,5.9319506400347671e-51,8.8576944990322566e-56,7.4201913194483161e-57,1.0966701273585042e-50,4.1454710191193412e-56
3.1e-14,0.003097712267889755,3.8373874670597675e-20,3.8373872114182292e-20,3.7174065916499971e-20,3.7174064219122047e-20,3.7453124692282363e-27,1.9421221367412319e-21,1.0001077071295549e-26,6.7034830824138662e-27,9.2278330328156795e-22,5.1484326557607732e-27,6.6777694052501643e-27,6.4689805409654e-27,3.0799836769912689e-34,1.38775230014969e-39,7.6639623745743224e-22,4.2759119402934714e-27,1.0843121757798193e-34,1.864467794151892e-22,1.8369282052180288e-28,4.8855990979703237e-40,1.868028574369046e-34,5.3820162354722647e-47,4.9059600695661756e-51,1.4885781805225268e-28,4.7394680552697403e-49,5.6027081241679753e-41,3.0272436561860941e-47,7.5817661953356626e-48,7.1637504071728933e-23,1.1549042436536523e-35,9.1689798557380557e-35,1.5808603403756505e-28,4.1274270503397961e-60,1.02728154449664e-44,6.7115418462597841e-47,5.1769459750302741e-50,2.2422723747220608e-35,1.2303841294220284e-43,2.7587449937814298e-48,7.9792800857832137e-35,3.5952359917515744e-40,7.7536527512759906e-57,9.5917905674705547e-36,7.0010354155084076e-48,3.336876117808401e-62,1.4721299047668796e-48,7.9792449991874548e-35,3.5952195282661757e-40,5.5586279158245854e-41,1.1987082446995418e-44,1.2466260769338955e-29,2.7932443867884085e-56,2.2669104653742795e-57,4.1731449780987395e-64,1.9221999995686274e-37,8.6608824285334868e-43,9.5409012667201485e-50,8.6782089696196682e-54,2.2102311937600351e-66,6.6831246169358819e-71,2.1496381276303268e-78,7.1151676607752299e-63,1.487596238350685e-63,4.3899551324037763e-43,3.0412096228650467e-54,1.9163779392476702e-63,8.6387157385408177e-74,7.9183875086067314e-75,6.9084049145180334e-75,1.9143843504265544e-72,5.3879596170822514e-72,3.9198436908232243e-80,1.5083904119810945e-83,1.1880947436922976e-32,2.3355647345520234e-51,5.1508651198159272e-24,1.5862803365337005e-56,6.3502843327661817e-67,3.4249135410528101e-30,6.9386368897023934e-92,7.941067428036865e-94,2.299923718268281e-95,9.9311013469360573e-45,8.01591910237948e-47,1.2979318561707649e-92,2.3815827602944501e-99,3.662012003075867e-99,8.1488727109267018e-105,5.764880655165206e-43,2.7159357126948325e-106,1.0825019484524197e-38,1.5044916298945926e-35,2.7752511300142807e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.2504145126643166e-44,1.4412460364054971e-45,2.8927312832785075e-47,4.3371089879517115e-49,1.6267452353308394e-46,5.0065090219726472e-50,1.5056233583666546e-54,1.2615097219265281e-55,9.255822846322146e-50,7.0481960134801079e-55
6.300000000000001e-14,0.003097712267889755,7.7623853959904307e-20,7.7623843542376494e-20,7.5196838541141638e-20,7.519683162423815e-20,1.5262348582270903e-26,3.9285860905136432e-21,4.0754920359962345e-26,2.7317053122015865e-26,1.8666240025795196e-21,2.098001238209483e-26,2.7212266645990869e-26,2.6361439920759664e-26,2.5207831540258538e-33,2.2767527408330827e-38,1.550281263015978e-21,1.742446904386007e-26,8.8744571584879355e-34,3.7715178827831889e-22,7.4856063922716312e-28,8.0153423962502627e-39,1.5288724417469335e-33,1.7678696959180141e-45,3.2249398795396563e-49,6.0660302188706207e-28,7.8343526568278015e-48,9.1742870668984717e-40,1.0022127166720108e-45,2.4857842151707817e-46,1.4491061743751028e-22,9.4522059945864475e-35,7.5042299485696836e-34,6.4420844876323886e-28,4.6893549668996476e-58,8.4076946224920642e-44,2.1927957356460864e-45,8.4922311588824585e-49,1.835177025698824e-34,2.0185570501596509e-42,9.0626669346328544e-47,6.5305321381473932e-34,5.8983326309819456e-39,2.5467882254832329e-55,7.8503131046173815e-35,2.2998832879290787e-46,2.1934051797768236e-60,4.8360604038043275e-47,6.5305054643960958e-34,5.8983063854457053e-39,9.1194773006334907e-40,1.955706969701561e-43,5.0800702012196654e-29,1.7214200825701883e-54,2.7959025158965884e-55,1.0297011454085077e-61,1.5732081985653008e-36,1.4209102224707576e-41,3.1339710067973301e-48,5.7046373316645981e-52,3.7136480259887651e-64,8.7886244669630073e-69,5.6524458959991193e-76,7.9765882600388358e-61,3.336949880892274e-61,7.2021993586186501e-42,4.989432459607582e-53,5.7629931212394553e-62,4.5341446053949219e-72,6.0948000140251249e-73,9.4888965317209725e-73,3.9787417902337213e-70,5.5956161525715317e-70,6.0380921591710195e-78,4.6498637870362043e-81,4.8415517032971761e-32,7.6725134381303375e-50,1.0418979927502989e-23,1.0428401255342108e-54,1.5669357227422721e-64,1.3956738899082169e-29,4.2299913745760324e-89,9.4152614585042164e-91,5.4542398053656703e-92,1.6163279547203425e-43,2.6126711818551018e-45,1.2958019835113568e-89,4.7555635166130818e-96,7.312341036975432e-96,1.0862888432776127e-101,2.3492196031857722e-42,7.2414933879429195e-103,8.8597140940104981e-38,1.2313440729675569e-34,1.6768074230685364e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.3535596934363321e-42,1.7616968957302284e-44,3.5430259908208832e-46,1.0685552454610681e-47,2.6688721309746772e-45,4.0974764043164988e-49,2.4688797757609748e-53,2.0693482680393992e-54,7.5752952587443894e-49,1.1563200074525401e-53
1.2700000000000001e-13,0.003097712267889755,1.5612377847019616e-19,1.5612373643079172e-19,1.5124233451856296e-19,1.5124230660576048e-19,6.1590451190616674e-26,7.9015174194076537e-21,1.6446443289347553e-25,1.102366228023671e-25,3.7542729259921264e-21,8.466278399275733e-26,1.0981374711846877e-25,1.0638027047022184e-25,2.0379724198742205e-32,3.6846396218347222e-37,3.1180245152608049e-21,7.0314768584300296e-26,7.1747271646076068e-33,7.585662114926165e-22,3.0208001072886482e-27,1.2971849724765212e-37,1.236048167227022e-32,5.7236381623366939e-44,2.0886893692715973e-47,2.4479120203652097e-27,1.2726801413832737e-46,1.4833223661834459e-38,3.2580293121759527e-44,8.0415704307587203e-45,2.914569952024979e-22,7.6418102086348708e-34,6.0668748137110827e-33,2.5996664797620256e-27,4.7747427254765982e-56,6.7973633568153353e-43,7.0242511956516567e-44,1.3740088653640815e-47,1.4836990700438028e-33,3.2667279723251522e-41,2.9346501986678281e-45,5.2796722612301522e-33,9.5456235361258276e-38,8.2447453330751525e-54,6.3467330099367629e-34,7.4473925062613389e-45,1.4204745156545454e-58,1.5660090936511416e-45,5.2796539973262767e-33,9.5455835348496343e-38,1.4758627037680985e-38,3.130369727654756e-42,2.0500389861397318e-28,9.8212693115084724e-53,3.1923970550177015e-53,2.3521087139445525e-59,1.2718916768792326e-35,2.2995716981515161e-40,1.0146529989648667e-46,3.6947147788336267e-50,5.17729558767312e-62,1.138455346909013e-66,1.4633668200463157e-73,7.977921080605177e-59,6.6786275168454933e-59,1.1655920517846213e-40,8.0748052954361081e-52,1.5958028268914093e-60,1.9997027188347443e-70,3.8676172592338865e-71,9.9078917229964665e-71,7.2605584194865286e-68,5.1021231236481273e-68,7.6649735594291588e-76,1.1813614471155304e-78,1.9537858792918764e-31,2.4845088878228872e-48,2.0954149067851883e-23,6.755388126208459e-53,3.5794636292171191e-62,5.6321994821862421e-29,2.1018096197285909e-86,8.8666028246092376e-88,1.0273928624136337e-88,2.5748175310299099e-42,8.3298725673366115e-44,1.1908217285291347e-86,8.7409528418894677e-93,1.3440443086553222e-92,1.2056496874650554e-98,9.4801585392703171e-42,1.6075582481918323e-99,7.1629251505033887e-37,9.9551403435409546e-34,8.8558683345446168e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.1905442446689558e-41,1.883653962105315e-43,3.7920733624752336e-45,2.3013488972079051e-46,4.3193215511404133e-44,3.3125930942731805e-48,3.9915257217172535e-52,3.3480426214482564e-53,6.1243118674896067e-48,1.871326213417834e-52
2.55e-13,0.003097712267889755,3.1312349121761692e-19,3.1312332233600211e-19,3.0333312938620526e-19,3.0333301725436711e-19,2.4742265677808025e-25,1.5847393761459685e-20,6.6069028945906159e-25,4.4284531114955159e-25,7.529440877742752e-21,3.4010123083725297e-25,4.4114640374967648e-25,4.2735329712264609e-25,1.6386284341488845e-31,5.9275704914923297e-36,6.2534038287015608e-21,2.8246366939951009e-25,5.7688484865415157e-32,1.5214126797344545e-21,1.2135398277865413e-26,2.086819941374736e-36,9.9384861059500727e-32,1.8412011890622208e-42,1.3439333883300709e-45,9.8337762379094921e-27,2.0512583709865992e-45,2.3850929970967933e-37,1.0505077267539646e-42,2.586548031496515e-43,5.8455035476692706e-22,6.1443923790246022e-33,4.8779729776822355e-32,1.0443404912307397e-26,4.3018727551946394e-54,5.465427816554768e-42,2.2127766100116486e-42,2.2092685286473191e-46,1.1929935621075047e-32,5.255091339533816e-40,9.4436997712592957e-44,4.2450255359034909e-32,1.5355989161309437e-36,2.6517425227524717e-52,5.1030906739980233e-33,2.396549034000655e-43,9.1382297886739976e-57,5.0394668062586397e-44,4.2450161583254189e-32,1.5355932768744017e-36,2.3742223600237253e-37,4.9278107188115543e-41,8.2354811732723867e-28,5.0847183773601684e-51,3.3085384200109812e-51,4.8770808560759233e-57,1.0226676755817694e-34,3.699397486038882e-39,3.2639832274402697e-45,2.3773115141737919e-48,6.0313519225957376e-60,1.4648640284456501e-64,3.7601866461705371e-71,7.050225710518401e-57,1.1811843278975282e-56,1.8751363994704884e-39,1.2990243708793843e-50,3.9793680400925927e-59,7.0819728394882286e-69,2.05102475493178e-69,7.7545936784320798e-69,1.1743523917187322e-65,4.1232835359428255e-66,8.1232957695579221e-74,2.5059581732252396e-76,7.8488096556651852e-31,7.9952404984765565e-47,4.2020246578764186e-23,4.3482531558520426e-51,7.4226961340475616e-60,2.2626022896862915e-28,8.537256570445486e-84,6.5193906816462594e-85,1.5110577289484552e-85,4.0161691128347918e-41,2.6003612823796192e-42,9.906411327038777e-84,1.4543967744417564e-89,2.2363413629392828e-89,1.1322131511800862e-95,3.808391736741083e-41,3.0195301229877813e-96,5.7595476785558558e-36,8.0046042703975111e-33,4.1844753230592245e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.5239089011435567e-40,1.7998736096328889e-42,3.6251929034734951e-44,4.4259723859132849e-45,6.9488747521166476e-43,2.6633489588810133e-47,6.4082841514272852e-51,5.3830624580786044e-52,4.9241278680921713e-47,3.0103419802146953e-51
5.11e-13,0.003097712267889755,6.2712237162078631e-19,6.2712169466212153e-19,6.0751393077466763e-19,6.0751348129703835e-19,9.9179010017233904e-25,3.1739201173562786e-20,2.6483655500050032e-24,1.7751395284474783e-24,1.5079257246210527e-20,1.3632253828090314e-24,1.7683285135417391e-24,1.7130385598082668e-24,1.3141047052225568e-30,9.5089674424439607e-35,1.2523733726905922e-20,1.1321991641326298e-24,4.6263845799486564e-31,3.0471761023598451e-21,4.8645902837721833e-26,3.347683028233373e-35,7.9703066208388644e-31,5.9032405383662781e-41,8.6182697177649694e-44,3.9418264432500883e-26,3.293722085876592e-44,3.8251439513221833e-36,3.3740393020318859e-41,8.2971815391959888e-42,1.1707394892397053e-21,4.9275319116469608e-32,3.9117691631034223e-31,4.1861927793147624e-26,3.4478392645044545e-52,4.3830524118849682e-41,6.8125412463507956e-41,3.5404628400518885e-45,9.5677047490270437e-32,8.4296216489236364e-39,3.0300145638422857e-42,3.4041768082201322e-31,2.4633039341258302e-35,8.4990585830670888e-51,4.0924606475578772e-32,7.6892034704836475e-42,5.8580633869704094e-55,1.6169481345024648e-42,3.4041777995491038e-31,2.4632974406751406e-35,3.8086009478990759e-36,7.5794701285960292e-40,3.3011924074762513e-27,2.3412938628523005e-49,3.0505598620853085e-49,8.9973062958052987e-55,8.2014086294579463e-34,5.9346115156922652e-38,1.0465012427886113e-43,1.5245125661427924e-46,5.9283693157811452e-58,1.8781545735191311e-62,9.612792162125467e-69,5.5574978440612932e-55,1.8634725320892873e-54,3.0081442042888001e-38,2.0839199073788347e-49,8.7958190999545772e-58,1.9800235265692077e-67,9.3558460273366967e-68,4.6385252918516343e-67,1.728709914964248e-63,3.0329926338524234e-64,7.3879798327721602e-72,4.5618115438017732e-74,3.1461947357743681e-30,2.5653366656311018e-45,8.4135487559143989e-23,2.7904755221354724e-49,1.3696089251608176e-57,9.069779973502518e-28,2.8639139552021166e-81,3.6757664180251126e-82,1.704283316863645e-82,6.0727481378411736e-40,7.8720098896109962e-41,7.3228973701732248e-81,2.1503630534659505e-86,3.3064923405594642e-86,9.1599597189573729e-93,1.5265877894796483e-40,4.8862076646424017e-93,4.6192282283264438e-35,6.4196291236735579e-32,1.8334476799870246e-42,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.6527942112017464e-39,1.5885038090837875e-41,3.2002401807323e-43,7.8505824711965367e-44,1.1148221572519504e-41,2.1356682413611991e-46,1.0238732158565074e-49,8.6258214355876059e-51,3.9487395461519539e-46,4.8288278297761688e-50
