Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247)
0.0,0.002020603463032251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0
1e-15,0.002020603463032251,2.7124916709545222e-23,2.7124916689723155e-23,2.6360971410038625e-23,2.6360971260628362e-23,3.4733382962351782e-32,6.6163069292683388e-24,4.795044190826847e-31,3.2304905238053825e-31,3.1319820890197028e-24,1.2726176768310661e-30,3.2166646162666895e-31,3.1260705755274298e-31,3.2614328703158696e-40,1.3252173874672129e-46,2.6245881165603145e-24,1.0664483847118067e-30,1.2329598606325959e-40,6.7705709817744066e-25,4.0580547274857755e-32,5.0098834056089129e-47,1.6864323129803094e-40,1.4210703692399946e-55,4.3937875611942561e-61,4.0340821721322016e-33,1.2415483739312669e-56,6.4145112583466812e-48,4.7633263327986272e-56,6.8185030397736754e-56,1.8451889786811142e-25,1.3238818398509773e-40,4.4079074394753774e-40,4.1646189403107356e-33,3.6693721433270711e-72,1.0409167726932556e-51,2.6350730065888572e-55,4.5293590756677634e-58,4.9852853267678148e-41,2.3912897472756393e-51,1.4647976399287624e-57,2.7724400228033605e-40,1.126525021530671e-46,2.0721353657612301e-66,1.1094075427161283e-40,4.6562208198206422e-56,8.4197037158587861e-73,2.3520999046858036e-56,2.7701524588497682e-40,1.1255955133432836e-46,6.2883515603713807e-48,1.1099130571159806e-51,2.1881556971447952e-33,3.9722143228707086e-67,1.7022980562361521e-69,2.7471612997938892e-77,4.748094853253318e-43,1.9292924644922433e-49,5.4725033610083154e-58,1.6875101470820684e-63,3.8483054634349954e-80,8.7994224993589635e-83,3.6632018376357318e-92,1.4018697134920589e-74,1.5807451379599378e-76,1.6888934457919264e-50,1.5007885432720663e-62,4.48974969374276e-73,1.0594679308048945e-84,7.0087681818027152e-87,4.14424105763074e-88,3.4668716840082184e-87,1.6674199827128159e-85,3.1627706095289713e-93,6.8581188316124119e-98,1.1434883496126849e-36,8.0996852246170116e-61,1.8416593040459475e-27,1.2151911997162054e-67,2.454834368424563e-80,3.8186817281456423e-34,3.9072748810516858e-108,2.3255505109614165e-111,3.1633198306364757e-114,9.3000614401096998e-52,3.1722266863424931e-55,-1.5901679701069444e-109,-2.5662079438978941e-117,-8.8474881014294913e-118,-1.1138391980033036e-123,1.2393259761374328e-48,-1.5610383530820298e-126,9.6391702680835443e-44,3.3632944744203632e-41,7.712259733122867e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.6118059686166324e-51,2.212267450211303e-53,2.3669324902290181e-55,1.6088466105597752e-58,1.3119251806549724e-53
3.0000000000000002e-15,0.002020603463032251,8.9124725299722961e-23,8.9124725169463611e-23,8.6614619275356119e-23,8.6614618293517221e-23,2.2824794388562054e-31,2.1739294242103065e-23,3.1510290138963297e-30,2.1228937617830614e-30,1.0290794093475981e-23,8.3629146126669272e-30,2.1138081645598848e-30,2.0542749374518238e-30,3.0750648408475783e-39,1.6281240344398453e-45,8.6236431600019653e-24,7.008088097964789e-30,1.1625048574359003e-39,2.2246160695787803e-24,2.6667216199432254e-31,6.15499895724423e-46,1.5900646658641667e-39,2.1519049866444216e-54,7.9088127481779522e-60,2.6509681183478281e-32,1.5986731158458554e-55,7.846368583801747e-47,7.494422028077698e-55,1.0288683773844415e-54,6.062763832228534e-25,1.2482312878302412e-39,4.1560262411329662e-39,2.7367494159801457e-32,7.6425979412183971e-71,9.8143563161393246e-51,3.9900744426755952e-54,5.564635804724515e-57,4.7004118554742357e-40,2.937869951650339e-50,2.21812196995802e-56,2.6140142006602598e-39,1.3840161745684114e-45,3.137802115379732e-65,1.0460126920830156e-39,7.0508472605005753e-55,1.5155455020924293e-71,3.5617507007284738e-55,2.6118573619783307e-39,1.3828742095596117e-45,7.7256875297909316e-47,1.3635320764374719e-50,1.4379308910776417e-32,7.3797945684753301e-66,3.6489603264815717e-68,6.6735792279397539e-76,4.4767745892021534e-42,2.3702733626354812e-48,8.2869276630193372e-57,3.0375164152102171e-62,9.293397250013064e-79,1.8353069018113714e-81,8.6869937294619404e-91,2.9194320961314335e-73,3.7435865375972596e-75,2.0749261468778961e-49,1.8438256614938382e-61,6.7918993334358087e-72,1.9037381890055077e-83,1.4487468419038158e-85,9.7198078288784326e-87,8.2009382114863453e-86,3.4679031871581396e-84,7.4412268780593844e-92,1.8094941343252382e-96,7.5143520186452287e-36,1.2265236863696628e-59,6.0511498241515637e-27,2.1873440451439369e-66,5.9634404931937283e-79,2.5094192061835688e-33,1.1424927184139768e-106,7.4634687432086576e-110,1.105595612207651e-112,1.1424882605318501e-50,4.8033481223453631e-54,6.5867376230823126e-108,9.8964536741098397e-116,3.4119898926168725e-116,4.3132511088769557e-122,8.1441418805132938e-48,5.598982268557688e-125,9.0883604339297945e-43,3.1711062101413669e-40,7.2094746821878015e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.9802186252387156e-50,2.699672132931221e-52,2.9331483432012659e-54,2.4533841759963262e-57,1.6117937789561305e-52
7e-15,0.002020603463032251,1.9762438424361572e-22,1.9762438353568464e-22,1.9205849671304105e-22,1.9205849137696057e-22,1.2404779100827641e-30,4.820452231068285e-23,1.7125156772154353e-29,1.1537465707511782e-29,2.281869031799417e-23,4.5450568101352803e-29,1.1488087432005468e-29,1.1164537272776968e-29,4.9666891689696459e-38,8.2352673462590005e-44,1.9121968777130915e-23,3.80873897900064e-29,1.8776192016533806e-38,4.9328436194239788e-24,1.4493050226914575e-30,3.1132803768123005e-44,2.5681940755000157e-38,3.5538525927540904e-52,4.403151625196859e-57,1.4407429548247236e-31,9.1410721153401136e-54,3.929805021216244e-45,1.4103204553959749e-52,1.6812117769722023e-52,1.3443520092318789e-24,2.016080269549803e-38,6.7126006328476641e-38,1.4873631999177048e-31,1.428072133149037e-67,1.5851645435029075e-49,6.585233724698977e-52,2.814637978384752e-55,7.5918769295256353e-39,1.4860137284629191e-48,3.6632451284546787e-54,4.2220189594115173e-38,7.0005298997908106e-44,5.1820390646519628e-63,1.6894670019197956e-38,1.164450599483405e-52,8.437623081916867e-69,5.8822504880284098e-53,4.2185354466871845e-38,6.994753814585615e-44,3.9077512618640706e-45,6.8923609849148169e-49,7.8148419543213019e-32,4.6521516839060617e-63,7.9780509574416298e-65,5.1506348767536334e-72,7.230660997411728e-41,1.198915903738521e-46,1.3685791243647555e-54,1.6911067651959693e-59,6.2713962123622913e-75,3.5290953056404521e-78,5.8771394853264265e-87,5.4403338378627634e-70,2.4541776416017674e-71,1.0495260721614999e-47,9.3263114982549147e-60,1.1050390430205593e-69,1.0236647606835325e-80,2.3336234008961869e-82,5.3665134904182044e-83,5.2373956415978332e-82,6.2964796658571874e-81,4.2126808668491441e-88,3.6540742659284211e-92,4.0838869910683708e-35,2.0256135587527499e-57,1.3417661082520107e-26,1.2177939768268799e-63,4.6025622378217561e-75,1.3638140250196241e-32,8.3126019736287504e-102,1.9708615993846597e-104,1.0723434265019848e-106,5.7733626711513604e-49,7.9251492415012246e-52,9.3699269181007768e-103,6.0484730015609773e-110,2.0853260471290784e-110,2.2484916304412072e-116,4.4261631805149885e-47,1.2604990871523411e-118,1.4679077041564317e-41,5.1218168268057543e-39,1.080485601856345e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.0016213757418217e-48,1.2660194437425685e-50,1.4257508815573827e-52,3.900967973726716e-55,8.1526766681623188e-51
1.5e-14,0.002020603463032251,4.1462368203685213e-22,4.1462367890496561e-22,4.0294623070939952e-22,4.0294620710258307e-22,5.4878739374921317e-30,1.011349793425769e-22,7.5761686857200493e-29,5.1041745430257149e-29,4.7874400977944783e-23,2.0107291060076593e-28,5.0823295720943288e-29,4.9391909729047466e-29,4.6191046729153497e-37,1.5838563957537236e-42,4.0118551668475288e-23,1.6849827786625428e-28,1.7462177576713397e-37,1.0349296573642137e-23,6.4117239098741889e-30,5.9876497431982343e-43,2.3884668080174986e-37,1.3942387522288848e-50,3.4926933244845613e-55,6.3738425127102573e-31,1.81448230631053e-52,7.5398607111894242e-44,5.710188451202621e-51,6.5799036014095547e-51,2.820503349159026e-24,1.8749889938571483e-37,6.2428278244554776e-37,6.5800902906349429e-31,2.1916218426320156e-65,1.4742288204373726e-48,2.5810330691661745e-50,5.4131993609164808e-54,7.0605874005046211e-38,2.8579918159636599e-47,1.4371757453465386e-52,3.9265421981852202e-37,1.3463820616625056e-42,2.0329968114040327e-61,1.5712331161792127e-37,4.5683967259387063e-51,6.6929135629617297e-67,2.3077385098109971e-51,3.9233026243753177e-37,1.3452712061634739e-42,7.5156119749382995e-44,1.3242665428628549e-47,3.4572861944898303e-31,3.7439493933318233e-61,1.2914949806688966e-62,1.6725101173142594e-69,6.7246383295343721e-40,2.3058280958578263e-45,5.3691769400383088e-53,1.3414296609976834e-57,1.7331166966849864e-72,5.6310958418684915e-76,1.8809728221655204e-84,8.3194074914167477e-68,7.5292979266894652e-69,2.0185145830224406e-46,1.7936916532226575e-58,4.2437626951820581e-68,7.7361543124875658e-79,3.0030826012210359e-80,1.3612885938747301e-80,1.5548118412213793e-79,9.3161394729779683e-79,1.0881431969095913e-85,1.8912687687361837e-89,1.8067116227903131e-34,7.9469528572397424e-56,2.8150362988448545e-26,9.6599941888718488e-62,1.4945444062675407e-72,6.0335076544447171e-32,8.5925851022737938e-99,4.0541451115289031e-101,4.4127787560386094e-103,1.1087876326443862e-47,3.1048880350652507e-50,1.1848104788406668e-99,1.5302394906677316e-106,5.2757924726454514e-107,4.7753994438425735e-113,1.9581339410489773e-46,5.355413376082772e-115,1.3651814061191992e-40,4.7633854944208571e-38,9.0194535251340963e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.926380293212439e-47,2.1949028090840822e-49,2.4938834479817859e-51,1.3951196487303937e-53,1.5679749204271695e-49
3.1e-14,0.002020603463032251,8.4862219724514301e-22,8.4862218419089964e-22,8.2472161518608564e-22,8.2472151678880491e-22,2.2874408515073619e-29,2.0699589698524263e-22,3.1578780832905585e-28,2.1275083242652542e-28,9.7985495143740092e-23,8.3810351654476452e-28,2.1184029433554038e-28,2.0587402832213053e-28,3.8985012417397542e-36,2.6929085061989733e-41,8.2111444081354815e-23,7.0232734735954337e-28,1.4737994528927702e-36,2.1182193900197299e-23,2.6725166015488211e-29,1.0180340134905188e-41,2.0158590376082689e-36,4.7594802358747015e-49,2.3894501724149703e-53,2.6567246890497101e-30,3.1324007606731858e-51,1.2804838896608055e-42,1.9799456289263281e-49,2.2436069324888277e-49,5.7728063806352885e-24,1.5824819118835304e-36,5.2689089142065674e-36,2.7426921914794011e-30,2.7890984692708747e-63,1.2442402041309894e-47,8.7941113411163381e-49,9.2033667016744328e-53,5.9591234086100391e-37,4.8592237024624148e-46,4.90619146651387e-51,3.3139709953438596e-36,2.2891419898542617e-41,6.939938943332947e-60,1.3261134179571946e-36,1.5595386033817669e-49,4.5787751508506914e-65,7.8780655598253033e-50,3.3112370628611361e-36,2.2872534096020848e-41,1.2778175116811951e-42,2.2471439855285747e-46,1.4410569966465024e-30,2.5178955499876598e-59,1.7393015871423485e-60,4.5076841687823336e-67,5.6755639062517053e-39,3.9204230165256769e-44,1.8328639307470646e-51,9.1771019979694811e-56,3.5993880079919885e-70,7.7127469924016516e-74,5.1544425045399594e-82,1.0520604876237242e-65,1.9056109637423584e-66,3.4319329385386141e-45,3.0496719731836264e-57,1.3903618054225641e-66,4.8220271744204576e-77,2.8985282380474056e-78,2.5495445238475081e-78,3.7220901170574476e-77,1.1142085072609103e-76,2.1028156008865716e-83,7.3144701794802108e-87,7.5306878324916638e-34,2.7129109230546131e-54,5.7614484416621465e-26,6.6088638393358016e-60,4.0280594884209995e-70,2.5148661749500965e-31,6.6171212237850068e-96,6.1776252953001852e-98,1.3449352898184863e-99,1.8798957217262072e-46,1.0570129197332761e-48,1.3073033986411374e-96,3.3770853537317691e-103,1.1643148477876464e-103,7.9816940959836412e-110,8.1618368998868843e-46,1.7903422751978631e-111,1.1522104077135147e-39,4.020289257791806e-37,6.3284523741731023e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.2752804962337291e-46,3.1215902757935117e-48,3.5617456843947363e-50,4.0130841909807161e-52,2.6659160870421677e-48
6.300000000000001e-14,0.002020603463032251,1.716618906149119e-21,1.7166188529523918e-21,1.6682720500754517e-21,1.6682716491014262e-21,9.3214432902911699e-29,4.1871774658560281e-22,1.2868520007011544e-27,8.669709904272255e-28,1.9820637487680381e-22,3.4152906433124897e-27,8.6326048387595581e-28,8.3894762053502222e-28,3.1906848438043971e-35,4.4179934761512005e-40,1.660961354426366e-22,2.8619998964857474e-27,1.2062153697590213e-35,4.2847954225845505e-23,1.0890640089658926e-28,1.6701903523966191e-40,1.6498654960754921e-35,1.5634455735060581e-47,1.5707730485645639e-51,1.0826268609171721e-29,5.1782666516837651e-50,2.0995725939342839e-41,6.5554171262697089e-48,7.3661385964495933e-48,1.1677413849960332e-23,1.2951656090553052e-35,4.31226902537979e-35,1.1176589610788015e-29,3.2126991359163839e-61,1.0183319875952939e-46,2.8778842418088048e-47,1.5098161216600594e-51,4.877215542031446e-36,7.9720607234672028e-45,1.611729599903686e-49,2.7122646574407266e-35,3.7555491236774019e-40,2.279670310484679e-58,1.0853435901091875e-35,5.1231754681585461e-48,3.0099406772489366e-63,2.587998629075089e-48,2.710027511672545e-35,3.7524511112450085e-40,2.0963784775729807e-41,3.672325632413488e-45,5.8723861631208215e-30,1.5671124578651827e-57,2.1663603266716279e-58,1.1232247583263262e-64,4.6451065072776293e-38,6.4318634835006847e-43,6.0207933972468485e-50,6.0328326678050438e-54,6.1471572015853645e-68,1.0143320872145259e-71,1.355496648296938e-79,1.1995160415882252e-63,4.3472852051582108e-64,5.6304677311688428e-44,5.0032902074226262e-56,4.2268821231808197e-65,2.6635979367364671e-75,2.2636373995876652e-76,3.760809051541699e-76,7.8137341595712744e-75,1.1688445823250105e-74,3.2870554740885145e-81,2.2881518539098053e-84,3.0687962492913912e-33,8.9121767421131012e-53,1.1653759821459224e-25,4.3447729366586397e-58,1.0037226316473829e-67,1.0248179051751889e-30,4.1025219370745538e-93,7.4989847983393125e-95,3.265492459643019e-96,3.0669736633463335e-45,3.4533387720326686e-47,1.3180166531427019e-93,6.80981194195057e-100,2.3478136644691364e-100,1.085038557420158e-106,3.3259884987594888e-45,4.8679485618587509e-108,9.4302049308573692e-39,3.2903865579501454e-36,3.8636010208381103e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.3734513674491133e-45,3.8551392682556916e-47,4.4078695652961572e-49,9.9888548850036035e-51,4.3737411680061898e-47
1.2700000000000001e-13,0.002020603463032251,3.4526110379076133e-21,3.4526108232349703e-21,3.3553715835990955e-21,3.3553699654895411e-21,3.7616218374235575e-28,8.4216150304258418e-22,5.1930258169326675e-27,3.4986182329024702e-27,3.9864290009199338e-22,1.3782026409046814e-26,3.4836445455172669e-27,3.3855311075052332e-27,2.5795564944355569e-34,7.1499555190409515e-39,3.3406114442536416e-22,1.1549284532698204e-26,9.7518376218534179e-35,8.6179337567793405e-23,4.3948574009925257e-28,2.7029913802544808e-39,1.3338714208421063e-34,5.0622158146223327e-46,1.0174225549304005e-49,4.3688656149641699e-29,8.4123396073716864e-49,3.3968962666118948e-40,2.1311410254471785e-46,2.384596360677083e-46,2.3486634413177681e-23,1.0470973767829001e-34,3.4863005915140025e-34,4.5102349770511037e-29,3.3340361181491064e-59,8.2328152391402362e-46,9.2484016702595031e-46,2.4431496385862568e-50,3.9431178248160058e-35,1.2901771136147831e-43,5.2191401514856161e-48,2.1927416237725529e-34,6.0777972016089568e-39,7.3810176524763637e-57,8.7746351473181656e-35,1.6589635105776773e-46,1.9495400973313695e-61,8.3803922121673912e-47,2.1909336339308792e-34,6.0727847531652453e-39,3.3926787067850813e-40,5.8972977851307276e-44,2.3697738163969108e-29,9.087238320568346e-56,2.5139103658410392e-56,2.6075635049624845e-62,3.7554126225213117e-37,1.040916561970975e-41,1.9494501514326975e-48,3.9075965392551709e-52,8.7570012648322417e-66,1.3141190138489352e-69,3.5099955453415411e-77,1.2272840397509524e-61,8.900322289904912e-62,9.1122821760133454e-43,8.0971494042963611e-55,1.1908996723874448e-63,1.2676215758793709e-73,1.4388425756249874e-74,4.3030122501360994e-74,1.4420671110269819e-72,1.077883159876017e-72,4.1812720666072469e-79,5.8255226353460029e-82,1.2383980711086602e-32,2.8859692697854589e-51,2.3436331338721134e-25,2.8145219028752638e-56,2.3301895459997828e-65,4.1355735628349672e-30,2.0513635701069675e-90,7.195886420549109e-92,6.2676960725466516e-93,4.9087885591076557e-44,1.1061333664580392e-45,1.230938668224278e-90,1.2720311262748475e-96,4.385573062891e-97,1.2309697379337086e-103,1.3421832039331824e-44,1.1046122597699996e-104,7.6240980082399849e-38,2.6602033127265006e-35,2.0615806862005506e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.696295619150993e-44,4.1654353219603447e-46,4.7675562456012233e-48,2.173868568285966e-49,7.0784408721796076e-46
2.55e-13,0.002020603463032251,6.9245901572345166e-21,6.9245892948472515e-21,6.7295653056335248e-21,6.729558805334548e-21,1.5111275427420542e-27,1.6890492449507695e-21,2.0861536245584504e-26,1.4054732347290008e-26,7.994950146639177e-22,5.5363806872949684e-26,1.3994578705581083e-26,1.3600434351140674e-26,2.0740721891725708e-33,1.1502262895978791e-37,6.6997366837600914e-22,4.6394667187211729e-26,7.8409055642876036e-34,1.7284155501829495e-22,1.7655076303851983e-27,4.3483595870365424e-38,1.0725100662020745e-33,1.6287020239412541e-44,6.5475162834495719e-48,1.7550541026963241e-28,1.3558908334850831e-47,5.4637524473774146e-39,6.8716904570993249e-45,7.672526285626991e-45,4.7105098030499392e-23,8.4191289709827781e-34,2.803104903220343e-33,1.8118445898561153e-28,3.0690003021660251e-57,6.6194651032399298e-45,2.9316527377438042e-44,3.9293935137134978e-49,3.1705303828133882e-34,2.0755357340763546e-42,1.6795684076520365e-46,1.7630101371753289e-33,9.7772142338282939e-38,2.3745966721361006e-55,7.0551989712633514e-34,5.3384751279372871e-45,1.2545270686462646e-59,2.6968086570779139e-45,1.7615575044501298e-33,9.7691547580373984e-38,5.4577322432326364e-39,9.3427667336348455e-43,9.5199248982718818e-29,4.8157292732399984e-54,2.66663890492889e-54,5.533975045039965e-60,3.0195219276377012e-36,1.6745477265130933e-40,6.2721170669188654e-47,2.5146988056283035e-50,1.0480596406866018e-63,1.69135520808972e-67,9.0228805850263726e-75,1.1117630817563601e-59,1.6135359089594843e-59,1.4659391428292034e-41,1.3025922367284881e-53,3.0403708534517147e-62,4.9346461385292571e-72,7.4890669853986091e-73,3.7314380916315974e-72,2.3561562700363677e-70,8.7994791155608547e-71,4.3527704533286774e-77,1.2139537816663713e-79,4.9749272819261728e-32,9.2873691629552376e-50,4.69932724509257e-25,1.8116700192924339e-54,4.9455223523151629e-63,1.6613299289404694e-29,8.2506513549567759e-88,5.3544051111806883e-89,9.3288993098424899e-90,7.7264360714875088e-43,3.4840113268943089e-44,1.0480421315633637e-87,2.1661700525751896e-93,7.4682916133174545e-94,1.1824232114271164e-100,5.3918271254172084e-44,2.1222673635607393e-101,6.1302714347933702e-37,2.1389823416835605e-34,9.8184745575274777e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.3990062288403757e-42,4.0149701734084701e-45,4.5976765104244991e-47,4.2175448947115162e-48,1.1387544261741576e-44
5.11e-13,0.002020603463032251,1.3868527819189902e-20,1.3868524362330322e-20,1.3477931369710903e-20,1.3477905313438014e-20,6.0573300825697504e-27,3.3828256444976507e-21,8.3623056850350372e-26,5.6338174482341195e-26,1.6011155095353183e-21,2.2191150759467787e-25,5.6097041625380136e-26,5.4517114393603589e-26,1.6632848534101911e-32,1.8451700780056047e-36,1.3417287477735142e-21,1.8596112868306844e-25,6.2879758165514463e-33,3.461637930177187e-22,7.0769701319260919e-27,6.9755787381104584e-37,8.6012448334248229e-33,5.223655670222418e-43,4.2001177823222772e-46,7.03497077569412e-28,2.17716875663241e-46,8.76380750508152e-38,2.2070666933197156e-43,2.4615598513250805e-43,9.4342115169641642e-23,6.7516894683567996e-33,2.2478820004379836e-32,7.2626085493844694e-28,2.5077688557427921e-55,5.3083199361469007e-44,9.1331419486304008e-43,6.3004234906229177e-48,2.5427365326448338e-33,3.3295473210179171e-41,5.3892217526468855e-45,1.4137565303525291e-32,1.5683615981669127e-36,7.6149674180039317e-54,5.6578936431972559e-33,1.7128088044175508e-43,8.0465594080439263e-58,8.6527188899226263e-44,1.4125933153342234e-32,1.56707004144579e-36,8.7547636370309121e-38,1.4544653339155842e-41,3.8160575487280015e-28,2.2794359715957871e-52,2.5272704273210735e-52,1.0494520973003224e-57,2.4214993406865119e-35,2.686296625744044e-39,2.0116348162026978e-45,1.6131432064403245e-48,1.0612744577911928e-61,2.1697324769355349e-65,2.3086038569261074e-72,8.9548409503506324e-58,2.6010847422258209e-57,2.3517259822587182e-40,2.0895577890153428e-52,6.8961204090842239e-61,1.5161444433525919e-70,3.2634512918531027e-71,2.4360249677969168e-70,3.4940560473741262e-68,6.520533293826486e-69,3.7876592369043745e-75,2.114698436859001e-77,1.9941959028898338e-31,2.9800640748160592e-48,9.4074371344029804e-25,1.1626858651636524e-52,9.3793952601585347e-61,6.6592345181339669e-29,2.6862194185589972e-85,3.0314740380044197e-86,1.0565614841891793e-86,1.1881279027741279e-41,1.0723244701685089e-42,7.9628592191271844e-85,3.2918762284140634e-90,1.134938583453147e-90,9.7408410972989744e-98,2.1612868977408074e-43,3.4969638946679706e-98,4.9164008639641533e-36,1.7154460003472476e-33,4.3233543093643611e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.2443137421276236e-41,3.5669227907161504e-44,4.0856252512454676e-46,7.5310613976416134e-47,1.8268724633913391e-43
