Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634)
0.0,0.0024689144350967147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0024689144350967147,7.8136806981616617e-23,7.8136806892798286e-23,7.5869321337738905e-23,7.5869321005873904e-23,1.4114687394821979e-31,1.1315849665164146e-23,1.1536312671591173e-30,7.7597715094229752e-31,5.3618673461077979e-24,1.7830757652971013e-30,7.7279070465854098e-31,7.5036475865556214e-31,1.0100520067975206e-39,3.3589030427755227e-46,4.4825501486636708e-24,1.4906610049103556e-30,3.7438478457232395e-40,1.1379828144374738e-24,5.8629388260817525e-32,1.2450073659039897e-46,5.4586471495320107e-40,4.4779162040704461e-55,1.6331361814261817e-60,1.1172837240445336e-32,4.2354473648696678e-56,1.5556946340979959e-47,1.6309099165700868e-55,1.4158430606168617e-55,3.398411603169233e-25,1.7852536198846426e-40,8.2365806065073273e-40,1.1587983120479267e-32,2.371839601109536e-71,5.515212646253053e-51,6.8312213586335449e-55,1.987339556596456e-57,1.154380625197001e-40,9.4064694722350035e-51,7.1855533282384841e-57,5.6621221278066935e-40,1.8829247600154335e-46,1.0990011227892241e-65,1.4924817031679735e-40,1.0404019781850741e-55,3.654701191419275e-72,3.7853216606067687e-56,5.658665533890737e-40,1.8817752712932253e-46,1.51302603293461e-47,2.6017078830130123e-51,3.3611059913180455e-33,2.3650859307360196e-66,1.0588789255746655e-68,1.4311304313496489e-76,1.0627168584235997e-42,3.5340387128478895e-49,1.2710872078916623e-57,4.6239360777443733e-63,3.6938364268084894e-79,3.6769652999479076e-82,2.3674984144640847e-91,6.6742803724496956e-74,7.8279347084231429e-76,5.4720723935918911e-50,7.7196372496816994e-62,2.3318244639433059e-72,5.5083762258895079e-84,4.0919938317659446e-86,2.4577873175173535e-87,5.9294968633999655e-86,2.8036545096042104e-84,1.5297679000527002e-92,3.4106433302630071e-97,2.0763706569434551e-36,4.4583010641993997e-60,6.3951431540146149e-27,8.8503069916655948e-67,1.4826682488353374e-79,6.6338092112388321e-34,3.0471678429101735e-107,1.9221932118745469e-110,2.8290887269983354e-113,2.1747914789749241e-51,8.2133624138397513e-55,-1.3528733353325767e-108,-1.8284808069432162e-116,-1.0368039980357794e-116,-1.8251186200747187e-122,4.8035011258642005e-48,-2.8560547064319759e-125,1.3949444643547721e-43,7.7748684027722286e-41,2.7315026600316269e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.330046718611481e-51,7.9512770207301305e-53,9.9633904965122887e-55,7.3276950482163857e-58,3.1927695035375431e-53,7.3014659511013282e-56,1.5404814031966237e-61,1.3154991095593021e-62,1.7986632829429529e-55,6.5282240127197378e-62,7.2014276915166692e-65,2.3948168841862954e-71,1.0038671321913392e-78,3.8927695798387758e-79,8.2131695692391175e-85,8.2131680129177564e-85,1.6796173664283878e-86,7.0613742940120409e-66,0.0,0.0
3.0000000000000002e-15,0.0024689144350967147,2.5673522052642948e-22,2.5673521994276644e-22,2.4928491031904298e-22,2.4928490813821574e-22,9.2753659574475099e-31,3.7180649030710802e-23,7.5810054169812259e-30,5.099278398613875e-30,1.7617558241547001e-23,1.1717353190440643e-29,5.0783388913422264e-30,4.9309683876653774e-30,9.5233463377528502e-39,4.1266519000935678e-45,1.4728374150504833e-23,9.7957708022096131e-30,3.5299132939346508e-39,3.7390862974240806e-24,3.852788328249031e-31,1.5295803381893534e-45,5.1467241470815092e-39,6.7808389206986742e-54,2.9396430780287882e-59,7.3421498496246961e-32,5.4530280873650125e-55,1.8996776839270242e-46,2.5657282705694061e-54,2.1334298112983313e-54,1.116620967679276e-24,1.6832389432431863e-39,7.7659175129726567e-39,7.6149599836393425e-32,4.9398510767335761e-70,5.2000569188516835e-50,1.0343908179947663e-53,2.4415858405336637e-56,1.0884160138604077e-39,1.155651816406499e-49,1.088097973419605e-55,5.3385711233317539e-39,2.3133071616741466e-45,1.6641999541081704e-64,1.4071968826692997e-39,1.5754655684192767e-54,6.5784563263066962e-71,5.7320577128112631e-55,5.3353120663680696e-39,2.3118949364518783e-45,1.8588602446929525e-46,3.196188634296883e-50,2.2087268043026833e-32,4.393452442629607e-65,2.2695216371423755e-67,3.4762716545584807e-75,1.0019900782732087e-41,4.3418186235642565e-48,1.9247876205379677e-56,8.3230791922869386e-62,8.919022026569953e-78,7.6690931998301117e-81,5.614334532673714e-90,1.3898527369036135e-72,1.8537450955628931e-74,6.7228314887645262e-49,9.4841247592606828e-61,3.5273366896021189e-71,9.8966966694491259e-83,8.4565798752230232e-85,5.7626482738362238e-86,1.4025691794197827e-84,5.8307493631517676e-83,3.5985067414094039e-91,8.997400985893674e-96,1.3644721480803147e-35,6.7511411068195965e-59,2.1012567075993355e-26,1.5930551583138019e-65,3.6014593766045565e-78,4.3593601748908859e-33,8.9086091849520519e-106,6.1680455756798559e-109,9.8864558101242003e-112,2.6716518741439937e-50,1.2436490618904451e-53,5.6041280803313623e-107,7.0518563137865597e-115,3.99861608474596e-115,7.0685429850183863e-121,3.1565863945589031e-47,1.0245262928653507e-123,1.3152333497119748e-42,7.3305901979494887e-40,2.5530725529908294e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.7769138591729996e-50,9.7018021779303679e-52,1.2343659720831619e-53,1.1171919756413254e-56,3.9225453839489477e-52,6.8842354761731391e-55,1.8925836117712504e-60,1.616182288515815e-61,1.6958821821907859e-54,8.0203880211879776e-61,8.8474637301604239e-64,3.6264354166732704e-70,1.8069464687820297e-77,7.0069779123520908e-78,1.7130303013152612e-83,1.7130299322453198e-83,3.5031987724249091e-85,8.6754010653901687e-65,1.977634168233158e-117,1.955925547188869e-125
7e-15,0.0024689144350967147,5.6928242998691634e-22,5.692824268148343e-22,5.5276217540847117e-22,5.527621635561499e-22,5.040959600819568e-30,8.2444048692924877e-23,4.1201114525055197e-29,2.7713468784456249e-29,3.9064982511388953e-23,6.3681202315013903e-29,2.7599667004117941e-29,2.6798740305194799e-29,1.5381630168497559e-37,2.0873156250799502e-43,3.2658537177701389e-23,5.3237831189051877e-29,5.7013390433700392e-38,8.2910168445130262e-24,2.0939065474420708e-30,7.7368222841075248e-44,8.3127347414994518e-38,1.1198480877977086e-51,1.6366141885196719e-56,3.9902976396751952e-31,3.1167442095526997e-53,9.4769732022871518e-45,4.8262165631344778e-52,3.4713447178995184e-52,2.4759857034679055e-24,2.7186832040221398e-38,1.2543113531176558e-37,4.1385639612561639e-31,9.2215568922914253e-67,8.398869166181592e-49,1.7070423146332383e-51,1.2349714425632121e-54,1.7579566940023093e-38,5.8454391366802746e-48,1.7970015310688708e-53,8.6225839376752983e-38,1.1701006083806748e-43,2.7483988473621336e-62,2.2728339303352867e-38,2.6018892362838761e-52,3.6624714298900102e-68,9.4665276068554514e-53,8.6173203230045467e-38,1.1693863081063282e-43,9.4023556664050835e-45,1.6154917021944509e-48,1.2003950377315932e-31,2.7668993325434044e-62,4.9571638882474812e-64,2.6802878366191333e-71,1.6183642752067154e-40,2.1961502178241391e-46,3.1787659352203801e-54,4.6337839912897171e-59,6.0054816901993112e-74,1.4746800560777833e-77,3.7983336364277184e-86,2.5868086768544889e-69,1.2137615682328757e-70,3.4005000971965228e-47,4.7971965396321196e-59,5.7354644767192004e-69,5.3055555763971339e-80,1.3561218427807944e-81,3.1588107234917419e-82,8.9483634851248345e-81,1.0576046614908831e-79,2.0280972181483839e-87,1.8087607529192755e-91,7.4156095742896117e-35,1.1149560777173317e-56,4.6592786590678705e-26,8.8692613858423038e-63,2.7768171993221263e-74,2.3692169066364879e-32,6.4518677252048918e-101,1.6207213673010542e-103,9.5415367662958037e-106,1.3499347953857397e-48,2.0517131415981926e-51,7.9629898319094007e-102,4.3049699967543034e-109,2.4410490071711982e-109,3.6711307955190777e-115,1.7155358713088658e-46,2.2979229833829463e-117,2.1243009760894223e-41,1.1840013526360673e-38,3.8218753291290866e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.9336673505926865e-48,4.5440920056077418e-50,5.9908056745641731e-52,1.77357587618861e-54,1.984078035895853e-50,1.1119026339749107e-53,9.572476749471771e-59,8.174733915285065e-60,2.7391016162147628e-53,4.0568151847940443e-59,4.4751428045331831e-62,5.989053320445699e-68,1.0058669903528028e-74,3.901034021085536e-75,3.2939276752849575e-80,3.2939251782604139e-80,6.7362361329571423e-82,4.38812894665735e-63,7.2478489423146159e-113,2.8673350887079649e-120
1.5e-14,0.0024689144350967147,1.1943768019035829e-21,1.1943767878702931e-21,1.1597166540125353e-21,1.1597166015778723e-21,2.2301204108004959e-29,1.7297085056675066e-22,1.822737169044946e-28,1.2260438021994371e-28,8.1959716214342793e-23,2.8172516117561916e-28,1.2210092033251155e-28,1.1855762026000668e-28,1.4305179693122391e-36,4.0144525957331543e-42,6.85187676061688e-23,2.355237712312755e-28,5.30234386992634e-37,1.7394876129736436e-23,9.2634414437333082e-30,1.4879930124953002e-42,7.7309926129690472e-37,4.3933513070336777e-50,1.2982018260746814e-54,1.7653068000500962e-30,6.1859879646903125e-52,1.8165239428992782e-43,1.953853380957162e-50,1.3572932196493374e-50,5.1947154156400769e-24,2.5284224099152695e-37,1.1665301867251362e-36,1.8308997798562187e-30,1.4134157279812964e-64,7.8110903689808758e-48,6.6899416368846818e-50,2.3751282997078063e-53,1.6349325927462807e-37,1.1242298852873356e-46,7.0500497794352014e-52,8.0191395913580771e-37,2.250405793553112e-42,1.0782376574006493e-60,2.1137749189848757e-37,1.0207790092723863e-50,2.9051467268412819e-66,3.7139325685487491e-51,8.014244704688368e-37,2.249032071446426e-42,1.8083161349474853e-43,3.1036071064881818e-47,5.31054790702774e-31,2.2248587307704336e-60,8.0179675502260543e-62,8.6961157148856615e-69,1.50510692437395e-39,4.2237710443647082e-45,1.2470832336579332e-52,3.675629752953343e-57,1.6561629926276673e-71,2.3530224839407214e-75,1.215646513306953e-83,3.9494593195387346e-67,3.7178386604917737e-68,6.5400552590742427e-46,9.2262595840715103e-58,2.2007517889958459e-67,3.9932299513301133e-78,1.7372771905737438e-79,7.9477063768335108e-80,2.6532508535802678e-78,1.5628959742113515e-77,5.2149950257604083e-85,9.3196230836994613e-89,3.2806657299416243e-34,4.3742306735527356e-55,9.7752326837945599e-26,7.035425686539117e-61,9.0093325020772132e-72,1.0481411334598442e-31,6.6382534990765153e-98,3.3169763509776857e-100,3.9065013564449219e-102,2.5921866690275734e-47,8.0369358811546191e-50,1.0060633192385165e-98,1.0882292634679381e-105,6.1705926613746799e-106,7.7719412365067205e-112,7.5895291327067201e-46,9.7318964718071457e-114,1.9756395389841767e-40,1.1011434240803254e-37,3.1854523196977239e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.5654701643449023e-47,7.8663441902831967e-49,1.0462495476675296e-50,6.3331718215993141e-53,3.81590616210864e-49,1.0340819919150683e-52,1.8409033523777043e-57,1.5721766222153894e-58,2.5474085101243379e-52,7.8023021779726801e-58,8.6068025525496586e-61,2.3496257889234789e-66,7.9773034949095375e-73,3.0943666372829826e-73,5.2557611002523935e-78,5.2557531080970588e-78,1.0748399264196788e-79,8.4395033237356671e-62,6.6526711423163185e-109,5.264002195856311e-116
3.1e-14,0.0024689144350967147,2.4445653577197167e-21,2.4445652992265389e-21,2.3736254049215265e-21,2.3736251863648022e-21,9.2955280678806547e-29,3.5402446451185131e-22,7.59748382448254e-28,5.1103629440179617e-28,1.6774872427599426e-22,1.1742754854753991e-27,5.0893777958171189e-28,4.9416868686342535e-28,1.2073507209147823e-35,6.8254666067762187e-41,1.4023884596157307e-22,9.8170075540070941e-28,4.4751557298811778e-36,3.5602587464369646e-23,3.8611622914821363e-29,2.5299213746019846e-41,6.5249342500050657e-36,1.4997417546088682e-48,8.881328375541121e-53,7.3580980622553271e-30,1.067850025217291e-50,3.0835643277814635e-42,6.7744011354411454e-49,4.6259093969115144e-49,1.0632175802338949e-23,2.1339778397104766e-36,9.8454477908115652e-36,7.6315006560184907e-30,1.7946862665537076e-62,6.592521913946275e-47,2.2789401064663497e-48,4.0381009412848814e-52,1.3798802791645587e-36,1.911440086409946e-45,2.4067250324483676e-50,6.7680990179457132e-36,3.8261827313657336e-41,3.6807041468560672e-59,1.7840171846339571e-36,3.4846921203767796e-49,1.9874657076897212e-64,1.2678487765305485e-49,6.7639683611151788e-36,3.8238473109048823e-41,3.074534184133645e-42,5.2654170321095649e-46,2.2135287699063363e-30,1.4941010083048005e-58,1.0782481041713675e-59,2.3403613612370248e-66,1.2703041429561343e-38,7.1813585428240774e-44,4.2571223423477181e-51,2.5145924629235688e-55,3.4289747174485881e-69,3.2228472636512873e-73,3.3312087385541244e-81,4.9803861770211875e-65,9.3831778090764568e-66,1.1119576662434485e-44,1.5686699562386173e-56,7.1987260724930237e-66,2.4703799041103934e-76,1.6672842620306277e-77,1.4699169542843201e-77,6.3391871227596069e-76,1.8655307437530013e-75,1.0020685911104728e-82,3.5839257337472674e-86,1.367438472342924e-33,1.4932631327242429e-53,2.0006781234428678e-25,4.8132684579974122e-59,2.424672700849984e-69,4.3688307289406757e-31,5.0816998123430951e-95,5.0199396837288428e-97,1.1825281944129158e-98,4.3936113497500459e-46,2.735249896641562e-48,1.1084766784202143e-95,2.3981531293501453e-102,1.359826590966252e-102,1.293370690828238e-108,3.1634462231312169e-45,3.2392832112061645e-110,1.6674362112195821e-39,9.2936319369539374e-37,2.2299657928429401e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.2862994892434546e-45,1.1162618047950539e-47,1.4908658538498463e-49,1.8176919976625694e-51,6.4879147732362096e-48,8.7274974355562204e-52,3.1294977962375953e-56,2.6729238591013704e-57,2.1499964303714464e-51,1.3265617185573693e-56,1.4633270219527698e-59,8.0209646992797955e-65,5.4554649872337815e-71,2.1168972044110917e-71,7.1983981607873434e-76,7.1983762573535193e-76,1.4721561644244798e-77,1.4348995961477537e-60,1.713878898685103e-105,2.7126312559725739e-112
6.300000000000001e-14,0.0024689144350967147,4.9449417172834204e-21,4.9449414789206376e-21,4.8014420815432103e-21,4.80144119091315e-21,3.7879773259245012e-28,7.1613173319071926e-22,3.0960149497294021e-27,2.0825002372544229e-27,3.3932490304358151e-22,4.7852046736956039e-27,2.0739486218982288e-27,2.0137637445638608e-27,9.8814388478962215e-35,1.1197891398745379e-39,2.8367747268363829e-22,4.0004577563638447e-27,3.6626478435108761e-35,7.2017981190416253e-23,1.5734438305330208e-28,4.150602748818802e-40,5.3402843698163513e-35,4.9264725901813334e-47,5.8383451738229218e-51,2.9984590703083239e-29,1.7652486074954096e-49,5.0548944099214514e-41,2.2428806312737102e-47,1.5184116906180896e-47,2.1507100424953848e-23,1.7465335716926979e-35,8.0578827854009495e-35,3.1098718396323248e-29,2.0596984666207373e-60,5.3955771667213842e-46,7.4548661537264067e-47,6.6244418965050683e-51,1.129356349393967e-35,3.1359107880372707e-44,7.9063042147683869e-49,5.5392511439347083e-35,6.2772197332822485e-40,1.2090443576181392e-57,1.4601117756892752e-35,1.1447436508465287e-47,1.3064813311050962e-62,4.164978875855226e-48,5.5358714384365275e-35,6.27338893344244e-40,5.0440704908850564e-41,8.6013274721862306e-45,9.0202514973626528e-30,9.2753545546067542e-57,1.3395746374802511e-57,5.8168720870660643e-64,1.0396685812417547e-37,1.1781781744424072e-42,1.3984147601275295e-49,1.6530261626828528e-53,5.8311106897957145e-67,4.2384373384939026e-71,8.7601051230669997e-79,5.6529616813376863e-63,2.1310088803619416e-63,1.8242896842760319e-43,2.5735658125893685e-55,2.182328809056511e-64,1.3470161374084721e-74,1.2949920208492112e-75,2.1296273506270401e-75,1.327139627866779e-73,1.9516374591614598e-73,1.5578286069298062e-80,1.1150095704653816e-83,5.5723862899219983e-33,4.9055095698809453e-52,4.0468440452589197e-25,3.1643163621788664e-57,6.0265048867505809e-67,1.7803193959844248e-30,3.1316117026251047e-92,6.0468356307565579e-94,2.8491017756548292e-95,7.1637512746205031e-45,8.9310517132906965e-47,1.1147209386316203e-92,4.8235339711717918e-99,2.7350930919076845e-99,1.748919293848087e-105,1.2891204581222443e-44,8.7610423111108828e-107,1.364704882876361e-38,7.6063289721524497e-36,1.357522746243008e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.1103103343792636e-44,1.3746825288586826e-46,1.8397914313835683e-48,4.5116785626385108e-50,1.0644172696501513e-46,7.1427550896488533e-51,5.1327968116136424e-55,4.3847925031918279e-56,1.7596346939929374e-50,2.1763499677010144e-55,2.4006696600544183e-58,2.6348803227480186e-63,3.5836355702005611e-69,1.3915416165521603e-69,9.4661880056002164e-74,9.4661303917190202e-74,1.9360333001032299e-75,2.3540877699889735e-59,3.8089933224408729e-102,1.205769420707784e-108
1.2700000000000001e-13,0.0024689144350967147,9.9456914281384202e-21,9.9456904662375936e-21,9.6570721340034136e-21,9.6570685399121733e-21,1.5286194198786716e-27,1.4403464336940844e-21,1.2493812173505327e-26,8.4038265748798947e-27,6.8246991132636855e-22,1.9310208518981454e-26,8.3693165093931509e-27,8.1264431396889496e-27,7.9888145424398782e-34,1.8122386420862721e-38,5.7054860631182188e-22,1.6143444822224602e-26,2.9611325974367332e-34,1.4484865286990701e-22,6.3495509597467677e-28,6.7172387504669278e-39,4.3174720942613899e-34,1.5950953871029503e-45,3.7815552033684943e-49,1.210009073071459e-28,2.8676961778814045e-48,8.1774192564487733e-40,7.2914297017898769e-46,4.9149115780658425e-46,4.325696506544457e-23,1.4120161767913079e-34,6.5144920715730247e-34,1.2549689426124364e-28,2.1265561151280169e-58,4.3621362938823403e-45,2.3938038175267609e-45,1.0719262208527273e-49,9.1305900460870581e-35,5.0750583971359264e-43,2.5602301736566498e-47,4.4782510013441683e-34,1.0158788205496186e-38,3.9145000270337966e-56,1.1804535763154054e-34,3.7068695585102949e-46,8.4618892694467774e-61,1.3486985703572423e-46,4.4755202193519668e-34,1.01525908051773e-38,8.1631187809950797e-40,1.3801506910161625e-43,3.640080520882921e-29,5.3557309777999777e-55,1.5479237142254491e-55,1.3446910245972745e-61,8.4053925123138498e-37,1.9067380108105143e-41,4.5277990879540436e-48,1.0706831301200302e-51,8.2597106873201936e-65,5.4909846835598133e-69,2.2682916358656998e-76,5.7484533927486299e-61,4.3362399098374311e-61,2.9524069888994643e-42,4.1649904060066408e-54,6.1206881165301313e-63,6.2841269174929522e-73,8.2074456826283062e-74,2.3792191150940619e-73,2.4417138275500727e-71,1.7941602229112943e-71,1.9757046936769121e-78,2.8302649160251263e-81,2.2487099916473296e-32,1.5885141765079985e-50,8.1386008253693808e-25,2.0498236922508694e-55,1.393189198347624e-64,7.1843706187972974e-30,1.5595116288038641e-89,5.7606711798656988e-91,5.4291339665347049e-92,1.1452459421984928e-43,2.8574125825507346e-45,1.0366917006956443e-89,8.9721459266495767e-96,5.0874862339308005e-96,1.9722944353255417e-102,5.2021753115393111e-44,1.97614920440929e-103,1.1033325863218937e-37,6.1495458277080306e-35,7.2229489066105815e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.4152783725437672e-43,1.4810492181313088e-45,1.9841679315014701e-47,9.7905605260712583e-49,1.7226489655135706e-45,5.774395472652422e-50,8.3020323836060807e-54,7.0948847358763627e-55,1.422593243561745e-49,3.5221074904422495e-54,3.8849531389495703e-57,8.5318046250826426e-62,2.3177457868496348e-67,9.0125169277851193e-68,1.2262134171101151e-71,1.2261984915207743e-71,2.5080900066873382e-73,3.809748151469388e-58,8.0782065651568955e-99,5.1145059430124336e-105
2.55e-13,0.0024689144350967147,1.994717881677365e-20,1.9947174952605215e-20,1.9368319035807348e-20,1.9368304597554542e-20,6.1408066352568139e-27,2.8887764872110544e-21,5.0190424133524583e-26,3.3760057009547786e-26,1.3687305322461219e-21,7.7571448630425087e-26,3.3621418756573422e-26,3.2645739702874239e-26,6.4233738399324016e-33,2.9153927345549796e-37,1.1442663954165631e-21,6.4850198727786533e-26,2.3808925319958093e-33,2.9050953314069304e-22,2.5507541232836221e-27,1.0806210550164668e-37,3.4714938858047071e-33,5.1318392447381258e-44,2.4334991012645971e-47,4.860843927656696e-28,4.6221048110611972e-47,1.3152382298471471e-38,2.3510544702359682e-44,1.5813127720431169e-44,8.675675591460843e-23,1.1353289077307878e-33,5.2378896468978536e-33,5.041456190991631e-28,1.946064025943722e-56,3.5073445984161365e-44,7.5763704422544162e-44,1.7239296616845722e-48,7.3416062747674285e-34,8.16430355393039e-42,8.2390127790993389e-46,3.6006403125814943e-33,1.6342348445075605e-37,1.2593012990951574e-54,9.4914176705563175e-34,1.1928631111580053e-44,5.4449638391395462e-59,4.3401452966436605e-45,3.5984472068910651e-33,1.6332385838002755e-37,1.3131957360969017e-38,2.1830498411928435e-42,1.4623041908455196e-28,2.8207416095862926e-53,1.6318791958901682e-53,2.8362796557538901e-59,6.758350510053967e-36,3.0674291202801044e-40,1.4567152012917007e-46,6.8900570310700387e-50,9.8148310868250432e-63,7.0669208744504884e-67,5.8304287656918497e-74,5.1720959923915074e-59,7.8079660968413495e-59,4.7496813986485152e-41,6.7003096546666721e-53,1.5528520091818807e-61,2.3841192450998818e-71,4.2821064608021346e-72,2.0057454634043962e-71,3.9782915829803219e-69,1.4605876547214838e-69,2.0612846044440299e-76,5.9107586279770492e-79,9.0335814460386463e-32,5.1119925629903236e-49,1.6319814849051243e-24,1.3194383415431977e-53,2.9387309986902451e-62,2.8861067061712445e-29,6.2732751074015787e-87,4.2632946636254731e-88,8.037080511012588e-89,1.7985607886854944e-42,8.9801179864232973e-44,8.7724720569954724e-87,1.5185243001829797e-92,8.6105088639798578e-93,1.8825797343421828e-99,2.0898253637393265e-43,3.7728219636863756e-100,8.8715274005871938e-37,4.9446490391823086e-34,3.4323866424188979e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.4942584170331998e-42,1.4241545434710021e-44,1.9089067207818875e-46,1.8949338862213403e-47,2.7713408780352017e-44,4.6424231220973895e-49,1.3340404907951731e-52,1.1409365329010889e-53,1.1438096323195533e-48,5.6659633666333684e-53,6.2490796616390091e-56,2.7452772207875219e-60,1.4871414047978663e-65,5.7988972635730913e-66,1.5777534776131615e-69,1.5777150748793093e-69,3.2277129306420192e-71,6.1286802531533331e-57,1.6813883363071542e-95,2.1290639115754186e-101
5.11e-13,0.0024689144350967147,3.9950105461863806e-20,3.995008997242475e-20,3.8790760027078886e-20,3.8790702151696691e-20,2.4615330085056074e-26,5.7856392037080914e-21,2.0118740734993575e-25,1.3532670053075715e-25,2.7411342024111851e-21,3.1092806390202753e-25,1.3477094242607843e-25,1.3085992915392558e-25,5.1512192215990957e-32,4.6768521682846942e-36,2.2916040699160272e-21,2.5993792658866806e-25,1.9093642331449523e-32,5.818294413471994e-22,1.0224637231114377e-26,1.7335322282106811e-36,2.7840385836847584e-32,1.6457989535979132e-42,1.5609433230033739e-45,1.9484349900803211e-27,7.4217977159097859e-46,2.1096090909316502e-37,7.5512076094442865e-43,5.0732353316568697e-43,1.7375658378278674e-22,9.1048093945682744e-33,4.2004230094222893e-32,2.0208318555612703e-27,1.5817006451317988e-54,2.8126907759143279e-43,2.353333697218024e-42,2.7638990864611741e-47,5.8879036650699964e-33,1.3096901404436601e-40,2.6436160996075741e-44,2.8874034524087268e-32,2.6215177409018677e-36,4.0380097651002167e-53,7.6116804096340309e-33,3.8272611767385807e-43,3.4920851001926948e-57,1.3925599293530793e-43,2.8856488121937768e-32,2.6199218892909279e-36,2.1065383732869709e-37,3.3883084042690336e-41,5.8616425979924268e-28,1.3252431524331934e-51,1.5351525988420069e-51,5.3388276835545446e-57,5.4198997422896149e-35,4.9207893447388012e-39,4.6717611417474931e-45,4.4195798286395109e-48,9.8591009546652051e-61,9.0648656584038063e-65,1.4915258917144714e-71,4.1409864058850008e-57,1.2511382680377731e-56,7.6196355636308507e-40,1.0748549166214172e-51,3.4975787157333991e-60,7.1316268424571561e-70,1.8832923204531359e-70,1.273638634833218e-69,5.8874941413151762e-67,1.080095091449382e-67,1.8096953049526939e-74,1.0388057621487519e-76,3.6211051528621455e-31,1.640285066450435e-47,3.2673050487056284e-24,8.4677621264115425e-52,5.532266395932914e-60,1.1568787355106084e-28,2.0530433829215551e-84,2.4048208736240066e-85,9.0689556447306822e-86,2.7540767803153921e-41,2.7524836109499423e-42,6.6159783244071831e-84,2.2906301987503365e-89,1.2988597542563106e-89,1.5424752081725316e-96,8.3769931903264266e-43,6.1829917698527539e-97,7.1148773593877433e-36,3.9655683913816737e-33,1.5092741220351511e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.8139025518433947e-41,1.2630235717517619e-43,1.6933502057717054e-45,3.3777038718413893e-46,4.4460002303193254e-43,3.7222595773406562e-48,2.1351736789150498e-51,1.8288896315845303e-52,9.1724400619064204e-48,9.0888574292848343e-52,1.002236546705366e-54,8.8065968689474628e-59,9.48357520322919e-64,3.7185966089178172e-64,2.0228189694675411e-67,2.0227205347017596e-67,4.139712066400031e-69,9.8310926451140934e-56,3.4701528919999099e-92,8.7882045357836127e-98
