Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754)
0.0,0.002526353156831899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0
1e-15,0.002526353156831899,9.9087077507331902e-26,9.9087077502223621e-26,9.6735657359944961e-26,9.6735656946250594e-26,1.9404857544148955e-35,1.0968158884268532e-25,1.2499423518375376e-33,8.5090097520789991e-34,5.1591904995385885e-26,1.676668809540446e-32,8.4627735257292606e-34,8.2619447520510087e-34,2.2590285489015982e-43,7.3415445853567064e-50,4.3727678832588993e-26,1.4210918406481058e-32,9.4773678492978391e-44,1.2269494615791259e-26,4.5752012428799481e-34,3.0800194447318605e-50,9.2509454469747335e-44,2.4929377733575912e-59,3.2244735365737411e-65,6.0828307302912398e-36,1.4615279585875521e-60,4.8606562290823107e-51,5.4551890873801744e-60,3.3186751639440667e-59,2.0950410819801952e-27,6.1969370196713028e-43,1.2767270928578073e-42,6.2761085337490704e-36,1.4258679020611572e-77,2.7705741702907808e-56,3.7751330808494716e-59,9.0915935587047422e-63,4.6168805638506715e-44,1.3211872482349958e-55,2.525546822637289e-62,5.0812312644476871e-43,1.651333087720473e-49,1.5363435505219783e-71,5.2523292528427485e-43,1.4835788342872247e-59,4.9929137452423514e-78,1.2225861241029066e-59,5.0723004900355584e-43,1.6484307034762999e-49,4.8446339854675902e-51,2.7567102047605843e-55,1.7893209338932485e-35,2.4097187215647797e-72,8.2864556744222429e-75,9.5296470927806913e-83,5.4118316745529282e-46,1.7587738558064025e-52,1.4235344536039052e-61,1.8356002230938913e-67,1.8927515340428589e-86,1.8516444485730957e-88,7.6249076957170771e-99,8.1068187249779407e-80,7.4594254209307115e-82,2.7094807597954477e-54,1.2952835608358619e-67,1.0371671074702883e-78,6.9704960962146168e-91,2.4706813748648406e-93,1.3420480103404476e-94,8.4950055374936957e-95,4.468016370959559e-93,8.3914749757845071e-100,1.574031389702351e-104,3.9269629755731814e-39,7.7510908592987432e-66,2.5621519434666712e-30,2.7166008329443317e-73,3.8741138407716334e-86,1.6915343028810516e-36,8.4503559595598821e-116,3.7029838455646362e-119,3.3307044901402457e-122,2.336364355468617e-55,4.5662577708699624e-59,-3.2769349160552304e-117,-3.7685641519967229e-125,-3.3301413128060322e-126,-7.0462940153948926e-133,2.6084958676672929e-52,-5.4821086938921235e-136,3.0889689997781369e-46,3.1482659398454733e-44,1.7551820679158366e-55,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.9987674120248432e-56,4.6426116054238115e-57,2.1256891413952083e-59
3.0000000000000002e-15,0.002526353156831899,3.255718233107719e-25,3.2557182327720282e-25,3.1784572859073736e-25,3.1784572587217452e-25,1.2751763478975946e-34,3.6038236339165756e-25,8.2139068369713638e-33,5.5916349589840594e-33,1.6951620408329429e-25,1.1018107748454872e-31,5.5612511529169794e-33,5.4292779589020215e-33,2.1299409713018995e-42,9.0196111601082223e-49,1.4367661231729472e-25,9.3386021955291982e-32,8.935803040199653e-43,4.0314052244288262e-26,3.0065607682428304e-33,3.7840235835333454e-49,8.7223197369496078e-43,3.775018737035857e-58,5.8040506587940618e-64,3.9972884556917481e-35,1.883827419501635e-59,5.9672936547926713e-50,8.5900576755409346e-59,5.022438914148852e-58,6.8837064337518826e-27,5.8428257520544347e-42,1.2037711020284229e-41,4.1242995702076146e-35,2.9704680111520155e-76,2.6122551991675348e-55,5.7164820558762351e-58,1.1169667832018359e-61,4.3530588002924499e-43,1.623172845340087e-54,3.8243993735212464e-61,4.7908742324257832e-42,2.0287803376962966e-48,2.3264621814088037e-70,4.9521956615877613e-42,2.2465619105871075e-58,8.9872417847922385e-77,1.8513444712174194e-58,4.7824537957673418e-42,2.0252145537436788e-48,5.951977984264236e-50,3.3867072913655781e-54,1.1758394724145092e-34,4.4806147641834727e-71,1.7775282708323645e-73,2.3164809360455904e-81,5.1025836474070829e-45,2.1607791436991268e-51,2.1556371427361197e-60,3.3040794420124183e-66,4.5750269055304559e-85,3.8620001819462765e-87,1.80818785855092e-97,1.6887385063107311e-78,1.7670058809346e-80,3.3287905727931211e-53,1.5913481657348707e-66,1.569273011323744e-77,1.2531719301608155e-89,5.1122055912807007e-92,3.1515410594729267e-93,2.0099447880259843e-93,9.2949288026324357e-92,1.9760720198748522e-98,4.1563414548975426e-103,2.5805756698224249e-38,1.1737365866321909e-64,8.4184824553523266e-30,4.8898813969440057e-72,9.4172543748114185e-85,1.1115795658429555e-35,2.4727092842857805e-114,1.1892547680559787e-117,1.1648560656843928e-120,2.8702598363971205e-54,6.9143635494640201e-58,1.3568520913041052e-115,1.4527434943955927e-123,1.283735908042966e-124,2.726558852365702e-131,1.7141543917429173e-51,1.964666690131492e-134,2.9124564535694334e-45,2.9683650213825836e-43,1.6419055084142348e-54,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.1055628324151387e-54,5.6690278356905598e-56,2.6376126993353691e-58
7e-15,0.002526353156831899,7.219201120307291e-25,7.2192011184829045e-25,7.0478833710338234e-25,7.0478832232858567e-25,6.9303060616197117e-34,7.9910871915576471e-25,4.4640796381388e-32,3.0389319688233664e-32,3.7588340176283913e-25,5.988096479982306e-31,3.0224190301064882e-32,2.9506944685537084e-32,3.4401739530279575e-41,4.5622405707692712e-47,3.1858697026041751e-25,5.0753225811024982e-31,1.4432662021438139e-41,8.939201928037514e-26,1.6340002459777814e-32,1.9140100725624643e-47,1.4087864150028611e-41,6.2344464985673575e-56,3.2313651480323579e-61,2.1724382820267105e-34,1.0804579667574792e-57,3.0133710493233383e-48,1.6217244421362112e-56,8.2798947791624697e-56,1.5263870926432062e-26,9.4370402678416829e-41,1.9442703956919924e-40,2.2414660140155097e-34,5.5755488053011529e-73,4.2191813235776649e-54,9.4371734748798388e-56,5.6497480119395169e-60,7.0308492622054369e-42,8.2102311173728235e-53,6.3160291567289782e-59,7.7379735662103164e-41,1.0261835031931371e-46,3.8421518055773582e-68,7.9985390555745829e-41,3.7102101913852112e-56,5.0035817134046369e-74,3.057507160960097e-56,7.7243734004723634e-41,1.0243798945153637e-46,3.0105879764553809e-48,1.7123876746170377e-52,6.3904319708324418e-34,2.8407156284837319e-68,3.9091382558525136e-70,1.7984762130778826e-77,8.2414382641583046e-44,1.0929512402117249e-49,3.5600367189792095e-58,1.8395235482516423e-63,3.123273244044936e-81,7.4262648488521685e-84,1.2233399893988562e-93,3.1647671339228834e-75,1.1649909248101665e-76,1.6837482648152638e-51,8.0492483796655491e-65,2.5601782497886164e-75,6.8189637335585876e-87,8.407228941655648e-89,1.7905814990698104e-89,1.2899238634106731e-89,1.6959870771044088e-88,1.1423082325624695e-94,8.5711568682116576e-99,1.4024867776433921e-37,1.9384363253212077e-62,1.8666961769558865e-29,2.7224210426578064e-69,7.3113997889899618e-81,6.0411890874417622e-35,1.838214157916349e-109,3.2132233617975816e-112,1.1560739888606046e-114,1.4510246027428645e-52,1.1412840696254057e-55,1.9436217741680556e-110,8.940885829342676e-118,7.9007316636320413e-119,1.4496402003373612e-125,9.3160552141437148e-51,4.5113579358606295e-128,4.7040579681211965e-44,4.794359146852039e-42,2.4751420618489695e-53,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.592089789458495e-53,2.6748111444684842e-54,1.2921159925576019e-56
1.5e-14,0.002526353156831899,1.5146166352286145e-24,1.5146166344215065e-24,1.4786735008596051e-24,1.4786734354959124e-24,3.0659672716160297e-33,1.6765614316852676e-24,1.9749087109744008e-31,1.3444234485489656e-31,7.8861672217483245e-25,2.6491297987228429e-30,1.3371181239925269e-31,1.3053871782642623e-31,3.1994213091374579e-40,8.7743814395599346e-46,6.6840677643661095e-25,2.2453192565121413e-30,1.3422626327674474e-40,1.8754792426545149e-25,7.228815827509362e-32,3.6811420205542224e-46,1.310197244368301e-40,2.4459030252095819e-54,2.5632230587109008e-59,9.6108589046538825e-34,2.1464922607360869e-56,5.7931802278830669e-47,6.5716406110449512e-55,3.2470932218850892e-54,3.2024200331170129e-26,8.776611957650604e-40,1.8082045552301587e-39,9.916237240868912e-34,8.6076433500277721e-71,3.9239081312805098e-53,3.7003486499355562e-54,1.0865884563242828e-58,6.5388213533591444e-41,1.5790434513245903e-51,2.4779269818664605e-57,7.1964398604695273e-40,1.9736166884497832e-45,1.5073547117708e-66,7.4387807789696064e-40,1.4555991084672332e-54,3.9689988688928819e-72,1.1995295023149378e-54,7.1837916193986378e-40,1.9701479142387815e-45,5.7901406131822123e-47,3.2914843703151601e-51,2.8271271447094157e-33,2.2955539186191866e-66,6.3540759456963187e-68,5.8638629049454095e-75,7.664681345422775e-43,2.1020312900148607e-48,1.3966765795551697e-56,1.4591695473499111e-61,8.7177783737018319e-79,1.1849630852032386e-81,3.9153774338292401e-91,4.8756501262579265e-73,3.6006827695304323e-74,3.2382917299377305e-50,1.5480796008603215e-63,9.8698715227299576e-74,5.2379031252987412e-85,1.1065271042112854e-86,4.6940145796919274e-87,3.8525108934057283e-87,2.5247512716803728e-86,3.017583087649264e-92,4.5367576933447667e-96,6.2046015084538304e-37,7.6049424550179817e-61,3.9163593416241818e-29,2.1595272250930502e-67,2.3838559430039452e-78,2.6726189618806291e-34,1.9443569019760894e-106,6.7759049624657121e-109,4.8769077433417348e-111,2.7884211365288883e-51,4.4739448553963251e-54,2.4677054882412952e-107,2.2712367499995832e-114,2.0070083609457725e-115,3.1284184942194166e-122,4.1214218990030857e-50,1.9476114657852398e-124,4.3748614590619352e-43,4.4588437894808506e-41,2.0823561512925238e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.0755063339537841e-51,4.6725787783996026e-53,2.2782636018501755e-55
3.1e-14,0.002526353156831899,3.1000094646562997e-24,3.1000094612921344e-24,3.0264436152958079e-24,3.0264433428486448e-24,1.2779482776043508e-32,3.431466860749384e-24,8.2317613632951783e-31,5.6037898798184686e-31,1.6140790632330319e-24,1.1041999611840538e-29,5.573340015059684e-31,5.4410799272841254e-31,2.7002981138096356e-39,1.4918417458222044e-44,1.3680427499678355e-24,9.3588523091961039e-30,1.1328641577028787e-39,3.8385961788728375e-25,3.0130949009536857e-31,6.2587682492860166e-45,1.1058034431472084e-39,8.3496591851342648e-53,1.7536018811367724e-57,4.0059662717863107e-33,3.7071064843883631e-55,9.8478275120302606e-46,2.2796150012543226e-53,1.108267747881339e-52,6.5544860818092343e-26,7.4074255262119946e-39,1.5261161048920076e-38,4.1332529783998083e-33,1.1072038470006045e-68,3.3117561164921639e-52,1.2618116207573428e-52,1.8474247086753336e-57,5.518754053679524e-40,2.6847327382243838e-50,8.4590983040937927e-56,6.0737492524325103e-39,3.3555828914380397e-44,5.1456969400234312e-65,6.2783013827706492e-39,4.969070286573893e-53,2.7153436857974704e-70,4.0949128047578156e-53,6.06307443629364e-39,3.3496853207010881e-44,9.844514175336166e-46,5.5899370163881644e-50,1.1783957056844942e-32,1.5541456623752073e-64,8.61432676163758e-66,1.5909321108030865e-72,6.4689606739330634e-42,3.5739258973539403e-47,4.767881440882882e-55,9.9827556367673181e-60,1.8368391929733236e-76,1.623045438410164e-79,1.0729825703590598e-88,6.2479440070727168e-71,9.2344012037899527e-72,5.5058347015907536e-49,2.6320782994373423e-62,3.2570225850369771e-72,3.3661365734198266e-83,1.102198749752266e-84,9.2582341332801839e-85,9.3139501084225774e-85,3.0498759843028603e-84,6.0180066350503164e-90,1.8106614494456077e-93,2.5861856230970383e-36,2.5961604364406078e-59,8.0155548825267292e-29,1.4774381686103727e-65,6.4676807882339277e-76,1.1139914617011886e-33,1.5470894666290134e-103,1.0706505236131516e-105,1.5413080259818516e-107,4.7333009027963779e-50,1.5248833809792396e-52,2.7409503407487225e-104,5.0457389501870183e-111,4.4587340537637698e-112,5.343752827942013e-119,1.7178794389448696e-49,6.6539627041240508e-121,3.6923748379535234e-42,3.7632566845163774e-40,1.4783257207877337e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.8286063491696388e-50,6.72174707443177e-52,3.2918691593083012e-54
6.300000000000001e-14,0.002526353156831899,6.2707942556395624e-24,6.2707942419304124e-24,6.1219829918634474e-24,6.1219818816269168e-24,5.2077076740423066e-32,6.9412777348976977e-24,3.3544865963225681e-30,2.2835744050980666e-30,3.2649865464670462e-24,4.4996477069679684e-29,2.2711659169830053e-30,2.217269215971136e-30,2.2100329941140771e-38,2.4475249445032404e-43,2.7673001418979969e-24,3.8137602251778307e-29,9.2718200356126755e-39,7.7648253973822229e-25,1.227851678180437e-30,1.0268176981596885e-43,9.050382396344397e-39,2.7428764702989277e-51,1.152817637080857e-55,1.6324476517257675e-32,6.1296294101015762e-54,1.615482426585257e-44,7.5492391579567535e-52,3.640398851788964e-51,1.3258618850120327e-25,6.0625393519927808e-38,1.2490335210751521e-37,1.6843174433548653e-32,1.2980979009346673e-66,2.7104654006928498e-51,4.1359865623864451e-51,3.0308326967126971e-56,4.5167978374435563e-39,4.4046042335294651e-49,2.7789047874736865e-54,4.970975986620842e-38,5.5051629685358364e-43,1.6903637076469836e-63,5.1384181404453738e-38,1.6323764538407659e-51,1.7850602436084572e-68,1.345211499858789e-51,4.9622396878495168e-38,5.4954877826058463e-43,1.6150892543289118e-44,9.1502327225155263e-49,4.8020266749409963e-32,9.7863485999223249e-63,1.0854878587664322e-63,4.0105722101862771e-70,5.2944616698219479e-41,5.8634085623291549e-46,1.5662573139258877e-53,6.5626646560576463e-58,3.2000948865341944e-74,2.1346227550534771e-77,2.8219486694450484e-86,7.279238698613914e-69,2.1525733373973477e-69,9.0329465704227235e-48,4.3181897271126649e-61,1.0030858227677329e-70,1.9635965483425416e-81,8.9402778817838622e-83,1.4736947445497526e-82,1.9827139118427716e-82,3.2447859334014591e-82,9.7708602642739299e-88,5.8829695339407124e-91,1.0538846690312698e-35,8.5286673951868134e-58,1.6213422844657517e-28,9.7129460812621256e-64,1.6304396587899624e-73,4.5395551752870133e-33,9.9864933221712848e-101,1.3626771439048288e-102,3.9237187269756331e-104,7.7405692621290655e-49,4.9935736027550601e-51,2.7956427481204662e-101,1.0293253933371391e-107,9.0957705496652896e-109,7.4596793515400423e-116,7.0004457374144844e-49,1.8578583178204903e-117,3.0220052685447801e-41,3.0800196510055131e-39,9.1618125327096983e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.0000369372717027e-49,8.4244430082960042e-51,4.134725063068512e-53
1.2700000000000001e-13,0.002526353156831899,1.2612360366119568e-23,1.2612360310796988e-23,1.2313058335781271e-23,1.2313053855478644e-23,2.1015447058286713e-31,1.3960899547271805e-23,1.3536862965059695e-29,9.2152518402834131e-30,6.5667327188516191e-24,1.8157894162151677e-28,9.1651779579705567e-30,8.9476804278759517e-30,1.7867406358471521e-37,3.9610214453202175e-42,5.5657567064480571e-24,1.5390061842087295e-28,7.4959723471882957e-38,1.5617265218736351e-24,4.9549297016268192e-30,1.6617803534018101e-42,7.3170088280940117e-38,8.8816294828314026e-50,7.4675273359585533e-54,6.587621059049709e-32,9.9589668993009412e-53,2.6143145504515202e-43,2.4545060961832134e-50,1.1787762589826576e-49,2.666688707003478e-25,4.9013734346852676e-37,1.0098010084401314e-36,6.7969372422061346e-32,1.3817400669338424e-64,2.1913087844258731e-50,1.3334178924015565e-49,4.9048273677290677e-55,3.6517290363280758e-38,7.1283642331986081e-48,8.9987928660339966e-53,4.0188329013626362e-37,8.9093480012908891e-42,5.4734792175744436e-62,4.154250450266377e-37,5.285938246817955e-50,1.1562879754528776e-66,4.3560594322181554e-50,4.0117705338634088e-37,8.8936912023221361e-42,2.6137998691939587e-43,1.4742150453178923e-47,1.9378350001154081e-31,5.7871648447963333e-61,1.284474098845309e-61,9.4939316110958583e-68,4.2804070611006709e-40,9.4892242181030429e-45,5.0716566410728667e-52,4.2510552354534466e-56,4.6814091409917816e-72,2.7657595324561332e-75,7.3086399818917741e-84,7.6777163168319205e-67,4.5428634732801886e-67,1.4618853395584629e-46,6.9884180489346561e-60,2.8868993288271339e-69,1.0211209843546379e-79,5.900005371487403e-81,1.8749211739427434e-80,3.7186637632868045e-80,3.0412773000383925e-80,1.2906223026182876e-85,1.5552496945921026e-88,4.2529009462419511e-35,2.7617977886198947e-56,3.2607066562681245e-28,6.2920373491032478e-62,3.8596454434106313e-71,1.8318991839114301e-32,5.2099443308827609e-98,1.382588216543481e-99,7.9628981638306718e-101,1.2447310427507594e-47,1.6068881785316527e-49,2.6623088241200813e-98,1.9605348626664406e-104,1.7324527394218703e-105,8.7224205660293799e-113,2.8249912786144613e-48,4.3449983528669007e-114,2.4432209972835013e-40,2.490126698156325e-38,4.9636713136305018e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.8552397817247793e-48,9.2424249459912745e-50,4.5410883135773753e-52
2.55e-13,0.002526353156831899,2.5295478701148736e-23,2.5295478478905651e-23,2.4695195386760011e-23,2.46951773883944e-23,8.4423771465533541e-31,2.8000143428307099e-23,5.4380603342676553e-29,3.7019737734511668e-29,1.3169949898855178e-23,7.2942637623263416e-28,3.681857936792939e-29,3.5944842486694224e-29,1.4366255450267428e-36,6.3722196501222467e-41,1.1162436968057835e-23,6.182389637837489e-28,6.0271291208762887e-37,3.1322070399141306e-24,1.9905024733779815e-29,2.6733608216978921e-41,5.8833330297818439e-37,2.857923794896081e-48,4.8062749436367794e-52,2.6463625836675756e-31,1.6052727704519282e-51,4.2055486043843365e-42,7.9148523839899865e-49,3.7932594631073472e-48,5.3483434239718475e-25,3.9409487910881938e-36,8.1192472665574558e-36,2.73044815146374e-31,1.3105885554155393e-62,1.761893123846731e-49,4.2535427009478585e-48,7.8898848737285238e-54,2.9362354830457426e-37,1.1467777889989139e-46,2.8959470359299406e-51,3.2312686954529734e-36,1.4332462673623392e-40,1.7612268113828619e-60,3.3402248103942105e-36,1.7010253881226987e-48,7.4420339169797351e-65,1.4017979807635671e-48,3.2255912556460461e-36,1.4307279312429964e-40,4.2048194335138494e-42,2.3505373951242601e-46,7.7847253723817328e-31,3.1582945622739581e-59,1.4029766254500741e-59,2.0746689028828778e-65,3.4416614993915164e-39,1.5265647211074888e-43,1.6319561811985444e-50,2.7360825111084157e-54,5.7975423117894741e-70,3.5603444824751788e-73,1.8794627440102792e-81,7.2028749574505075e-65,8.5288445456724274e-65,2.3518220552054513e-45,1.1242337054341811e-58,7.5966427973414912e-68,4.5019638224430093e-78,3.1434638178953223e-79,1.862728918188071e-78,6.1664931321738838e-78,2.5200819267326235e-78,1.3759806179163915e-83,3.3192279078894444e-86,1.7084869873183916e-34,8.8878856700039204e-55,6.538598735288473e-28,4.0501516816054834e-60,8.4344341973933863e-69,7.3590229401328345e-32,2.1657932818242005e-95,1.0892705750660315e-96,1.254890107052573e-97,1.9772226386360107e-46,5.1070451163120275e-48,2.333903400109957e-95,3.4375473580233676e-101,3.0376346173393737e-102,8.6592314677970487e-110,1.1348592269425045e-47,8.6276987004051102e-111,1.9645105982827573e-39,2.0022297647993874e-37,2.392604513921556e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.8109211569864701e-47,9.0221936175114506e-49,4.4352461933410356e-51
5.11e-13,0.002526353156831899,5.0661659827605674e-23,5.066165893674847e-23,4.9459414941393173e-23,4.9459342795327739e-23,3.3841150902156915e-30,5.6078632215343415e-23,2.1798376142046811e-28,1.4839311057903609e-28,2.6375283692337968e-23,2.923759010944167e-27,1.4758676740285897e-28,1.4408440173127485e-28,1.1521070627328392e-35,1.0222356880474885e-39,2.235486609931507e-23,2.478086896253499e-27,4.8334880594235606e-36,6.2731382913580127e-24,7.9788685911086556e-29,4.2886312995023403e-40,4.7183293641604198e-36,9.1684838387069347e-47,3.083944614664965e-50,1.0607644763272914e-30,2.5777151950308391e-50,6.7462212605439399e-41,2.5422231929344026e-47,1.2170862044572881e-46,1.0711657147199285e-24,3.1604716907055071e-35,6.5111967416118119e-35,1.0944689006185341e-30,1.1016041270532143e-60,1.4129169750246869e-48,1.3413694362348149e-46,1.2654872436074859e-52,2.3548360296714701e-36,1.8397180390917187e-45,9.2925351856097767e-50,2.5912208959324218e-35,2.2991315807381593e-39,5.650017740672895e-59,2.6787171375652891e-35,5.4578186168955557e-47,4.7750430899123239e-63,4.4977941903619845e-47,2.5866695266130046e-35,2.2950930041428783e-39,6.7451343276527645e-41,3.7048644147411629e-45,3.1205018154761829e-30,1.550962751430615e-57,1.3793485413974351e-57,4.0814267468318104e-63,2.7600657744927567e-38,2.4489361456495507e-42,5.2354822020483017e-49,1.7556116460146314e-52,6.1081486918881971e-68,4.5689695134348738e-71,4.8123171307456875e-79,5.9911739778331986e-63,1.4197881250135256e-62,3.7729405996629602e-44,1.8034548352189174e-57,1.7848150222692811e-66,1.5959997121795268e-76,1.3539913625246597e-77,1.4123290619963644e-76,9.2458212679448998e-76,1.8881876073539137e-76,1.1849451847016347e-81,5.723205955626978e-84,6.8484554156586243e-34,2.8519539162744867e-53,1.3091037977369669e-27,2.5993553019512637e-58,1.6593227076649217e-66,2.9497518035301068e-31,7.0970900614456851e-93,6.4609908205978861e-94,1.4889823339224525e-94,3.0939102383989524e-45,1.5990582291230378e-46,1.8394159085446188e-92,5.4188055021508295e-98,4.7884000537699777e-99,7.3620468787006863e-107,4.5490414980219218e-47,1.4671715166040446e-107,1.5755157096310109e-38,1.6057723080391257e-36,1.0616509579780169e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.253079454561387e-45,8.0886871920348944e-48,3.9773861537894661e-50
