Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654),S(11179),S(11193),S(12065),S(11559),S(10226),S(11013),S(13044),S(13047),S(14368),S(13836),C5H8(9850),S(15615),CHO(330),S(16928),S(16826),S(456),S(18023),CHO3(881),S(10202),S(18746),S(18747),S(18745),S(18626),S(19256),S(19255),S(18650),S(19434),S(18838),S(19740),S(19976),S(19862),S(20255),S(19528),S(19527),S(19431)
0.0,0.0020877345697508406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0020877345697508406,7.3295462257726178e-23,7.3295462178477005e-23,7.1172269422274275e-23,7.117226904120073e-23,1.31082190025402e-31,1.2797910913149455e-23,1.2781785079194358e-30,8.5983236475304218e-31,6.063412418421182e-24,2.3845234490829526e-30,8.5629328050475544e-31,8.31488528753133e-31,1.1021159170487237e-39,4.3342280973208422e-46,5.0697859866890681e-24,1.9937656844785799e-30,4.0899691014869773e-40,1.2883903835137041e-24,7.8263938286666835e-32,1.6084387015662353e-46,5.9402955989168461e-40,5.7025642136644331e-55,2.0590969296442566e-60,1.2180476738622559e-32,5.3677370970124391e-56,2.0124022113138679e-47,2.0664879541406497e-55,2.159911427902207e-55,3.8224887687586283e-25,2.7955480811601133e-40,1.082453106601919e-39,1.2604719169145266e-32,2.8921069517277158e-71,6.2987083396391229e-51,1.0282570100524621e-54,2.6821307693762308e-57,1.497643319161505e-40,1.1818967374757707e-50,8.9086216862889218e-57,7.4011013562116215e-40,2.9105887217870709e-46,1.4662898257331922e-65,2.3374346919231602e-40,1.5802141786168289e-55,5.766394042243643e-72,6.8513346444113873e-56,7.3964847908969665e-40,2.9087731811395032e-46,1.9582005417929228e-47,3.9401418771810009e-51,4.4657218205152449e-33,2.8981789759676851e-66,1.2941104237443578e-68,2.0654960862953122e-76,1.3801340748305515e-42,5.427574178083008e-49,1.9242940704419003e-57,6.930501653411809e-63,4.3974989643256049e-79,6.7931489444673212e-82,4.2601114488333232e-91,9.6750945781528325e-74,1.1320369434138852e-75,6.9201568240047747e-50,1.0318849883246903e-61,3.639405105966882e-72,1.0043171345035305e-83,7.4087575216823592e-86,4.4457530391345722e-87,6.7907618220181262e-86,3.2141676927479163e-84,3.2729836363890036e-92,7.2848845605453667e-97,2.7335731724206575e-36,5.4604192524610532e-60,5.9312222972431562e-27,1.0672871838925873e-66,2.1207287181870059e-79,8.7222430549029223e-34,6.3336062834122482e-107,3.9812858310680368e-110,5.8317609837892411e-113,3.2940841553972709e-51,1.2364539147650215e-54,-2.5870224679004776e-108,-4.1290828212577451e-116,-1.9446160523339845e-116,-3.3545227427117074e-122,5.5199825482214208e-48,3.5143953846365736e-92,2.1752004643443121e-43,1.0087768694184516e-40,3.4437301237133177e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.9542741915523773e-51,1.0015713484146016e-52,1.2431131297779031e-54,9.0990858270190465e-58,4.8246561749591643e-53,1.0636606641159639e-55,2.6507357207718849e-61,2.264655918719862e-62,2.6744950911418135e-55,9.6603072045497482e-62,1.0263620059517123e-64,4.0363148032989074e-71,1.6831151539036288e-78,6.471450427099576e-79,1.6127630809430178e-84,1.6127627804604743e-84,2.7625775668568545e-86,1.2025955053953038e-65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6002345532856326e-76,0.0,0.0,0.0,0.0,0.0,1.3272127111732906e-97,1.766056573730607e-108,3.8839239083281544e-72,1.4180185325429083e-78,1.5745686302613115e-88,9.6393815514622649e-67,3.6262898708319293e-70,1.468166892846852e-91,2.880661261093202e-85,9.8822576799938718e-91,7.156753614707586e-91,6.1280468934734238e-92,5.3192688318021355e-93,2.6503456525950461e-98,1.8323361338054695e-98,3.2541692699714396e-95,4.1232677111646647e-105,4.1242332747114579e-105,2.7555448200152976e-108,1.5701808063639672e-116,2.7561901093212994e-108,5.5587540259681128e-117,4.3301558078506553e-106,4.3301285706111662e-106,9.7184579040067732e-109
3.0000000000000002e-15,0.0020877345697508406,2.408279447130724e-22,2.4082794419229205e-22,2.3385173948586793e-22,2.3385173698167032e-22,8.6139724385512186e-31,4.2050278858549787e-23,8.3994586976013237e-30,5.650326939625724e-30,1.9922632926816199e-23,1.5669722653959616e-29,5.6270700970304636e-30,5.4640674412809887e-30,1.0391377190867736e-38,5.3249082006285107e-45,1.6657861678319612e-23,1.3101886413333294e-29,3.8562560833805884e-39,4.2332825228479421e-24,5.143058712051604e-31,1.9760816242224981e-45,5.6008497983173358e-39,8.6353043317493617e-54,3.7063718765173265e-59,8.0043128435782025e-32,6.9108729743923791e-55,2.4576662857627359e-46,3.2509942850661167e-54,3.2549309395966331e-54,1.2559606070094356e-24,2.6358021402378191e-39,1.0205984485114738e-38,8.2831007068587653e-32,6.023434114981855e-70,5.9387811333753046e-50,1.5569981653721526e-53,3.2951854720945654e-56,1.4120636942676119e-39,1.4520443793392659e-49,1.3490197298205624e-55,6.9781794964119844e-39,3.5758654248168865e-45,2.2203793624909947e-64,2.203866717369426e-39,2.3928952709308911e-54,1.0379499923573436e-70,1.0374876489572151e-54,6.9738267574166128e-39,3.5736349093554968e-45,2.405788768336205e-46,4.8404516221403965e-50,2.9346172072840703e-32,5.3837791114015016e-65,2.7737114351701681e-67,5.0171901474007544e-75,1.3012691128283336e-41,6.6681619029428517e-48,2.913928615869462e-56,1.2474894314002489e-61,1.0618142902763058e-77,1.4168556779531873e-80,1.0102516006239773e-89,2.0147501036173405e-72,2.6808026962324063e-74,8.5019065615241783e-49,1.2677442481098348e-60,5.5053200871534323e-71,1.8044331873378239e-82,1.5311252386497714e-84,1.0423934697038685e-85,1.6062979398945279e-84,6.6845127991789823e-83,7.6991980857970513e-91,1.921798271969465e-95,1.7963480874072373e-35,8.2686342524348253e-59,1.948825037483646e-26,1.9211168106865712e-65,5.1513533860912295e-78,5.7317593578813673e-33,1.8516914276656971e-105,1.2775497749326254e-108,2.0379681486634683e-111,4.046664145038884e-50,1.8722117993332711e-53,1.0716429790599261e-106,1.5924491608962423e-114,7.4997337478879997e-115,1.2991717446789418e-120,3.6274170088511256e-47,9.1443128900868799e-91,2.0509032819690374e-42,9.5113247495333036e-40,3.2188024343006668e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,9.7723931597910098e-50,1.2220838108626594e-51,1.5401188439736309e-53,1.387278645675319e-56,5.9274346994728754e-52,1.0028793511848127e-54,3.2566045249514298e-60,2.7822872768560886e-61,2.5216662499641794e-54,1.1868375086110976e-60,1.2609582282132207e-63,6.1121305730530298e-70,3.029583073475866e-77,1.1648596190734732e-77,3.3637580831995363e-83,3.3637573706278185e-83,5.7619412734067845e-85,1.4774740328817174e-64,3.6378611121474547e-117,4.2500269612124208e-125,9.3013347703129013e-133,1.460242300757677e-139,3.2458932919065569e-149,3.0715062203690156e-154,1.3064034987062461e-154,2.4232115464954019e-75,1.6257598663446331e-149,1.2748829111502347e-159,8.9269587731354621e-165,1.030001628474354e-170,2.0340201657282868e-166,3.147387153859927e-96,4.6926604417776433e-107,6.9910598194689545e-71,2.9575803367020468e-77,3.7339757338433441e-87,1.7349848726989691e-65,7.5630140723370423e-69,3.4006338843997873e-90,4.362138090040559e-84,1.7774883321228837e-89,1.2875812477517695e-89,1.1028975927061639e-90,9.5746596818469679e-92,5.5275909770991532e-97,3.8214325209191957e-97,5.8574987325983548e-94,8.5952660769656539e-104,8.5972775817641612e-104,6.5314418917727057e-107,4.1703532593435639e-115,6.532970558708897e-107,1.4763882709986629e-115,9.0314574590734851e-105,9.0313928680351168e-105,2.3045052804306886e-107
7e-15,0.0020877345697508406,5.3400977304354031e-22,5.3400977021321284e-22,5.1854079497138203e-22,5.1854078136161311e-22,4.681506587385556e-30,9.324192361241247e-23,4.5649229621657242e-29,3.0708297568122625e-29,4.4176222327728313e-23,8.5161434714823868e-29,3.0581901569537813e-29,2.9696017522036327e-29,1.6783627064560738e-37,2.6934091973725137e-43,3.6936955398893721e-23,7.1205820591297805e-29,6.2284304827635016e-38,9.3868427878669194e-24,2.7951402873492221e-30,9.9952838888740591e-44,9.0462160367504281e-38,1.4261109146068607e-51,2.0634819363058581e-56,4.3501684612423886e-31,3.9500813202140727e-53,1.2264022359002613e-44,6.1153678162693645e-52,5.2977397164296605e-52,2.7849562029725949e-24,4.2572148413619936e-38,1.6484182456649918e-37,4.5016835348924062e-31,1.1245022008489685e-66,9.5920163126961847e-49,2.5695056339942954e-51,1.6667279670202135e-54,2.2806966941873213e-38,7.3446318469298192e-48,2.2279156886180572e-53,1.1270790799977109e-37,1.8087182612120916e-43,3.6669189067064077e-62,3.5595745535237304e-38,3.9518771428442993e-52,5.778652122783174e-68,1.7134164797184634e-52,1.126376080138979e-37,1.8075900712281282e-43,1.216878681998645e-44,2.4465835779792007e-48,1.5949006948412454e-31,3.3907805840625282e-62,6.0587480308480087e-64,3.8685765081851768e-71,2.1017444440951891e-40,3.3728453348720263e-46,4.8123212651212379e-54,6.9452615188855834e-59,7.1504671104225381e-74,2.7244527222486988e-77,6.8347760043811818e-86,3.7501572533941515e-69,1.7554205576583212e-70,4.3003805795662461e-47,6.4124172146680401e-59,8.9520102231759642e-69,9.6752938785732573e-80,2.4560292310668749e-81,5.7165218386417066e-82,1.024876015078047e-80,1.2125373157906882e-79,4.3404186642779069e-87,3.8644887872288228e-91,9.7627614391322043e-35,1.36557122872916e-56,4.3212745795019627e-26,1.0695729609127292e-62,3.9720344034864469e-74,3.1150853205634848e-32,1.3414286695316598e-100,3.3579268581998541e-103,1.9674696018646678e-105,2.0447150959382385e-48,3.0887055982994899e-51,1.5228032764908062e-101,9.7220510016878806e-109,4.5786587592071508e-109,6.7488601676459257e-115,1.9714219510900273e-46,1.4281137056560579e-86,3.3125191602279052e-41,1.5362230062729417e-38,4.8187926809803578e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.9430076029553123e-48,5.7243786904554815e-50,7.4754311468418701e-52,2.2025582075893609e-54,2.9981788293402999e-50,1.6197916816278566e-53,1.6471531452414523e-58,1.4072937309814387e-59,4.0728649167502279e-53,6.003175533746056e-59,6.3780535998023707e-62,1.009416054673445e-67,1.6864670010158056e-74,6.4851642971511028e-75,6.4680327653675993e-80,6.4680279443223747e-80,1.1079489295752648e-81,7.4732427574267354e-63,1.3334438643761982e-112,6.2313656067598091e-120,5.4550322180132822e-127,3.4256039078350618e-133,3.0457126296019787e-142,1.1528318926186488e-146,4.9033401699288291e-147,4.0019375443097939e-73,1.5255577628396461e-142,4.7851266578589739e-152,1.3402455699952293e-156,6.1855557923109528e-162,1.2096082056622372e-160,2.1294624162265379e-92,1.1334739400716592e-102,3.8922127268413665e-68,5.6871366813569918e-74,2.5263733923522049e-83,9.6491190629657817e-63,1.4527375320983723e-65,1.4914194182987724e-86,7.2039630873501043e-82,9.766561778709967e-87,7.1059042246483677e-87,6.1253362900260553e-88,5.3304135700516792e-89,1.0618151224517626e-93,7.3363792945468099e-94,3.261080388911884e-91,1.6341705792806651e-100,1.6345479809482634e-100,4.3690623758706976e-103,9.9552030428035019e-111,4.3700714582055827e-103,3.5243296032348931e-111,1.7366336712633101e-101,1.7365899712875197e-101,1.5566761621911414e-103
1.5e-14,0.0020877345697508406,1.1203733770124605e-21,1.1203733644910937e-21,1.0879188494242045e-21,1.0879187892145956e-21,2.0710983873437391e-29,1.9562521592332901e-22,2.0195217398416972e-28,1.3585350096886117e-28,9.2683247708582443e-23,3.767534416339892e-28,1.3529432422660649e-28,1.3137517284136313e-28,1.5609056614724435e-36,5.1801273524186118e-42,7.7495014992096417e-23,3.1501393423409973e-28,5.7925464463217936e-37,1.9693960087633467e-23,1.2365698301388661e-29,1.9223536739975878e-42,8.4131433392021789e-37,5.5948710441159328e-50,1.6368034559112637e-54,1.924513379010516e-30,7.8400082068098337e-52,2.350898421586989e-43,2.4757700761393765e-50,2.0715529435737082e-50,5.8429476200640538e-24,3.959282409796894e-37,1.5330556861676836e-36,1.9915435965636476e-30,1.7236923344837029e-64,8.9207331981978805e-48,1.0070019003509135e-49,3.2054927114044827e-53,2.1210905407146661e-37,1.4125636344914175e-46,8.7406251359872052e-52,1.0482008400488838e-36,3.4786307950159894e-42,1.4385860906675831e-60,3.3104651151492498e-37,1.5504085341381673e-50,4.5837422922758034e-66,6.7221164970835546e-51,1.0475470857851833e-36,3.4764610908008677e-42,2.3403712037283714e-43,4.7002918052931099e-47,7.0558409584443345e-31,2.7266612613047151e-60,9.8002175531934954e-62,1.2552112631561521e-68,1.9546583580017682e-39,6.4868617196748799e-45,1.8879542246912598e-52,5.5091492085359905e-57,1.9721724435657924e-71,4.3471774001814643e-75,2.1874511765393515e-83,5.7261866324713937e-67,5.3775057888740405e-68,8.2707618450408024e-46,1.233274446175474e-57,3.4351514223430027e-67,7.2839909524876504e-78,3.1471893283394731e-79,1.4390426238088074e-79,3.0390490281851503e-78,1.7919844966759541e-77,1.1163888121794071e-84,1.9917176576273981e-88,4.3190457301419355e-34,5.3574519345738554e-55,9.0660734342999312e-26,8.4842477915258189e-61,1.2887838044855445e-71,1.3781128000112643e-31,1.3805692156278459e-97,6.8744735487334403e-100,8.0577139448234255e-102,3.9263620895274543e-47,1.2099135889698426e-49,1.9240425768689864e-98,2.4577057168730796e-105,1.1574716651986149e-105,1.4290395587167878e-111,8.7215682415775911e-46,6.1439341275949827e-84,3.080704425710269e-40,1.4287161445859175e-37,4.0167367576545435e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,9.5066953623561822e-47,9.9104574736696573e-49,1.3056531580319801e-50,7.8657386722667448e-53,5.766289519766407e-49,1.5064214489163929e-52,3.1676720890911256e-57,2.7065229482183757e-58,3.7878288978164024e-52,1.1545652689037984e-57,1.2266541787845678e-60,3.960133143125299e-66,1.3374975574001184e-72,5.1441158681178703e-73,1.032028237147917e-77,1.0320266940971824e-77,1.767844129084567e-79,1.4372943508207609e-61,1.2242674950400905e-108,1.1442883083350819e-115,2.0035044611809607e-122,2.5163199542835425e-128,4.4743207836515199e-137,3.3871583270004576e-141,1.4406605997356737e-141,1.5700443093552482e-71,2.2412498718946098e-137,1.4059645087893549e-146,7.8757693941135986e-151,7.2697197493568704e-156,3.8869545047590277e-155,6.8158338325416661e-90,7.2669110299937814e-100,3.0874156593427324e-66,9.0745817494320406e-72,8.0864005540839747e-81,7.6424012541192393e-61,2.3145556174807112e-63,3.2008896980863037e-84,2.8262027955841426e-80,7.6054309183751775e-85,5.5673821036822541e-85,4.8420083561255364e-86,4.2280194982298051e-87,1.6918378070733039e-91,1.1679679222584146e-91,2.586748574854997e-89,2.5669017363183656e-98,2.5674837750295931e-98,1.3767199147830638e-100,6.2805305480759574e-108,1.3770321465330638e-100,2.223416998240907e-108,2.7709706507293893e-99,2.7708307837208793e-99,4.9713591965489422e-101
3.1e-14,0.0020877345697508406,2.2931003741822787e-21,2.2931003219910604e-21,2.2266747322570675e-21,2.2266744812930372e-21,8.6326965840902633e-29,4.0039181175774057e-22,8.4177157424069505e-28,5.6626091512731147e-28,1.8969668479055955e-22,1.5703676743087808e-27,5.6393016251265065e-28,5.4759445625421534e-28,1.3173966457316613e-35,8.8073697322629666e-41,1.5861062279011722e-22,1.313027744527346e-27,4.8888820147659591e-36,4.0308181766091802e-23,5.1542358205179177e-29,3.2684301102394998e-41,7.100667301401721e-36,1.9098996428667278e-48,1.1197785965042913e-52,8.021696501215059e-30,1.3533770665931044e-50,3.9907945938536968e-42,8.5840133251728154e-49,7.0604674612504751e-49,1.1958931354874649e-23,3.3416159184599932e-36,1.293889545875907e-35,8.3010896685647467e-30,2.1889629998278987e-62,7.5290480563551559e-47,3.4304110802674843e-48,5.4498520928447056e-52,1.7901967036808946e-36,2.4016714704976055e-45,2.9838487128335718e-50,8.8467343375336493e-36,5.9144283660236622e-41,4.9107960888822024e-59,2.794017261183379e-36,5.2927138431071371e-49,3.135821968453345e-64,2.2947694113559195e-49,8.8412174710787191e-36,5.9107397184209312e-41,3.9791405685159377e-42,7.9743683547529236e-46,2.9409972316191655e-30,1.8312493276560147e-58,1.3180397603411582e-59,3.3784133538950243e-66,1.6497228503395264e-38,1.102911486485756e-43,6.4448389087451198e-51,3.7689493594048813e-55,4.0840233602070786e-69,5.9541619799492202e-73,5.9942199267240189e-81,7.2221410155605427e-65,1.3574230696423893e-65,1.4062170068433251e-44,2.0968398147222218e-56,1.1237585893920676e-65,4.5083100975903711e-76,3.0214028719393176e-77,2.6635927666238246e-77,7.2618004879685315e-76,2.139236761859554e-75,2.1458750600300622e-82,7.6618506830751789e-86,1.8002532949320001e-33,1.82891259342634e-53,1.8555270245405683e-25,5.8044764654891368e-59,3.4687970173769991e-69,5.7442056829424015e-31,1.0572219072078187e-94,1.0408112188036883e-96,2.4401231235700932e-98,6.6550865570097579e-46,4.1178329395383335e-48,2.120089560392898e-95,5.4165738101412906e-102,2.5509696521551685e-102,2.3787718828873308e-108,3.635299035935152e-45,2.0322420654295895e-81,2.6001086660530307e-39,1.2058339986172415e-36,2.8122929612713094e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.6163513333537085e-45,1.406518998157939e-47,1.8607621001388855e-49,2.2578616631158084e-51,9.8040121906919885e-48,1.2713920686756479e-51,5.3849667837710209e-56,4.6014582791955926e-57,3.1969017658341155e-51,1.9630121730667431e-56,2.0855460825970764e-59,1.3518727786996398e-64,9.1467717080196799e-71,3.5191211058736801e-71,1.4134728182252251e-75,1.413468589355668e-75,2.4213052958141483e-77,2.4437040365692411e-60,3.1541786590208098e-105,5.8970658806203017e-112,2.0651448142809118e-118,5.1876564496960514e-124,1.8446891004795247e-132,2.7929622474084013e-136,1.1879318533813146e-136,5.35971827982093e-70,9.2413026986033264e-133,1.1593824805898326e-141,1.2988864159755621e-145,2.397876025017472e-150,2.1825099861993235e-150,1.8680267285539389e-87,3.9843502280828132e-97,2.1122051026650332e-64,1.2429384970144558e-69,2.2163418464001327e-78,5.2127369590804304e-59,3.160756845132586e-61,5.2901172756492399e-82,9.6475026899860815e-79,5.0201390122883606e-83,3.7178359539277088e-83,3.2899374574672792e-84,2.8922394448830536e-85,2.3106883273184039e-89,1.5925659681929738e-89,1.7696376974075957e-87,3.4097901708527875e-96,3.4105362659406878e-96,3.659740964287209e-98,3.3368544914701592e-105,3.6605421024159607e-98,1.1812951931057802e-105,3.7952225594054254e-97,3.7948392492406792e-97,1.356451328695853e-98
6.300000000000001e-14,0.0020877345697508406,4.6385535254501352e-21,4.6385533127681846e-21,4.5041855936319858e-21,4.5041845709405421e-21,3.5178698335248024e-28,8.0992504827538764e-22,3.4302636326714807e-27,2.3075434431281776e-27,3.8372110426878161e-22,6.3992841166226937e-27,2.2980454439620505e-27,2.2314765313203905e-27,1.0782087070486549e-34,1.444939596119157e-39,3.2083979285979797e-22,5.3506185123870962e-27,4.0012538517453105e-35,8.1536573438796042e-23,2.1003775070542901e-28,5.3621987237807871e-40,5.8114887030299093e-35,6.2737898518704765e-47,7.3611189443518875e-51,3.2688772303144684e-29,2.237250714769782e-49,6.5422108435740144e-41,2.8420118707706024e-47,2.317566382022769e-47,2.4190902426743276e-23,2.7349104956812579e-35,1.0589665468715888e-34,3.3827311236002601e-29,2.5127583232175317e-60,6.1620553477860906e-46,1.1221828185652647e-46,8.940390568708064e-51,1.4651777760505756e-35,3.9401852076676848e-44,9.8022070587904117e-49,7.2404647649928849e-35,9.7031677367677528e-40,1.6131044334704072e-57,2.2867343120314898e-35,1.738687001501322e-47,2.061361828342948e-62,7.5384759204806456e-48,7.2359508317492648e-35,9.6971172205935583e-40,6.528151695978771e-41,1.3026861206617294e-44,1.1984725090511853e-29,1.1370156766487667e-56,1.6377392100052503e-57,8.3982219099748094e-64,1.3501988474347907e-37,1.809441636140141e-42,2.1170531700799551e-49,2.4776060472137946e-53,6.9468722938173321e-67,7.8304362491341865e-71,1.5763029067814829e-78,8.1997077903266176e-63,3.0836828090030324e-63,2.3070546631504406e-43,3.4400771280966821e-55,3.4073191344524586e-64,2.4602196062438652e-74,2.3474490960365999e-75,3.8633600047803848e-75,1.5205436877961269e-73,2.2383506272511065e-73,3.3370107849247785e-80,2.3844278580081067e-83,7.3361302639942873e-33,6.008149716449322e-52,3.7532060421358661e-25,3.8159517793642778e-57,8.6230155125838546e-67,2.3407887101624951e-30,6.5173483169455145e-92,1.2542761373442136e-93,5.881657201049053e-95,1.0851465410833901e-44,1.3445900218918336e-46,2.1323654974295799e-92,1.0896346902211809e-98,5.1317051692642214e-99,3.2176550783402086e-105,1.4814024375424475e-44,5.9623228899677387e-79,2.1280454998733628e-38,9.8690908499837344e-36,1.7123198037693657e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.6517954592308349e-44,1.732432727441875e-46,2.2966551252836284e-48,5.6051741816250377e-50,1.6084609284495421e-46,1.0405238580656144e-50,8.8320344215920455e-55,7.5484015683009101e-56,2.6164573500119206e-50,3.2205043132919624e-55,3.4214248069776628e-58,4.4408528050146399e-63,6.008392201218171e-69,2.313244779623188e-69,1.8587372001690144e-73,1.8587260769417785e-73,3.1841936877120694e-75,4.0090943408832783e-59,7.0101614740177566e-102,2.6213257108174947e-108,1.8359928114268482e-114,9.2241217193489364e-120,6.5586579614635404e-128,1.9860361112270897e-131,8.4472270000144179e-132,1.7606804579833324e-68,3.2863868823880132e-128,8.245071254571302e-137,1.8473836965774104e-140,6.8209163452553799e-145,3.7210870890215891e-145,4.9139373762931989e-85,2.0963548763261666e-94,1.38854062546974e-62,1.6346867759900756e-67,5.8306663878444215e-76,3.4063637696234397e-57,4.1322731120097353e-59,7.7572450339389883e-80,3.1689828162071877e-77,3.0833174903568344e-81,2.3326306856360797e-81,2.1336226948306994e-82,1.9009604614072681e-83,3.0217574109142982e-87,2.0758639789629428e-87,1.1632896855472559e-85,4.2293060231465078e-94,4.2301708727028563e-94,9.0811053511925243e-96,1.652989799113965e-102,9.0829640676048154e-96,5.8517420013180348e-103,4.9910215024925086e-95,4.990013314383742e-95,3.5367950225384936e-96
