Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356)
0.0,0.0026236326867463905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0026236326867463905,1.1966879098578122e-23,1.1966879091866908e-23,1.1637723419783781e-23,1.1637723370047387e-23,1.1363959195387398e-32,2.885728956786245e-24,1.6034211661148531e-31,1.0816762908782063e-31,1.3650525431769764e-24,4.2717527924320687e-31,1.0768837129780229e-31,1.0472634263100211e-31,8.9766383622905381e-41,2.8091211708246682e-47,1.1459525404620448e-24,3.5861080937968879e-31,3.4456373391115761e-41,2.9926011033270949e-25,1.3305025103584595e-32,1.07826698443717e-47,4.4860088428394622e-41,2.546030384650275e-56,6.929496916769843e-62,1.2351380273699909e-33,2.0939715394329231e-57,1.4124673986053671e-48,8.0082038773588531e-57,1.1176551548239276e-56,7.6166924390253611e-26,3.0255489687689951e-41,1.1848546678549704e-40,1.276082321050147e-33,3.7715893045980813e-73,1.5014830642561097e-52,3.6296282246405996e-56,4.9869305150640369e-59,1.1349792888894473e-41,3.6122628287185428e-52,1.8659277168145496e-58,6.9614877857896329e-41,2.1785062483116034e-47,1.9711195023952617e-67,2.539928261854089e-41,7.1978135927462824e-57,6.168359854418498e-74,3.09589996894411e-57,6.9546434013040129e-41,2.1763643841019407e-47,1.3911336418715363e-48,1.6537094322693192e-52,6.8541613670166448e-34,4.3525534548125039e-68,1.8041172111433585e-70,2.2033293338762043e-78,1.1128794953858366e-43,3.4826103328999298e-50,8.2232247856511115e-59,2.2319310969060659e-64,2.9171184055643616e-81,4.38828307531486e-84,1.3038336515198804e-93,1.2091920405138859e-75,1.3229201156726652e-77,2.9964835545453404e-51,1.4611763750858942e-63,2.8641774938630781e-74,4.4612794326170432e-86,2.697051211125428e-88,1.5753781582629575e-89,1.6926343675415027e-88,8.249077831700548e-87,9.2869899524910152e-95,1.9711583801777796e-99,3.1447798474980271e-37,9.5348856079296594e-62,7.0396272988237355e-28,1.1475694427581677e-68,1.7559889201109054e-81,1.0952779460239825e-34,7.938202019548118e-110,4.5174106459864241e-113,5.7825027623017024e-116,1.3881454375272064e-52,4.3731020454132858e-56,-3.8052574461953112e-111,-4.6472812201086876e-119,-1.6526235511601045e-119,-1.6049789997443193e-125,2.2695440587577772e-49,-2.065158015025278e-128,2.0852438060758503e-44,7.6676551586482212e-42,1.1694497939971967e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.4380259888084999e-52,3.3161419667696316e-54,3.1385479557803187e-56,2.0075532241615809e-59,1.8981979849420991e-54,2.7373417862252514e-57,5.2498823028610101e-63,4.5458235375637454e-64,7.5659193946603773e-57,2.3860939550245007e-63,1.4226481588423137e-66,4.4519905057140858e-73,1.6017567120605112e-80,4.8392781123925408e-81,9.2812145274782232e-87,9.2812134577124401e-87,1.5268106897279133e-88,1.7870542476346861e-67
3.0000000000000002e-15,0.0026236326867463905,3.9319745264558417e-23,3.9319745220456138e-23,3.8238233734898763e-23,3.8238233408059623e-23,7.4677445820025037e-32,9.4816808713839417e-24,1.0536767597792757e-30,7.108158455026316e-31,4.485171231912249e-24,2.8071514348656927e-30,7.0766643694124354e-31,6.8820167703548429e-31,8.4636866555918789e-40,3.451205703729283e-46,3.7652714531246256e-24,2.3565849857378015e-30,3.2487434428001026e-40,9.8328318346354912e-25,8.7433020692917909e-32,1.3247279000804952e-46,4.2296652752421232e-40,3.8554149803641695e-55,1.2473087756869366e-60,8.1166209051717391e-33,2.696603916147637e-56,1.7294818089725971e-47,1.2600974892710383e-55,1.6878319019639419e-55,2.5026275382353874e-25,2.8526601728547948e-40,1.1171485176103231e-39,8.3856833880262721e-33,7.8557756944725926e-72,1.4156838337786558e-51,5.4960663264235485e-55,6.1267954752730545e-58,1.0701233253156657e-40,4.4379225070497233e-51,2.8255475018401208e-57,6.5636871694070722e-40,2.6764501151298291e-46,2.9848358537016115e-66,2.3947892681617714e-40,1.0899544561343926e-55,1.1103040687520015e-72,4.6880765036116604e-56,6.5572339087988841e-40,2.6738186859173101e-46,1.7091067845696662e-47,2.0315963376591607e-51,4.5041632010590524e-33,8.0872323181751948e-67,3.8675682561909327e-69,5.3528997851861652e-77,1.0492862814432013e-42,4.2786352256707691e-49,1.2452303956879337e-57,4.0174738407041609e-63,7.0455172293681838e-80,9.1526996837731328e-83,3.0919389765839865e-92,2.5182890905048236e-74,3.1331187773116785e-76,3.6813939442393203e-50,1.7951593537876043e-62,4.332936539427562e-73,8.0171034042581645e-85,5.5758221295108822e-87,3.6956698078908625e-88,4.0040886356662728e-87,1.7157108879811301e-85,2.1853069266269573e-93,5.2014897367022559e-98,2.0665696153374762e-36,1.4438540299433468e-60,2.3130156665089726e-27,2.0656249050132735e-67,4.2661045682431063e-80,7.197540362830279e-34,2.3214081562363536e-108,1.4499501499694368e-111,2.0212202504087797e-114,1.7053107879134767e-51,6.6217320531948927e-55,1.5761257381332145e-109,1.7921098897025956e-117,6.372936902013071e-118,6.214495833338962e-124,1.4914146336887872e-48,7.4062687495461727e-127,1.9660869999347608e-43,7.229503419762e-41,1.0933258221994199e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.995288903479151e-51,4.0471532624863988e-53,3.8901084105845783e-55,3.0618709605952365e-58,2.3320717941944073e-53,2.5809208447667657e-56,6.4498371947763027e-62,5.5848627664467269e-63,7.1335798431765816e-56,2.9314863950203939e-62,1.7478240082368061e-65,6.7415828157220175e-72,2.8831428499781776e-79,8.7106921854895168e-80,1.93579407114723e-85,1.9357938174602179e-85,3.1844882116089274e-87,2.1955232265466974e-66
7e-15,0.0026236326867463905,8.7187259018446955e-23,8.7187258778760766e-23,8.4789124669378871e-23,8.4789122893079295e-23,4.0585567244899085e-31,2.1024596800853507e-23,5.7265038984852981e-30,3.8631294964978697e-30,9.9453706154125855e-24,1.5256243646415327e-29,3.8460131375934949e-30,3.7402263956028735e-30,1.367012236253111e-38,1.7456661423619114e-44,8.3490725867796729e-24,1.2807515318275939e-29,5.2472079480304407e-39,2.1803233477775605e-24,4.7517941019799729e-31,6.7006519231644978e-45,6.831547240687258e-39,6.3671935416237408e-53,6.9442753600993079e-58,4.4112055370236923e-32,1.5424358448565554e-54,8.6816477617538503e-46,2.3721632670333185e-53,2.7647189793762259e-53,5.5493046864441645e-25,4.6074742043344168e-39,1.8043616155297367e-38,4.5574350819434531e-32,1.4689613211110981e-68,2.2865409543040281e-50,9.0711883510928523e-53,3.0989890593754817e-56,1.7284112413558521e-39,2.2447607106729456e-49,4.6664138053990803e-55,1.0601329818114333e-38,1.3537832727809641e-44,4.9294290650643855e-64,3.8679440227415966e-39,1.800065783505635e-53,6.181503529508607e-70,7.7423879623998208e-54,1.0590907064192729e-38,1.3524522832095e-44,8.6448847383825141e-46,1.0269797984479232e-49,2.4479148433739238e-32,5.1020693412183399e-64,8.4627915840299046e-66,4.1346980847016121e-73,1.6947548479929611e-41,2.1641914184212668e-47,2.0564903516837879e-55,2.2366913388887996e-60,4.7626326955118916e-76,1.7599687580647943e-79,2.0918427814696798e-88,4.6970778557513533e-71,2.0558540604302311e-72,1.8620995930350473e-48,9.08015479500437e-61,7.0528352699158604e-71,4.3201339358822642e-82,9.0113882477271899e-84,2.0508835382019998e-84,2.5590924273430547e-83,3.1174728885188518e-82,1.2413114701351755e-89,1.0539226528496068e-93,1.1231356649906994e-35,2.3845366668845501e-58,5.1288303787208636e-27,1.150027551905956e-64,3.2952387988576274e-76,3.9117052147519184e-33,1.6948607656276323e-103,3.8430245606713567e-106,1.967704484348699e-108,8.6181153045661487e-50,1.0926145004519201e-52,2.2442172982213706e-104,1.096328020154399e-111,3.8986617603756758e-112,3.2489948689779561e-118,8.1055131209535485e-48,1.6722189554483056e-120,3.1755280623511017e-42,1.1676743104178064e-39,1.6400154520669606e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.515057890378487e-49,1.8996970769962937e-51,1.8931311958179318e-53,4.8743384035180318e-56,1.1795943286691017e-51,4.1685573149593028e-55,3.2623070966076674e-60,2.8248641578074014e-61,1.1521793038606627e-54,1.4827839052683398e-60,8.8406847057220647e-64,1.1133718336152619e-69,1.6049865616878776e-76,4.8495593556442786e-77,3.7222884007850296e-82,3.7222866843967097e-82,6.1234023328578443e-84,1.1105228591350033e-64
1.5e-14,0.0026236326867463905,1.8292227980514558e-22,1.8292227874477393e-22,1.7789089955194506e-22,1.7789089169359662e-22,1.7955054114622371e-30,4.4110428920253203e-23,2.5334051551106278e-29,1.7090484167705486e-29,2.0865741919064001e-23,6.7493517889908827e-29,1.7014761336919754e-29,1.6546760765569576e-29,1.2713449897598461e-37,3.3573721304940932e-43,1.7516651873307345e-23,5.6660361210199779e-29,4.8799946212856303e-38,4.5744029712721327e-24,2.1021933426050013e-30,1.2887105938814707e-43,6.3534626736031346e-38,2.4979668234505376e-51,5.5083891243830418e-56,1.9515162443790829e-31,3.061996930639639e-53,1.6666167438530184e-44,9.6054795450605493e-52,1.0826536539273081e-51,1.1642659422197328e-24,4.2850313313731932e-38,1.6780864996258301e-37,2.0162081470423551e-31,2.2565060282326611e-66,2.1265217046141141e-49,3.5556459452939636e-51,5.9600899523325156e-55,1.6074547824549297e-38,4.3172613193819752e-48,1.830742485249028e-53,9.8594072364841891e-38,2.6036758039811945e-43,1.9339005804263418e-62,3.5972554146984742e-38,7.0620616139962935e-52,4.9033253455098497e-68,3.0375145427816966e-52,9.8497142295941569e-38,2.6011160284753169e-43,1.6626353063687805e-44,1.9733401659275725e-48,1.0829575709418408e-31,4.1086482459732291e-62,1.3708358775650282e-63,1.3434672012844708e-70,1.5761516465724109e-40,4.162306530208806e-46,8.0679900300813847e-54,1.7742049872683681e-58,1.3182354059789157e-73,2.8082513472437176e-77,6.6949577915184088e-86,7.191361724560066e-69,6.3147429319973298e-70,3.5813073972856081e-47,1.7463504430812838e-59,2.7102597081750927e-69,3.2743755527110473e-80,1.1636803151171819e-81,5.2325812164251406e-82,7.6041725217641159e-81,4.6168415329113606e-80,3.2174404609097989e-87,5.4737386122467126e-91,4.9687522148516954e-35,9.3550935173231133e-57,1.0760367641034942e-26,9.1224475393812209e-63,1.0707082286964477e-73,1.7305372815809077e-32,1.7581831359975502e-100,7.9359106212064607e-103,8.1286453408027675e-105,1.6553094725505683e-48,4.2810648040786929e-51,2.839569262578982e-101,2.7754214725953712e-108,9.8697021626543661e-109,6.9171018764650168e-115,3.5858781287311203e-47,7.1219689372072234e-117,2.9533001953818084e-41,1.0859589733935869e-38,1.3706256708140874e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.9138538822548472e-48,3.2972697323590589e-50,3.315388258553762e-52,1.7452778277543315e-54,2.2686713824677021e-50,3.8768060217470139e-54,6.2739603014577809e-59,5.4328528846694324e-60,1.0715455600279288e-53,2.8517773266832605e-59,1.7002821069407019e-62,4.367982916005642e-68,1.2729201192210683e-74,3.8467609417191118e-75,5.9392851305560242e-80,5.9392796369047369e-80,9.7705759379486569e-82,2.1358191744024004e-63
3.1e-14,0.0026236326867463905,3.7439229449423247e-22,3.7439229007442036e-22,3.6409442137150515e-22,3.6409438861655161e-22,7.4839775721923915e-30,9.0282094200881884e-23,1.055967110032779e-28,7.1236098989022872e-29,4.2706374673548047e-23,2.8132385199305644e-28,7.0920472604291813e-29,6.8969764776757912e-29,1.0730097415460854e-36,5.7082851072246354e-42,3.5851718523710275e-23,2.3616951645551706e-28,4.1186956191150602e-37,9.362559397729377e-24,8.7623037905262187e-30,2.1910973263402061e-42,5.3623048949876262e-37,8.5272850959986158e-50,3.7684595764633527e-54,8.1342496453584744e-31,5.2862826982742286e-52,2.8311389808697987e-43,3.3307600471962018e-50,3.6926166407469097e-50,2.3829370651004414e-24,3.6165493768129317e-37,1.4162962363983461e-36,8.4038963349272534e-31,2.8765285902660338e-64,1.7947737870668181e-48,1.2116584060846135e-49,1.0133234075772804e-53,1.3566890764206552e-37,7.3403116046661928e-47,6.249742140525362e-52,8.3212767206046211e-37,4.4268217706314841e-42,6.6017046444710668e-61,3.0360693159562355e-37,2.4108188610370685e-50,3.3544999367279052e-66,1.0369362603057175e-50,8.3130964183900238e-37,4.4224697977941133e-42,2.8268462197752157e-43,3.3490516800392756e-47,4.5139555159352736e-31,2.7661413485696784e-60,1.8481362449383707e-61,3.624746357440658e-68,1.3302658671560764e-39,7.0768571360028407e-45,2.7541627021213133e-52,1.2137889128535635e-56,2.7440621791853228e-71,3.8464058486412386e-75,1.8346430406207144e-83,9.1132615490361405e-67,1.601577247965689e-67,6.0890364020311974e-46,2.9691851906091794e-58,8.8899517900306562e-68,2.0519895757103443e-78,1.1282807430428596e-79,9.8887606563381627e-80,1.823118538126752e-78,5.5300594903504312e-78,6.2459596200522468e-85,2.1265959886137542e-88,2.0710622068015592e-34,3.1936197357678907e-55,2.2023073530147451e-26,6.2411049396271588e-61,2.8888411223917655e-71,7.2131708020060542e-32,1.360408504919289e-97,1.2157659586820711e-99,2.4907950478053882e-101,2.8070998666763185e-47,1.4577326107433844e-49,3.1364996718576072e-98,6.1316414544441333e-105,2.1804791179331219e-105,1.1599723119985446e-111,1.4946555407185893e-46,2.388806862518944e-113,2.4925798016052895e-40,9.1654754988077176e-38,9.6337570084466524e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.9542103195729474e-47,4.6973819989074649e-49,4.7432322798181242e-51,5.0288955428773808e-53,3.8572607948958096e-49,3.2719674822473476e-53,1.0666101261758499e-57,9.2367347507088277e-59,9.0437806543173139e-53,4.8486486176609534e-58,2.8908184291102941e-61,1.4911083193561517e-66,8.7057275715599175e-73,2.6316308121931454e-73,8.1346638479506827e-78,8.1346487916515518e-78,1.3382338589832271e-79,3.631349584269816e-62
6.300000000000001e-14,0.0026236326867463905,7.5733221633519579e-22,7.5733219832422809e-22,7.3650135322836585e-22,7.3650121975021148e-22,3.0497608941927386e-29,1.8262542892935172e-22,4.3031221166413035e-28,2.9029091856354378e-28,8.638720077586657e-23,1.1464030733889677e-27,2.8900472002698506e-28,2.8105547820358606e-28,8.7819436712035802e-36,9.3650453961604101e-41,7.2521484137724844e-23,9.6239786126435403e-28,3.3709079290975129e-36,1.89388609685315e-23,3.5706838774977996e-29,3.5947284517990795e-41,4.3887417531334945e-36,2.8011573006850575e-48,2.4773237758338959e-52,3.3147436639291479e-30,8.7391392362694199e-51,4.6427546926704498e-42,1.1028130050912182e-48,1.2125140705178704e-48,4.8202800137488082e-24,2.9599316111555231e-36,1.1591512377959586e-35,3.4246258346427787e-30,3.322563747609389e-62,1.4689127514509615e-47,3.9663165273664157e-48,1.6623807846611451e-52,1.1103756567754332e-36,1.2042556598245998e-45,2.0531006408497984e-50,6.810433760745635e-36,7.2626343605799765e-41,2.1685950776567974e-59,2.4848431583349473e-36,7.919708584531045e-49,2.2051714294636777e-64,3.4064178207089473e-49,6.8037395768825798e-36,7.2554952071717891e-41,4.6377190565617511e-42,5.4746963784981289e-46,1.839461644481349e-30,1.7248865207304622e-58,2.3062723129054368e-59,9.0492120324653523e-66,1.0887441306553093e-38,1.1610342829035844e-43,9.0472491844914454e-51,7.9792545327057634e-55,4.701378291122538e-69,5.058620651528693e-73,4.824779097334598e-81,1.0425776063316652e-64,3.6660481017824164e-65,9.9897446935550773e-45,4.8712558558810582e-57,2.708339842442087e-66,1.1441963848256479e-76,8.8536696918542866e-78,1.4778153705295274e-77,3.8353049020227086e-76,5.813450684417367e-76,9.8104311259097454e-83,6.6844930684958735e-86,8.4396910241302806e-34,1.0491360373574943e-53,4.4547010869688049e-26,4.1030055811786694e-59,7.2120831721737588e-69,2.9393989064749052e-31,8.4783018973307872e-95,1.485301086457545e-96,6.0865125027816803e-98,4.5816190124312302e-46,4.7645140778022764e-48,3.1681710647519548e-95,1.2387638154694443e-101,4.4051811778319291e-102,1.5832555024023044e-108,6.0907965892515536e-46,6.5214478921512185e-110,2.0400391596677589e-39,7.5014400570037739e-37,5.8945476232481267e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.1279244370270283e-46,5.8138500273997237e-48,5.8828829436380672e-50,1.2544331176094759e-51,6.3282801940930196e-48,2.6778442293251518e-52,1.7495469316586605e-56,1.5152750042265128e-57,7.4017645886081767e-52,7.9546814959680203e-57,4.7425550238844482e-60,4.8982866225890058e-65,5.7194409566973466e-71,1.729915612711136e-71,1.0697671070109328e-75,1.069763146503163e-75,1.7599262410290255e-77,5.9575419290505825e-61
1.2700000000000001e-13,0.0026236326867463905,1.5232116298685263e-21,1.5232115571861805e-21,1.4813147698132861e-21,1.4813142311690764e-21,1.2307159041418957e-28,3.6731211505430551e-22,1.7365033413628066e-27,1.1714546615704986e-27,1.73747095390909e-22,4.6261990155119027e-27,1.1662642377289136e-27,1.1341854412307234e-27,7.099917141759567e-35,1.5156177164087822e-39,1.4585954464913497e-22,3.8836641325684463e-27,2.7252725677343064e-35,3.8091418981808053e-23,1.4409303514811317e-28,5.8176321116920385e-40,3.5481807754997156e-35,9.0698965697489447e-47,1.6046398894004587e-50,1.337643083104302e-29,1.4197366996479648e-49,7.5120423176834284e-41,3.5852598586588189e-47,3.9254868958557816e-47,9.6949687223265131e-24,2.3930121357452068e-35,9.3713202041328465e-35,1.3819852488014089e-29,3.4614997148653542e-60,1.187564582657244e-46,1.2753506515430491e-46,2.6900894539116241e-51,8.977136019103879e-36,1.9489397807243697e-44,6.6484118725445521e-49,5.5059601208550078e-35,1.1753569839170747e-39,7.0215765080856497e-58,2.0089181738820004e-35,2.5645421614177687e-47,1.4283297775956172e-62,1.1030647973983504e-47,5.5005495521401937e-35,1.1742018319317299e-39,7.5055110464374188e-41,8.7968038322544359e-45,7.4230614070624095e-30,1.0033775042080826e-56,2.684705745294753e-57,2.107389660625315e-63,8.8021598838706664e-38,1.878994891472192e-42,2.9294215965774705e-49,5.1684178575505796e-53,6.725881187000504e-67,6.5538802231669614e-71,1.2494064912873525e-78,1.0716953923857361e-62,7.5406060973757957e-63,1.6167294557266293e-43,7.8835091762308292e-56,7.6565732813634282e-65,5.5260912761625509e-75,5.6469465876459304e-76,1.7209170369347597e-75,7.0952470889556646e-74,5.3739067556853559e-74,1.2522577197853599e-80,1.7077468556781829e-83,3.405796920806664e-33,3.3973509095938155e-52,8.9588988620940857e-26,2.6579104257638726e-57,1.6795876072425937e-66,1.1861744025427049e-30,4.2574545865934506e-92,1.4346175632073763e-93,1.1758914914004709e-94,7.339172856619999e-45,1.5273725970295533e-46,2.9681644448951562e-92,2.3212110687301605e-98,8.2544848996220702e-99,1.8044305890311307e-105,2.4579070135924257e-45,1.4866017729253833e-106,1.6493242155789578e-38,6.0647456836378969e-36,3.1522444517082215e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.3154108437639527e-44,6.295793242892933e-47,6.3771514237658294e-49,2.7360713768915977e-50,1.0241661491017389e-46,2.1648443111057052e-51,2.8303282687538619e-55,2.4519341008064595e-56,5.984039262220706e-51,1.2873548941950541e-55,7.6747962237598356e-59,1.5860819210800115e-63,3.7000549658897987e-69,1.1204225704656157e-69,1.3858010884771365e-73,1.3857908274550692e-73,2.2799838483672348e-75,9.6413209747973211e-60
2.55e-13,0.0026236326867463905,3.0549687363427638e-21,3.0549684443616562e-21,2.9709398144698218e-21,2.9709376506173554e-21,4.9440619260764259e-28,7.3668555396958344e-22,6.9759213250853476e-27,4.7059965160613378e-27,3.4845985455863359e-22,1.8584047202028659e-26,4.6851451509997521e-27,4.5562772284278834e-27,5.7086721513890211e-34,2.4382186876201576e-38,2.9252978304983872e-22,1.5601190567391044e-26,2.1912534253758103e-34,7.6396354496024712e-23,5.7885289391526778e-28,9.3590117991316203e-39,2.8529470887849668e-34,2.9182144681195418e-45,1.0326819654452123e-48,5.3735697783060518e-29,2.2883444803769084e-48,1.2083322842393294e-39,1.1560529853307703e-45,1.2630979634389978e-45,1.9444357382471351e-23,1.924101174305017e-34,7.5349206145025534e-34,5.5517002786051995e-29,3.2006921691501938e-58,9.5485245298366058e-46,4.0472743014360834e-45,4.3267576999498268e-50,7.2182198695328599e-35,3.1353157091473592e-43,2.1395303672358578e-47,4.4269660794325758e-34,1.8907949208258176e-38,2.259082874186351e-56,1.6152707734193428e-34,8.2527047985306674e-46,9.1917910342166502e-61,3.5497063385807646e-46,4.4226180750516876e-34,1.8889373416489978e-38,1.2074115971563292e-39,1.3952196959980206e-43,2.9820143726978411e-29,5.3420975554999701e-55,2.8610230969523483e-55,4.4932097110479132e-61,7.0773823755578616e-37,3.0228049189798546e-41,9.4253553025904546e-48,3.3261941779841572e-51,8.0931943584912793e-65,8.4357232556792339e-69,3.2120240083847825e-76,9.7590531505658401e-61,1.3741864763566507e-60,2.6009181408196675e-42,1.2682365466370578e-54,1.9640013228343032e-63,2.1936727639241636e-73,2.9384713887454385e-74,1.5246599805838187e-73,1.161795592034613e-71,4.3966148243992484e-72,1.3034500939441608e-78,3.558281256827468e-81,1.3681861707208362e-32,1.093308674547761e-50,1.7964936302555128e-25,1.7108667064850076e-55,3.5812135393523073e-64,4.7650847963175787e-30,1.7147451321483918e-89,1.0733255037978375e-90,1.7597784331874732e-91,1.1570650782872171e-43,4.8184972805125367e-45,2.5388448123133694e-89,3.9711370857539311e-95,1.4121808116867856e-95,1.7417690324174352e-102,9.8739335655028597e-45,2.8701822022054991e-103,1.3261652759212662e-37,4.8764643072633803e-35,1.5038804584932975e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.1161592528153587e-43,6.0795135813725164e-46,6.1612286383611152e-48,5.318077726563439e-49,1.6476435450030464e-45,1.7404678674441372e-50,4.5497011403394713e-54,3.9433647774276401e-55,4.8113762782510297e-50,2.0709646476632345e-54,1.2345232613919435e-57,5.1035656426288416e-62,2.3753025410082831e-67,7.2093346360098748e-68,1.7832628233242873e-71,1.7832364179700943e-71,2.9342527109005789e-73,1.5509537997124158e-58
5.11e-13,0.0026236326867463905,6.118476066937239e-21,6.1184748965366607e-21,5.9501827497448721e-21,5.9501740759910507e-21,1.981820068535727e-27,1.4754326984081608e-21,2.7962861876526703e-26,1.8863921323350312e-26,6.978572550125844e-22,7.4490419421544096e-26,1.8780336780581353e-26,1.8263769979042295e-26,4.5780850952591395e-33,3.9113964226140507e-37,5.8584673131749322e-22,6.2534263692188111e-26,1.7572884292565203e-33,1.530055034829066e-22,2.3203141588544286e-27,1.5013802181149278e-37,2.287993512844307e-33,9.3600438143542792e-44,6.6248954061305744e-47,2.1539535070896263e-28,3.6744822604439626e-47,1.9382347750976912e-38,3.7131025124033988e-44,4.0525398175477822e-44,3.8943179657644393e-23,1.5430465454287859e-33,6.0425409704917768e-33,2.225355314478429e-28,2.6262546581644726e-56,7.6573669543548827e-45,1.2635851958933486e-43,6.9382118978330817e-49,5.7889503224784479e-34,5.0296783042022014e-42,6.8651560483532728e-46,3.5500753890050037e-33,3.0331012717259401e-37,7.245329982357647e-55,1.2953783210090134e-33,2.6478911443467731e-44,5.8962769704260628e-59,1.1389538058518316e-44,3.5465922655031773e-33,3.0301237373219182e-37,1.9368621236385175e-38,2.1768080345224741e-42,1.1953393940674583e-28,2.5429509378348706e-53,2.7268606280001289e-53,8.5691641847707128e-59,5.6757674037370152e-36,4.849225448587829e-40,3.0231546565173913e-46,2.1338406102050201e-49,8.2454617239037614e-63,1.0822835461875119e-66,8.2196934126438728e-74,7.8973998404511855e-59,2.2256262988826872e-58,4.1725213019236234e-41,2.0344867455158352e-53,4.4786914724491099e-62,6.8824671388812575e-72,1.273179330869626e-72,1.0175262569378396e-71,1.7256391703590202e-69,3.2631527824127776e-70,1.128028747993562e-76,6.1648234693271242e-79,5.4843635316200887e-32,3.5081523729556528e-49,3.5967584032086577e-25,1.0979996699534596e-53,6.830357370698416e-62,1.9100421352081147e-29,5.5675953135087508e-87,6.1001740827221566e-88,2.0007398844130946e-88,1.7847260846759589e-42,1.4875341970170546e-43,1.9398867589478673e-86,6.0689750661015528e-92,2.1581960205747346e-92,1.4411706238397307e-99,3.9579276143766783e-44,4.7500895334885884e-100,1.0635698064474458e-36,3.9108852638425366e-34,6.629250645614932e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.3948095949960283e-42,5.4082236324091601e-45,5.4822979904464704e-47,9.5090078070988504e-48,2.6432738648512934e-44,1.3955007279482358e-49,7.2873401762415089e-53,6.3223244807361976e-54,3.8583730521465732e-49,3.3221152469612601e-53,1.9799653426255598e-56,1.6371973176611074e-60,1.5162942927211592e-65,4.6233485586437935e-66,2.2867343905529685e-69,2.2866666857422051e-69,3.763573803879942e-71,2.4878081041686793e-57
