Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654),S(11179),S(11193),S(12065),S(11559),S(10226),S(11013),S(13044),S(13047),S(14368),S(13836),C5H8(9850),S(15615),CHO(330),S(16928)
0.0,0.0030284168357042934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0030284168357042934,3.5132629507126397e-23,3.5132629476672512e-23,3.4135821592159556e-23,3.4135821471679837e-23,4.7653592265431147e-32,5.2851283109990794e-24,4.1645791430290078e-31,2.8046082726156458e-31,2.5027015878508045e-24,6.7850521671207205e-31,2.7927310712418077e-31,2.7134937223178098e-31,3.0127429323136579e-40,8.1678207482777334e-47,2.0960499756349814e-24,5.682582588899851e-31,1.1334688852757546e-40,5.3854934474003993e-25,2.1795628756391097e-32,3.0729374738867426e-47,1.5747409835305546e-40,9.2371672504313074e-56,2.9736239471398582e-61,3.6749154860148273e-33,8.2273099480404269e-57,3.9089072367779091e-48,3.1594638900051191e-56,2.8027501382269681e-56,1.5032259848876299e-25,4.8984325662080263e-41,2.5213167076393253e-40,3.8114027372391686e-33,2.8431652951977828e-72,8.9936697726331728e-52,1.1441499187146439e-55,2.6185687212624998e-58,3.004848112349189e-41,1.6407884243066069e-51,1.0607738223308691e-57,1.6205375820662349e-40,4.3934251364274802e-47,1.2547367831383267e-66,4.1025104786629697e-41,1.9493282867781148e-56,3.4017058484631446e-73,6.3666878699186281e-57,1.6192838112966934e-40,4.3900260376462383e-47,3.8258888709265716e-48,4.701254253061506e-52,1.1949307462158018e-33,3.0164394779073808e-67,1.3064853624745288e-69,1.4146468580934482e-77,2.8424188473071197e-43,7.7060566313170032e-50,2.3164198801851845e-58,7.4372736095003675e-64,3.2838048075904213e-80,2.4673555312350329e-83,1.1427282036108507e-92,7.0720775792705825e-75,8.0512905799199952e-77,1.1165367475916556e-50,9.0204668308013361e-63,1.8951755802953537e-73,3.1338449430127704e-85,2.1328866025592566e-87,1.2660227383781618e-88,3.4276356304083892e-87,1.6417534433876938e-85,6.440839898160045e-94,1.4061292169776595e-98,6.493741009669585e-37,6.0957987044793349e-61,2.4964662376297248e-27,9.7522155077443247e-68,1.3108000203544935e-80,2.1618124666451425e-34,8.9413749856153476e-109,5.3978795558901156e-112,7.4851135776174434e-115,3.936951818227655e-52,1.3768758795475623e-55,-4.5319640429437853e-110,-4.907160346534643e-118,-2.7268896371155666e-118,-3.72632116535872e-124,9.5248975438474403e-49,-5.3652332837252147e-127,3.6283821808330439e-44,2.0263476802011247e-41,4.7074589607137374e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.1054952062932909e-51,1.3552275511159758e-53,1.5071676955222709e-55,1.0443547397908667e-58,5.6077284757446977e-54,1.0727767091588562e-56,1.8181624368453993e-62,1.5617339389622401e-63,2.7367084851086689e-56,9.3532331229141066e-63,8.0499684591665954e-66,2.1824197231662308e-72,8.5699188806735521e-80,2.9880465982287523e-80,5.0642535991496935e-86,5.0642528224059258e-86,1.1282140851286936e-87,7.3423198860748377e-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5552471256372307e-78,0.0,0.0,0.0,0.0,0.0,3.698981553033341e-99,3.8062520857732052e-110,2.2202728765713373e-73,5.5882673889754569e-80
3.0000000000000002e-15,0.0030284168357042934,1.1543578179212988e-22,1.1543578159200425e-22,1.1216055570691817e-22,1.1216055491519426e-22,3.1315217653171952e-31,1.7365421634541137e-23,2.7367234215745413e-30,1.8430282870932735e-30,8.223160116253384e-24,4.4587479996563875e-30,1.8352232681555074e-30,1.7831530098878703e-30,2.8405859081166238e-39,1.0034750384987007e-45,6.8870194773074132e-24,3.734268089608551e-30,1.068699137978545e-39,1.7695192371257487e-24,1.4322841614657502e-31,3.7753229002395677e-46,1.4847557043134067e-39,1.3987700194492884e-54,5.3525198169824597e-60,2.4149443657146482e-32,1.059348908272018e-55,4.7796847135129024e-47,4.9708315141892366e-55,4.2278975218552906e-55,4.9391711510216391e-25,4.6185217243119398e-40,2.3772411172194644e-39,2.5046359834027089e-32,5.9216998198674685e-71,8.4797448427632027e-51,1.7324902829344044e-54,3.2170956608983137e-57,2.8331424968164298e-40,2.0158255585912651e-50,1.6063145171323097e-56,1.5279351620692684e-39,5.3976358363700734e-46,1.900028310430316e-65,3.8680809700286937e-40,2.9518395321565386e-55,6.1230659769509972e-72,9.6409833933072926e-56,1.5267530396675918e-39,5.393459809059598e-46,4.7003771173453984e-47,5.7754995232024322e-51,7.8524020848963519e-33,5.6039323479119739e-66,2.8004498655592709e-68,3.4364784404111198e-76,2.6799946916671016e-42,9.4674403609782656e-49,3.5077189964798495e-57,1.338708435361163e-62,7.929889881159334e-79,5.1461953786645359e-82,2.7098896550266046e-91,1.4727580746048204e-73,1.9067157675244034e-75,1.371745090189238e-49,1.1082286876592466e-61,2.8669113402807747e-72,5.6309843266798279e-84,4.4085577189872294e-86,2.9690837347119654e-87,8.1080387191201658e-86,3.4144797846626954e-84,1.5153046856266829e-92,3.7098821703092273e-97,4.2673155250489981e-36,9.2307803063332e-60,8.202660391902705e-27,1.7553986971608488e-66,3.1842126233629994e-79,1.4206195835261424e-33,2.6143746331635958e-107,1.7322978345605569e-110,2.615997358142323e-113,4.836432939194563e-51,2.0848458273185003e-54,1.8772371494029674e-108,1.8924469610725509e-116,1.0516253012038631e-116,1.4430315174466176e-122,6.2592182893927271e-48,1.9244138576094192e-125,3.4210460471854607e-43,1.9105563815820554e-40,4.4004170214279139e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.3581797269437293e-50,1.6537570006121536e-52,1.8675949777205734e-54,1.5924910177847039e-57,6.8894949697109027e-53,1.0114747447882919e-55,2.2337347954760971e-61,1.9186994160115127e-62,2.580324684078054e-55,1.1491113131483785e-61,9.8899572497750979e-65,3.3048058797763173e-71,1.5425741289363397e-78,5.3784793896255154e-79,1.0562575071355669e-84,1.0562573229365551e-84,2.3531305404429982e-86,9.020563268551795e-66,4.3077127601807391e-119,3.4242488482636198e-127,6.5192150763266067e-135,7.0556103607383497e-142,1.2484538282925533e-151,8.1144884338667288e-157,4.5668335444962702e-157,1.1440800849270334e-76,4.9945043489905862e-152,2.7103690792763753e-162,1.7051226033523781e-167,1.347702488994348e-173,7.0149204333728541e-174,8.7718649852301703e-98,1.011374947598293e-108,3.9964896068666359e-72,1.1655525171579389e-78
7e-15,0.0030284168357042934,2.5596629313154446e-22,2.5596629204390524e-22,2.4870383478276927e-22,2.48703830479922e-22,1.7019139600079606e-30,3.8505935194253408e-23,1.4873496316247109e-29,1.0016457857817905e-29,1.8233949297514264e-23,2.4232306022115699e-29,9.9740392450850868e-30,9.6910486967592339e-30,4.5879724109608427e-38,5.0757117850697462e-44,1.527120506105696e-23,2.0294918690012947e-29,1.7261096001713859e-38,3.9237163218700377e-24,7.7841525579497508e-31,1.9096092897283473e-44,2.3981042387214231e-38,2.3100566866326306e-52,2.9799613782204274e-57,1.3124694226176303e-31,6.05663865353184e-54,2.3918513952317693e-45,9.3532261069549608e-53,6.902264564572254e-53,1.0952075533014663e-24,7.4596062970650916e-39,3.8395994109137096e-38,1.3612148509395694e-31,1.1062541792476858e-67,1.3696058772135948e-49,2.859261951829507e-52,1.6272333320195571e-55,4.5759542306590284e-39,1.019631353683589e-48,2.6528403983217132e-54,2.4678427584897345e-38,2.7301949081702839e-44,3.1378733454796647e-63,6.2475318287045611e-39,4.8749798574230497e-53,3.4089473051682919e-69,1.5922148001431087e-53,2.4659335157159401e-38,2.7280826658983054e-44,2.3775124563490554e-45,2.919343419361924e-49,4.2676099643213399e-32,3.5318157207233944e-63,6.1214493647173259e-65,2.6516311973860748e-72,4.3285942074518241e-41,4.7887595327070341e-47,5.7929684415466779e-55,7.4531248759828635e-60,5.3484512026786048e-75,9.8955780576344958e-79,1.8333615680203879e-87,2.7436644637830678e-70,1.2496136087044438e-71,6.9384746203151512e-48,5.6055696060313119e-60,4.6637747656674645e-70,3.025704775980055e-81,7.0936419157651555e-83,1.6365195686559387e-83,5.1768358319066604e-82,6.1979870537482739e-81,8.5692984409692732e-89,7.4835819327957885e-93,2.3191932357241474e-35,1.5244706227311301e-57,1.8188415236987966e-26,9.773103189851019e-64,2.4569846241244749e-75,7.7207572830348591e-33,1.9000637228658534e-102,4.5689877179309599e-105,2.5342860618837566e-107,2.4439480864399908e-49,3.4397505190055537e-52,2.6697351922667729e-103,1.1563057342223493e-110,6.4255466051735174e-111,7.5157854893639755e-117,3.4017487258687837e-47,4.3285544749284083e-119,5.5255073457392452e-42,3.0858379641900056e-39,6.5930627207787753e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.8698565566153097e-49,7.753030275809852e-51,9.0746520278083771e-53,2.5311475719561458e-55,3.4848024580480689e-51,1.6336784761998242e-54,1.1298079151401351e-59,9.7049108788663443e-61,4.1676085265720172e-54,5.8123541400622036e-60,5.0024540755880169e-63,5.4578902077862353e-69,8.5870964654912681e-76,2.9944022998903569e-76,2.0310521220571845e-81,2.0310508758096199e-81,4.5248085075715763e-83,4.5627196969580773e-64,1.5814030839212145e-114,5.0283336487799778e-122,3.8292581026995926e-129,1.6577311413233418e-135,1.1732722414529556e-144,3.0503338989734912e-149,1.7167280199568967e-149,1.8894542603733446e-74,4.6938795378364421e-145,1.0188723690859907e-154,2.5639254339553865e-159,8.1059473994988577e-165,4.2192233950229797e-165,5.9349223010264531e-94,2.4429128392916644e-104,2.2250140579354192e-69,2.2412457933158425e-75
1.5e-14,0.0030284168357042934,5.3702729878359788e-22,5.3702729397188234e-22,5.2179037437101475e-22,5.2179035533522051e-22,7.5292670439345447e-30,8.0786963117313162e-23,6.5800343733588542e-29,4.4312807915250135e-29,3.8255483954344626e-23,1.0720357439831674e-28,4.4125147740662708e-29,4.2873197450052544e-29,4.2668942591285213e-37,9.7619212621498499e-43,3.2039539780828465e-23,8.9784598440536593e-29,1.6053122237258642e-37,8.2321097424457223e-24,3.4437087289653699e-30,3.6726785674019366e-43,2.2302802029224269e-37,9.0627579757611913e-51,2.3637821789023876e-55,5.8063622170097464e-31,1.2021956693343674e-52,4.5881412689988593e-44,3.78688411455096e-51,2.7008402451836151e-51,2.2977885423205442e-24,6.9375649633072758e-38,3.570891928968334e-37,6.0220118737794208e-31,1.6972203136683643e-65,1.2737571251863057e-48,1.1206399060022876e-50,3.1295464287469874e-54,4.2557230482637234e-38,1.9610167836777519e-47,1.0407705460700919e-52,2.295134180642693e-37,5.2508732830411181e-43,1.2310387559157266e-61,5.8103145035684746e-38,1.9125642421876598e-51,2.7040559864105833e-67,6.2466218011031012e-52,2.2933586424510379e-37,5.2468110286533454e-43,4.5725738163269597e-44,5.6089564630328382e-48,1.8879907478484732e-31,2.8417487299801786e-61,9.9074772887821243e-63,8.6086332872024525e-70,4.0256690395796017e-40,9.2100393154189098e-46,2.2726835803606699e-53,5.9120116670181847e-58,1.4773164211412939e-72,1.578959517217888e-76,5.8676565002798829e-85,4.1940273129221939e-68,3.8322882373994179e-69,1.3344511051897008e-46,1.0780975757992898e-58,1.7906990199031669e-68,2.2844181874616247e-79,9.1185823768466505e-81,4.143291976596252e-81,1.536386233833466e-79,9.1676887776752813e-79,2.2110332741361311e-86,3.8690898745815294e-90,1.0260110989408166e-34,5.9808524085407386e-56,3.8159644664113203e-26,7.7523882062230195e-62,7.9767274833519226e-73,3.415662049674252e-32,1.9618425806170247e-99,9.3870058813580407e-102,1.041592783413507e-103,4.6934924627422967e-48,1.3475670558801409e-50,3.3751580290938029e-100,2.9248231715041686e-107,1.6253133288572774e-107,1.5949860537753559e-113,1.5049333833490452e-46,1.8376276399113867e-115,5.138824993500124e-41,2.8698871025955309e-38,5.501565686437009e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.3212532991814064e-47,1.343657788958204e-49,1.5867064241773331e-51,9.0488679022203655e-54,6.7021957480393211e-50,1.519342164237792e-53,2.1727858022678676e-58,1.8664710044429034e-59,3.8759442039487225e-53,1.1178661255775435e-58,9.6209716255235746e-62,2.1412441984562338e-67,6.8103441469111857e-74,2.3752237561699782e-74,3.2407518831606109e-79,3.2407478942945225e-79,7.2198641665513098e-81,8.7752958275409498e-63,1.4558345962317245e-110,9.2585746700324187e-118,1.4101831177893611e-124,1.2209859710395817e-130,1.7282661614605899e-139,8.986499756909133e-144,5.0576035680655458e-144,7.4127509581253633e-73,6.9145101009216445e-140,3.0017173128172051e-149,1.5107202062445561e-153,9.55240583265277e-159,4.9721191985827072e-159,1.8996283067443081e-91,1.5662134304332349e-101,1.764948485464732e-67,3.5762113332403762e-73
3.1e-14,0.0030284168357042934,1.0991492419806104e-21,1.0991492219245471e-21,1.0679633792936879e-21,1.0679632999492084e-21,3.1383289541383919e-29,1.6534902217793844e-22,2.7426722318475976e-28,1.8470346260521588e-28,7.8298378446061973e-23,4.4684190718915909e-28,1.8392126053094731e-28,1.7870291352893494e-28,3.6012416532454732e-36,1.659745820275875e-41,6.5576063430132988e-23,3.7423680005816258e-28,1.3548774622052201e-36,1.6848893587946996e-23,1.4353972850323045e-29,6.2443798338007473e-42,1.8823500208454914e-36,3.0937325821446248e-49,1.6171302060311083e-53,2.4201905257472048e-30,2.0753632807991922e-51,7.7912268780164836e-43,1.3130434262316352e-49,9.2083824845527889e-50,4.7029509708323427e-24,5.8552789630009364e-37,3.0138144898109196e-36,2.5100769500925817e-30,2.1587416726430566e-63,1.0750455812191937e-47,3.8180727395254272e-49,5.3207674636061635e-53,3.5918229883475258e-37,3.3341655767492333e-46,3.5529537282108286e-51,1.9370797861378309e-36,8.927644919997551e-42,4.2023408534868129e-60,4.9038839415782289e-37,6.5290391113832618e-50,1.849909020583182e-65,2.1324514190654005e-50,1.9355813896356792e-36,8.920738645726863e-42,7.7743873066904075e-43,9.5173676830715451e-47,7.8694740012378889e-31,1.9104802440124632e-59,1.3338143840419539e-60,2.3193657325979646e-67,3.3976502387468152e-39,1.5659142644337961e-44,7.7582093735640855e-52,4.0445755216147044e-56,3.0658630269149241e-70,2.1626575140853098e-74,1.6079181348507053e-82,5.300115856066844e-66,9.6926904734799455e-67,2.2688697831457837e-45,1.8330077417846817e-57,5.8645437152997116e-67,1.4213725365253907e-77,8.7887145279292704e-79,7.7369111623969023e-79,3.6762422057828914e-77,1.0959275359648606e-76,4.2667569196436414e-84,1.4942614375990967e-87,4.2765924677683807e-34,2.0417283140507053e-54,7.8100982501129666e-26,5.3037790107966134e-60,2.1491277808286469e-70,1.4237064454939742e-31,1.508580994430047e-96,1.4279710371468915e-98,3.1692561593880176e-100,7.957034164051372e-47,4.587276896460093e-49,3.7228207921223224e-97,6.4525710383536713e-104,3.5856705608954103e-104,2.6630795818521186e-110,6.2728215350916822e-46,6.1368077821564996e-112,4.3371591632405695e-40,2.4221799177359503e-37,3.8580018786700245e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.2464280025295495e-46,1.9099141235781598e-48,2.2648736355799918e-50,2.6015101382773436e-52,1.139526871541917e-48,1.2823066385034492e-52,3.6937858332462634e-57,3.1732948669044903e-58,3.2712742105157116e-52,1.9006180823729983e-57,1.6357624306779141e-60,7.3096378189355897e-66,4.6575655190113656e-72,1.6249395401925114e-72,4.4386646081114236e-77,4.4386536759560759e-77,9.8888041937936207e-79,1.4919948286821597e-61,3.7530842044662936e-107,4.7743139821316718e-114,1.4544614569873712e-120,2.518735316152466e-126,7.1299218663013089e-135,7.4147803236529157e-139,4.1730415971863176e-139,2.5305346691809934e-71,2.8527968530530354e-135,2.4768012032966941e-144,2.4930621935574585e-148,3.1527731895728325e-153,1.6410490026767464e-153,5.2064520712388487e-89,8.5875234787928084e-99,1.2074648271731092e-65,4.8983257293467228e-71
6.300000000000001e-14,0.0030284168357042934,2.2233928559463237e-21,2.2233927742168034e-21,2.1603090921238358e-21,2.160308768790907e-21,1.2788858594826901e-28,3.3447315315693031e-22,1.1176535453891748e-27,7.5267651757492505e-28,1.5838346814830172e-22,1.8208952506922826e-27,7.4948898636610394e-28,7.2822393240866881e-28,2.9474029710307893e-35,2.7229898953576911e-40,1.3264852757316262e-22,1.5250271951510983e-27,1.1088875650307868e-35,3.4082449296361239e-23,5.8493193789301917e-29,1.0244575693011924e-40,1.5405960195705729e-35,1.0162628091316122e-47,1.0630665998838669e-51,9.8623910445919457e-30,3.4308293340925395e-50,1.2774486331002376e-41,4.3473434451604147e-48,3.023128531611872e-48,9.5132776296845506e-24,4.7922021556158639e-36,2.4666221264438378e-35,1.0228682316932036e-29,2.4844098783564257e-61,8.7986059328495471e-47,1.2493533289922059e-47,8.7287481203040461e-52,2.9397103385133065e-36,5.4700431179546011e-45,1.167178100376062e-49,1.5853781000433455e-35,1.4646691457849817e-40,1.3804124347894866e-58,4.0135414400525732e-36,2.1448365965005972e-48,1.2160744623647057e-63,7.0052796330476096e-49,1.5841519971548279e-35,1.4635362519934012e-40,1.2754661869973285e-41,1.5551991370954916e-45,3.2068539906529761e-30,1.1883356592541892e-57,1.6603000414415893e-58,5.7758786424938368e-65,2.7807782400214995e-38,2.5690517436232348e-43,2.5485022547848936e-50,2.6588185253213956e-54,5.2306097950271765e-68,2.8441991467984128e-72,4.2284463769375096e-80,6.0364265380837933e-64,2.2088099293413648e-64,3.722333320643217e-44,3.0072438037418631e-56,1.7816949232446406e-65,7.8272398978652094e-76,6.8539877900113286e-77,1.1364059654310833e-76,7.7123867228878151e-75,1.1488984046472253e-74,6.6602404535753759e-82,4.6678307834533418e-85,1.7427346983315907e-33,6.7072755021945419e-53,1.5797917438578572e-25,3.4867887697995933e-58,5.3519983470370777e-68,5.8016745409148194e-31,9.3385519612867821e-94,1.7300414030718736e-95,7.6799949500373047e-97,1.297978593680722e-45,1.4984933752183781e-47,3.7510486055246757e-94,1.3003551778275041e-100,7.2260290042707761e-101,3.6155651104634988e-107,2.5562071197173515e-45,1.6664583063435041e-108,3.5497265777743329e-39,1.9824217303801839e-36,2.3537115472825941e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.6855068441768503e-45,2.357104268395497e-47,2.8009711086131855e-49,6.4709156675301647e-51,1.8695254118831057e-47,1.049472349489478e-51,6.0586150723712704e-56,5.2057190993746247e-57,2.6773324708863767e-51,3.1181489835231892e-56,2.6835810686524637e-59,2.4012294035401106e-64,3.059704671773333e-70,1.0681764207745581e-70,5.8371947623109075e-75,5.8371660057586971e-75,1.3005050176476325e-76,2.4477682962062621e-60,8.3436339485955359e-104,2.1228593908049633e-110,1.2934459796445571e-116,4.4798344873742572e-122,2.5358602712393657e-130,5.2743538336425768e-134,2.968411466075931e-134,8.312975924738056e-70,1.0148035127724779e-130,1.7619330140242686e-139,3.5469365685460551e-143,8.9710470739202104e-148,4.6695181195050062e-148,1.3696408463655786e-86,4.518495859597688e-96,7.9377955573991239e-64,6.4422189027776803e-69
1.2700000000000001e-13,0.0030284168357042934,4.4718789941650493e-21,4.4718786643496938e-21,4.3449993297239185e-21,4.3449980249304545e-21,5.1608807315884493e-28,6.7272146654362717e-22,4.5102350416967384e-27,3.0373890281887268e-27,3.1855085048062664e-22,7.3480566005047046e-27,3.0245257755197282e-27,2.9387116165189096e-27,2.3828828401804967e-34,4.406829489300762e-39,2.667911232799007e-22,6.1541089406924688e-27,8.9650181079000623e-35,6.8549512782932657e-23,2.3604627842213649e-28,1.6579622073993922e-39,1.2455300651715618e-34,3.2905156868405529e-46,6.8857053901844684e-50,3.97990711675053e-29,5.5735499796311166e-49,2.0667511965519913e-40,1.4133057611792517e-46,9.7864361249599238e-47,1.913393815417566e-23,3.8743502251788755e-35,1.9941760918823923e-34,4.1277215688474187e-29,2.5750476815925508e-59,7.1133882671881851e-46,4.0142002282881588e-46,1.4124681759894299e-50,2.3766894251660653e-35,8.8525675204217916e-44,3.7795812604928651e-48,1.2817172103394622e-34,2.3703698119098677e-39,4.4694640776109308e-57,3.2448270643802393e-35,6.9453716996994705e-47,7.8765632099475845e-62,2.2684516920342766e-47,1.2807263420046375e-34,2.3685368591027582e-39,2.0641717503195367e-40,2.4969888934358787e-44,1.2941110447876925e-29,6.8838198535723135e-56,1.924713703545006e-56,1.3395134447513907e-62,2.2481764681235185e-37,4.1577073656457955e-42,8.2517010370896507e-49,1.7221746227573345e-52,7.44116994441357e-66,3.6848251541720235e-70,1.0949372684405655e-77,6.1670079770381665e-62,4.5154662490904662e-62,6.0241803021215117e-43,4.8668576493651515e-55,5.0143658780372415e-64,3.7072975018111137e-74,4.3529246641824102e-75,1.2928619890695252e-74,1.4222918924398616e-72,1.0586845632277976e-72,8.4647715432814661e-80,1.1873769405112354e-82,7.0327227170038315e-33,2.1719705487552328e-51,3.1771762523378542e-25,2.2587234598179929e-56,1.2412372707167857e-65,2.3412326864730643e-30,4.6642571791093601e-91,1.6570083062108635e-92,1.4713182322815674e-93,2.0768917411437341e-44,4.7985172814028639e-46,3.4996917326561144e-91,2.4265335205608272e-97,1.3484166867006936e-97,4.0958878373122297e-104,1.0315437465769458e-44,3.7759659286484048e-105,2.8698728311245379e-38,1.6027434716676071e-35,1.2550414806290979e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.964554109106047e-44,2.545033388458376e-46,3.0273950933684952e-48,1.407274839046418e-49,3.0256333619055184e-46,8.484337085926658e-51,9.8004974143574794e-55,8.423502254002122e-56,2.1645204142030494e-50,5.0462899193957448e-55,4.3428521794053022e-58,7.7753627573619526e-63,1.9791480849196154e-68,6.918493982139283e-69,7.5617147976906317e-73,7.5616402947628591e-73,1.6848488264344974e-74,3.9613901288876107e-59,1.7698190392745794e-100,9.0059447630961183e-107,1.0974554322448633e-112,7.6020677064850216e-118,8.6036863476022722e-126,3.5789693037886743e-129,2.0142512450567056e-129,2.6918843233526794e-68,3.4441519929508323e-126,1.1957286221619285e-134,4.8140444480952451e-138,2.4351721159254995e-142,1.2675316396481002e-142,3.5490394575385011e-84,2.3417264393658493e-93,5.141716655111535e-62,8.3468744040582416e-67
