Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790)
0.0,0.0026544484056650534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0
1e-15,0.0026544484056650534,5.3745709450536121e-19,5.3745707987057047e-19,5.178183437738643e-19,5.1781834978384232e-19,2.157566652247676e-26,5.4904984864304092e-21,8.5919557403563826e-27,5.7374949845364456e-27,2.66742770417566e-21,8.2504549359089753e-28,5.7081573037985236e-27,5.499580608066484e-27,6.4539984560406523e-35,1.9962461615042908e-41,2.1786856394846597e-21,6.7387578881069703e-28,2.026019412564426e-35,4.720750575437734e-22,3.5148803780475308e-29,6.2665546540250662e-42,5.0666427032135252e-35,1.6645356433364057e-49,2.445287757892599e-54,4.6572246488829897e-28,3.264415804723217e-50,1.0591260999764431e-42,1.2636866593948638e-49,1.384290398121019e-50,3.9888556327277395e-22,3.4347168158064191e-37,4.381893443589705e-36,5.528373720641088e-28,3.5703612176351445e-63,3.2899436773063874e-43,2.9571536392548023e-49,1.2297094641880014e-49,3.5755025140530946e-36,2.3808346447372467e-44,1.1777963727771252e-49,6.5983076371770486e-36,2.0408817616090408e-42,3.4115943750795657e-57,2.8053877295235901e-37,1.3270956820029646e-50,1.0552193500797004e-63,1.7113800377248984e-51,6.6078015598812255e-36,2.0438180618059517e-42,6.9933661743943377e-43,5.0176134912459726e-46,4.2364341540182869e-30,1.8439800495553993e-58,1.226189158352218e-60,1.9064499342395266e-68,3.3673904259556439e-38,1.0415467035241472e-44,2.7665786568798164e-52,4.0604833678665152e-57,1.6461625518478672e-69,4.4198909622509208e-73,1.0918908608534856e-80,5.8472819322030763e-66,9.6691818133495044e-68,3.2730798637494871e-44,1.7991101711713994e-53,3.0943068975744825e-63,4.0612457030630007e-74,7.71793397353734e-76,5.2063926386471215e-77,4.3628284994131274e-74,1.7862532083788742e-72,3.0046388169705096e-82,8.5120741440562057e-87,8.9752305282533474e-33,2.1801463372644914e-52,2.2657239085054144e-22,4.991296213668836e-58,6.8511324466255806e-71,2.4227785534777646e-30,3.4837416217160778e-95,3.6015778969307913e-98,1.0376415995045206e-100,4.0971805114878865e-46,3.4482180063841789e-49,-3.1357904444915578e-97,-4.8754780113179384e-105,-3.4711207547502525e-104,-9.8863905991502843e-109,7.8115167628455005e-40,-3.8421412488903109e-111,4.6938454310749089e-40,2.3882218811872626e-36,8.9707260192804479e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.590375452051869e-44,2.9039890597843715e-45,1.3394556700381837e-46,1.9283605382703372e-49
3.0000000000000002e-15,0.0026544484056650534,1.3271899716094754e-18,1.3271898981368556e-18,1.2786942429887837e-18,1.2786942731613253e-18,1.0831865076040009e-25,1.3558173338501853e-20,4.313512371925066e-26,2.8804566495942972e-26,6.5869111065710198e-21,4.1420625543122602e-27,2.8657278813733974e-26,2.761013849433204e-26,5.452968706816229e-34,2.5340093127880699e-40,5.3800178233149668e-21,3.3831296300654314e-27,1.7117793276895131e-34,1.1657517609055228e-21,1.7646287789891833e-28,7.9546845614238444e-41,4.2807948830489669e-34,2.9553840062552916e-48,5.7788369272447586e-53,2.3381168304384766e-27,4.4395147445512079e-49,1.2089590339344627e-41,2.3793363910954014e-48,2.2466909298207328e-49,9.850031042192622e-22,2.9019838996193233e-36,3.7022502215119999e-35,2.7754691832987559e-27,1.0789837333002869e-61,2.7796661833901455e-42,5.2494675382072074e-48,1.5609600383648328e-48,3.0209348531780784e-35,3.0221989374796418e-43,2.0911874454297606e-48,5.574892715859568e-35,2.590668366301769e-41,6.0572578267350419e-56,2.3702653978031749e-36,2.3562700038975435e-49,2.4937409357035962e-62,3.0385708226758355e-50,5.5829143999928976e-35,2.5943956709429163e-41,8.8772885942391646e-42,6.3678259692297465e-45,2.1268628058369528e-29,4.5783067826647438e-57,3.8847021456602688e-59,7.5024610301227219e-67,2.8451006110086633e-37,1.3221261135405681e-43,4.9120620753535469e-51,9.5959550687920266e-56,6.4010213890051342e-68,1.3403890772047374e-71,4.1313039442272115e-79,1.7661395909044672e-64,3.645413582099912e-66,4.1548065676396045e-43,2.283768108587027e-52,5.4793531722858886e-62,9.5328517757463296e-73,2.2927386381783845e-74,1.9126822835975408e-75,1.6418619842210975e-72,5.3842661452098185e-71,1.1162771908402852e-80,3.8656617012689172e-85,4.5059328540671543e-32,3.8708684129576668e-51,5.5949495752270439e-22,1.1795747643622852e-56,2.6961323247054607e-69,1.2163342273333609e-29,1.8980125579807902e-93,2.3174290902452433e-96,7.7877766205542786e-99,5.1991655681476639e-45,6.1206405489192731e-48,2.5362155858507517e-95,4.4448183976847737e-103,3.1645111191823795e-102,8.9507771575932525e-107,3.9217000853366259e-39,3.8444946330032831e-109,3.9658464185931496e-39,2.0178039220249917e-35,7.4553930668256571e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999942,0.0001,0.10889011,2.018800564810599e-43,3.6349548171059093e-44,1.711582964301715e-45,3.4441264074978516e-48
7e-15,0.0026544484056650534,3.4770183800346838e-18,3.477017927849578e-18,3.3499673222670137e-18,3.3499675079630439e-18,6.6664401705254121e-25,3.5520198215310685e-20,2.6547386774103253e-25,1.7727688109577047e-25,1.7256603024049708e-20,2.5492145970924974e-26,1.7637039039872704e-25,1.6992579104962134e-25,8.5218985977172428e-33,1.079680362900637e-38,1.4094744798312509e-20,2.0821331125018146e-26,2.6751693040273585e-33,3.0541840127137185e-21,1.086071630425582e-27,3.3893005295241175e-39,6.6900248594977299e-33,3.6304790523626824e-46,2.1391223860382147e-50,1.4389872705009235e-26,2.0895878528215604e-47,4.4235476022124309e-40,3.2593913262454749e-46,2.3351186215013973e-47,2.5805451736670996e-21,4.5352153142807863e-35,5.7858627725165772e-34,1.708154442233288e-26,1.1996042399729829e-58,4.3440635249873185e-41,6.4390638117659385e-46,6.6503849778446148e-47,4.7211222687557897e-34,1.2876799103751354e-41,2.5689660876895195e-46,8.7124213145036897e-34,1.1038191537826988e-39,7.4406123426803807e-54,3.7042475098325161e-35,2.8946179675872049e-47,9.2305694856134721e-60,3.7328129871760002e-48,8.7249599432695865e-34,1.1054072763666065e-39,3.7823965093270443e-40,2.7090519395675052e-43,1.308971533029391e-28,1.8699562839893421e-54,4.9761013697240933e-56,3.0953916868100558e-63,4.4463231846905742e-36,5.6332629449603409e-42,6.0341194434048972e-49,3.5520857333005115e-53,2.2912798490316921e-64,1.5478665260472331e-68,1.5298242873905675e-75,1.9525178328662575e-61,1.2918534853625095e-62,1.7702656000373918e-41,9.730605732658439e-51,6.5895679498148381e-60,3.2753701523579172e-70,2.1387653036179451e-71,5.2147278425229586e-72,5.694632143694764e-69,5.8271418073231917e-68,3.3308647062637812e-77,3.774892418221799e-81,2.7731654030984879e-31,4.7552587556061473e-49,1.4657834053010824e-21,4.3665318708441103e-54,1.1123961419765994e-65,7.4859061703303873e-29,6.1608586086675035e-89,2.525740803812594e-91,2.9107472498722197e-93,2.2103466711996435e-43,7.5021840930590988e-46,1.1016025776990197e-90,6.8510609157829125e-98,4.8776695648436051e-97,1.1594593729644461e-101,2.4135987682607941e-38,1.8024034719833859e-103,6.1980371707111457e-38,3.1534276905817945e-34,1.0751607251311644e-41,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999907,0.0001,0.10889011,8.6015713851513279e-42,1.4252395601380301e-42,6.8928965355011198e-44,4.0038117989167232e-46
1.5e-14,0.0026544484056650534,7.7766752858273581e-18,7.7766731395911502e-18,7.4925126154479277e-18,7.4925134968293072e-18,3.1641370105896165e-24,7.9444338453824357e-20,1.2600362672011195e-24,8.4142114879619515e-25,3.8595931572170958e-20,1.2099457652371336e-25,8.3711850213084745e-25,8.0653003257727741e-25,8.4241479591147001e-32,2.1924555772446838e-37,3.1524153162708999e-20,9.8825311638119471e-26,2.6444851143560074e-32,6.831434728559418e-21,5.155198889583451e-27,6.8824944647566935e-38,6.6132856537200513e-32,1.4986573637012193e-44,1.7826744890814208e-48,6.8299613632661997e-26,4.3768534623616827e-46,8.5435098658675613e-39,1.3880514537083194e-44,9.1666869949968555e-46,5.7716287753290849e-21,4.4831863741377667e-34,5.7194740670007613e-33,8.107526851668253e-26,1.9058458836692126e-56,4.2942375934537443e-40,2.6520597133451554e-44,1.350304743661102e-45,4.6669781224828032e-33,2.6148102141624389e-40,1.0605234397715125e-44,8.6124521931895219e-33,2.2414657894310793e-38,3.0712881849365252e-52,3.6617531391762244e-34,1.1949626878136361e-45,7.6919792784294e-58,1.5409918639090995e-46,8.6248508519053569e-33,2.2446907395311068e-38,7.6807249025435832e-39,5.4879451116601629e-42,6.2128585096016769e-28,1.5665323889294702e-52,8.3802041979296586e-54,1.0454046403941928e-60,4.3953222177459576e-35,1.1439205228058276e-40,2.4908775575940932e-47,2.9601922419756228e-51,6.4976645997924811e-62,2.5929676988317506e-66,5.1388173718535796e-73,3.0788657290347231e-59,4.0859374668086772e-60,3.5948023620930783e-40,1.9759541446075491e-49,2.6356611414015742e-58,2.4583310749552456e-68,2.7887372309340947e-69,1.2282839544000459e-69,1.7526434408217558e-66,8.9405790684525213e-66,8.7138689444828264e-75,1.9786704035996869e-78,1.3162477100670764e-30,1.9630734716401071e-47,3.2783570373206163e-21,3.6391234835745695e-52,3.7569681691704699e-63,3.553095966012272e-28,6.4379815946781602e-86,5.2210901838702322e-88,1.2036792617005388e-89,4.4728206386517797e-42,3.086509496362154e-44,1.9916034522330197e-87,2.4778950223862888e-94,1.7641655234469601e-93,3.4384038120862236e-98,1.1455822816230402e-37,1.0691918667252713e-99,6.1272934405561147e-37,3.1172629879224751e-33,9.4074490895669839e-41,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999837,0.0001,0.10889011,1.7466636429346168e-40,2.5714261831617821e-41,1.25373138560633e-42,1.4839955007820259e-44
3.1e-14,0.0026544484056650534,1.6375989453181063e-17,1.6375980172340338e-17,1.5777599740309155e-17,1.5777603551613686e-17,1.3682490157568014e-23,1.6729298086989869e-19,5.4486994955624855e-24,3.638508045718222e-24,8.1274367524238593e-20,5.2320541419707526e-25,3.6199014298885732e-24,3.4876292040942885e-24,7.3909789846203008e-31,3.8769034600463244e-36,6.6382787551372961e-20,4.2734133551279583e-25,2.3201580167608612e-31,1.4387481006969187e-20,2.2294927987949092e-26,1.2170276193916677e-36,5.8022056558301921e-31,5.3209487731023028e-43,1.268505938587981e-46,2.9534397146171156e-25,7.8577430863260494e-45,1.4736272507218858e-37,5.0056973452343342e-43,3.1733441941202415e-44,1.2153793829656843e-20,3.9333383760938058e-33,5.0179785035190331e-32,3.5058892471358364e-25,2.4611854059227942e-54,3.767581034914778e-39,9.3741384064434923e-43,2.387182471328654e-44,4.0946191549850079e-32,4.6236794309933414e-39,3.765769390001153e-43,7.5561314426770157e-32,3.9635423162846293e-37,1.0903213774952435e-50,3.212653874633774e-33,4.2431673700460388e-44,5.472743816894722e-56,5.4719005689061301e-45,7.5670161752777287e-32,3.9692450603820314e-37,1.3581743184461363e-37,9.6583161372414233e-41,2.6865891759514675e-27,1.0775328883273232e-50,1.1543676956853706e-51,2.8818820383748255e-58,3.856264676207758e-34,2.0227885584659564e-39,8.8438063776170453e-46,2.1063982753532119e-49,1.3564679271112822e-59,3.6936291994390705e-64,1.4644763508303337e-70,3.9256850758818304e-57,1.0427404967855006e-57,6.3566919090589492e-39,3.4940876541031925e-48,8.8128423597819656e-57,1.4438227782977225e-66,2.7241445710393506e-67,2.00868059874523e-67,4.2788681527630795e-64,1.0904416782284804e-63,1.7035372152153068e-72,7.7415183716429058e-76,5.6917865012251196e-30,6.9706134051844722e-46,6.9034912477697584e-21,2.5897902027160277e-50,1.0357328192199263e-60,1.5364530782840529e-27,4.9982141914496454e-83,7.9278719061493653e-85,3.655730631961664e-86,7.8549948308513668e-41,1.0885967536924019e-42,2.313080715657501e-84,5.7566185623647732e-91,4.0985122115315338e-90,5.884789800892791e-95,4.9537717071298702e-37,3.6602721591462089e-96,5.3764286513325078e-36,2.7349619536409704e-32,6.7134259564363776e-40,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999664,9.9999999999999991e-05,0.10889011,3.0885546900057829e-39,3.721179042940979e-40,1.8213698074369175e-41,4.3438443007456393e-43
6.300000000000001e-14,0.0026544484056650534,3.3574619210956575e-17,3.3574580674915091e-17,3.2347760144041916e-17,3.2347775969394113e-17,5.6812650019898925e-23,3.4299171345393996e-19,2.2624169940286987e-23,1.510787374579048e-23,1.6663035487703007e-19,2.1724263700457218e-24,1.5030607302945286e-23,1.4481381843343068e-23,6.1772587299214327e-30,6.5016492496732132e-35,1.3609932698630712e-19,1.7743876571648078e-24,1.9391539940614072e-30,2.9505752933071346e-20,9.2594968956344021e-26,2.0409846691151717e-35,4.8493848593598285e-30,1.7871757128677701e-41,8.528297482632555e-45,1.2263318651028608e-24,1.3277664537712046e-43,2.4405579744720079e-36,1.6948284986391533e-41,1.052481689446749e-42,2.4918115341836007e-20,3.2873973888742411e-32,4.1938806619338737e-31,1.4557203774951939e-24,2.788810004881025e-52,3.1488902892779576e-38,3.1207686648507933e-41,4.0015077697881384e-43,3.4222431960583264e-31,7.7537714264803248e-38,1.2651012521066357e-41,6.3151945329303612e-31,6.6468588149897584e-36,3.6612321192271827e-49,2.6850696339745148e-32,1.4254975068602901e-42,3.6784778643821015e-54,1.8383092051556241e-43,6.3243029860946419e-31,6.6564227325342647e-36,2.2776778836562466e-36,1.6045237223516375e-39,1.1155294272517873e-26,6.6581065784526499e-49,1.4277463882953515e-49,7.1311085566883591e-56,3.2230046143349899e-33,3.3922663412492249e-38,2.9704185064817506e-44,1.4161542664506456e-47,2.2593033407689298e-57,4.9673867535052604e-62,3.9380478653087994e-68,4.3638487588921157e-55,2.3195945042070933e-55,1.0660403196892514e-37,5.8597332077740058e-47,2.6510730719473279e-55,6.9696634978082147e-65,2.1784709013508389e-65,2.4238751222753398e-65,8.9448748871560709e-62,1.1389877407064212e-61,2.7242599069796506e-70,2.4774266443678714e-73,2.3633645624079352e-29,2.341771672826163e-44,1.4153707458779649e-20,1.7415223456257545e-48,2.5630995681514241e-58,6.3797579096418269e-27,3.1485843508021226e-80,9.5640772861297867e-82,8.8211993624243998e-83,1.2994763917810879e-39,3.6085368844718497e-41,2.3474520011162642e-81,1.1685032211919001e-87,8.3193845020694266e-87,7.8657866917283049e-92,2.0569113057887851e-36,9.7856613210302704e-93,4.494548130252953e-35,2.2858558448958701e-31,4.0725838743624043e-39,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999317,9.9999999999999978e-05,0.10889011,5.1793769691946144e-38,4.5695715950450981e-39,2.2409161082779877e-40,1.0758086607164273e-41
1.2700000000000001e-13,0.002654448405665054,6.7971884418737115e-17,6.7971727428467913e-17,6.5488025567650321e-17,6.5488090037835992e-17,2.3144666344831551e-22,6.9439496959523686e-19,9.2167608944218425e-23,6.1547360451974959e-23,3.3733879158007271e-19,8.849868409028625e-24,6.1232524722286164e-23,5.8995036645977046e-23,5.0485044004693151e-29,1.0643505356733915e-33,2.7552948863157045e-19,7.2283935835610515e-24,1.5848241025316927e-29,5.9767014121680326e-20,3.7739485667006984e-25,3.3411994838364996e-34,3.9632641506345438e-29,5.8530272172040572e-40,5.5882555792922606e-43,4.9959017571896832e-24,2.1818537556290958e-42,3.9702693972207099e-35,5.5750279968428687e-40,3.4263293083634877e-41,5.0446723976357183e-20,2.6866636433774985e-31,3.4274404093235903e-30,5.9303943116159126e-24,2.7787818293064495e-50,2.5735149238037657e-37,1.0043567935835214e-39,6.5446154926772215e-42,2.7969511138695915e-30,1.2692512589656399e-36,4.1450069742067118e-40,5.1610788237900366e-30,1.0880939908594706e-34,1.1984775223502547e-47,2.1944115602332984e-31,4.6706347768219266e-41,2.4091767441951398e-52,6.0233228044253581e-42,5.1685411710373628e-30,1.0896597456172431e-34,3.7286355271125941e-35,2.5782850883502534e-38,4.5445056072446118e-26,3.7236255562943432e-47,1.5983249492085509e-47,1.5970298866018065e-53,2.6340766697861632e-32,5.5533225534507496e-37,9.7281758358251623e-43,9.2795082260543192e-46,3.0588696476116993e-55,6.5079523128788211e-60,1.0310424540163409e-65,4.2448895010746545e-53,4.515633569427461e-53,1.7451895851179784e-36,9.592901640994699e-46,7.1813649341853713e-54,2.7036224092196731e-63,1.4738947237215603e-63,2.199312437915175e-63,1.6216552603945139e-59,1.0317059459922746e-59,3.6812233439790089e-68,6.6992191807222582e-71,9.6281095900056872e-29,7.6727049829735622e-43,2.8653931077009749e-20,1.1416478179535954e-46,5.7411020130699467e-56,2.5990824784901816e-26,1.6503692004653894e-77,9.240386961149859e-79,1.7047059759551915e-79,2.0712277619075541e-38,1.1517083442299053e-39,2.1292508939330594e-78,2.1198956246401729e-84,1.5093094374556816e-83,8.5822527614373212e-89,8.3795518047562439e-36,2.1355801973291669e-89,3.6749339351794418e-34,1.8681994261310914e-30,2.1387919666774943e-38,0.88130563799999995,0.0,0.0,0.0,0.009891189999999864,9.9999999999999951e-05,0.10889011,8.4782462301489253e-37,4.8549216510537513e-38,2.3831086774348738e-39,2.3033350177414581e-40
2.55e-13,0.002654448405665054,1.3676643760287368e-16,1.3676580392996899e-16,1.3176833488025178e-16,1.3176859510651836e-16,9.3420850056545523e-22,1.3972246454959453e-18,3.7202385671908382e-22,2.4842925653718876e-22,6.7874151459848635e-19,3.5719177221245411e-23,2.4715794708035809e-22,2.3812640306734779e-22,4.0815888156599427e-28,1.7222426262937092e-32,5.5437814418332344e-19,2.9174908187146533e-23,1.2813011662726183e-28,1.2038840471872541e-19,1.5247336379848286e-24,5.4064860858580694e-33,3.2041908021694541e-28,1.8930209933038361e-38,3.6154906957045177e-41,2.0165397106243261e-23,3.5371772138468941e-41,6.4041549693940158e-34,1.8084222193671946e-38,1.1056625436062857e-39,1.0150380365460144e-19,2.1720414132648315e-30,2.770832163424755e-29,2.3937342032797348e-23,2.4296260922998416e-48,2.0806434531388078e-36,3.1398316148334017e-38,1.0570453269640241e-40,2.2613381299795677e-29,2.0535448342148983e-35,1.3417550008821447e-38,4.1723490075885593e-29,1.7605715780047763e-33,3.8724363865955115e-46,1.7740904539620368e-30,1.5119686561929284e-39,1.5571615344482931e-50,1.9499311534506958e-40,4.178411644842662e-29,1.7631054630316512e-33,6.0332670480447873e-34,4.0235765937639705e-37,1.8343364862235284e-25,1.8572634143968586e-45,1.5961543105737819e-45,3.1903829436689374e-51,2.1295899955587587e-31,8.9859949244731295e-36,3.1463516366227237e-41,6.0036712246099556e-44,3.411484709240022e-53,8.4136300055687657e-58,2.6612221130813993e-63,3.6230639243415117e-51,7.7138547482881198e-51,2.8240210699220859e-35,1.5523215110176608e-44,1.7253117979183512e-52,8.2791797849872866e-62,9.1796432402151359e-62,1.6504722245267589e-61,2.596619754879609e-57,8.2539468926405758e-58,4.5653512679395851e-66,1.6621911400696777e-68,3.8863577146053928e-28,2.4837300634368869e-41,5.7653543384316845e-20,7.3926677333473617e-45,1.147288465538153e-53,1.0491387294260776e-25,7.7123567212859887e-75,7.4647564109411968e-76,2.7545396480202474e-76,3.1834577433358806e-37,3.5445750409040324e-38,1.7125689551140809e-75,3.4103135465546685e-81,2.428069302533678e-80,7.8822703069947959e-86,3.3823019549900307e-35,3.9231357004569902e-86,2.9737803797467087e-33,1.5104440470907683e-29,1.0035827585313657e-37,0.88130563799999995,0.0,0.0,0.0,0.0098911899999997287,9.9999999999999896e-05,0.10889011,1.3716724214408104e-35,4.5927377229982538e-37,2.2554650341364206e-38,4.3866246181170672e-39
5.11e-13,0.002654448405665055,2.7435563504270694e-16,2.7435308891681104e-16,2.6432806737349827e-16,2.6432911297327395e-16,3.7536996994547926e-21,2.8029766495735454e-18,1.4948088499577063e-21,9.9820395098315799e-22,1.3614903720615393e-18,1.4350289050903485e-22,9.9309166051760093e-22,9.5680103301636239e-22,3.2822555870750991e-27,2.7707539347078452e-31,1.1120287936070182e-18,1.1721274724163457e-22,1.0303900344649955e-27,2.420266497860339e-19,6.1378852505236868e-24,8.6981076859964973e-32,2.5766723047402318e-27,6.080127030715806e-37,2.3227503096134589e-39,8.1025643272087031e-23,5.6960166276364238e-40,1.0286839263310295e-32,5.8255956331666915e-37,3.5524916698561346e-38,2.0361741239637673e-19,1.7465773747308562e-29,2.2279270090596266e-28,9.618128283914977e-23,1.8930693749811659e-46,1.6732077311810296e-35,9.4556262425870816e-37,1.6943436895029878e-39,1.8185987288440481e-28,3.302947922896428e-34,4.3169335154422156e-37,3.3548339439972753e-28,2.8321259421704941e-32,1.2413774204384383e-44,1.4265967603437259e-29,4.8649986951077001e-38,9.9843605821190826e-49,6.2746822163934171e-39,3.35975674187202e-28,2.8362034749017133e-32,9.7060406179288233e-33,6.0426309383027383e-36,7.3704440905250881e-25,8.1774586784994995e-44,1.4074431054961425e-43,5.6263550320118937e-49,1.7125422314248485e-30,1.4456961673175731e-34,1.0105699870891761e-39,3.8570394504385328e-42,3.1944207055893364e-51,1.0790113004050968e-55,6.801394352821615e-61,2.7689017004008684e-49,1.1798638646793466e-48,4.5436293041451498e-34,2.4976379410009688e-43,3.6591439036463665e-51,2.0344425505589658e-60,7.3391374749134968e-60,1.4690631096840885e-59,3.7895751463938094e-55,6.0194613992792703e-56,7.2147348941284822e-64,5.249046908940269e-66,1.5616229967962267e-27,7.9913910578312571e-40,1.1564943056867885e-19,4.7576372188016685e-43,2.0246599702920128e-51,4.2158830546260556e-25,4.3604388121748059e-72,6.637601983440929e-73,4.8983523771384856e-73,4.6539033063708869e-36,1.0381363379521902e-36,1.2127468054008378e-72,4.8303553771533425e-78,3.4391438735593311e-77,6.3186612161217893e-83,1.3590188469385915e-34,6.2903026744248817e-83,2.3957236194430959e-32,1.2147238940367635e-28,4.3755023783906949e-37,0.88130563799999995,0.0,0.0,0.0,0.0098911899999994564,9.9999999999999774e-05,0.10889011,2.2060916468756842e-34,4.0060770464507358e-36,1.9678120793246986e-37,7.6910913313739059e-38
