Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654),S(11179),S(11193),S(12065),S(11559),S(10226),S(11013),S(13044),S(13047),S(14368),S(13836),C5H8(9850),S(15615),CHO(330),S(16928),S(16826),S(456),S(18023),CHO3(881),S(10202),S(18746)
0.0,0.0021098704968587375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0021098704968587375,9.7011144425970678e-26,9.7011144422570951e-26,9.471056564651515e-26,9.471056515983955e-26,1.9496167662746203e-35,1.2943821538266758e-25,1.4646626848898274e-33,9.9711681799937295e-34,6.0883040099610675e-26,2.3691922983421311e-32,9.9169423435295816e-34,9.6817661958011052e-34,2.6339992608617137e-43,1.0249900058028655e-49,5.1604571329684388e-26,2.00813153855254e-32,1.1054821812449502e-43,1.4484297213289382e-26,6.461278797446614e-34,4.301854611000843e-50,1.0777030182445122e-43,3.4654986290727177e-59,4.4677699079325229e-65,7.1088265342738859e-36,2.0287825512736929e-60,6.7956710921926447e-51,7.5715193260395154e-60,5.5514511581534061e-59,2.468761814428354e-27,1.045442140077141e-42,1.7938441577102967e-42,7.3332340647838582e-36,1.9538576836530695e-77,3.7336179391401613e-56,6.2851580921850403e-59,1.4667181156874978e-62,6.4590127223672059e-44,1.8287413469725258e-55,3.4805493869632062e-62,7.1272681851248986e-43,2.7734930564999138e-49,2.4693093342917414e-71,8.8611858762708806e-43,2.4775341739930805e-59,9.6090284857386846e-78,2.4515395471343078e-59,7.1147211282192823e-43,2.768610515304249e-49,6.7732756132707403e-51,4.5993728294447874e-55,2.5236861930918511e-35,3.3076688033841365e-72,1.136533447063403e-74,1.5644007641795509e-82,7.5769729361609571e-46,2.948490398797865e-52,2.3752521643094916e-61,3.0527917557518822e-67,2.5737258334919342e-86,4.2545242449279462e-88,1.7367459943062545e-98,1.3333889049473128e-79,1.2259862116592746e-81,3.7616063221132048e-54,2.0829918098619096e-67,1.9890275635490055e-78,1.5945858942491482e-90,5.6385548800034033e-93,3.0618139644954398e-94,1.1529281131193526e-94,6.0627534563500709e-93,2.2926244771300156e-99,4.2980712987573197e-104,5.5213875436261413e-39,1.064683047612589e-65,2.4995389008389077e-30,3.7481025226070767e-73,6.3408420671014256e-86,2.3788117102477792e-36,2.2871631677973848e-115,1.001094157843827e-118,8.9905688304830183e-122,3.8982089437721176e-55,7.6024117510999182e-59,-7.5789217180404913e-117,-1.0432137670347575e-124,-7.6526933952862431e-126,-1.608364106974093e-132,3.6287692900957831e-52,2.5187025439423629e-100,5.2036956440136443e-46,4.4046218267944071e-44,2.9213086772193376e-55,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.2456338094144922e-55,7.7246859476798743e-57,3.5253184069128487e-59,1.5820718193084176e-62,4.4291728544158796e-57,2.102545177996831e-60,4.5922435572242478e-66,4.1298356061565674e-67,7.3390858910904635e-60,1.6290063880163317e-66,2.142636100044404e-70,8.3378175504257257e-77,2.0420514713682257e-84,3.2495512106961486e-85,7.0974798533158455e-91,7.0974796281105494e-91,4.603265068856885e-93,7.3023254608040115e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6457141470355087e-83,0.0,0.0,0.0,0.0,0.0,7.0385260778198357e-106,9.2972589735138732e-118,5.8970725018976968e-79,2.1304293890601535e-85,1.1776787212513093e-95,1.0744330617868856e-71,2.1038139379580641e-75,1.1432323213165729e-99,2.512202767539709e-92,8.6985692589057324e-98
3.0000000000000002e-15,0.0021098704968587375,3.1875089984641866e-25,3.1875089982407766e-25,3.1119185535239573e-25,3.111918521542423e-25,1.2811767261199251e-34,4.2529699346154532e-25,9.6249261497984897e-33,6.5524819174430611e-33,2.0004419665322803e-25,1.5568975305915907e-31,6.5168477962219594e-33,6.3623034708251231e-33,2.4834846974398213e-42,1.259273310471608e-48,1.6955781123173541e-25,1.3196290722000313e-31,1.0423116413895905e-42,4.7591260158777372e-26,4.2459831276488025e-33,5.2851351571004964e-49,1.0161199580936757e-42,5.2477531716264726e-58,8.0419833908883008e-64,4.6715141448505216e-35,2.6149989458757373e-59,8.3428990155740958e-50,1.192259986366033e-58,8.4015259063982031e-58,8.1116459732119241e-27,9.8570247207678086e-42,1.6913385239951746e-41,4.818981931703773e-35,4.0704163616642281e-76,3.5202676066841821e-55,9.5172790508801044e-58,1.8019672339621474e-61,6.0899262525270897e-43,2.2467392855770659e-54,5.2705460738855185e-61,6.7199941099779081e-42,3.4074336993401135e-48,3.7392382576534633e-70,8.3548314067140585e-42,3.7516939743211726e-58,1.7296245079064808e-76,3.7123307612021096e-58,6.7081640391340336e-42,3.4014351529470134e-48,8.3214513727821065e-50,5.6504779828891047e-54,1.6584223564441155e-34,6.1502795993339301e-71,2.4379841491929169e-73,3.8027762388471955e-81,7.1440022074766816e-45,3.6224307295445347e-51,3.5968091370022815e-60,5.4950235110722024e-66,6.2210481472318318e-85,8.8737192534797268e-87,4.1185586499290116e-97,2.777596662623587e-78,2.9041467404067742e-80,4.6214019462932589e-53,2.5591038130009152e-66,3.0094755881508241e-77,2.8667880105826556e-89,1.166704536959313e-91,7.1901067875392546e-93,2.7278591746286455e-93,1.2612512482230809e-91,5.3988183258321226e-98,1.1349392765429737e-102,3.628340386039042e-38,1.6122342883642538e-64,8.2127510095635056e-30,6.7465843967872936e-72,1.5413444362288843e-84,1.5632189144315986e-35,6.6926219148712432e-114,3.2151338271952468e-117,3.1443022894447958e-120,4.7890105255868813e-54,1.1511799127928486e-57,3.1381349879498743e-115,4.0214790167363796e-123,2.9500325684356281e-124,6.2235389931521693e-131,2.3846197598933185e-51,6.5626305698000851e-99,4.9063415424359953e-45,4.1529291381771754e-43,2.7327791190871267e-54,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.5303500790779697e-54,9.4325211150763169e-56,4.3743269512520977e-58,2.4151054384431555e-61,5.4415551658909079e-56,1.982398252393384e-59,5.641891538743998e-65,5.0737938569061407e-66,6.9197083150848696e-59,2.0013504195304221e-65,2.6323797348427703e-69,1.2625831084765024e-75,3.6756764058497579e-83,5.8491854094474585e-84,1.4803299102336281e-89,1.4803298568278556e-89,9.6010861250399823e-92,8.971423801956648e-70,3.213807854408347e-127,3.2853085693877185e-135,2.0892361193834026e-143,3.2455377002397241e-150,9.3339331209463707e-161,8.4675733708574262e-166,1.5916786807881976e-166,1.460636076349621e-81,1.7964683829978609e-160,5.0614971947000278e-172,1.3687316126072535e-177,1.4761959626717689e-183,2.3875960567822033e-181,1.6691347178288967e-104,2.4704125657957942e-116,1.0614728542328212e-77,4.443466302954529e-84,2.7927805758800459e-94,1.9339191716385116e-70,4.3878366358345004e-74,2.6521225871524541e-98,3.8041886939355754e-91,1.5650602291463722e-96
7e-15,0.0021098704968587375,7.0679545254693938e-25,7.0679545242552073e-25,6.9003409344813737e-25,6.9003407606686987e-25,6.9629167774707994e-34,9.4304985546168918e-25,5.2309378943382858e-32,3.5611313728622639e-32,4.4357576049074442e-25,8.4613902346786475e-31,3.5417650022228629e-32,3.4577735219247511e-32,4.0111993352085008e-41,6.369572512789461e-47,3.7597559155079546e-25,7.1718891898111134e-31,1.6834893096472862e-41,1.0552843283938032e-25,2.3075992355412281e-32,2.6732920248178449e-47,1.6411872377971788e-41,8.666667113411869e-56,4.4773179723044148e-61,2.5388648453396633e-34,1.4998381781892725e-57,4.2130524018891138e-48,2.2509114446656774e-56,1.3850752535503843e-55,1.7986693319066828e-26,1.5920571070388571e-40,2.7317642299789969e-40,2.6190103147958615e-34,7.6402593797841232e-73,5.6857546633327901e-54,1.5711808367789101e-55,9.1145569706934796e-60,9.8361531880701648e-42,1.1364315727598425e-52,8.7043530901317705e-59,1.0853784870895212e-40,1.7235237021422412e-46,6.1753479975266313e-68,1.3494303935057283e-40,6.1959423999356492e-56,9.6295540264999252e-74,6.1309356306124812e-56,1.0834677682547086e-40,1.7204895792927253e-46,4.2090969665372781e-48,2.8569977067291564e-52,9.013165015464466e-34,3.8993752830260489e-68,5.3617178644851278e-70,2.9524694815041452e-77,1.1538633455616961e-43,1.8322739935830135e-49,5.940132563974302e-58,3.059316085852338e-63,4.2471426194869603e-81,1.7063322513686525e-83,2.7864333613325851e-93,5.2054305730158739e-75,1.9147464550951263e-76,2.3375689418873495e-51,1.29442792415379e-64,4.9098275780566622e-75,1.5599761594276825e-86,1.9188251367986724e-88,4.0854824709101004e-89,1.7505997769071623e-89,2.301366263797169e-88,3.121112329045236e-94,2.3406212317226774e-98,1.9719241236520974e-37,2.6626191285192351e-62,1.821075613715433e-29,3.756132655574726e-69,1.1966981127664462e-80,8.4957475626609693e-35,4.9756563432288973e-109,8.6875630049997076e-112,3.1208337895967961e-114,2.4210278444180817e-52,1.9001381708414805e-55,4.4953227149115784e-110,2.4750698496765708e-117,1.815634707493658e-118,3.3091201866640238e-125,1.2959887894549956e-50,1.0486079287348232e-94,7.9244839956327121e-44,6.7076095972585935e-42,4.1197007887928775e-53,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.740722434450924e-53,4.4506058771798178e-54,2.1429438512936169e-56,3.8709423919768695e-59,2.7524141887941787e-54,3.2018515204877667e-58,2.8537007708724997e-63,2.5663703815864122e-64,1.1176359019705699e-57,1.0123092328133277e-63,1.3314837136218306e-67,2.0851508375399405e-73,2.046256272492674e-80,3.2564432434258846e-81,2.846488343562464e-86,2.8464879822298268e-86,1.8461713958608943e-88,4.5378432693613397e-68,1.1857200649830784e-122,4.8484324992143051e-130,1.2333127632661483e-137,7.6635947969577686e-144,8.815695009966985e-154,3.1989749307589642e-158,6.0132225047218778e-159,2.4122385303623734e-79,1.6967798228831963e-153,1.9122355727931606e-164,2.0684189604529234e-169,8.923273713988451e-175,6.2935903304043232e-175,1.1293068017439385e-100,5.9670956508226099e-112,5.9096884407792567e-75,8.5443920107944903e-81,1.8895789110450938e-90,1.0761004276090146e-67,8.4327028569549914e-71,1.1898263386517071e-94,6.2825536664718076e-89,8.6459571125640212e-94
1.5e-14,0.0021098704968587375,1.4828844943030658e-24,1.4828844937659104e-24,1.447718507300633e-24,1.4477184304059141e-24,3.0803942263243435e-33,1.9785555806569912e-24,2.3141667550212808e-31,1.5754444429175486e-31,9.3063736965287565e-25,3.7433121404763209e-30,1.566876760244968e-31,1.529718930019427e-31,3.7304837270149181e-40,1.2250349929854039e-45,7.8880986674010092e-25,3.1728379411841233e-30,1.5656738455805476e-40,2.2140273703410139e-25,1.0208816884202256e-31,5.1414384059468762e-46,1.5263342629666706e-40,3.4001129052599027e-54,3.5515521451985773e-59,1.1231926774946221e-33,2.9796650383294713e-56,8.09957490569605e-47,9.1212999209471557e-55,5.4318060244463112e-54,3.7736788235122967e-26,1.4806404487289193e-39,2.5405865150024958e-39,1.1586489840338796e-33,1.179541987659457e-70,5.287842613227388e-53,6.1606605787180839e-54,1.7529573680254587e-58,9.1478063869755092e-41,2.1856568866153854e-51,3.414922681122623e-57,1.0094188840517599e-39,3.3147807435688093e-45,2.4227134582733609e-66,1.2549934429290299e-39,2.4308066228703297e-54,7.6384603593470615e-72,2.4053040323747899e-54,1.0076419042741701e-39,3.3089453970559865e-45,8.0951795461623611e-47,5.4916140368147125e-51,3.9874242284076139e-33,3.1510910663700349e-66,8.715276814465929e-68,9.6265433146010609e-75,1.0731127308907655e-42,3.5239414749175421e-48,2.3304371850512994e-56,2.4267478202079363e-61,1.1855154606474515e-78,2.722686670942347e-81,8.9181509537804006e-91,8.0197009550108798e-73,5.918127278163579e-74,4.4957611873305629e-50,2.4895199164420225e-63,1.8928350916266532e-73,1.1983324806911667e-84,2.5256796035703381e-86,1.0711160268338081e-86,5.2282018122803798e-87,3.4260314576584922e-86,8.2455363843843538e-92,1.2389985607691341e-95,8.723792328951326e-37,1.0446082122803883e-60,3.8206383372223177e-29,2.9795063002180833e-67,3.9018441825497207e-78,3.7585132782377326e-34,5.263378694438849e-106,1.8321503561828463e-108,1.3166377261563528e-110,4.6524746843201087e-51,7.4487377535274586e-54,5.707530984744473e-107,6.2874587226825315e-114,4.6122854273808407e-115,7.1417022841994973e-122,5.7334528580762932e-50,4.5750260083368582e-92,7.3699173641484185e-43,6.2382024910417127e-41,3.4660346611225868e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.4887450442495521e-51,7.7748234812429498e-53,3.7785199546366622e-55,1.3952711295978837e-57,5.2936191473170254e-53,2.9777498559882918e-57,5.4882864000486368e-62,4.9357356345161207e-63,1.0394196800417963e-56,1.9469332742079906e-62,2.5607643736157314e-66,8.1804451382120578e-72,1.6229857389581658e-78,2.5830589323137027e-79,4.5418586124925094e-84,4.541857455967409e-84,2.9457594687420009e-86,8.7273913395487074e-67,1.1010542931542613e-118,9.0048886094361162e-126,4.5813227005087031e-133,5.6935855293701801e-139,1.3098574175804317e-148,9.5062611430029748e-153,1.7869244317883067e-153,9.4636956043423706e-78,2.5212254291490084e-148,5.6826947540978519e-159,1.2293605422370316e-163,1.0607067468431751e-168,6.2328168628986691e-169,3.6146145416916283e-98,3.8256288069505382e-109,4.6877685768768561e-73,1.363380702832407e-78,6.0481946748108352e-88,8.529256515532725e-66,1.3445024405439044e-68,2.5897905210064724e-92,2.464738889745065e-87,6.7835219117976473e-92
3.1e-14,0.0021098704968587375,3.035062323235701e-24,3.0350623209967446e-24,2.9630870856497083e-24,2.963086765139247e-24,1.2839616616060467e-32,4.0495670358275918e-24,9.6458473904700304e-31,6.5667253101900342e-31,1.9047545139636866e-24,1.560271862308996e-29,6.5310137190152285e-31,6.3761334374534361e-31,3.1485107857198649e-39,2.0828332584596229e-44,1.6144732753556434e-24,1.322489178732111e-29,1.321421560655092e-39,4.5315118075772252e-25,4.2552103623854702e-31,8.7415953407746041e-45,1.2882225608876654e-39,1.1607070892786116e-52,2.4297555476871304e-57,4.6816528571340323e-33,5.1460474753551231e-55,1.3768470777187607e-45,3.1640626064888486e-53,1.8539341277103181e-52,7.7236978964529922e-26,1.2496539536181041e-38,2.1442418470118451e-38,4.8294404975218636e-33,1.5173033596522542e-68,4.4629042734244779e-52,2.1007770035567481e-52,2.980386469434145e-57,7.7207327973419916e-40,3.716113384134254e-50,1.1657795587500666e-55,8.5194215181998976e-39,5.6358510820128459e-44,8.2704691025578379e-65,1.0592088912942729e-38,8.2981889121092039e-53,5.2257546569413752e-70,8.211136104380028e-53,8.5044242451957138e-39,5.6259299019987713e-44,1.3763573382280589e-45,9.3264407179726423e-50,1.6620276603362364e-32,2.1334115434320942e-64,1.181569885834656e-65,2.6118455006228507e-72,9.0570238069105335e-42,5.991489707600188e-47,7.9554872103049931e-55,1.6602332848392578e-59,2.4980053534358719e-76,3.7292618693587997e-79,2.4439552400115586e-88,1.0277373170210993e-70,1.5178452479561045e-71,7.6438195005475387e-49,4.2327310328186339e-62,6.2464307155533924e-72,7.7017642454222101e-83,2.5160884682443579e-84,2.1129448002731588e-84,1.263938825993484e-84,4.1387634835287602e-84,1.6446067423844587e-89,4.9455220233276651e-93,3.6362280912984473e-36,3.5660630873027986e-59,7.8196105821604957e-29,2.0384259070103791e-65,1.0586386934539264e-75,1.5666091465719744e-33,4.1884702252991324e-103,2.8953272518836332e-105,4.1616667891481991e-107,7.8975255053088529e-50,2.5388084674386049e-52,6.3396514020947878e-104,1.3968403634244904e-110,1.0246789645269433e-111,1.2199912725082131e-118,2.3898014232094854e-49,1.5308081302602622e-89,6.2201959924336657e-42,5.265032369290559e-40,2.4607457364084965e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.531206487730758e-50,1.1184749304960628e-51,5.4597249808637014e-54,4.0598207313567671e-56,9.000364089842829e-52,2.5131628057628774e-56,9.3308939729285269e-61,8.3916376864661753e-62,8.772640931906197e-56,3.3102165622228655e-61,4.3537835627621173e-65,2.7925614083230316e-70,1.1101157960748597e-76,1.7670948455977485e-77,6.2206982436701371e-82,6.2206950739795638e-82,4.0346413009436388e-84,1.4838296160113648e-65,2.8440279091425041e-115,4.652582875676689e-122,4.7344160270349767e-129,1.17681052860926e-134,5.4143317100614045e-144,7.8589467454323928e-148,1.4772731684974533e-148,3.2306406322076884e-76,1.0422453200618067e-143,4.6982594441531668e-154,2.0327690017822992e-158,3.5078016449677811e-163,1.9321466137766273e-163,9.906680241886963e-96,2.0975558860378108e-106,3.2071050672630232e-71,1.8674379462697075e-76,1.6577279500311057e-85,5.8260618469623832e-64,1.8386978842399157e-66,4.329706923016214e-90,8.4137123077414143e-86,4.54223584306948e-90
6.300000000000001e-14,0.0021098704968587375,6.1394169627828364e-24,6.1394169536589711e-24,5.9938232449244758e-24,5.9938219388275804e-24,5.2322123680685887e-32,8.191589965288268e-24,3.9307340001752818e-30,2.675975669580682e-30,3.8529645068367238e-24,6.3581468137189184e-29,2.661423000517412e-30,2.5983084502211607e-30,2.5768654461319268e-38,3.4171056225939392e-43,3.2657795257919636e-24,5.3891765145805982e-29,1.0815038192303042e-38,9.1664740954261962e-25,1.7340198871179201e-30,1.4341504098278571e-43,1.0543380373567991e-38,3.8129376599840208e-51,1.5973193880016381e-55,1.9077914524366075e-32,8.5088898330816442e-54,2.2586391698825815e-44,1.0478200883414077e-51,6.0897286240031106e-51,1.56237364011798e-25,1.0227666744202392e-37,1.7549300560790979e-37,1.9680153922355e-32,1.7790104419445866e-66,3.6526004209648122e-51,6.8859859785675749e-51,4.8895279857963435e-56,6.318996524481954e-39,6.0966993045585696e-49,3.8297111408479574e-54,6.9725873205104208e-38,9.2461470726741794e-43,2.7168446115092318e-63,8.6689884542412157e-38,2.7260109471255441e-51,3.4353880329988076e-68,2.6974180429947141e-51,6.9603135369767226e-38,9.2298710383432086e-43,2.2580446294922198e-44,1.5266615595585088e-48,6.7728530165996747e-32,1.3434450657261724e-62,1.4889469051292291e-63,6.5844320664818584e-70,7.4126299243703154e-41,9.8296704679106897e-46,2.613388728860515e-53,1.0914364660233125e-57,4.3522481225642181e-74,4.904695538417646e-77,6.4275946367665203e-86,1.1974654288312942e-68,3.5384142598003644e-69,1.2540552741313174e-47,6.9442075111660166e-61,1.9238317249943723e-70,4.4934660372622851e-81,2.0411877739476516e-82,3.3640989183536424e-82,2.6905359457791083e-82,4.4034884980799933e-82,2.6705955115174821e-87,1.60707932544318e-90,1.4817826703576916e-35,1.1714901866368986e-57,1.5816942311487017e-28,1.3400980525305346e-63,2.6688247454722395e-73,6.3839812211735196e-33,2.7040968422394801e-100,3.6857122092509715e-102,1.0596299973696941e-103,1.2915236022009742e-48,8.313946873431067e-51,6.4663915629972468e-101,2.8496452417069797e-107,2.090411855605265e-108,1.7032223283965018e-115,9.7385601687482204e-49,4.5264950397390205e-87,5.0908869002037937e-41,4.3091407384753825e-39,1.5251137433152909e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.152732377189518e-49,1.4018221195144786e-50,6.8577649978793826e-53,1.0254262875514014e-54,1.4766131300998274e-50,2.0567995742087525e-55,1.5306932735569856e-59,1.3766651239846757e-60,7.1798551003103942e-55,5.4307394763410285e-60,7.1425481568853024e-64,9.1734521868481256e-69,7.2948434899871736e-75,1.1615860235032121e-75,8.1806712052191061e-80,8.18066286727806e-80,5.3058989964813289e-82,2.4343056443387405e-64,6.328426112591813e-112,2.0706154977613079e-118,4.2141247043823208e-125,2.0949848626455292e-130,1.9274184969226621e-139,5.5953378664308887e-143,1.0517749311151931e-143,1.0612627031288561e-74,3.7108720946181912e-139,3.3454541268916495e-149,2.8948424653243281e-153,9.9908428074734823e-158,5.4725914802651371e-158,2.6060262878925064e-93,1.10363871251621e-103,2.1083740514053692e-69,2.4560828572679092e-74,4.3612060699031508e-83,3.8180983587035948e-62,2.4107388389540734e-64,6.398798895970801e-88,2.7637645122468815e-84,2.8643283815339298e-88
1.2700000000000001e-13,0.0021098704968587375,1.2348122168607242e-23,1.2348122131788352e-23,1.2055291573782738e-23,1.2055286303096457e-23,2.1114333186917765e-31,1.6475635900683491e-23,1.5862279077223565e-29,1.0798767108760506e-29,7.7492873120301692e-24,2.5657627785794859e-28,1.074004049617336e-29,1.0485344797346277e-29,2.0833082044736469e-37,5.5301578375075252e-42,6.5683097615455649e-24,2.1747451425351051e-28,8.7435956247252392e-38,1.8436372324705571e-24,6.9975425203883362e-30,2.3209940769496782e-42,8.5240598353476476e-38,1.2346539301061028e-49,1.0346825255451433e-53,7.6987404165009807e-32,1.3824589446815105e-52,3.6551123813397878e-43,3.406802400598212e-50,1.9718717368670221e-49,3.1423814845435301e-25,8.2687305436084936e-37,1.418798010362219e-36,7.9417686088385451e-32,1.8938065199139015e-64,2.9529767162973754e-50,2.2200176759577621e-49,7.9127414213543126e-55,5.1087655262978538e-38,9.8668321071906274e-48,1.2401567488650955e-52,5.6370299742884032e-37,1.4963552106048358e-41,8.7972212821897955e-62,7.0085908446917494e-37,8.8272931923158513e-50,2.2252886526305079e-66,8.7347337721353053e-50,5.6271079686107287e-37,1.4937213640713601e-41,3.6543192482727397e-43,2.4596576530496927e-47,2.733152415607337e-31,7.9449765522581653e-61,1.7620042841339751e-61,1.5587820952421295e-67,5.9928665333630505e-40,1.5908109293359725e-44,8.4623284983851039e-52,7.0699140942798042e-56,6.3674471469260481e-72,6.3548129222945543e-75,1.6646905658774458e-83,1.263150452140532e-66,7.4683785253393512e-67,2.0295535499564796e-46,1.1238233539962847e-59,5.5371989246876339e-69,2.3373643379405352e-79,1.3472949096073094e-80,4.2814353247792296e-80,5.0461231611305401e-80,4.1275567065760937e-80,3.528197171754901e-85,4.2493168454202106e-88,5.9796627718793886e-35,3.7935806301565027e-56,3.1809155109901351e-28,8.681141896208566e-62,6.3181517450859348e-71,2.5761958961131671e-32,1.4110007776935635e-97,3.7404520759014438e-99,2.150949988710977e-100,2.0768730759946961e-47,2.6753854165495692e-49,6.1583735689412477e-98,5.4280013245672978e-104,3.98181450909024e-105,1.9917480397363807e-112,3.9299408951128837e-48,1.2505286571693308e-84,4.1158626583033892e-40,3.4838432836439898e-38,8.2632096411358045e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.7207541012824003e-48,1.5379071028704009e-49,7.5316206431087417e-52,2.2657405514970474e-53,2.3897438077517034e-49,1.6627362504870913e-54,2.4767910506831183e-58,2.2277314010419482e-59,5.804636140517308e-54,8.7889181391540226e-59,1.1558386239660583e-62,2.9703276137098181e-67,4.721376163227834e-73,7.523006271739756e-74,1.0597439183194566e-77,1.059741758003901e-77,6.873524165668546e-80,3.9393864533487153e-63,1.3429635890016616e-108,8.7882546669331804e-115,3.5771787609094405e-121,3.5566843986977042e-126,6.5421628886350226e-135,3.7984102486382744e-138,7.140003738088457e-139,3.4363928957525553e-73,1.2600013619891625e-134,2.2716573455897867e-144,3.9311501297510854e-148,2.7134814858977679e-152,1.4857340249322319e-152,6.7523439223413589e-91,5.7193154854097254e-101,1.365757781886065e-67,3.1823587421286397e-72,1.1302326213219274e-80,2.4578821109883252e-60,3.1042369648076173e-62,8.836828680422818e-86,8.9483730869087912e-83,1.7154769909012238e-86
