Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129)
0.0,0.0027841138579591156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0
1e-15,0.0027841138579591156,4.065683384342434e-24,4.0656833828397378e-24,3.95736543166493e-24,3.9573654157172068e-24,2.6693598396552385e-33,1.2867958041437523e-24,5.024709387064335e-32,3.3959756586620752e-32,6.080351800675252e-25,1.7930875455875286e-31,3.3802003130485981e-32,3.2901450028815095e-32,2.1775915941544463e-41,6.4216882415761362e-48,5.1160939327042345e-25,1.5087292025904047e-31,8.5280016589669783e-42,1.3578520168994985e-25,5.416899765506598e-33,2.5148961834265198e-48,1.04041097526733e-41,4.6634745519172323e-57,1.0729808901436415e-62,3.4391699369992049e-34,3.5459988825090651e-58,3.4108338456937289e-49,1.3498326021687896e-57,2.434446420765971e-57,3.1563927324913292e-26,1.019936914861445e-41,3.7126817390856575e-41,3.5501225624802937e-34,3.3192929479157999e-74,1.8667027944188654e-53,6.2667815056781403e-57,5.7751937265859417e-60,2.8564105878746541e-42,5.2891525622262173e-53,2.1827377329356526e-59,1.9953595528247698e-41,5.8842884178480115e-48,1.8832592691728855e-68,8.5818933495209867e-42,1.4480062356229105e-57,5.5537062167855275e-75,6.7131115577779086e-58,1.9930039393345656e-41,5.8773417384898803e-48,3.3743422852747242e-49,3.1699002100853766e-53,2.6242180463212982e-34,4.1701038132581362e-69,1.655225746714869e-71,1.8621382079436464e-79,2.9105889284581668e-44,8.5832874931075017e-51,1.5916340134572401e-59,3.6516081053177756e-65,1.7208852951666462e-82,3.1723201462472418e-85,6.0403175367336848e-95,1.1253535887682709e-76,1.1834639435621767e-78,5.3858811044203343e-52,1.4386395503963283e-64,2.1495632864760659e-75,2.5794736905693777e-87,1.3839685339935354e-89,7.9537890783561951e-91,5.5791260458431218e-90,2.7665893448091902e-88,4.4373146070473503e-96,9.1573632286003958e-101,1.0166930326552016e-37,9.970582151744014e-63,1.9823456958027034e-28,9.0237412997127108e-70,1.2758013638112962e-82,3.7211893676862708e-35,2.3366433986378025e-111,1.2534560705110527e-114,1.4812495206013924e-117,2.6669702649041696e-53,7.5582280526130935e-57,-1.1566891040278063e-112,-1.3012822825116459e-120,-3.6226940493462581e-121,-2.4975364444367782e-127,4.1618932208226248e-50,-2.8704599843364328e-130,6.5375112973393865e-45,1.933436739595373e-42,2.1084529327764265e-53,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.5764700261476719e-53
3.0000000000000002e-15,0.0027841138579591156,1.3358673867892506e-23,1.3358673858017648e-23,1.3002772021126417e-23,1.3002771916327099e-23,1.7541507448724507e-32,4.2280433599968423e-24,3.3019518642280615e-31,2.2316411390178064e-31,1.9978292859207959e-24,1.1783145164320989e-30,2.2212744828412612e-31,2.162095278825676e-31,2.0531575751344181e-40,7.889502049622844e-47,1.6810017959796462e-24,9.914504881485007e-31,8.0406865018064454e-41,4.4615136088107998e-25,3.5596769324663716e-32,3.0897293599102181e-47,9.8095887743262344e-41,7.0618290144221971e-56,1.9313647098894726e-61,2.2600258384705832e-33,4.5672925242340517e-57,4.1804463645630654e-48,2.1242683460085682e-56,3.6793052999871622e-56,1.0371004776382133e-25,9.6165471648951615e-41,3.5005280107003574e-40,2.3329375585057498e-33,6.9140074263253462e-73,1.7600338231942968e-52,9.4893433153163064e-56,7.0952333813959652e-59,2.6931871156659426e-41,6.4981012461256976e-52,3.305288392944959e-58,1.881338655542776e-40,7.2292675780220038e-47,2.8517908246164664e-67,8.0914987004359898e-41,2.1926948353806649e-56,9.9966659264782155e-74,1.016556773792853e-56,1.8791176526126973e-40,7.2207330962901379e-47,4.1456199307442038e-48,3.8942695529006466e-52,1.7244861506291317e-33,7.749353835741952e-68,3.5488322279631018e-70,4.5244953230812964e-78,2.7442693159574446e-43,1.0545181030989931e-49,2.4101873397462864e-58,6.5728915859277377e-64,4.157030564685616e-81,6.6165504410315231e-84,1.4324140246847006e-93,2.3438189945786255e-75,2.8029803133809921e-77,6.6169394245799379e-51,1.7674712626848976e-63,3.251990678534536e-74,4.635933819221546e-86,2.8617688634564508e-88,1.8663733706615249e-89,1.319853371764075e-88,5.7544664003455924e-87,1.0443248904500106e-94,2.4168303652284766e-99,6.6811256455844937e-37,1.5098309454117464e-61,6.5134091735414516e-28,1.6242733740909247e-68,3.0998545571116585e-81,2.4453528549027563e-34,6.8341719431070153e-110,4.0237856438241338e-113,5.1782515977120004e-116,3.2763473490972159e-52,1.1444704280752849e-55,4.7906560686367003e-111,5.0177222992728454e-119,1.3969046461677759e-119,9.6691283406003238e-126,2.7349583434908374e-49,1.0292757858032281e-128,6.1639391648545711e-44,1.822954636180793e-41,1.9879698885051145e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.3939486974559154e-52
7e-15,0.0027841138579591156,2.9621406569395187e-23,2.9621406515727451e-23,2.8832232894668846e-23,2.8832232325107374e-23,9.5334277172082922e-32,9.3752266035419911e-24,1.7945389905129747e-30,1.2128484164619905e-30,4.4299654803641548e-24,6.4038777109813979e-30,1.2072143624674032e-30,1.1750517509121312e-30,3.3161574054222828e-39,3.9906162930378585e-45,3.7274355720981585e-24,5.3883132482627192e-30,1.2986915488105265e-39,9.892920444394903e-25,1.9346068294254826e-31,1.5628267844223959e-45,1.5843965938266115e-39,1.1662581555118508e-53,1.0752707385140616e-58,1.2282744873742589e-32,2.613800723452783e-55,2.1031557633512316e-46,4.0011575666361404e-54,6.0412133819090551e-54,2.2996576348442922e-25,1.5532167554479975e-39,5.6538759229173038e-39,1.2679004034997126e-32,1.2940400026953116e-69,2.8427177414127788e-51,1.5663002479302842e-53,3.5888399606005538e-57,4.3499050922912739e-40,3.2868274012272914e-50,5.4587106552945395e-56,3.0386417775042099e-39,3.656658040987398e-45,4.7097154637448063e-65,1.3068985379686124e-39,3.6212482768622161e-54,5.5655515902058252e-71,1.6788501603006608e-54,3.0350545815857096e-39,3.6523412420728992e-45,2.0969088171730435e-46,1.9686879765546427e-50,9.3722075491605851e-33,4.8940617758133862e-65,7.7737211601427752e-67,3.4986396343897829e-74,4.4324071140953578e-42,5.3338951761318092e-48,3.9804148307902282e-56,3.6594013523029235e-61,2.8163721312754687e-77,1.272296180553777e-80,9.690993023294089e-90,4.3766967390527288e-72,1.8413595230042958e-73,3.3469389666426182e-49,8.9401050404512219e-62,5.2963329001838374e-72,2.5046067649628066e-83,4.6446466673012666e-85,1.0421290800415807e-85,8.4437174261086682e-85,1.0466172771658327e-83,5.9573296638762501e-91,4.9179395639855244e-95,3.6310465550766929e-36,2.4934984183781297e-59,1.4442697082876504e-27,9.043071585354686e-66,2.3970160954498118e-77,1.3289955575009568e-33,5.011553190119454e-105,1.0714916321385235e-107,5.064870246196063e-110,1.6559110974610514e-50,1.8885940484881089e-53,6.8299934001203978e-106,3.0735186673705683e-113,8.55649771158216e-114,5.0743341072876779e-120,1.4863901950607302e-48,2.3328075089678224e-122,9.9556946658864363e-43,2.9443478736098806e-40,3.2108722881887761e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.222519390183857e-50
1.5e-14,0.0027841138579591156,6.2146869844739087e-23,6.2146869607313055e-23,6.0491152470182622e-23,6.049114995044289e-23,4.2175882427356603e-31,1.9669593159283062e-23,7.939040008016753e-30,5.3656411838306245e-30,9.2942263489990529e-24,2.833071434955798e-29,5.3407161162834788e-30,5.1984287177859166e-30,3.0840839886159045e-38,7.6749987928456246e-44,7.8202934593665749e-24,2.383786384226459e-29,1.2078058282941955e-38,2.0755730979528944e-24,8.5586991502645476e-31,3.0057249209541368e-44,1.4735176486735223e-38,4.5754534804619002e-52,8.529357781429046e-57,5.4338832099935922e-32,5.1895730537130516e-54,4.0396169512846573e-45,1.6203967097136501e-52,2.3669990795857885e-52,4.8247721126967682e-25,1.444518801930983e-38,5.258200182439515e-38,5.6091881256800629e-32,1.9901990695743562e-67,2.6437756467038334e-50,6.1399945972638401e-52,6.9022070463938077e-56,4.0454931176158702e-39,6.3214297211307684e-49,2.1415795141562267e-54,2.825986271817022e-38,7.0327017412053874e-44,1.8477082767237028e-63,1.2154385539794122e-38,1.4206972733213837e-52,4.4147488593008637e-69,6.5865115526027446e-53,2.8226502003421193e-38,7.0243995716188237e-44,4.0328996618843596e-45,3.7831752793960805e-49,4.1462647731842403e-32,3.9443661985583339e-63,1.2602431609423859e-64,1.1377195460501772e-71,4.1222164795119526e-41,1.0258477470165496e-46,1.5615929616781151e-54,2.9027431245532302e-59,7.8110152092334093e-75,2.0301140417819559e-78,3.101625068695459e-87,6.7109724809105804e-70,5.6644214183098064e-71,6.4370446396584767e-48,1.7194153093626261e-60,2.036882901937737e-70,1.9050390330875484e-81,6.0248636107932862e-83,2.677660412561115e-83,2.5120076997537695e-82,1.5518663148229065e-81,1.5510628738364757e-88,2.5656822542718266e-92,1.6063750022592312e-35,9.7825778168437926e-58,3.0301031409152087e-27,7.1733031194927633e-64,7.7948496660126788e-75,5.8794722361123763e-33,5.222776972005874e-102,2.2237186523216014e-104,2.1027786066120459e-106,3.1809822151455039e-49,7.4008150324800738e-52,8.648884662333049e-103,7.787111774102896e-110,2.1678869607978303e-110,1.0837357161380137e-116,6.5757886875869995e-48,9.9667760129713974e-119,9.2589813570259571e-42,2.738298663589627e-39,2.9861710473697812e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.2744889721690252e-49
3.1e-14,0.0027841138579591156,1.2719778788478228e-22,1.271977868951495e-22,1.2380898293492677e-22,1.2380897243221621e-22,1.7579638501630115e-30,4.0258326545365153e-23,3.3091292999496989e-29,2.2364922205917058e-29,1.9022702005487293e-23,1.1808700443659176e-28,2.2261030094154859e-29,2.166795147578018e-29,2.6029542571750376e-37,1.304922123911695e-42,1.6005970574216282e-23,9.9360077960347022e-29,1.0193833881265594e-37,4.2481339505668171e-24,3.5674131915410569e-30,5.1104082258305151e-43,1.2436450093250424e-37,1.5619240827933254e-50,5.8352199006196404e-55,2.2649343095960514e-31,8.9599942565266414e-53,6.8639940743639032e-44,5.6192291458045811e-51,8.0752644642899959e-51,9.8750017221487771e-25,1.2191683515279607e-37,4.4378950555164181e-37,2.3380043298964113e-31,2.5425272816885922e-65,2.2313337793428333e-49,2.0926965859263513e-50,1.1735063832238239e-54,3.4143892811466693e-38,1.0747853352964467e-47,7.3108736075713466e-53,2.3851152664251385e-37,1.1957145166231224e-42,6.3075072473486714e-62,1.0258255153120185e-37,4.849923218277195e-51,3.0202679502850573e-67,2.2484815197569412e-51,2.3822997734350564e-37,1.1943030164054413e-42,6.8568201690718674e-44,6.4217632597599721e-48,1.728235261028903e-31,2.6591558199987035e-61,1.7013434707344587e-62,3.0737899894189407e-69,3.4791352750965587e-40,1.7441722055083851e-45,5.3308164929912143e-53,1.9858644978836689e-57,1.6307207124782846e-72,2.7806219681144021e-76,8.4995798257826569e-85,8.527329615175366e-68,1.4404898466218788e-68,1.0944440328655971e-46,2.9233897406897295e-59,6.6911121428522702e-69,1.2017353219701497e-79,5.8773049720886225e-81,5.116433210852072e-81,6.0343660453052562e-80,1.862473880061472e-79,3.029456864752714e-86,1.0028765221917289e-89,6.6956499250671271e-35,3.339554628194499e-56,6.201673412322124e-27,4.9076034447698126e-62,2.1059511183999057e-72,2.4506627459768951e-32,4.0668775256295114e-99,3.4309967595207933e-101,6.4893342657419005e-103,5.3957625322620103e-48,2.520673823249912e-50,9.5662265843334675e-100,1.7227087863798688e-106,4.7959224045178381e-107,1.8251957491454139e-113,2.7409016288529171e-47,3.3573609849477579e-115,7.8145628889665546e-41,2.3111194871832155e-38,2.5203228447504207e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.267600872275888e-48
6.300000000000001e-14,0.0027841138579591156,2.5729958992229915e-22,2.5729958588949311e-22,2.504446091192899e-22,2.5044456632019171e-22,7.1637968372272812e-30,8.143579441590394e-23,1.3484878136178925e-28,9.1138256906339432e-29,3.8479468997143281e-23,4.8120825836349954e-28,9.0714890078386578e-29,8.8298062216663342e-29,2.1303634334517276e-36,2.1408637612746127e-41,3.2377170166665641e-23,4.0489545901123753e-28,8.3430509862456138e-37,8.5932506381493626e-24,1.4537392537599367e-29,8.384172316338698e-42,1.0178530691064715e-36,5.1308574928733926e-49,3.8360073207041271e-53,9.229709485983916e-31,1.4812949040742508e-51,1.1257622984522881e-42,1.8605923229280456e-49,2.6519554620987311e-49,1.9975463555927391e-24,9.9781752186516411e-37,3.6321463455872161e-36,9.5274728733733425e-31,2.9471859598847355e-63,1.8262108178343298e-48,6.8527631429093612e-49,1.9251842964411929e-53,2.7944905623441981e-37,1.7633009749533931e-46,2.4016951489758061e-51,1.9520660589723012e-36,1.9616882448676148e-41,2.0719770743064503e-60,8.3957782227211519e-37,1.5932354447882013e-49,1.9854768514794653e-65,7.3864457898094752e-50,1.9497619699732136e-36,1.9593727086538871e-41,1.1249295556203915e-42,1.0501403289006693e-46,7.0426534257036912e-31,1.6621441214292516e-59,2.1281560673373868e-60,7.6920309655428733e-67,2.8474679097857742e-39,2.8615026040656305e-44,1.7511525840935958e-51,1.3054854491373965e-55,2.8052362123460366e-70,3.6569895765536437e-74,2.2352811644323271e-82,9.7978496221002602e-66,3.31161619075459e-66,1.7955582914136345e-45,4.7961246064018479e-58,2.0438670259101392e-67,6.7791517353221378e-78,4.6437444280586737e-79,7.7701965658105323e-79,1.2729353788360952e-77,1.9633056115419311e-77,4.7911844163471391e-84,3.1740769229021459e-87,2.7285136965600586e-34,1.0970779707410748e-54,1.2544427604618425e-26,3.2263421616736599e-60,5.2700927553236762e-70,9.9865563999172362e-32,2.5533318111298114e-96,4.2290109890345905e-98,1.5998677710064805e-99,8.8112563197928773e-47,8.2428557997478231e-49,9.6858216026772689e-97,3.4886372411852948e-103,9.7121672119557822e-104,2.5042976900171228e-110,1.116931262059087e-46,9.213695907608426e-112,6.3957890393418013e-40,1.891524831740457e-37,2.0627454840961955e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.1923305756610839e-46
1.2700000000000001e-13,0.0027841138579591156,5.1750305782712704e-22,5.1750304155294218e-22,5.0371572250758252e-22,5.0371554979401534e-22,2.8909148220815405e-29,1.6379073455027813e-22,5.441755160313836e-28,3.6778394258704454e-28,7.7392265709618893e-23,1.941871113616314e-27,3.6607545934110779e-28,3.5632246402132544e-28,1.7223312969497278e-35,3.464728663638756e-40,6.5118950814551717e-23,1.6339180413597064e-27,6.7450978941540164e-36,1.7283463942783201e-23,5.8664870751096484e-29,1.3568777616586681e-40,8.2290760438786421e-36,1.6613510925746326e-47,2.4847392493517432e-51,3.7245882420816534e-30,2.4065162545449231e-50,1.8216166385224187e-41,6.0489269071165204e-48,8.5862164930519104e-48,4.0176397682073761e-24,8.0670488255804947e-36,2.9364636498167084e-35,3.8447484935769928e-30,3.0859089451364056e-61,1.4764281698081914e-47,2.2050044982972702e-47,3.1154253985690606e-52,2.259282503310348e-36,2.8536926947524744e-45,7.7772577034894908e-50,1.57816881374112e-35,3.1747263115240615e-40,6.7088908842312634e-59,6.7877298333168029e-36,5.159190359198282e-48,1.2860579222000054e-63,2.3918795129387632e-48,1.5763063940728327e-35,3.1709794799545105e-40,1.8205465533852582e-41,1.6885688749469271e-45,2.8420297559796411e-30,9.7075489868496131e-58,2.4872538015748434e-58,1.7984729105582541e-64,2.3020913487418327e-38,4.6310027440041212e-43,5.6701677667657937e-50,8.4561733140027896e-54,4.0349245292934797e-68,4.7380500214472402e-72,5.7886349651579823e-80,1.0132370539080398e-63,6.8526873632758041e-64,2.9059138500385782e-44,7.7619217912559758e-57,5.8030792987421649e-66,3.335210853972879e-76,2.9791525362921552e-77,9.2503778617680461e-77,2.3623133024083523e-75,1.8205845270723566e-75,6.1518099738581518e-82,8.1569228982226912e-85,1.1010786204782478e-33,3.5526038176149306e-53,2.5228390786117516e-26,2.0900146615831758e-58,1.2322176281423669e-67,4.0300049048545953e-31,1.2910207839873998e-93,4.1244802815760184e-95,3.1209800626325865e-96,1.4128867423254328e-45,2.6450776527340018e-47,9.1105003440295679e-94,6.5630839536665505e-100,1.8271254000914816e-100,2.8711600662848163e-107,4.5073142291961705e-46,2.1128393206749443e-108,5.1708468642206021e-39,1.5292553483289534e-36,1.667682030394822e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.9296530513420623e-45
2.55e-13,0.0027841138579591156,1.0379094489565354e-21,1.0379093835795171e-21,1.0102573933629687e-21,1.0102566995344096e-21,1.1613454197241231e-28,3.2850063239059946e-22,2.1860746445745502e-27,1.4774707843074238e-27,1.5521491016678443e-22,7.8007634373163783e-27,1.4706073644867295e-27,1.4314273443096301e-27,1.3848388451098772e-34,5.5738212246075583e-39,1.3060003805816945e-22,6.5636745626654636e-27,5.4233986815222433e-35,3.4663810270325503e-23,2.35669492059781e-28,2.1828565317053989e-39,6.6166719062510911e-35,5.3455150092328154e-46,1.5991271049695227e-49,1.4962383693379689e-29,3.8788866176230806e-49,2.9302200174566345e-40,1.9504743391623838e-46,2.7628713257482409e-46,8.057830776144939e-24,6.4863198364274149e-35,2.3610422872846296e-34,1.5445088851812608e-29,2.8701750110231969e-59,1.1871120256478523e-46,7.0070267913023087e-46,5.0110746361410658e-51,1.8166149192288069e-35,4.5908396596357307e-44,2.5028158141246499e-48,1.2689014875943909e-34,5.1071934111916685e-39,2.1585767221715409e-57,5.4576827046166467e-35,1.6602363617757801e-46,8.2765875042919326e-62,7.6971872287187717e-47,1.2674045948690898e-34,5.1011676384360047e-39,2.9287218148086649e-40,2.6818695052432881e-44,1.1417086036503589e-29,5.1991418315113955e-56,2.6663071593164767e-56,3.8572666988464902e-62,1.8510005020016292e-37,7.4500679464447766e-42,1.8244204926113046e-48,5.4422305232847456e-52,4.888734196739885e-66,6.0987737558605249e-70,1.4882863965838533e-77,9.2899429160559828e-62,1.2573680910062283e-61,4.6749029174916208e-43,1.2486774945701981e-55,1.4976112048252221e-64,1.3576846626289171e-74,1.552883009781495e-75,8.4239059340317094e-75,3.879202215897801e-73,1.4937687794946038e-73,6.4150034948285424e-80,1.7027174470188163e-82,4.4232833398716293e-33,1.1432745294668624e-51,5.059013792814435e-26,1.3453228525576967e-56,2.6428696951989826e-65,1.6189269498533153e-30,5.2191968484355993e-91,3.1130186784431862e-92,4.7119270107993172e-93,2.2319081060882414e-44,8.3608358236546516e-46,7.838809386024781e-91,1.1294508210345992e-96,3.1443275305139823e-97,2.7893096184273126e-104,1.8106839880221804e-45,4.1055364857152146e-105,4.1577016516192962e-38,1.2296244329015693e-35,1.3409266174579663e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.1043289787704468e-44
5.11e-13,0.0027841138579591156,2.0787200524989738e-21,2.0787197904364133e-21,2.0233385113932294e-21,2.0233357301962431e-21,4.6552368818655144e-28,6.5792049834463256e-22,8.7628445579079207e-27,5.9224215911103525e-27,3.1084840413438034e-22,3.126789639823358e-26,5.8949091968156e-27,5.7378562547151402e-27,1.1105789550087541e-33,8.941571645691689e-38,2.615523171038982e-22,2.6309265696200876e-26,4.3493383480774293e-34,6.9424181801705542e-23,9.4467408860615054e-28,3.5017677775416559e-38,5.3064217411030179e-34,1.7146549406315594e-44,1.0259394168034103e-47,5.9975512757936981e-29,6.2285280231431648e-48,4.7003424112595981e-39,6.2647401720734923e-45,8.8646249495034261e-45,1.6138229517034887e-23,5.2017661311171519e-34,1.8934208421820204e-33,6.1910385051129286e-29,2.3679283652575372e-57,9.5199702969823072e-46,2.1933768516214401e-44,8.0362077849991881e-50,1.4569098028046737e-34,7.3647020417504578e-43,8.0309065560495404e-47,1.0175644389411287e-33,8.1927093312179993e-38,6.9235994481682643e-56,4.3768419914179612e-34,5.3269367627664556e-45,5.3096669740379367e-60,2.4697240764407106e-45,1.0163649344228787e-33,8.1830487551780232e-38,4.6981188929302027e-39,4.1953851856456657e-43,4.5765343054453682e-29,2.4930606686701341e-54,2.5598682914786942e-54,7.4101836679929307e-60,1.4844296439864559e-36,1.1951539131121053e-40,5.8521294658861962e-47,3.4915434633811155e-50,5.0201207004332324e-64,7.8252703278688351e-68,3.8092006082313621e-75,7.5642932431157229e-60,2.0490264995468466e-59,7.499728343317488e-42,2.0031134727762652e-54,3.438937812293168e-63,4.3793316813070323e-73,6.6888895413281802e-74,5.7873816048323051e-73,5.7740530661251818e-71,1.1110150633937751e-71,5.5206592356062072e-78,2.9336557264388798e-80,1.773069507101391e-32,3.6685032549703736e-50,1.0128892805297732e-25,8.6340639068866863e-55,5.0775030869897514e-63,6.4893134435309839e-30,1.6910201474804646e-88,1.7801839134166102e-89,5.3901860363461516e-90,3.4555333131108726e-43,2.5906229833722432e-44,6.0332388385578995e-88,1.7387111854740933e-93,4.8404749252697527e-94,2.3216395040607011e-101,7.258058318580327e-45,6.8349502562180219e-102,3.3344309417463884e-37,9.8614902559275608e-35,1.0754089593298113e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.9800989192044315e-43
