Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795)
0.0,0.0029626800453791723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0029626800453791723,1.1031688622188338e-23,1.1031688616049213e-23,1.0728976251058627e-23,1.0728976211017942e-23,1.0095351372824514e-32,2.4151736330502833e-24,1.3068679814511934e-31,8.8173926913150091e-32,1.1423982897102646e-24,3.16586629024169e-31,8.7781876567854743e-32,8.5373119314681614e-32,7.1763367212105471e-41,1.9887391913335891e-47,9.5920362835836143e-25,2.6581888866249453e-31,2.7587732414241747e-41,2.5079208934077315e-25,9.8375276496940122e-33,7.6452383267142111e-48,3.5741852750941966e-41,1.7726084479855052e-56,4.763735207440547e-62,1.0012071837918981e-33,1.4492065075714416e-57,1.0039309702926118e-48,5.5405122559591236e-57,7.0113230296771108e-57,6.3418827989400395e-26,1.9616821086760156e-41,8.5895267692603628e-41,1.0352563886721865e-33,2.4847285294100182e-73,1.06351421594411e-52,2.2377403930376011e-56,3.1252968547202334e-59,8.0930024330438544e-42,2.4727429951612269e-52,1.2558535746957183e-58,5.0127473782826876e-41,1.3891554389612657e-47,1.2174892239278094e-67,1.6471073325111178e-41,4.4888419956205976e-57,3.3739617414829563e-74,1.7270455825874099e-57,5.0077421331794231e-41,1.3877683601755894e-47,9.8917997808114846e-49,1.0275585291178808e-52,5.0463931000896289e-34,2.8858211151764363e-68,1.1922271140725155e-70,1.287185215940803e-78,7.9611236796912889e-44,2.2062229359884645e-50,5.1153008923941274e-59,1.370891497013444e-64,1.8645907762367032e-81,2.0998834178131982e-84,6.0333323820024341e-94,7.117932949146351e-76,7.7641290946826221e-78,2.0890629311026392e-51,9.0458350589059129e-64,1.545263553894528e-74,2.0991875946838894e-86,1.257716030475416e-88,7.3375094551702011e-90,1.0367131271166463e-88,5.0591214858562078e-87,3.8316909386741086e-95,8.1155014558028685e-100,2.2850214479165629e-37,6.3816343530185876e-62,6.3979600008084804e-28,7.5050867277143591e-69,1.0142518924757277e-81,8.0050494181011561e-35,3.1575861470701195e-110,1.7889044218337676e-113,2.2761093165538975e-116,8.6269777435029202e-53,2.6962838160882663e-56,-1.6283908953267888e-111,-1.7580893875243192e-119,-6.8999972817931661e-120,-6.5302893189478922e-126,1.614644374996965e-49,-8.3315004170704289e-129,1.3446214833431637e-44,5.4682143244471004e-42,7.6726102579504928e-53,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.6691569527957349e-52,2.1731714874971308e-54,2.0318216516683483e-56,1.2918248731476939e-59,1.176008705224455e-54,1.6803520887336821e-57,2.849635745732647e-63,2.4689877321847253e-64,4.6278278486500065e-57
3.0000000000000002e-15,0.0029626800453791723,3.6246976621315831e-23,3.6246976580973018e-23,3.5252350245726664e-23,3.5252349982602187e-23,6.6340880197097901e-32,7.9355705193181356e-24,8.5879895452603551e-31,5.7942866056606241e-31,3.7535933350441131e-24,2.0804261555126131e-30,5.7685232953940715e-31,5.6102335322295149e-31,6.7662596596520543e-40,2.4433079540388293e-46,3.1516681899558999e-24,1.7468096203781565e-30,2.6011288178869645e-40,8.2403112508947839e-25,6.4646609384145077e-32,9.3927206791018333e-47,3.3699459561318842e-40,2.6842339748651151e-55,8.5747188721222461e-61,6.5793611930821739e-33,1.8663020844603993e-56,1.2293588688556776e-47,8.7181284947520604e-56,1.0588917239053306e-55,2.0837615117538471e-25,1.8495858247325274e-40,8.0986955339809046e-40,6.8031130973832635e-33,5.1754144412613998e-72,1.002741853792671e-51,3.3884389598542228e-55,3.8396474697382254e-58,7.6305451247683111e-41,3.0379411276709584e-51,1.901721006253058e-57,4.7263038281769036e-40,1.7066764441362871e-46,1.8436252027038834e-66,1.5529867775675067e-40,6.7973883200695018e-56,6.0731274261365934e-73,2.6152401591236302e-56,4.7215846085072864e-40,1.7049723212534159e-46,1.2152780935231358e-47,1.2623650521901587e-51,3.3162011939130803e-33,5.3620365881646517e-67,2.5558568854212181e-69,3.1271919121688386e-77,7.5062016957462943e-43,2.7105022810803816e-49,7.7460222825672011e-58,2.4676034127710961e-63,4.5034774339328994e-80,4.3797545345860031e-83,1.4307573650092246e-92,1.4824023915407394e-74,1.838813428456707e-76,2.5665629358789916e-50,1.111345347072156e-62,2.3376864312532402e-73,3.7723593202297553e-85,2.60021400333853e-87,1.7213380021147314e-88,2.4524524869593607e-87,1.0522415906417419e-85,9.0164151543555219e-94,2.1415435048385496e-98,1.5015855237990195e-36,9.6636172337192487e-61,2.1021830851156907e-27,1.3509155520861835e-67,2.4641057732734319e-80,5.2604608071885019e-34,9.2339915256040429e-109,5.7418970970929616e-112,7.9560093690914544e-115,1.0598087532458427e-51,4.0827031458808241e-55,6.7447096158280857e-110,6.7796027099208338e-118,2.6607998671899921e-118,2.5285075522908814e-124,1.0610519976109849e-48,2.9878879737524521e-127,1.2677859609995534e-43,5.1557449249303797e-41,7.1732457276850126e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.0506784293285394e-51,2.6522517991135782e-53,2.518412637812277e-55,1.9702904868972589e-58,1.4448106869925018e-53,1.5843312306314198e-56,3.500971549575129e-62,3.0333246666614309e-63,4.3633802092240488e-56
7e-15,0.0029626800453791723,8.0373728966235052e-23,8.0373728746980576e-23,7.8168253004308678e-23,7.81682515742845e-23,3.6054825299717705e-31,1.7596265133583633e-23,4.6673854557365241e-30,3.1490687364792549e-30,8.3231784940626406e-24,1.1306654559707286e-29,3.1350669308383664e-30,3.0490398827644152e-30,1.0928524511079976e-38,1.235858069841117e-44,6.988476010421375e-24,9.4935227862728299e-30,4.2012136231305547e-39,1.8271992865444456e-24,3.5134023708423398e-31,4.7509649683250291e-45,5.4429709425432625e-39,4.4329964112224903e-53,4.7738958144051881e-58,3.575738716452589e-32,1.067549216282297e-54,6.1723354736636241e-46,1.6412720773367402e-53,1.7348603715115395e-53,4.6205147895267557e-25,2.9873589272910616e-39,1.3080603571133556e-38,3.6973429645831684e-32,9.678252409522399e-69,1.6195782295317836e-50,5.5926034795545236e-53,1.9421293431319881e-56,1.2324486083821428e-39,1.5366313891926983e-49,3.140707181061149e-55,7.6336843120036407e-39,8.6325931425797262e-45,3.0447314459912551e-64,2.5083069340910297e-39,1.1225926572745091e-53,3.3811526097845567e-70,4.3190865291161042e-54,7.6260622263895356e-39,8.6239736019883979e-45,6.1470361357091787e-46,6.3813352569640675e-50,1.8022833065568574e-32,3.3830640201390606e-64,5.5930428316516066e-66,2.4157149764499144e-73,1.2123643702734175e-41,1.3710087627096258e-47,1.2792510876084827e-55,1.3738156241147889e-60,3.0447872186945508e-76,8.4218152043439353e-80,9.6797549980415729e-89,2.7652018508289744e-71,1.2066793229873914e-72,1.29820277613732e-48,5.6213335813117943e-61,3.8052803914844174e-71,2.0332062876232728e-82,4.2037135308637677e-84,9.5570758410845762e-85,1.567530281013918e-83,1.91208123693159e-82,5.1232365575658939e-90,4.3406094943649694e-94,8.1607909214136269e-36,1.5959542671437127e-58,4.6613382194026498e-27,7.5211628541153274e-65,1.90349262246817e-76,2.8589452456628577e-33,6.7440148807751913e-104,1.5224119499154215e-106,7.7481603570938267e-109,5.3559846322284109e-50,6.7366851233477363e-53,9.6046109820248282e-105,4.1478473535771635e-112,1.6279115014641054e-112,1.3223104690553942e-118,5.7665862227117233e-48,6.7481451827312217e-121,2.0476662330065831e-42,8.3273090393789896e-40,1.0760981350345489e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.0372610737957859e-49,1.2450574527912924e-51,1.2257339345235958e-53,3.1369717521196069e-56,7.3080533978445662e-52,2.558924044712179e-55,1.7707825151708701e-60,1.5342790018720487e-61,7.0475152133771303e-55
1.5e-14,0.0029626800453791723,1.6862722819904158e-22,1.6862722722905992e-22,1.640000528052668e-22,1.6400004647884046e-22,1.5950654055327408e-30,3.6917654571004317e-23,2.0648512031182901e-29,1.3931479568805832e-29,1.7462328448973271e-23,5.0020571213363632e-29,1.3869535532271894e-29,1.3488951850458168e-29,1.0163718197472895e-37,2.3768783702957834e-43,1.4662074614754555e-23,4.1999287783379523e-29,3.9072023432495096e-38,3.8335351107793287e-24,1.5543289787776457e-30,9.1373494922855628e-44,5.0620616312775245e-38,1.7391463328693449e-51,3.7867858416839385e-56,1.5819060273995303e-31,2.1192881208556408e-53,1.1849606285134106e-44,6.6459870369412638e-52,6.7939744888901785e-52,9.694021747750883e-25,2.7782963192714311e-38,1.2165182234172736e-37,1.6357037117284497e-31,1.4868367214567511e-66,1.5062355204601387e-49,2.1921560266709647e-51,3.7351764919418475e-55,1.1462002654605264e-38,2.9553437187167521e-48,1.2321723858248364e-53,7.0994514247865837e-38,1.6602717126617082e-43,1.1945017421171099e-62,2.332769571963275e-38,4.4041840001755073e-52,2.6820176526703064e-68,1.6944761889494295e-52,7.0923629890347381e-38,1.6586139905888364e-43,1.1822346637187757e-44,1.2261815844800791e-48,7.9733017082741969e-32,2.7245201132256937e-62,9.0603973743450497e-64,7.8497563662417549e-71,1.1275202476402521e-40,2.6368090953899439e-46,5.0187388971781112e-54,1.0897486000992006e-58,8.4288800287006941e-74,1.3438072914479797e-77,3.0980149804635835e-86,4.2340959399799868e-69,3.7068548967023848e-70,2.4967855001821318e-47,1.0811292542330317e-59,1.4623809037182318e-69,1.5414646461029019e-80,5.4303006084857458e-82,2.439724041834611e-82,4.6582439292973996e-81,2.8319689266663464e-80,1.3283808306394728e-87,2.2551435546194257e-91,3.6103339265637722e-35,6.26130098043668e-57,9.7795750121819948e-27,5.9660670786686162e-63,6.1853267942722001e-74,1.2647967555403335e-32,6.9984361839983837e-101,3.145005261560603e-103,3.2020082364824962e-105,1.0287522510340628e-48,2.6395844947218979e-51,1.2153308567763504e-101,1.0501186443718975e-108,4.1214159999285481e-109,2.8158725133488465e-115,2.5511372154623366e-47,2.8747212003421501e-117,1.9043677521503139e-41,7.7445533713601343e-39,8.9944209117741865e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.9949252750906414e-48,2.1612671067940521e-50,2.1468485797402668e-52,1.1233365806218231e-54,1.4055316818373066e-50,2.3798314054710036e-54,3.4055164517030737e-59,2.9507695347316882e-60,6.5543141596900311e-54
3.1e-14,0.0029626800453791723,3.451342048365298e-22,3.4513420079347834e-22,3.3566362954236218e-22,3.3566360317272395e-22,6.6485089757999086e-30,7.5560434281395251e-23,8.6066572717164435e-29,5.8068821079562645e-29,3.5740546906670314e-23,2.0849386573697726e-28,5.7810627187730137e-29,5.6224288160960734e-29,8.5781374901972786e-37,4.0412272180073779e-42,3.0009203677344239e-23,1.7505985790401584e-28,3.2976639363518766e-37,7.8462047645500582e-24,6.4787111382117659e-30,1.5535550291100621e-42,4.2723661027323577e-37,5.9369105055685591e-50,2.5906589954485121e-54,6.5936525776035102e-31,3.6587938475756689e-52,2.012979779567788e-43,2.3045499752062673e-50,2.3172818856369784e-50,1.984103727488185e-24,2.3448717552073562e-37,1.0267353549941914e-36,6.8178903795670417e-31,1.8956904886868781e-64,1.2712560062126026e-48,7.4703218191739202e-50,6.3504835596195377e-54,9.673910694649453e-38,5.0247468317339867e-47,4.2063589917672405e-52,5.9918953594796892e-37,2.822828929775067e-42,4.07764370610812e-61,1.9688488846767769e-37,1.5034839466748421e-50,1.834844426492296e-66,5.7845479143626661e-51,5.9859131404456569e-37,2.8200105678825746e-42,2.0100605205778337e-43,2.0810424487860647e-47,3.3234108607317836e-31,1.8344720362629344e-60,1.2216347636315597e-61,2.118128451446169e-68,9.5162300993234293e-40,4.4831698201195893e-45,1.7132435309816693e-52,7.4553141292886424e-57,1.7549661466995178e-71,1.840588308251977e-75,8.489613887038969e-84,5.3667693158437693e-67,9.4034483869990306e-68,4.2451028325352806e-46,1.8381617840567142e-58,4.7973227837762216e-68,9.6650668627620496e-79,5.2675160597521152e-80,4.6146855206721436e-80,1.1169928727556169e-78,3.3926413462838321e-78,2.5799408134429394e-85,8.7654333642711861e-89,1.5048498741487961e-34,2.137468244607984e-55,2.0015754703667961e-26,4.0816735072771492e-61,1.6690167557966649e-71,5.2718873832655591e-32,5.4176767330335767e-98,4.8206708767197318e-100,9.8169170491277399e-102,1.7446104743935083e-47,8.9881538789140247e-50,1.3425572664312643e-98,2.3202334423045184e-105,9.1062556923238426e-106,4.7236573466511602e-112,1.0633578474211107e-46,9.6453640460224833e-114,1.6072828747869366e-40,6.5363900993376249e-38,6.3230304259253303e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.3918241096239055e-47,3.0795210243490732e-49,3.0719629950934312e-51,3.2373624346321806e-53,2.3897257900231487e-49,2.0085473990799091e-53,5.7896000523305945e-58,5.0168018814217828e-59,5.5318186152744101e-53
6.300000000000001e-14,0.0029626800453791723,6.9814807079902882e-22,6.9814805432337965e-22,6.7899069155729106e-22,6.7899058409962676e-22,2.7093030276754333e-29,1.5284599704430181e-22,3.507258701734058e-28,2.3663356047832006e-28,7.2296658016619336e-23,8.4961927435960458e-28,2.3558140316700896e-28,2.291169842078098e-28,7.0206975131126343e-36,6.630064759284042e-41,6.0703189220732367e-23,7.1337464239544642e-28,2.69894392863401e-36,1.5871536093304711e-23,2.640108400827595e-29,2.5487740095889287e-41,3.4966889850692424e-36,1.9502385461402965e-48,1.7030589305829824e-52,2.6869440180249297e-30,6.0486377863890074e-51,3.3011048752364474e-42,7.6303779996103538e-49,7.6091637517689783e-49,4.0135074771629904e-24,1.9191399326076975e-36,8.4032019144666209e-36,2.77832190655066e-30,2.190230709483092e-62,1.0404465359484385e-47,2.4454496613389608e-48,1.0418136562133325e-52,7.9175659516462657e-37,8.2436289966345711e-46,1.3818296998349696e-50,4.903989885666289e-36,4.6311326871525353e-41,1.3394692091049115e-59,1.6113873540960821e-36,4.939055887181119e-49,1.2061876864131612e-64,1.9002720932760002e-49,4.8990944342545299e-36,4.6265093158206889e-41,3.2977057800668245e-42,3.4019784444145304e-46,1.3543081867572964e-30,1.1441359630655531e-58,1.5247481751925734e-59,5.2889016033805145e-66,7.7884778181540938e-39,7.3551252527184878e-44,5.6279026658635574e-51,4.901010280248959e-55,3.0077070018755008e-69,2.4206652496733265e-73,2.2326218771487731e-81,6.1417454181133921e-65,2.1531855664189698e-65,6.9645659508285841e-45,3.0156979476540817e-57,1.461813016200093e-66,5.3941665821103735e-77,4.1355072724904969e-78,6.9050424147211001e-78,2.350317138539664e-76,3.5672421288388777e-76,4.0543006307593722e-83,2.7566014698675718e-86,6.1323449967482856e-34,7.0217977073261332e-54,4.0486938583189141e-26,2.6833599013020876e-59,4.167520562049081e-69,2.1483185892768513e-31,3.3782112236395724e-95,5.8932758405902472e-97,2.4004373374417513e-98,2.8475899536777031e-46,2.9378446369627699e-48,1.3563636868082493e-95,4.6883862186701663e-102,1.8400584584726352e-102,6.4499292518983014e-109,4.333237391867186e-46,2.6342365708962428e-110,1.3154725581757889e-39,5.3496776479284768e-37,3.8696829295028488e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.5646593259540689e-46,3.8122793892697769e-48,3.8108865144849354e-50,8.0771694983750369e-52,3.9206205220675916e-48,1.6438431751916904e-52,9.4966786316445735e-57,8.2300447848063108e-58,4.5274719510463556e-52
1.2700000000000001e-13,0.0029626800453791723,1.4041754534742925e-21,1.4041753869876416e-21,1.3656444497502737e-21,1.3656440161103678e-21,1.0933258631744002e-28,3.0741713593802542e-22,1.4153367369747949e-27,9.5492308072753541e-28,1.4540757703915074e-22,3.4285611680413496e-27,9.5067712466311175e-28,9.2459026140810736e-28,5.6760138726665837e-35,1.072995986563932e-39,1.2209007000046623e-22,2.8787586587064603e-27,2.1820136582438468e-35,3.1922166835741587e-23,1.0654018272943214e-28,4.1248867765522822e-40,2.8269801697064461e-35,6.314712915396935e-47,1.1031270122897021e-50,1.0842991777902473e-29,9.826476486765376e-50,5.3412766018591366e-41,2.4806523933309447e-47,2.4634695273309843e-47,8.0723175533113514e-24,1.5515665336881188e-35,6.7936947956630199e-35,1.1211740985210282e-29,2.2826942696601123e-60,8.4116644475281794e-47,7.863668676693134e-47,1.6858847643635855e-51,6.4011733314494283e-36,1.3341303672983016e-44,4.4746832430136182e-49,3.9646871830284207e-35,7.4948661165887774e-40,4.3370163837057288e-58,1.3027580134603737e-35,1.5993577909405747e-47,7.8127364185469559e-63,6.1534677010286292e-48,3.9607303992694201e-35,7.4873852114304434e-40,5.3368964315682539e-41,5.4666469411222898e-45,5.4652475098699382e-30,6.6575692696170631e-57,1.7754890156000866e-57,1.2320638201701207e-63,6.2967515944615216e-38,1.1903403713861425e-42,1.8222708990607098e-49,3.1745483043531603e-53,4.3046715248884673e-67,3.1361964826036851e-71,5.7815496757322557e-79,6.3161812238339229e-63,4.430870061696116e-63,1.1271379180803256e-43,4.8805344403049348e-56,4.1339767751275974e-65,2.6089404271306423e-75,2.6387011450539242e-76,8.0547204301648245e-76,4.3490860201222995e-74,3.298314262712779e-74,5.177193425052502e-81,7.0453379754508146e-84,2.4746784689833506e-33,2.2738247891910591e-52,8.1424604911077319e-26,1.7382700169578281e-57,9.7085236222424576e-67,8.6694032659613343e-31,1.6972044929326334e-92,5.6961327647743607e-94,4.6407775610308517e-95,4.561847914308525e-45,9.4186758495867869e-47,1.2711270239777726e-92,8.7878560415794592e-99,3.4489845786611443e-99,7.3542910656954551e-106,1.748654296158891e-45,6.0076145210005078e-107,1.063529178785296e-38,4.325094295736762e-36,2.0698578209055232e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,9.0057611280019464e-45,4.1292137930715477e-47,4.1319862304910103e-49,1.7621169319282695e-50,6.3451166291874036e-47,1.3289409067926605e-51,1.5363477046961265e-55,1.3317541270233186e-56,3.6603288942527682e-51
2.55e-13,0.0029626800453791723,2.8162288218272876e-21,2.8162285547356193e-21,2.738950502790122e-21,2.7389487607627397e-21,4.3921356653083764e-28,6.1655946719240804e-22,5.685724098554091e-27,3.8361408145760518e-27,2.9162420249005018e-22,1.3773015653482867e-26,3.8190836367201272e-27,3.7142866874633599e-27,4.5637976057838473e-34,1.7261644235126608e-38,2.4485947049274087e-22,1.1564383449209765e-26,1.75445092634305e-34,6.4023300660923828e-23,4.2799514230884725e-28,6.6358543684523073e-39,2.2730596348505025e-34,2.0317513587736163e-45,7.0993173067127102e-49,4.3558427770491443e-29,1.5838453378557336e-48,8.5916528477973766e-40,7.9987912409133481e-46,7.9267288444491917e-46,1.618994801123743e-23,1.2475400060536939e-34,5.4624195637681302e-34,4.503976212753437e-29,2.1116470267069622e-58,6.763365231507654e-46,2.495776841223448e-45,2.7116085514033041e-50,5.1469735495849443e-35,2.1462551107470508e-43,1.4400017841025831e-47,3.1877496367843612e-34,1.2057037168364143e-38,1.3953813666399431e-56,1.0474852414278668e-34,5.1467632757428455e-46,5.0278130531508554e-61,1.980219707385695e-46,3.1845698502991929e-34,1.2045007095088699e-38,8.58550655238759e-40,8.6713543124372357e-44,2.1955156808929378e-29,3.5461858789335604e-55,1.8929552566620985e-55,2.6281045728651589e-61,5.0629199718488575e-37,1.9149469790869806e-41,5.8631480549456536e-48,2.0430263776978057e-51,5.1825191975438142e-65,4.0367454724877281e-69,1.4863627255992516e-76,5.7546169960664662e-61,8.0789269874033853e-61,1.8132867126022381e-42,7.8514501446606001e-55,1.06090990900317e-63,1.0376577219178616e-73,1.3731717081628106e-74,7.1512749631125138e-74,7.122862875662574e-72,2.6990699667322978e-72,5.389226870327967e-79,1.4680827001467438e-81,9.9413468342399984e-33,7.3174463353226623e-51,1.6328113650227161e-25,1.1189050517737495e-55,2.0709903661489868e-64,3.482669711029217e-30,6.8372141377766862e-90,4.2642389855499405e-91,6.9494046646857532e-92,7.1931625004937368e-44,2.9718287917689142e-45,1.0877633754879339e-89,1.5041128483714457e-95,5.9032179743031825e-96,7.1023653129265858e-103,7.0247190505444391e-45,1.160455961523863e-103,8.5514782882996787e-38,3.4776675870709068e-35,9.8766317729936417e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.4487969284633539e-43,3.9880897250925117e-46,3.9928113643004101e-48,3.4256389637124044e-49,1.0207810969214846e-45,1.0684466915490221e-50,2.4697255032708277e-54,2.1418607771231709e-55,2.9431022344553415e-50
5.11e-13,0.0029626800453791723,5.6403299705543844e-21,5.6403288999223066e-21,5.4855567554964101e-21,5.4855497726162192e-21,1.760581514503436e-27,1.2348443435312844e-21,2.2791133657090566e-26,1.5377119276043394e-26,5.8403660457750141e-22,5.5206658671372541e-26,1.5308744064440215e-26,1.488866567605804e-26,3.6599684938722841e-33,2.7691310104204033e-37,4.9038082849623161e-22,4.6353771905459558e-26,1.4069992324395793e-33,1.2822505767730757e-22,1.7156069117686403e-27,1.0645343713784376e-37,1.8229387606533363e-33,6.5168148882431843e-44,4.5544206396355681e-47,1.7460089789554609e-28,2.5432545171388509e-47,1.378165940363746e-38,2.5691285412143887e-44,2.5432496954765003e-44,3.2425250137082972e-23,1.0004784806837069e-33,4.3805456922655165e-33,1.805386934360786e-28,1.7333842402810466e-56,5.423876215958095e-45,7.7936154634038198e-44,4.3482898601561602e-49,4.1278294816427337e-34,3.4430291656369241e-42,4.6205681110555477e-46,2.5563474226321398e-33,1.9341370969858001e-37,4.4753558528620136e-55,8.4004266898498173e-34,1.6513616765154275e-44,3.2252652958190902e-59,6.3537652623372122e-45,2.5538000407751518e-33,1.9322087305172866e-37,1.3772520784303012e-38,1.3531849016148274e-42,8.8007179319721913e-29,1.6890074578221246e-53,1.805199525496892e-53,5.0149645958127904e-59,4.0602724922625708e-36,3.0719995525064594e-40,1.8806052049448828e-46,1.310667276748501e-49,5.2832214074156255e-63,5.1791519768129207e-67,3.803756147504017e-74,4.6590411479952325e-59,1.3090731454440073e-58,2.9089652296413861e-41,1.2595287761231563e-53,2.4205868261900495e-62,3.262387303845698e-72,5.9469543318605167e-73,4.7833470891423566e-72,1.0581433056217495e-69,2.0035594472439733e-70,4.6619036436345597e-77,2.5423960380723036e-79,3.9849810450281176e-32,2.3479861201949931e-49,3.2691903268812937e-25,7.180911784271178e-54,3.9521572562575659e-62,1.3960037960177411e-29,2.219598979738054e-87,2.4246954534443331e-88,7.9046950420068502e-89,1.1098465549514874e-42,9.1771187816188743e-44,8.3160593312084104e-87,2.2999785049564671e-92,9.0267679926568174e-93,5.8792416197071013e-100,2.8158343507137802e-44,1.9213852443667722e-100,6.8581959071780578e-37,2.7890619173850817e-34,4.3541928102870531e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.3242075962295586e-42,3.5481960932578691e-45,3.5532933788199802e-47,6.1260419281802027e-48,1.6376151658353758e-44,8.5670751400161691e-50,3.9560431892337815e-53,3.4341486154022495e-54,2.3602659410827206e-49
