Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934)
0.0,0.0032485095893898196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0032485095893898196,1.9761612510055985e-22,1.97616124775128e-22,1.9173246549458161e-22,1.917324649482345e-22,4.8434083901519697e-31,1.6444975612853228e-23,2.2565038409423589e-30,1.5158506442597546e-30,7.799903917876169e-24,1.9713551255824111e-30,1.5098160921106227e-30,1.4648640731378436e-30,2.4672713408558042e-39,6.2358050211803839e-46,6.5067435173584454e-24,1.6445205461798736e-30,8.9880648298305422e-40,1.6284263381791739e-24,6.6602479272972302e-32,2.2716520339902872e-46,1.3861427654149822e-39,1.0064874519653656e-54,4.2439152715067722e-60,2.5319851346046324e-32,1.0218747636891639e-55,2.7945658777516332e-47,3.9456572296059939e-55,2.0131590445799139e-55,5.289796035107201e-25,1.7338592298169021e-40,1.1730105707537441e-39,2.6506422918856778e-32,1.0011489783056419e-70,2.2256611106751544e-50,1.1758436713784834e-54,6.1597409125607128e-57,1.9835477894111322e-40,2.5713269231714716e-50,2.3848401955642627e-56,8.7240821747987792e-40,2.2049328284232598e-46,4.0247468961770869e-65,1.4463995302822197e-40,1.5727444980353731e-55,1.017218374816831e-71,3.8952966777267e-56,8.7204757893598403e-40,2.2040213355723762e-46,2.6921047952696044e-47,4.1027239905083819e-51,4.0414815277769894e-33,9.2939064102501631e-66,4.3263603490184399e-68,4.5364645526771532e-76,1.7803083361783199e-42,4.4995682091153472e-49,1.9935971356511105e-57,8.3856783019702331e-63,2.2089782575998424e-78,8.9920295488817816e-82,8.4873247125806904e-91,1.9645237168624536e-73,2.3856764960506664e-75,1.2764399237644196e-49,2.7505580098749703e-61,7.5998665826054017e-72,1.6312916360346769e-83,1.3408570648731234e-85,8.1638509485674386e-87,5.9674696578605922e-85,2.7796290568071696e-83,3.8514549543752517e-92,8.8000095332065538e-97,2.885986187162547e-36,1.6545139984149789e-59,1.9081416840518623e-26,4.2093546772461156e-66,5.3506880545392306e-79,8.9472005697910126e-34,1.1680502055291542e-106,7.7546658435135545e-110,1.2233231613941699e-112,3.4220943343737157e-51,1.4118303897886681e-54,-5.4278990482655924e-108,-5.69150375346263e-116,-5.5079738647836826e-116,-1.3005967892855018e-121,1.9373972987306771e-47,-2.2414168488343267e-124,1.4407532273308182e-43,1.3341035017145625e-40,9.2962420253259609e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.7281047835975271e-50,2.7405648197155702e-52,3.9426744475156254e-54,3.1079863549064709e-57,5.2007030153991316e-53,1.5996839844856929e-55,2.6095673555441433e-61,2.2136466152935643e-62,3.5270715278284091e-55,1.3734007159821078e-61,2.168858637891847e-64,5.4815935705752252e-71,2.4798263987027425e-78,1.0879003072888999e-78,1.7747225664622523e-84
3.0000000000000002e-15,0.0032485095893898196,6.4931012085998285e-22,6.4931011872143043e-22,6.2997809547481032e-22,6.2997809188452933e-22,3.1828112155042994e-30,5.4033491597509356e-23,1.4828453728910344e-29,9.9613042012752772e-30,2.5628249188283226e-23,1.2954617753725455e-29,9.9216485641174063e-30,9.6262495783742924e-30,2.3262841777799625e-38,7.6611312377971864e-45,2.1379294701924317e-23,1.0806847964338582e-29,8.4744603955193835e-39,5.3505438224279579e-24,4.3767343993709177e-31,2.790886573916374e-45,1.3069345221270002e-38,1.5241081564134121e-53,7.6390415277081526e-59,1.6638758943943628e-31,1.3155062115367177e-54,3.4054937348984219e-46,6.2067560016173767e-54,3.0284496684022965e-54,1.73807586546839e-24,1.6347814150603384e-39,1.1059812196546629e-38,1.7418505948172412e-31,2.0850108662236161e-69,2.0984802793444227e-49,1.7804670349096444e-53,7.5676717213804079e-56,1.8702021972560532e-39,3.1590583147915039e-49,3.6113290354007374e-55,8.2255617496060117e-39,2.7089170905738263e-45,6.0946094150228687e-64,1.363748010796029e-39,2.3815841460368827e-54,1.8309912216783995e-70,5.8985914369218224e-55,8.2221614744096978e-39,2.7077972610577255e-45,3.3074425933669616e-46,5.0401534765166259e-50,2.6558307340622887e-32,1.7262972127030906e-64,9.2720312767458681e-67,1.1018447149294578e-74,1.6785762998131316e-41,5.5280405660221286e-48,3.0188728862526373e-56,1.5094209265504042e-61,5.333059668652041e-77,1.8754788105211726e-80,2.0127013450182386e-89,4.0906980080876979e-72,5.649279923244307e-74,1.5681975420613262e-48,3.3792567417296405e-60,1.1495829411268599e-70,2.9305525664641924e-82,2.7705178146270535e-84,1.913563007136606e-85,1.4114948650903831e-83,5.7805203210920101e-82,9.0583697364629066e-91,2.3211334354263295e-95,1.8965052132578738e-35,2.5054066897847009e-58,6.2695984503659708e-26,7.5768378539820869e-65,1.2996085356308048e-77,5.8795890197198546e-33,3.4144130635529503e-105,2.4880310057212705e-108,4.274468821045585e-111,4.2038838327244301e-50,2.1377481241272023e-53,2.2485430803275808e-106,2.1951286806264201e-114,2.1243438999711426e-114,5.0376675148836267e-120,1.2731467877611438e-46,8.0413887593565839e-123,1.3584244941303919e-42,1.2578690162693733e-39,8.6879053110459772e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.1230999325499038e-49,3.3435109042814036e-51,4.8834666172021041e-53,4.7376032178274186e-56,6.3894352135941285e-52,1.5082729354989665e-54,3.20602430483014e-60,2.7196188888193112e-61,3.3255239599657164e-54,1.6873205726581934e-60,2.6645968363723445e-63,8.3006963553161336e-70,4.463649335210255e-77,1.958219545876477e-77,3.7015607998120637e-83
7e-15,0.0032485095893898196,1.4397745870537265e-21,1.4397745754311611e-21,1.3969079158562439e-21,1.3969078963438468e-21,1.7297886605443637e-29,1.1981339633029359e-22,8.0589419504537845e-29,5.4137521686064068e-29,5.682781480022769e-23,7.0405473166705116e-29,5.3922001609481518e-29,5.2316572200436502e-29,3.7572980194791109e-37,3.8751031607976356e-43,4.74062272465798e-23,5.8732822012858505e-29,1.3687526744096196e-37,1.1864250245218607e-23,2.3786601663945366e-30,1.411668092280358e-43,2.1108960112935232e-37,2.5170441224005865e-51,4.2529466083482034e-56,9.0428019630800598e-31,7.5166759301596911e-53,1.6909239925217617e-44,1.1671406699480782e-51,4.9027392222546793e-52,3.853994473582942e-24,2.6404175399788749e-38,1.7863246425201485e-37,9.4665774051221e-31,3.8888080235857965e-66,3.3893606945677203e-48,2.9380860182911008e-51,3.8277734062682484e-54,3.0206598003418813e-38,1.5978928558902056e-47,5.9641339018015949e-53,1.3285507147999932e-37,1.370205729437314e-43,1.0065124521568362e-61,2.2026579221706012e-38,3.9331993210517008e-52,1.019378617180739e-67,9.7415627500591054e-53,1.3280015648419627e-37,1.3696393317185424e-43,1.6729479373410302e-44,2.547341614108646e-48,1.443386324420191e-31,1.0862885233817086e-61,2.0235408415820363e-63,8.4883225077776781e-71,2.7111531079823226e-40,2.7961577669281834e-46,4.9856285597865434e-54,8.4035246468623118e-59,3.5839590510126362e-73,3.606325751507981e-77,1.3616718585760514e-85,7.6051193457098584e-69,3.6947640495375778e-70,7.932157215487196e-47,1.7092737439751994e-58,1.8681724849576851e-68,1.5665042058707412e-79,4.424944885538372e-81,1.041616742345295e-81,8.9972640196455916e-80,1.0475611068426629e-78,5.0844881214266865e-87,4.6471558813466433e-91,1.0307093711204625e-34,4.1376973047610507e-56,1.3902089123801654e-25,4.2183687730107864e-62,1.0011872213610974e-73,3.195429076262402e-32,2.4624463343976369e-100,6.5080846019624597e-103,4.1066883227842652e-105,2.12393630165685e-48,3.5264098078305742e-51,3.1919284199704377e-101,1.33877966290055e-108,1.2956094385690078e-108,2.607839393737849e-114,6.9192757142225297e-46,1.7977155776434519e-116,2.1940615160008187e-41,2.0316490012016845e-38,1.2992169276807188e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.0738921461892958e-47,1.5642930895928705e-49,2.3668662720993122e-51,7.5105213417874117e-54,3.2318656864654841e-50,2.4360813821303582e-53,1.6215571709578692e-58,1.3755963097023088e-59,5.3712158319080274e-53,8.534684254617075e-59,1.347784678388606e-61,1.3708617122937716e-67,2.4847383163870905e-74,1.0902209138561065e-74,7.1176600843424463e-80
1.5e-14,0.0032485095893898196,3.0207034323650481e-21,3.0207033809468262e-21,2.9307674507361197e-21,2.9307673644132827e-21,7.6525847143142399e-29,2.5137321160295279e-22,3.565275703172e-28,2.3950438751012581e-28,1.1922681860014641e-22,3.1147338628445236e-28,2.3855092441737984e-28,2.3144850369243755e-28,3.4943526976667163e-36,7.4528365331634434e-42,9.9459986636747779e-23,2.5983365654517489e-28,1.2729640908842274e-36,2.4891665814622691e-23,1.0523193801483402e-29,2.7150072526076293e-42,1.963171052587686e-36,9.8747637248746411e-50,3.3735325887223545e-54,4.0005342577011898e-30,1.4917567638622404e-51,3.2373532952500973e-43,4.7246844902149705e-50,1.9147360144366907e-50,8.0858321838074828e-24,2.4556347290858931e-37,1.6613116379968004e-36,4.1880124370256717e-30,5.9536236164995587e-64,3.1521647928664813e-47,1.1513315494929149e-49,7.3616456569278733e-53,2.8092701278904921e-37,3.0731619790583832e-46,2.339865787170737e-51,1.2355739716808252e-36,2.6352611277604089e-42,3.948684808517054e-60,2.0485106488583893e-37,1.5430822669413052e-50,8.0858919296758346e-66,3.8218371763402643e-51,1.2350633190472849e-36,2.6341718749977173e-42,3.2175134402170024e-43,4.8933463349634295e-47,6.3855415101030157e-31,8.728157006517261e-60,3.2704942646288247e-61,2.7519263751389456e-68,2.5214204168166481e-39,5.3777440071772926e-45,1.9559415770512643e-52,6.6658652647912434e-57,9.8649566951530407e-71,5.7542909637593508e-75,4.3579706038874806e-83,1.1594336694724699e-66,1.1300883546172866e-67,1.5255621579341084e-45,3.2873810534765148e-57,7.1626957308871121e-67,1.1744359599569295e-77,5.6460990828606816e-79,2.6002973617420684e-79,2.6648496140029015e-77,1.5463626983767735e-76,1.3022228570815256e-84,2.3849576996626744e-88,4.5598583760786404e-34,1.6233139020064651e-54,2.9166876859928186e-25,3.3461649040126696e-60,3.2458765296131628e-71,1.4136580152933016e-31,2.5232236418492432e-97,1.3259505033522432e-99,1.6737938880149293e-101,4.0778567148005659e-47,1.3811631815325008e-49,4.0297113828088935e-98,3.3816694148717148e-105,3.2726253719625889e-105,5.5051529741297819e-111,3.0610873511504642e-45,7.591755023347816e-113,2.04051859068568e-40,1.88947162545065e-37,1.0813949350613755e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.0653743962185938e-46,2.7043700263586219e-48,4.1277831457608216e-50,2.6782303486664042e-52,6.2157327252009353e-49,2.2655898147206209e-52,3.1184102745870586e-57,2.6455636665764452e-58,4.9953180277517033e-52,1.6414400374132717e-57,2.5921301580526906e-60,5.378181528456952e-66,1.9705595036435085e-72,8.6479353276142088e-73,1.1356996660141522e-77
3.1e-14,0.0032485095893898196,6.1825607746830708e-21,6.1825605603630279e-21,5.9984860969639592e-21,5.9984857371554639e-21,3.1897298960241999e-28,5.1449286537639871e-22,1.4860686300043148e-27,9.9829579608212486e-28,2.4402431650649627e-22,1.2982716663613366e-27,9.9432157786483409e-28,9.647174470083743e-28,2.9492198241387371e-35,1.2671494518678528e-40,2.0356708262243115e-22,1.0830289515913424e-27,1.0743770245702475e-35,5.0946507848710119e-23,4.3862508559339754e-29,4.6161230113920861e-41,1.6569101461662314e-35,3.3708964056635473e-48,2.3079095267127739e-52,1.6674910430713319e-29,2.5750267355963187e-50,5.492406289969972e-42,1.6380755003171664e-48,6.5220954627864469e-49,1.6549509580204371e-23,2.0725465723197971e-36,1.4021380509202211e-35,1.7456351406957354e-29,7.5441559844231984e-62,2.6604149632358183e-46,3.9212771820219906e-48,1.2515900409898153e-51,2.3710191904140574e-36,5.2250523566422305e-45,7.9877578857132665e-50,1.042817266911826e-35,4.4805260800109759e-41,1.3479260330354837e-58,1.7289354630569133e-36,5.2677136283191754e-49,5.5316754203419738e-64,1.3046862894860335e-49,1.0423863882115757e-35,4.4786743685311354e-41,5.4704853119262125e-42,8.3001661235568038e-46,2.6616048882367369e-30,5.853579793542317e-58,4.3922966358058248e-59,7.3963729432257908e-66,2.1280700547380659e-38,9.1433768161737595e-44,6.6768976604481056e-51,4.5602699095424668e-55,2.036740043252962e-68,7.8813871274249309e-73,1.194191870020787e-80,1.4583403241048174e-64,2.8448656439788329e-65,2.5938011542373652e-44,5.5892879998962121e-56,2.3394985072081903e-65,7.2139274268497819e-76,5.3930619654406306e-77,4.7519736608219278e-77,6.3557421066677807e-75,1.8425508292429037e-74,2.4904157511609837e-82,9.128224964559673e-86,1.9006282259680176e-33,5.5416221308951852e-53,5.9695677912690992e-25,2.2892687859817176e-58,8.7240370483301841e-69,5.8923735806706506e-31,1.9219554409385042e-94,1.9950798806448128e-96,5.0373567771661073e-98,6.9097661883203431e-46,4.6992613657412994e-48,4.43404866814485e-95,7.4424008107198037e-102,7.2024190905260294e-102,9.1258104727647434e-108,1.2759141648394371e-44,2.5171111174948355e-109,1.7221947573050172e-39,1.5947108984853323e-36,7.5550135029357559e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.5115966740004057e-45,3.8300217925095627e-47,5.8701371681278715e-49,7.67165267906845e-51,1.0568174165853876e-47,1.912134962315294e-51,5.3010962036699639e-56,4.4978243955527647e-57,4.2160180224407743e-51,2.7908067006417107e-56,4.4071620825603479e-59,1.8359714465102889e-64,1.3475718932018343e-70,5.9163270450374279e-71,1.5555111289453816e-75
6.300000000000001e-14,0.0032485095893898196,1.2506274066100947e-20,1.2506273192735419e-20,1.2133921695292429e-20,1.2133920229053896e-20,1.2998320188773275e-27,1.0407322658339142e-21,6.0558088297556576e-27,4.0681089489692225e-27,4.9361727356438998e-22,5.2904991994513931e-27,4.0519136437903442e-27,3.9312751376917186e-27,2.4137619758070782e-34,2.0788933423858479e-39,4.1177958343054086e-22,4.4133786876730532e-27,8.7931466137080097e-35,1.0305623549790687e-22,1.7874218209750189e-28,7.5732450838617736e-40,1.3560854936783366e-34,1.1072897561366243e-46,1.5171444667434888e-50,6.7951076254969228e-29,4.2566593518773967e-49,9.0012742226127906e-41,5.423260259435308e-47,2.1402190652984164e-47,3.3476872276517675e-23,1.6962577483650836e-35,1.1475631616796325e-34,7.1135485567731043e-29,8.6295722802218809e-60,2.1773928929410177e-45,1.2822385342985355e-46,2.0531865863077685e-50,1.9405493078861326e-35,8.5722123282979024e-44,2.6240448058719384e-48,8.5348054791306863e-35,7.3507491007961682e-40,4.4276343188614732e-57,1.4150323812747341e-35,1.7304807606161501e-47,3.6362574638261519e-62,4.2860022780580043e-48,8.5312807892664977e-35,7.3477120317835985e-40,8.9748812614287763e-41,1.3553468670817489e-44,1.0846186976005936e-29,3.6253495663436264e-56,5.444044766931621e-57,1.8340364015624746e-63,1.7417014511505295e-37,1.5000698552597676e-42,2.1932639075323192e-49,2.9977747651166275e-53,3.4500585387099055e-66,1.036485176696246e-70,3.1403072058889306e-78,1.6485731529962478e-62,6.4348254316180612e-63,4.2554167718086749e-43,9.1698292380831472e-55,7.0739141217245419e-64,3.8860781452350994e-74,4.1722464178865448e-75,6.7695075440287648e-75,1.3273758542665252e-72,1.922905647065942e-72,3.8561756628432371e-80,2.8285828243534423e-83,7.745163873919712e-33,1.8204727122886475e-51,1.2075018252815658e-24,1.5049985550546149e-56,2.1632847119237168e-66,2.4011754581975778e-30,1.1790756583847113e-91,2.3885951261019208e-93,1.2062908269259021e-94,1.125996313921886e-44,1.5335356806365428e-46,4.4486101567770029e-92,1.493433941825851e-98,1.4452785435226498e-98,1.2281815861452262e-104,5.1994179274385136e-44,6.775695512399074e-106,1.4095229564825126e-38,1.3051836217868226e-35,4.5876160436865104e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.7611368317636301e-44,4.7049272400904141e-46,7.2258117342538308e-48,1.8994568679180737e-49,1.7338323349116435e-46,1.5649467567087578e-50,8.6940612836073069e-55,7.3784137910962082e-56,3.4505440796024394e-50,4.5785832036876566e-55,7.2302840086001115e-58,6.0312222089230491e-63,8.8515132655630758e-69,3.8893056190644307e-69,2.045649050645786e-73
1.2700000000000001e-13,0.0032485095893898196,2.5153695076066584e-20,2.5153691551644081e-20,2.4404786115443998e-20,2.4404780198513752e-20,5.245407925419759e-27,2.0932114383763484e-21,2.4437913935816846e-26,1.6416653622097948e-26,9.9279503281410569e-22,2.134932742077157e-26,1.6351297033398044e-26,1.5864465597058955e-26,1.9514512384901452e-33,3.364435991370699e-38,8.2819782051655622e-22,1.7809791882536699e-26,7.1089946370449655e-34,2.0727586511962646e-22,7.2130613783547245e-28,1.2256391156160608e-38,1.0963569234274731e-33,3.5851262153490936e-45,9.8265315338676535e-49,2.7421259204329161e-28,6.9150064796527526e-48,1.4559654146412115e-39,1.7630444444666024e-45,6.9266837138828064e-46,6.7331629281049471e-23,1.3713730317245575e-34,9.2776271334332321e-34,2.8706308208777677e-28,8.868867473263375e-58,1.7603552060596506e-44,4.1142490965474027e-45,3.3222507973319915e-49,1.5688902888599674e-34,1.3872949081943942e-42,8.4971904697660813e-47,6.9000640964660026e-34,1.1896195844503978e-38,1.4334895623756313e-55,1.144011099057452e-34,5.6036036720851844e-46,2.3550899729276512e-60,1.387894308802697e-46,6.8972173995489549e-34,1.1891283502012456e-38,1.4524652404074003e-39,2.1730908700371315e-43,4.3769288107401668e-29,2.0852193130972543e-54,6.2664911533770628e-55,4.2233959273141065e-61,1.408114490536661e-36,2.4276861436974108e-41,7.1012475348976128e-48,1.9416587376377856e-51,4.861745013735344e-64,1.3427536726592522e-68,8.1309788349955365e-76,1.6672483599898771e-60,1.3022246000595351e-60,6.8869078012580603e-42,1.4840279984602131e-53,1.9757809007378604e-62,1.7801452956026737e-72,2.6416454836015213e-73,7.3991892626191054e-73,2.4354623325416388e-70,1.7628977296859524e-70,4.8852368622412309e-78,7.1719974668227606e-81,3.1255242828637673e-32,5.8950854091397393e-50,2.428468033018735e-24,9.7492602362819055e-55,4.9817460865967368e-64,9.6898383828512051e-30,5.8593547162685856e-89,2.2640855808344468e-90,2.2870731060260098e-91,1.798100516669006e-43,4.9010669020015014e-45,4.1212784646495712e-89,2.7672062708451269e-95,2.6779796328393715e-95,1.3777003971258646e-101,2.0981989129511411e-43,1.5202265806282665e-102,1.1395689319416529e-37,1.0552116746813421e-34,2.4348269917720334e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,9.3236645111549077e-43,5.056100006476131e-45,7.7729996749021549e-47,4.1114871274164855e-48,2.8060324799559708e-45,1.2651741608740822e-49,1.4060743396823402e-53,1.1938655296930658e-54,2.7896292776378569e-49,7.4097771215748917e-54,1.1700902972860617e-56,1.9529699878705026e-61,5.7240928403183141e-67,2.5192361917759999e-67,2.6500834274125169e-71
2.55e-13,0.0032485095893898196,5.0448514804537772e-20,5.0448500646148437e-20,4.8946487849753526e-20,4.8946464080138944e-20,2.1071982095021601e-26,4.1981712698501356e-21,9.8172562054740378e-26,6.5949392632852481e-26,1.9911179330744226e-21,8.576327063639506e-26,6.5686830616754394e-26,6.3731113722230231e-26,1.5690644536982884e-32,5.4124737564934619e-37,1.6610072375503352e-21,7.1544490308794748e-26,5.7160034972550173e-33,4.1571582165027852e-22,2.8976559445002932e-27,1.9717290034563096e-37,8.8153245199955471e-33,1.1533895177963939e-43,6.3233363044096665e-47,1.101568602126326e-27,1.1145481679423932e-46,2.3416065964778323e-38,5.6847681323506406e-44,2.2284408133827558e-44,1.3504126972035011e-22,1.1026550739592539e-33,7.459575294908362e-33,1.1531916145771407e-27,8.074037923623686e-56,1.4154152982745318e-43,1.300247770843565e-43,5.3427378967019089e-48,1.2614932001162146e-33,2.2317418016759899e-41,2.7344422184910958e-45,5.5479006646103254e-33,1.9137470185904879e-37,4.6113209195507772e-54,9.1984470410939605e-34,1.8032413881482146e-44,1.5153490250605933e-58,4.4663172951768508e-45,5.5456164484490019e-33,1.912957650365978e-37,2.3365938581277159e-38,3.4321393563254176e-42,1.7583135419735429e-28,1.0921012791037682e-52,6.5695889769804504e-53,8.858558070210164e-59,1.1321996874822647e-35,3.9055127565032441e-40,2.2845853409092243e-46,1.2494535176544895e-49,5.7397562883532179e-62,1.7280405677019749e-66,2.0898096049622642e-73,1.491100012023389e-58,2.3307958841635419e-58,1.1079292144492193e-40,2.3874110645696123e-52,4.9843913690676302e-61,6.6003435285849676e-71,1.3839018844927949e-71,6.0842308831996329e-71,3.9583566949503557e-68,1.4316091489550316e-68,5.1168584767008299e-76,1.5036546520951712e-78,1.2555946476173284e-31,1.8970865319895628e-48,4.8699050304173686e-24,6.275411250982805e-53,1.0449871678112509e-61,3.8926365337034814e-29,2.3617093109637572e-86,1.6702783160650076e-87,3.3749809387084401e-88,2.8178163027188213e-42,1.5370458382427874e-43,3.4680479217182416e-86,4.6574500677977597e-92,4.5072760059981703e-92,1.3077844732138112e-98,8.4289322755192837e-43,2.8863892548827017e-99,9.1629232450432537e-37,8.4846139337796985e-34,1.1548132904772004e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.4999160212499045e-41,4.8516403582237904e-44,7.4623995841336112e-46,7.9408310592287374e-47,4.5142675386304319e-44,1.0172049497090178e-48,2.2589339077497365e-52,1.91983443390328e-53,2.2429566206673621e-48,1.1920010135009928e-52,1.8822223520435567e-55,6.2843639946397393e-60,3.6718767615609217e-65,1.6212948554677232e-65,3.4104174938430278e-69
5.11e-13,0.0032485095893898196,1.0103806509580296e-19,1.0103800834215745e-19,9.8029782894620858e-20,9.8029687614639839e-20,8.4466747576807157e-26,8.4080968773882913e-21,3.9352312256699884e-25,2.6435727887333127e-25,3.9876332704392555e-21,3.4376665810312189e-25,2.6330472318558507e-25,2.5546521395503279e-25,1.2583227786890762e-31,8.6827257573561443e-36,3.3265178509248196e-21,2.8677351304584102e-25,4.5840167824288467e-32,8.3259852381170316e-22,1.1615270822403951e-26,3.1630762589758119e-36,7.0696204998201599e-32,3.698708435537774e-42,4.0557653138608014e-45,4.4155824740081986e-27,1.7896608699814591e-45,3.755825070130612e-37,1.8258662251035571e-42,7.1492678136155556e-43,2.7046105618084246e-22,8.8428640020844003e-33,5.9820989507104781e-32,4.6225102527777987e-27,6.5315635264008108e-54,1.1351053585192504e-42,4.0275174589536221e-42,8.5648581401898121e-47,1.0117068854106058e-32,3.5800366710337204e-40,8.7737736910941193e-44,4.4490254974210105e-32,3.0699449311209688e-36,1.4784887797849129e-52,7.3768028290462588e-33,5.7857233014515197e-43,9.7175673313071583e-57,1.4330680398406065e-43,4.447201143936373e-32,3.0686814949661982e-36,3.7482746940674969e-37,5.3118795183119502e-41,7.0481986944371411e-28,5.0968679028051581e-51,6.139286827355024e-51,1.6564188735995411e-56,9.0798415738449468e-35,6.2653064240325378e-39,7.32628569668502e-45,8.0139935563020363e-48,5.7243750088773975e-60,2.2163599957789161e-64,5.3451731779917627e-71,1.1875811604423502e-56,3.7152726622918061e-56,1.7773817564618543e-39,3.8299283710695814e-51,1.1156802793419837e-59,1.9291772327940976e-69,6.1524048282461628e-70,3.7792133665962103e-69,5.8474794926005281e-66,1.0567680836468605e-66,4.5393839486359756e-74,2.6702240044153624e-76,5.0330443178640958e-31,6.0871233232211136e-47,9.7507983141477548e-24,4.0273336992446986e-51,1.9542241033879055e-59,1.5603665729018242e-28,7.7834879105867189e-84,9.4109079050709961e-85,3.8039525321049624e-85,4.297704229140404e-41,4.6927762285641448e-42,2.598234924616716e-83,6.979159214161756e-89,6.7541287680653756e-89,1.0666772256468891e-95,3.3787224700251867e-42,4.7088974399928945e-96,7.3486245347297713e-36,6.8045936616113267e-33,5.0717596631665003e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.4061393203938787e-40,4.2959466346051256e-43,6.6093029284116475e-45,1.4131871044391857e-45,7.242186549313838e-43,8.1566208971627929e-48,3.6140132541134179e-51,3.0773312853334993e-52,1.7986835207055668e-47,1.9121096812306097e-51,3.0190312913541785e-54,2.0161559929454883e-58,2.3404545054283557e-63,1.0401190999388661e-63,4.3739629465315556e-67
