Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702)
0.0,0.002673521140762719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002673521140762719,6.7262928387004103e-22,6.7262928217194032e-22,6.5193028895638183e-22,6.5193028684515505e-22,2.5434923270518832e-30,4.7150165881171688e-23,9.5450703621077099e-30,6.4022081421716896e-30,2.2384378276354535e-23,6.8741843030977455e-30,6.3774565335103695e-30,6.1812014202082148e-30,1.401041125597265e-38,4.3025608252085708e-45,1.8618426568076804e-23,5.7176703837687601e-30,4.9882335493020157e-39,4.5732719220126227e-24,2.4092523272996389e-31,1.531873530792078e-45,8.2857406490226611e-39,8.9420623569123016e-54,4.5682117615807704e-59,1.2663592354581046e-31,9.9871388583915396e-55,1.8639856455388318e-46,3.867540068082419e-54,1.7242935015895265e-54,1.6550378391690546e-24,8.9296239604785819e-40,5.7195983509690237e-39,1.3312347625057555e-31,2.0438849103203701e-69,3.122992770546825e-49,1.286735254670875e-53,1.0652218279933837e-55,1.2392454346698514e-39,2.9632697975736291e-49,3.5529572719116227e-55,4.7251010453946604e-39,1.4510662445927349e-45,8.6817958530065012e-64,7.4273025288502318e-40,1.4515564704731909e-54,2.6661569909787776e-70,3.7879412576576479e-55,4.7244304753989146e-39,1.4508603021820649e-45,1.7636039988351524e-46,4.0054189373857115e-50,1.5692049336423031e-32,1.7278019971820573e-64,8.4754788480172049e-67,1.1102074297073296e-74,1.0732824175914771e-41,3.2960223806889103e-48,1.9239994297629899e-56,9.8069412584257929e-62,7.1606155508304238e-77,3.481788397423848e-80,5.4455240314688868e-89,4.3527770929124325e-72,5.5367416070846977e-74,1.1630227843929525e-48,5.7172270615563757e-60,2.4552063546295299e-70,8.1300870872534233e-82,7.6314558985627498e-84,4.7292490219665115e-85,3.7707411286311368e-83,1.7218893276558953e-81,2.7029039770489265e-90,6.3801908236807025e-95,1.3650930933483594e-35,2.7808646901775951e-58,8.0961363922958542e-26,9.8767118829116006e-65,1.5532540320867917e-77,3.9877355365316383e-33,1.430837404119822e-104,1.0164623140028269e-107,1.7579362961519522e-110,3.3310736563566775e-50,1.5422423444611456e-53,-5.5451460129494076e-106,-7.2636252412467989e-114,-8.1501893061790721e-114,-2.8347350481690852e-119,2.5714746885872696e-46,-5.5472157743505707e-122,8.0475009754751691e-43,8.3211412302386711e-40,1.2647636343478241e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.9884107127547022e-49,3.7899735162702848e-51,6.5388898218328552e-53,5.6509977483831535e-56,5.2985434616842578e-52,2.2151054938046757e-54,4.4918134119862719e-60,3.777758497280563e-61,4.5085207485140797e-54,1.9280578168450234e-60,4.5778749807965654e-63,1.4058534918873211e-69
3.0000000000000002e-15,0.002673521140762719,2.2100676286151939e-21,2.2100676174562452e-21,2.1420566401439843e-21,2.1420566262702079e-21,1.6714378067477748e-29,1.5492197516637978e-22,6.2724747648153795e-29,4.2071653336123426e-29,7.3548648647944444e-23,4.5173203934131945e-29,4.1908999853376805e-29,4.0619323371156448e-29,1.3209814755593794e-37,5.2860027470185029e-44,6.1174811264093007e-23,3.7573256696306819e-29,4.7031911417800114e-38,1.5026466037496167e-23,1.583223009129173e-30,1.8820158746197293e-44,7.8122691624133912e-38,1.3540822145856366e-52,8.2227734375412964e-58,8.3217889857383464e-31,1.2855536827435175e-53,2.2629846695755714e-45,6.083344530330035e-53,2.5860457418754559e-53,5.4379815504971278e-24,8.419358799023498e-39,5.3927631285447594e-38,8.7481138603628217e-31,4.256375179720196e-68,2.9445357069448367e-48,1.948366821195078e-52,1.3086988752612228e-54,1.1684314077258727e-38,3.6405879151200632e-48,5.3801916722936475e-54,4.4550943016484672e-38,1.7827382116297428e-44,1.3146699142081391e-62,7.0028844849599082e-39,2.1980707976250541e-53,4.7990763328693508e-69,5.7360245085566862e-54,4.4544620716069794e-38,1.7824851998656743e-44,2.1667131263604886e-45,4.9205756486094717e-49,1.0311918194104489e-31,3.2089484643155042e-63,1.8162361470998531e-65,2.6962989900466814e-73,1.0119518956259994e-40,4.0493985744735728e-47,2.9134816184975558e-55,1.7652477789545546e-60,1.728482024663948e-75,7.2620076356842807e-79,1.2913621779864111e-87,9.0630214847856521e-71,1.3110108542915714e-72,1.4288564804543113e-47,7.0240212103880377e-59,3.7136320426128259e-69,1.4603111930948786e-80,1.5764386003600029e-82,1.1080217551412756e-83,8.9185095227627351e-82,3.5806227837621325e-80,6.3556514887936729e-89,1.6825394049717214e-93,8.9706117955004608e-35,4.2110231925010627e-57,2.6601539308856674e-25,1.7778079680190239e-63,3.772302191450885e-76,2.6205119762861316e-32,4.1818245431544684e-103,3.2606643481007671e-106,6.1414733431813029e-109,4.092021144617951e-49,2.3351914767959632e-52,2.2972341673821874e-104,2.8016308284074519e-112,3.1435847131969289e-112,1.0981507166443018e-117,1.6898262108654246e-45,1.9904493355099263e-120,7.5876440695927328e-42,7.8456474618292248e-39,1.1818017986405796e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.4429042346931753e-48,4.6230190707348032e-50,8.0966816028428843e-52,8.6118334328458434e-55,6.5096393006325478e-51,2.088527097241224e-53,5.5184781368144033e-59,4.6412371323290785e-60,4.2508900768722206e-53,2.368756231219262e-59,5.6242439593985296e-62,2.1288630859134981e-68
7e-15,0.002673521140762719,4.9005846233996617e-21,4.9005845627532065e-21,4.7497776156089837e-21,4.7497775402080305e-21,9.0839008346234479e-29,3.4352265060405636e-22,3.4089535189084416e-28,2.2865028387313508e-28,1.6308598704294205e-22,2.4550628847299404e-28,2.2776629562996435e-28,2.2075718348679503e-28,2.1335829052082981e-36,2.6737305925992649e-42,1.3564837300110665e-22,2.0420227602171272e-28,7.5963590381229407e-37,3.3319562532303068e-23,8.6044746860261071e-30,9.5194881228038288e-43,1.2617989604363006e-36,2.2362422075356242e-50,4.5779193579936359e-55,4.5227104297672544e-30,7.3431750094894706e-52,1.1139081713779541e-43,1.1435471957884764e-50,4.1475759349416518e-51,1.2058133511245305e-23,1.3598526271474004e-37,8.7101142750311993e-37,4.7544086696477476e-30,7.929040209029758e-65,4.7558663659255058e-47,3.2148382262176743e-50,6.6194462532350574e-53,1.8871936679204985e-37,1.8414558995096314e-46,8.8854180359028743e-52,7.1956379548655763e-37,9.0173193529999488e-43,2.1711397045310955e-60,1.1310708282098675e-37,3.6301240729205948e-51,2.6718043653529825e-66,9.473078247516927e-52,7.1946171283582657e-37,9.0160397783574541e-43,1.0959515591502535e-43,2.4866659073053994e-47,5.6043035740979597e-31,2.0171493905833876e-60,3.9595029273329798e-62,2.074891074449933e-69,1.6344541850806289e-39,2.0482401746780467e-45,4.8115626379444114e-53,9.8277826504355051e-58,1.1585674500942464e-71,1.3963915614077655e-75,8.7365094740138538e-84,1.6823149954267334e-67,8.5609438453207671e-69,7.2273503996778027e-46,3.5528442454464614e-57,6.0302015951777159e-67,7.7730883072484784e-78,2.5039301957718184e-79,5.969277860524643e-80,5.6780388099907051e-78,6.4811050216928495e-77,3.5476310341613156e-85,3.3498341165705275e-89,4.8753326361559171e-34,6.9545326577144347e-55,5.8985689306926622e-25,9.8978582695808811e-61,2.9029219596773277e-72,1.42419147634765e-31,2.9986136697690782e-98,8.4763538600708197e-101,5.8638300744892232e-103,2.0671289398147438e-47,3.8515636102490199e-50,3.2570285052446854e-99,1.7065644648217331e-106,1.9148607333558887e-106,5.6600798834944059e-112,9.1838376353308911e-45,4.4304244292707449e-114,1.2255197200117199e-40,1.2671909011482417e-37,1.7648668051651154e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.2356528331049036e-46,2.1596943629383967e-48,3.9169776507309635e-50,1.362654032513264e-52,3.2926670342941991e-49,3.3732737824643261e-52,2.7911077907756364e-57,2.3475477174181256e-58,6.8658180059649275e-52,1.1981468254641893e-57,2.8448062143379369e-60,3.5158183840480019e-66
1.5e-14,0.002673521140762719,1.0281618254834131e-20,1.028161798653424e-20,9.9652191074394994e-21,9.9652187738657337e-21,4.0187175168456093e-28,7.2072403180314893e-22,1.5081209209281519e-27,1.0115488117817494e-27,3.4216021911710386e-22,1.0861179487932784e-27,1.0076380336551573e-27,9.7662971545791972e-28,1.9842687367035625e-35,5.1422811055805217e-41,2.8459512856838775e-22,9.0338935504697787e-28,7.0647458317353361e-36,6.990577793909852e-23,3.8066209315136882e-29,1.8308461234478763e-41,1.1734954270126025e-35,8.7730969877990959e-49,3.6312934280041507e-53,2.000846377212146e-29,1.4571951988105508e-50,2.1280111450865031e-42,4.6287694255359475e-49,1.6163015301657085e-49,2.5298438970356564e-23,1.2646864355900914e-36,8.1005474211657823e-36,2.1033496333049652e-29,1.2119814931268658e-62,4.423037736820091e-46,1.2596035575506042e-48,1.2730555165972557e-51,1.7551253912727569e-36,3.5415942214692445e-45,3.4859497653865761e-50,6.692057351702953e-36,1.7342633434622883e-41,8.5176119099849493e-59,1.0519154562073225e-36,1.4241779450643553e-49,2.1193068927832897e-64,3.7165022214788446e-50,6.6911084320071288e-36,1.7340173034066715e-41,2.1077983168897388e-42,4.7761011877498698e-46,2.4793440538460244e-30,1.619056041249002e-58,6.3927793011220327e-60,6.7198363370909031e-67,1.5200709379828618e-38,3.9393012111629823e-44,1.8876449662182631e-51,7.7955870910237824e-56,3.1807192901893053e-69,2.2280805167130415e-73,2.7960522242565533e-81,2.5596026088219735e-65,2.6132168606287472e-66,1.3900090927676208e-44,6.8330480974076792e-56,2.309463192804348e-65,5.7947654990891256e-76,3.1783123012510013e-77,1.4731690972248415e-77,1.6792801655543533e-75,9.5530385543047559e-75,9.0388404921144205e-83,1.7102407207594127e-86,2.1568472600975403e-33,2.7284217370003404e-53,1.2375298241813934e-24,7.8513400655422382e-59,9.401583871215279e-70,6.3006244501083992e-31,3.0561289793859092e-95,1.7166683357066039e-97,2.3757210312635847e-99,3.9679550290951748e-46,1.5082035260980109e-48,4.1076334917640495e-96,4.3062004624659724e-103,4.831800082187672e-103,1.1902432520913801e-108,4.0629294268152242e-44,1.8637667128734627e-110,1.1397566979077925e-39,1.1785112637015403e-36,1.466299113802705e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.3764806830631556e-45,3.7270440471257992e-47,6.8183677056793752e-49,4.8502864805041505e-51,6.3326710932531667e-48,3.1371875958340531e-51,5.3674171420957386e-56,4.5147969482411811e-57,6.3853197994235954e-51,2.3043440770466596e-56,5.4712715998370791e-59,1.3793282629864024e-64
3.1e-14,0.002673521140762719,2.1043684085165388e-20,2.1043682966845076e-20,2.0396100254702906e-20,2.0396098864309913e-20,1.6750710523302161e-27,1.4751269154947547e-21,6.2861088622599359e-27,4.216310691832887e-27,7.0030690441258583e-22,4.5271129118637483e-27,4.2000097745002475e-27,4.0707616717521427e-27,1.6747139829405433e-34,8.7430254944506293e-40,5.8248716808431598e-22,3.765471323098991e-27,5.962616515148775e-35,1.4307829842130811e-22,1.5866667705959183e-28,3.1128481352243014e-40,9.9042612480438359e-35,2.9948016213454026e-47,2.4842292980432852e-51,8.3398692032172141e-29,2.5152565887959278e-49,3.6066039518370769e-41,1.6047489544581563e-47,5.4997345718729177e-48,5.1779056038889143e-23,1.0673899601392159e-35,6.8368120253617279e-35,8.7671202005168443e-29,1.5314588175852094e-60,3.7330247560372439e-45,4.288841395444306e-47,2.164355473332334e-50,1.4813227875993866e-35,6.021481628018558e-44,1.1900205698846975e-48,5.648050872508822e-35,2.9486270092657491e-40,2.9075353813383494e-57,8.878122368457663e-36,4.861795212156208e-48,1.4498270426081953e-62,1.2687257841443589e-48,5.647250761911896e-35,2.9482088728604135e-40,3.5837198064047884e-41,8.0989901507116526e-45,1.0334337670779687e-29,1.0838195345256614e-56,8.5697193882981853e-58,1.802768199291311e-64,1.2829339047116062e-37,6.6976954913433293e-43,6.4437042955134865e-50,5.3330950142535291e-54,6.5416061611484443e-67,3.0516543180003297e-71,7.6617166606583476e-79,3.2081653104787078e-63,6.5554009927254561e-64,2.3633295602244757e-43,1.1617714139378811e-54,7.527757468625485e-64,3.5231821523987893e-74,3.0185236805605115e-75,2.6459308146196815e-75,3.9956987921824777e-73,1.135595069604406e-72,1.7187102844151138e-80,6.5083131294720217e-84,8.990114635565429e-33,9.3141970620413287e-52,2.5328354125399414e-24,5.3714651146962156e-57,2.5222420092276055e-67,2.626210755764559e-30,2.3136959904746633e-92,2.564230099573674e-94,7.0979708676520879e-96,6.7207629443832607e-45,5.1294170546712623e-47,4.5114773679648049e-93,9.4596901054888131e-100,1.0614313329880367e-99,1.9627074818340547e-105,1.6934992374856573e-43,6.1470938322587157e-107,9.6195342054618472e-39,9.9466152359566094e-36,1.021658068650573e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.0405411012377689e-44,5.2644452208955924e-46,9.6704461537917092e-48,1.3856758939874099e-49,1.0767000611673797e-46,2.6477476105575712e-50,9.1237541761200724e-55,7.6756601660203749e-56,5.3891668435334521e-50,3.9178834475160337e-55,9.3022734503916371e-58,4.7086552605705265e-63
6.300000000000001e-14,0.002673521140762719,4.2567810015678788e-20,4.2567805458464577e-20,4.1257855203641665e-20,4.1257849537717853e-20,6.8260039722638444e-27,2.983933168039352e-21,2.5616226846352347e-26,1.7181691804035689e-26,1.4165931596761254e-21,1.8448106828375087e-26,1.711526374662338e-26,1.6588570316891207e-26,1.3706527587433946e-33,1.434384181809109e-38,1.178265360708444e-21,1.5344399687998855e-26,4.8800473537400727e-34,2.8942369805933876e-22,6.4657619357166451e-28,5.1069545300211112e-39,8.1060623727567182e-34,9.837320352377347e-46,1.6330247700309343e-49,3.3985371850087755e-28,4.1577590465881825e-48,5.9076792727876545e-40,5.3127972687757157e-46,1.8037787063774517e-46,1.0474031477599821e-22,8.7359492791006271e-35,5.5954970376348559e-34,3.5726439841901902e-28,1.7439152217622438e-58,3.0552574070447363e-44,1.4016550898578088e-45,3.5504471039453569e-49,1.2123814714122016e-34,9.8788042765116482e-43,3.9093055903313849e-47,4.6225645258318909e-34,4.8375037296752344e-39,9.5503181676939489e-56,7.2662141191329695e-35,1.5971287906478466e-46,9.5301846948990281e-61,4.1678585259204784e-47,4.6219109460182655e-34,4.8368183447741498e-39,5.8794393896353274e-40,1.3217512834064532e-43,4.211299653705928e-29,6.6905710246777254e-55,1.0587164779706815e-55,4.455667865226466e-62,1.0500056102253991e-36,1.0988279468425367e-41,2.1166286715633298e-48,3.5057482758325708e-52,1.1021384925410421e-64,4.0131279183680748e-69,2.0146801558385499e-76,3.6066217612329285e-61,1.4745971474134615e-61,3.877300466242474e-42,1.9060091604366618e-53,2.2679571641346045e-62,1.8656633963899579e-72,2.326172933322756e-73,3.6798742417710007e-73,8.3178065475512131e-71,1.1812666332983383e-70,2.6507854831723807e-78,2.0088012236669523e-81,3.6635211411290524e-32,3.0597907535096507e-50,5.1232855060443194e-24,3.5312714615770935e-55,6.2340280357667522e-65,1.070196023698629e-29,1.4127858343415998e-89,3.0488051563737035e-91,1.6880066644119315e-92,1.0943023874968335e-43,1.6725655358767007e-45,4.5115851060416455e-90,1.8920677161294022e-96,2.1230096689915075e-96,2.6247045566660525e-102,6.9010989620208828e-43,1.644202814496806e-103,7.8730733844156189e-38,8.1407601159155394e-35,6.1830480498812029e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.6289064842919444e-43,6.4455477356389826e-45,1.1864005785467004e-46,3.4195389741925676e-48,1.7664535578120713e-45,2.1669819431498685e-49,1.4961745977545837e-53,1.2591073269130985e-54,4.4106853011812846e-49,6.4276433091984111e-54,1.5260988445222284e-56,1.5467990462396996e-61
1.2700000000000001e-13,0.002673521140762719,8.5616038956121808e-20,8.5616020565716721e-20,8.2981335719186499e-20,8.2981312854647719e-20,2.7545999588835772e-26,6.0015476136757367e-21,1.0337299032752527e-25,6.9335867878171244e-26,2.8491372095650242e-21,7.4445450003661517e-26,6.9067793102651802e-26,6.6942343842546573e-26,1.1081274406674545e-32,2.3213696258897758e-37,2.3697982008602356e-21,6.1920779655470122e-26,3.945363475816901e-33,5.8211593202293775e-22,2.609234247290332e-27,8.2649728553128611e-38,6.5535152808083366e-33,3.1849729236648806e-44,1.0576743240768351e-47,1.3714595204658326e-27,6.7542476046757749e-47,9.5532541605856952e-39,1.7271095866789609e-44,5.8362545823686932e-45,2.1066293064082225e-22,7.0627324253499117e-34,4.5237375644037257e-33,1.4417192410889651e-27,1.7811842697752197e-56,2.4700761803790176e-43,4.4925160732533225e-44,5.7446467683718233e-48,9.8018291889782595e-34,1.5987396246231788e-41,1.2659056107683202e-45,3.7371490388555312e-33,7.8288069981735313e-38,3.0918252355872331e-54,5.8745010990334828e-34,5.171754402371778e-45,6.1720377545559719e-59,1.3496301577091994e-45,3.7366226817298054e-33,7.8276997673617078e-38,9.515048044424e-39,2.1168724204528366e-42,1.6994505468279981e-28,3.8276495159069171e-53,1.21215518955706e-53,1.0205700815803879e-59,8.4889692739645714e-36,1.7783187896146425e-40,6.852897563525058e-47,2.2705995561297731e-50,1.5420831341103674e-62,5.1986517736272517e-67,5.2160388238506831e-74,3.6205735958778489e-59,2.9621873926229552e-59,6.2749623236607533e-41,3.0846429793809199e-52,6.2983764747496902e-61,8.3338251226743023e-71,1.4739411278434887e-71,3.9015910326907438e-71,1.5205947694407061e-68,1.0790272350003827e-68,3.3602827871513772e-76,5.0965232019397529e-79,1.4783968901826243e-31,9.9082222306180488e-49,1.030354145818814e-23,2.2875193831808484e-53,1.4279629034130009e-62,4.318731860279944e-29,7.0151970149467936e-87,2.875505598231552e-88,3.1844637755449131e-89,1.7446942269810888e-42,5.3369844528958729e-44,4.1573643225950974e-87,3.4871772964271049e-93,3.912817749009375e-93,2.9233678006414215e-99,2.7849034841457894e-42,3.6628658300664777e-100,6.3652208595179932e-37,6.5816214798994293e-34,3.2707834016226461e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.0727979763127431e-41,6.9032681623546496e-44,1.2719233873846674e-45,7.3769205235668645e-47,2.858831240256307e-44,1.7518681840240846e-48,2.4191978369556083e-52,2.0371742969737806e-53,3.5658545949756188e-48,1.0402161888323456e-52,2.4696826839134832e-55,5.0086344536760481e-60
2.55e-13,0.002673521140762719,1.7171240515477468e-19,1.7171233127644854e-19,1.6642817922110155e-19,1.664280873692488e-19,1.1065844994596031e-25,1.2036784266350647e-20,4.152723002011482e-25,2.7853775095612428e-25,5.7141114721619696e-21,2.9905627301874758e-25,2.7746077306251564e-25,2.6892233427729257e-25,8.909858251975074e-32,3.7344386421641488e-36,4.7527697050533476e-21,2.4874335691569694e-25,3.1722656030088615e-32,1.1675061386450267e-21,1.0481944009937402e-26,1.3296083146819018e-36,5.26938125056882e-32,1.0245869827144275e-42,6.8056522202216495e-46,5.5094338752548453e-27,1.0886250546861818e-45,1.5362260669100696e-37,5.5688362633084014e-43,1.8773668536203099e-43,4.2250855585633873e-22,5.6787742840520541e-33,3.6372355121410772e-32,5.7916812032196213e-27,1.6103150726852382e-54,1.9860583112707689e-42,1.4167892114943845e-42,9.2373498146166864e-47,7.8813272936156238e-33,2.5718632114775851e-40,4.0737081989061266e-44,3.004774232887947e-32,1.2594111814830792e-36,9.9447620373220015e-53,4.7233827655095311e-33,1.6642516076833174e-43,3.9708413209319114e-57,4.34313739139815e-44,3.0043542982458823e-32,1.2592336951707558e-36,1.5306804373673314e-37,3.3361364779480074e-41,6.8270856360235218e-28,1.9893529034475215e-51,1.261107191248978e-51,2.1243290515310241e-57,6.8255586219604523e-35,2.8608353833730854e-39,2.2045431274901397e-45,1.4610315663080645e-48,1.804508704704902e-60,6.6895558559697157e-65,1.3403950182436491e-71,3.212226112049292e-57,5.2596485788270184e-57,1.0094803331671983e-39,4.9623588542802142e-51,1.5766996538206051e-59,2.9965197416799699e-69,7.7763034993584523e-70,3.1017602174211454e-69,2.4633993546928149e-66,8.7340894649501906e-67,3.5435161784030461e-74,1.0757462930533816e-76,5.9390606807605755e-31,3.1885185196610947e-47,2.0661477206664876e-23,1.4724193210583566e-51,2.9725706950215245e-60,1.7349385664557924e-28,2.8392204300056794e-84,2.1146209189157841e-85,4.6843537337864812e-86,2.7257330289909513e-41,1.668701387228344e-42,3.4718300946159246e-84,5.8246335712527798e-90,6.5355857190185226e-90,2.7549631312368476e-96,1.1187575544655384e-41,6.9042865890256763e-97,5.1180955181049644e-36,5.2920671220323673e-33,1.5473798631016099e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.7258119136689844e-40,6.605477122494144e-43,1.2176571421959968e-44,1.4207335652594132e-45,4.5992235462052239e-43,1.4084791191355856e-47,3.8848490517393252e-51,3.2755384688453629e-52,2.8670502344461548e-47,1.6733650731979231e-51,3.9726628648689734e-54,1.6116678954074848e-58
5.11e-13,0.002673521140762719,3.439047708239622e-19,3.4390447468422161e-19,3.3332139610948266e-19,3.3332102792370032e-19,4.4357270729468792e-25,2.4107288611019968e-20,1.6646114344863842e-24,1.1165146450790822e-24,1.144360469160334e-20,1.1987001920574692e-24,1.1121971027833133e-24,1.0779706362243855e-24,7.1452607309090345e-31,5.9907418250103631e-35,9.5183360431977066e-21,9.9703357884887132e-25,2.5440152008503181e-31,2.3383095062266942e-21,4.2017238729390376e-26,2.1329541394125107e-35,4.2258623539617866e-31,3.2852321221444883e-41,4.3645539326543388e-44,2.2084271640401788e-26,1.7480104243495859e-44,2.4638341223705584e-36,1.7886051620495476e-41,6.0224572109716542e-42,8.4620137961846764e-22,4.5541090914086414e-32,2.9167860832663566e-31,2.3215642068600042e-26,1.2945770598858824e-52,1.5927236870985943e-41,4.370955354847216e-41,1.4805020996153293e-45,6.3207547994169653e-32,4.1255450867905642e-39,1.3070674085042162e-42,2.4095715085810657e-31,2.0202479564085285e-35,3.1877517377869892e-51,3.7879353489719946e-32,5.3396409203020431e-42,2.5458048581238538e-55,1.3935162532181698e-42,2.4092400035529376e-31,2.0199652763474366e-35,2.4554146307979985e-36,5.1422433068476165e-40,2.7366365982700739e-27,9.2012221864344133e-50,1.1679789216674861e-49,3.9365983666955562e-55,5.473810954329233e-34,4.5893648492238604e-38,7.0686807088164674e-44,9.3698411989746019e-47,1.7822895140213134e-58,8.5779145204810081e-63,3.4272388014999355e-69,2.5406894649257203e-55,8.325908069040664e-55,1.6194388562475944e-38,7.9606391200436016e-50,3.4996361629326746e-58,8.4994820195417267e-68,3.5034334584944801e-68,1.8704975054876933e-67,3.6304550964924039e-64,6.4320197783293685e-65,3.184084284316242e-72,1.9348570498897371e-74,2.3806708220750403e-30,1.0230720864926901e-45,4.1367050345749025e-23,9.4492931860688372e-50,5.5093980598372872e-58,6.9545328726237269e-28,9.4331790313858157e-82,1.1876529338595765e-82,5.2629359558907556e-83,4.1337038882147517e-40,5.0663244930506104e-41,2.577872424871712e-81,8.6503492867196129e-87,9.7062167668721214e-87,2.2345071910693626e-93,4.4845181703134268e-41,1.1200878650537635e-93,4.1047179372683534e-35,4.2441951249442402e-32,6.7851212023477733e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.7684565538938145e-39,5.8362294786378973e-42,1.0761156281105562e-43,2.5228574838466888e-44,7.3785280286140835e-42,1.1293645521602064e-46,6.209794943151017e-50,5.2491119035653969e-51,2.2991312592922184e-46,2.6842199584188104e-50,6.3717195462369149e-53,5.1703444479041118e-57
