Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715)
0.0,0.0018827355801927102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0018827355801927102,2.0123166696583336e-22,2.0123166665225228e-22,1.9523739102759019e-22,1.9523738988777336e-22,5.1184284337973017e-31,2.8736689956299119e-23,3.9659895495414061e-30,2.6641666284654481e-30,1.3625272917275158e-23,5.9417673973960993e-30,2.6535664040408272e-30,2.5745221399423301e-30,4.355331202737353e-39,1.8992914924442283e-45,1.13658287398312e-23,4.9564593251038549e-30,1.586073478608683e-39,2.8447189875407843e-24,2.009224328780809e-31,6.916617160459718e-46,2.4487353041601024e-39,3.0770258030032573e-54,1.3011333279970346e-59,4.299614546946307e-32,3.1284319869663745e-55,8.5054176121918246e-47,1.2080078582827867e-54,1.058043687839649e-54,9.2035181515741544e-25,9.0427287408544053e-40,3.5530734532485114e-39,4.4578161452947149e-32,3.0986282743597388e-70,4.9424797770604034e-50,6.1997679284354111e-54,2.3606592018731345e-56,6.0324421234968092e-40,7.8912529800043597e-50,7.3467799636712992e-56,2.6466291804832158e-39,1.1541534001735223e-45,1.547487905618286e-64,7.5431961897961644e-40,8.2736351350693646e-55,6.748351708356907e-71,3.5281469993417866e-55,2.6455455068706569e-39,1.1536808210433912e-45,8.1900645917367767e-47,2.160082494953802e-50,1.2136333696901888e-32,2.8725282248538782e-65,1.338255394243113e-67,2.4221715410130745e-75,5.3809915147952742e-42,2.3465658417173602e-48,1.0439270455556986e-56,4.4035643604257987e-62,6.884025307283798e-78,1.0322331471781154e-80,9.8160542091825054e-90,1.0414353613027532e-72,1.2655609382178614e-74,3.8050507304735626e-49,1.0569976937501175e-60,5.0574399955721664e-71,1.8796421509440917e-82,1.5480406155522872e-84,9.4277828930390132e-86,1.837558249706319e-84,8.5566089790525672e-83,7.6738411644394653e-91,1.7542025839114717e-95,8.7407713824872574e-36,4.9770156470098158e-59,1.9493633544065214e-26,1.2773025980606007e-65,2.8632427584116534e-78,2.6545667697098044e-33,2.3465116881504637e-105,1.5594041280662193e-108,2.4633523102624065e-111,1.8016539557650384e-50,7.4457456986039155e-54,-8.758672431865428e-107,-1.5852750090193696e-114,-8.9367658215521599e-115,-2.1223763910962501e-120,3.456780090023329e-47,-3.6645471202388691e-123,7.5257856575265342e-43,4.0572220506596297e-40,2.3313468952389321e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.3033233353756759e-50,6.8745769532423866e-52,9.9166974134452831e-54,7.8278946953556674e-57,2.7408761787611653e-52,7.715242679542529e-55,2.172325238807078e-60,1.8425049835968214e-61,1.8283099259232536e-54,7.1290558861203713e-61,1.0525697642211299e-63,4.5900910335395606e-70,2.0796236238198613e-77,9.1453466075273722e-78
3.0000000000000002e-15,0.0018827355801927102,6.611897546071614e-22,6.6118975254648539e-22,6.4149427568311312e-22,6.4149426819288889e-22,3.3635386633002141e-30,9.4420553242715612e-23,2.6062216795935942e-29,1.7507380600905483e-29,4.4768734230974939e-23,3.9045891968838972e-29,1.7437721969198557e-29,1.6918288227720321e-29,4.1064544939326764e-38,2.3334149628483072e-44,3.7344849533375537e-23,3.2571011785913273e-29,1.4954404940077173e-38,9.3469335235491321e-24,1.32034739729474e-30,8.4975572103074929e-45,2.3088074154672373e-38,4.6594917167015457e-53,2.3420380878483952e-58,2.8254608304365048e-31,4.0273665070490862e-54,1.036432004653402e-45,1.9002661371031657e-53,1.5915827330387331e-53,3.0240131351664363e-24,8.5260001559978905e-39,3.3500399656229682e-38,2.9294218736406656e-31,6.4532531948200441e-69,4.6600514968629996e-49,9.3877112621644652e-53,2.9002344085747142e-55,5.6877311174508782e-39,9.6949664599259406e-49,1.1125122680938321e-54,2.4953925116375646e-38,1.4179595692828415e-44,2.3433357918480173e-63,7.1121553976916578e-39,1.2528644623739031e-53,1.2147019801944682e-69,5.3426216171913074e-54,2.4943707718716342e-38,1.4173789745325297e-44,1.0062077155351868e-45,2.6536383206804857e-49,7.9753050300353246e-32,5.3355696454185976e-64,2.8680570750502464e-66,5.883080054711669e-74,5.0735055979974868e-41,2.8829234253428754e-47,1.5808022979948621e-55,7.9264094629250986e-61,1.6619730551149821e-76,2.1529413907235371e-79,2.3277987990901343e-88,2.1685626251005919e-71,2.9968442306400157e-73,4.6747763675813093e-48,1.2985969821085025e-59,7.6500578732632192e-70,3.376696951040779e-81,3.1985944465856263e-83,2.2098081894345903e-84,4.3464011325518382e-83,1.7794319496960777e-81,1.8048311915711137e-89,4.6269566301050299e-94,5.7439354939206256e-35,7.5366230097598268e-58,6.4050320589643189e-26,2.2991445008943566e-64,6.9543746536974771e-77,1.7444294861146233e-32,6.8592413688617694e-104,5.0032270993212302e-107,8.6072896205446873e-110,2.2132476853228909e-49,1.1274106531677015e-52,3.628352730215004e-105,6.1141975484940759e-113,3.4467931942564246e-113,8.2207544136425119e-119,2.2715982870921823e-46,1.3147142691037619e-121,7.0957407581032448e-42,3.8253807852167501e-39,2.1787805669485746e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.5155108082119458e-49,8.3870182319057724e-51,1.2282942045562026e-52,1.1932266931730643e-55,3.3673621599832897e-51,7.2743659848307114e-54,2.6688428203702365e-59,2.2636448194808885e-60,1.7238346614063821e-53,8.7585524344511031e-60,1.2931562147020544e-62,6.9507051162266533e-69,3.7432895022699837e-76,1.6461615531622798e-76
7e-15,0.0018827355801927102,1.466116359106084e-21,1.4661163479067566e-21,1.4224437699916803e-21,1.4224437292839422e-21,1.8280100661199507e-29,2.093673171171292e-22,1.4164247396076388e-28,9.5148804061574048e-29,9.9269675611091306e-23,2.1220564917425244e-28,9.4770224044213125e-29,9.194721436839221e-29,6.6325367215524103e-37,1.1802720301005156e-42,8.2808039562988096e-23,1.7701613371150886e-28,2.4153598056388378e-37,2.0725807234255744e-23,7.1758004087595083e-30,4.2981768418505412e-43,3.7290714705319089e-37,7.6950835299384034e-51,1.3039014376907674e-55,1.5355759810785775e-30,2.3011848597065691e-52,5.1456117842455346e-44,3.5733064215520081e-51,2.5762990167885354e-51,6.7054206117431302e-24,1.3770763883814802e-37,5.4108114835745441e-37,1.5920765227898984e-30,1.2035912912105366e-65,7.5266764392770588e-48,1.5491354266543022e-50,1.466954504481377e-53,9.1865469700279298e-38,4.9038402044782908e-47,1.8373213527301273e-52,4.0304264006321423e-37,7.1722177820698658e-43,3.8699662527474174e-61,1.1487193614122238e-37,2.0691104072872717e-51,6.7626727014938589e-67,8.8233657802755345e-52,4.0287762788221865e-37,7.1692812025918578e-43,5.0895256661976715e-44,1.3411715975853152e-47,4.3344050109430087e-31,3.3574016942560617e-61,6.2590293713494901e-63,4.5319796084728539e-70,8.1944700771794789e-40,1.45822093374335e-45,2.6106725615830028e-53,4.4129333290724275e-58,1.1168190157266185e-72,4.1398477194833499e-76,1.5748453613523606e-84,4.0315368406890305e-68,1.9599625636169833e-69,2.3645656336774339e-46,6.5684735321893885e-58,1.2431859499751785e-67,1.8048789636463287e-78,5.1082294835841683e-80,1.2026981897224566e-80,2.7704623826128048e-79,3.2246766862263185e-78,1.0129729187048615e-85,9.2628890223645404e-90,3.1217041222773872e-34,1.2446787119242148e-55,1.4202340372775799e-25,1.2800378258704735e-61,5.3572577436579361e-73,9.4805913054269422e-32,4.9464057394848164e-99,1.3086025062684386e-101,8.2686772583826056e-104,1.1182005947742566e-47,1.859761657001679e-50,5.1503691816869742e-100,3.7287682126153859e-107,2.1020415951624238e-107,4.2552007630952177e-113,1.2345640800458676e-45,2.9388549069151361e-115,1.1460695317683544e-40,6.178569332451301e-38,3.2581514509145307e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.2956318373979027e-47,3.9238597621169198e-49,5.9530035140644169e-51,1.8915695165667895e-53,1.7032585989739416e-49,1.1749119034446019e-52,1.349853524931695e-57,1.1449578685506276e-58,2.7842480704418525e-52,4.4301862525318518e-58,6.5409084279921584e-61,1.1479052318188716e-66,2.0837323058421671e-73,9.1648556916387955e-74
1.5e-14,0.0018827355801927102,3.075969406812719e-21,3.0759693572669012e-21,2.9843425809315434e-21,2.9843424008405407e-21,8.0871159667994916e-29,4.3926085517293578e-22,6.2662624141065627e-28,4.2093828306426141e-28,2.0827117581932833e-22,9.3879569424790202e-28,4.1926344141340227e-28,4.0677444505497184e-28,6.1683697613165511e-36,2.2699699004186566e-41,1.7373410162076047e-22,7.831176507949924e-28,2.2463253039966484e-36,4.3483548955236891e-23,3.1745736132298398e-29,8.2665125912335507e-42,3.4681030391596636e-36,3.0189009509562666e-49,1.0342830056897318e-53,6.7933840453969313e-30,4.5669127147566909e-51,9.8512334988522976e-43,1.4465015180742344e-49,1.0061297066432386e-49,1.4068236114564662e-23,1.2807042238244976e-36,5.0321406661916223e-36,7.0433422563835086e-30,1.8426107903115103e-63,6.9999316300442248e-47,6.0704930857070993e-49,2.8212706183838229e-52,8.5436602312005807e-37,9.4313548771498737e-46,7.2082305145504734e-51,3.7483567096607453e-36,1.3794014467486756e-41,1.5182370691212089e-59,1.0683283762495969e-36,8.1175717439749722e-50,5.3642608516359482e-65,3.4616023618268808e-50,3.7468222736739184e-36,1.3788367080623283e-41,9.788464846790905e-43,2.5763324107333389e-46,1.9175408527663488e-30,2.6975763806492615e-59,1.0115786614684872e-60,1.4692447798550907e-67,7.6209960646908065e-39,2.8045387070107301e-44,1.0242076270462985e-51,3.5004353827003553e-56,3.0739471762069186e-70,6.6055706642675278e-74,5.0402124763961781e-82,6.1460707243289954e-66,5.9946047550991729e-67,4.5476805547064277e-45,1.2632878799397361e-56,4.7663749956717664e-66,1.3530405667040593e-76,6.5174209136036043e-78,3.0019309365290135e-78,8.2054826683290998e-77,4.7600202645719679e-76,2.5941835753085584e-83,4.753404373483864e-87,1.3810419400699533e-33,4.8831608831682772e-54,2.9796587657039695e-25,1.0153729277850188e-59,1.7368028225146499e-70,4.1942108539469811e-31,5.0680682206579062e-96,2.6658883570357208e-98,3.3698174327818421e-100,2.1468839826267894e-46,7.2839661555735643e-49,6.5020518800323818e-97,9.4184341430587447e-104,5.3095140082333107e-104,8.9821833104689037e-110,5.4617099743139084e-45,1.2410025221650702e-111,1.0658660129200223e-39,5.7461850655441873e-37,2.7118287080289785e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.3383584808727226e-46,6.7834410123648523e-48,1.0381672244633979e-49,6.7451006256067042e-52,3.2758161046155706e-48,1.0926778285675447e-51,2.5958818655451197e-56,2.2019838353014567e-57,2.5893940494615397e-51,8.5203853981391507e-57,1.2579734271736822e-59,4.5034465751323455e-65,1.6525243252273139e-71,7.2698194521414612e-72
3.1e-14,0.0018827355801927102,6.2956748570612853e-21,6.2956746505457696e-21,6.1081394921023322e-21,6.10813874145202e-21,3.3708498652101087e-28,8.9904797251168674e-22,2.6118864391257163e-27,1.75454362540591e-27,4.2627264603950352e-22,3.913046336346571e-27,1.7475625648837218e-27,1.6955062473403356e-27,5.2060711981873743e-35,3.859452165620976e-40,3.5558495374000599e-22,3.2641562643683496e-27,1.8958872523829456e-35,8.8999009595488521e-23,1.3232169948576622e-28,1.4054908778169749e-40,2.9270677437556091e-35,1.0305447251311876e-47,7.0757511770770578e-52,2.8315970659977652e-29,7.883252567743604e-50,1.6713071228129603e-41,5.0150931529357957e-48,3.4270875210947901e-48,2.8793869318780669e-23,1.0809078983117239e-35,4.2470928536027026e-35,2.9357838364044247e-29,2.3347724578525001e-61,5.9079000435928794e-46,2.0675141784180515e-47,4.7965698544986395e-51,7.2108341105624428e-36,1.6035379493135025e-44,2.4607221404159236e-49,3.1635813806381646e-35,2.3452800565700215e-40,5.1826441195151185e-58,9.0166380805657395e-36,2.7711364601240659e-48,3.6697532544165787e-63,1.1817069732312404e-48,3.1622866644154583e-35,2.3443200163441292e-40,1.6642507175727927e-41,4.369988870041736e-45,7.9926437752216832e-30,1.8090914450319267e-57,1.3585162867765912e-58,3.9487812376308216e-65,6.4320837595434964e-38,4.7683404197554772e-43,3.4962794319909659e-50,2.3947235025142992e-54,6.3461590257549265e-68,9.0473087544000201e-72,1.3811372891221615e-79,7.7301469098065e-64,1.5089928457211278e-64,7.7320862461511329e-44,2.1478684588403277e-55,1.5567562474753757e-64,8.30977762837229e-75,6.2247161637504342e-76,5.4845590760713018e-76,1.9569573239988524e-74,5.6715509271017723e-74,4.9607123546335533e-81,1.819144758386461e-84,5.7564228494507946e-33,1.6669992095650394e-52,6.0983604929515506e-25,6.9466431067307642e-58,4.6679152524676761e-68,1.7482176627703143e-30,3.8599760244949505e-93,4.0107198020342555e-95,1.0140386348133384e-96,3.6377829388810087e-45,2.4782744306872072e-47,7.1542459011299733e-94,2.0727529067316459e-100,1.1684867418435271e-100,1.4888433551549179e-106,2.276534296889525e-44,4.1143185150752554e-108,8.9958894019764205e-39,4.8497703683534363e-36,1.8945056079491032e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.0776621010140947e-44,9.6065677891310875e-47,1.4763233425059588e-48,1.9320239671312992e-50,5.5696375918826587e-47,9.2219796228980314e-51,4.4127772462391895e-55,3.7436330751646359e-56,2.1854296541477272e-50,1.4486496396266564e-55,2.1387891381761223e-58,1.5373397608505257e-63,1.1300674192580531e-69,4.9735158383401153e-70
6.300000000000001e-14,0.0018827355801927102,1.273508317690066e-20,1.2735082335339159e-20,1.2355730471609331e-20,1.2355727412670636e-20,1.3736392259483434e-27,1.8186223720915018e-21,1.0643574688493861e-26,7.1498586955217642e-27,8.6226946578812803e-22,1.5945737264163211e-26,7.1214102535951878e-27,6.9092778338908451e-27,4.2608475720248889e-34,6.3318216373707477e-39,7.1928157006939288e-22,1.3301499702097774e-26,1.5516676552071747e-34,1.8002983966929094e-22,5.3921777865021291e-28,2.3058513788298124e-39,2.3956359343986101e-34,3.3851763413959313e-46,4.6513529699419211e-50,1.1538884513905269e-28,1.3031400022587182e-48,2.7390008894063998e-40,1.6603667774496549e-46,1.1245811632305191e-46,5.8245144520707083e-23,8.8465690920023618e-35,3.4759715546180899e-34,1.1963450025996428e-28,2.6705049144956728e-59,4.835243055854174e-45,6.7605898392390637e-46,7.8685511739269765e-50,5.9016717922204363e-35,2.6307612558726412e-43,8.0836752950263721e-48,2.5891767659688405e-34,3.847642061464715e-39,1.7023681465971029e-56,7.379566861526383e-35,9.1033225869529307e-47,2.4122995776109589e-61,3.8819818740817204e-47,2.5881176751142504e-34,3.846067479530944e-39,2.7303540960495164e-40,7.1357436742611887e-44,3.2570461846437856e-29,1.1203845229199699e-55,1.6837310156073967e-56,9.7910682193422876e-63,5.2642691411349663e-37,7.8229537546558395e-42,1.148473254462504e-48,1.5742090959385382e-52,1.0748954508205537e-65,1.1898064006924463e-69,3.6318780813361824e-77,8.7377739706477126e-62,3.4129189894241795e-62,1.2685338066702149e-42,3.5237920020293886e-54,4.70687797090153e-63,4.475287304109211e-73,4.8151540254694316e-74,7.8102156538546708e-74,4.0868324248668223e-72,5.9186066577024104e-72,7.6804176127588024e-79,5.6364503933258886e-82,2.3457737688023939e-32,5.4762413236619053e-51,1.2335173090926844e-24,4.5668232514085253e-56,1.157436093343014e-65,7.1240636595075614e-30,2.3677418897713994e-90,4.8011147161690221e-92,2.4279589086758563e-93,5.9279439518453311e-44,8.0873729744013681e-46,7.1773742596217542e-91,4.1590901694968376e-97,2.3446325945552965e-97,2.0035389009132128e-103,9.2769906899722553e-44,1.1074064384570211e-104,7.3626401020604064e-38,3.9692713226036338e-35,1.1503396099047063e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.7680156897778065e-43,1.180044794436706e-45,1.8171815502277097e-47,4.7833453362734697e-49,9.1376319298918423e-46,7.5473545414837864e-50,7.2369960033783979e-54,6.1410629563248916e-55,1.7886307655010077e-49,2.3766405106964944e-54,3.508753793065754e-57,5.0500774418245752e-62,7.4226357596989423e-68,3.2695176558704158e-68
1.2700000000000001e-13,0.0018827355801927102,2.5613889493956895e-20,2.5613886097879317e-20,2.4850901059294365e-20,2.485088871511068e-20,5.5432520505986237e-27,3.6577718308105005e-21,4.2951600224434365e-26,2.8852897162190992e-26,1.7342386232662103e-21,6.4347137203394889e-26,2.8738092892856266e-26,2.7882041881572614e-26,3.4447400726642042e-33,1.024721901370579e-37,1.4466544517004784e-21,5.3676642581773974e-26,1.2544685513271729e-33,3.6209113499122562e-22,2.1759848254700316e-27,3.7317212784276763e-38,1.9368035678533315e-33,1.0960279197688932e-44,3.0126576835501764e-48,4.6564395358655694e-28,2.11695670067066e-47,4.4302938344457531e-39,5.3976422089212527e-45,3.6395799696443425e-45,1.1714773009215937e-22,7.1521384022185372e-34,2.8101778116151487e-33,4.8277699176637386e-28,2.7442915961560493e-57,3.9091048989358929e-44,2.1691823332968726e-44,1.2731926792221885e-48,4.7713669476202018e-34,4.2575244750780056e-42,2.6176575315599183e-46,2.0932242378869132e-33,6.2268140644798864e-38,5.5114909943236749e-55,5.9661203464789984e-34,2.9477820779809798e-45,1.5623452100375288e-59,1.2570493080702195e-45,2.0923688974139729e-33,6.2242673032760322e-38,4.4186616032085902e-39,1.1440822419385576e-42,1.314365736875941e-28,6.4436606113739126e-54,1.9379340078533793e-54,2.2544856100391995e-60,4.2559796382615079e-36,1.2660449015476869e-40,3.7184487701795212e-47,1.0196086212917118e-50,1.5145521700311678e-63,1.5413542494345739e-67,9.4036125540946963e-75,8.8357460461797855e-60,6.9059834612191758e-60,2.0529769931758074e-41,5.7027819174509278e-53,1.3145337681896917e-61,2.0492857895579785e-71,3.0483262932858211e-72,8.5319751754317288e-72,7.4980728128404843e-70,5.4258166411569631e-70,9.7288127642433897e-77,1.4289702289660602e-79,9.4662592283651525e-32,1.7733250364254471e-49,2.4806435355901541e-24,2.9583504814829222e-54,2.6651921606603997e-63,2.8748670313505718e-29,1.1764678951774925e-87,4.5499241359147219e-89,4.6023659706149622e-90,9.4660471121622711e-43,2.5845919814806907e-44,6.6486996404979073e-88,7.7057935664105039e-94,4.3440421688005547e-94,2.2471988871901457e-100,3.743676914696821e-43,2.4843513762312008e-101,5.9525241648089069e-37,3.2090661831323666e-34,6.1049987903850465e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.8613069506242434e-42,1.2680585143648639e-44,1.9546919100911736e-46,1.0353314024803012e-47,1.4788306071902178e-44,6.1013321463204988e-49,1.1703683708323018e-52,9.9360897234633467e-54,1.4460293175417336e-48,3.8462285638882994e-53,5.6779834725634043e-56,1.6351810390817179e-60,4.7998066984326695e-66,2.1177811757503404e-66
2.55e-13,0.0018827355801927102,5.1371460837647306e-20,5.1371447194859238e-20,4.9841196749423405e-20,4.9841147160163647e-20,2.226847910639061e-26,7.3360733860870419e-21,1.72546068417336e-25,1.1590853367905944e-25,3.4780790161272292e-21,2.5848808585096838e-25,1.1544732317693535e-25,1.1200836504877536e-25,2.769707657192664e-32,1.6484816625371403e-36,2.9013188157214202e-21,2.1562388194474006e-25,1.0086453162918191e-32,7.2621226634148095e-22,8.7414047024447998e-27,6.003277004796663e-37,1.55729771524336e-32,3.526041941182863e-43,1.9386087395720138e-46,1.8705800450061249e-27,3.4120293198773109e-46,7.1249866940891883e-38,1.7403965013074142e-43,1.1708892311683243e-43,2.3495304185444011e-22,5.7506182498850733e-33,2.2594645413230667e-32,1.9394065582554609e-27,2.4980619349093864e-55,3.1430545561775336e-43,6.8550617739225194e-43,2.0474642069721865e-47,3.8364973299510118e-33,6.8490761673863422e-41,8.4237592058407189e-45,1.6829856763185821e-32,1.0016863989539047e-36,1.7729054470676672e-53,4.7970123930653364e-33,9.4857449005323625e-44,1.0052357809284399e-57,4.0451545358283891e-44,1.6822993891025581e-32,1.0012771786435642e-36,7.1081681467656612e-38,1.8068652910322627e-41,5.28010914426701e-28,3.3743505310671878e-52,2.0314165713984125e-52,4.7281902075947543e-58,3.4219921608025389e-35,2.0367100674315042e-39,1.1962690075225451e-45,6.5610758871227455e-49,1.7878208969686147e-61,1.9835624242897514e-65,2.4168192105453686e-72,7.9012027712407301e-58,1.2359117454733662e-57,3.3027185467646542e-40,9.1740938732814095e-52,3.3157955853788248e-60,7.5946693550350472e-70,1.5963055001288505e-70,7.0087770868210041e-70,1.2185996434642444e-67,4.4059675536957125e-68,1.0185947172077035e-74,2.9947155575700552e-77,3.802813038471837e-31,5.7067002807245665e-48,4.9739512121115939e-24,1.9042318931731263e-52,5.5899025229943272e-61,1.154887686510108e-28,4.7398556204474345e-85,3.354776437356437e-86,6.7879082822878525e-87,1.4833487171490169e-41,8.1052134194416924e-43,5.5941743249745176e-85,1.2967916572713178e-90,7.3104999812946398e-91,2.1328989503713307e-97,1.5039136070041588e-42,4.7163603566367468e-98,4.786222803431639e-36,2.5803047573600645e-33,2.895424666164629e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.6030376816701441e-41,1.2167284435823109e-43,1.8765042563719701e-45,1.9995292254738316e-46,2.3790927848170483e-43,4.9050251757216472e-48,1.8800751807340783e-51,1.5976551542134007e-52,1.1626432073185868e-47,6.1873073072217018e-52,9.1327204983730334e-55,5.2612242122064955e-59,3.0786347560212833e-64,1.3629358585037134e-64
5.11e-13,0.0018827355801927102,1.02886438363884e-19,1.0288638367710606e-19,9.9821606189315979e-20,9.9821407412253872e-20,8.926281103082275e-26,1.4692687044805532e-20,6.9164724107424587e-25,4.6461745527110099e-25,6.9653681613150286e-21,1.0360751954875356e-24,4.6276857143560491e-25,4.4898348426223638e-25,2.221130095022662e-31,2.6444389136391008e-35,5.8103219857499308e-21,8.6426721644495443e-25,8.0887420814506019e-32,1.454448691940067e-21,3.5039677426056446e-26,9.6303033235992012e-36,1.2489035515641474e-31,1.1307072710845855e-41,1.2433843763450076e-44,7.498063228872096e-27,5.4786527258443819e-45,1.1427568169052828e-36,5.5897668133986528e-42,3.7562539018368051e-42,4.7056422744838521e-22,4.6116560666662911e-32,1.8118995032714778e-31,7.7739473369707029e-27,2.020593703355427e-53,2.5204974408923067e-42,2.1231641571516713e-41,3.2821173178809289e-46,3.0768348008473441e-32,1.0986893049955239e-39,2.7028569455251496e-43,1.3495682956779848e-31,1.6067812363573491e-35,5.683941463549912e-52,3.8469241014320533e-32,3.0433679213718291e-42,6.4459120602060457e-56,1.2978712409112385e-42,1.3490202467555213e-31,1.6061263187171665e-35,1.1402099015918794e-36,2.7962335086279493e-40,2.1165297768496107e-27,1.5745733947034268e-50,1.898063343680912e-50,8.8396273439513385e-56,2.7442461479584728e-34,3.2672519608791212e-38,3.8361355661120743e-44,4.2081640876039041e-47,1.7827315983061067e-59,2.543922671544568e-63,6.1811650062027214e-70,6.2920849571853916e-56,1.9697848136026332e-55,5.2983390265276539e-39,1.471666014451625e-50,7.4206953091214898e-59,2.2187183776288113e-68,7.0802110718360371e-69,4.3406656644729274e-68,1.8001071738062942e-65,3.2522264039799287e-66,9.0155591594593632e-73,5.3058836396941346e-75,1.5243555578018704e-30,1.8310886942517591e-46,9.9567906239412816e-24,1.2220658879860086e-50,1.0452008142384548e-58,4.6292631729171603e-28,1.5584345922614375e-82,1.8854387666454336e-83,7.6314437859287733e-84,2.2621509093869944e-40,2.4743588451817007e-41,4.1904534697054033e-82,1.9429285015448105e-87,1.0953022456883273e-87,1.7394750861772413e-94,6.0283725805916473e-42,7.6934724254780796e-95,3.8384997287867173e-35,2.0693825141318791e-32,1.2715915405453826e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.3841057073850996e-40,1.0773308863249797e-42,1.6619267070310559e-44,3.558332227857609e-45,3.8167216770961605e-42,3.9324228879244773e-47,3.0072985449869735e-50,2.5604256866918439e-51,9.3233137207789784e-47,9.9249448028333827e-51,1.4645565515742116e-53,1.6875642472763047e-57,1.9618987966320458e-62,8.7437782260146725e-63
