Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933)
0.0,0.0019194962549405942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0019194962549405942,6.4729095690571808e-22,6.4729095534446185e-22,6.2739206079279811e-22,6.273920574788749e-22,2.4562248815384241e-30,6.392480353484176e-23,1.2784866954370186e-29,8.5756405925114152e-30,3.0336743718896711e-23,1.2976018376092348e-29,8.5424642293159238e-30,8.2798534176612966e-30,1.8593015245561583e-38,7.9528412665073971e-45,2.523525349339921e-23,1.0793944095682293e-29,6.6245761398042629e-39,6.2043618270800243e-24,4.5441026259081145e-31,2.833548058991589e-45,1.0978189159765935e-38,1.6397885007588376e-53,8.3268434517641933e-59,1.638446142115816e-31,1.8259069546394312e-54,3.4477936921939338e-46,7.0703006886490436e-54,4.434464993526597e-54,2.225792298762075e-24,2.3332520431006811e-39,1.0683489093909848e-38,1.7086032159423869e-31,3.6515606060509809e-69,4.4832261967136507e-49,3.2829244080039554e-53,2.1289256469582265e-55,2.2976418054163313e-39,5.3897105587615086e-49,6.4103789189593888e-55,8.7966901599630039e-39,3.7626323778716019e-45,1.7231153546861466e-63,1.9408875191894631e-39,3.7241315291015189e-54,7.370328668039906e-70,1.3595947470755637e-54,8.7953653553712066e-39,3.7620656846294415e-45,3.2637538503639893e-46,1.0258201331239382e-49,2.9374350031883552e-32,3.0958838147153255e-64,1.5161754765931152e-66,2.7637820578934697e-74,1.9815050328635939e-41,8.4755457145267605e-48,4.9048409521962627e-56,2.485049326493789e-61,1.260878309274481e-76,1.332319463749992e-79,2.0510166596327757e-88,1.0811115389389828e-71,1.3731687070607585e-73,2.0889585748614012e-48,1.13606075000028e-59,6.7427382430945548e-70,3.0865041976116738e-81,2.8852108929815056e-83,1.7869988637664072e-84,6.3854010670387264e-83,2.917652643391719e-81,1.4226389161659613e-89,3.3546925486156429e-94,2.553068794575567e-35,4.8999311880599441e-58,7.7371996050989959e-26,1.7253102004619468e-64,3.8449235481271308e-77,7.3556972826116871e-33,7.4003805291294661e-104,5.2460411611803437e-107,9.0466706813928396e-110,8.5319539701495893e-50,3.9360231032264496e-53,-2.5911428340329744e-105,-4.723307631265389e-113,-3.7644633063524775e-113,-1.2935361639073949e-118,2.9118815030499523e-46,-2.5212369018352649e-121,2.0981510106365051e-42,1.5428698464749413e-39,1.856673563704031e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.6167651422049629e-49,5.5608743556451009e-51,9.539842256084765e-53,8.2206767076530602e-56,1.3556654654985079e-51,5.2198248821116335e-54,1.4732240808058508e-59,1.2393571421783971e-60,1.1273004969626686e-53,4.8066524323193522e-60,1.0645707343675376e-62,4.5535171835072818e-69,2.2724832454508714e-76,1.1672551840580418e-76,3.2944882906601426e-82,3.2944872011710793e-82
3.0000000000000002e-15,0.0019194962549405942,2.1268131183237211e-21,2.1268131080640381e-21,2.061431026519437e-21,2.0614310047422294e-21,1.6140906257330215e-29,2.1003864226395903e-22,8.4014839177099571e-29,5.6354209286525e-29,9.9677829247057548e-23,8.5270959859936426e-29,5.6136193117095644e-29,5.441046489723924e-29,1.7530554487300768e-37,9.770632254676582e-44,8.2915797305423335e-23,7.093161792950001e-29,6.2460280454014014e-38,2.0385760637728953e-23,2.9861246021034391e-30,3.4812157585219283e-44,1.0350863265021698e-37,2.4831054823511082e-52,1.4988303899218234e-57,1.0766931271059434e-30,2.3503308892423178e-53,4.186391365264558e-45,1.112106778877595e-52,6.6514206270766946e-53,7.3133176338568966e-24,2.1999230305935919e-38,1.0073001714397764e-37,1.1227963443920287e-30,7.6043624878845534e-68,4.2270411173967395e-48,4.9709853634515683e-52,2.6155326888544122e-54,2.1663479801182765e-38,6.6216431397292522e-48,9.7071438353285126e-54,8.2940197416252468e-38,4.622661554870463e-44,2.6092848140454678e-62,1.8299793966958891e-38,5.6393978179477191e-53,1.3266573792407331e-68,2.0588145136943553e-53,8.2927706804474902e-38,4.6219653401457516e-44,4.0097538439936006e-45,1.2601994541496762e-48,1.9303144387661481e-31,5.7498275417397237e-63,3.2490508977025698e-65,6.7122297008501839e-73,1.8682759226074069e-40,1.0412812107165487e-46,7.427322216666435e-55,4.4730845479459112e-60,3.0436014247729293e-75,2.7788345186278062e-78,4.8638207319570625e-87,2.2510138046731265e-70,3.2514484520451365e-72,2.5664346681967803e-47,1.3957315953993479e-58,1.0198772784222184e-68,5.5439492939846633e-80,5.9600599073605733e-82,4.1868436688132477e-83,1.5102695594839704e-81,6.0671924706279542e-80,3.3452388784676417e-88,8.8468154811436415e-93,1.6777309293697319e-34,7.4198949487658452e-57,2.5422154103430865e-25,3.1055580614344471e-63,9.3379338245864373e-76,4.8337437908831491e-32,2.1628781183148948e-102,1.6828637412922138e-105,3.1605339904681243e-108,1.0480989656506337e-48,5.9597444611240679e-52,1.0734557926486446e-103,1.8218150251729797e-111,1.4519815870112497e-111,5.011034587094197e-117,1.9135220969738086e-45,9.0466756705385531e-120,1.9782567072984549e-41,1.4547058564098294e-38,1.7348947009762094e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.4434536731894385e-48,6.783205075347774e-50,1.1812681601817002e-51,1.2527993516841041e-54,1.665531882969136e-50,4.9215455632204504e-53,1.8099490782405076e-58,1.5226355030899102e-59,1.0628830623420724e-52,5.9053144162423416e-59,1.3079002978761504e-61,6.8953220444496229e-68,4.090429736765519e-75,2.1010564181513699e-75,6.8713487741884995e-81,6.8713461905486706e-81
7e-15,0.0019194962549405942,4.715976748558266e-21,4.7159766927991229e-21,4.5709990372850545e-21,4.5709989189306755e-21,8.7722312829543231e-29,4.6573787230486121e-22,4.5660235823003614e-28,3.0627286519056746e-28,2.2102447529267802e-22,4.6342849168262875e-28,3.0508799228448241e-28,2.9570903354287739e-28,2.8314461013793375e-36,4.9421142269866964e-42,1.8385653885093004e-22,3.854974036878951e-28,1.0088268538005313e-36,4.5203210614756289e-23,1.6228938739715312e-29,1.7608449054204273e-42,1.6718200643230072e-36,4.1008025897286942e-50,8.3445359671262138e-55,5.8515912431537814e-30,1.3425370801746039e-51,2.0613243496929309e-43,2.0905568938290754e-50,1.0671407056690331e-50,1.6216487447053204e-23,3.5532042132159513e-37,1.6269390101316312e-36,6.1021521126966723e-30,1.4166426563314067e-64,6.827301128874158e-47,8.2022314848185051e-50,1.3229453958541168e-52,3.4989799982532085e-37,3.3493117365164361e-46,1.6031404891610835e-51,1.3396062884673803e-36,2.3382001539029042e-42,4.3091560662145581e-60,2.9556900820205062e-37,9.3134852773896969e-51,7.3859346973087132e-66,3.4001419942132129e-51,1.3394046058171786e-36,2.3378480497949765e-42,2.0281840616473847e-43,6.3685717138803812e-47,1.0490839627558386e-30,3.6144640061841967e-60,7.0832094420067729e-62,5.1653430579628594e-69,3.0175449676236079e-39,5.2669383767794928e-45,1.2266086268711614e-52,2.4903297892868864e-57,2.0401887724248044e-71,5.3433409467535279e-75,3.2905399265573686e-83,4.1786308846321294e-67,2.1233124454028401e-68,1.2981375408102406e-45,7.0597940404907671e-57,1.6561199049661528e-66,2.9513984183625023e-77,9.4682942688680427e-79,2.2563665234946969e-79,9.6156084311105324e-78,1.0982338407474456e-76,1.8675920653159837e-84,1.7616590564539604e-88,9.1181031322207274e-34,1.2254005529697881e-54,5.637039261746326e-25,1.7290041411617988e-60,7.1859595902149136e-72,2.6270341820144877e-31,1.5511927011572013e-97,4.3755982031993059e-100,3.0182483295850035e-102,5.2946084911004204e-47,9.8297867430632596e-50,1.5219630582652424e-98,1.1097360281363132e-105,8.8445704796115769e-106,2.5830607911302337e-111,1.0399575412454945e-44,2.013862864772016e-113,3.195184412937983e-40,2.3495702738315595e-37,2.5909519095049046e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.2475568523059586e-46,3.168999531220371e-48,5.7150221384902336e-50,1.9824284642564819e-52,8.4244929131572086e-49,7.9489882736430714e-52,9.1542502762584374e-57,7.7015041504031358e-58,1.7167132887333554e-51,2.9869817519608167e-57,6.6154881303079713e-60,1.1387591262200802e-65,2.2769306192039557e-72,1.1697257661917078e-72,1.3212535705883158e-77,1.3212518225985317e-77
1.5e-14,0.0019194962549405942,9.8943035065844006e-21,9.8943032599059925e-21,9.5901344672385457e-21,9.5901339436388591e-21,3.8808348413158731e-28,9.7713637286283769e-22,2.0200086226119555e-27,1.3549510720691038e-27,4.6371693036618078e-22,2.0502029585915696e-27,1.3497091765474721e-27,1.3082166555418831e-27,2.6332920687491356e-35,9.5049694139922279e-41,3.8573732849183702e-22,1.7054366935822436e-27,9.3822598644893105e-36,9.4838117361872669e-23,7.1796830017163086e-29,3.3865627672289703e-41,1.5548222980222875e-35,1.608802715376467e-48,6.6190435031117919e-53,2.5887426145261892e-29,2.6641639808118449e-50,3.9382677196177104e-42,8.4620240564190575e-49,4.1589542906985489e-49,3.4022828646871541e-23,3.3045395743744792e-36,1.5130788599156067e-35,2.6995906741542483e-29,2.1654969687990438e-62,6.3495024759941915e-46,3.2137228995457269e-48,2.5442943655464729e-51,3.2541167278365086e-36,6.4415895629734988e-45,6.2894814925380348e-50,1.2458537770294572e-35,4.4969581207272279e-41,1.6905259976976351e-58,2.7488415200608555e-36,3.6538826500822801e-49,5.8586049807387285e-64,1.3339510709625037e-49,1.245666295428406e-35,4.4962810785129869e-41,3.9007186192037302e-42,1.2232070094624409e-45,4.6411476617320562e-30,2.9012289216892682e-58,1.1436464590213035e-59,1.6729201278771924e-66,2.8063680068040334e-38,1.0129693913790841e-43,4.8121595996345573e-51,1.9753769764256624e-55,5.6015554958520858e-69,8.5258190662578492e-73,1.0531108686820687e-80,6.3580965607578857e-65,6.4817981405461334e-66,2.4966590098160056e-44,1.3577818259006091e-55,6.3428756305640238e-65,2.2006484581777218e-75,1.2020294440136796e-76,5.5706337977814338e-77,2.843945958628135e-75,1.6188535359978326e-74,4.7591046660695936e-82,8.9954859600564629e-86,4.0338490132561546e-33,4.8075257478010962e-53,1.1826544447535776e-24,1.3715087670747843e-58,2.3273572837190682e-69,1.1621995642669302e-30,1.5812053965170763e-94,8.8632831835268766e-97,1.2230631666330874e-98,1.0163324850897607e-45,3.8491930606007504e-48,1.9194943727084068e-95,2.8002952992304058e-102,2.2318299855462813e-102,5.4324925441528846e-108,4.6007712801956724e-44,8.4728095334796645e-110,2.971581634250318e-39,2.1851443091159584e-36,2.1527568851902743e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.3226344383417197e-45,5.4691387342493854e-47,9.9488518808366865e-49,7.0567457632862724e-51,1.6202527893555947e-47,7.392630185775903e-51,1.7603954477268209e-55,1.4811455777115565e-56,1.5965698765110569e-50,5.7447305485786519e-56,1.2723176736674395e-58,4.4675668579732023e-64,1.8056968817024461e-70,9.2783835243699218e-71,2.1081472378097676e-75,2.1081416431981555e-75
3.1e-14,0.0019194962549405942,2.0250955012865262e-20,2.0250953984667105e-20,1.9628402960835042e-20,1.9628400778381437e-20,1.6175991058776227e-27,1.9999335358804435e-21,8.4197448970403433e-27,5.6476706053388514e-27,9.4909849246841042e-22,8.5455636435476123e-27,5.6258213299154486e-27,5.4528732379498725e-27,2.2224844273248693e-34,1.6160552772164099e-39,7.8949613399429716e-22,7.1085250743019991e-27,7.9185804354599804e-35,1.9410795802827851e-22,2.9926169234077017e-28,5.7579087042148234e-40,1.3122646452466843e-34,5.4918364608725809e-47,4.5281963505803578e-51,1.0790317608511353e-28,4.5985994571467629e-49,6.674911406827577e-41,2.9337013115515697e-47,1.4152058836055206e-47,6.9635517339936133e-23,2.789014448490825e-35,1.2770279194727639e-34,1.1252351001460245e-28,2.7365634774878974e-60,5.3589438715418674e-45,1.0942531329058542e-46,4.3256175387577715e-50,2.7464687408294537e-35,1.0952105423179949e-43,2.1470798200855262e-48,1.0514899482779716e-34,7.6457972369071948e-40,5.7706950326537744e-57,2.320008339649322e-35,1.2473437581046327e-47,4.0078889538002587e-62,4.5537839561903882e-48,1.0513318584282363e-34,7.6446466041164242e-40,6.6320646862695174e-41,2.0742492004633914e-44,1.9345110865595887e-29,1.9422385302430504e-56,1.5331805952295576e-57,4.4882910995614402e-64,2.3685610701911508e-37,1.7222733798532896e-42,1.6426876340303809e-49,1.3513883195919557e-53,1.1521802074978161e-66,1.1677226099867567e-70,2.8857194801298789e-78,7.9700282896341354e-63,1.6261767950072492e-63,4.2448843225095506e-43,2.3085299313632434e-54,2.0676113546776309e-63,1.3384274744095877e-73,1.141779217154455e-74,1.0010927011098942e-74,6.7674143574577388e-73,1.9245179997238252e-72,9.05074943995479e-80,3.4237741775593547e-83,1.681378448574286e-32,1.6411774235234619e-51,2.4204984781217798e-24,9.3831261066379731e-57,6.2441506163917186e-67,4.8442466244191119e-30,1.1972844435317354e-91,1.3242084762708622e-93,3.6549276774510099e-95,1.721444828469997e-44,1.309131062414414e-46,2.1083295271920034e-92,6.1519251477911534e-99,4.9030756801829851e-99,8.9596316837532572e-105,1.9176806195431218e-43,2.7949683463832071e-106,2.5080104097575765e-38,1.8442580594899094e-35,1.5000811681119935e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.3494316783153961e-44,7.7257955497848423e-46,1.4111585532147184e-47,2.0162060437331149e-49,2.7548018730253209e-46,6.2392386050780739e-50,2.9923743536629877e-54,2.5180949166396669e-55,1.3474929645902454e-49,9.7672762102728696e-55,2.1631796634877057e-57,1.525092985735737e-62,1.2347517925776611e-68,6.3473553589050765e-69,2.8872715715533165e-73,2.8872562395766879e-73
6.300000000000001e-14,0.0019194962549405942,4.0964249986344573e-20,4.0964245796383487e-20,3.9704930482790274e-20,3.9704921589179669e-20,6.5918022380298152e-27,4.0455285094979973e-21,3.4310903153046891e-26,2.3014558463777469e-26,1.9198482247031979e-21,3.4823325125917946e-26,2.2925520305054798e-26,2.2220746953041842e-26,1.8189660991297424e-33,2.6513012093839954e-38,1.59700265005037e-21,2.896737246139782e-26,6.4808738625830854e-34,3.926477480491924e-22,1.2195079581399553e-27,9.4464351303784578e-39,1.0740122788784221e-33,1.8039550191128089e-45,2.976635807783756e-49,4.3971040016055285e-28,7.6015468886742762e-48,1.093378292526743e-39,9.7125089523640385e-46,4.6416021554164514e-46,1.4086091989757829e-22,2.2826370634374527e-34,1.0451642391025824e-33,4.5853846580244044e-28,3.1166438115743175e-58,4.3859605427253536e-44,3.5762299239641427e-45,7.0958038638425113e-49,2.2478338358320653e-34,1.7967954229561165e-42,7.053316099678513e-47,8.6057301908732151e-34,1.2543609642135089e-38,1.8954798687218593e-55,1.89878468689831e-34,4.0975829212168374e-46,2.6345050686951556e-60,1.4959460570783333e-46,8.6044386678532719e-34,1.2541723515000842e-38,1.0880501170385449e-39,3.3852205301415882e-43,7.8832389784363248e-29,1.1990954584130898e-54,1.8943089219078286e-55,1.1094260038255633e-61,1.938523210597033e-36,2.8255663054985731e-41,5.3958940702255237e-48,8.8834349987073645e-52,1.94153836275174e-64,1.5356265075108767e-68,7.588091316473396e-76,8.9614770072536922e-61,3.6586226092692706e-61,6.964196165546734e-42,3.7873760583534497e-53,6.2299894212629009e-62,7.0914227568841579e-72,8.7994601981881207e-73,1.3933303547884151e-72,1.4089085134080827e-70,2.0021241324660332e-70,1.3959953130176064e-77,1.0568205261673419e-80,6.8517095996584672e-32,5.3914033929018325e-50,4.8959585538338753e-24,6.1685897254270052e-55,1.5434753468677788e-64,1.9740544025851754e-29,7.3114783575430162e-89,1.5747042064042355e-90,8.693380342024238e-92,2.8029971939390552e-43,4.2688301188170149e-45,2.1085948215317669e-89,1.2305947890286485e-95,9.8078298845426441e-96,1.1983985792756709e-101,7.8146466846647542e-43,7.4773672126658436e-103,2.052670071201594e-37,1.5094241722206661e-34,9.0794064786495739e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.2057468483937097e-42,9.4601033013303164e-45,1.731435768252838e-46,4.9760638905548824e-48,4.5195732432830344e-45,5.1062651212750929e-49,4.9070395369157512e-53,4.1305966790919771e-54,1.102834009570687e-48,1.6024074991236777e-53,3.5487759063169853e-56,5.0098571350061133e-61,8.1094273955154895e-67,4.1722876970034871e-67,3.7966433845803526e-71,3.7966030597147421e-71
1.2700000000000001e-13,0.0019194962549405942,8.2390807776999517e-20,8.2390790868630251e-20,7.9857947665782556e-20,7.9857911776094569e-20,2.6600886233721922e-26,8.1367210468683189e-21,1.384598882897309e-25,9.2874099859062471e-26,3.8612941229694534e-21,1.4052535345548038e-25,9.2514781161267893e-26,8.967069815747577e-26,1.4705677296876205e-32,4.2907786620979128e-37,3.2119713037156415e-21,1.1689440115471794e-25,5.2395587069685552e-33,7.8972776283870823e-22,4.9212684309408257e-27,1.5287821962058427e-37,8.6830749709848988e-33,5.8405445588406044e-44,1.9278960275158811e-47,1.7744229744560708e-27,1.2348607887795365e-46,1.7680945601044296e-38,3.1573772586722058e-44,1.5018262474789023e-44,2.8331182568132296e-22,1.8454306750856315e-33,8.4497043178794566e-33,1.8504023599287914e-27,3.1838635571033438e-56,3.5458831279359311e-43,1.1462691314450197e-43,1.1481006020958166e-47,1.817322308689221e-33,2.9078499589287157e-41,2.2839945441743342e-45,6.9573139227922305e-33,2.0299875083923389e-37,6.1363866468532211e-54,1.5351002385689705e-33,1.3268515545794543e-44,1.706171841877916e-58,4.8441140005792492e-45,6.956273562731167e-33,2.0296827820381844e-37,1.7608425351614943e-38,5.4218312125294038e-42,3.1812443195035351e-28,6.8611348332669326e-53,2.1692122676837784e-53,2.5415640752121865e-59,1.5672291879717209e-35,4.572815262778406e-40,1.7469951143100552e-46,5.753597386863354e-50,2.7171571887898688e-62,1.9892520487511453e-66,1.9645545263364491e-73,8.9982194903833822e-59,7.3511756150603211e-59,1.1270744174723465e-40,6.1293666019204545e-52,1.730446169784198e-60,3.1702395957506193e-70,5.5745360864877892e-71,1.478528050802133e-70,2.5759455988196439e-68,1.8290485362007321e-68,1.7693032485637677e-75,2.6807466288046253e-78,2.7649754748633284e-31,1.7458455251688819e-48,9.8459669341954259e-24,3.9959453501636169e-53,3.536066517427482e-62,7.9661825629441791e-29,3.6299955455873349e-86,1.4851842929936777e-87,1.6400144731431921e-88,4.4691579333768078e-42,1.3622047590993348e-43,1.9433656210357127e-86,2.268427263538712e-92,1.8079357899088666e-92,1.3350565285919647e-98,3.1535584000361663e-42,1.6661329676087106e-99,1.6595389380927141e-36,1.2203353384101233e-33,4.8034285128313531e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.9513367265611919e-41,1.0132972891729689e-43,1.8564455592127282e-45,1.0735923280578183e-46,7.3144701344558965e-44,4.1279614398931026e-48,7.9341159588853428e-52,6.6829100008888479e-53,8.915918932827255e-48,2.5932434849532573e-52,5.7427767713888349e-55,1.622164290398527e-59,5.242874943697856e-65,2.7020550672746551e-65,4.9174122073680434e-69,4.9173077601101231e-69
2.55e-13,0.0019194962549405942,1.6524379473330186e-19,1.6524372680867864e-19,1.6016383058835801e-19,1.601636864117271e-19,1.0686168656477217e-25,1.6319116480597331e-20,5.5622393943258429e-25,3.7309600945013524e-25,7.7439716680908874e-21,5.6450219172165619e-25,3.7165246835659967e-25,3.6022710824942862e-25,1.1823946080496296e-31,6.902614305334724e-36,6.4417311080461234e-21,4.6957500620660248e-25,4.2128262756411708e-32,1.5838895313707237e-21,1.9769875353751461e-26,2.4593728040327373e-36,6.9816603034559788e-32,1.8788575083050417e-42,1.2405058972319421e-45,7.1282024646973494e-27,1.9902877851887131e-45,2.8431799970021272e-37,1.0180465069210205e-42,4.830920109214965e-43,5.6821403978193375e-22,1.4838022737308994e-32,6.7937882871037023e-32,7.4334259653240607e-27,2.8790435752656431e-54,2.851020751012515e-42,3.615152683264846e-42,1.8461208457939143e-46,1.4612483008701822e-32,4.6778051457110403e-40,7.3499379961286178e-44,5.5937867393534786e-32,3.2655658608946842e-36,1.9737178183164983e-52,1.2342846617154597e-32,4.2696934498198238e-43,1.0976646578952279e-56,1.5588214844187616e-43,5.5929563410079126e-32,3.2650773120721714e-36,2.8326125361414433e-37,8.5452022677758851e-41,1.2779790476328488e-27,3.5667980484741867e-51,2.2573460634288381e-51,5.2915444084366086e-57,1.260120506114673e-34,7.3563667712673513e-39,5.6199631659711507e-45,3.7021666038266351e-48,3.1804245773371343e-60,2.55970166836581e-64,5.0483533126860154e-71,7.9853012176917043e-57,1.3055902242859971e-56,1.8131727968776319e-39,9.8603732581915958e-51,4.3329119393057296e-59,1.1409841310918558e-68,2.938528070124551e-69,1.1759694596944105e-68,4.1735126888124747e-66,1.4806573266134449e-66,1.8642110831080818e-73,5.6536282437432931e-76,1.1107542938954499e-30,5.6182229608876777e-47,1.9742338154290682e-23,2.5720903292028533e-51,7.3627122806331701e-60,3.2001812551104271e-28,1.4680418806509274e-83,1.0916276435349496e-84,2.4112213030606336e-85,6.9828048503232114e-41,4.2595591718067336e-42,1.6232927379411027e-83,3.7898443263042075e-89,3.0205068546101109e-89,1.2584216365020947e-95,1.2668523023128259e-41,3.1412437654894528e-96,1.3343832875938606e-35,9.8123157763112968e-33,2.2726392781777957e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.1391191149873341e-40,9.6967178704556595e-43,1.7773984099649163e-44,2.067833438300557e-45,1.1767309172681263e-42,3.3186157236678801e-47,1.2740342675678481e-50,1.0744716483471095e-51,7.168603990418268e-47,4.171645165420154e-51,9.2370285580740054e-54,5.2193838190971263e-58,3.3614938716267568e-63,1.7383362983070622e-63,6.3255985827066945e-67,6.3253299447206851e-67
5.11e-13,0.0019194962549405942,3.3094925414753481e-19,3.3094898187338644e-19,3.2077499066198064e-19,3.2077441273443446e-19,4.2835318790065167e-25,3.2683948771599185e-20,2.2296116161982727e-24,1.4955492485353665e-24,1.5508469859893479e-20,2.2626410891083125e-24,1.4897622155618466e-24,1.4439634998690273e-24,9.48205292002075e-31,1.1072911069984659e-34,1.2900540790995902e-20,1.8821561133871922e-24,3.3784410522593294e-31,3.1722200239445537e-21,7.9247546801670628e-26,3.9452550159674956e-35,5.5990475431468798e-31,6.0242903826625062e-41,7.9554328168553621e-44,2.8572873543199858e-26,3.195762765342458e-44,4.5598205080965922e-36,3.2697212088330651e-41,1.5496789910593008e-41,1.13802007699004e-21,1.1899199392205835e-31,5.4480128031386118e-31,2.9796335576510288e-26,2.3149588382459531e-52,2.286322349709513e-41,1.1154323248182615e-40,2.9587891152803166e-45,1.171907289321632e-31,7.5037025721722437e-39,2.3582605485499473e-42,4.4855906060195388e-31,5.23819699236538e-35,6.3264625483392164e-51,9.8982321092303798e-32,1.3698603468007547e-41,7.0371721155052641e-55,5.0013969109025658e-42,4.4849344491008686e-31,5.2374186288956065e-35,4.5437423154812291e-36,1.3172922063821943e-39,5.1227751528910906e-27,1.6501709621633749e-49,2.0912081993763658e-49,9.8084035820458246e-55,1.0105465635989903e-33,1.1800924259351197e-37,1.801972140899673e-43,2.3742337179589061e-46,3.1421767027868425e-58,3.2821600239617304e-62,1.2907693214731647e-68,6.317190558691944e-55,2.0671358267469373e-54,2.9087447539396673e-38,1.581765608452875e-49,9.6196294667240077e-58,3.2392713924368018e-67,1.3190974298550751e-67,7.0754495665433693e-67,6.1511950241424302e-64,1.090475769939297e-64,1.6691374356003935e-71,1.013258080448022e-73,4.4524553956222674e-30,1.8026697223877304e-45,3.9520510770493742e-23,1.6506459710677295e-49,1.3649783790979547e-57,1.2827775887332332e-27,4.8609306710004389e-81,6.112408789649426e-82,2.7008305834297066e-82,1.0591547698371484e-39,1.2934550789944545e-40,1.205633950669744e-80,5.629917876600521e-86,4.4870503696803683e-86,1.0208388888588151e-92,5.0781361596026733e-41,5.0968282067109231e-93,1.0701681023144217e-34,7.8693939386415777e-32,9.9657962144478734e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.0356108975828208e-39,8.5680645676873699e-42,1.5709000166730487e-43,3.6721954257049499e-44,1.8878129608502605e-41,2.6606372447405607e-46,2.0363105377916623e-49,1.7216624149143405e-50,5.7485282025025848e-46,6.6915805448373385e-50,1.4813138232064183e-52,1.6741709248042831e-56,2.1404813037547669e-61,1.1144195046230407e-61,8.1059536199693743e-65,8.105265547670525e-65
