Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654)
0.0,0.0017856330960765207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0017856330960765207,2.7119031650707362e-23,2.7119031631491438e-23,2.6355256843463417e-23,2.6355256672140476e-23,3.5141556725262739e-32,7.4858127460855571e-24,5.4248210814427342e-31,3.6547815586576919e-31,3.5434962484559471e-24,1.629294250711735e-30,3.6391396233886726e-31,3.5366476466285095e-31,3.6895956752404571e-40,1.6964705472556478e-46,2.9694367147719018e-24,1.3653425430551929e-30,1.3948291859139726e-40,7.6603768492376029e-25,5.1954989573423772e-32,6.4134036222957703e-47,1.9078109624888331e-40,1.8190951087363885e-55,5.6242443546994044e-61,4.5474712247412765e-33,1.5892655201504382e-56,8.2117353342346222e-48,6.0973735560328266e-56,9.8774608232592818e-56,2.0868023055186906e-25,1.9178973775849445e-40,5.6429789658493606e-40,4.690318380830075e-33,4.6964271666664845e-72,1.2739855743849173e-51,3.8168312755083315e-55,6.2729681649272269e-58,6.3820086800363354e-41,3.0609226268253697e-51,1.8749015283167491e-57,3.5491979723020309e-40,1.6319158990668445e-46,2.8697070991900891e-66,1.6071908936699875e-40,6.7447317671393612e-56,1.3194870263183492e-72,3.855557874660774e-56,3.546269346692015e-40,1.6305693174018994e-46,8.0498963135321908e-48,1.6077401067168541e-51,2.8003083076489505e-33,5.0841206719010633e-67,2.1788061671622115e-69,3.9788171885217421e-77,6.0759408512402413e-43,2.7937084747598637e-49,7.9240630450909876e-58,2.4433943875416869e-63,4.9250871295325955e-80,1.5604039165092089e-82,6.495384559975821e-92,2.0295773821929277e-74,2.2885285068592075e-76,2.156287884062392e-50,2.0784599506250871e-62,7.0358164067744505e-73,1.8786730756929662e-84,1.242781307301619e-86,7.3484648897100824e-88,4.4332763264131493e-87,2.1321765397532943e-85,6.3461232649010274e-93,1.3760789327579999e-97,1.463931750789718e-36,1.0340115967231727e-60,1.8411887921796859e-27,1.5541654679950294e-67,3.5552420166395698e-80,4.8793623722626472e-34,7.8392100614372613e-108,4.6657228983912376e-111,6.3464266000475697e-114,1.3471405603164897e-51,4.5949648209870132e-55,-2.9485034917891464e-109,-5.3844000918943324e-117,-1.6404013116397842e-117,-2.0650127806835684e-123,1.548395965364816e-48,-2.8940363960330708e-126,1.3964326418552608e-43,4.305587505428625e-41,1.0513190536237871e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.0631607123382803e-51,3.0157073769339762e-53,3.2264381221420347e-55,2.1930326714122728e-58,1.9003915833567402e-53,3.2382789769477338e-56,9.2637606567788423e-62,7.9724812251813525e-63,8.7472168120219199e-56,2.9321314223508916e-62,2.22437117745753e-65,1.0227624729380949e-71,3.9323888906887196e-79,1.3246748604873456e-79,3.7895428224210187e-85,3.7895422797209236e-85,4.7902196287539657e-87,3.5891658348668325e-66,0.0,0.0,0.0
3.0000000000000002e-15,0.0017856330960765207,8.9105388537069536e-23,8.9105388410793466e-23,8.6595842706891434e-23,8.6595841581054902e-23,2.3093022843073064e-31,2.4596241932145531e-23,3.5648823920310589e-30,2.4017135815743975e-30,1.1642910871488306e-23,1.0706788557753481e-29,2.391434594633923e-30,2.3240827238497859e-30,3.478761084407615e-39,2.0842349809758505e-45,9.7567161428669531e-24,8.9722491405205103e-30,1.3151244648366868e-39,2.5169808172062105e-24,3.4141849411835114e-31,7.8793235104575238e-46,1.7987930941707319e-39,2.7546276946178687e-54,1.0123633526670608e-59,2.9883380203963673e-32,2.0464092721360442e-55,1.0044775413907614e-46,9.5933572749733592e-55,1.4904459161080753e-54,6.8566361870934729e-25,1.8083029789198363e-39,5.3205219488406285e-39,3.0822089996542317e-32,9.7817564601504951e-71,1.2011861390022217e-50,5.7795137876116952e-54,7.7067818789766332e-57,6.0173224345606424e-40,3.7605616863928471e-50,2.8391363806209391e-56,3.3463856831973207e-39,2.0049247912709216e-45,4.3455523687815109e-65,1.5153511954841251e-39,1.0213448713785834e-54,2.3750747613621039e-71,5.8384151358765294e-55,3.3436244171127988e-39,2.0032704227361854e-45,9.8898704090554286e-47,1.9751143274348221e-50,1.8402026065346525e-32,9.4455544768305727e-66,4.6703728258251109e-68,9.6655847145272921e-76,5.7287434214096511e-42,3.4322700253252122e-48,1.1999286659083426e-56,4.3981071812425971e-62,1.189373805556792e-78,3.2545545096015079e-81,1.54032910026069e-90,4.2266505378546036e-73,5.4197886416093194e-75,2.6491535741729677e-49,2.5535360873894842e-61,1.0643478929135088e-71,3.3757526818932832e-83,2.5688901181247539e-85,1.7234921559442426e-86,1.0486981973282367e-85,4.4345047846045993e-84,1.4930878562127909e-91,3.6307431523581652e-96,9.6201229426308829e-36,1.5657888912300081e-59,6.0496015520024947e-27,2.7974976949519242e-66,8.636610822897237e-79,3.2064377848095187e-33,2.2921961793177853e-106,1.497386421783264e-109,2.2181068885358603e-112,1.6549269795443879e-50,6.9576413146105495e-54,1.2213195555315988e-107,2.0764687442575478e-115,6.3261310000780639e-116,7.9965987696154682e-122,1.0175173121247764e-47,1.0380059650310274e-124,1.3166364721122026e-42,4.0595539207195637e-40,9.8278047624726158e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.5347401284443501e-50,3.6801252788466262e-52,3.9982644814695548e-54,3.3442292365525183e-57,2.3347667765682495e-52,3.053231800330729e-55,1.1381151002670086e-60,9.7947481514351333e-62,8.2473739550025959e-55,3.6023321727793814e-61,2.732796730190241e-64,1.5487535954239372e-70,7.0782476929091067e-78,2.3844112601410505e-78,7.9038912212320442e-84,7.9038899342596738e-84,9.9910168956166923e-86,4.4095444957328225e-65,2.4180847357663222e-118,3.2448615843649876e-126,5.8827392684603196e-134
7e-15,0.0017856330960765207,1.9758150616850983e-22,1.9758150548222689e-22,1.920168608419278e-22,1.9201685472325163e-22,1.2550555370227489e-30,5.4539493315547756e-23,1.9374359662138184e-29,1.3052790705030651e-29,2.5816854746899328e-23,5.8188989291067348e-29,1.2996926613511334e-29,1.2630883825424717e-29,5.6187180604022557e-38,1.054233539986481e-43,2.163442863316583e-23,4.8762157927318814e-29,2.1241223677623146e-38,5.581130427874634e-24,1.8555349831651217e-30,3.9854660690583891e-44,2.9053219253258045e-38,4.5492432612428003e-52,5.636229845713249e-57,1.6240959969196321e-31,1.1701187265894707e-53,5.0308662739520626e-45,1.8053036121780244e-52,2.4354493260104439e-52,1.5203845718229348e-24,2.9206794053224838e-38,8.5934331555523094e-38,1.675112801541409e-31,1.8277887212041784e-67,1.9400937675605888e-49,9.538529668737164e-52,3.8981517795169558e-55,9.7188868692600242e-39,1.9021421462904374e-48,4.6888550732427107e-54,5.4049054510528994e-38,1.0141161652738944e-43,7.1766196911051036e-63,2.4475185436642924e-38,1.6867551447889579e-52,1.3222946394521701e-68,9.6421711719242254e-53,5.4004457284596035e-38,1.0132793821678518e-43,5.0024210636980231e-45,9.9837761942421793e-49,1.0001101276850122e-31,5.9543871832497101e-63,1.02112034655336e-64,7.4598092338761743e-72,9.2527766286517619e-41,1.7360877239155143e-46,1.981671779348573e-54,2.4486016305176181e-59,8.0261239479480569e-75,6.258151163419847e-78,1.0421010170624526e-86,7.8763236151105478e-70,3.553043357836547e-71,1.3399781629036637e-47,1.2916116129355498e-59,1.7316890796845127e-69,1.8151866365254208e-80,4.1379382020793368e-82,9.5157775584431009e-83,6.6973234793000568e-82,8.0514861903869417e-81,8.4527803230625544e-88,7.3318897013763233e-92,5.2283277175740343e-35,2.5859127054429778e-57,1.3414213128181438e-26,1.5574942700658849e-63,6.6656695012451672e-75,1.7426280088864826e-32,1.6677676480538752e-101,3.9541172562888337e-104,2.1513957304538193e-106,8.3628801637355416e-49,1.1479563250886947e-51,1.7373686372180782e-102,1.269078110364329e-109,3.866350458948701e-110,4.1685870101328382e-116,5.5299840901328939e-47,2.3368471128010335e-118,2.1265670372014995e-41,6.5567944150866702e-39,1.4728956326598239e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.2821058498021931e-48,1.7258063104746028e-50,1.9434853207067627e-52,5.3174448281283512e-55,1.1809574145727298e-50,4.9313925131309756e-54,5.7564980672051424e-59,4.9542322405151038e-60,1.3320730460817161e-53,1.8221055205746442e-59,1.3822736879340282e-62,2.5577563338074651e-68,3.9402646765289291e-75,1.3274767092830687e-75,1.5198035500525931e-80,1.5198026793263267e-80,1.9211397125507198e-82,2.2303963651544389e-63,8.8811308182186058e-114,4.7671174427965205e-121,3.4570047766347456e-128
1.5e-14,0.0017856330960765207,4.1453371859513008e-22,4.1453371555901474e-22,4.0285887359501392e-22,4.0285884652599497e-22,5.552365311619216e-30,1.1442599709812946e-22,8.5712158590140789e-29,5.7745542410570991e-29,5.4164637833162044e-23,2.5742750836220029e-28,5.7498399434077379e-29,5.5879026050762526e-29,5.2255012828294021e-37,2.0275652024023057e-42,4.5389766129979996e-23,2.1572330411520091e-28,1.9754694164086869e-37,1.1709426775327379e-23,8.2088844802893098e-30,7.6650884280700379e-43,2.7020017599911189e-37,1.7847475820233493e-50,4.4708017475871963e-55,7.1849951543801816e-31,2.3226589418369021e-52,9.6523928339614135e-44,7.3094180297527693e-51,9.5318259779665948e-51,3.1898265567174084e-24,2.7162809663597547e-37,7.9920308152742175e-37,7.4106932633622646e-31,2.805055658125774e-65,1.804317993135532e-48,3.738554502436081e-50,7.4970437157847848e-54,9.038746293100481e-38,3.6583152149243001e-47,1.8395462189155269e-52,5.0266423816941946e-37,1.9504055002297543e-42,2.8155009351624537e-61,2.2762334437942906e-37,6.6175098444479582e-51,1.0488733821706576e-66,3.7828378832351284e-51,5.0224949610349652e-37,1.9487962015546179e-42,9.6209395897184117e-44,1.9182364542317101e-47,4.4244873183294624e-31,4.7919596427635616e-61,1.6529983462647213e-62,2.4223410245236398e-69,8.6052383694711568e-40,3.3389488924649099e-45,7.7744456557343144e-53,1.9422937644001617e-57,2.2180386619526825e-72,9.9856264284314495e-76,3.3352322107908555e-84,1.2044546186138404e-67,1.0900565702892329e-68,2.5771302944073257e-46,2.4841031809262793e-58,6.6503313377234393e-68,1.3717937787772955e-78,5.3250128239618958e-80,2.4138078971940925e-80,1.9882117944489907e-79,1.1912813209975815e-78,2.1833694247509382e-85,3.7948267632955621e-89,2.3130122053027429e-34,1.0145136542622498e-55,2.8143070783976025e-26,1.2354622965837582e-61,2.1644746486604948e-72,7.7093773308889581e-32,1.7239416568637161e-98,8.1337890747121005e-101,8.8531691637557536e-103,1.6061101351735055e-47,4.4974234218579686e-50,2.196869354049139e-99,3.2107137112875416e-106,9.7817041580928222e-107,8.8533386941092223e-113,2.4464640052697247e-46,9.9284291780972264e-115,1.97774673068023e-40,6.0979414621086135e-38,1.2295135915591094e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.4658253969189126e-47,2.9920378749623162e-49,3.3994909636699826e-51,1.9017007716807987e-53,2.2712927457180385e-49,4.586229993635513e-53,1.1070555845628446e-57,9.5280445280605372e-59,1.2388488276863747e-52,3.5043780597457639e-58,2.6584401691064509e-61,1.0034544624375987e-66,3.1249795065862195e-73,1.0529659426641092e-73,2.4249650226279227e-78,2.4249622357344823e-78,3.0653554902373122e-80,4.289605046669541e-62,8.1825357732374075e-110,8.7846825659428718e-117,1.2741225618655943e-123
3.1e-14,0.0017856330960765207,8.4843805210334872e-22,8.4843803944829609e-22,8.2454280503325806e-22,8.2454269220492454e-22,2.3143219371402709e-29,2.3419900872632396e-22,3.5726308680748669e-28,2.4069341542098783e-28,1.1085978535067144e-22,1.0729978162578376e-27,2.3966327867165491e-28,2.3291344856546626e-28,4.4102948697574536e-36,3.4473106962460757e-41,9.290009119113512e-23,8.991682492210076e-28,1.6672859732113776e-36,2.3966007974708491e-23,3.4216036945442243e-29,1.303235412606626e-41,2.2804815776745122e-36,6.0925483774843796e-49,3.0586004213488984e-53,2.9948262004102143e-30,4.0096811007211139e-51,1.6392509311959745e-42,2.5344599569794768e-49,3.2501470394899528e-49,6.5287108411571864e-24,2.292527338735134e-36,6.7452225675937303e-36,3.0889008991293313e-30,3.5697657251519934e-63,1.5228321731797941e-47,1.273801984049543e-48,1.2746248809404012e-52,7.6286858942064608e-37,6.2199519088801405e-46,6.2797927336856703e-51,4.2424430865489173e-36,3.3161101171263018e-41,9.6111219761192205e-60,1.9211295250215254e-36,2.2590536021231307e-49,7.17557371925284e-65,1.2913689651719047e-49,4.23894301012309e-36,3.3133741298212815e-41,1.6357675527611397e-42,3.2550484648874457e-46,1.8442032151687183e-30,3.222707024164888e-59,2.2261494979863209e-60,6.5285952796372937e-67,7.2627782931396859e-39,5.6769566446675936e-44,2.6539439503912749e-51,1.3287778411587652e-55,4.6064870099997936e-70,1.3677003189987094e-73,9.1395481393032989e-82,1.5231364398687997e-65,2.7588548486458777e-66,4.3817063505214882e-45,4.2235205854362853e-57,2.1788122505949749e-66,8.5505421398647481e-77,5.139619158116564e-78,4.5208040055447048e-78,4.7595984980324089e-77,1.4247707335127118e-76,4.2193192664344331e-83,1.4676469722781664e-86,9.6410365950549773e-34,3.4633213047708983e-54,5.759932418613536e-26,8.4523880237025108e-60,5.8336355299879141e-70,3.2133949884526549e-31,1.3276018917695245e-95,1.2394108775146572e-97,2.6982868841322918e-99,2.72308088956186e-46,1.5310802885770542e-48,2.4239935670856416e-96,7.0857192886079078e-103,2.1587233257182734e-103,1.479763943437221e-109,1.0197278886387551e-45,3.3191249144701282e-111,1.6692142004272632e-39,5.1466521549715699e-37,8.6268211159030178e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.1924586498447643e-46,4.255277195467815e-48,4.8551294378320354e-50,5.4702750489168273e-52,3.8617170041087259e-48,3.8706752917592781e-52,1.8820093492641365e-56,1.6199009293902964e-57,1.0455796183654424e-51,5.9582047117738306e-57,4.5198321491896994e-60,3.4254809685934765e-65,2.1371510382542413e-71,7.2033268737233049e-72,3.3212278849617433e-76,3.3212202472391119e-76,4.1983803004853061e-78,7.2931893186663574e-61,2.1098080564340621e-106,4.530766536790167e-113,1.3143682529828673e-119
6.300000000000001e-14,0.0017856330960765207,1.7162463537398552e-21,1.716246302169855e-21,1.6679102916381822e-21,1.6679098318569008e-21,9.4309848580864563e-29,4.7374504823421488e-22,1.455865887169308e-27,9.8083847795783422e-28,2.2424840579139477e-22,4.3724859061393761e-27,9.7664059925427735e-28,9.4913466965328695e-28,3.609553236037512e-35,5.6556627466724224e-40,1.8791934160484137e-22,3.6641274568599862e-27,1.3645710567119308e-35,4.8479124391469324e-23,1.3943205491783269e-28,2.1380908745183083e-40,1.8664438552628405e-35,2.0013444359887116e-47,2.0106562206844619e-51,1.2204042555824899e-29,6.6285193887503504e-50,2.6878279165273653e-41,8.3913554011873162e-48,1.0670760684135986e-47,1.3206480668493129e-23,1.8762930761773257e-35,5.5205334270218775e-35,1.2587400502492193e-29,4.1119314103301023e-61,1.246339796251878e-46,4.1685297925126642e-47,2.0910239754848714e-51,6.2436605728954981e-36,1.0204476144579631e-44,2.0629703392625903e-49,3.4721509158942511e-35,5.4403756903586914e-40,3.1571077574942116e-58,1.5723268336196531e-35,7.4211102207745077e-48,4.7169815856738338e-63,4.2422283420368775e-48,3.4692868493916855e-35,5.435887607256332e-40,2.6836240706796242e-41,5.3194581136676661e-45,7.5152288631994102e-30,2.0057791622647901e-57,2.7727445273346083e-58,1.6267943869771739e-64,5.9441401011121477e-38,9.3136319205323136e-43,8.7179597357636457e-50,8.7350966255685568e-54,7.8671129729738096e-68,1.7987092280891183e-71,2.4034794409602209e-79,1.7366174823391906e-63,6.2937973049898591e-64,7.1886763723707916e-44,6.929094237838969e-56,6.6238678504901117e-65,4.7231646423550829e-75,4.0138371170447292e-76,6.6686030247206739e-76,9.9917290344210031e-75,1.494636239765836e-74,6.5954999037402601e-81,4.5911666883227228e-84,3.9287748482198374e-33,1.1377347471024095e-52,1.1650598396725722e-25,5.5567350199595237e-58,1.4536399937077766e-67,1.3094699435533337e-30,8.2309359231803208e-93,1.5045128286190405e-94,6.5514148351063885e-96,4.4425926746090341e-45,5.0021478764013987e-47,2.4438564142136711e-93,1.4288174320306746e-99,4.3530122563394824e-100,2.011604023818041e-106,4.1554401211042654e-45,9.0247145390912377e-108,1.3661592908894706e-38,4.2122527812719927e-36,5.2667867489731464e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.8781809978657547e-45,5.2552358712461183e-47,6.0085105357239031e-49,1.3615913415643816e-50,6.3355887969398406e-47,3.167780645459685e-51,3.0868714260970851e-55,2.657356133062189e-56,8.557387342140047e-51,9.7749881989189484e-56,7.4148959273439476e-59,1.1252469041988487e-63,1.4039511770875942e-69,4.7349038038829532e-70,4.3674087277658924e-74,4.3673886382591258e-74,5.5210591156055766e-76,1.1964918650484969e-59,4.6907821575843176e-103,2.0147322317427184e-109,1.1689590514588867e-115
1.2700000000000001e-13,0.0017856330960765207,3.4518614954943919e-21,3.4518612873863428e-21,3.3546437597629599e-21,3.3546419043400879e-21,3.8058265573972539e-28,9.5283719225102591e-22,5.8750722434599141e-27,3.9581245740460286e-27,4.5101894850180269e-22,1.7644647149181114e-26,3.9411841106241546e-27,3.8301852064824231e-27,2.9181913775862573e-34,9.1529477750537639e-39,3.7795224376814258e-22,1.4786152799088695e-26,1.1032068323191568e-34,9.750517329775457e-23,5.6267013630205265e-28,3.4602227768520303e-39,1.5089690142731582e-34,6.4800588773119924e-46,1.3023417786638348e-49,4.9248531786551561e-29,1.0768324372760558e-48,4.3486184849119991e-40,2.7279926622040248e-46,3.4543700024140056e-46,2.6562025355815144e-23,1.5169164133199262e-34,4.4631268840069597e-34,5.0795541834729375e-29,4.2672274161574656e-59,1.0076134889692329e-45,1.3396011948413532e-45,3.3836357099439948e-50,5.0478571342521897e-35,1.6514651598170201e-43,6.6803579039248001e-48,2.8070645748564344e-34,8.804407081770685e-39,1.0221895864438085e-56,1.2711706445283943e-34,2.4030619932797e-46,3.0551763222072359e-61,1.3737029585991331e-46,2.8047499375574417e-34,8.79714558995187e-39,4.3430335558248497e-40,8.5423737493039876e-44,3.0327350887940863e-29,1.1630930696264853e-55,3.2175735002533127e-56,3.7765950333949497e-62,4.8056286337102744e-37,1.5072919571073851e-41,2.8227505028834293e-48,5.6579014826526287e-52,1.1207174450088487e-65,2.3303082306061406e-69,6.2236678390197131e-77,1.7768180886414644e-61,1.2885465880302808e-61,1.1634067623439092e-42,1.1213766306431418e-54,1.8662322423528977e-63,2.2477829381131538e-73,2.5513145070318562e-74,7.630021185187786e-74,1.8440225983256397e-72,1.3783219284354132e-72,8.3897103096445913e-79,1.1688828097474066e-81,1.5854383282235939e-32,3.6842483317261591e-51,2.3429592035185925e-25,3.5996244889521996e-56,3.3746902878593903e-65,5.284255106481256e-30,4.1156544486430395e-90,1.4436966548608874e-91,1.2574553487610464e-92,7.1104994484456319e-44,1.602227484887887e-45,2.2823944327294505e-90,2.6689402816191203e-96,8.1311525910925782e-97,2.2821509094870692e-103,1.6769027857555499e-44,2.0478446634097033e-104,1.1045071837752677e-37,3.4055111747414044e-35,2.8103079554253563e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.1131522003365687e-43,5.6782258225837648e-46,6.4988130207290675e-48,2.9632240254718375e-49,1.0253482191489067e-45,2.5608287647639422e-50,4.9932525745179652e-54,4.2997554598682703e-55,6.9182782455488919e-50,1.5819370993787363e-54,1.1998913739116943e-57,3.6434414656648282e-62,9.0812006359885597e-68,3.0663680465515843e-68,5.6570053154710788e-72,5.6569532734009247e-72,7.1518115609289183e-74,1.9362687171517131e-58,9.9502453105137569e-100,8.5475235123036597e-106,9.9186903734379772e-112
2.55e-13,0.0017856330960765207,6.9230859329395436e-21,6.9230850969238897e-21,6.7281046756817094e-21,6.72809722204553e-21,1.5288853800615985e-27,1.9110217402489538e-21,2.3601463817245521e-26,1.5900670289901729e-26,9.04533242887514e-22,7.0880071324568667e-26,1.5832615588401101e-26,1.5386707382136343e-26,2.34634009921037e-33,1.4724459273361646e-37,7.5799565480065578e-22,5.9397268532213871e-26,8.8702339316215379e-34,1.9555653540753239e-22,2.2603640270509797e-27,5.5665135674714837e-38,1.2132984967756576e-33,2.0848671243947367e-44,8.3810544178670182e-48,1.9784017304158216e-28,1.735619332229697e-47,6.99450422154615e-39,8.7961584346954851e-45,1.1114484153669954e-44,5.327313485165703e-23,1.2196638600778796e-33,3.5884935490963881e-33,2.0405476345116321e-28,3.927999287875204e-57,8.1015022331472847e-45,4.2463899525544012e-44,5.4419708769452506e-49,4.0588139860222231e-34,2.6567471817442928e-42,2.1498017265972917e-46,2.2569221619631367e-33,1.4163349492165991e-37,3.2885220351529569e-55,1.0220743007316975e-33,7.7328991176241244e-45,1.9659835095960896e-59,4.420542827789326e-45,2.2550624782929369e-33,1.4151673894270778e-37,6.9864991192224183e-39,1.3533172439010287e-42,1.2183190986194161e-28,6.1637300563579284e-54,3.413043461409246e-54,8.014965250108579e-60,3.8639286790116808e-36,2.4248083257811311e-40,9.0818215530556745e-47,3.641079002543547e-50,1.3412993856774042e-63,2.9992263193623395e-67,1.5998556730192073e-74,1.6095674957482578e-59,2.3359960042944357e-59,1.8716312841430314e-41,1.8039520281783391e-53,4.764472260100869e-62,8.7502453454361196e-72,1.3279174297515408e-72,6.6164446243213184e-72,3.0128938799201595e-70,1.1252165669830245e-70,8.7336745647157393e-77,2.4357401710615793e-79,6.3690670883876126e-32,1.1856317634092743e-49,4.697822997151324e-25,2.3170296263031815e-54,7.1623207174607211e-63,2.1227668933674451e-29,1.6553026829669757e-87,1.0742275348901134e-88,1.8715802603056289e-89,1.1191895686518522e-42,5.0465539634707388e-44,1.9432643849255914e-87,4.5449857984146616e-93,1.3846687573317948e-93,2.1921426863462393e-100,6.7364586391398599e-44,3.9344690853586304e-101,8.8809517158835469e-37,2.738259680650743e-34,1.3384356873166765e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.7907701924741192e-42,5.4731144760828057e-45,6.2672435492051132e-47,5.7489809562758182e-48,1.6495428024160344e-44,2.0586764621001822e-49,8.0248566514446988e-53,6.9144126891618111e-54,5.5624772902712371e-49,2.5448287417806925e-53,1.9299195396827263e-56,1.1722629487830576e-60,5.828110636057992e-66,1.9726502373273933e-66,7.2778536951113795e-70,7.2777198054292039e-70,9.2022626151050676e-72,3.1145899904390825e-57,2.0712212109884337e-96,3.5584792926427722e-102,8.2586465391754456e-108
