Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654),S(11179),S(11193),S(12065),S(11559),S(10226),S(11013),S(13044),S(13047),S(14368),S(13836),C5H8(9850),S(15615),CHO(330),S(16928),S(16826),S(456),S(18023),CHO3(881),S(10202),S(18746),S(18747),S(18745),S(18626),S(19256),S(19255),S(18650),S(19434),S(18838),S(19740),S(19976),S(19862),S(20255),S(19528),S(19527),S(19431),S(19864),S(20911),S(19731),S(21226),S(21404),S(18071),C3H5O(710),S(9658),S(21554),S(1365)
0.0,0.0021537491353903846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0021537491353903846,4.1249050142151697e-24,4.1249050128005122e-24,4.0149617377211307e-24,4.0149617163917416e-24,2.7935391355227936e-33,1.6801520011874988e-24,6.5918758479497598e-32,4.4550392073218086e-32,7.9389412671218766e-25,3.0264064318991261e-31,4.4343573882385708e-32,4.3161661135011948e-32,2.8665632822606615e-41,1.0927635388517239e-47,6.6797363276942667e-25,2.5463845026074776e-31,1.1223174745948284e-41,1.7725186555793767e-25,9.1467023684942089e-33,4.2783901577258435e-48,1.3704125685352742e-41,7.9592984583732873e-57,1.8354122511869422e-62,4.4947359971475275e-34,6.0583773406826641e-58,5.7998363537307975e-49,2.306355175459863e-57,5.3542457850122295e-57,4.1233434650011061e-26,2.2300393199915491e-41,6.2908903392575375e-41,4.6339267300342118e-34,5.7210351391061986e-74,2.9618972638572921e-53,1.3825199482893203e-56,1.1847318765508488e-59,4.8543625733346104e-42,9.0542000499289017e-53,3.7477693046688232e-59,3.3850220915950906e-41,1.2904053952036996e-47,3.8732973984617641e-68,1.8763301269800683e-41,3.1879709691197978e-57,1.4765409934239052e-74,1.9070926948179203e-57,3.3810345758067517e-41,1.2888853114566799e-47,5.7372016176093481e-49,6.9834454393092685e-53,4.4326786929502067e-34,7.1792675656206362e-69,2.8513111834412072e-71,4.1478424133465233e-79,4.9415088967315574e-44,1.883754243940742e-50,3.5044401738915832e-59,8.0581728381984562e-65,2.9819949175441207e-82,1.0925830668850758e-84,2.0927910372974475e-94,2.5022120206669852e-76,2.6328080808636871e-78,9.1563370819670135e-52,2.9576705201203796e-64,5.7288882533005075e-75,8.9106360513001795e-87,4.788502447271376e-89,2.7525946871079695e-90,9.7521295738899351e-90,4.8344388521364855e-88,1.9849733126229969e-95,4.0979610185180694e-100,1.7220300395437607e-37,1.7074111691386879e-62,2.0162620155308173e-28,1.5589540614462445e-69,2.847492443184993e-82,6.2795387299515407e-35,1.0520590857500977e-110,5.6480694128215718e-114,6.6816426766154609e-117,5.8752885610182668e-53,1.6674374698270093e-56,-4.3576179638368904e-112,-6.3390908775432885e-120,-1.3707753146131378e-120,-9.493815760645993e-127,6.9740371631699441e-50,8.9831400973143321e-96,1.4308238696551528e-44,3.2857161894735142e-42,4.2411919628274911e-53,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.1221984268906224e-53,1.1845307003310143e-54,9.5518120631177069e-57,5.646531812820395e-60,7.7143384869956583e-55,8.5340689622529446e-58,1.9552046024556039e-63,1.7067774350580804e-64,2.5237042942299372e-57,7.3559691023171215e-64,3.0877944864800622e-67,1.1770991108624027e-73,3.886149287565288e-81,1.0189332765905219e-81,2.3344506149575597e-87,2.3344504123086303e-87,2.6921179876538445e-89,5.6222204004182348e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7390796093407235e-79,0.0,0.0,0.0,0.0,0.0,2.898215662333653e-101,1.4119765794690934e-112,3.8597616971448527e-75,1.3660036268176588e-81,1.0792785666756005e-91,5.9554375579133351e-69,1.6954531645439015e-72,3.8788394632734492e-95,2.021777614396694e-88,6.7823020684022227e-94,4.6221174026321937e-94,4.040949577925527e-95,1.9509316840227939e-96,8.9375113894888272e-102,6.5663586043978069e-102,1.3315300233694915e-98,9.8092038244416816e-109,9.8104718960453203e-109,6.1636056059686793e-112,9.2519884854713189e-121,6.1644024046358978e-112,3.080364378081787e-121,6.4870511682660472e-110,6.4870249104557182e-110,1.6195606701956661e-112,3.012443170717398e-118,3.1318958993939602e-119,6.443125100039865e-120,1.6930095347430632e-127,1.0638012283528572e-130,5.2989214604312502e-84,7.8100743024000052e-79,2.2648696818846458e-74,2.6616259304370201e-143,4.8391825215333553e-65
3.0000000000000002e-15,0.0021537491353903846,1.3553259188208931e-23,1.3553259178912601e-23,1.3192016992895586e-23,1.3192016852731027e-23,1.8357542797695056e-32,5.5204994371535851e-24,4.3318040970697503e-31,2.9275971795949724e-31,2.6085082760539769e-24,1.988781030882829e-30,2.9140062693407541e-31,2.8363377171928779e-31,2.7027593121502467e-40,1.3425379241431732e-46,2.1947696703871233e-24,1.6733381040047784e-30,1.0581849167998336e-40,5.8239895850797378e-25,6.010690000011345e-32,5.256307396515964e-47,1.2921032218881558e-40,1.205264511726383e-55,3.303740476219104e-61,2.9536834511929558e-33,7.8032496416757974e-57,7.1084195865238146e-48,3.6295667868222272e-56,8.0920775279368216e-56,1.3548128604813389e-25,2.1026082521714565e-40,5.9314099118598761e-40,3.0451516382673589e-33,1.1916771492370324e-72,2.7926454734963091e-52,2.0934518789457918e-55,1.4555267278950219e-58,4.5769704040321144e-41,1.1123730668025626e-51,5.6751932151450325e-58,3.1915914945696915e-40,1.5853549059306692e-46,5.8652749672433644e-67,1.7691110537435542e-40,4.8274980308235787e-56,2.6577722806811135e-73,2.8878827906762459e-56,3.1878318439636589e-40,1.5834873767572575e-46,7.0485606990730222e-48,8.5792658571496165e-52,2.9129031479989025e-33,1.3341291812219892e-67,6.1132392889349678e-70,1.0078112328661236e-77,4.6591364182475388e-43,2.3143264309856918e-49,5.3067207149195493e-58,1.4504704263443709e-63,7.2033843745080029e-81,2.2788149953950888e-83,4.9628899789460674e-93,5.2114532480119533e-75,6.2356815675117899e-77,1.1249213748272106e-50,3.6337089789664388e-63,8.6670075919008402e-74,1.6014529996747435e-85,9.9016339684962112e-88,6.458999154502081e-89,2.3070582726137941e-88,1.0055557251688103e-86,4.6716364532383567e-94,1.0815400899936517e-98,1.1316197406887914e-36,2.5855082262504592e-61,6.6248443963394135e-28,2.8061172050653471e-68,6.9186211442215528e-81,4.1265536087131937e-34,3.0770371384065066e-109,1.8131131821284519e-112,2.3358094467491201e-115,7.2177347312171729e-52,2.5248413849602851e-55,1.8047965643201872e-110,2.4443471975769523e-118,5.2856960944740977e-119,3.6755090969585266e-125,4.5829385748920551e-49,2.3386846360396918e-94,1.3490624877651124e-43,3.0979609695120512e-41,3.9656555166678147e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.5215577335150369e-52,1.4458295016091561e-53,1.1842065440441576e-55,8.6137046522973984e-59,9.4776157582862632e-54,8.0464021295833903e-57,2.4021026822592512e-62,2.0968956999598133e-63,2.3794921553060421e-56,9.0373319870837679e-63,3.7935735816044761e-66,1.7824633971061937e-72,6.9950256534427292e-80,1.8340777128904905e-80,4.8689910301171679e-86,4.8689905495503131e-86,5.6149831727735394e-88,6.9072964647182697e-67,1.3083981303596904e-121,1.406555158953331e-129,1.7902843668916296e-137,2.7244687777270443e-144,2.4849493775754887e-154,2.2474768209775025e-159,6.8841532592941926e-160,4.1477475471119679e-78,2.1570205768576224e-154,4.0001475879147684e-165,1.8463162937696693e-170,2.0144473683779102e-176,5.1776155618992614e-173,6.8729052129610518e-100,3.7518203723347801e-111,6.9475689681757367e-74,2.8490925402640828e-80,2.5594314460364385e-90,1.0719301975053884e-67,3.5360926323019113e-71,8.9899910171150076e-94,3.0615445523571219e-87,1.2200946372480593e-92,8.316970313472831e-93,7.2729783172670691e-94,3.5116683246202014e-95,1.8640496657064548e-100,1.3694767401523437e-100,2.3967513530771478e-97,2.0449054635808494e-107,2.0451696816667679e-107,1.4610177771195964e-110,2.4573989705402363e-119,1.4612065656508924e-110,8.1816831854073285e-120,1.3530119963181365e-108,1.3530057694761173e-108,3.840479124836661e-111,7.8422020269429625e-117,8.2919156842606172e-118,1.7119534694237704e-118,4.9814759771119053e-126,3.4340497755549495e-129,1.2565514736649756e-82,1.4057499748939607e-77,3.4291884042466328e-73,9.3519642422104765e-142,7.3279046964273829e-64
7e-15,0.0021537491353903846,3.0052878141531744e-23,3.0052878091008215e-23,2.9251862831682111e-23,2.9251862069918284e-23,9.9769251050461021e-32,1.2241107477718526e-23,2.3542412454093512e-30,1.5910853749316062e-30,5.784077150414048e-24,1.080858058270012e-29,1.5836990086438451e-30,1.5414878383701646e-30,4.3653605574782827e-39,6.7907357791951732e-45,4.8666577944323161e-24,9.0942188028108147e-30,1.7091270370544742e-39,1.2914062039900232e-24,3.2666788956658176e-31,2.658710518776164e-45,2.0869416324440755e-39,1.9904888518971679e-53,1.839328683476127e-58,1.6052620234973419e-32,4.4656622860542004e-55,3.5761098562803542e-46,6.8364025255498411e-54,1.328637689985644e-53,3.0041503053667304e-25,3.3960272098692469e-39,9.5801112056841095e-39,1.6549729635323e-32,2.2303404427651379e-69,4.5105378968651957e-51,3.4554243495408975e-53,7.3621961915176309e-57,7.3925003372036299e-40,5.6265331840064538e-50,9.3726276276849863e-56,5.1548925388654175e-39,8.0189284809350008e-45,9.6864594831294101e-65,2.8573793070566581e-39,7.9726371936965696e-54,1.4796891364963629e-70,4.7693549929589111e-54,5.1488202391583671e-39,8.0094823966738371e-45,3.5652525309668515e-46,4.3371112682389997e-50,1.583099561419026e-32,8.4254964989720095e-65,1.3390775295196763e-66,7.7928968452017083e-74,7.5252032280008125e-42,1.1706173170281549e-47,8.7640258813158545e-56,8.0753682722093044e-61,4.880086738382822e-77,4.3819290951060061e-80,3.3576392574052736e-89,9.7313831551394075e-72,4.096337919653208e-73,5.69000696613735e-49,1.8379775640803931e-61,1.4115354030314547e-71,8.6517111788500372e-83,1.6069436157773767e-84,3.6062328303885084e-85,1.4759021853632076e-84,1.828872186500056e-83,2.6647748666181267e-90,2.2006704399081505e-94,6.1501073011036966e-36,4.2699883756255062e-59,1.4689766108243891e-27,1.5622935659998741e-65,5.3498283637343732e-77,2.2426907151444341e-33,2.2562848386233809e-104,4.8278295998785441e-107,2.2845232885263486e-109,3.6479376045469588e-50,4.1664631210015299e-53,2.5730141121148547e-105,1.4972030132013644e-112,3.2375764477368183e-113,1.9287826601919478e-119,2.4907270157220929e-48,3.6860948315187949e-90,2.1789400225840405e-42,5.0036762019171929e-40,5.9553173853088028e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.8045068142391393e-50,6.7946834184503771e-52,5.7716524111041801e-54,1.3733733434094274e-56,4.7939096342767178e-52,1.2996073436727011e-55,1.2149816549238631e-60,1.0606251854579379e-61,3.8432334754959573e-55,4.5711996248022545e-61,1.9188272550638234e-64,2.9437311593428973e-70,3.8940233324091417e-77,1.0210936955816896e-77,9.3624296924703128e-83,9.362426441070419e-83,1.0796919058135168e-84,3.4937894076872008e-65,4.8172283289531541e-117,2.0714621795620236e-124,1.0546364330568989e-131,6.4198186718917287e-138,2.3420875034686987e-147,8.4730693960942536e-152,2.5953510190145933e-152,6.8500053121277219e-76,2.0330836685493856e-147,1.5081028760061751e-157,2.784318252083192e-162,1.2151466092856774e-167,3.667576648184737e-167,4.6500823114355337e-96,9.0622312417444576e-107,3.8680106455360427e-71,5.4785411001853221e-77,1.7316926304275883e-86,5.9630899940539408e-65,6.7940630371051118e-68,3.978804406020523e-90,5.0560617707324649e-85,6.7218834168108241e-90,4.6022985234792554e-90,4.0419273138219408e-91,1.9550209146920441e-92,3.5820106621284027e-97,2.6302580379018963e-97,1.3343551766555136e-94,3.8918758409137392e-104,3.8923734229854932e-104,9.7832896162570082e-107,5.8724004487977948e-115,9.7845404698123119e-107,1.9551588858110745e-115,2.6016696063619625e-105,2.6016274774085094e-105,2.5953367134737212e-107,1.2343483587041209e-112,1.8263448793001955e-113,4.1301993229956538e-114,4.3248058379103618e-121,1.0869987919230392e-123,8.4937193573483497e-79,7.8201401355606652e-75,5.6517342796392879e-71,1.0858218464031917e-135,1.2102097166571189e-61
1.5e-14,0.0021537491353903846,6.3052113239172175e-23,6.3052113015656086e-23,6.1371551678460498e-23,6.137154830841777e-23,4.4137914250679607e-31,2.5682323650012899e-23,1.0415162448847774e-29,7.0389613403480576e-30,1.2135195471055647e-23,4.7817072482588914e-29,7.0062840410520563e-30,6.8195418191453884e-30,4.0598595730978689e-38,1.3060356019467332e-43,1.0210417733774643e-23,4.0232750322070754e-29,1.5895173876552399e-38,2.7094201432278823e-24,1.4451784111432359e-30,5.1133942501102579e-44,1.9408936410685112e-38,7.8090649013744106e-52,1.4590080309543594e-56,7.1016738880362777e-32,8.866332258627067e-54,6.8687332977636174e-45,2.7686133021375189e-52,5.2056808714006948e-52,6.3028253450228535e-25,3.1583636297053952e-38,8.9096620018672094e-38,7.3215948574529476e-32,3.4301487838402182e-67,4.1948736763869353e-50,1.3545458425864857e-51,1.4159273474214142e-55,6.8751635067146691e-39,1.0821296365877812e-48,3.6771003713195335e-54,4.7941302880150341e-38,1.5422467967879732e-43,3.8001727984051976e-63,2.6574118533234016e-38,3.1278429507505922e-52,1.1737289735469484e-68,1.8711252662095837e-52,4.7884830895460847e-38,1.5404301050995198e-43,6.8569006029566933e-45,8.3344985769597742e-49,7.0036326394951621e-32,6.7904481549375681e-63,2.1708300100451858e-64,2.5341344419343128e-71,6.9985684892074478e-41,2.251402870505733e-46,3.4382938540594296e-54,6.405613522036578e-59,1.3534209265566832e-74,6.991930616489755e-78,1.0746191895387944e-86,1.4921236869455005e-69,1.2600971142538873e-70,1.0943380980879974e-47,3.5349077044086263e-60,5.4284744164476778e-70,6.5803118921588644e-81,2.084341729532242e-82,9.2650590360673385e-83,4.3907073341629276e-82,2.7117072353733469e-81,6.93764547409023e-88,1.1480176152703985e-91,2.7208074808493213e-35,1.67521633206943e-57,3.0819287921484103e-27,1.2392697534317934e-63,1.739687973368421e-74,9.9216529684615865e-33,2.3512359360900843e-101,1.0018759978213035e-103,9.4840057054300898e-106,7.0076231243929953e-49,1.6327045606617825e-51,3.2581922560814729e-102,3.7932892932823182e-109,8.2026720114366073e-110,4.1191615378258839e-116,1.1018972860326864e-47,1.5946702645393139e-87,2.0264546690112063e-41,4.6535125252679498e-39,4.9846131405393219e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.3170665149688562e-49,1.181068773954068e-50,1.012333778138572e-52,4.9248476795445778e-55,9.2199536811458784e-51,1.2086467880359153e-54,2.3366288773061704e-59,2.0398225026036655e-60,3.574269192287653e-54,8.7915994201122816e-60,3.6903682868819785e-63,1.1548820675859441e-68,3.0884031815221476e-75,8.0994591844929798e-76,1.4938635930659077e-80,1.4938625523914595e-80,1.722759832558217e-82,6.7194301571348531e-64,4.4571837457982641e-113,3.8334588680078301e-120,3.9035277477660349e-127,4.7523994833616313e-133,3.4674136560780281e-142,2.5088500802624798e-146,7.6847561897777482e-147,2.6873977743121813e-74,3.0100819055630514e-142,4.4655757663289568e-152,1.6488957338489503e-156,1.4392404226445212e-161,1.669106539388447e-161,1.4883679733953793e-93,5.8099768713255983e-104,3.0682303461206935e-69,8.7417751419529263e-75,5.5428135561439096e-84,4.7246963464334849e-63,1.0828528807471988e-65,8.587158994591045e-88,1.9835526489419042e-83,5.2539096476026565e-88,3.6193959309690311e-88,3.1980317016773712e-89,1.5507004272541441e-90,5.7102611723178499e-95,4.1899701465180933e-95,1.0584318899563342e-92,6.1218691620680201e-102,6.1226404692211783e-102,3.0871206390634852e-104,3.7101094950498274e-112,3.0875096375795452e-104,1.2352427628739001e-112,4.1512221115017627e-103,4.1510872710695714e-103,8.2933917725536634e-105,5.330602709360159e-110,1.0431863539786425e-110,2.6436287682512314e-111,5.5130476399139674e-118,2.7723823664509923e-120,2.715107548030363e-76,6.1961138149006217e-73,2.2107287501658462e-69,5.5259853190419709e-132,4.7479366974372699e-60
3.1e-14,0.0021537491353903846,1.290505721984342e-22,1.290505712667805e-22,1.256109180488404e-22,1.2561090400192087e-22,1.8397446920652019e-30,5.2564756359254161e-23,4.3412198456130185e-29,2.9339609900432848e-29,2.4837354400512744e-23,1.9930914198305818e-28,2.9203405123335259e-29,2.8425031086640737e-29,3.4265022491469631e-37,2.2205521388140075e-42,2.0897872377873265e-23,1.6769648753661328e-28,1.341545429537305e-37,5.5454458148004425e-24,6.0237517911265054e-30,8.6939136219208913e-43,1.6381090585383892e-37,2.6657810483735362e-50,9.9815559840564203e-55,2.960096639231242e-31,1.530803176417976e-52,1.1671092157693785e-43,9.6010103683743111e-51,1.7759646483308691e-50,1.2900176023852639e-24,2.6656448685729355e-37,7.5197052701917306e-37,3.0517633302613728e-31,4.3819702902213348e-65,3.540448055588432e-49,4.6166897232989985e-50,2.4073422367228876e-54,5.8026260702005772e-38,1.8398638779110251e-47,1.25527980468332e-52,4.0462108900533621e-37,2.6221561988847559e-42,1.2972593045045884e-61,2.2428438354476609e-37,1.0677698253264572e-50,8.0298308936597605e-67,6.3875765408133432e-51,4.0414449192892976e-37,2.6190675406779803e-42,1.1658228842734471e-43,1.4147379356905674e-47,2.919235812659378e-31,4.5778014317994437e-61,2.930591033499839e-62,6.8463702824558006e-69,5.9067611142961859e-40,3.8278891158211859e-45,1.1737309259793225e-52,4.3822929763988615e-57,2.8254509376810109e-72,9.5767407522822456e-76,2.9448408701479856e-84,1.8959060168456394e-67,3.2043731410348377e-68,1.8606236697857743e-46,6.010123909529795e-59,1.7832041550307387e-68,4.1506320514223258e-79,2.0331224228119393e-80,1.770099960582071e-80,1.054701079005536e-79,3.2543732345546365e-79,1.3549120138011303e-85,4.4870076433479505e-89,1.1340797996748795e-34,5.7188159832194291e-56,6.3077045159244474e-27,8.4784431597029476e-62,4.7000628849011793e-72,4.1355084328706871e-32,1.8307036600254021e-98,1.5456543633385309e-100,2.9265527166748312e-102,1.1886680027827043e-47,5.5608731002659834e-50,3.603703249170567e-99,8.3915692643422203e-106,1.8146071566120135e-106,6.9369670426225877e-113,4.5928963593210101e-47,5.2987043130805926e-85,1.7103237530316822e-40,3.9275566962647941e-38,3.5114657337648297e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.244067254693662e-47,1.6862856646435613e-49,1.4515586614430898e-51,1.4221853990636821e-53,1.5676030801998991e-49,1.0200753420329578e-53,3.9724623600633496e-58,3.4680315230968928e-59,3.0166607747776969e-53,1.494764945945683e-58,6.2743258272154902e-62,3.9424255679123609e-67,2.1122691214582943e-73,5.5409065075620806e-74,2.0460338923980441e-78,2.0460310402637389e-78,2.3595633597543172e-80,1.1424403549465288e-62,1.1503588707591982e-109,1.9790384445183877e-116,4.030699628541156e-123,9.8147956599876825e-129,1.4320906546028577e-137,2.0723984904269074e-141,6.3478803957262274e-142,9.1740456832863775e-73,1.243323699371144e-137,3.6889359240034987e-147,2.7242247496235383e-151,4.7556951265066862e-156,2.7657727807268201e-156,4.079206872918566e-91,3.1855467788453385e-101,2.0990967127093063e-67,1.1973638483839749e-72,1.5192010354855667e-81,3.2249885666120992e-61,1.4798234142245118e-63,1.4256546480605327e-85,6.7710205143536248e-82,3.4924457134607435e-86,2.4345797691276071e-86,2.1768678811567143e-87,1.0607809965755521e-88,7.8068274543213939e-93,5.7200528187562141e-93,7.2408646474262254e-91,8.1540517380920163e-100,8.1550500965582936e-100,8.2286183145805852e-102,1.976623107106836e-109,8.2296260592695569e-102,6.5809398925749737e-110,5.6856664444104876e-101,5.6852969007368032e-101,2.2655918606408528e-102,1.7652363717329263e-107,4.6916452477322622e-108,1.4447617380420827e-108,5.9672220081840439e-115,6.0019712970667593e-117,7.4222262452470566e-74,4.2293986001259433e-71,7.5027078020711486e-68,2.3808313082961265e-128,1.6208405772097262e-58
6.300000000000001e-14,0.0021537491353903846,2.6104744517289825e-22,2.6104744137636037e-22,2.5408960549690662e-22,2.5408954825497686e-22,7.4970577925053992e-30,1.0632962323630316e-22,1.7690700865050407e-28,1.1956047772451897e-28,5.0241361416027082e-23,8.1218973996094466e-28,1.1900543488987157e-28,1.1583351817382563e-28,2.8043842890250021e-36,3.6430469962987898e-41,4.2272520730976073e-23,6.8336740822573024e-28,1.097974038241293e-36,1.1217488330347311e-23,2.4547093234877469e-29,1.4263275988947165e-41,1.3406994818337969e-36,8.7569695913232487e-49,6.5617516125827844e-53,1.2062519245698241e-30,2.5307677872021638e-51,1.9141652645896635e-42,3.1790003131562785e-49,5.8323277639482107e-49,2.6094879779391985e-24,2.1816701765139088e-36,6.1544108805741566e-36,1.2436064465940161e-30,5.0791431419978501e-63,2.8976331133852708e-48,1.5117763978873282e-48,3.9493304720032223e-53,4.7491312261433375e-37,3.0184944070209871e-46,4.1237195092778237e-51,3.3115580432963292e-36,4.3018950041170116e-41,4.2613987510086301e-60,1.8356329976099299e-36,3.5076925346351877e-49,5.2786632783947066e-65,2.0983652696984869e-49,3.3076577738009869e-36,4.2968281426732189e-41,1.9126429511111532e-42,2.3134837180136934e-46,1.189604543566804e-30,2.8613280331689909e-59,3.6656620356015933e-60,1.7132193212208417e-66,4.8343297695591582e-39,6.2800557016065519e-44,3.8556547519376062e-51,2.880866757665289e-55,4.8601963521213803e-70,1.2594986823619447e-73,7.7445234058471943e-82,2.1782568156036173e-65,7.3662674968786782e-66,3.0525617918834419e-45,9.8602063181550231e-58,5.4467721038492375e-67,2.3410713884238218e-77,1.6062407075898922e-78,2.6876385056390333e-78,2.2247607742833951e-77,3.4304346373163133e-77,2.1426250484438128e-83,1.4199851587524017e-86,4.6214367564601268e-34,1.8786895994368354e-54,1.2758741450828879e-26,5.5738726309510314e-60,1.1761410229950176e-69,1.6852349986579579e-31,1.1492601988872551e-95,1.9049198464523157e-97,7.2141658269049103e-99,1.9410740345545811e-46,1.818446851818919e-48,3.6486362149404664e-96,1.6993110103156836e-102,3.6746194263504504e-103,9.5173316919356939e-110,1.8716278868293368e-46,1.5593508653760058e-82,1.3998054291952388e-39,3.2144900968898026e-37,2.1547040727920749e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.0410302866597866e-46,2.0929549330039833e-48,1.8054244956565633e-50,3.5574907108431358e-52,2.5718327490769227e-48,8.3484234953257046e-53,6.5161623055676138e-57,5.6892665821009991e-58,2.468944929469128e-52,2.4523068644515113e-57,1.0293278053748043e-60,1.2950714263922022e-65,1.3877793056944144e-71,3.6422593228905084e-72,2.6906384969126425e-76,2.6906309945424962e-76,3.103017476435753e-78,1.8742504190981539e-61,2.5587688131232815e-106,8.8043103002694233e-113,3.5863868089736201e-119,1.7465914340488353e-124,5.0960089630768881e-133,1.4749035141292532e-136,4.5177193511226642e-137,3.0136808836719132e-71,4.4251292413995217e-133,2.625678992295808e-142,3.8779505696037885e-146,1.3539527091607752e-150,7.2288903185462595e-151,1.07306223250027e-88,1.6760814789798422e-98,1.3799453527413727e-65,1.5747730027189441e-70,3.9967187725920461e-79,2.1104969793632385e-59,1.9374774648927273e-61,2.0969556528312457e-83,2.2241084054572768e-80,2.1726814212433424e-84,1.5484881622017629e-84,1.4167970665227897e-85,6.9721178110398243e-87,1.0229578572445912e-90,7.4736669606896297e-91,4.7597943658688373e-89,1.0164000636053315e-97,1.0165178603819238e-97,2.0519219173008182e-99,9.8414201760995902e-107,2.0521598539206143e-99,3.2765666465462328e-107,7.4771009196860477e-99,7.4761288941389282e-99,5.9212915828476252e-100,5.160580624783872e-105,1.811145026553551e-105,7.5526088125690487e-106,6.1184269793866378e-112,1.2308430285136374e-113,1.942468280467925e-71,2.7678838896611436e-69,2.4361800831364093e-66,9.6687654660822516e-125,5.3246310748853114e-57
