Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654),S(11179),S(11193),S(12065),S(11559),S(10226),S(11013),S(13044),S(13047),S(14368),S(13836)
0.0,0.0035033826432228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0035033826432228055,1.5427747762684353e-21,1.5427747709338403e-21,1.4942468798504283e-21,1.4942468776361606e-21,7.7215922821122626e-30,6.4505981578686721e-23,1.6958660816551782e-29,1.1364166118214041e-29,3.0666163783978927e-23,7.1867349230123845e-30,1.1320647630950696e-29,1.0964557294110814e-29,3.0414083922017177e-38,7.1276590188755638e-45,2.5454458086560211e-23,5.9653514619179971e-30,1.0661339248354659e-38,6.1682389955372503e-24,2.5812387229155581e-31,2.4985263613884021e-45,1.8624960514907512e-38,1.7586989545570957e-53,1.0235398180611984e-58,2.674283181234267e-31,2.0980015089700945e-54,3.0428044578117534e-46,8.1368587875401294e-54,2.2324489976283728e-54,2.4330390049930722e-24,8.153813968728288e-40,7.5104516057736087e-39,2.8608774219446218e-31,7.0652272575165397e-69,1.1881598615963584e-48,1.9572310473624205e-53,3.123246954218438e-55,1.9230623963048181e-39,6.9603608203203202e-49,9.9362407626730068e-55,6.6676909876773701e-39,1.5625993714170787e-45,2.9585152651400308e-63,6.7680757118564656e-40,1.967333675292246e-54,6.9333960372148693e-70,3.5638638495023457e-55,6.6680131427351728e-39,1.5626748518733946e-45,2.8315911794071678e-46,5.6407895320465739e-50,1.7853271757407122e-32,5.6083765419537495e-64,2.8521000378579025e-66,2.9062168302331649e-74,1.6478187698975155e-41,3.861727491637852e-48,2.7182487609774924e-56,1.5786309773511856e-61,3.3916138054554749e-76,7.9095156167073118e-80,1.7420820713947148e-88,1.0801997836798383e-71,1.4182757090990859e-73,2.4164626438787833e-48,1.8988067616462658e-59,7.3605959820586539e-70,2.1910148305228371e-81,2.2490587971308834e-83,1.4102217456595687e-84,2.9119655100302343e-82,1.3119415446175377e-80,6.1409647466730281e-90,1.482130312002012e-94,1.7562873240257153e-35,8.7460628957590082e-58,2.1593066714042117e-25,3.8942936593034754e-64,4.5672310644308554e-77,5.0752230632202322e-33,4.7486672538091922e-104,3.5323523985236092e-107,6.5035422229910033e-110,4.6814194591026595e-50,2.3414347544055696e-53,-1.7157464521152751e-105,-1.7483043220182169e-113,-3.2412995311362683e-113,-1.4652939647225806e-118,1.4099809172306678e-45,-3.1246050915690384e-121,7.7560746313733204e-43,1.2899602623605596e-39,4.7411798305791356e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.6661240380752682e-49,1.4361483038512789e-50,2.8015528033113711e-52,2.5774691726724919e-55,7.6722537599769731e-52,4.512926174964142e-54,7.0926876643978377e-60,5.9314433329221131e-61,7.854141746417208e-54,3.5812524745657066e-60,1.2423686677486805e-62,2.911539118506851e-69,1.5621177232934558e-76,9.005546166292089e-77,1.4153830856681145e-82,1.4153824978726632e-82,6.3998916474589872e-84,5.2365369187387318e-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0265349965030867e-74,0.0,0.0,0.0,0.0,0.0
3.0000000000000002e-15,0.0035033826432228055,5.0691170931375814e-21,5.0691170580816736e-21,4.909668273666911e-21,4.9096682591160062e-21,5.0741891935559353e-29,2.1194822837481516e-22,1.1144262756690762e-28,7.4678805694423669e-29,1.007602284228432e-22,4.7227108769932817e-29,7.4392826933029825e-29,7.20528046646418e-29,2.8676133432971045e-37,8.7568374032937102e-44,8.3636056783822957e-23,3.9200875914543104e-29,1.0052119033540948e-37,2.0267076245156888e-23,1.6962427784506802e-30,3.0696178485579809e-44,1.7560675611908799e-37,2.6631693808975676e-52,1.8423697392935613e-57,1.7573860527278775e-30,2.7004189284192143e-53,3.6815746209133947e-45,1.2798082613201134e-52,3.3389453481745387e-53,7.9942711516367269e-24,7.6878810117611445e-39,7.0812816516630741e-38,1.8800051215086378e-30,1.4712656498014268e-67,1.120264923373907e-47,2.9636135256715603e-52,3.83712434685114e-54,1.813173117884732e-38,8.5512985434537178e-48,1.5046304920221875e-53,6.2866789295683517e-38,1.9197646455620292e-44,4.4800294336588215e-62,6.3813279476258595e-39,2.979104740564863e-53,1.2480094125945374e-68,5.3967074429512601e-54,6.286982712523106e-38,1.9198573822106279e-44,3.4788115421806229e-45,6.9295542749016512e-49,1.1732150088491534e-31,1.0415438025363018e-62,6.1115120725298886e-65,7.0578205362823615e-73,1.5536575791601857e-40,4.7444077080966385e-47,4.116200168422956e-55,2.8415327984061331e-60,8.1861070879809877e-75,1.6496968330601339e-78,4.1312064752894685e-87,2.2489863930410553e-70,3.3580853694682058e-72,2.9687967747501202e-47,2.3328195949462457e-58,1.1132866333123319e-68,3.9350277150062479e-80,4.6451147601490858e-82,3.3029260309072064e-83,6.8870856743680288e-81,2.7280307817266202e-79,1.4437795457043615e-88,3.9080476512778072e-93,1.1541316776252479e-34,1.3244036307175495e-56,7.0948554846980972e-25,7.0097277887839218e-63,1.1091637328142035e-75,3.3351468152942615e-32,1.3876930053123072e-102,1.1329883366763345e-105,2.2718014454718229e-108,5.7507891440180895e-49,3.5452665716140848e-52,7.1081712826232773e-104,6.7435398662846509e-112,1.2502304029494957e-111,5.676938711654114e-117,9.2655888441724382e-45,1.1212807222499469e-119,7.312871106301717e-42,1.2162482539655345e-38,4.4296745124865551e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.7326656639933627e-48,1.7516075698672047e-49,3.4682367202136255e-51,3.9272477998852275e-54,9.4259124897557574e-51,4.2550435541487609e-53,8.7138074825027145e-59,7.2871864436551459e-60,7.405332112972547e-53,4.3998234831774658e-59,1.5263382223388475e-61,4.4089009619796486e-68,2.8117827769661348e-75,1.620997122075358e-75,2.9520806072413043e-81,2.9520792133290891e-81,1.3348336994489175e-82,6.4334612058700548e-63,1.3750290869049446e-113,1.0089758206451932e-121,3.959979809073653e-129,3.7047621362080965e-136,2.1270953162923745e-145,1.2183288951656525e-150,1.2730604842752032e-150,3.0687531482098389e-73,3.4841497641016383e-146,1.2524432833567309e-155,1.372826155451645e-160,9.691510476213135e-167,4.8821461213059782e-167
7e-15,0.0035033826432228055,1.1240215977160857e-20,1.1240215786639623e-20,1.0886655442280426e-20,1.0886655363199436e-20,2.7577114460793157e-28,4.6997217908236145e-22,6.0566643096319957e-28,4.0586306645954261e-28,2.2342469982851228e-22,2.5666884170543096e-28,4.043088294346762e-28,3.9159131516603217e-28,4.6316258371129929e-36,4.4293255684582077e-42,1.8545373772199341e-22,2.1304805756380625e-28,1.6235683011437089e-36,4.4940072476356905e-23,9.2187174402288312e-30,1.5526540059887541e-42,2.8363130428611923e-36,4.3981674100385915e-50,1.0257127616704417e-54,9.5510098194144442e-30,1.5422440008690534e-51,1.797736006790935e-43,2.4053648362064448e-50,5.3092512474362322e-51,1.7726428206415338e-23,1.2417081847418321e-37,1.143732367700062e-36,1.0217417671560794e-29,2.7384132889605358e-64,1.8093962709436211e-46,4.8896675127387927e-50,1.9408247339023694e-52,2.9285491866012112e-37,4.3253544235373864e-46,2.4849050956623676e-51,1.0153922053834748e-36,9.7104194495320694e-43,7.3986143090792226e-60,1.030680290053546e-37,4.9200062824062483e-51,6.9480559801570335e-66,8.9126966729157763e-52,1.015441325352073e-36,9.7108887379716917e-43,1.7596285156706084e-43,3.5016772626432349e-47,6.3761687968301375e-31,6.5427035437502782e-60,1.331433730513823e-61,5.427468168603846e-69,2.5093906434937035e-39,2.399785475958476e-45,6.7978176376496021e-53,1.5819825816966301e-57,5.477373775906553e-71,3.1721454609965791e-75,2.7948889599846258e-83,4.1700653936966392e-67,2.190413067425793e-68,1.5016576938122228e-45,1.1799718472189881e-56,1.8067303011871367e-66,2.0880089869357106e-77,7.3496662062436828e-79,1.7655024581742243e-79,4.3810479133338304e-77,4.9337617330531601e-76,8.0277354682489443e-85,7.750410909814284e-89,6.2724550365853311e-34,2.1872606692717338e-54,1.5732011060881622e-24,3.9026301719175867e-60,8.5295137717772565e-72,1.8125806074758684e-31,9.9107627623773012e-98,2.9325273034683977e-100,2.1596752586927847e-102,2.9047733972235482e-47,5.8467989425017176e-50,1.0070246463714613e-98,4.1045421046870648e-106,7.6096932375427746e-106,2.9174344291047908e-111,5.0356459668739273e-44,2.4884657409314318e-113,1.181140305241224e-40,1.9644251609942476e-37,6.6088617093978613e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.8996559299027157e-46,8.1743387765311506e-48,1.6757111721257749e-49,6.2059867135499416e-52,4.7677613932942005e-49,6.8725233725540086e-52,4.4071650830446046e-57,3.6858672786610232e-58,1.1960710673727417e-51,2.225486125488857e-57,7.7204057861226768e-60,7.2813135968897675e-66,1.565158494125947e-72,9.0247186713966615e-73,5.6764429810474002e-78,5.6764335503262568e-78,2.5667415543678713e-79,3.254143928727385e-61,4.9818691658230875e-109,1.4622584108573362e-116,2.2956036680608695e-123,8.5906187504582027e-130,1.9728580845311617e-138,4.5199441738270906e-143,4.7229998899631687e-143,5.0680785489091797e-71,3.2316250698619304e-139,4.6465214277244422e-148,2.0372486197640724e-152,5.7528079208733062e-158,2.8980058195392701e-158
1.5e-14,0.0035033826432228055,2.3582413182533533e-20,2.3582412339667648e-20,2.2840628886592127e-20,2.2840628536737883e-20,1.2200114907164982e-27,9.860201425878885e-22,2.6794681200481396e-27,1.7955381474695302e-27,4.6875317496430029e-22,1.1355012823560875e-27,1.7886621688749089e-27,1.7323998714899886e-27,4.307492798419797e-35,8.5187496864133228e-41,3.8908871419709352e-22,9.4252327573573882e-28,1.5099471896990783e-35,9.4286167390832782e-23,4.0783655104387882e-29,2.9861597037376586e-41,2.6378212223420679e-35,1.7254589327934664e-48,8.1361277489963923e-53,4.2253657617520122e-29,3.0603235310356947e-50,3.4274820814384323e-42,9.7358281875899467e-49,2.0648363608054324e-49,3.7190744949996247e-23,1.1548103300521375e-36,1.0636897715733456e-35,4.5201844997409786e-29,4.1810769406712192e-62,1.6827705571488746e-45,1.9156213658617378e-48,3.7325855766345256e-51,2.7236055229256584e-36,8.3187663322424174e-45,9.7488372546695883e-50,9.4433132899578479e-36,1.8675651825677005e-41,2.902540258724229e-58,9.58550751839057e-37,1.930227854582976e-49,5.5112523705288845e-64,3.4966533502378167e-50,9.443770908948767e-36,1.8676555007004391e-41,3.3842224529708028e-42,6.724906654622054e-46,2.820817274490155e-30,5.2476297022517626e-58,2.1480919565829321e-59,1.7564891077503013e-66,2.3337778260801201e-38,4.615415715771806e-44,2.6668737885908474e-51,1.2548556738145351e-55,1.5010218869776035e-68,5.0614455069587593e-73,8.9447616809543166e-81,6.3356269311764263e-65,6.6767218147072606e-66,2.8880814488251186e-44,2.2693953444091635e-55,6.9139850791904187e-65,1.5501030605661842e-75,9.2969722007860133e-77,4.3198145172146247e-77,1.2943817914051213e-74,7.2648824645596882e-74,2.0382975534158851e-82,3.9433178100060486e-86,2.7749343043275532e-33,8.5811184196024857e-53,3.3006141210690088e-24,3.0957063598874661e-58,2.7604199099864214e-69,8.0188626083653423e-31,1.0064793870377457e-94,5.9152884676045079e-97,8.7148415302891969e-99,5.574993511031223e-46,2.2891561260212853e-48,1.2690995812406821e-95,1.03495592360197e-102,1.9187773140154279e-102,6.1186662142922596e-108,2.2277696699038524e-43,1.0440484426726781e-109,1.0984838659523718e-39,1.8269521970994911e-36,5.4839510251189762e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.5767866345867847e-45,1.4089328962059427e-46,2.9131866827532085e-48,2.2061990345747523e-50,9.169675322988062e-48,6.3915513618055598e-51,8.4749897010533702e-56,7.0886282310882324e-57,1.1123652194225377e-50,4.2801809114206887e-56,1.484830665132936e-58,2.8566165167349561e-64,1.2412156654274562e-70,7.1586178331456197e-71,9.057253176370963e-76,9.0572229921812129e-76,4.0955485871428955e-77,6.2586063993925013e-60,4.4801990730618271e-105,2.6301480664617765e-112,8.2583649388881267e-119,6.1809815803194992e-125,2.838843627149072e-133,1.3007975006731236e-137,1.3592365787906776e-137,1.9883298575255382e-69,4.6503639007540816e-134,1.3372307875377697e-142,1.1726039641576079e-146,6.6224314474393392e-152,3.3360838023368742e-152
3.1e-14,0.0035033826432228055,4.8266805342583579e-20,4.8266801829372783e-20,4.6748572203554716e-20,4.6748570745301867e-20,5.085219253483666e-27,2.0181163179585335e-21,1.1168486886736102e-26,7.4841142244634928e-27,9.5940825454312146e-22,4.7329528327218552e-27,7.4554536750345763e-27,7.2209425362943404e-27,3.6355068111876067e-34,1.4483781230996307e-39,7.963571255496734e-22,3.9285897902896068e-27,1.274390021332877e-34,1.9297876702773432e-22,1.699937548972648e-28,5.0771419422957093e-40,2.2263116789905463e-34,5.8900276583191875e-47,5.5660319228984901e-51,1.7612050008664235e-28,5.2822913925894212e-49,5.803402264843601e-41,3.375240316281844e-47,7.0190408009541876e-48,7.6119388973064502e-23,9.746554380222743e-36,8.9774782688708284e-35,1.8840904908175846e-28,5.2727896652268454e-60,1.420252447882889e-44,6.5212058222565346e-47,6.3458034649174187e-50,2.2987183925820751e-35,1.414369857779369e-43,3.3280180771494682e-48,7.9701001832537325e-35,3.1752719621304998e-40,9.9078862709069225e-57,8.0901320642357467e-36,6.5893298884878272e-48,3.7702335093579478e-62,1.1936755779784236e-48,7.9704877294601102e-35,3.1754257306056062e-40,5.7539266910225059e-41,1.1401268220102822e-44,1.1757657709341418e-29,3.5082180267527719e-56,2.8758122500340011e-57,4.7060629012217696e-64,1.969700486241332e-37,7.8472451559356973e-43,9.1036453991884807e-50,8.5846357820988355e-54,3.0786615630034399e-66,6.9322567945286163e-71,2.4510003187183081e-78,7.9213242520554359e-63,1.6707573025110729e-63,4.910390216261124e-43,3.8584846174991627e-54,2.2503285771384681e-63,9.3542475910388756e-74,8.7994623360534779e-75,7.660121613696852e-75,3.0748695853034856e-72,8.6219112724509305e-72,3.8624801133978156e-80,1.495487155396006e-83,1.1566409503079594e-32,2.9293915367960408e-51,6.7553677521519173e-24,2.1179140907007603e-56,7.3959303744957257e-67,3.3424060306557822e-30,7.5916284547908267e-92,8.7956643648054058e-94,2.5919141943731306e-95,9.4398344242313568e-45,7.7831223107444269e-47,1.3920505578965055e-92,2.2705802607207459e-99,4.2095914106308906e-99,1.0053081078089322e-104,9.2857298594564784e-43,3.4310079004812082e-106,9.2712063732244061e-39,1.541944609470458e-35,3.81397387276786e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,9.4817556346823352e-44,1.9865118553563324e-45,4.1241542687329943e-47,6.2914705993662209e-49,1.5590585147423506e-46,5.3944187509819521e-50,1.4405550451104952e-54,1.2051390837924826e-55,9.3882895624605654e-50,7.2772318296586706e-55,2.5245277949448055e-57,9.7517643590995896e-63,8.4873062331496613e-69,4.897383340496991e-69,1.2404923898955081e-73,1.2404841178130801e-73,5.6095634803658132e-75,1.0641159064654685e-58,1.1487639620957244e-101,1.3489755745660711e-108,8.4718403304473835e-115,1.2681956682221818e-120,1.1648423689150489e-128,1.0675007050623143e-132,1.1154613328911579e-132,6.7877435844804924e-68,1.9083292836213813e-129,1.0974088108423745e-137,1.9246051017490304e-141,2.1738946148239644e-146,1.095111067918001e-146
6.300000000000001e-14,0.0035033826432228055,9.7635580659904096e-20,9.763556634338393e-20,9.4564444550840832e-20,9.4564438608384554e-20,2.0722540721176787e-26,4.0823096621210136e-21,4.5512178448981603e-26,3.0498167454787754e-26,1.9407109310053109e-21,1.92869287700225e-26,3.038137191272383e-26,2.9425725361506748e-26,2.9754472236942659e-33,2.3762166524807382e-38,1.6108877819230973e-21,1.6009128402531538e-26,1.043013796073313e-33,3.9036560553050694e-22,6.9273702115443208e-28,8.3295920885340724e-39,1.8221060924946674e-33,1.9347339366724709e-45,3.6588279213736453e-49,7.1769993903251214e-28,8.7316197017707554e-48,9.5015547622024251e-40,1.117419213331381e-45,2.3009468511673168e-46,1.5397671916131926e-22,7.9769798301001623e-35,7.3475002651733727e-34,7.6777637922262225e-28,5.9853980012923009e-58,1.1623938749750397e-43,2.1303692910310891e-45,1.0409557811912825e-48,1.8813750373708173e-34,2.3204008322224517e-42,1.0932760998087646e-46,6.5230248701053162e-34,5.2093451305481986e-39,3.254355967474728e-55,6.6212973583378938e-35,2.1646369130717736e-46,2.4782469804608542e-60,3.9213195078836982e-47,6.5233442048103211e-34,5.2095980834848375e-39,9.4398925373197137e-40,1.8599139265491229e-43,4.7913105930783544e-29,2.1606327067509461e-54,3.5445883353489592e-55,1.1604411498525487e-61,1.6120853829622005e-36,1.2874248630748434e-41,2.9903331427701868e-48,5.6431096537941235e-52,5.1673019692360613e-64,9.1161939094392623e-69,6.4448225655738058e-76,8.870774353407395e-61,3.7437822053794733e-61,8.0560290242493539e-42,6.3302648324151592e-53,6.7623951390589275e-62,4.8927081799128606e-72,6.7709309747654739e-73,1.0470454384908322e-72,6.3866774776420861e-70,8.9486652330974262e-70,5.9478478140975073e-78,4.6086229023877604e-81,4.713375894533825e-32,9.6232759795047027e-50,1.3664585435958785e-23,1.3923419354260257e-54,1.82376551442099e-64,1.3620525528933359e-29,4.6259253896535533e-89,1.041880798549877e-90,6.1409744991480485e-92,1.5361120733261132e-43,2.5363718270889057e-45,1.388865144768826e-89,4.5309738133705422e-96,8.4003045652717095e-96,1.338498302564742e-101,3.7839845740786506e-42,9.1369508873294541e-103,7.588009262777717e-38,1.2619973079936363e-34,2.3029512133158764e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.5555719447968868e-42,2.4266687604119047e-44,5.0480742445911556e-46,1.5490911700079533e-47,2.557827205705811e-45,4.4149715173225638e-49,2.3621286317446374e-53,1.9768745206156788e-54,7.6837126732947906e-49,1.1938953643720651e-53,4.1416987940661197e-56,3.2034960034887609e-61,5.5738601766486904e-67,3.2193957828131178e-67,1.6312783306890739e-71,1.6312565734454065e-71,7.3773738959394612e-73,1.7458357720499047e-57,2.5474215075938186e-98,5.9829732681769306e-105,7.5149560503320175e-111,2.2499260929776637e-116,4.1323722083615155e-124,7.5740695417001311e-128,7.9143931104620176e-128,2.2298614108615635e-66,6.7712204234348625e-125,7.7864008333093353e-133,2.7310709357609176e-136,6.1696373351138244e-141,3.1079907687920664e-141
1.2700000000000001e-13,0.0035033826432228055,1.9637309528344014e-19,1.9637303750984646e-19,1.9019613209889058e-19,1.9019610811841871e-19,8.3624788704878264e-26,8.2107003239933846e-21,1.8366211748745638e-25,1.230738575523127e-25,3.9032863537523934e-21,7.7830581285306342e-26,1.2260251661963284e-25,1.1874604329023521e-25,2.405556143755637e-32,3.8456124720224603e-37,3.2399244298129433e-21,6.4603358130915669e-26,8.4324563596719513e-33,7.8514583942929506e-22,2.7955331707957718e-27,1.3480435303294579e-37,1.4731186218308729e-32,6.2638378286310994e-44,2.3696902164019176e-47,2.8962383651487751e-27,1.4184390482513637e-46,1.5361278618697049e-38,3.6325441729650376e-44,7.4430765836407179e-45,3.0969154809424342e-22,6.4491418511644508e-34,5.9401686648304533e-33,3.0983189213925381e-27,6.0871149961169802e-56,9.3976121091583318e-43,6.8227678226540412e-44,1.6842051536699157e-47,1.5210491813783441e-33,3.7552113137889992e-41,3.540214765963606e-45,5.2736124675923146e-33,8.4306073582177581e-38,1.0535243607407874e-53,5.35311683789258e-34,7.0094522115605759e-45,1.6049232961895006e-58,1.2698004371864578e-45,5.2738741160982851e-33,8.4310189301892443e-38,1.5277202256408786e-38,2.9763578483753403e-42,1.9335114194129686e-28,1.2314031385766499e-52,4.0429748278115679e-53,2.6479485741086912e-59,1.3033240342258493e-35,2.0835434416323712e-40,9.6814293739195497e-47,3.6548430073355202e-50,7.1937907635825436e-62,1.1808745907935594e-66,1.6684793616872126e-73,8.8596574060120681e-59,7.4822454687761638e-59,1.303774191448052e-40,1.0244798447194555e-51,1.8704314155687729e-60,2.1472112128364221e-70,4.3005052786040047e-71,1.0869971596319074e-70,1.1646637239692151e-67,8.1538399624903234e-68,7.5568792233747565e-76,1.1718810625617928e-78,1.9020612324726901e-31,3.1162003861280663e-48,2.7481862627369823e-23,9.0194077203637989e-53,4.1617598144785417e-62,5.4965296196345212e-29,2.2998475968199272e-86,9.8088121531614938e-88,1.1564131444013706e-88,2.4462239939942003e-42,8.0839786273225534e-44,1.2749984756553671e-86,8.3193600107652563e-93,1.5423885172706424e-92,1.4835729700099887e-98,1.5270082215013319e-41,2.0256070679836608e-99,6.1347903298109215e-37,1.0202965200036481e-33,1.2155285827318802e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.5174689096722103e-41,2.5930005252757755e-43,5.3994490611650229e-45,3.334154795467407e-46,4.1396163978059836e-44,3.5693005232511496e-48,3.818763356593411e-52,3.1984118607906937e-53,6.2119659731028694e-48,1.9321360544887584e-52,6.7026506741095983e-55,1.0373315831904955e-59,3.6031880045216713e-65,2.0852203665401137e-65,2.1130434616096453e-69,2.1129871034958295e-69,9.5578381840509346e-71,2.8255539588074361e-56,5.3967165291963567e-95,2.5350112160626246e-101,6.3682444587809432e-107,3.8132270524679446e-112,1.4002053368055129e-119,5.1327239557824648e-123,5.3634001250043101e-123,7.2209468752479906e-65,2.2952073641695876e-120,5.2767894111214705e-128,3.7015308476974451e-131,1.6723889651845244e-135,8.4247725139880148e-136
2.55e-13,0.0035033826432228055,3.9384798048619854e-19,3.9384774839682536e-19,3.8145927860916914e-19,3.8145918227436229e-19,3.3593955510315521e-25,1.6467497540829167e-20,7.3781173761042224e-25,4.9441540694724307e-25,7.828317483373306e-21,3.1265596342450053e-25,4.9252177760039383e-25,4.7702938662906052e-25,1.9341873766837365e-31,6.1865409582062029e-36,6.4978990699240418e-21,2.5952066911834905e-25,6.7801414741616847e-32,1.5747325346187598e-21,1.1230502741092076e-26,2.1686411346244453e-36,1.1844654383879262e-31,2.0149499257078187e-42,1.5247202946192537e-45,1.1634805668890219e-26,2.2861890124906675e-45,2.4699211927812514e-37,1.1712659096922107e-42,2.3939638329116638e-43,6.2112188008928602e-22,5.1854369228386672e-33,4.776102786985697e-32,1.2446605086353422e-26,5.477045986231864e-54,7.5561832695517963e-42,2.1483845645737658e-42,2.7079705525541886e-46,1.2230256611504021e-32,6.0408844528445058e-40,1.1392375829584013e-43,4.240168591097108e-32,1.3562312195055757e-36,3.3883551763132128e-52,4.3041811184180425e-33,2.2556270863066022e-43,1.0324597842612331e-56,4.0862707628705658e-44,4.2403845591065308e-32,1.3562981376226999e-36,2.4576543036251866e-37,4.6832865825774803e-41,7.7673633342760315e-28,6.3657555705095179e-51,4.1838204179800898e-51,5.482314539333915e-57,1.0479430617047819e-34,3.3518710698481682e-39,3.1143293391704067e-45,2.3516280128247748e-48,8.3660456699927939e-60,1.5194113253457749e-64,4.2870961491025713e-71,7.8176050695494575e-57,1.3213155763454994e-56,2.0974349696253742e-39,1.6481241148845981e-50,4.6572114576386296e-59,7.5604203566853704e-69,2.2871889030544009e-69,8.4639899053332056e-69,1.8826271702195152e-65,6.5855158923404925e-66,8.0313321579826138e-74,2.4928362696187363e-76,7.6410206738965905e-31,1.0028025577036127e-46,5.5111785402985499e-23,5.8055266117797479e-51,8.6173671848449181e-60,2.2081065883637763e-28,9.3629494809749186e-84,7.2179790717675144e-85,1.7021846725907915e-85,3.8131802787405774e-41,2.5220310791157727e-42,1.0590914083979949e-83,1.382191879112328e-89,2.5625515901726179e-89,1.391355460159204e-95,6.1343345465480796e-41,3.7997062557071209e-96,4.9328739874073503e-36,8.2038727071864242e-33,5.7407845204835953e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.0498184505044341e-40,2.476334684985025e-42,5.1590443910433107e-44,6.4088018382071466e-45,6.659801725318745e-43,2.8697908155910602e-47,6.1303621209300451e-51,5.1424326501698203e-52,4.9946093864398386e-47,3.1081644874154146e-51,1.0782172799715619e-53,3.3380263619943368e-58,2.3096895504203293e-63,1.3418584734480795e-63,2.7186946958156124e-67,2.7185497239741651e-67,1.2301743679841807e-68,4.5459789097245669e-55,1.1226416401463566e-91,1.0546836415347512e-97,5.2989440661670662e-103,6.3458926817153456e-108,4.6568991763382535e-115,3.4140919287441188e-118,3.5675939657899862e-118,2.3238701578925324e-63,7.6392761496298079e-116,3.5101510863010381e-123,4.9242259568511901e-126,4.4496137495573928e-130,2.2415313318130707e-130
