Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654),S(11179),S(11193),S(12065),S(11559),S(10226),S(11013),S(13044),S(13047),S(14368),S(13836),C5H8(9850),S(15615),CHO(330),S(16928),S(16826),S(456),S(18023),CHO3(881),S(10202),S(18746),S(18747)
0.0,0.0021700580275034274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0021700580275034274,2.6180653298234436e-22,2.6180653252354816e-22,2.5395173341697195e-22,2.5395173219407687e-22,7.2198676536781067e-31,2.9973879179423913e-23,4.4985974464008639e-30,3.0208996278049371e-30,1.4215927389468459e-23,5.3785302358905271e-30,3.0089701419190425e-30,2.9186941022594077e-30,5.2623056272117596e-39,1.9909689418779302e-45,1.1851159434894929e-23,4.4838312673549063e-30,1.9069602616001792e-39,2.9541069959932661e-24,1.8329130878202501e-31,7.2148957301012267e-46,2.9914437909148376e-39,3.4054569470685744e-54,1.5005725314682232e-59,5.1002345931831902e-32,3.533401340068888e-55,8.8427936277831435e-47,1.365329997894554e-54,9.6562042954855001e-55,9.7926121997717126e-25,7.4030835940979671e-40,3.4561439208184015e-39,5.3054906587861548e-32,4.1005012608209351e-70,6.6359975906110363e-50,5.9689481106682372e-54,2.7581944234316615e-56,6.18850380316425e-40,9.2340045773200478e-50,9.0839094710418133e-56,2.6329114946949165e-39,9.9614986643603533e-46,1.8958708982751204e-64,6.171607528227592e-40,7.6783418878596137e-55,7.1729398315015932e-71,2.7543403419835452e-55,2.631984397682422e-39,9.957990977625415e-46,8.4873097455059531e-47,2.0289335172127913e-50,1.1254752675365535e-32,3.7253215285216703e-65,1.7550230450693165e-67,2.7722442559338294e-75,5.4836718819005761e-42,2.0747218441165361e-48,9.7927624404558985e-57,4.3047333226421234e-62,1.0058762897019018e-77,9.9235402847737508e-81,1.0518185400281029e-89,1.1679055850530368e-72,1.4333975041161117e-74,4.2619933317266655e-49,1.2847853695210759e-60,5.6222429652670907e-71,1.9077744527926337e-82,1.6167937284641517e-84,9.8842183978039835e-86,3.1144865583177143e-84,1.4441139860692487e-82,6.9752690782198477e-91,1.6056776764370881e-95,8.4452050905165559e-36,6.3588351314260054e-59,2.6585911178496785e-26,1.7500906016824691e-65,3.3998022300489854e-78,2.5452904025728053e-33,2.40358385601046e-105,1.620699495151132e-108,2.6111659848560584e-111,1.6912086163094142e-50,7.1655377711984736e-54,-9.4306578263763141e-107,-1.4896735787793035e-114,-1.0419700906565826e-114,-2.6893665686171892e-120,4.7029029076236083e-47,1.1214960001455598e-90,6.2692910072439157e-43,4.1606382884096165e-40,2.897310709829384e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.203543644484049e-50,8.5738170255430484e-52,1.2860950946818967e-53,1.0354161892451789e-56,2.5980667084250144e-52,8.0017991335038362e-55,1.9642769670649948e-60,1.6629415731673499e-61,1.8287334829659107e-54,7.2751254007752205e-61,1.1949739615967879e-63,4.5211282942316206e-70,2.093335393523104e-77,9.5333693758469316e-78,2.340286519583209e-83,2.3402859095581126e-83,5.0344537620889468e-85,1.0910896429795305e-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2669541348626125e-75,0.0,0.0,0.0,0.0,0.0,4.6851481604252081e-96,9.7343206030027382e-107,7.140662878624847e-71,2.5081508856581883e-77,3.0905356557881192e-87,7.5392322167628283e-66,3.2000675064067834e-69,4.6246335970621687e-90,5.9024293482844546e-84,1.9403581595079454e-89,1.4436868106134526e-89
3.0000000000000002e-15,0.0021700580275034274,8.6022145628990215e-22,8.6022145327495493e-22,8.3441282784796816e-22,8.3441281981180165e-22,4.7444844310498085e-30,9.8485603644214756e-23,2.9562211546435364e-29,1.9851626026890629e-29,4.6709457907843005e-23,3.5344620789009506e-29,1.9773232244478203e-29,1.9179989690357206e-29,4.9616017611815308e-38,2.4460472739141736e-44,3.893950907852323e-23,2.9465171596222295e-29,1.7979908779995923e-38,9.7063514844647917e-24,1.204485738645276e-30,8.8640138080452569e-45,2.8205039506134165e-38,5.1568296991681861e-53,2.7010283065620564e-58,3.3515825766381575e-31,4.5485866808934436e-54,1.0767916222340103e-45,2.1476987137363342e-53,1.4517326175538394e-53,3.2175726165284623e-24,6.980049354684413e-39,3.2586493300950468e-38,3.4864651263989453e-31,8.5396617881930659e-69,6.2567967682168635e-49,9.0381910270710807e-53,3.3886339834691816e-55,5.8348749920472543e-39,1.1344632374964315e-48,1.3755632703075033e-54,2.4824587799878456e-38,1.2238410166816166e-44,2.8708864064531799e-63,5.8189435110318296e-39,1.1627200989142402e-53,1.2911277242192608e-69,4.1708575498348329e-54,2.481584669964108e-38,1.2234100744433937e-44,1.0427264245990583e-45,2.4925190929375391e-49,7.3959803628937552e-32,6.9194123807986745e-64,3.7611670180218695e-66,6.7332294866779136e-74,5.1703185939922564e-41,2.5489437270235356e-47,1.4829025702934843e-55,7.7485135786149805e-61,2.4283512047867053e-76,2.0697649736553852e-79,2.4943035002325467e-88,2.4318698593533873e-71,3.3942322006134305e-73,5.2361629579662008e-48,1.5784504114411646e-59,8.5043023126608452e-70,3.4271230455968221e-81,3.3404746578467995e-83,2.3165844000396896e-84,7.366652349923728e-83,3.0031393453594716e-81,1.6404548271602881e-89,4.2350232357063377e-94,5.5497062176844412e-35,9.6290922839871643e-58,8.7353487755125913e-26,3.1501628311923374e-64,8.2574439311183064e-77,1.6726193552132768e-32,7.0257995829938968e-104,5.1996897430199055e-107,9.1234505328402521e-110,2.0775657428005946e-49,1.0849803576220577e-52,3.9067701020191014e-105,5.7455414863259824e-113,4.018788009760251e-113,1.0417232661159775e-118,3.0904789995910075e-46,2.9174348094835256e-89,5.9110458520903626e-42,3.922887527126057e-39,2.7076107769604716e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.6214955871476839e-49,1.0459728897393464e-50,1.5928682743206486e-52,1.5782279478181181e-55,3.1919105454609574e-51,7.544548642871268e-54,2.4132415569737504e-59,2.0430388267474952e-60,1.7242340389392177e-53,8.9380092976181391e-60,1.4681099960480726e-62,6.8462765546186346e-69,3.7679699655484688e-76,1.7160044044544364e-76,4.8811614284615604e-82,4.8811599818332906e-82,1.0500421131234033e-83,1.3404813172482525e-63,2.6710440375766837e-115,3.069860024837597e-123,8.5640860223406005e-131,1.2934945577063778e-137,4.2711488210333315e-147,3.9134237884420722e-152,2.0286871641180892e-152,3.4328154099477657e-74,1.5984996155844889e-147,2.3695091171136459e-157,1.9990661079928214e-162,2.2435925065529858e-168,1.1332401001978707e-163,1.1110483971148746e-94,2.5865457814127773e-105,1.2853186029412261e-69,5.2312836206831698e-76,7.3289814596004342e-86,1.3569702205451896e-64,6.6740378036314238e-68,1.0709095336794219e-88,8.9379534960306704e-83,3.4897843374718252e-88,2.59713374059641e-88
7e-15,0.0021700580275034274,1.9074475176393371e-21,1.9074475012537557e-21,1.8502196809990548e-21,1.8502196373242408e-21,2.5785240515353052e-29,2.1838112515297686e-22,1.606641845510021e-28,1.0788926839527031e-28,1.0357303125409086e-22,1.9209010137096772e-28,1.0746321459272536e-28,1.0423907000148786e-28,8.0137284263146611e-37,1.2372431220931043e-42,8.6344033726881522e-23,1.6013661459286002e-28,2.9040243479757996e-37,2.1522778903716486e-23,6.5461179757846092e-30,4.4835361232628282e-43,4.5555383408070957e-37,8.5164269222447188e-51,1.5037643514785976e-55,1.8215117181266984e-30,2.5988060603808956e-52,5.3373793108298631e-44,4.0382614179545374e-51,2.3458541049030714e-51,7.1346177765310929e-24,1.1273824094929144e-37,5.2632027443187184e-37,1.8948174246894508e-30,1.5923184014796992e-65,1.0105660566720838e-47,1.4914289085135873e-50,1.7139887228353725e-53,9.4242066716629299e-38,5.7382621926818301e-47,2.2717516252892947e-52,4.0095377431875848e-37,6.1903435842301803e-43,4.7412019683493326e-61,9.3984646208756083e-38,1.9202371902511099e-51,7.188158216621509e-67,6.8881937575435695e-52,4.008126071352285e-37,6.188163947720501e-43,5.2742435304204461e-44,1.2597156662033887e-47,4.019554663056054e-31,4.353038518099566e-61,8.2062249876639697e-63,5.1856964451752099e-70,8.3508388956111997e-40,1.2892897681854494e-45,2.4489916548356138e-53,4.3138903389007374e-58,1.6309183530533914e-72,3.9799075321932066e-76,1.6874905922275961e-84,4.5195706003660889e-68,2.219128784672465e-69,2.6485225978697045e-46,7.9840111724280545e-58,1.3817779761436617e-67,1.8302411130713212e-78,5.3285733429781066e-80,1.2581509537532475e-80,4.6944146243936245e-79,5.440881181686914e-78,9.1963076877605411e-86,8.4682292816617269e-90,3.0161447377705393e-34,1.5902514173301679e-55,1.936954459262327e-25,1.7538381440480477e-61,6.3596124039224263e-73,9.0903207369124209e-32,5.0603569854512971e-99,1.358205743166161e-101,8.7530213816814359e-104,1.0496196079693175e-47,1.789717028769842e-50,5.5441463717472908e-100,3.5030352926428639e-107,2.4502410857558696e-107,5.3871690217916461e-113,1.6796079589320106e-45,4.5397781927203688e-85,9.5472343482278095e-41,6.3360575174339078e-38,4.0477730317334192e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.8550532964927445e-47,4.8920227587464433e-49,7.7168995441238867e-51,2.5008870751669987e-53,1.6145128378415708e-49,1.2185517680648054e-52,1.2205722996712505e-57,1.0333752127290504e-58,2.7848934773767913e-52,4.5209582255816077e-58,7.4258522936618776e-61,1.1306605564028729e-66,2.0974658572162879e-73,9.5535786389496925e-74,9.3857667878189225e-79,9.3857570004167073e-79,2.0191004510602234e-80,6.7803266963531582e-62,9.7551146907203096e-111,4.4846941767885396e-118,5.0044433831132556e-125,3.0234273799243787e-131,3.9932045036736998e-140,1.4635027855011147e-144,7.5866829055720987e-145,5.669306007857386e-72,1.494539885298676e-140,8.8614005699344675e-150,2.9903975273662084e-154,1.3424734358333124e-159,6.6071814323113159e-158,7.5171477113169158e-91,6.2475929861782438e-101,7.1558889010677852e-67,1.0059227324776031e-72,4.9587122437848549e-82,7.5457569422673951e-62,1.2818021882219242e-64,4.6797896612730491e-85,1.4760847808334297e-80,1.914856123492907e-85,1.4311302550390748e-85
1.5e-14,0.0021700580275034274,4.0018994606801887e-21,4.0018993881903876e-21,3.8818331823493911e-21,3.8818329891320448e-21,1.1407389700141449e-28,4.5817218036582233e-22,7.1077828898615878e-28,4.7730209773245249e-28,2.1729983122751656e-22,8.4980492550729487e-28,4.7541723102673838e-28,4.6115361333145174e-28,7.4529029394164571e-36,2.3795406525600238e-41,1.8115279515619395e-22,7.084430045708285e-28,2.7007922502812941e-36,4.5155632304746592e-23,2.8960024682685041e-29,8.6230087059210781e-42,4.2367319118230276e-36,3.3411249541407886e-49,1.1928179901360866e-53,8.0583637859045734e-30,5.1574628710448249e-51,1.0214289001693368e-42,1.6346852346313074e-49,9.157671528758869e-50,1.4968708809488136e-23,1.0484848669297411e-36,4.8948632053967091e-36,8.3826680332930191e-30,2.4369079753765461e-63,9.3984331873926915e-47,5.8441941933086269e-49,3.2963680215569744e-52,8.7646882874993954e-37,1.1036163047113132e-45,8.9125984067252989e-51,3.7289317323639614e-36,1.1905623861617809e-41,1.8600326665900973e-59,8.7407326587835168e-37,7.5335127022019969e-50,5.7017589114959353e-65,2.7023925807690013e-50,3.7276190674592851e-36,1.1901432217614446e-41,1.0143729414318161e-42,2.4197875727999468e-46,1.7782510696571745e-30,3.4967702973998143e-59,1.3259928447673217e-60,1.680809803649332e-67,7.7664236940771496e-39,2.4796406439057164e-44,9.6077717117236613e-52,3.4218705156144666e-56,4.4865031514407478e-70,6.350364635212856e-74,5.4007206768647741e-82,6.8871557705363634e-66,6.7844035887647949e-67,5.0938042705299149e-45,1.5355331746773944e-56,5.2965122771390801e-66,1.3704534997989923e-76,6.790895291206882e-78,3.1329540959851352e-78,1.389946553311001e-76,8.0288932023785178e-76,2.3524896848813708e-83,4.340734267748667e-87,1.3343424718565481e-33,6.2389215206200322e-54,4.0637506937003456e-25,1.3912085826269089e-59,2.0613132481374548e-70,4.0215565375492441e-31,5.178807890783877e-96,2.7633891051776923e-98,3.562630041224548e-100,2.015125255004009e-46,7.0093324232177894e-49,6.9976498911625288e-97,8.8463337387870625e-104,6.1876791405393188e-104,1.1362310059567581e-109,7.4305841929693432e-45,1.9488068861083822e-82,8.8791066938168808e-40,5.8926520684862913e-37,3.3677355709316914e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.4142707452614666e-46,8.4539488819909774e-48,1.3452419118102127e-49,8.9143640613322532e-52,3.1051348732292693e-48,1.1332655768501139e-51,2.347255632100637e-56,1.9873893454654566e-57,2.5899948032181349e-51,8.6949644403587066e-57,1.4281724581061492e-59,4.4358018728043106e-65,1.6634101787764236e-71,7.5780289065921725e-72,1.497572674512103e-76,1.4975695419227976e-76,3.2216812337398016e-78,1.3040317937087271e-60,8.8992637125420118e-107,8.1828634890261012e-114,1.826287281264582e-120,2.2067270334017078e-126,5.828803089403831e-135,4.2725053862466498e-139,2.2148342771346988e-139,2.2241915496828462e-70,2.1816722492475604e-135,2.5870283199710421e-144,1.746045386830223e-148,1.5676987680912683e-153,2.0256482307666278e-152,2.4060381578264405e-88,4.0054493026324103e-98,5.6762439665686615e-65,1.6050793605038135e-70,1.5871777158622448e-79,5.9753111789737627e-60,2.0418202963566283e-62,1.0021795650366399e-82,5.790883480332854e-79,1.4883159894829023e-83,1.1189027408589638e-83
3.1e-14,0.0021700580275034274,8.1908026281299522e-21,8.1908023259799409e-21,7.945059365242876e-21,7.9450585598796702e-21,4.7547974841930551e-28,9.3775433957200791e-22,2.9626467814772685e-27,1.9894777933342036e-27,4.4475204430747991e-22,3.5421207426311723e-27,1.9816213035379422e-27,1.9221680523529517e-27,6.2902134348589533e-35,4.0457485344386313e-40,3.7076916655280404e-22,2.9529021974047281e-27,2.2794562132692948e-35,9.2421333356909054e-23,1.2071040017513065e-28,1.4661038066160462e-40,3.5757879079152582e-35,1.1405392562501773e-47,8.1603143176855029e-52,3.3588626141368399e-29,8.9025528046345981e-50,1.7325736407624891e-41,5.6674783890910997e-48,3.1186897723398757e-48,3.0636893727113671e-23,8.8491634311803845e-36,4.1312332792172744e-35,3.4940380926410969e-29,3.0859757020244392e-61,7.9322280599549441e-46,1.9903269240531856e-47,5.6042950421344162e-51,7.397381557650766e-36,1.876390182029113e-44,3.042552925298339e-49,3.1471898249027937e-35,2.0242147033761335e-40,6.349386691882907e-58,7.3771381116027665e-36,2.5717553661077079e-48,3.9006342872016401e-63,9.2253199577712178e-49,3.146082296598354e-35,2.0235021531547382e-40,1.7246549500978339e-41,4.1042176585074922e-45,7.4120598666821926e-30,2.3441487610232401e-57,1.780075919028975e-58,4.5156448910536258e-65,6.5548272534145002e-38,4.2159432785476992e-43,3.2797470236088265e-50,2.3409731283012868e-54,9.2548267907168879e-68,8.6977544332637505e-72,1.4799211489977013e-79,8.655806101911433e-64,1.7065397292084356e-64,8.6606198942780266e-44,2.6107478859658301e-55,1.7291625231458896e-64,8.3988941759300322e-75,6.4775926179083657e-76,5.7035130380022664e-76,3.3132760566135384e-74,9.5615850031999178e-74,4.49275309755987e-81,1.65908139183237e-84,5.5617713874320755e-33,2.1298244301224334e-52,8.3171714544947725e-25,9.5179096240726403e-58,5.5379487315653603e-68,1.6762534733225824e-30,3.9389533210425567e-93,4.1507412547320464e-95,1.0703411092976069e-96,3.4142347441833703e-45,2.3846347978981944e-47,7.6965876124338736e-94,1.9460982356364679e-100,1.3612234814404778e-100,1.8812585788799425e-106,3.0971953308192687e-44,6.4347234894209334e-80,7.4939511073940373e-39,4.9733883425600346e-36,2.3513744172746397e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.2605908375043824e-44,1.1965553119276472e-46,1.9119018529637682e-48,2.5519340068839347e-50,5.2794414335431529e-47,9.5645703211872323e-51,3.9901084941976285e-55,3.3788016128338339e-56,2.1859375401978782e-50,1.4783322651021974e-55,2.4281696785647025e-58,1.5142542759787855e-63,1.1375039110160314e-69,5.184185786987282e-70,2.0510741087247556e-74,2.0510655236990383e-74,4.412543239402017e-76,2.2171389374354274e-59,2.2894328306003109e-103,4.2108486854466147e-110,1.879719691503499e-116,4.5427386587729919e-122,2.3995939677946854e-130,3.5178255839388728e-134,1.8236160095868903e-134,7.5928286690531769e-69,8.9824790583353749e-131,2.1301606696103203e-139,2.8753631494902884e-143,5.1633388231860351e-148,7.8530187652884208e-148,6.5942806474082388e-86,2.1961364345160045e-95,3.883290836417925e-63,2.1984541918328103e-68,4.3501571545638115e-77,4.0740749246264907e-58,2.7872388892348421e-60,1.6533782362539459e-80,1.9767867292209181e-77,9.7889757669678463e-82,7.4416964012695186e-82
6.300000000000001e-14,0.0021700580275034274,1.6568606088502734e-20,1.6568604857225592e-20,1.6071508451802288e-20,1.6071505169905508e-20,1.9376052944458584e-27,1.896918853100034e-21,1.2072942100278525e-26,8.1072282004532203e-27,8.9965092307498437e-22,1.4434222788981861e-26,8.0752122686784875e-27,7.8329369120892337e-27,5.1481560301092175e-34,6.6374655517034722e-39,7.4999730355877771e-22,1.2033145410902117e-26,1.8655972383596276e-34,1.8695271246160587e-22,4.9190134465979148e-28,2.4052952616263246e-39,2.926575738870437e-34,3.7464830297833412e-46,5.3642958158789071e-50,1.3687520479415826e-28,1.4716289479815934e-48,2.8391447576895199e-40,1.8763461573309288e-46,1.0232846608038972e-46,6.1973274968444657e-23,7.2425049427182853e-35,3.3811507065461167e-34,1.4238366572176347e-28,3.5263609730449023e-59,6.4920394056129378e-45,6.5074583993895989e-46,9.1935562013676498e-50,6.0543508941994063e-35,3.0784005146330039e-43,9.9950325287001117e-48,2.5757662233390498e-34,3.3209114495809911e-39,2.0856080436663814e-56,6.0377420321038955e-35,8.4483593933078071e-47,2.5640614391109674e-61,3.0305810097292038e-47,2.5748603575873535e-34,3.3197428392254236e-39,2.8294578652665489e-40,6.7009926521065984e-44,3.0204551648369675e-29,1.4507529957011037e-55,2.2046993638971445e-56,1.1188966022982826e-62,5.3647325749563175e-37,6.9166956403416378e-42,1.0773434637612745e-48,1.5388722235295876e-52,1.5657807053367673e-65,1.1438336062072365e-69,3.8916224211850964e-77,9.7726286480905302e-62,3.8552007238741062e-62,1.4208698756496466e-42,4.2831992670454206e-54,5.2241963968651214e-63,4.5071357094701327e-73,5.0059402694437842e-74,8.0815746682739715e-74,6.9145217959679182e-72,9.9711524856780891e-72,6.9491207275135015e-79,5.1354977846658592e-82,2.2664522655394245e-32,6.9966609674863191e-51,1.682332620659027e-24,6.2572086374522016e-56,1.3722288890896656e-65,6.8308148340321596e-30,2.4134666946528592e-90,4.960808092615433e-92,2.5586807334300596e-93,5.5627274629786569e-44,7.7805128023794257e-46,7.7162035135714979e-91,3.9022883511122126e-97,2.7295072655733382e-97,2.5281821194353421e-103,1.262122955895956e-43,1.8856092624105646e-77,6.1333887765522041e-38,4.0704459824972205e-35,1.4267244073283327e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.0681281113757601e-43,1.4687705867832697e-45,2.3516430934226346e-47,6.3136675283326847e-49,8.6615350640479868e-46,7.8277965221654097e-50,6.5437321253354926e-54,5.5426076565503187e-55,1.7890478315593827e-49,2.4253388993432661e-54,3.9835264143914028e-57,4.9742846215081947e-62,7.4713797242432173e-68,3.4077646634809241e-68,2.6971618925266692e-72,2.6971393118871256e-72,5.8028394228881035e-74,3.6374267492752384e-58,5.0847825117587939e-100,1.8704981680112854e-106,1.6699988718485786e-112,8.0718703379626282e-118,8.5256836322769246e-126,2.4997445795033662e-129,1.2958528267944667e-129,2.4942782501173286e-67,3.1921574544607954e-126,1.5138145424695597e-134,4.0866894820368856e-138,1.4677076234989147e-142,8.5752448191683576e-143,1.7346649688820248e-83,1.1554933379978886e-92,2.5528084636314995e-61,2.8913332925751635e-66,1.1444115382622948e-74,2.6602507063376375e-56,3.6411769162446761e-58,2.4215684079319569e-78,6.4933943446291274e-76,5.9739175420469231e-80,4.6341288092335546e-80
1.2700000000000001e-13,0.0021700580275034274,3.332420151114945e-20,3.3324196542394132e-20,3.2324393508020576e-20,3.2324380264099557e-20,7.8191092745254279e-27,3.8152486605681389e-21,4.8719743667879429e-26,3.2716316024007421e-26,1.8094264916413331e-21,5.8247714439765542e-26,3.2587114771805164e-26,3.1609423136325343e-26,4.1621047736351235e-33,1.074188243791849e-37,1.5084351549082267e-21,4.8558444572624834e-26,1.5082725644525056e-33,3.7601537867219037e-22,1.9850435691085803e-27,3.8926653558059616e-38,2.3660530004147119e-33,1.2130040477864331e-44,3.4744125377900899e-48,5.5235114640075005e-28,2.3906657218546711e-47,4.5920765205546831e-39,6.0997580209572722e-45,3.3115969132759138e-45,1.2464608306930019e-22,5.8553200420713829e-34,2.7335235453179784e-33,5.7458016982999253e-28,3.6190216760936006e-57,5.2485788881269035e-44,2.0874978064290832e-44,1.4875788156079757e-48,4.8948049360625723e-34,4.9819617816977381e-42,3.236590477595354e-46,2.0823902744635961e-33,5.3744009516979625e-38,6.7522101462016635e-55,4.8813112523497706e-34,2.7357048008013892e-45,1.6606259561476956e-59,9.8135517609710117e-46,2.0816588486613717e-33,5.3725110052562822e-38,4.5790626086968414e-39,1.074133470132834e-42,1.2188906256858753e-28,8.3342906560530933e-54,2.5347037129549031e-54,2.5734695812766852e-60,4.337209503795184e-36,1.1193806713988219e-40,3.488134853365961e-47,9.9671690795599346e-51,2.2029109085472856e-63,1.4817899946899739e-67,1.0076033113625256e-74,9.8666626474383452e-60,7.7886851241867029e-60,2.2995152185174179e-41,6.9318043502798538e-53,1.4572560280662159e-61,2.052942366832394e-71,3.1690451341803978e-72,8.7721909437179501e-72,1.2676124979668646e-69,9.1338003429481877e-70,8.8020608554044454e-77,1.3019018721052843e-79,9.1461613010810796e-32,2.2656680526858429e-49,3.3832889135380537e-24,4.0533652764710331e-54,3.1562438722363917e-63,2.7565352558144207e-29,1.1987744506117896e-87,4.6955436595706487e-89,4.8442582736649439e-90,8.8799283071315145e-43,2.485719508843873e-44,7.1398246026212344e-88,7.2218963317295993e-94,5.0514535603625144e-94,2.8313451245628278e-100,5.0932289605602945e-43,5.1812130207177914e-75,4.9587068895511885e-37,3.2908638055464802e-34,7.5664452797149809e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.3469971841776735e-42,1.5771774587301806e-44,2.5277621933256492e-46,1.3655776700017845e-47,1.4017803708606499e-44,6.3281443436274873e-49,1.0582267462347307e-52,8.9678519537708384e-54,1.4463687510306546e-48,3.9250438522847832e-53,6.4463875784207058e-56,1.6106668486718227e-60,4.8311962984390977e-66,2.2070121655142928e-66,3.4935806990995051e-70,3.4935222066191037e-70,7.5172006587482463e-72,5.8866510987051152e-57,1.0780391956243982e-96,7.93147056297319e-103,1.4162581788409141e-108,1.3690886913769681e-113,2.8908394998076279e-121,1.6951915806711832e-124,8.7878115622233211e-125,8.0767923587728439e-66,1.0828599388469015e-121,1.026771346570775e-129,5.5434390246071906e-133,3.981775949874106e-137,2.0564638132036482e-137,4.4945527760734695e-81,5.987894020851944e-90,1.6535316845683518e-59,3.7460422299665089e-64,2.9655954678751821e-72,1.7003009618141582e-54,4.6553036266465434e-56,3.3261946106180493e-76,2.1024141265463465e-74,3.3841411145589663e-78,2.715264143956019e-78
