Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796)
0.0,0.0019867201773460237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0019867201773460237,3.0275839427995062e-21,3.0275839299437726e-21,2.9306661151628477e-21,2.9306661034005368e-21,1.9583096286205904e-29,1.8296029482672026e-22,5.9390647683002012e-29,3.9770991913530493e-29,8.6944220745241635e-23,3.5930541114886595e-29,3.9618702490784991e-29,3.8350444227548487e-29,1.2539256032824235e-37,5.1819689693369373e-44,7.2044715619252695e-23,2.977317678413177e-29,4.3402212808825795e-38,1.7291722240771442e-23,1.3187320249340817e-30,1.7936384582465049e-44,7.8997038252610328e-38,1.4700986643844061e-52,9.5126482345058099e-58,9.7310409364934836e-31,1.8515420722889515e-53,2.1956528487415304e-45,7.1877072051387312e-53,2.9330006548917735e-53,7.1589824905596318e-24,8.0348995906618508e-39,4.5204457467061295e-38,1.0277341516263685e-30,9.3368635451210188e-68,8.7388666462826546e-48,2.9140764957239559e-52,4.0837271648995976e-54,1.3274342816316426e-38,6.7257501028046551e-48,1.1066010419642875e-53,4.2568927075739917e-38,1.7592021585990496e-44,4.3722305653984235e-62,6.6579705882882592e-39,2.6709901564760574e-53,1.806866710243151e-68,7.9102377840738774e-54,4.2577689496371157e-38,1.759564248242591e-44,2.007818383911978e-45,7.9017296714268605e-49,9.3681828130015223e-32,7.0447094427448438e-63,3.6905839156246819e-65,6.7371132989665505e-73,1.1039756236502345e-40,4.5622862047340494e-47,3.7393327023414552e-55,2.4147802471912391e-60,5.7948231323904838e-75,4.0632240373534062e-78,1.1818583058997386e-86,2.3481010363297758e-70,3.1639589095083693e-72,1.9672133862745434e-47,2.747139557432724e-58,2.1537125460730602e-68,1.2929128181208092e-79,1.4266631144466188e-81,9.0298399904342941e-83,6.9113476440940683e-81,3.0798501010499533e-79,6.9271098638515816e-88,1.7024471388605747e-92,1.0418752708819578e-34,9.9675248728870972e-57,4.7941165741939525e-25,5.3516395088372997e-63,1.1619799939396008e-75,2.8156720223999226e-32,7.293232729420132e-102,5.6323683231053865e-105,1.0912235691268324e-107,6.5465491499369265e-49,3.484195209949111e-52,-2.1986216947435484e-103,-4.0135625663828668e-111,-5.0924611764757673e-111,-2.8478758646556705e-116,6.9213364813088433e-45,-6.5107822496214166e-119,7.9964604159123272e-42,8.8974535521713676e-39,3.4622730255881327e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.5057062064831571e-48,1.0577843530332968e-49,2.2794357397293076e-51,2.2067764668229951e-54,1.1007137616514829e-50,6.6561603862943472e-53
3.0000000000000002e-15,0.0019867201773460237,9.9477757012757145e-21,9.9477756167951797e-21,9.6293313702489579e-21,9.6293312929537758e-21,1.2868891756530719e-28,6.0115526702775353e-22,3.9028139512307636e-28,2.6135223111853526e-28,2.8567374873858765e-22,2.3611493174448717e-28,2.6035147151280507e-28,2.5201720270512257e-28,1.1822725256926059e-36,6.3664181078987329e-43,2.3671825282812611e-22,1.956522623064109e-28,4.0922080662727268e-37,5.6815669946568516e-23,8.6659540311119047e-30,2.2036126747581458e-43,7.4482914946376454e-37,2.2261462589917361e-51,1.7122746457882326e-56,6.3946837962249497e-30,2.3831108025165489e-52,2.6474739635180172e-44,1.1304893640413375e-51,4.374553278033347e-52,2.352237133935679e-23,7.5757612925704942e-38,4.2621334996141563e-37,6.7536813026249209e-30,1.9442425134286649e-66,8.2395015658184496e-47,4.4124378424214591e-51,5.0171387719352149e-53,1.2515808939538516e-37,8.2630623228424642e-47,1.6757098260792139e-52,4.0136404944576528e-37,2.1613049724408688e-43,6.6207922783285594e-61,6.2775141811522918e-38,4.0446411791114504e-52,3.2523542671741799e-67,1.1978357669612273e-52,4.01446669336952e-37,2.1617498295275579e-43,2.4667477402666615e-44,9.707006951826417e-48,6.1562344473876353e-31,1.3082271553133711e-61,7.9078032563940359e-64,1.6360478883516792e-71,1.0408911634351241e-39,5.6050937932971734e-46,5.6624101390694557e-54,4.3465993089699701e-59,1.3985315701346939e-73,8.4747113493790914e-77,2.8026804532887305e-85,4.8885431878204254e-69,7.4910769474046725e-71,2.4168619897960577e-46,3.3750567733069605e-57,3.257372477701261e-67,2.3218385661191025e-78,2.9461653433454764e-80,2.1142864875909887e-81,1.6345511136587645e-79,6.4039661735398798e-78,1.6284092002999622e-86,4.4884874042567616e-91,6.8466089853582223e-34,1.509367812894844e-55,1.5752055194283426e-24,9.6329498311667855e-62,2.8217653914238241e-74,1.8502988019605763e-31,2.1310715770580373e-100,1.8063792028966324e-103,3.8114845878695562e-106,8.0419073574045172e-48,5.2755370042508993e-51,9.1089277874233182e-102,1.5481527125686258e-109,1.9643165533699841e-109,1.1034314130669925e-114,4.5483067706148955e-44,2.3366303214396241e-117,7.5395205001649288e-41,8.3890276921997024e-38,3.2344889895209017e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.5355807577696316e-47,1.2900034587185699e-48,2.8213712958678873e-50,3.3619448520528682e-53,1.3523055713425248e-49,6.2758084727490011e-52
7e-15,0.0019867201773460237,2.2058110624767408e-20,2.2058110165634108e-20,2.1351994675419096e-20,2.1351994255336613e-20,6.9939625975028353e-28,1.3329965427294485e-21,2.1210943994918609e-27,1.4203925089317548e-27,6.3344971786538566e-22,1.2832314600787844e-27,1.4149535788640193e-27,1.3696586318867438e-27,1.9095465078875667e-35,3.220217577489722e-41,5.248963616264761e-22,1.0633260174719228e-27,6.6095276199846705e-36,1.2598264427316044e-22,4.7097601874675274e-29,1.1146162887908652e-41,1.2030109174258787e-35,3.6764239099264291e-49,9.5328180539574845e-54,3.4753707521883576e-29,1.3608856982960012e-50,1.2822691266531198e-42,2.1244943442064816e-49,6.8952770768069128e-50,5.2158303589163201e-23,1.2235984871144822e-36,6.8839756633901394e-36,3.6704780309143477e-29,3.616143001480865e-63,1.3308024605466472e-45,7.279628502523343e-49,2.5376674823039665e-51,2.0214926353565579e-36,4.1795592528248536e-45,2.7674423930268927e-50,6.4826197415449079e-36,1.0932149539003046e-41,1.0933955374065844e-58,1.0139122543293261e-36,6.6797369669901165e-50,1.8106773779124322e-64,1.9782311392943349e-50,6.4839545898943599e-36,1.0934399936939144e-41,1.247712026541089e-42,4.9048913655768172e-46,3.3457796879248558e-30,8.2135311742687339e-59,1.7217474995921679e-60,1.2573680778345461e-67,1.6811948838775393e-38,2.8351304808614214e-44,9.351327562416147e-52,2.4199006966382177e-56,9.3437886657654025e-70,1.6295647948889884e-73,1.8960877931874802e-81,9.0559371716532403e-66,4.8817338106334277e-67,1.2224814828843176e-44,1.7071483976493607e-55,5.2837738403938143e-65,1.2286590759677961e-75,4.6466718281797104e-77,1.1223312097450037e-77,1.0390595809687444e-75,1.1573891982029707e-74,9.0252467713316507e-83,8.8728391099538573e-87,3.720983364799555e-33,2.4927292790435668e-53,3.4928199178330506e-24,5.3630937797517537e-59,2.1686504417597598e-70,1.0055973319414362e-30,1.5169421854324957e-95,4.6586264656850623e-98,3.6102811992465781e-100,4.0616722009441821e-46,8.6995453064165616e-49,1.2896061552668273e-96,9.4166692532736379e-104,1.1948004561236353e-103,5.6567039421118011e-109,2.4719056400390286e-43,5.1729198889363427e-111,1.2177474170518632e-39,1.3549550194422914e-36,4.8219396755888186e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.7999666944153588e-45,6.0149711155770694e-47,1.3617407393294026e-48,5.3069550641551866e-51,6.8401537864387071e-48,1.0136383117868263e-50
1.5e-14,0.0019867201773460237,4.6278778313953098e-20,4.6278776282747652e-20,4.479731834453476e-20,4.4797316486090237e-20,3.0941288226284848e-27,2.796679339498781e-21,9.3837206002135641e-27,6.2838160810742184e-27,1.3289993299564533e-21,5.6770022762526838e-27,6.2597541135951128e-27,6.0593692108077081e-27,1.7759100611408898e-34,6.1933137657209127e-40,1.101250660777653e-21,4.7041433140391437e-27,6.146972379295329e-35,2.6431681021505257e-22,2.0835997896606806e-28,2.1436967463517565e-40,1.1188212472745404e-34,1.4423042544339929e-47,7.5615661098846434e-52,1.5375033768501732e-28,2.7003706184074246e-49,2.439640879233614e-41,8.5987447834444236e-48,2.6760928933404305e-48,1.0943017391151768e-22,1.137967002334421e-35,6.4022035892576886e-35,1.6238187916085175e-28,5.5160425247418747e-61,1.2376685086157061e-44,2.8516762286121462e-47,4.8803998627169995e-50,1.880025883091578e-35,8.0383600268891147e-44,1.0857287785334646e-48,6.0289320341548004e-35,2.1025319720159066e-40,4.2894537056828584e-57,9.4295537680617864e-36,2.6206047456744976e-48,1.4362330212832182e-62,7.7610372766166778e-49,6.0301740692360479e-35,2.1029648547356339e-40,2.3996702793475538e-41,9.4188854070932285e-45,1.4801730051877462e-29,6.583706565966349e-57,2.7761001222267862e-58,4.0667113410170111e-65,1.5635397842529022e-37,5.4526934089638557e-43,3.668636299238489e-50,1.9194998359687783e-54,2.556678764690676e-67,2.6000994814841504e-71,6.0681842390145982e-79,1.3742359043284924e-63,1.4862578299815721e-64,2.3511520918999829e-43,3.2832907303607986e-54,2.020632383001867e-63,9.0884754146615226e-74,5.8616791687878309e-75,2.7254556366614322e-75,3.0673366163176534e-73,1.7028073042218518e-72,2.2852808422602443e-80,4.5020249861518586e-84,1.6461632027029491e-32,9.7795359524946991e-52,7.3279666740668238e-24,4.2541964060675645e-57,7.0141262874810206e-68,4.4487637500328326e-30,1.5361268068339038e-92,9.3667359571771271e-95,1.4521415163141397e-96,7.7943284139624867e-45,3.4056246853778032e-47,1.6242244860233506e-93,2.372946312467507e-100,3.0108306668445251e-100,1.1837503691076575e-105,1.0935708982942235e-42,2.1655388750769716e-107,1.1325288857024778e-38,1.2601335157202525e-35,3.9970805100221829e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.3850551789868637e-44,1.0356943037609901e-45,2.3648480784003753e-47,1.8846425126923339e-49,1.3155434401643755e-46,9.4270287474383838e-50
3.1e-14,0.0019867201773460237,9.472010506113532e-20,9.4720096594720623e-20,9.1687953917870553e-20,9.1687946171554152e-20,1.2896864190954278e-26,5.7240459144836831e-21,3.9112968126016338e-26,2.6192033203968082e-26,2.7200892495652879e-21,2.3662619361536154e-26,2.6091737598743571e-26,2.5256498070058369e-26,1.498858564565191e-33,1.0530001095938071e-38,2.2539515853585401e-21,1.9607596447519602e-26,5.188014352635464e-34,5.4098601125224993e-22,8.6848209726564597e-28,3.6447594758868456e-39,9.4428087910380883e-34,4.9234153554512885e-46,5.1729299519053071e-50,6.4085757367972247e-28,4.6609197787169777e-48,4.1266780284795122e-40,2.9809863464390548e-46,9.0876187854583355e-47,2.2397393784615496e-22,9.6043808981236715e-35,5.4034114753768296e-34,6.7683530002536463e-28,6.9448692082964807e-59,1.0445856686249078e-43,9.7060073743271358e-46,8.2971088339494878e-49,1.5867384895209254e-34,1.3666931245180215e-42,3.7064120728997388e-47,5.0883658822590887e-34,3.574755292201937e-39,1.4641933715413748e-55,7.958494299153888e-35,8.9460781311892902e-47,9.825090651115363e-61,2.6494277009754657e-47,5.0894151543999991e-34,3.5754915331875568e-39,4.0799572369227004e-40,1.5965687468161085e-43,6.1696186219951069e-29,4.3965455581321527e-55,3.7124503324274371e-56,1.0883627016019316e-62,1.3196200809143339e-36,9.2707897467491627e-42,1.2523174193078569e-48,1.3131462366321293e-52,5.2318927161158724e-65,3.5610967512350704e-69,1.6627446562828065e-76,1.714628047091046e-61,3.7114753574952278e-62,3.9974881017374583e-42,5.5823243702035892e-53,6.5684845694683195e-62,5.4494115536220973e-72,5.5340609502337181e-73,4.7793546983118375e-73,7.2768815938307036e-71,2.0181763716535358e-70,4.3195389952912766e-78,1.703054385398115e-81,6.8614953212390842e-32,3.3384996888464082e-50,1.4997932041696908e-23,2.9104871461060834e-55,1.8771980627579326e-65,1.8543229007335481e-29,1.1554728320871995e-89,1.3879138490483688e-91,4.3037966392258478e-93,1.3194234668228813e-43,1.1576109790242126e-45,1.7796082753556407e-90,5.2002243017714693e-97,6.5981312305882382e-97,1.9390966882795227e-102,4.5581920684842593e-42,7.0951917230772154e-104,9.5585411369067461e-38,1.0635505322391662e-34,2.7757086288416651e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,9.1557590815473145e-43,1.4580985687229334e-44,3.3428305380761257e-46,5.3665034548694578e-48,2.2367292446834194e-45,7.9564008159786965e-49
6.300000000000001e-14,0.0019867201773460237,1.9160272403075597e-19,1.9160268952967519e-19,1.8546917800498257e-19,1.8546914643834793e-19,5.2555405726179519e-26,1.1578782990098197e-20,1.593873985264958e-25,1.0673393066455645e-25,5.5022318711042592e-21,9.6425550673138365e-26,1.0632521131637189e-25,1.0292156114764173e-25,1.2267230158082034e-32,1.727551353265079e-37,4.5593227401194527e-21,7.9901292046760069e-26,4.2460731282466213e-33,1.0943278899289402e-21,3.5391240983009929e-27,5.9795954889181961e-38,7.7283834081174795e-33,1.617201612937264e-44,3.4003742072869691e-48,2.6115251069548256e-27,7.7044126212187831e-47,6.7529769047277962e-39,9.8688559424032805e-45,2.9775235112345846e-45,4.5306155886683536e-22,7.8605923663736338e-34,4.4223351676462134e-33,2.7581359928939259e-27,7.862838922775026e-57,8.5492889557741499e-43,3.1696650052425869e-44,1.3610107113878533e-47,1.2986582850738206e-33,2.2421775994198993e-41,1.2175782243776835e-45,4.1644793851454438e-33,5.8646976009478342e-38,4.809167164206958e-54,6.5135377282879295e-34,2.9388233502253889e-45,6.4580339917797759e-59,8.7035242833298381e-46,4.1653397839896275e-33,5.8659062793504818e-38,6.6935355553918716e-39,2.6035821613282718e-42,2.5141535175206858e-28,2.7024152283716185e-53,4.5668260907140821e-54,2.6784752498151897e-60,1.0800288588335411e-35,1.5209674457555377e-40,4.113509020366977e-47,8.6318433234284684e-51,8.7534245282734598e-63,4.6828490033005038e-67,4.3719741140553211e-74,1.9139766721158178e-59,8.2899024496921687e-60,6.5583104478412672e-41,9.1583746588832844e-52,1.9696035946433682e-60,2.8206508409559775e-70,4.2548450912679618e-71,6.4353852571393087e-71,1.5086899736034116e-68,2.0908322371920441e-68,6.6459433219731054e-76,5.2437376768431985e-79,2.7960976256089983e-31,1.0967205711194276e-48,3.0336550337313148e-23,1.9133850997925441e-53,4.6199418717409542e-63,7.5564740107294501e-29,7.031619381121311e-87,1.6395652751780588e-88,1.0169163301621523e-89,2.145936352589412e-42,3.7705042558275597e-44,1.7720667551801872e-87,1.0356846801712549e-93,1.314095451721934e-93,2.5724586934781557e-99,1.857486949394042e-41,1.882670019740058e-100,7.8231694800868515e-37,8.7045783768881298e-34,1.6729171046452412e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.502085451932981e-41,1.7778618477646426e-43,4.0840592174263293e-45,1.3189052850957178e-46,3.6696254178885141e-44,6.5118857607947487e-48
1.2700000000000001e-13,0.0019867201773460237,3.8536782387112503e-19,3.853676846438188e-19,3.730314379411492e-19,3.7303131055571241e-19,2.1208469061737297e-25,2.3288272842784366e-20,6.4319963953529826e-25,4.3071944484795613e-25,1.1066368248383302e-20,3.8911336465444959e-25,4.2907000241786008e-25,4.1533470516710474e-25,9.9176071856845498e-32,2.795808311536364e-36,9.1699422759177659e-21,3.2243196206448984e-25,3.4328018866448625e-32,2.2010255536006444e-21,1.428206562140779e-26,9.6771839211258936e-37,6.2481616246080257e-32,5.2356544479691603e-43,2.2022364978598762e-46,1.0538649688224444e-26,1.2515575446254299e-45,1.0914786310678434e-37,3.2081672611045985e-43,9.629085519737228e-44,9.1123717344736821e-22,6.3550027800072639e-33,3.5752593746247187e-32,1.1130288451852095e-26,7.9681180262433241e-55,6.9117900076806016e-42,1.0144151689952167e-42,2.2019246537248015e-46,1.0499355107471726e-32,3.628602015065491e-40,3.9427080009613056e-44,3.3667755067387131e-32,9.4910784568049001e-37,1.5567690990941886e-52,5.265961137097607e-33,9.5162638107375412e-44,4.1820082110902482e-57,2.8183354996892543e-44,3.3674737492564784e-32,9.4930371340264106e-37,1.0832453396167867e-37,4.1634831734987813e-41,1.0145749470269353e-27,1.5352710705155206e-51,5.1923996003336818e-52,6.0924483349872946e-58,8.7316620480696777e-35,2.46148740664676e-39,1.3317415458060825e-45,5.5903818197374152e-49,1.213526645584277e-60,6.0656217730459104e-65,1.1317651594374608e-71,1.9035242309129077e-57,1.6498335618896984e-57,1.061384834005196e-39,1.4821645136430392e-50,5.4293571389011556e-59,1.219766380022741e-68,2.7070907484027231e-69,6.5580186606473238e-69,2.7456450491346234e-66,1.9012588338239811e-66,8.4575036057563721e-74,1.3355257359596805e-76,1.1283526214016257e-30,3.5513762703354106e-47,6.1008538287378919e-23,1.2394607539078009e-51,1.050910144353361e-60,3.0493849184179736e-28,3.4985175796783062e-84,1.5407263674249396e-85,1.9114339393785929e-86,3.4138879173484909e-41,1.2005432127395447e-42,1.6216281495853382e-84,1.8956048929269223e-90,2.4051804164225028e-90,2.8399516466851306e-96,7.4957909314146805e-41,4.1571889038060277e-97,6.3248998608529871e-36,7.0374549488566503e-33,8.8139199177320258e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.4308968696784517e-40,1.8961370595890838e-42,4.3600640457347585e-44,2.833383446187142e-45,5.9389503779140887e-43,5.264724843742385e-47
2.55e-13,0.0019867201773460237,7.7289747115719776e-19,7.728969118506444e-19,7.4815520486270094e-19,7.4815469312805549e-19,8.5199141669559277e-25,4.6707315345015428e-20,2.5838747528967846e-24,1.7302962814894252e-24,2.21940455790704e-20,1.5630981029550631e-24,1.7236694927044503e-24,1.6684914360932196e-24,7.9741470001502196e-31,4.4976292555211777e-35,1.8390690283657776e-20,1.2952353912653307e-24,2.7601191946959891e-31,4.4144765054904846e-21,5.7375110450723121e-26,1.5567783550477073e-35,5.023842337681075e-31,1.6841076511074751e-41,1.4168956844878237e-44,4.2335875077151261e-26,2.0171834708874092e-44,1.7547143777638795e-36,1.0344149694242459e-41,3.0965922827484273e-42,1.8275898922335394e-21,5.1096745556976053e-32,2.8745899977545136e-31,4.4712603023182229e-26,7.1415299482869653e-53,5.5573555657778441e-41,3.1899226116975979e-41,3.540037325978819e-45,8.4421807597796174e-32,5.837157420452972e-39,1.2687477426845862e-42,2.7069335927111542e-31,1.5267884099088506e-35,5.0063152363847644e-51,4.2340466511520115e-32,3.062228824253716e-42,2.6900075689356999e-55,9.0692832633950615e-43,2.7074992542331405e-31,1.5271043378541983e-35,1.7425800986747273e-36,6.5422755122229093e-40,4.0757812049432663e-27,7.9011523942169379e-50,5.3493626953784666e-50,1.2557554647569082e-55,7.0206381600746047e-34,3.9598289589566019e-38,4.2837112720617854e-44,3.596803821517888e-47,1.4040136870087217e-58,7.8036331065667339e-63,2.9076123268532713e-69,1.6721362859029802e-55,2.9005012532252379e-55,1.7074897339415065e-38,2.3843820629764406e-49,1.3458118315012389e-57,4.2221170290243285e-67,1.4432998721362962e-67,4.9989326729620541e-67,4.4302587009051363e-64,1.5328164503188328e-64,9.0090866566638144e-72,2.8474363357254585e-74,4.5328558768645958e-30,1.1428343094117305e-45,1.2233152855830666e-22,7.9779798199584439e-50,2.1663495214017251e-58,1.2250121707733223e-27,1.4252816293804804e-81,1.1295422142107095e-82,2.8030534405975909e-83,5.3112820496123753e-40,3.7383110710062591e-41,1.3410378531668715e-81,3.1353972363171536e-87,3.9782578629666733e-87,2.6530676539460433e-93,3.0112228586155922e-40,7.7678869509697434e-94,5.0857152158322643e-35,5.6585864716748222e-32,4.156980591026763e-42,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.9105130092772736e-39,1.8079298156937357e-41,4.1592645749269846e-43,5.4374937304343492e-44,9.5545233866471762e-42,4.2332122279175977e-46
5.11e-13,0.0019867201773460237,1.5479545561572705e-18,1.5479523141912568e-18,1.4983997269142606e-18,1.498397675643247e-18,3.4151922861586246e-24,9.3545651465214809e-20,1.0357404389314859e-23,6.9358646377030891e-24,4.4447018859515655e-20,6.2651945010087355e-24,6.9092963730166647e-24,6.6881136410343488e-24,6.3947566602063283e-30,7.2148846403387538e-34,3.6830222291979391e-20,5.1915624289090798e-24,2.2134572951582846e-30,8.8416009016411222e-21,2.2999410071544765e-25,2.4973279542902177e-34,4.0289196755990812e-30,5.3988186571895133e-40,9.0849040946258779e-43,1.697007762749607e-25,3.2389224838978328e-43,2.8138163098352928e-35,3.322266017368365e-40,9.9320766407585193e-41,3.6603012840542818e-21,4.0976357131866962e-31,2.3051422931216045e-30,1.7922771384333474e-25,5.6972883742064854e-51,4.4566513447074846e-40,9.7881651613106501e-40,5.6716888305018155e-44,6.7705477444149827e-31,9.3630806190307472e-38,4.0706850856689127e-41,2.1706490128977128e-30,2.449055647344536e-34,1.6041228132513602e-49,3.3954452562964422e-31,9.8245090871395323e-41,1.7239539673292296e-53,2.9098084544909581e-41,2.171109447919317e-30,2.449565121365381e-34,2.7952316652096576e-35,1.0028553954572221e-38,1.6337758060198151e-26,3.6132959368231707e-48,4.8986498648214507e-48,2.3007815668932546e-53,5.6301640538318865e-33,6.3522452944949018e-37,1.3732569930785476e-42,2.3062263820733992e-45,1.3698736068840504e-56,1.0002566595274136e-60,7.4306182619949059e-67,1.311386466438045e-53,4.552610447330195e-53,2.7391875033401984e-37,3.8249696108509414e-48,2.955788102219873e-56,1.1555579623187887e-65,6.6071823980191951e-66,2.9128145324489074e-65,6.5102399296345032e-62,1.1255489093636923e-62,8.2193038469760776e-70,5.1997360264437114e-72,1.8169969146117998e-29,3.6668007860292958e-44,2.4489363800614847e-22,5.1197364867427151e-48,3.9700712735339825e-56,4.9104902855414959e-27,4.7785781553358904e-79,6.3085688243279507e-80,3.1317161499852069e-80,7.9934578342052767e-39,1.1264754425482692e-39,9.8456204216861629e-79,4.6042320660219516e-84,5.8419562527134638e-84,2.1388106506516471e-90,1.2070406827887802e-39,1.2525464432826923e-90,4.0788141502226973e-34,4.5381383241403037e-31,1.819316176677692e-41,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999976,0.0001,0.10889011,6.2727987523621696e-38,1.5928390780242807e-40,3.6653146366164577e-42,9.6278558705759854e-43,1.5328543915533959e-40,3.3950320846721952e-45
