Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877)
0.0,0.0019508178040313264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0019508178040313264,1.3021468262534939e-21,1.3021468221895018e-21,1.2613695792898018e-21,1.2613695732560833e-21,6.2867333048238949e-30,1.0280866944713218e-22,2.5627363882480338e-29,1.7176285466424593e-29,4.8817648890598543e-23,2.0545650711516296e-29,1.711043404302623e-29,1.6574614001055802e-29,4.4115503381262302e-38,1.8566681175872908e-44,4.0538313757099695e-23,1.706116666236565e-29,1.5513497602031737e-38,9.8595978852667716e-24,7.3489061606065104e-31,6.5290915964080808e-45,2.6823592538774599e-38,4.4232962674052858e-53,2.5066239765605578e-58,3.6575668062019729e-31,5.2057033860542819e-54,7.9407444223594609e-46,2.0184131416299227e-53,1.0379768722607843e-53,3.7697749102674653e-24,4.071611715166414e-39,2.0493375568143606e-38,3.8331898803754659e-31,1.5836212584240544e-68,1.7025206401961019e-48,8.8009148961705634e-53,8.0207928854601594e-55,5.076000766808324e-39,1.6881071484991608e-48,2.3254136277682081e-54,1.792725135715991e-38,7.5449567344066425e-45,7.3676758430894765e-63,3.3810779241902892e-39,9.0627890846938522e-54,3.1007986603339081e-69,3.005515239035957e-54,1.7927414463139261e-38,7.5450252992478992e-45,7.4150120949489226e-46,2.5781954701603334e-49,4.9535493123452594e-32,1.2732934534152002e-63,6.4278334906615723e-66,1.171619721820835e-73,4.3000866250613024e-41,1.8097569291249001e-47,1.2260650733318757e-55,6.9330230884397284e-61,7.1279901944813131e-76,6.1784678329847049e-79,1.268897187463017e-87,4.3426278968883463e-71,5.6648507946854806e-73,5.7529240708909261e-48,4.7537367169739161e-59,3.1974857761831492e-69,1.6528165876061942e-80,1.6659496165588633e-82,1.0421104072792284e-83,5.3124092701582614e-82,2.4000066560034206e-80,8.1519245150806469e-89,1.9585532369295335e-93,4.8163465919991275e-35,1.913188139966407e-57,1.7670403488292087e-25,8.1505757659175052e-64,1.7966472419022109e-76,1.346682066283737e-32,5.8336085127485892e-103,4.2987425536501448e-106,7.8139260154687296e-109,2.1406170789746256e-49,1.0539512931290847e-52,-1.9285736890958931e-104,-3.5152719817089218e-112,-3.4612855077669015e-112,-1.4831814077683206e-117,1.1720793262090988e-45,-3.1077796774857821e-120,3.8340173137204289e-42,3.4055862342163383e-39,6.8346939642999687e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.1318920507531309e-48,2.0657773227976222e-50,3.9300551348674831e-52,3.5697297348170778e-55,3.4900565266462689e-51,1.6392431028617672e-53,4.6120140220318465e-59,3.8613483880920662e-60,3.3197124112154913e-53,1.4939292205802317e-59,4.2556859115941212e-62,1.7910700563820325e-68,9.4743793794940612e-76,5.3402284924309876e-76,1.50251216570262e-81,1.50251156883536e-81,3.6887726738376057e-83
3.0000000000000002e-15,0.0019508178040313264,4.2784823789249769e-21,4.2784823522187443e-21,4.1444999837084895e-21,4.1444999440583421e-21,4.131281858227043e-29,3.3779991859347396e-22,1.6840838957785433e-28,1.1287273242781439e-28,1.6040077821429513e-22,1.3501424699989298e-28,1.1243999432770357e-28,1.089188911216909e-28,4.159461095849673e-37,2.2810490893209081e-43,1.3319726029381046e-22,1.1211621451008092e-28,1.4627009968663828e-37,3.239582404072272e-23,4.8292813418539213e-30,8.0214543808864027e-44,2.5290813710932116e-37,6.6981259572187074e-52,4.5119184029392843e-57,2.4035437958778034e-30,6.7005291638802432e-53,9.6149764266577353e-45,3.1746930656867354e-52,1.5533894490902754e-52,1.238640342468465e-23,3.8389476119495565e-38,1.9322320976241723e-37,2.5189532385473275e-30,3.297768047183932e-67,1.6052334846260929e-47,1.3326241873866116e-51,9.8540974299064585e-54,4.7859435687382712e-38,2.0739597617425637e-47,3.5213400604993812e-53,1.6902832037153146e-37,9.2695160588638196e-44,1.1156746119825898e-61,3.1878730046835458e-38,1.3723648632243367e-52,5.5814290766480968e-68,4.5512079117925247e-53,1.6902985918567103e-37,9.2696003128925588e-44,9.1098699719913236e-45,3.1672457765427911e-48,3.2551895624782765e-31,2.3646908293872569e-62,1.3773662678609434e-64,2.8453131592783801e-72,4.0543668474239533e-40,2.2234153940196625e-46,1.8566105160025154e-54,1.2479428500518663e-59,1.7204556447518085e-74,1.288650165921082e-77,3.0090868505145909e-86,9.0414959889228779e-70,1.3412936920507279e-71,7.0678776908657984e-47,5.8403043816041093e-58,4.8362208412381667e-68,2.9684995203203882e-79,3.4409040839626481e-81,2.4409324031525027e-82,1.2564468483347354e-80,4.9905802755361061e-79,1.9166274197019475e-87,5.1644094999880209e-92,3.1650277795958598e-34,2.8971130854455639e-56,5.8059734912893986e-25,1.4671034744238679e-62,4.3632117524144833e-75,8.8496249546740681e-32,1.7047861614566892e-101,1.3788396185641514e-104,2.7296044165822903e-107,2.6295997065168557e-48,1.595835050789616e-51,7.9898852837377473e-103,1.3559052042488421e-110,1.3350816008297127e-110,5.7461602676396697e-116,7.70223546141794e-45,1.1152262489153679e-118,3.6149307670499581e-41,3.2109813160245782e-38,6.3857910831684809e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.3906099961302294e-47,2.5196012544647628e-49,4.8655028757156936e-51,5.4393341367505765e-54,4.287783873764874e-50,1.5455709886753737e-52,5.6661454883810341e-58,4.743931040734278e-59,3.130013764611331e-52,1.835398284917107e-58,5.2284106942932161e-61,2.712190279887104e-67,1.7053704715018063e-74,9.6123980028319434e-75,3.1338050552975946e-80,3.1338036398728979e-80,7.6937166869431929e-82
7e-15,0.0019508178040313264,9.4870692998484709e-21,9.4870691547059095e-21,9.1899778223816543e-21,9.1899776068917482e-21,2.2452617811556094e-28,7.4903463231457723e-22,9.1526292848803394e-28,6.1343874065775482e-28,3.5567085235445984e-22,7.337720522410329e-28,6.1108689697101247e-28,5.9195046391962284e-28,6.7181502454423501e-36,1.153784561713191e-41,2.9535008422504685e-22,6.0932641967892787e-28,2.3624806872694119e-36,7.1834234082468696e-23,2.6246099575142512e-29,4.057357426380141e-42,4.0848464826568675e-36,1.1061811212893168e-49,2.5119452467483938e-54,1.3062734295686379e-29,3.8268721750310522e-51,4.7034097863686205e-43,5.9669364834335427e-50,2.4747645758204254e-50,2.7465504198965517e-23,6.20047351193611e-37,3.1208408499387384e-36,1.3689959312811252e-29,6.1391039596728027e-64,2.5926914184090477e-46,2.1987274247253895e-49,4.984221309642153e-52,7.7300234940852272e-37,1.049035012696483e-45,5.8155118273685561e-51,2.7300561391551668e-36,4.6886371157966084e-42,1.8424974203549833e-59,5.1488910017019277e-37,2.2664651051170496e-50,3.1073536020571625e-65,7.5163411211074095e-51,2.7300811351298443e-36,4.688679837245414e-42,4.6078870175162572e-43,1.6005115503922772e-46,1.7691248130204157e-30,1.4856394477953917e-59,3.0009953705322687e-61,2.1882750828556241e-68,6.548408733571462e-39,1.1246329412285758e-44,3.0661528112182617e-52,6.9477420637978888e-57,1.1515395203456865e-70,2.4779001636408586e-74,2.035740105669869e-82,1.6768540333262145e-66,8.7509999140551127e-68,3.575028404634532e-45,2.954103029505304e-56,7.8495268505228723e-66,1.5761884055717421e-76,5.4486255498516395e-78,1.306907874204159e-78,7.9939427962223876e-77,9.0272262351212451e-76,1.066536267553788e-83,1.0250209275507918e-87,1.72012386090441e-33,4.7846001271393506e-54,1.2874010721698896e-24,8.1680240754028605e-60,3.3556758757763296e-71,4.809578594636414e-31,1.2185425928502272e-96,3.5720533170965133e-99,2.5972050504925474e-101,1.3282617407058488e-46,2.6318828761617683e-49,1.1320591472180958e-97,8.2537727533151539e-105,8.1270191335186533e-105,2.9546376143608064e-110,4.185997137526165e-44,2.4763975112846099e-112,5.838661973919319e-40,5.1862211232198066e-37,9.5291510548571623e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.0338844966975994e-46,1.1760897652570629e-47,2.3514294782922852e-49,8.59775208818408e-52,2.1688213120670443e-48,2.4963153281459332e-51,2.8657533448733295e-56,2.3994781055554191e-57,5.0554347089470448e-51,9.2836719745066737e-57,2.6445822714481718e-59,4.4791703218944936e-65,9.4928058616246536e-72,5.3515319481164463e-72,6.025807015159923e-77,6.0257974389936113e-77,1.4794015943430867e-78
1.5e-14,0.0019508178040313264,1.9904242164010709e-20,1.9904241521900111e-20,1.9280932281763673e-20,1.9280931328436521e-20,9.933037397306019e-28,1.5715041512204902e-21,4.0491227668277471e-27,2.7138528230451697e-27,7.4620967338465893e-22,3.2461999949077922e-27,2.7034482211127711e-27,2.6187886223040103e-27,6.2479916974487749e-35,2.2190272688982387e-40,6.1965463475443992e-22,2.6956539582348344e-27,2.1971469215680183e-35,1.5071110125854657e-22,1.1611278366097885e-28,7.8033533026628922e-41,3.7989793065039465e-35,4.3396935486163283e-48,1.9925173814929601e-52,5.7789509146129602e-29,7.5938405272858943e-50,8.9713297112355729e-42,2.4151639248628667e-48,9.6289976433971479e-49,5.7623708631987936e-23,5.7665442363868375e-36,2.9024306930708197e-35,6.0564351043502769e-29,9.3755002662727792e-62,2.4112460063329366e-45,8.6141086752057997e-48,9.5856331487397748e-51,7.1890661611970876e-36,2.0175636688410756e-44,2.281555289211761e-49,2.538992721969313e-35,9.0174499263319094e-41,7.2282720058114953e-58,4.788555148117154e-36,8.8918334974205601e-49,2.4647757221162027e-63,2.9488269625444952e-49,2.5390161755986323e-35,9.0175323924828358e-41,8.8621493687155264e-42,3.0738188948661469e-45,7.8266085461550036e-30,1.1917487817170209e-57,4.8424035269471938e-59,7.0829199779362706e-66,6.0901312745856495e-38,2.1629618804069278e-43,1.2028921727629942e-50,5.511067355336985e-55,3.1568475267420427e-68,3.9537118895729847e-72,6.5151809602235074e-80,2.5484127783034229e-64,2.6682242028017311e-65,6.8757168079663618e-44,5.6815083556459647e-55,3.0043444322792749e-64,1.1711613018297274e-74,6.8970018277992376e-76,3.2035095148293969e-76,2.3623028525901209e-74,1.3295222381329537e-73,2.7098769530142082e-81,5.2187756386639474e-85,7.6098284577921835e-33,1.8771069875014268e-52,2.7009769136615938e-24,6.4791703371047925e-58,1.0861580673063598e-68,2.1277574342529745e-30,1.2383663208139683e-93,7.2111121288213893e-96,1.0488844466545904e-97,2.549350361271575e-45,1.0304745505082913e-47,1.4268778779510504e-94,2.0814774437164077e-101,2.0495133622105989e-101,6.2000474230259106e-107,1.8518848429486234e-43,1.0395476892154934e-108,5.4300668505376431e-39,4.8232826658739037e-36,7.9092013288554834e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.352797650792897e-44,2.0276263449100967e-46,4.0889905668320945e-48,3.0572521134046745e-50,4.1712179493605399e-47,2.3215967565438848e-50,5.5108458313902608e-55,4.6146335455914253e-56,4.7016319603204963e-50,1.7854872907865989e-55,5.0861708645067677e-58,1.7572636315134316e-63,7.5280506746518233e-70,4.2448899691101162e-70,9.6145434130797173e-75,9.6145127638238939e-75,2.360526471952661e-76
3.1e-14,0.0019508178040313264,4.073858398159695e-20,4.0738581305169211e-20,3.9462836328671589e-20,3.9462832355039983e-20,4.1402618346126351e-27,3.2164435548804078e-21,1.6877443120328088e-26,1.131180833795245e-26,1.5272820064868419e-21,1.3530663485581278e-26,1.1268439780471802e-26,1.0915563721137418e-26,5.2732715737094135e-34,3.7728372366719105e-39,1.2682593465146811e-21,1.1235903777533964e-26,1.8543810915924712e-34,3.0846502398071025e-22,4.8397855820653827e-28,1.3267432072355935e-39,3.2063248414477291e-34,1.4813977079041882e-46,1.3631070130061588e-50,2.4087648323598632e-28,1.3107431469997603e-48,1.5193445061939848e-40,8.372970666880244e-47,3.2739153970133606e-47,1.1794012903537465e-22,4.8669333688475297e-35,2.4496304904630831e-34,2.5244249311294813e-28,1.1828325030531595e-59,2.0350783612448183e-44,2.9325512395047744e-46,1.6296626405600477e-49,6.0675590510909004e-35,3.4302943959782741e-43,7.7886813102437118e-48,2.1428880064573635e-34,1.5331604006520861e-39,2.4673838633721465e-56,4.0415160955674391e-35,3.0354475265077752e-47,1.6861447010261659e-61,1.0066575012704e-47,2.1429081443153537e-34,1.5331745231377719e-39,1.5067568272023098e-40,5.2115093718622512e-44,3.2622666150052499e-29,7.9694092075280589e-56,6.4846255767524388e-57,1.8981949452902354e-63,5.1400415572687089e-37,3.6775161824565794e-42,4.1061940577389993e-49,3.770194161320243e-53,6.4784572060403364e-66,5.4150763215432557e-70,1.7852578250642685e-77,3.1878645159351363e-62,6.6802670354696398e-63,1.169026983740901e-42,9.6598252629727375e-54,9.7813485168539673e-63,7.078551016790754e-73,6.5320467871696269e-74,5.6957346621767014e-74,5.6136356442283256e-72,1.5783950999325382e-71,5.1383590333871281e-79,1.9804578060985411e-82,3.1719090117776718e-32,6.408001544146394e-51,5.5280021849872318e-24,4.4326968562515026e-56,2.9108961923723913e-66,8.8688612534125855e-30,9.3471470800646258e-91,1.0731811907062614e-92,3.1222438183468868e-94,4.3169454678216676e-44,3.5038240276513291e-46,1.5655323674716849e-91,4.5677531348325622e-98,4.497612303297942e-98,1.0194357732099429e-103,7.7189751417190311e-43,3.4187542109288445e-105,4.5829704364222947e-38,4.0708423215681927e-35,5.5027580258248041e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.3000520435084296e-43,2.8598959575182905e-45,5.7909078297195696e-47,8.7216787435677497e-49,7.0920318318293018e-46,1.9593852491588845e-49,9.3671642575087756e-54,7.8452733495485131e-55,3.9681413237427996e-49,3.0357103887618059e-54,8.6474561684375279e-57,5.9987738620693734e-62,5.1475809161942294e-68,2.9039359499667098e-68,1.3167784987334141e-72,1.3167700994439061e-72,3.2330438403144176e-74
6.300000000000001e-14,0.0019508178040313264,8.2407251973822673e-20,8.2407241067240087e-20,7.9826624935071777e-20,7.9826608742319253e-20,1.687178672265085e-26,6.5063238255387325e-21,6.877646761257992e-26,4.6096221459678268e-26,3.0894054371968017e-21,5.5137687106421454e-26,4.5919489228736663e-26,4.4481498894355528e-26,4.3158467404787653e-33,6.1897172870794432e-38,2.5654512131111707e-21,4.5786512223564146e-26,1.5176976426673147e-33,6.2397362290238295e-22,1.972241459961439e-27,2.1766568068003089e-38,2.6241894562285205e-33,4.866036717465173e-45,8.9603720672285758e-49,9.8158292087441756e-28,2.1666542571837761e-47,2.4877798650511542e-39,2.7719833195269766e-45,1.0733500895103576e-45,2.3857301598750832e-22,3.9832854753412101e-34,2.0048621345174342e-33,1.0287149339375096e-27,1.3435587469137815e-57,1.6655852087290541e-43,9.5809001973806129e-45,2.673274134994203e-48,4.9659638284134979e-34,5.6277081902469936e-42,2.5586346222221549e-46,1.7538078380241882e-33,2.5152849305334553e-38,8.1043783578179812e-55,3.3077329393654771e-34,9.9715808015949587e-46,1.1083327010456769e-59,3.3069306716854664e-46,1.75382487977827e-33,2.5153084321338765e-38,2.4719703589556387e-39,8.5023607984597275e-43,1.3293915838084165e-28,4.9105399446796779e-54,7.9964541624349553e-55,4.6828844481868042e-61,4.2068116558918168e-36,6.0333417711674393e-41,1.3487874425446996e-47,2.4783357161870294e-51,1.0882107516401113e-63,7.1210243041514087e-68,4.6942723189905072e-75,3.572801887822809e-60,1.4980824387381173e-60,1.9179157432993913e-41,1.5847924537467573e-52,2.940917555486635e-61,3.7119160657466026e-71,5.0267887531146345e-72,7.81262378553576e-72,1.1665152338709656e-69,1.6389632522375441e-69,7.9135714548274342e-77,6.1039240533636372e-80,1.2925704523950674e-31,2.1050782021992491e-49,1.1181547134625807e-23,2.9141084014342673e-54,7.1814106872130161e-64,3.614108156821158e-29,5.6969839824168933e-88,1.2719637130086807e-89,7.4017735275497212e-91,7.0256807324492112e-43,1.1419676939645304e-44,1.5626935660722106e-88,9.1193518880389287e-95,8.979325996046763e-95,1.3585262970520111e-100,3.1455223074392856e-42,9.1124874524997873e-102,3.7509155861023607e-37,3.3317613950255366e-34,3.3242210416826987e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.7734551473773948e-42,3.4951993505272788e-44,7.0915490619445144e-46,2.1484530955164147e-47,1.1635314814427451e-44,1.6035867715226095e-48,1.5359610967271701e-52,1.2868911436608516e-53,3.247660526746109e-48,4.9803443553857703e-53,1.4186495980123622e-55,1.9705711614063715e-60,3.3805349102224475e-66,1.9088362587878856e-66,1.7314885977151544e-70,1.7314665071840412e-70,4.2516333631238516e-72
1.2700000000000001e-13,0.0019508178040313264,1.6574452538653595e-19,1.6574448137359181e-19,1.6055412419828009e-19,1.6055405885330067e-19,6.8085245785177976e-26,1.3086090219778415e-20,2.7754390036214152e-25,1.8601899760187256e-25,6.2135673593466494e-21,2.2250145073621028e-25,1.8530577892549339e-25,1.7950282792147432e-25,3.4892045961096748e-32,1.0017229554945943e-36,5.1597647207695981e-21,1.847660031214814e-25,1.2270053813253048e-32,1.2549938346336184e-21,7.9589064913671556e-27,3.5226334775651623e-37,2.1215788971690257e-32,1.5754123022805924e-43,5.803302819235199e-47,3.9611160894889918e-27,3.5196806658027963e-46,4.0221887742020968e-38,9.0112122751209978e-44,3.4722095961611624e-44,4.7983897444115985e-22,3.2203432631073269e-33,1.6208433890465896e-32,4.1513142206472356e-27,1.3675910669583665e-55,1.3465638970822345e-42,3.0688683115425813e-43,4.3252025678715699e-47,4.0148682505034898e-33,9.1075853631713544e-41,8.285302104703012e-45,1.4178678164980602e-32,4.0705932439165544e-37,2.623597006800891e-53,2.674184445115014e-33,3.228925166755559e-44,7.1775756649396411e-58,1.0708365909941972e-44,1.4178824994064363e-32,4.0706323531703968e-37,4.0005045461334141e-38,1.3608280159255517e-41,5.3646978268729138e-28,2.8008365030704785e-52,9.127885533925514e-53,1.0693933245687399e-58,3.4010625108775112e-35,9.7641832912431298e-40,4.3667972244257544e-46,1.6051291454583442e-49,1.5165419061304549e-61,9.2242409448573255e-66,1.2152835679909777e-72,3.5720580236876948e-58,2.9971641422662729e-58,3.1039221883497877e-40,2.5647791335602236e-51,8.1411027983258622e-60,1.6349602044859047e-69,3.1892598970844391e-70,8.1419967014346865e-70,2.128316976891178e-67,1.4941499089792112e-67,1.0043750094313791e-74,1.5504729947584494e-77,5.216108581724905e-31,6.8166482892118708e-48,2.2486615090708204e-23,1.8877219837034655e-52,1.6400407042886685e-61,1.4584552489034353e-28,2.829956154586124e-85,1.1972472387077036e-86,1.3935495364587629e-87,1.1190920766176127e-41,3.64056247877329e-43,1.4356877323352743e-85,1.675709942220488e-91,1.6499811235463726e-91,1.5072617824273155e-97,1.2693588566914268e-41,2.0221825560771955e-98,3.0325392140601202e-36,2.6936538112289101e-33,1.7553673367588278e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.106798319397741e-41,3.7365382102298359e-43,7.5887601245848523e-45,4.6263575942372881e-46,1.8830609883001807e-43,1.2963625479646857e-47,2.4831114305806083e-51,2.0819999967854902e-52,2.6255862577081441e-47,8.0598836231350064e-52,2.2957261310833889e-54,6.3806196340928645e-59,2.1852863442553535e-64,1.2362008942093177e-64,2.2425696272056476e-68,2.2425124124638091e-68,5.507527828951258e-70
2.55e-13,0.0019508178040313264,3.3241882192540247e-19,3.324186451157684e-19,3.2200881092689289e-19,3.2200854842202262e-19,2.7351359700324187e-25,2.6245646416503946e-20,1.1149550899189314e-24,7.4727988173075071e-25,1.2461551468225081e-20,8.938064835503215e-25,7.4441452537754272e-25,7.2110267092842666e-25,2.8054584139545561e-31,1.6114790448238258e-35,1.0348110851238571e-20,7.4222079221640176e-25,9.8656439767781044e-32,2.5170463134757186e-21,3.1972904002007123e-26,5.6669041370606859e-36,1.7058614045317263e-31,5.0677732287169842e-42,3.7339889879623891e-45,1.5912586288573663e-26,5.6728278571576993e-45,6.4672410725266675e-37,2.9055128422236703e-42,1.1167923992692186e-42,9.6237162928956592e-22,2.5892869951616388e-32,1.3031988612715772e-31,1.6676648645500973e-26,1.2317141819096075e-53,1.0826890816677379e-41,9.6662393749295082e-42,6.9543394721948167e-46,3.2282216460423498e-32,1.465109292120725e-39,2.6662059027980733e-43,1.139986684586139e-31,6.5482033238923926e-36,8.4379559644643858e-52,2.1501549315037658e-32,1.0390372051924743e-42,4.6173470224140743e-56,3.4459154088129035e-43,1.1399999457293247e-31,6.548269697627679e-36,6.4354837540894315e-37,2.1419383402461081e-40,2.1551226442716352e-27,1.4494838900005917e-50,9.4561880823070737e-51,2.2164934957984186e-56,2.7346028448470826e-34,1.570779862547345e-38,1.4047119831155925e-44,1.0327830255092671e-47,1.765900431798583e-59,1.1868562285934385e-63,3.122618633836734e-70,3.1554117320724638e-56,5.2986521421448707e-56,4.99340552858484e-39,4.1259935892928773e-50,2.0292799175866844e-58,5.7813987084980371e-68,1.6892659166959369e-68,6.3516547037321572e-68,3.4418754927746228e-65,1.2073055467627216e-65,1.0631549124377056e-72,3.2850076889424532e-75,2.095431498449755e-30,2.1936198902693176e-46,4.5088666659486018e-23,1.2150721403480569e-50,3.3995802717090298e-59,5.8589403821953139e-28,1.1479620075389291e-82,8.7880262366471393e-84,2.0460915525459403e-84,1.7452415390753318e-40,1.1362900840855736e-41,1.1938683236811983e-82,2.7870825925576037e-88,2.7442922598896281e-88,1.4149451826501068e-94,5.0992905688560967e-41,3.796967602763648e-95,2.4383792231858319e-35,2.1658785923693306e-32,8.2932457486289063e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,9.823941300555019e-40,3.5698437194848081e-42,7.2537735830375354e-44,8.8961903181531467e-45,3.0294255951370422e-42,1.0422006131959018e-46,3.9861457924736362e-50,3.3472050146006791e-51,2.1110288872100938e-46,1.296555109517073e-50,3.6926115318619812e-53,2.0530038522225099e-57,1.4007451123913897e-62,7.9529739943854031e-63,2.8846291590815919e-66,2.8844820180710347e-66,7.0867955277877446e-68
5.11e-13,0.0019508178040313264,6.6576641386003343e-19,6.6576570512308179e-19,6.4491693719741854e-19,6.4491588495504472e-19,1.096374399395045e-24,5.256485241539523e-20,4.4692730773227976e-24,2.9954592353744129e-24,2.4956160917547035e-20,3.5825557131869306e-24,2.9839719173977634e-24,2.8905258986277036e-24,2.2497991622193571e-30,2.5850678710998874e-34,2.072367971109039e-20,2.9749753068717288e-24,7.911676075520812e-31,5.0411994913030202e-21,1.2816445307765785e-25,9.0906700820852086e-35,1.3680374001796257e-30,1.6247784085552008e-40,2.3944358194100279e-43,6.3784523713905122e-26,9.1087084918165163e-44,1.0371493697263315e-35,9.3317790007072535e-41,3.5823045668303812e-41,1.9274398886996101e-21,2.0764494024398149e-31,1.0450452221151322e-30,6.6847206824847576e-26,9.868653757301495e-52,8.6824543068380154e-41,2.9752163599928386e-40,1.114418660689315e-44,2.5890029951981411e-31,2.3501565117144407e-38,8.5545120905252033e-42,9.1414052956043033e-31,1.0503747407410034e-34,2.704262177817223e-50,1.724295372631281e-31,3.3335595722668446e-41,2.9597617466729235e-54,1.1056007234268325e-41,9.1415349823680889e-31,1.0503864974854209e-34,1.0323032026656458e-35,3.2937337766204178e-39,8.6388032411635576e-27,6.6711149210323389e-49,8.7147628489152631e-49,4.087091517059714e-54,2.1930001969378128e-33,2.5198073743851702e-37,4.5036734636133249e-43,6.6228036537008856e-46,1.7348701317414082e-57,1.5216139536354941e-61,7.9823245056999948e-68,2.4864344564878654e-54,8.3563268456442028e-54,8.0105452089885692e-38,6.6187955699998756e-49,4.4834185679636244e-57,1.6140515264071726e-66,7.6444112699262927e-67,3.7616963145758796e-66,5.0660342488483067e-63,8.8796320559279176e-64,9.5927972374701154e-71,5.9329644217729424e-73,8.3995360625716749e-30,7.0383884915686954e-45,9.026045983535016e-23,7.7976635066949853e-49,6.269841796793657e-57,2.3485464992857744e-27,3.8198298507847092e-80,4.9120066476073978e-81,2.2877857815979019e-81,2.6380871359209624e-39,3.4387745290799731e-40,8.8210259870500419e-80,4.118839138930797e-85,4.0556073529986896e-85,1.1444291687379144e-91,2.044036216274775e-40,6.1426160341048915e-92,1.9555819046579357e-34,1.7370162492725404e-31,3.6334453914185618e-42,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.5758807053141803e-38,3.150259362033471e-41,6.402745639638945e-43,1.5777843501305901e-43,4.8601011900001906e-41,8.355783815183811e-46,6.3674627171043289e-49,5.3626574786654494e-50,1.6928367070011741e-45,2.079737966036966e-49,5.9218163283780964e-52,6.5852987650156167e-56,8.9149082488789359e-61,5.0985474756171762e-61,3.6961601762106145e-64,3.6957833756980796e-64,9.0867554843042968e-66
