Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654),S(11179),S(11193),S(12065),S(11559),S(10226),S(11013),S(13044),S(13047),S(14368),S(13836),C5H8(9850),S(15615),CHO(330),S(16928),S(16826),S(456),S(18023),CHO3(881),S(10202),S(18746),S(18747),S(18745),S(18626),S(19256),S(19255),S(18650),S(19434),S(18838),S(19740),S(19976),S(19862),S(20255),S(19528),S(19527),S(19431),S(19864),S(20911),S(19731),S(21226),S(21404),S(18071),C3H5O(710),S(9658),S(21554),S(1365),S(10662),S(22631),S(22862),CH3O(947),S(21555),S(22518)
0.0,0.002759271001630856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002759271001630856,9.0149389040277885e-23,9.0149388930654245e-23,8.7522851178066994e-23,8.7522850846735127e-23,1.6988135727343366e-31,1.1187649487640849e-23,1.1941620370288115e-30,8.0307423415438973e-31,5.3020449094212618e-24,1.5776432934425328e-30,7.9979349440409158e-31,7.7649119699473255e-31,1.0819148559539021e-39,3.2192781183256914e-46,4.4310864286177897e-24,1.3184863450750492e-30,3.9995260006997875e-40,1.1224263288483952e-24,5.2089587598303262e-32,1.1900739164697028e-46,5.8820609258732852e-40,4.4200561552926903e-55,1.6484621698788438e-60,1.1860089895423747e-32,4.2262961517015287e-56,1.4829339135229292e-47,1.6281203276424531e-55,1.215109967917422e-55,3.3965692079553091e-25,1.4450174078892804e-40,7.5773086160519204e-40,1.232700446336041e-32,2.5799796496916086e-71,6.1520256287711083e-51,6.0396472714060439e-55,1.9867300954550996e-57,1.0931512398226058e-40,9.568565284182937e-51,7.5310771437598798e-57,5.2722443142343157e-40,1.5687760213886773e-46,1.1272409104401521e-65,1.2076467022932916e-40,9.0157202884389748e-56,3.3541475433186434e-72,2.8852863733957935e-56,5.2691831439367953e-40,1.5678651526122939e-46,1.4404292538336788e-47,2.2692378674555909e-51,3.0133914255112675e-33,2.5443467957859752e-66,1.145951354511406e-68,1.3902042776397511e-76,1.0026476054578003e-42,2.9834154541171343e-49,1.1080710016298941e-57,4.1220812285485571e-63,4.2391833147192092e-79,3.0872195652437169e-82,2.1084754363350871e-91,6.4110820593402114e-74,7.5595411263053958e-76,5.4432637869437896e-50,7.8848672027008003e-62,2.1926928611350888e-72,4.7634425024238674e-84,3.5943341576281086e-86,2.1634257386075157e-87,7.3831553595545816e-86,3.4829541003511298e-84,1.2043259849831181e-92,2.6952074437377845e-97,1.9028737812407917e-36,4.7639610463837574e-60,7.5680496378733933e-27,9.8182900914269933e-67,1.4693887520044632e-79,6.0608723433664453e-34,2.5592605391654798e-107,1.6271710546847865e-110,2.420581152505655e-113,1.8962523462121232e-51,7.2600659202729826e-55,-1.1872010933644067e-108,-1.4402473805186962e-116,-9.5007303910150609e-117,-1.7499228508344961e-122,5.3110310547576039e-48,2.0727473448132112e-92,1.1398448324236482e-43,7.3608759439584871e-41,2.8525345113811756e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.4377886410488165e-51,8.3199309507530131e-53,1.0649919704262914e-54,7.916685253623016e-58,2.7987156198027264e-53,6.7485455192512746e-56,1.277372161652526e-61,1.08968656491377e-62,1.624839582535257e-55,5.9613714699160959e-62,6.9902111717534978e-65,2.0799633567594421e-71,8.8216476099389496e-79,3.4865177904902827e-79,6.5994089084726766e-85,6.5994076098028029e-85,1.5406930825914071e-86,5.9906268472059132e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5699207495013791e-77,0.0,0.0,0.0,0.0,0.0,8.2420436750958505e-98,1.179069652253771e-108,2.7509428044041248e-72,7.59930159309092e-79,6.5328162325995443e-89,4.5233523809609047e-67,1.7355811677668957e-70,8.6401825502373593e-92,1.2823623283390067e-85,3.3264281451738606e-91,2.4195969356957151e-91,2.0688290432554084e-92,2.4820398066652083e-93,9.3928774286361419e-99,6.4653696610959474e-99,1.1369668245781178e-95,1.1311973415537014e-105,1.1314827902693805e-105,7.5933351248156685e-109,4.7626192874026714e-117,7.5952512774310731e-109,1.6937004883136243e-117,1.6264908446635282e-106,1.6264802834294431e-106,3.6240158252428333e-109,5.4548222350917646e-115,5.6425385821469436e-116,2.6179862440119871e-116,1.6358615401007376e-123,1.0980970806685042e-126,2.7246586724117337e-81,8.0232440226113262e-76,9.7124668143974191e-72,1.806672219126437e-138,1.9946772585145617e-62,1.7696519097695394e-70,1.6369919691183e-80,1.40722274111794e-90,1.8437679885008919e-63,1.2127563694877731e-141,1.2127563616599016e-141
3.0000000000000002e-15,0.002759271001630856,2.9620513294922903e-22,2.9620513222884481e-22,2.8757507967166875e-22,2.8757507749434495e-22,1.1163632000585371e-30,3.6759419883624038e-23,7.8473504795126124e-30,5.2773449470885045e-30,1.7420999481242479e-23,1.0367368738644668e-29,5.2557857966896527e-30,5.1026564121649834e-30,1.0200910370022777e-38,3.9551127551237403e-45,1.4559279635615633e-23,8.664337625723266e-30,3.7709812828023913e-39,3.6879721737398532e-24,3.4230300206738296e-31,1.4620906895425952e-45,5.5459428240274976e-39,6.6932222823454319e-54,2.9672298135389525e-59,7.7937730470550797e-32,5.4411570555967826e-55,1.8103229605563348e-46,2.5613054040409643e-54,1.8305454871339957e-54,1.1160156105944943e-24,1.3624448494555294e-39,7.144318380989601e-39,8.1006026049962653e-32,5.3733106891722584e-70,5.8004806146308582e-50,9.1452921911181045e-54,2.4408370333120451e-56,1.0306854512914324e-39,1.1755664385572177e-49,1.1404201435808478e-55,4.9709722244879555e-39,1.9273530937761729e-45,1.7069630007552433e-64,1.1386382081850195e-39,1.365237413635622e-54,6.0374601915027076e-71,4.3691473806116665e-55,4.9680859946186243e-39,1.9262340295684425e-45,1.7696699588971246e-46,2.7877481427104216e-50,1.9802286610341031e-32,4.726379698823618e-65,2.4561151430012543e-67,3.3768228071067959e-75,9.4535337005178076e-42,3.6653387064026776e-48,1.6779346944843837e-56,7.4197410267403863e-62,1.0235603406498455e-77,6.4390529919751405e-81,5.0000820239312398e-90,1.3350330395455905e-72,1.7901731302740464e-74,6.6874380569923124e-49,9.6871216777290616e-61,3.3168539312183663e-71,8.5581565964538122e-83,7.4278955253309219e-85,5.0722484644661359e-86,1.7464083984838043e-84,7.2434356420740957e-83,2.8328911099002414e-91,7.1098952457938041e-96,1.2504599154360367e-35,7.2139976042708229e-59,2.486640062350743e-26,1.7672921027579606e-65,3.5691632017743058e-78,3.9828588856564068e-33,7.4820224443124547e-106,5.2212550766875449e-109,8.4587384531782651e-112,2.329473928368865e-50,1.0993019567406407e-53,4.9178812733035458e-107,5.5546051116073587e-115,3.6641486661193063e-115,6.77743009128189e-121,3.4901060716750839e-47,5.3930020786361025e-91,1.0747108441688094e-42,6.9402544546872619e-40,2.666147588835131e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.9092824733854984e-50,1.0151430349010848e-51,1.3193739511027231e-53,1.2069559888385192e-56,3.4384220518885953e-52,6.3629113226406405e-55,1.569336357743888e-60,1.3387558927147244e-61,1.531991310986683e-54,7.3239693519122214e-61,8.5879696251665812e-64,3.1496575260743781e-70,1.5878838164419396e-77,6.2757260555858636e-78,1.376446464681711e-83,1.3764461567118725e-83,3.2134429353098449e-85,7.3599121201175429e-65,1.8832935218952087e-117,1.6708336588770929e-125,3.8033685382313353e-133,4.5178206364683441e-140,1.070901729894378e-149,7.6753433517800426e-155,4.4277079586615867e-155,1.2977306294018438e-75,3.8942736274998175e-150,3.3870263192607683e-160,2.4444039374579147e-165,2.1377870171605188e-171,6.4149107363637139e-167,1.9545403751493312e-96,3.13295435392248e-107,4.9516947711188464e-71,1.5849965604437577e-77,1.5492101658904247e-87,8.141537723546934e-66,3.619735907909816e-69,2.0011937091247535e-90,1.9418610682935541e-84,5.9830630956981632e-90,4.3530743142965243e-90,3.723372926885941e-91,4.4676634042195134e-92,1.9589872865528741e-97,1.3483849777423389e-97,2.0465389561717829e-94,2.3580589345490328e-104,2.3586535856231673e-104,1.7998355470537316e-107,1.26493389484527e-115,1.8002894710659473e-107,4.498404662690847e-116,3.3923923377140161e-105,3.3923672925460598e-105,8.5934967498253086e-108,1.4174156147521001e-113,1.4934470782261915e-114,6.9559314636295829e-115,4.8132102474657806e-122,3.5446830237512425e-125,6.4609844477752744e-80,1.4440961160537952e-74,1.4704281842548521e-70,6.3471347666015118e-137,3.0205110498475115e-61,3.1853732358139493e-69,3.4142973503993109e-79,3.337127768790499e-89,2.7919912906790018e-62,4.6071131419354365e-140,4.6071131144635502e-140
7e-15,0.002759271001630856,6.5680267021844748e-22,6.5680266630331685e-22,6.3766646318319659e-22,6.3766645134991673e-22,6.0671911320423382e-30,8.1510018894151231e-23,4.2648642158619095e-29,2.8681221823730767e-29,3.8629139165891353e-23,5.6344343140717516e-29,2.8564052405426988e-29,2.7731827434755577e-29,1.6475999125841205e-37,2.0005490229977715e-43,3.2283592108098926e-23,4.7088748534116154e-29,6.0907005807105306e-38,8.177677109439011e-24,1.8603423265035484e-30,7.3954513050045255e-44,8.9575330006873923e-38,1.1053781344381292e-51,1.6519725581860412e-56,4.2357451150211293e-31,3.1098055367120907e-53,9.0254272897301373e-45,4.8176460090025626e-52,2.9764646997190206e-52,2.4746433985718003e-24,2.2005528621349041e-38,1.1539139317063664e-37,4.4025002555364205e-31,1.0029387236591151e-66,9.368644801192963e-49,1.5092212562066361e-51,1.2345924384356865e-54,1.6647130996370719e-38,5.9461696937486004e-48,1.8834118980591097e-53,8.0288587214790171e-38,9.7488024261502451e-44,2.8190209330720264e-62,1.8390715818288413e-38,2.254696792972493e-52,3.361278284731873e-68,7.2156743941755182e-53,8.024197265897024e-38,9.7431422342762682e-44,8.951221355425238e-45,1.4090343559562176e-48,1.0762112641307738e-31,2.9761865942488966e-62,5.36404238815744e-64,2.6032738785224729e-71,1.526887647038211e-40,1.8539777612384027e-46,2.7710905947502534e-54,4.1308596671271438e-59,6.8899385999261116e-74,1.2381570354865428e-77,3.3827646630759036e-86,2.4843558750865259e-69,1.1719369350101721e-70,3.3825976010059677e-47,4.899875936365213e-59,5.3927603098974178e-69,4.5859976788958686e-80,1.1904267006627873e-81,2.7774914552155481e-82,1.1140533892888616e-80,1.3136645987505255e-79,1.5956123969376674e-87,1.4284240405792903e-91,6.7959778737325741e-35,1.1913971489788619e-56,5.5138230445338459e-26,9.8393173122241788e-63,2.7515605130359628e-74,2.1645969274948512e-32,5.4152339029033562e-101,1.3710005596647191e-103,8.1580152159124929e-106,1.1770218497213337e-48,1.8135497806753215e-51,6.9868652344227511e-102,3.3904385028801404e-109,2.2365359792783696e-109,3.5181798943826386e-115,1.896796599386146e-46,8.4173957490369461e-87,1.7358207704568142e-41,1.1209562208975289e-38,3.9905163284579638e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.0006210343257004e-48,4.7538855449122207e-50,6.4020340600270357e-52,1.9156665838517171e-54,1.7392017723759089e-50,1.0277021064414271e-53,7.9375224993902493e-59,6.7714995076916993e-60,2.4743937131906714e-53,3.7045579309169252e-59,4.343889966421628e-62,5.2016577480817944e-68,8.8392084231442085e-75,3.493926062474073e-75,2.6467259225760745e-80,2.6467238389353833e-80,6.1790806421630023e-82,3.7227409923011738e-63,6.8996983430733304e-113,2.4485457992658231e-120,2.2294820059807472e-127,1.0593140264976438e-133,1.0043629215007885e-142,2.8793784621651776e-147,1.6610397370049078e-147,2.1432087721385917e-73,3.6524328410528632e-143,1.2706470928085524e-152,3.6680700157821867e-157,1.2831843121280358e-162,3.7781097928745856e-161,1.322412139447711e-92,7.5674373796896728e-103,2.7568136931254522e-68,3.0477928131774716e-74,1.0481812492093818e-83,4.527822587794127e-63,6.952805164901877e-66,8.7713507870371207e-87,3.2069558596793546e-82,3.2867581321289391e-87,2.4018335829264029e-87,2.0678082116599855e-88,2.4872720798432962e-89,3.7630141338717729e-94,2.5885642036360374e-94,1.1393893464152003e-91,4.4829254370911019e-101,4.4840408083515872e-101,1.2038728556324549e-103,3.0193454373047805e-111,1.2041724068724631e-103,1.07374713759951e-111,6.5231778238934431e-102,6.5230083763343478e-102,5.8046858006699857e-104,2.164869280839879e-109,3.2651153497107145e-110,1.6773894681247083e-110,4.1757525221912268e-117,1.1212186455405595e-119,4.3658421602141425e-76,8.0312013773533768e-72,2.420639051129077e-68,7.3346382490822647e-131,4.9883968038968475e-59,1.7734418673194456e-66,6.5654055654014113e-76,2.2578813184010433e-85,4.6109938797213958e-60,1.9693957092175804e-133,1.9693957063745262e-133
1.5e-14,0.002759271001630856,1.3779976966684333e-21,1.3779976793478973e-21,1.3378491762407368e-21,1.3378491238903131e-21,2.6841252299535496e-29,1.7101121961327521e-22,1.8867758003584411e-28,1.2688572009512946e-28,8.1045316836878143e-23,2.4926699059657545e-28,1.2636736168713489e-28,1.2268559801432978e-28,1.5322963916040208e-36,3.8475783206022465e-42,6.7732132437361688e-23,2.0832030816759944e-28,5.6644577109796549e-37,1.7157086014342602e-23,8.2301538936550654e-30,1.4223386600834355e-42,8.3306665198932827e-37,4.3365823374483479e-50,1.3103841794051905e-54,1.8738928259317286e-30,6.1721333758689342e-52,1.7297000607495261e-43,1.9503575571701596e-50,1.1636119566624143e-50,5.1918992412742688e-24,2.0465525284757223e-37,1.0731590755704731e-36,1.9476652603976889e-30,1.5369653728219418e-64,8.7130004777380885e-48,5.9145909732028553e-50,2.3743986625807675e-53,1.5482143170081167e-37,1.1436029247526228e-46,7.3890571066714638e-52,7.4669679440450751e-37,1.8749471130102399e-42,1.1059435318192497e-60,1.7103686744321895e-37,8.8456792178405388e-51,2.6662336805899441e-66,2.8308727931959287e-51,7.4626330574263491e-37,1.8738585635501982e-42,1.7215518298902396e-43,2.7069309758581214e-47,4.7611588919914928e-31,2.3928681694840156e-60,8.6750755091373719e-62,8.4452767173107848e-69,1.4200322896404383e-39,3.5656844638407169e-45,1.0871451247034871e-52,3.2766973067129987e-57,1.8995275654535027e-71,1.9756222777634124e-75,1.0826441981729593e-83,3.7921990229694848e-67,3.5889357216515684e-68,6.505624012972358e-46,9.4237412930337189e-58,2.0690067334415329e-67,3.4496480537336107e-78,1.5240757518714469e-79,6.9801651726248023e-80,3.3026961733189635e-78,1.9409689250894462e-77,4.1004023763323571e-85,7.3554427888024313e-89,3.0065406645839195e-34,4.6741265088454317e-55,1.1568095152446211e-25,7.8049095851670688e-61,8.926363863976315e-72,9.5761746541861231e-32,5.5681595556002401e-98,2.8039530679836985e-100,3.337746324876584e-102,2.2601052066656254e-47,7.103856751598513e-50,8.8263624157977187e-99,8.5695180424924664e-106,5.6529680240532733e-106,7.4448865923236063e-112,8.3914268434251607e-46,3.6199456801672182e-84,1.6143457797699384e-40,1.0425102760235012e-37,3.3253158827683079e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.6942391985558413e-47,8.2278436372719094e-49,1.1178280928101227e-50,6.8391233905871577e-53,3.34494457975298e-49,9.5577570462042458e-53,1.5264801808154459e-57,1.3023053356607815e-58,2.3012261948104544e-52,7.1248213126361333e-58,8.3543770452515262e-61,2.0407161328454795e-66,7.0101620341816594e-73,2.7714484342588778e-73,4.2231005169011703e-78,4.2230938478408193e-78,9.8594208495712215e-80,7.1597999566352837e-62,6.3292451389923714e-109,4.4924236890497975e-116,8.1812052744327781e-123,7.7745232806222433e-129,1.4741884115960014e-137,8.4526402187266657e-142,4.8761135148138565e-142,8.4082856101662338e-72,5.361226956627893e-138,3.7301459719467272e-147,2.1536093394014703e-151,1.5067759431418541e-156,1.1840750051368763e-155,4.2327161494092868e-90,4.851660556521415e-100,2.1867843290060583e-66,4.8631581564418192e-72,3.355012165133173e-81,3.5860701170283994e-61,1.1077144061251207e-63,1.8818178528128002e-84,1.2581394189194475e-80,2.55873120641425e-85,1.8812138073293774e-85,1.6344665852900329e-86,1.9729079799816749e-87,5.9956091213778824e-92,4.1209113474511359e-92,9.0379272689035226e-90,7.0409413218558469e-99,7.0426607990772412e-99,3.793110150415597e-101,1.9046513020080952e-108,3.7940366638015897e-101,6.7733375182377355e-109,1.0408466542273201e-99,1.0407924200895845e-99,1.8537022458754711e-101,9.1792135061399875e-107,1.8493414415071492e-107,1.0729673832465853e-107,5.317852936070031e-114,2.8568733180927465e-116,1.3949253034009432e-73,6.3608036723478335e-70,9.4526989265459826e-67,3.7088302063904032e-127,1.9570634214114519e-57,1.406759536315013e-64,1.0476081327456606e-73,7.2270642696719124e-83,1.8089990640904003e-58,1.9918841450218741e-129,1.991884144144437e-129
3.1e-14,0.002759271001630856,2.8203875572146267e-21,2.8203874850196385e-21,2.7382143864937855e-21,2.7382141682881824e-21,1.1187898885098072e-28,3.5001363184366887e-22,7.8644080285464362e-28,5.2888166573479358e-28,1.6587726538774833e-22,1.0389849649930818e-27,5.2672105055971518e-28,5.1137481714281334e-28,1.2932516379703701e-35,6.5417448623430564e-41,1.3862887463481091e-22,8.6831263927159557e-28,4.7807797350338855e-36,3.5115899958171923e-23,3.4304705618781123e-29,2.4182949556307423e-41,7.0310571118809832e-36,1.4803621198634993e-48,8.9646671900323928e-53,7.8107039800708484e-30,1.0654515381378322e-50,2.9359620486146924e-42,6.7622359505839203e-49,3.9655056174551295e-49,1.0626411993647642e-23,1.7272821907932365e-36,9.0574033266879852e-36,8.1181999702753154e-30,1.9509565271228958e-62,7.3537335410866256e-47,2.0147582504130707e-48,4.0368579977665239e-52,1.3066902216404291e-36,1.9443783309549272e-45,2.5224540807180265e-50,6.302073576108565e-36,3.1878224987260322e-41,3.7752802663528702e-59,1.4435444204425056e-36,3.0197020359109535e-49,1.8240200665554713e-64,9.6639356976651808e-50,6.2984155265868955e-36,3.1859718999521501e-41,2.9270174728495642e-42,4.5923036098119407e-46,1.9845338906160415e-30,1.6066039283645805e-58,1.1663815906748999e-59,2.2723988500135188e-66,1.1985018617310024e-38,6.0624654137689488e-44,3.7111459212471503e-51,2.2416716244416469e-55,3.9311686323102475e-69,2.7059351966173631e-73,2.9667423307832302e-81,4.7802169015700079e-65,9.0543348366175494e-66,1.1061035598288476e-44,1.6022470793279593e-56,6.7662837721101526e-66,2.1318251349347072e-76,1.4615815166236519e-77,1.2886696285574542e-77,7.8887368981761983e-76,2.3161882638820917e-75,7.8730965435367149e-83,2.8264763311419004e-86,1.2531783854901968e-33,1.5956406502139009e-53,2.36762639556033e-25,5.3397085033702653e-59,2.4018630884024506e-69,3.9915140826848828e-31,4.2591777782914939e-95,4.2396753855601233e-97,1.0094449730139774e-98,3.8305895507235154e-46,2.4175897705614559e-48,9.7229085204414621e-96,1.8881049271072913e-102,1.2455076641174351e-102,1.2382064903534699e-108,3.4976913132235209e-45,1.1970216661937076e-81,1.362505061360721e-39,8.7987692346000517e-37,2.3271557304914439e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.3081929785742174e-45,1.1672060103030796e-47,1.5923719508854875e-49,1.9623108715252302e-51,5.6871727049730132e-48,8.0666231910694323e-52,2.5949793537028497e-56,2.2141069092520969e-57,1.9422206129474433e-51,1.2113754183531346e-56,1.4204117375418018e-59,6.966443384105279e-65,4.7940435466623614e-71,1.8959938334731556e-71,5.7840688092611745e-76,5.7840505318633155e-76,1.3504036585870349e-77,1.2173252177209003e-60,1.6303305172381068e-105,2.3147014930819121e-112,8.431238588022705e-119,1.6024814299184794e-124,6.0767383935640597e-133,6.968565863783885e-137,4.0199915359840368e-137,2.8703855767558548e-70,2.2101461916396764e-133,3.0753273277756161e-142,3.5510740485627223e-146,4.9690383435834845e-151,5.5336579370116498e-151,1.1600850848213475e-87,2.6601407205998844e-97,1.4960528736490187e-64,6.6610304743734576e-70,9.1955053304911451e-79,2.4458474856636475e-59,1.5126066210775084e-61,3.1091611173712372e-82,4.2948497997190491e-79,1.6880311908886083e-83,1.2554960369486863e-83,1.1103994494686035e-84,1.3496423994370179e-85,8.1882522415058082e-90,5.6186280321220288e-90,6.1831059191687022e-88,9.3512140641716107e-97,9.3534165581116971e-97,1.0081362663316242e-98,1.0117503600515683e-105,1.0083738191453882e-98,3.597964427634391e-106,1.4256059231380488e-97,1.4254572904838345e-97,5.0575322480624511e-99,2.9929590623028335e-104,8.2131354976132778e-105,5.8564160860977046e-105,5.7448331053921703e-111,6.1729482235839117e-113,3.8096713315809237e-71,4.3383742741654536e-68,3.1974834967710452e-65,1.5777975616500814e-123,6.6809701514134124e-56,9.6243086619379925e-63,1.4349294112827857e-71,1.9808407732796373e-80,6.1755089182917592e-57,1.6947923830209567e-125,1.6947923836119852e-125
6.300000000000001e-14,0.002759271001630856,5.7051665088921117e-21,5.7051662146937196e-21,5.5389439435519969e-21,5.5389430543527318e-21,4.5591286283857545e-28,7.0801849947198142e-22,3.2047880686564078e-27,2.1552211215969317e-27,3.355395353421998e-22,4.2338947109268031e-27,2.1464164379594784e-27,2.0838796779313727e-27,1.0584492464594605e-34,1.0732422177723178e-39,2.804210051993149e-22,3.5384002335328208e-27,3.9127852320598751e-35,7.1033512381927503e-23,1.397934987739889e-28,3.9674700810418015e-40,5.7545167482252715e-35,4.8628086963784755e-47,5.8931249190230107e-51,3.1828988516332395e-29,1.7612787182064811e-49,4.8127568158548167e-41,2.2388463944603735e-47,1.3015920801844411e-47,2.1495441766084138e-23,1.4136782530374365e-35,7.4129215560747578e-35,3.3082048725898115e-29,2.2379171599410885e-60,6.0185888703226563e-46,6.5903024825022881e-47,6.6223948656941745e-51,1.069454328319043e-35,3.1899485946882462e-44,8.2864826150393178e-49,5.1578454396448269e-35,5.2299343037614791e-40,1.2401099226738914e-57,1.1814557853017019e-35,9.9199245352128832e-48,1.1990376906484798e-62,3.1746792189158257e-48,5.1548524854591252e-35,5.2268987881230541e-40,4.8020604537679474e-41,7.5013296205567702e-45,8.0870849417553884e-30,9.9702245308200107e-57,1.4485553006905556e-57,5.6459559903278527e-64,9.8090327058164869e-38,9.9461243302174447e-43,1.2190668862829792e-49,1.4736140401444705e-53,6.6811553096311659e-67,3.5586321203567675e-71,7.8016484008384646e-79,5.4224073593543061e-63,2.0550571060237798e-63,1.8146853286703248e-43,2.6286552758204692e-55,2.0504274929898131e-64,1.1602970158229796e-74,1.1344685519406237e-75,1.862318366869671e-75,1.6509307331468965e-73,2.422190007398028e-73,1.2231446716753818e-80,8.7876967582510457e-84,5.106770232859789e-33,5.241828549221432e-52,4.7891100016421179e-25,3.5104055906659957e-57,5.9677022499713671e-67,1.6265622104186761e-30,2.6227755043189945e-92,5.101946207816595e-94,2.4297005987262951e-95,6.245224711257969e-45,7.8931867092305441e-47,9.774226280850989e-93,3.7963057528005358e-99,2.5042727120884713e-99,1.6731135195234774e-105,1.4253273101146987e-44,3.5111987454631007e-79,1.1151357136534078e-38,7.201311069651462e-36,1.4161379822548725e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.1462284846281905e-44,1.4368691151052905e-46,1.9642954700713202e-48,4.8687798127013262e-50,9.3304646821301043e-47,6.6019138426354473e-51,4.2560966721793631e-55,3.6321357494009829e-56,1.5895842420501398e-50,1.9873767287337717e-55,2.330271609813313e-58,2.2884774848028967e-63,3.149130024862127e-69,1.2463430891751478e-69,7.6063499491068135e-74,7.6063018726807238e-74,1.7759338681564826e-75,1.9971466845614402e-59,3.623079050195275e-102,1.0288223838244728e-108,7.4950149928626707e-115,2.849098622695967e-120,2.1604199517577322e-128,4.9549727663374143e-132,2.8584040172243326e-132,9.4294046762876776e-69,7.8589975339212153e-129,2.1868459628197864e-137,5.0501906726638647e-141,1.4133523666174095e-145,7.9054574798675514e-146,3.0517545924183495e-85,1.3996679207128172e-94,9.8348889934761567e-63,8.7604486237595623e-68,2.4191180603772968e-76,1.5981013562942698e-57,1.9773058891090859e-59,4.5582577498979294e-80,1.4108064249454646e-77,1.0357577296485996e-81,7.8683480593782309e-82,7.199351338409024e-83,8.8712719473293818e-84,1.0706801044060208e-87,7.3227300227730416e-88,4.064665528774068e-86,1.1594755081593186e-94,1.1597304700600772e-94,2.5006909130287666e-96,5.0101936797468191e-103,2.5012413210290473e-96,1.7816864390945618e-103,1.8748465830934431e-95,1.8744556363706409e-95,1.3185136457006846e-96,8.6451095879329854e-102,3.1198993809978859e-102,3.0538289966900611e-102,5.8680840778592483e-108,1.261110476990449e-109,9.9515737063726949e-69,2.8347373188230292e-66,1.0315829468723496e-63,6.2516785742717524e-120,2.1947611131505072e-54,6.3271669646365911e-61,1.8872638807225134e-69,5.2112654646802369e-78,2.02871031672603e-55,1.3430606351189678e-121,1.3430606368902776e-121
