Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410)
0.0,0.0018705664880750658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0018705664880750658,1.0705209691576339e-24,1.0705209689786414e-24,1.0431326292254115e-24,1.0431326228878939e-24,4.7438496996260156e-34,7.6165248031680777e-25,1.9166683125122283e-32,1.2985654820348114e-32,3.5934948896356209e-25,1.5772613524348766e-31,1.292169683284897e-32,1.2591106552664692e-32,6.060014158026392e-42,2.6598691300732171e-48,3.0318480637094704e-25,1.3307426134152997e-31,2.4327612266674149e-42,8.2094351284184957e-26,4.5913871860032276e-33,1.0677906538337002e-48,2.7391302688814609e-42,1.4694262392473357e-57,2.7479938371153263e-63,1.1404905192627279e-34,1.0159246978922633e-58,1.5213466893894615e-49,3.8424254179388273e-58,1.533630078134037e-57,1.7065015376879677e-26,1.1003328292764437e-41,2.2776873542499113e-41,1.1752045165944885e-34,4.2272079743855185e-75,3.3390984084141492e-54,2.9516614572959428e-57,1.5161477453350142e-60,1.3362907252849325e-42,1.2659095862102352e-53,3.9604308986444793e-60,1.0977194177981748e-41,4.8181240491809969e-48,3.9010852539866787e-69,9.2835583817616368e-42,8.2466594399756758e-58,1.7122693128845189e-75,6.7383262567601224e-58,1.0961757106133293e-41,4.811348386574476e-48,1.5106009492204614e-49,1.7013756995532618e-53,2.0598284532739099e-34,5.9033216922399243e-70,2.2233445187646267e-72,3.6217423706374248e-80,1.4295049749265754e-44,6.2744014349702658e-51,8.6344360871386162e-60,1.6099701255890588e-65,1.340133678009338e-83,1.1991866999489192e-85,1.3173033651955948e-95,2.4696038110384392e-77,2.4743755748727418e-79,1.6516038571554027e-52,3.0901136872319329e-65,5.2958743273755791e-76,7.3960427412035811e-88,3.4213640654163346e-90,1.9269972531116486e-91,2.1398902975829879e-91,1.0837203930812915e-89,1.6092007124773276e-96,3.2083053476040019e-101,6.4935510776736329e-38,1.5641943934978796e-63,4.1477549911332051e-29,1.0122282840258557e-70,2.0576436165739176e-83,2.5150918832304968e-35,4.6669608446253251e-112,2.3276767163831807e-115,2.4928991917577599e-118,1.435351073830842e-53,3.5640695114027255e-57,-1.6371422402361334e-113,-2.6668423995358936e-121,-3.4225138632705398e-122,-1.5441573937552035e-128,1.3532042182027917e-50,-1.5430277727350344e-131,6.4458174141544576e-45,9.0678932897851751e-43,1.0117322184443878e-53,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.5810527172101127e-54,2.7711784458452494e-55,1.8226469431258818e-57,9.7543512080827415e-61,1.7895773397137301e-55,1.4466020823961738e-58,3.7229729675067953e-64
3.0000000000000002e-15,0.0018705664880750658,3.5174259991360384e-24,3.5174259979597991e-24,3.4274357398047864e-24,3.4274356981582426e-24,3.1173869279815104e-33,2.5025724364486927e-24,1.2595248808838208e-31,8.533430265289251e-32,1.1807192301388353e-24,1.0364858308002507e-30,8.4914007298613019e-32,8.2741556886301046e-32,5.7137267945853272e-41,3.2678388437735605e-47,9.9617821208626167e-25,8.7448783423287744e-31,2.2937459765495785e-41,2.6973856797220752e-25,3.0171972213696315e-32,1.3118569451418053e-47,2.5826084383966057e-41,2.2251300726915973e-56,4.9463868691358948e-62,7.4946513189121349e-34,1.3088327686849059e-57,1.8661633085344528e-48,6.0480967227747655e-57,2.3194107770490428e-56,5.6070764948885306e-26,1.037456527521947e-40,2.1475334150176852e-40,7.7227718440011349e-34,8.8056400659600623e-74,3.14829206873506e-53,4.469512129959159e-56,1.8626947075809418e-59,1.2599312482965023e-41,1.5552602584023921e-52,5.9972236811578109e-59,1.0349923125607415e-40,5.9194083043057082e-47,5.9073541787745347e-68,8.7530681533258105e-41,1.2487796144548619e-56,3.082083229600407e-74,1.0203749456641606e-56,1.0335368193191867e-40,5.9110839271000598e-47,1.8558807801700369e-48,2.090177041191275e-52,1.3536015563905092e-33,1.0972346341627186e-68,4.7676840763098766e-71,8.8011564472782222e-79,1.3478187957147779e-43,7.7085495305074449e-50,1.307499688572125e-58,2.8979450454099871e-64,3.2379608452121465e-82,2.5011597572351107e-84,3.1238821538975384e-94,5.1438866235719762e-76,5.8607900815855733e-78,2.0291132494152051e-51,3.7964247243777755e-64,8.0122784455714691e-75,1.3294144464717513e-86,7.0764150891616464e-89,4.523090962272781e-90,5.0625946427942261e-90,2.2542584687526379e-88,3.7880748537252082e-95,8.4690421093516306e-100,4.2671907090174188e-37,2.368637137932556e-62,1.3628299322298674e-28,1.8220108552656951e-69,5.0002574059381738e-82,1.65277443858673e-34,1.365224267416157e-110,7.4734695431815103e-114,8.7162061084378782e-117,1.7633293318585545e-52,5.3967663044827373e-56,6.7799617265124624e-112,1.0282344635604528e-119,1.3195930515228681e-120,5.9770944961961854e-127,8.892484578840942e-50,5.5318569031320816e-130,6.0774848940582653e-44,8.5497279287601135e-42,9.461630130482513e-53,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.0542435846870525e-52,3.3829929307877442e-54,2.2603707418104323e-56,1.488389713903464e-59,2.1986235619220057e-54,1.3639379122114013e-57,4.5739288579390567e-63
7e-15,0.0018705664880750658,7.7995095514528974e-24,7.7995095450602976e-24,7.5999659358060242e-24,7.5999657094661372e-24,1.694231964233708e-32,5.5491823663019311e-24,6.8452435572757307e-31,4.6377336798911328e-31,2.6181132121271881e-24,5.6330680660747714e-30,4.6148915382931176e-31,4.4968235812180984e-31,9.2285220515288045e-40,1.6529162189563743e-45,2.2089140903747244e-24,4.752645300939049e-30,3.7047425092190405e-40,5.9811585971380807e-25,1.6397808429166402e-31,6.6355467432711763e-46,4.1713024394806547e-40,3.6747964261351744e-54,2.7538609392044094e-59,4.0731777134992341e-33,7.4956322501783992e-56,9.4061212220160099e-47,1.1400458405015215e-54,3.8160206936548167e-54,1.2433082752108954e-25,1.6756474084301473e-39,3.4685862805324176e-39,4.1971561578724087e-33,1.6498570068752505e-70,5.0849580996996637e-52,7.3778255717679576e-54,9.4217033229030222e-58,2.0349797592552577e-40,7.8667179042958738e-51,9.9044652810689094e-57,1.67166523627172e-39,2.9941117761008353e-45,9.7559650184801909e-66,1.4137513849102126e-39,2.0623653045289614e-54,1.7159223131180494e-71,1.6851545756026789e-54,1.6693144253089371e-39,2.9899012402479866e-45,9.3872805067051686e-47,1.0567277046842832e-50,7.3565302466461505e-33,6.9388785934614091e-66,1.0457912063819695e-67,6.8150871360642706e-75,2.1769288956367443e-42,3.8990870323567622e-48,2.1593324494682833e-56,1.6134076296424769e-61,2.1997264168775146e-78,4.8094814633223249e-81,2.1134669560538638e-90,9.6183594701252942e-73,3.8553636974823664e-74,1.0263534255475213e-49,1.92028057438217e-62,1.3057670995900601e-72,7.2028283016275173e-84,1.1542258038791845e-85,2.5429238395498491e-86,3.2424944483015229e-86,4.1048633132288435e-85,2.171742481616563e-91,1.7320284965752634e-95,2.3191253882772686e-36,3.911824444757604e-60,3.0219024637562665e-28,1.0143967551676329e-66,3.871902943534548e-78,8.9824617280743232e-34,1.0063051877430508e-105,2.0010703054426074e-108,8.5724475123282266e-111,8.9129779356078097e-51,8.9065678373903865e-54,9.6818082330856352e-107,6.3085291188337502e-114,8.096102613238283e-115,3.1514422096902185e-121,4.8328710459641909e-49,1.2596552680190854e-123,9.8160574265411551e-43,1.3809105548920531e-40,1.4228777275062963e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.3325090300580877e-51,1.5921832956612306e-52,1.1037385057083018e-54,2.3776570205172438e-57,1.1120943039639007e-52,2.2029487006705165e-56,2.3135002010675034e-61
1.5e-14,0.0018705664880750658,1.6363675830560986e-23,1.6363675802280129e-23,1.5945025510971173e-23,1.5945024509643666e-23,7.4952817552810898e-32,1.1642402247863486e-23,3.0283354847532454e-30,2.0517332624431307e-30,5.4928910608529611e-24,2.4920640936525417e-29,2.0416278969582521e-30,1.9893946328334018e-30,8.5826805017090494e-39,3.1789883342465224e-44,4.6343773268550137e-24,2.1025658922470977e-29,3.4454730657704037e-39,1.2548701545549946e-24,7.2543885702509444e-31,1.2761885429701983e-44,3.8793873512166056e-39,1.4416946835189887e-52,2.1844447538189785e-57,1.8019720926018941e-32,1.4885128765549929e-54,1.8074934500652719e-45,4.6178814746164299e-53,1.4958299624938785e-52,2.608509553754617e-25,1.5583805016725181e-38,3.2258421919806937e-38,1.8568200815274503e-32,2.5410469161737488e-68,4.7290909604170473e-51,2.8924377754804118e-52,1.8120234806097045e-56,1.8925692022126615e-39,1.5129762393936979e-49,3.8857536683019825e-55,1.5546739547833435e-38,5.7584467531778612e-44,3.8274479247605298e-64,1.3148127674227389e-38,8.0911151561847619e-53,1.3611178600916366e-69,6.6112376828888697e-53,1.5524877019384911e-38,5.7503489245902284e-44,1.8054154534793838e-45,2.0308895073301287e-49,3.2545290170308431e-32,5.5978632481554685e-64,1.6970426231663485e-65,2.2183433265565236e-72,2.0245808134212242e-41,7.4989610837885088e-47,8.4714855358674406e-55,1.2798032719972992e-59,6.1153453509239432e-76,7.6741588751824937e-79,6.7642245567057547e-88,1.4774468605627201e-70,1.1880966281816361e-71,1.9739479077170204e-48,3.6931956024476034e-61,5.0263839688075966e-71,5.5000784310694867e-82,1.5053295897597072e-83,6.5855045587032972e-84,9.6600837861626636e-84,6.0953593150177789e-83,5.684948278790294e-89,9.0847037731344768e-93,1.025981073935746e-35,1.5347005156864188e-58,6.3399725273021607e-28,8.0465762950795941e-65,1.2603245831884839e-75,3.9738351548442195e-33,1.0545276419522012e-102,4.1777500598923044e-105,3.5802923696956167e-107,1.7124203605589845e-49,3.4907060486198276e-52,1.2272049490135278e-103,1.5998869693669889e-110,2.0532281975778846e-111,6.7563050975086571e-118,2.1380614103930077e-48,5.4023496989063308e-120,9.1291153790477252e-42,1.2842726560300551e-39,1.1931969175066674e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.025581848310235e-49,2.7726226206185062e-51,1.9396571491757035e-53,8.542214186794445e-56,2.1388508531994661e-51,2.0487578191641703e-55,4.4493086522579352e-60
3.1e-14,0.0018705664880750658,3.3492005086675277e-23,3.3492004968795787e-23,3.2635141393952742e-23,3.2635137220247037e-23,3.1241631823143271e-31,2.3828842098405454e-23,1.2622625856147089e-29,8.5519794581288779e-30,1.1242406297589672e-23,1.0387313241418685e-28,8.5098585238746081e-30,8.2921412120767998e-30,7.243738401587314e-38,5.4049877710860911e-43,9.485269719671096e-24,8.7638238831126621e-29,2.907962142468916e-38,2.5683775896703388e-24,3.0237535604594422e-30,2.1698049369765827e-43,3.2741930519837472e-38,4.9215305896290436e-51,1.4944557694737621e-55,7.5109184241678295e-32,2.5702206705971605e-53,3.0718917019794291e-44,1.6015509803671933e-51,5.1042937601099646e-51,5.3389122192310974e-25,1.315265611082645e-37,2.72259213212689e-37,7.7395337535831548e-32,3.2545633650195278e-66,3.9913194822887262e-50,9.8602262422197698e-51,3.0807914054958349e-55,1.5973250975933388e-38,2.5724015018326948e-48,1.3265100397610917e-53,1.3121322313464569e-37,9.7906079416555769e-43,1.3065748196059841e-62,1.1096956343441839e-37,2.7621088577580615e-51,9.3118472458560872e-68,2.2569173396753469e-51,1.3102871128365708e-37,9.7768402619993643e-43,3.0695978903120768e-44,3.4480232289260911e-48,1.35654422171051e-31,3.7799118502447883e-62,2.2946711741822451e-63,6.0028419776294315e-70,1.708736469012647e-40,1.2749907512504373e-45,2.8919219434126417e-53,8.7555879899724332e-58,1.2811266467271751e-73,1.0511215433840574e-76,1.8536564504709171e-85,1.8832892979162325e-68,3.0309660638051797e-69,3.3561608761051506e-47,6.279241094160997e-60,1.6540074045503159e-69,3.4951700435861832e-80,1.4796325460419531e-81,1.2740529731514753e-81,2.3259439204469042e-81,7.332778771972888e-81,1.1187957573764953e-86,3.5780002605713415e-90,4.2764672426080511e-35,5.2391280861034211e-57,1.2975812670296819e-27,5.5050535552944663e-63,3.4104504875503296e-73,1.6563586596314859e-32,8.2761870100210046e-100,6.502368138297538e-102,1.1145848056536242e-103,2.9055393875255401e-48,1.1892498031431704e-50,1.3595217162749638e-100,3.5449744650902105e-107,4.5494727205929991e-108,1.1437884279007351e-114,8.9118050912024514e-48,1.8292629468087522e-116,7.7049550098189191e-41,1.0839239358268301e-38,8.4294065830518486e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.7437224489230876e-48,3.9695447027499213e-50,2.7890136722114352e-52,2.473598874438008e-54,3.6365356412028902e-50,1.7291055160209897e-54,7.5642950992124524e-59
6.300000000000001e-14,0.0018705664880750658,6.7748650390501405e-23,6.7748649910136391e-23,6.6015360090525348e-23,6.6015343082457841e-23,1.2731131384644074e-30,4.8201722149153371e-23,5.1437867359138244e-29,3.4849772289824476e-29,2.2741274930514898e-23,4.2328519544666451e-28,3.4678127063449756e-29,3.3790917216709785e-29,5.9285552140538994e-37,8.8674379831048401e-42,1.9186918186661624e-23,3.5712767264322607e-28,2.3799893451162941e-37,5.1953878416411541e-24,1.2321947308472937e-29,3.5597891676169129e-42,2.6797423302397907e-37,1.6167112027629921e-49,9.8244325675624972e-54,3.0607285599313438e-31,4.2493696609992332e-52,5.0387157867878846e-43,5.3031775377781872e-50,1.6764504562805665e-49,1.0799717983664126e-24,1.07646489177285e-36,2.2282709999002721e-36,3.1538900512231763e-31,3.7885109444765675e-64,3.2666351670070277e-49,3.2300898165478573e-49,5.0541851108913217e-54,1.3073229549875637e-37,4.2203058562240096e-47,4.3577223255519979e-52,1.0738921305746712e-36,1.6062389558361502e-41,4.2920300101812213e-61,9.0821839351423512e-37,9.073692826930781e-50,6.1214805622176213e-66,7.4141246385141369e-50,1.0723821248604802e-36,1.6039803678174454e-41,5.035957284761501e-43,5.6407170882169445e-47,5.5279915062978158e-31,2.3692971081984783e-60,2.8783272746831021e-61,1.5063658317357565e-67,1.3984969317936187e-39,2.0917548484899829e-44,9.4998998647602071e-52,5.7558560948076528e-56,2.2143771462319557e-71,1.3824071888144265e-74,4.8749491224644349e-83,2.1750963556369126e-66,7.0040666933431442e-67,5.5061598243006869e-46,1.0301696230859355e-58,5.0680062885100972e-68,1.9977424430135838e-78,1.179789108941625e-79,1.9705645461334304e-79,4.9226861938011358e-79,7.7557369526937559e-79,1.7856327619257929e-84,1.142798005209412e-87,1.7426836069171503e-34,1.7211084278833665e-55,2.6246293131331217e-27,3.6191183016990293e-61,8.5583033941998543e-71,6.749712243927957e-32,5.2467404911123131e-97,8.1065485499022805e-99,2.7793434597360228e-100,4.7474390975191026e-47,3.8911484042715801e-49,1.3803439338028994e-97,7.1988335766341179e-104,9.2386842889006232e-105,1.5793223104854906e-111,3.6316040061710398e-47,5.0519635501058903e-113,6.30607901080803e-40,8.8713236923988065e-38,5.1911567132916479e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.8607723670035524e-47,4.944293655929309e-49,3.4812932968366796e-51,6.2092837988208884e-53,5.9661534449014362e-49,1.4151086237471748e-53,1.2408300432480304e-57
1.2700000000000001e-13,0.0018705664880750658,1.3626188816458497e-22,1.3626188622609672e-22,1.3277574520614397e-22,1.3277567657098205e-22,5.1375844499943192e-30,9.6947483649213281e-23,2.0757489986071074e-28,1.4063451822025042e-28,4.5738364852661229e-23,1.7081192193873065e-27,1.3994185107047178e-28,1.3636155842551546e-28,4.793025729627511e-36,1.4350808647046691e-40,3.8589669861566446e-23,1.4411481433461374e-27,1.9241379752883398e-36,1.0449389872609236e-23,4.9724525843514646e-29,5.7610649438241046e-41,2.1665025845613078e-36,5.2348997655119624e-48,6.3637526043822135e-52,1.2351330806045025e-30,6.9036778488414098e-51,8.1535938620179095e-42,1.7241393948160753e-48,5.4280777941205942e-48,2.17213312458419e-24,8.7028470145775657e-36,1.8014720329369974e-35,1.2727275532313109e-30,3.9909266199392834e-62,2.6409342423216792e-48,1.0401401336386518e-47,8.1789994557718191e-53,1.0569408804125793e-36,6.8300769283126335e-46,1.4111363412436043e-50,8.681913306573354e-36,2.5994560030985172e-40,1.3897320963363777e-59,7.3426325225070847e-36,2.938204624606097e-48,3.9651053492770324e-64,2.4008207813350193e-48,8.6697072343251397e-36,2.5958012260225841e-40,8.1499410058307157e-42,9.0770518625144731e-46,2.2307945920778e-30,1.3902666833344413e-58,3.3797657713497279e-59,3.5385129022687191e-65,1.1306366151212847e-38,3.3852411354133748e-43,3.0760639096939992e-50,3.7283454045420192e-54,3.2053660217339691e-69,1.7910777895725289e-72,1.262485388783747e-80,2.2657490055744089e-64,1.4598852708772665e-64,8.9111185867991678e-45,1.6671828319831472e-57,1.4462742439517013e-66,1.0040710887445263e-76,7.6368983921694526e-78,2.4065733952526095e-77,9.1703515015733168e-77,7.2197994871591538e-77,2.3134336725282923e-82,2.9633338532295363e-85,7.0325160442273832e-34,5.5733723647471697e-54,5.2782455644883582e-27,2.3444567718798056e-59,2.0104013826972785e-68,2.7237823842822613e-31,2.6798825269084573e-94,8.0123229627686635e-96,5.4946522097981172e-97,7.621102464349082e-46,1.2500276518064814e-47,1.3044216290356337e-94,1.3606258691919566e-100,1.7461709291132739e-101,1.8237734890961015e-108,1.4655123909548399e-46,1.1668663587531641e-109,5.0983151249955558e-39,7.1722650436632044e-37,2.7943136132492707e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.6298456545780056e-46,5.3892558699423623e-48,3.7986070562724213e-50,1.3631613954289025e-51,9.6555914995045849e-48,1.1439710670850187e-52,2.0075730491959405e-56
2.55e-13,0.0018705664880750658,2.7328815237880465e-22,2.7328814459147073e-22,2.6629630632755847e-22,2.6629603060513286e-22,2.063882492181038e-29,1.9443901224285456e-22,8.3387441448616434e-28,5.6496031919566202e-28,9.1729955470038314e-23,6.8616794877257935e-27,5.621777090757581e-28,5.4779486016144201e-28,3.8537904753423604e-35,2.3086399750190244e-39,7.7392992298986861e-23,5.7892315609060003e-27,1.5470885190174006e-35,2.0957320043178787e-23,1.9975391646892965e-28,9.2679390437664878e-40,1.741999859492293e-35,1.6844006764012056e-46,4.095663679099801e-50,4.961736261950483e-30,1.1127566891119153e-49,1.3115825159374406e-40,5.5595024516678113e-47,1.7466612756570958e-46,4.3564564698576025e-24,6.9974670644787111e-35,1.4484486810229286e-34,5.1127585948398336e-30,3.7384987058651463e-60,2.1233816318219017e-47,3.310331175855862e-46,1.3155933521358097e-51,8.4985115285061983e-36,1.0987840388848134e-44,4.5412248443510972e-49,6.9804202880156904e-35,4.1816773022993014e-39,4.471497131027101e-58,5.9037961042354261e-35,9.4550352420937656e-47,2.5518234230248435e-62,7.7258210306799725e-47,6.9706089740066578e-35,4.1757992690408273e-39,1.3110604929607828e-40,1.4438759574594355e-44,8.9616104259565218e-30,7.4984234645286507e-57,3.6485075441797768e-57,7.6424506814270635e-63,9.0908115930927561e-38,5.4459126340852047e-42,9.8976752181143956e-49,2.3995397033165601e-52,3.9154878337080288e-67,2.3054856259429102e-70,3.2460948432661728e-78,2.0947602031724596e-62,2.7010727021722486e-62,1.4335817123710817e-43,2.6819805413996631e-56,3.7594551926260136e-65,4.2115455309895836e-75,4.0015284650066905e-76,2.2643456775942232e-75,1.5111546914065799e-74,5.9447859846853209e-75,2.4253043350576101e-80,6.2189355771985413e-83,2.8251216217237887e-33,1.7935888677402239e-52,1.0583559416569987e-26,1.5091086120446753e-57,4.3421435312645685e-66,1.0941799482725945e-30,1.0915864506069999e-91,6.1286080976631632e-93,8.4069374488560348e-94,1.2065358807988937e-44,3.9597632058341416e-46,1.1302055832086338e-91,2.35791964266013e-97,3.0260567405141678e-98,1.7857642936487778e-105,5.8872646280782447e-46,2.2852730119542855e-106,4.0993761030696146e-38,5.7669832844342493e-36,1.3399948917868921e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.448286000514442e-45,5.2322034599526855e-47,3.6898360985854337e-49,2.6639425346194636e-50,1.5533567983244558e-46,9.1964917061277376e-52,3.2278473826933266e-55
5.11e-13,0.0018705664880750658,5.473398354740743e-22,5.4733980425872561e-22,5.3333659213336678e-22,5.3333548690737759e-22,8.2730394576664578e-29,3.8942209179834987e-22,3.3425692553736871e-27,2.2646345019843234e-27,1.8370278098020194e-22,2.7503190072538693e-26,2.2534803632979732e-27,2.1958268410760685e-27,3.0905081420509858e-34,3.7034723054865873e-38,1.549909145154829e-22,2.3204576924025844e-26,1.2406754343178303e-34,4.1972884823071907e-23,8.0070538719587819e-28,1.4867473686582237e-38,1.3970470671841441e-34,5.4031918389101234e-45,2.6277296184561857e-48,1.9888483257304628e-29,1.7867891643338855e-48,2.1038473470015835e-39,1.7856392422877081e-45,5.604000808337899e-45,8.7251059278617199e-24,5.6115780277113376e-34,1.1615540008476038e-33,2.0493829253748599e-29,3.1050375072402613e-58,1.7027626715929366e-46,1.0392418333012989e-44,2.1098806849591894e-50,6.8157291801560383e-35,1.7627026172432426e-43,1.457175777123348e-47,5.5975624006938807e-34,6.7077955927077578e-38,1.4342590741354395e-56,4.7345158919013666e-34,3.0335856620175051e-45,1.6371059775800172e-60,2.4788219319348533e-45,5.589698922384557e-34,6.6983708935858333e-38,2.1030639441250233e-39,2.2654311998120748e-43,3.5922549988495346e-29,3.6272941930070256e-55,3.5336433968192902e-55,1.4810931497596875e-60,7.2903267739356939e-37,8.7362691370810364e-41,3.1749712300359618e-47,1.5395221167160101e-50,4.0589313999083821e-65,2.9582128075822859e-68,8.30916470325583e-76,1.7186972388106805e-60,4.4353770691140485e-60,2.2998320576181653e-42,4.3022301035941785e-55,8.7052975941479961e-64,1.4057582745813595e-73,1.7169997134597279e-74,1.6122610846204665e-73,2.2551435784252566e-72,4.4331562377662511e-73,2.0797816058432215e-78,1.067726700913379e-80,1.1324476263873611e-32,5.7552402806394068e-51,2.1186518216204896e-26,9.6852625793601293e-56,8.4153656049674701e-64,4.3858076998770496e-30,3.5385221487056019e-89,3.5403645182948026e-90,9.7150709974566226e-91,1.8758340085951723e-43,1.2319988136345122e-44,8.7750700675071082e-89,3.6616866521387524e-94,4.6992580082381146e-95,1.4975351779090057e-102,2.3598794872601421e-45,3.8331708106754205e-103,3.2876460731828542e-37,4.6250723562765329e-35,5.9261777285242811e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.1948935586128642e-43,4.6721895198610794e-46,3.295753422069764e-48,4.781734837007704e-49,2.492006167830133e-45,7.3726192097710294e-51,5.1723735093753781e-54
