Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711)
0.0,0.002888569924253667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002888569924253667,4.0235098928814629e-25,4.023509892339054e-25,3.9236610371531449e-25,3.9236610221886509e-25,1.2190208383917756e-34,2.5129695050190764e-25,4.5716928033715986e-33,3.1032711594023986e-33,1.1842382608723062e-25,3.3660145111090166e-32,3.08733610915302e-33,3.010719675454564e-33,1.1479672558054949e-42,3.2629197761420218e-49,1.0010685528417838e-25,2.8453828831892918e-32,4.6927916145779614e-43,2.7505693662965655e-26,9.539034516205568e-34,1.3338535983899525e-49,4.9822588823764948e-43,1.4754185328496368e-58,2.3707326848581776e-64,2.5001405852369368e-35,9.5251376802069966e-60,1.9778315319272984e-50,3.5839899561874204e-59,1.2438654460446136e-58,5.27370235281848e-27,1.3230244463843894e-42,3.7346316873108136e-42,2.5793314454501694e-35,2.1844469947285161e-76,2.6457035598349709e-55,1.9305708271283505e-58,7.7013285637222462e-62,1.7958089291148226e-43,1.0401895201386091e-54,2.6570411808383681e-61,1.6629160099710441e-42,4.7265821483666868e-49,1.6664451808513378e-70,1.1183882604687615e-42,6.2037501718011942e-59,4.7366132815580157e-77,3.7231389074971769e-59,1.6603239670161374e-42,4.7192146640077573e-49,1.967703007820856e-50,1.2257932366131261e-54,4.0466389147913987e-35,3.298461742550585e-71,1.1961722684105363e-73,1.2370685955995445e-81,1.9941937436806924e-45,5.6681879805447534e-52,6.2697657709013209e-61,1.0044059600252325e-66,4.8365163006570144e-85,1.8686243155599908e-87,1.371268329817811e-97,9.2348636229494808e-79,8.932713901774267e-81,1.6399031511956854e-53,1.3547774538382795e-66,1.243442015074336e-77,9.4085207826975311e-90,3.9020028203111479e-92,2.1652747633111463e-93,4.5410197880908024e-93,2.3366353028316213e-91,1.1761572527303368e-98,2.2866687080190684e-103,1.0977717148842729e-38,9.4960681882620811e-65,1.3190046865684385e-29,4.7170771558228707e-72,6.1254589261812939e-85,4.4538557415394546e-36,2.2059720162573811e-114,1.043148256559516e-117,1.0396758346129626e-120,1.0361260017137039e-54,2.3328521211756716e-58,-1.0394242460726047e-115,-1.0749617620724705e-123,-1.6153572336824995e-124,-5.3390591586279713e-131,1.4335792643306243e-51,-4.8139687019340856e-134,7.2534338428271592e-46,1.2209895639621045e-43,7.605577246305936e-55,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,7.0644776305061241e-55,2.0536652541694911e-56,1.1643026612619719e-58,5.7987224194929798e-62,1.2439625293183613e-56,8.1745009814797873e-60,1.3382668222048676e-65,1.1897518047317317e-66,2.6718311119640111e-59,6.5704008361810866e-66,1.3452735050597705e-69,3.8237322381538733e-76,1.0480707300279891e-83
3.0000000000000002e-15,0.002888569924253667,1.3220103832711957e-24,1.3220103829147546e-24,1.2892029021710211e-24,1.2892028923372119e-24,8.0107083380175121e-34,8.2568998044615145e-25,3.0042552553579017e-32,2.0392924693241398e-32,3.8910674626047991e-25,2.2119521150625948e-31,2.0288208646989989e-32,1.9784729225217405e-32,1.0823690211654306e-41,4.0087297063133997e-48,3.2892243097282477e-25,1.869822803450905e-31,4.424631685921318e-42,9.0375847542563624e-26,6.2685083036427788e-33,1.6387343030301065e-48,4.6975582178699381e-42,2.2342042998341071e-57,4.2673173752735979e-63,1.6429494265127407e-34,1.2273728181583596e-58,2.4271280127573672e-49,5.6421895391659592e-58,1.8818197648806269e-57,1.7327879256842992e-26,1.2474229401987648e-41,3.5212237268816042e-41,1.6949891302439666e-34,4.5505615884786811e-75,2.494520145389864e-54,2.9233488101726693e-57,9.4616280306935942e-61,1.6931912700713881e-42,1.2779470644985583e-53,4.0235193661788232e-60,1.5678919606274985e-41,5.806942989210429e-48,2.5234730187859336e-69,1.0544802678683834e-41,9.3942490094258471e-58,8.525900743461921e-76,5.6378954375551689e-58,1.5654480371509958e-41,5.7978915155749461e-48,2.417463368509727e-49,1.5059192978043262e-53,2.6592198646946098e-34,6.1317017288178305e-70,2.5653899031790589e-72,3.0065469343779663e-80,1.8802396540756874e-44,6.963773338696434e-51,9.4942129314651818e-60,1.8079301181175531e-65,1.1687669957499372e-83,3.8974151815990928e-86,3.2518563635990518e-96,1.9236003842346407e-77,2.1158837047717847e-79,2.0147381055232683e-52,1.6644406906880705e-65,1.8812966643753025e-76,1.6912954995255964e-88,8.0719102946388357e-91,5.0833978947528541e-92,1.0743652668538652e-91,4.8606695576768986e-90,2.7691051439173811e-97,6.0369899431021609e-102,7.2139284129536579e-38,1.4379759965450844e-63,4.3338648320910676e-29,8.4907386649370003e-71,1.488719415199538e-83,2.9268192503856491e-35,6.4539236903886478e-113,3.3496367614454289e-116,3.6355367610689051e-119,1.2728880789562697e-53,3.5324544125380253e-57,4.3043060756214158e-114,4.1443367162942874e-122,6.2277417867700152e-123,2.0663521612986564e-129,9.4206635541762433e-51,1.7255867899485891e-132,6.8389518420677991e-45,1.1512187291511717e-42,7.1135238270677903e-54,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.6792151518099873e-54,2.5073341778563905e-55,1.4442416296469721e-57,8.8497153714661458e-61,1.5282968102200273e-55,7.7073826483101863e-59,1.644153927262608e-64,1.4616940062992076e-65,2.5191546580411296e-58,8.072205719689589e-65,1.6527638205574231e-68,5.7902208767186681e-75,1.8865181305162142e-82
7e-15,0.002888569924253667,2.9314142631051277e-24,2.9314142611679475e-24,2.858667240231686e-24,2.8586671867870735e-24,4.3536457348865699e-33,1.8308777841800884e-24,1.6327473668246456e-31,1.1083111003913141e-31,8.6280120211217175e-25,1.20214690563902e-30,1.1026200103002961e-31,1.0752569981322917e-31,1.7481883990713784e-40,2.0276695729946933e-46,7.2934913638461208e-25,1.0162072175486058e-30,7.1464445337423797e-41,2.003985987456929e-25,3.4067976632008542e-32,8.2889396093244658e-47,7.5872659496005791e-41,3.6897871012803689e-55,2.3757974795331337e-60,8.9290694008168667e-34,7.0331783637318381e-57,1.2245157919499366e-47,1.0641818752383422e-55,3.0992279436867094e-55,3.8422689414829503e-26,2.0147754344655183e-40,5.6873033910436967e-40,9.2118937216955355e-34,8.532545982813147e-72,4.0290227532417774e-53,4.8257925480754742e-55,4.7857979488478499e-59,2.7347603554262887e-41,6.464030908265191e-52,6.6448768253144473e-58,2.5323789697537121e-40,2.9372279754006369e-46,4.1675120580888349e-67,1.7031440402577258e-40,1.5514660007976487e-55,4.7467298579868607e-73,9.3110221486535153e-56,2.5284317035851531e-40,2.9326496571421703e-46,1.2227847193724706e-47,7.6137967685511853e-52,1.4452282099786834e-33,3.8816370001138555e-67,5.6331164380081234e-69,2.3305822735495162e-76,3.0368695367066288e-43,3.5223708941716619e-49,1.5679688296268998e-57,1.0065518361286612e-62,7.9561264175240621e-80,7.4943588928884027e-83,2.2000562810683761e-92,3.6002692486244616e-74,1.3932013056153381e-75,1.0190823327093546e-50,8.4189622600901949e-64,3.0673532567909771e-74,9.1807764709827478e-86,1.321185870554509e-87,2.8710141492612176e-88,6.8871181184554965e-88,8.858462999003348e-87,1.5931232425901028e-93,1.2389916635802445e-97,3.9206132709401879e-37,2.3748298536102584e-61,9.6098245843952864e-29,4.7271829086634754e-68,1.154010216319027e-79,1.590661798236586e-34,4.7743587298759153e-108,9.0033091338140651e-111,3.5893392373041544e-113,6.4343969252998658e-52,5.830178255293849e-55,6.1543138352461221e-109,2.545895126152262e-116,3.8257456589127016e-117,1.0932499015202849e-123,5.1199251953103253e-50,3.942921744224399e-126,1.1045942381741457e-43,1.8593926345860457e-41,1.0708353962069019e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,4.3900667719704418e-52,1.181294459095688e-53,7.0616723272657777e-56,1.4156549733392018e-58,7.7303377779955744e-54,1.2448531646348186e-57,8.31621093743504e-63,7.3933873711915895e-64,4.0688106829260093e-57,4.0830280828985346e-63,8.3598631674344255e-67,9.562549449032123e-73,1.0502199014264223e-79
1.5e-14,0.002888569924253667,6.1502218259618886e-24,6.1502218173918045e-24,5.9975957208606114e-24,5.9975954844216659e-24,1.9260527988939044e-32,3.8412533960421681e-24,7.2232739498274634e-31,4.9031681299801026e-31,1.8101879540105291e-24,5.3182906865765596e-30,4.8779907428549133e-31,4.7569367761774438e-31,1.6258457259317814e-39,3.8997393111382566e-45,1.5302007253680378e-24,4.4956946468645527e-30,6.6463186857908501e-40,4.2044404146428665e-25,1.5071670452178474e-31,1.5941801567287941e-45,7.05629629290094e-40,1.4475784486371375e-53,1.8845569091448659e-58,3.9502176797846402e-33,1.3968998671225374e-55,2.3535906439909393e-46,4.3112708723825449e-54,1.2151376543835262e-53,8.0612311631499399e-26,1.8737765945834017e-39,5.2892894504789705e-39,4.0753390447541315e-33,1.3154658254390039e-69,3.7470591070791455e-52,1.892051481111441e-53,9.204281060777346e-58,2.5433783083906036e-40,1.2432029760970248e-50,2.6069412402120754e-56,2.3551539621842994e-39,5.6490520220271096e-45,1.6349984219738919e-65,1.5839539238218768e-39,6.0867523898312507e-54,3.7652518363954096e-71,3.6529266039496579e-54,2.3514829897415571e-39,5.6402468307924826e-45,2.3517325591913294e-46,1.463368735830193e-50,6.3936897673607952e-33,3.1336580067896165e-65,9.1474364224814141e-67,7.5914359444143986e-74,2.8243421594367696e-42,6.7744422738027399e-48,6.1514609606770814e-56,7.9842850064700708e-61,2.2155788264788758e-77,1.1958271551463869e-80,7.0413932244566885e-90,5.5371574305626167e-72,4.2987245276641363e-73,1.9599638340237499e-49,1.6191858414043556e-62,1.1814926740309822e-72,7.0286299262448217e-84,1.729706688901209e-85,7.474506098976169e-86,2.0540161481079276e-85,1.3167848790647984e-84,4.1863054668197007e-91,6.5235557936921274e-95,1.7344793132911399e-36,9.3170160227524307e-60,2.0161593925229352e-28,3.7497796519083632e-66,3.7589767036949495e-77,7.0370816380628097e-34,5.0228111063507381e-105,1.8876148905765628e-107,1.5054240668594722e-109,1.2363392286701651e-50,2.2852097743034106e-53,7.8062428895006382e-106,6.4610541451219451e-113,9.7091002296196124e-114,2.3502361098256283e-120,2.2650544293444949e-49,1.6956687199278473e-122,1.0272932131881175e-42,1.729269977267918e-40,8.9919158184843667e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.4432550827496017e-51,2.0597814920515731e-52,1.2426918014141841e-54,5.092872437795628e-57,1.4867481073883571e-52,1.1577281731222614e-56,1.5993842507190523e-61,1.4219251479305586e-62,3.7840618390957971e-56,7.8527245344669124e-62,1.6078091875446157e-65,3.7515841737345611e-71,8.3297113521395618e-78
3.1e-14,0.002888569924253667,1.2587836164431096e-23,1.2587836128709497e-23,1.2275451900148921e-23,1.227545091463053e-23,8.0281218210641727e-32,7.8620046373429707e-24,3.0107856505611467e-30,2.0437254497169254e-30,3.7049528186271661e-24,2.2167499972292769e-29,2.0332310739700397e-30,1.9827736784900664e-30,1.3722073816161248e-38,6.6304338886825293e-44,3.1318966160078416e-24,1.873878616863973e-29,5.60946763753018e-39,8.6053468815094673e-25,6.2821319230900318e-31,2.7104651879941297e-44,5.9554970620113109e-39,4.9416339014662203e-52,1.2892965220441641e-56,1.6465171669542396e-32,2.412224923750219e-54,4.000445379935082e-45,1.4953356898785581e-52,4.1469452111924271e-52,1.6499156366745595e-25,1.5814605087913478e-38,4.4641361638865041e-38,1.6986698306029995e-32,1.687889709527939e-67,3.1624991644580678e-51,6.450785889993245e-52,1.5649142726562038e-56,2.1466069704255328e-39,2.1137268193567802e-49,8.8995217448169241e-55,1.9877362095739892e-38,9.6046381993315039e-44,5.5814256753400643e-64,1.3368512601510192e-38,2.0778739715606782e-52,2.575947056379465e-69,1.2470243684495269e-52,1.9846380128267062e-38,9.589667774114501e-44,3.9984658305079622e-45,2.4848229633374804e-49,2.6650010241492404e-32,2.1183400416561681e-63,1.2382562017455786e-64,2.0565290144407889e-71,2.383734443777869e-41,1.1518079145853762e-46,2.0999397005333148e-54,5.4623519336886458e-59,4.6527701955640538e-75,1.6379224830861118e-78,1.9296312685626945e-87,7.0739464519415976e-70,1.0990984728142968e-70,3.332385279634261e-48,2.7529768648757395e-61,3.8925552764590867e-71,4.4884443176976704e-82,1.7096005912356868e-83,1.4581572060120698e-83,4.9542666647079985e-83,1.5868260340637254e-82,8.2842411015746742e-89,2.5835007210400761e-92,7.229610899042996e-36,3.1806240488811272e-58,4.1264531969456489e-28,2.5654070313383117e-64,1.0183135385603198e-74,2.9331727728060181e-33,3.96461890972624e-102,2.9564978782260348e-104,4.7161555302199846e-106,2.098153829560734e-49,7.7869570807583799e-52,8.6575194942216909e-103,1.4332087779106358e-109,2.1536994098227216e-110,3.9936101673074977e-117,9.4411361849707126e-49,5.7630446351050843e-119,8.6703356134882749e-42,1.4595009733115133e-39,6.3652969548349582e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.4355458174421619e-49,2.9547941743326812e-51,1.790442979724921e-53,1.4776755238538247e-55,2.5278122691968586e-51,9.7710641001030785e-56,2.7191758614967518e-60,2.4175362188787006e-61,3.1937281021537743e-55,1.3351373733215876e-60,2.7335992023926233e-64,1.2806886280700429e-69,5.6973595485478775e-76
6.300000000000001e-14,0.002888569924253667,2.5463061692393041e-23,2.5463061546825613e-23,2.4831161130848058e-23,2.4831157114808601e-23,3.2715026875697347e-31,1.5903507190249704e-23,1.2269112148092324e-29,8.3282908602216852e-30,7.4944479914603541e-24,9.0333286667268058e-29,8.2855256797626093e-30,8.0799090512827008e-30,1.1230706299397339e-37,1.0877937868036381e-42,6.3352592482476519e-24,7.6361167415296332e-29,4.591019110584093e-38,1.7407150265232131e-24,2.5600012325191771e-30,4.4468100897103453e-43,4.8742399695758913e-38,1.6233267986244621e-50,8.4757927317338004e-55,6.7096293939365823e-32,3.9883227524914413e-53,6.5621757473585282e-44,4.9516843968944215e-51,1.3621018366195927e-50,3.3375009814847077e-25,1.2943326828700852e-37,3.6536262251657514e-37,6.9221535685531617e-32,1.9707092459796073e-65,2.5883121867817726e-50,2.1137491892402976e-50,2.5673424871409114e-55,1.7568802357834277e-38,3.4678026112115543e-48,2.9235867267066075e-53,1.6268373303154189e-37,1.5757371115980227e-42,1.833492912374307e-62,1.0941343782088818e-37,6.8259767184228485e-51,1.693414009695794e-67,4.0965795357220127e-51,1.6243017855597808e-37,1.5732811773481878e-42,6.5598843885193051e-44,4.0660671195659598e-48,1.0860024797019173e-31,1.3303898773186474e-61,1.556226145002365e-62,5.1707046135181495e-69,1.9509470415651245e-40,1.8896656184002882e-45,6.8983051329525778e-53,3.5909336362165993e-57,8.0690521862633211e-73,2.1541798174339159e-76,5.0748611668550096e-85,8.2000063731730989e-68,2.549139944234236e-68,5.4671549609512886e-47,4.5165432257901441e-60,1.1952961404605775e-69,2.5882417748022283e-80,1.3726932235334017e-81,2.283416790078484e-81,1.0511166401032484e-80,1.6824398481152905e-80,1.3314426865076168e-86,8.309267025576974e-90,2.946105662225506e-35,1.0448688712752843e-56,8.3468005649390513e-28,1.6865442781963911e-62,2.5603442015454932e-72,1.1952797384493719e-32,2.5319795025753628e-99,3.7173657652118159e-101,1.1860688742990299e-102,3.4295359422751567e-48,2.5487969087883893e-50,8.807146051521623e-100,2.9160760469683123e-106,4.3820214941531203e-107,5.5394666003156495e-114,3.8473110389527231e-48,1.5988695196258057e-115,7.0961921331107045e-41,1.1945216931109253e-38,3.9302280771327658e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.3551752631178508e-48,3.6897501377258584e-50,2.2405995166808015e-52,3.7186918717095908e-54,4.1471671500642551e-50,7.9968490003569686e-55,4.4606506194141194e-59,3.9660429192559758e-60,2.6138692304411005e-54,2.1904281605566298e-59,4.4846381247177138e-63,4.2070700440359046e-68,3.7437043400585246e-74
1.2700000000000001e-13,0.002888569924253667,5.1213500152417201e-23,5.1213499564987168e-23,4.9942567080741801e-23,4.9942550874219183e-23,1.3201987882496895e-30,3.198651257727206e-23,4.951139093236719e-29,3.3608407940400347e-29,1.5073300114088122e-23,3.6453178242407803e-28,3.3435830866876736e-29,3.260607480102189e-29,9.0796765048587989e-37,1.7604639995104439e-41,1.274186791871518e-23,3.0814857516485505e-28,3.7116983702770743e-37,3.501071883271975e-24,1.0330749064341865e-29,7.1966338046299032e-42,3.9406998484564066e-37,5.2563968075942579e-49,5.4902529244449497e-53,2.7076246964798888e-31,6.4797362041839322e-52,1.0619234321736738e-42,1.6099056343270198e-49,4.4104342471079833e-49,6.712672887359831e-25,1.0464288817560668e-36,2.9538344472686347e-36,2.7933871942989172e-31,2.0850330676273938e-63,2.0925594359633759e-49,6.8101257656817151e-49,4.1547189734362263e-54,1.4203980491030356e-37,5.6122462259741861e-47,9.467297091877082e-52,1.3152356139429536e-36,2.550119880183754e-41,5.9368874901272639e-61,8.8457463197384262e-37,2.2103823383559813e-49,1.0969139775122184e-65,1.3265563180777619e-49,1.3131859411123603e-36,2.5461456476946917e-41,1.0616298084654604e-42,6.5465592625285211e-47,4.3825116928770238e-31,7.8322067394991399e-60,1.8333294520183325e-60,1.2185955937603894e-66,1.5772820689775163e-39,3.0582014645016079e-44,2.2337005802470992e-51,2.3260538885468558e-55,1.1732423621474806e-70,2.7910752166932613e-74,1.3143118548345031e-82,8.5863361738548017e-66,5.3409507378491384e-66,8.8479989091985299e-46,7.3094502655846896e-59,3.4233010710291074e-68,1.3200415641518719e-78,8.9528574913083639e-80,2.837955763704031e-79,1.9636829422592561e-78,1.5706019890494312e-78,1.7380823408703459e-84,2.1709689225035125e-87,1.1888867906170318e-34,3.3835460714035007e-55,1.6786534450499435e-27,1.0925408107458185e-60,6.0340947662567744e-70,4.8234610823038411e-32,1.3040928865446109e-96,3.7129723160423432e-98,2.3695781388156792e-99,5.5096090941269372e-47,8.1940551136822376e-49,8.3499518619235758e-97,5.5295933687930224e-103,8.3093849808559789e-104,6.4301822993798101e-111,1.5525613316671161e-47,3.7121787801448896e-112,5.7371069526962297e-40,9.6574398427509593e-38,2.1212101458763885e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.8115963404728969e-47,4.0324495887148577e-49,2.4513157876314022e-51,8.1853700785427747e-53,6.7117582955648738e-49,6.4648975526928631e-54,7.2175764979154438e-58,6.4179686841314554e-59,2.1132182830298648e-53,3.5449201952411285e-58,7.2574470142427363e-62,1.3622710610571613e-66,2.4227838722044862e-72
2.55e-13,0.002888569924253667,1.0271432668891617e-22,1.0271432432907889e-22,1.0016532893455435e-22,1.0016526382936245e-22,5.3035354047431459e-30,6.4152524476059652e-23,1.9889833840765891e-28,1.3501253682469532e-28,3.0230451487682269e-23,1.4643760631427879e-27,1.3431925354195494e-28,1.3098593447686612e-28,7.3005157448285118e-36,2.8321203663421105e-40,2.5554618900778007e-23,1.237876791872383e-27,2.9843955418220369e-36,7.0217703168539628e-24,4.1500863676772577e-29,1.1577491167133652e-40,3.1685664004241684e-36,1.6913664089118832e-47,3.5335868812025123e-51,1.0877031380677324e-30,1.0444462409896299e-50,1.7082624814225679e-41,5.1912638804855784e-48,1.4192499289721274e-47,1.3463021563255488e-24,8.413832719118196e-36,2.3750172931797093e-35,1.122155391598451e-30,1.9632936439371241e-61,1.6825061087342394e-48,2.1695848604238535e-47,6.6831430992682128e-53,1.1420955542741779e-36,9.028691636867424e-46,3.0467108368901069e-50,1.0574965951365072e-35,4.1023968855970294e-40,1.9103070312899096e-59,7.1124408606301735e-36,7.1130814760468799e-48,7.0597738398171578e-64,4.2689343700723932e-48,1.0558489350417633e-35,4.0960046946240021e-40,1.7078524684908227e-41,1.0424308275930707e-45,1.7605552651842765e-30,4.2453449678199808e-58,1.9889254973026359e-58,2.6449571957670985e-64,1.2682173553994919e-38,4.9198488763857424e-43,7.1874569884595092e-50,1.4970762875806617e-53,1.4414742304138372e-68,3.5928720682211438e-72,3.3796304388679903e-80,7.9866285051615359e-64,9.9418178367457935e-64,1.4234290440452907e-44,1.1758859891369654e-57,8.9444864814355315e-67,5.6549298248402398e-77,4.7186196306952319e-78,2.7324043267778571e-77,3.2444016816751757e-76,1.2966016717089608e-76,1.8329571552714089e-82,4.5831305083071659e-85,4.7760285420170201e-34,1.0888746419954784e-53,3.3662159723555405e-27,7.032615586887621e-59,1.3097215349342969e-67,1.9376675574836278e-31,5.3515672225831073e-94,2.8725833160401743e-95,3.667036570973931e-96,8.7354026083183971e-46,2.5994292698984114e-47,7.270563534651278e-94,9.6300299299043995e-100,1.4471160109081219e-100,6.3323031916124487e-108,6.2369712895859285e-47,7.3119084061411125e-109,4.6130128164936908e-39,7.7652332660366224e-37,1.0193630021943531e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.1319365268910824e-46,3.9234879332042348e-48,2.3863351379316446e-50,1.6031290763548269e-51,1.0797650205647057e-47,5.1976105702899714e-53,1.1606499197126261e-56,1.0322892499052827e-57,1.6991116643063371e-52,5.7027557302238539e-57,1.1674015100383662e-60,4.3834526486542618e-65,1.5564724642635879e-70
5.11e-13,0.002888569924253667,2.0571577822811314e-22,2.0571576876874741e-22,2.0061065245862521e-22,2.0061039148577265e-22,2.1259150179041218e-29,1.2848455277186446e-22,7.9728088698709665e-28,5.4119597098791537e-28,6.0542542912157486e-23,5.8696905913992874e-27,5.3841693528623364e-28,5.2505535181289073e-28,5.8547046253004932e-35,4.5433274439942353e-39,5.1178255566813738e-23,4.9618094017135822e-27,2.3933648576794212e-35,1.4063106064896198e-23,1.6635502424699685e-28,1.8572816998918927e-39,2.5411297309126026e-35,5.4258491798340735e-46,2.267237429140904e-49,4.3599584857638251e-30,1.6771457541183837e-49,2.7402754775719933e-40,1.6674101538759771e-46,4.5537501892711524e-46,2.6963738364637858e-24,6.7475684484334078e-35,1.9046410560024573e-34,4.498056109009155e-30,1.6386953564461668e-59,1.3492718680446273e-47,6.8246278924743568e-46,1.0718949044576907e-51,9.159511293502495e-36,1.4484190949887257e-44,9.7762563483178779e-49,8.4803724857672061e-35,6.5808962151688058e-39,6.1280568404856894e-58,5.7039033584021852e-35,2.282282646451301e-46,4.5296183274699156e-62,1.3697393456904822e-46,8.4671650396466453e-35,6.5706459320177055e-39,2.7396687832410217e-40,1.6388502718869802e-44,7.0571762272192294e-30,2.0666328083642901e-56,1.9384541030716459e-56,5.1581888017621321e-62,1.0170620711571632e-37,7.8925313866479403e-42,2.3057210377045717e-48,9.6056472817199452e-52,1.5044631506823578e-66,4.6105551403297545e-70,8.6524111308341441e-78,6.5898475889324334e-62,1.6417468716350389e-61,2.283550189603818e-43,1.8863376624624549e-56,2.0837890774467396e-65,1.9353200267882342e-75,2.024612326015141e-76,1.9969848333374942e-75,4.8512208909219569e-74,9.6877976269163773e-75,1.5720466313145842e-80,7.8700908117531164e-83,1.9144669758298672e-33,3.4939794291879104e-52,6.7398047503135779e-27,4.5134607003213578e-57,2.5543073549783912e-65,7.7669120831996617e-31,1.7399081134776602e-91,1.6754484699835023e-92,4.2785374445830268e-93,1.3619526849917994e-44,8.1100688426262615e-46,5.6804914748929158e-91,1.5048873892990607e-96,2.2614122884704302e-97,5.3402188132905096e-105,2.5000681437164258e-46,1.2333748531423837e-105,3.699586662237543e-38,6.2276559213911912e-36,4.5142817913656446e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,9.8372195124397228e-45,3.5088802055162941e-47,2.1347175094575176e-49,2.8820539818999474e-50,1.7322411812277599e-46,4.1674763379443258e-52,1.8604345190584461e-55,1.6553977392069107e-56,1.3625804721689332e-51,9.1481778222186068e-56,1.8723469361365642e-59,1.4062187666591099e-63,9.9502462431778746e-69
