Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654),S(11179),S(11193),S(12065),S(11559),S(10226),S(11013),S(13044),S(13047),S(14368),S(13836),C5H8(9850),S(15615),CHO(330),S(16928),S(16826),S(456),S(18023),CHO3(881),S(10202),S(18746),S(18747),S(18745),S(18626),S(19256),S(19255),S(18650),S(19434),S(18838),S(19740),S(19976)
0.0,0.0017113643982015045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0017113643982015045,3.125809033545966e-26,3.1258090336120348e-26,3.0543805470345546e-26,3.0543805281208126e-26,4.6345988396686961e-36,7.3434212669438448e-26,5.678887830270603e-34,3.8755359772832212e-34,3.4485175792439839e-26,1.6544350903268391e-32,3.8535475054421483e-34,3.7654893212245598e-34,7.8364671922315029e-44,3.7595650910908318e-50,2.9289781765832657e-26,1.4051847391313926e-32,3.3585316210134933e-44,8.3615942184444727e-27,4.3781490095299464e-34,1.6112640968149165e-50,3.0594018255239151e-44,1.0087829955725982e-59,1.0916845955192521e-65,2.5382956660508757e-36,5.4709366598774551e-61,2.6875737819433677e-51,2.0274989815341584e-60,2.5992136921770536e-59,1.2982957864705349e-27,7.7095728159015677e-43,9.2483192197029658e-43,2.6193745159359762e-36,2.6371228064507429e-78,7.5542849890990831e-57,2.2848877460524097e-59,3.6179654183255486e-63,2.6446712653535861e-44,4.2326781970518363e-56,6.3756652841454177e-63,3.3588856164630676e-43,1.6114339282428191e-49,4.9910522115613103e-72,6.5480804472047239e-43,1.0605762623430166e-59,2.3944700107885037e-78,1.5036855657739259e-59,3.3524894744573587e-43,1.608365362553372e-49,2.6813020874410474e-51,1.8741758855790626e-55,1.6005598665203629e-35,4.892981128287286e-73,1.6119495898999338e-75,2.6758646140549219e-83,3.2443396982700092e-46,1.5564802314817277e-52,9.7448382226504409e-62,1.0512854977409308e-67,2.3021602684483142e-87,1.1193391159055442e-88,2.8642559795933871e-99,2.5380648539070198e-80,2.242104033929169e-82,1.0766426033468619e-54,4.3327942427912287e-68,4.1045306535711548e-79,3.3158508681266047e-91,1.0321696874070622e-93,5.5087097220639898e-95,5.8293193326760944e-96,3.1110842427347538e-94,5.1146065123143506e-100,9.3163691538390784e-105,2.9566883613744041e-39,1.7225330067711049e-66,6.659521746441322e-31,4.684110866319823e-74,9.2454829462061129e-87,1.3359153423318105e-36,3.0924526526410911e-116,1.2729570217059521e-119,1.0525316876108674e-122,1.5917377862503756e-55,2.7657288625046156e-59,-7.7314576203809995e-118,-1.2834357472706167e-125,-5.5375436835330544e-127,-8.1135533240750514e-134,1.1280750448729499e-52,2.4197663795179807e-101,3.5522602721822806e-46,1.8079652647169801e-44,1.2342771026290465e-55,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.8901239067313512e-56,3.2093705776974007e-57,1.2312106612387672e-59,5.0871001624727877e-63,1.7305019461981922e-57,6.3906463383572821e-61,1.6858805280981185e-66,1.5303348682933749e-67,2.3350881276326705e-60,4.7804174251872834e-67,4.4515847092417585e-71,2.1356590460142895e-77,4.78492547474006e-85,6.5477403903395539e-86,1.7273263114745192e-91,1.7273262711453018e-91,7.6867345312373324e-94,2.2422940080985302e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9986770863849242e-83,0.0,0.0,0.0,0.0,0.0,6.5157368216956615e-107,5.8078262220007168e-119,7.6960776287272173e-80,3.4277838096496955e-86,2.094741402347e-96,3.640611446796006e-72,6.3525428523457974e-76,1.1165424943834428e-100,4.6888518465044031e-93,2.0081641730120186e-98,1.235533949499804e-98,1.1224026750000852e-99,1.5344412952108206e-101,8.0950562072270098e-107,6.5867186101104257e-107,1.645113191132259e-103,6.5178596163016516e-114,6.5218720799363435e-114,3.6902234716997718e-117,5.7589695163555554e-127
3.0000000000000002e-15,0.0017113643982015045,1.0270515268667681e-25,1.027051526910184e-25,1.003582167334626e-25,1.003582154905595e-25,3.045593506154932e-35,2.4128384164980923e-25,3.7318405438716776e-33,2.5467807712786779e-33,1.1330838033281944e-25,1.0871999744326983e-31,2.5323312041292631e-33,2.4744643975499085e-33,7.3886679146369808e-43,4.618893700156923e-49,9.6237808198182841e-26,9.2340692106048001e-32,3.1666150470612184e-43,2.7473808138177793e-26,2.8770692836531228e-33,1.9795528012960416e-49,2.8845787835554132e-43,1.5275851658621879e-58,1.9650317166164445e-64,1.6680226605670316e-35,7.0535952558911017e-60,3.3002035799233888e-50,3.1933089601340354e-59,3.9343343781545675e-58,4.2658290046833864e-27,7.2690247363996563e-42,8.7198423241027679e-42,1.7213030387417214e-35,5.4940583268394379e-77,7.1226096652147819e-56,3.4598929798917544e-58,4.4449271651824392e-62,2.4935471789762952e-43,5.2001473369878315e-55,9.6545786425084923e-62,3.1669483663775811e-42,1.9797612368378793e-48,7.5578758015277908e-71,6.1739035212315886e-42,1.6060151620159903e-58,4.310044454205522e-77,2.2770091552236043e-58,3.1609177235945331e-42,1.9759912872158595e-48,3.2941703957374174e-50,2.3024934129100919e-54,1.0517964828382792e-34,9.0998449260855089e-72,3.458401389599498e-74,6.5055396336029741e-82,3.0589484095197326e-45,1.9122469253187593e-51,1.4756464409975461e-60,1.892313367465402e-66,5.5657548717670413e-86,2.3346208529068839e-87,6.7923616872529828e-98,5.2873269310879656e-79,5.3113789786756264e-81,1.3227323129217285e-53,5.3231461251931746e-67,6.210508958284058e-78,5.9618151200103344e-90,2.1361103279139609e-92,1.2938693501087982e-93,1.3792695144993736e-94,6.4723810197354048e-93,1.2046140374400948e-98,2.4604131515094154e-103,1.9429666375504253e-38,2.6084070658256527e-65,2.1881222372256262e-30,8.4313993997152818e-73,2.2477541125432846e-85,8.7788706878514981e-36,9.0502289276078238e-115,4.0887720712848865e-118,3.6814833296886668e-121,1.9554843399900789e-54,4.1879660467436369e-58,3.2010066181593664e-116,4.9470321203524827e-124,2.1344587380756941e-125,3.1390161135096097e-132,7.413064366857367e-52,6.3065202367936344e-100,3.3492739183410114e-45,1.7046529574844321e-43,1.1547762926867002e-54,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.5507236006426896e-55,3.9193695527685274e-56,1.5281095422754306e-58,7.7672802786298466e-62,2.1260452225391984e-56,6.025460878650182e-60,2.0712219003809545e-65,1.8801239720462434e-66,2.2016540777543285e-59,5.8730833357785691e-66,5.4690852168465662e-70,3.2339957755668184e-76,8.61283036891074e-84,1.1785916033456539e-84,3.6027045352428215e-90,3.6027044396050769e-90,1.6032312453503285e-92,2.754816495900642e-70,1.869856255313293e-128,2.3051892750091273e-136,1.1918056931437314e-144,2.2825373601558425e-151,4.6386222771459976e-162,5.1613731542413494e-167,6.833778069405163e-168,3.0265664604204383e-82,1.396433246050379e-161,2.2245851377700949e-173,5.1277065303657676e-179,6.7523971792218941e-185,3.77650060002071e-183,1.5451587875196087e-105,1.5432209055069844e-117,1.3852937294273374e-78,7.1493765744484012e-85,4.9675289478150457e-95,6.5529181279560259e-71,1.3249270972892614e-74,2.5909786312749321e-99,7.1002479103336165e-92,3.613256222278044e-97,2.2235554654489267e-97,2.0202035658602967e-98,2.7619857266560442e-100,1.6883697089020322e-105,1.3737541580733311e-105,2.961199119244407e-102,1.358865150869571e-112,1.3598065706559571e-112,8.7478507580435439e-116,1.5297166281370654e-125
7e-15,0.0017113643982015045,2.2773750428966567e-25,2.2773750431326124e-25,2.2253342912209465e-25,2.2253342236718713e-25,1.6552138017220721e-34,5.3502069249326553e-25,2.0281741014475719e-32,1.384119935610798e-32,2.5124866711969179e-25,5.9086874576719126e-31,1.3762669101998449e-32,1.3448175594777526e-32,1.1933801117321501e-41,2.3362975155183135e-47,2.1339658192095905e-25,5.018509041865508e-31,5.1145559652610906e-42,6.0920174017993887e-26,1.5636243791571932e-32,1.0012840202201257e-47,4.6590306008955138e-42,2.5228086530529429e-56,1.0940180722876605e-61,9.0653332721244745e-35,4.0488084903227798e-58,1.6673847428170732e-48,6.0337975606362943e-57,6.4896060793012267e-56,9.4590120893048574e-27,1.1740560602064975e-40,1.4083844162430723e-40,9.3549002303226735e-35,1.0320681938512467e-73,1.1504065723673621e-54,5.7120756734980522e-56,2.2482953901502464e-60,4.0274562952232305e-42,2.6303060976147594e-53,1.594462236889759e-59,5.1150876965476067e-41,1.0013881473570364e-46,1.2481822719783395e-68,9.9717762961620879e-41,2.6523412729200801e-56,2.399584536648321e-74,3.7604918429656796e-56,5.1053473745728155e-41,9.9948126947983492e-47,1.666232856336853e-48,1.1642355298369899e-52,5.7162852018680596e-34,5.7767332934087264e-69,7.615623919998392e-71,5.0574758094607613e-78,4.9406585132730197e-44,9.6723986444007602e-50,2.4370319334446117e-58,1.0535326877371313e-63,3.8085179842171917e-82,4.4892546014490829e-84,4.5954160453120046e-94,9.918642087232469e-76,3.5053473998858279e-77,6.6905628856263054e-52,2.692514983839696e-65,1.0136868638482794e-75,3.2497676455657239e-87,3.5259301028975825e-89,7.3842149099133802e-90,8.8569696909932902e-91,1.1820990489885845e-89,6.9894748851129622e-95,5.0928394256758543e-99,1.0559601293716091e-37,4.3078074283357008e-63,4.8518824475164845e-30,4.6941465655560301e-70,1.7474288245037717e-81,4.7711198506521487e-35,6.7537657327785787e-110,1.1092248057303391e-112,3.6686090996005067e-115,9.8863046174350794e-53,6.9130711997130605e-56,4.5924777833506135e-111,3.0494429402199657e-118,1.3157202342316847e-119,1.6756641816206637e-126,4.0288385716395394e-51,1.0121868181989055e-95,5.4095840568503745e-44,2.7532727117686829e-42,1.7427940545139911e-53,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.7960052004933242e-53,1.8514406053231204e-54,7.497319309472405e-57,1.2468603283831274e-59,1.0753831818839363e-54,9.7319483131122096e-59,1.047636246360365e-63,9.5098247271181923e-65,3.5559983667575962e-58,2.9706818571379305e-64,2.7663118655475199e-68,5.3409200363408442e-74,4.7948052423358963e-81,6.5615957253256574e-82,6.9275186328864854e-87,6.9275179858233587e-87,3.0828032443846353e-89,1.3934133436888578e-68,6.9006422077904715e-124,3.4029126838629337e-131,7.0373660033558331e-139,5.3911666000871012e-145,4.3822534203942171e-155,1.9504451271674497e-159,2.5824347249739279e-160,4.9983611342719479e-80,1.3193045955999595e-154,8.4068040821887524e-166,7.7510829862088818e-171,4.0827914354571562e-176,2.4793389478180562e-176,1.0454220235205301e-101,3.7275167259613255e-113,7.7125435630298763e-76,1.3747619900437138e-81,3.3610014041048525e-91,3.6464923235120278e-68,2.5464467105544655e-71,1.1675498814276011e-95,1.1725795832812976e-89,1.9974249515386392e-94,1.2339248717503033e-94,1.1235326385739847e-95,1.5376389874475423e-97,3.2454823592417226e-102,2.6397226858743227e-102,1.6485899315880449e-99,2.5901283393743264e-109,2.5960675432679982e-109,5.8666975859480322e-112,3.6612796905860472e-121
1.5e-14,0.0017113643982015045,4.778021827058472e-25,4.7780218281023367e-25,4.6688382973599739e-25,4.6688379985229036e-25,7.322665415533586e-34,1.1224943946019634e-24,8.9726414371450185e-32,6.1233462366570355e-32,5.2712818081471402e-25,2.6139974112292053e-30,6.0886044538096789e-32,5.9494725312105145e-32,1.1098634044179091e-40,4.4933080553575776e-46,4.4771322995841648e-25,2.2201833781907714e-30,4.7566226075789895e-41,1.2781287779301038e-25,6.9174725519113513e-32,1.9257298179955015e-46,4.3329841310253519e-41,9.897505978071142e-55,8.6781067578258003e-60,4.0104980935851943e-34,8.0453496624171043e-57,3.2059234123347933e-47,2.4455877799020386e-55,2.5453131821078728e-54,1.9845378102603859e-26,1.0918918702579647e-39,1.3098206652846129e-39,4.1386022847723917e-34,1.5950468305599659e-71,1.0698956001566269e-53,2.2398610024085198e-54,4.3240352990981586e-59,3.7456096116762779e-41,5.0587711525279461e-52,6.2554513902088909e-58,4.7571074534120528e-40,1.9259263270899375e-45,4.8968699392203794e-67,9.2739195914148673e-40,1.0405720266628981e-54,1.9034244980061711e-72,1.4753245075361928e-54,4.7480488877510338e-40,1.9222589407667354e-45,3.204593322324787e-47,2.2379869210078804e-51,2.5288845505613099e-33,4.6717668841341101e-67,1.2388348217267488e-68,1.6502456122667238e-75,4.5948954161421174e-43,1.86025418140077e-48,9.560986788435554e-57,8.3569642448448964e-62,1.0650043160389824e-79,7.16321930661676e-82,1.4707940587380415e-91,1.5301059102130763e-73,1.0848509649782714e-74,1.2867716238654965e-50,5.1783990930643856e-64,3.9105201466319661e-74,2.5023804287773109e-85,4.660126397425041e-87,1.9458720392149621e-87,2.6473426324421806e-88,1.7618351888025329e-87,1.8540875265103331e-92,2.7069020673312809e-96,4.6715676143103986e-37,1.6900544453582855e-61,1.0179279446898369e-29,3.7235745918975674e-68,5.7018338284852487e-79,2.1107393629284968e-34,7.1742525589884446e-107,2.3497503346299213e-109,1.5546607721735428e-111,1.9000132443080124e-51,2.7102297745770871e-54,5.8353100593595895e-108,7.7524244095357954e-115,3.3448803789734732e-116,3.6274417905682398e-123,1.7823576270355945e-50,4.4284975884398827e-93,5.0310135183767838e-43,2.560595139065711e-41,1.4684859026908939e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.4541918214897862e-52,3.2390223299390123e-53,1.3239975255072157e-55,4.501066607934814e-58,2.0682457018034351e-53,9.0507720200314439e-58,2.0148333440383722e-62,1.8289605306626789e-63,3.3071356360807612e-57,5.7133902924186002e-63,5.3202690429967916e-67,2.0953388475005625e-72,3.8030230752338066e-79,5.204720644447935e-80,1.1053487353875247e-84,1.1053485282817515e-84,4.9189028207630753e-87,2.6798697175703341e-67,6.4109269542704825e-120,6.3231362733321893e-127,2.6153660114039337e-134,4.0071974669941885e-140,6.5142806331414365e-150,5.7987468723583593e-154,7.6776758624706823e-155,1.9609520098753318e-78,1.9612634627047768e-149,2.4994774884082727e-160,4.6090122321210997e-165,4.8554895851052298e-170,2.7516207948508439e-170,3.3460996599097097e-99,2.3897729892210667e-110,6.1178567700537026e-74,2.1936310762556461e-79,1.0757949918960401e-88,2.8904852425964813e-66,4.060375994690193e-69,2.5484403626615322e-93,4.6001217942298077e-88,1.5686202302184911e-92,9.7427942514617698e-93,8.8986879695212408e-94,1.2196178190134911e-95,5.17616451628373e-100,4.207839079442711e-100,1.3076731269902741e-97,4.0827422590467412e-107,4.101131359868924e-107,1.8550910971587488e-109,2.3180755312980727e-118
3.1e-14,0.0017113643982015045,9.7793144037904468e-25,9.7793144081414528e-25,9.5558453431037313e-25,9.5558440974992975e-25,3.0522137044412791e-33,2.2974418005064733e-24,3.7399520730159518e-31,2.552316719768514e-31,1.0788829687225766e-24,1.0895546763031874e-29,2.5378357428451379e-31,2.4798431462657207e-31,9.3671879491032948e-40,7.6396222502553559e-45,9.1634292842864943e-25,9.2540688251026807e-30,4.014564564828044e-40,2.6159817340467459e-25,2.8833212596830378e-31,3.2741689880367267e-45,3.6570287300500909e-40,3.3787459928184843e-53,5.937038209036114e-58,1.6716408714550285e-33,1.3896257210496754e-55,5.4500519218132e-46,8.4843609450858523e-54,8.6879218645403433e-53,4.061810950537533e-26,9.2155117455619304e-39,1.1054811135086729e-38,1.7250367339091412e-33,2.0557386345842578e-69,9.0298336935952755e-53,7.6388033199049584e-53,7.351747771112493e-58,3.1612879617636226e-40,8.6010623701052396e-51,2.1354740329837234e-56,4.0149577346494939e-39,3.2744904770196552e-44,1.6716546061089153e-65,7.8271409181883439e-39,3.5522577100828075e-53,1.3022031213407961e-70,5.036399804872965e-53,4.0073125130351027e-39,3.2682552263609885e-44,5.4485005267073781e-46,3.8012456820837957e-50,1.0540829632111735e-32,3.1666605368124212e-65,1.6814980705660537e-66,4.4825974808693483e-73,3.8780682393550344e-42,3.1628463043764342e-47,3.2638678250976169e-55,5.7173328022393152e-60,2.2498179444864224e-77,9.811453587796621e-80,4.0306216972662543e-89,1.9654930994041509e-71,2.7889272494740938e-72,2.1878054008475248e-49,8.804402890680595e-63,1.2920841948316701e-72,1.6156755523588208e-83,4.6709044625395789e-85,3.8697808666470376e-85,6.4094248530569938e-86,2.1324414320900165e-85,3.7207065322089028e-90,1.0870828119471996e-93,1.9471904809879041e-36,5.7694755236041213e-60,2.0833579783984562e-29,2.5474797075125853e-66,1.5488033834843876e-76,8.7978950155742442e-34,5.7451905980706045e-104,3.7388551041262858e-106,4.9478501354831175e-108,3.2258146280275941e-50,9.2390615063083585e-53,6.4891038641203503e-105,1.7242997324058771e-111,7.4397068414844496e-113,6.2222575423758845e-120,7.4291714656892748e-50,1.4852336797375637e-90,4.2461653873913174e-42,2.1611379343818329e-40,1.0449631623084044e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.8729155047866885e-51,4.6699954239903517e-52,1.9174364503141884e-54,1.312600895437563e-56,3.5164908199595236e-52,7.6386338929771327e-57,3.4255173431201033e-61,3.1095512206142329e-62,2.7912012868076717e-56,9.7140199963798039e-62,9.0454094593091882e-66,7.1528239566602319e-71,2.6012921509583398e-77,3.5605517195955176e-78,1.513908696480567e-82,1.5139081288714285e-82,6.7370573239308087e-85,4.5562842445757657e-66,1.6561193504116995e-116,3.2673375547864566e-123,2.7030468914320968e-130,8.2833690511083058e-136,2.6929391361458567e-145,4.7943308637051918e-149,6.3478058432983426e-150,6.6941048791602907e-77,8.1084862313122449e-145,2.0667067333393247e-155,7.6218829073827499e-160,1.6058995543667488e-164,8.8964946975644736e-165,9.1706346136003086e-97,1.3102730196556442e-107,4.185492050953395e-72,3.0046425809523785e-77,2.9486091391835954e-86,1.9747330596626362e-64,5.5537771668990491e-67,4.2705101765394028e-91,1.5702577223410958e-86,1.0522402654996266e-90,6.6047903297544319e-91,6.069579779960109e-92,8.3427116822654708e-94,7.0831168108648722e-98,5.7520311921003459e-98,8.9457514259557823e-96,5.459835334494039e-105,5.5078247974833676e-105,4.9644720899760767e-107,1.2400570528094105e-115
6.300000000000001e-14,0.0017113643982015045,1.9781895590889348e-24,1.9781895608619924e-24,1.9329855568455368e-24,1.9329850492552627e-24,1.2437933434610011e-32,4.6473366190637431e-24,1.5240502304519062e-30,1.040082667364032e-30,2.1823755868712449e-24,4.4399552319158366e-29,1.0341815917765352e-30,1.0105492974813831e-30,7.6664644629795541e-39,1.2533580295631224e-43,1.8535879351719697e-24,3.771050011419756e-29,3.2856737373697647e-39,5.2916831687527818e-25,1.1749679240227002e-30,5.3716096231160059e-44,2.9930736165344487e-39,1.1099248007381792e-51,3.9030126717301255e-56,6.8119918408702296e-33,2.2978410764288555e-54,8.9407237605207706e-45,2.8098587835831049e-52,2.8538479125595929e-51,8.2163569815206649e-26,7.5423310861826338e-38,9.047670879348247e-38,7.0295813471955263e-33,2.4181163529336964e-67,7.3903149482297425e-52,2.5044610141313761e-51,1.2061053091946225e-56,2.5873407499597516e-39,1.4111010055451378e-49,7.0152642978702924e-55,3.2859693403852823e-38,5.3720957131790861e-43,5.4913734864731415e-64,6.4060347917291606e-38,1.1669374267937488e-51,8.5606214874187335e-69,1.654489239705383e-51,3.2797124593431046e-38,5.3618665446062926e-43,8.9387549447526027e-45,6.223822893869502e-49,4.2954450874476112e-32,1.9981167701868799e-63,2.1231805344572741e-64,1.1323222419667361e-70,3.1739608471383817e-41,5.1889748667266903e-46,1.0721874589714551e-53,3.7585794696994623e-58,3.933591023428394e-75,1.2903939205553253e-77,1.0600607495752138e-86,2.2991090085356855e-69,6.5271294469708787e-70,3.5893432883548582e-48,1.4444435460469814e-61,3.9884279708451256e-71,9.5061244679453504e-82,3.8205811622324162e-83,6.2363178160909545e-83,1.3674156345670855e-83,2.2750715742443167e-83,6.0917227316819284e-88,3.5616573910304397e-91,7.9349068190725482e-36,1.8953354019502969e-58,4.2140205996403361e-29,1.6747596336171549e-64,3.9123503328674386e-74,3.5851630798978846e-33,3.741202926022998e-101,4.8059556927101898e-103,1.2720967183582636e-104,5.2771730599772764e-49,3.0265884399533525e-51,6.6320850420650732e-102,3.5247256868545372e-108,1.5207870225106422e-109,8.7307954484803174e-117,3.0274239757781202e-49,4.3987660006522809e-88,3.4752514023894855e-41,1.7687730145299331e-39,6.4957881609371065e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,9.6351888463160834e-50,5.8701031670706743e-51,2.4154853194827523e-53,3.3249467325955596e-55,5.7692064366853255e-51,6.2514732224186552e-56,5.6194290724884669e-60,5.1012475480672727e-61,2.2844199596035136e-55,1.5936798352233325e-60,1.4839163505470818e-64,2.3496466839312453e-69,1.7094247734068928e-75,2.3404398260937055e-76,1.9908528962706912e-80,1.9908514031941645e-80,8.8595772555995967e-83,7.4747552416768793e-65,3.6853110581955124e-113,1.4541861973754108e-119,2.4061072192755639e-126,1.4746935728753268e-131,9.5866191097169542e-141,3.4134831026988281e-144,4.5195314419492784e-145,2.1989840795128617e-75,2.8871293935824539e-140,1.4717028973289955e-150,1.0854748697797625e-154,4.5741044365415473e-159,2.529162553475506e-159,2.4123413860020572e-94,6.8938854374399247e-105,2.7515751204449191e-70,3.9517551552243621e-75,7.7573061363162245e-84,1.2945748029073926e-62,7.2840746534272552e-65,6.3214081569432166e-89,5.1576845305339702e-85,6.657951437711479e-89,4.2644278942698518e-89,3.9662380011787061e-90,5.482984071202907e-92,9.2982058566686754e-96,7.5351400413630894e-96,5.8802332572169752e-94,6.8563345067949655e-103,6.9720667031927858e-103,1.2471590758800482e-104,6.2212196338485478e-113
1.2700000000000001e-13,0.0017113643982015045,3.9787042099639546e-24,3.9787042171190367e-24,3.8877860554625589e-24,3.8877840071087203e-24,5.0192658863646182e-32,9.3471262831696512e-24,6.1502272453176392e-30,4.1972016972794166e-30,4.3892929945936363e-24,1.7916910105804231e-28,4.1733881987767792e-30,4.0780212377484353e-30,6.1980572277494859e-38,2.0283971834070658e-42,3.7280203896426391e-24,1.5217623152532473e-28,2.656348703739391e-38,1.0643068128115908e-24,4.7415175022123944e-30,8.6932560979565158e-43,2.4198258861221804e-38,3.594024074520066e-50,2.5282335238324872e-54,2.7489180445738975e-32,3.7334468513635634e-53,1.4468717308555266e-43,9.1359928029554165e-51,9.2409210333319349e-50,1.6525448044877822e-25,6.0977067388974265e-37,7.3146979631277187e-37,2.8367240110117409e-32,2.586428084326664e-65,5.9747262232212819e-51,8.0780922372388592e-50,1.9518472248615768e-55,2.0918061560279412e-38,2.2837125275851106e-48,2.2717206269555285e-53,2.6565453748268009e-37,8.6939089866446832e-42,1.7781207598628102e-62,5.179051657858063e-37,3.7787240388786869e-50,5.5451769725624082e-67,5.3575081985926238e-50,2.6514873352584512e-37,8.6773556896502576e-42,1.4465998875281906e-43,1.0032211250898481e-47,1.7334060964216174e-31,1.185710565014958e-61,2.5211232212590402e-62,2.6897649472199187e-68,2.5660343836072816e-40,8.3976902286642931e-45,3.4718299515236405e-52,2.4346764522679817e-56,5.7819882838815412e-73,1.6719088168026561e-75,2.7455082568626889e-84,2.4390960716915693e-67,1.3855196974106072e-67,5.80896732739652e-47,2.3376163185992646e-60,1.1522835675015204e-69,5.0166436391744668e-80,2.5473067172936757e-81,8.0768215115064149e-81,2.5716161295807115e-81,2.1393984289998288e-81,8.129386110440996e-86,9.5126450711078491e-89,3.2020935160677184e-35,6.1375769728523885e-57,8.4745562053603165e-29,1.0849081576826036e-62,9.2936076570485613e-72,1.4467536744587645e-32,1.9734639669729385e-98,4.9409745312570035e-100,2.6159249018133224e-101,8.491950575278351e-48,9.7459962611558394e-50,6.3376752969797546e-99,6.7367431915592296e-105,2.9066522648907525e-106,1.0268711496009633e-113,1.2216994215494442e-48,1.2164085569598159e-85,2.8096584973366337e-40,1.4300130611706193e-38,3.5303541879146266e-50,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.5593532580379137e-48,6.4596271536958762e-50,2.6609656710909254e-52,7.3690023703564497e-54,9.3368543903518906e-50,5.053641510436681e-55,9.0927572459955582e-59,8.2547726073972303e-60,1.8468609371243587e-54,2.5791498331895471e-59,2.4012818826608535e-63,7.607886551408803e-68,1.1064426523375905e-73,1.5157056075671516e-74,2.5788764669652432e-78,2.5788725986494663e-78,1.1476538177850618e-80,1.2095968634983164e-63,7.8208103536831825e-110,6.1720905767845069e-116,2.0424754877503786e-122,2.5036570858653218e-127,3.2538244053083631e-136,2.3171633284575159e-139,3.0679787371846369e-140,7.1202073670479862e-74,9.8032458672321903e-136,9.9936020874195625e-146,1.4740879982690521e-149,1.2423379847887524e-153,6.8683071647180665e-154,6.2501723730204901e-92,3.5723907001383366e-102,1.7824121291079162e-68,5.1203173744761021e-73,2.0103556295946704e-81,8.3393447510345978e-61,9.3857457972380891e-63,8.7383205582192285e-87,1.6697113016762997e-83,4.0116774959490182e-87,2.6670565301978604e-87,2.5387984043474929e-88,3.549784258659189e-90,1.2002531515314744e-93,9.6865694438525857e-94,3.808152227754177e-92,8.1471085734122815e-101,8.4027310201055212e-101,2.9645720866326511e-102,2.9485059672960183e-110
