Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654),S(11179),S(11193),S(12065),S(11559),S(10226),S(11013),S(13044),S(13047),S(14368),S(13836),C5H8(9850),S(15615),CHO(330),S(16928),S(16826),S(456),S(18023),CHO3(881),S(10202),S(18746),S(18747),S(18745),S(18626),S(19256),S(19255),S(18650),S(19434),S(18838),S(19740),S(19976),S(19862),S(20255),S(19528),S(19527),S(19431),S(19864),S(20911),S(19731),S(21226),S(21404),S(18071),C3H5O(710),S(9658),S(21554),S(1365),S(10662),S(22631),S(22862),CH3O(947)
0.0,0.003472586434965766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.003472586434965766,1.3370107180031796e-19,1.3370106955939529e-19,1.2898799630534112e-19,1.2898799716343174e-19,3.2493156775031086e-27,1.5452235075504301e-21,1.5988074944223081e-27,1.0679472550074142e-27,7.456298765512449e-22,1.7629088688332853e-28,1.0631456321798176e-27,1.0256688631524535e-27,8.5157732391683167e-36,2.013402706714125e-42,6.115143568454014e-22,1.4458167268838473e-28,2.7444876851098788e-36,1.3640758391163551e-22,7.2106178582660585e-30,6.4888515768059845e-43,6.29872719782173e-36,1.2552237612577599e-50,1.4779472366492348e-55,6.6627317751252877e-29,2.1750652644725259e-51,9.4692220797117181e-44,8.4421789030878504e-51,8.7671761451102055e-52,9.4746937822281489e-23,4.3458896959579313e-38,6.3414175576554315e-37,7.783138786213277e-29,1.0458199396592598e-64,1.3628116463707888e-44,1.603480059939918e-50,3.8219233682256724e-51,3.9396795040569954e-37,1.3152221709930674e-45,4.8311399433093075e-51,8.3914331268418543e-37,1.9840048360952495e-43,8.1925908926954352e-59,3.564200128229897e-38,8.7019658913348301e-52,1.9369923489731728e-65,9.8476328014168584e-53,8.4007706618603419e-37,1.9862124099289781e-43,7.1507673860724263e-44,3.0775001569881078e-47,7.5339556500878429e-31,5.9681031572798912e-60,3.7149904687977475e-62,4.2582895536082142e-70,3.5646374202362926e-39,8.4279498729737526e-46,1.6303290295503532e-53,1.9172240302271022e-58,2.7965698166465692e-71,4.8040873050957602e-75,6.6762822797544014e-83,1.3395423614550714e-67,2.0943810882188076e-69,2.327447501939434e-45,4.5386521510915175e-55,4.4510795716121404e-65,3.3228840101123828e-76,5.4689522734462384e-78,3.6337415801012987e-79,3.3659115728551985e-76,1.4099556801006591e-74,1.5963533057862338e-84,4.3506862648716239e-89,1.3372548468566142e-33,7.7717187137202426e-54,4.3074895920624196e-23,1.1985666097364028e-59,1.2559294660375237e-72,3.7348044427939284e-31,9.6660273362467631e-98,9.2330354319818822e-101,2.3887947956998757e-103,2.5233682821314355e-47,1.884376713606382e-50,-1.2077112211554782e-99,-1.3843383859360485e-107,-8.7841631414906415e-107,-1.6176077245514786e-111,3.2925125992457053e-41,9.7464834578072062e-84,5.4637085125860493e-41,2.6327438585509189e-37,4.0335604320002185e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.7882184966716065e-46,1.2877939997595684e-46,4.8436237022743966e-48,6.2619674648253037e-51,4.7975236889639187e-49,1.6922970336562494e-50,2.9188494323914648e-56,2.3729769848863101e-57,1.3921459141609375e-50,9.0443124954418708e-57,2.2115899260798998e-58,5.2289091627282894e-65,4.1003660139640068e-72,4.2753693236257988e-72,7.3746313686674622e-78,7.3746215891871553e-78,6.4330558224893029e-79,4.4652694548432486e-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.320142778990852e-70,0.0,0.0,0.0,0.0,0.0,1.5165377664998064e-88,2.8257674192620574e-98,5.340399083076888e-65,1.1722145958743408e-71,1.9308390083323061e-81,6.9856506133800486e-62,5.2135154106703862e-65,3.8331178532278503e-83,1.812148551516039e-77,3.6480512553868038e-83,3.1011880239141034e-83,2.5362168179829118e-84,1.9184891875905003e-84,6.6112888659662606e-90,3.88972906613698e-90,4.6772452279268251e-87,1.4138144923902497e-96,1.4170567739431249e-96,1.1108064707508355e-99,2.0603891608580689e-106,1.1133540073713259e-99,8.6839638057284907e-107,8.7150710814560485e-97,8.7148963252135548e-97,1.5645229122578407e-99,2.0322040868321431e-105,2.0987929091567891e-106,4.6808723709894893e-106,2.3435541378174172e-112,1.8412852003642783e-115,3.7086607987280636e-74,3.7208894118025687e-68,1.4105492416455505e-64,2.7307383452938996e-125,7.3394575418327659e-56,5.8360903730311058e-64,1.4545087355688472e-73,4.7983112073382292e-82,4.4253633738871995e-58
3.0000000000000002e-15,0.003472586434965766,4.3930352171531461e-19,4.3930350698925193e-19,4.2381769477486135e-19,4.2381770041374213e-19,2.1352645744833094e-26,5.0771636209352751e-21,1.0506449143660506e-26,7.0179390855109885e-27,2.4499261325271472e-21,1.1584826648323969e-27,6.9863855099855272e-27,6.7401095810375435e-27,8.0291566445484808e-35,2.4736085981442594e-41,2.0092609615575936e-21,9.5010790831775606e-28,2.5876595800350295e-35,4.4819923126327319e-22,4.7384192392912703e-29,7.9720163904212215e-42,5.9387990951728006e-35,1.9007627251262269e-49,2.6602995096330832e-54,4.3783665577348191e-28,2.7995332053235112e-50,1.1035500774355889e-42,1.3278005597906485e-49,1.2722238769671257e-50,3.1131136649773983e-22,4.0975523890113415e-37,5.9790489403776751e-36,5.1146339928358629e-28,2.1772587071147707e-63,1.2849365895201338e-43,2.4278940585339432e-49,4.6954822284737753e-50,3.7145551190009173e-36,1.6158435914873797e-44,7.3157232874326428e-50,7.9119203101154715e-36,2.4374909305998593e-42,1.2405868678368467e-57,3.3605309926767789e-37,1.3177258238515534e-50,3.4865731982984433e-64,1.4912126082165925e-51,7.9207244302105658e-36,2.4402030957589545e-42,8.7852265669569273e-43,3.7804761037409003e-46,4.9508851154357051e-30,1.1081362351775819e-58,7.959006574640367e-61,1.0339621555463754e-68,3.360943504125261e-38,1.0354336835924721e-44,2.4687778924120753e-52,3.4509961198330722e-57,6.7467357265505249e-70,1.0019921188187674e-73,1.5832229628810132e-81,2.788005827799126e-66,4.9574554577205379e-68,2.8594351919133408e-44,5.5760580245110356e-54,6.7305867116463947e-64,5.9641920472966731e-75,1.1285709259691798e-76,8.489796315817133e-78,7.9590015990912655e-75,2.9311229906589363e-73,3.7503004281376487e-83,1.1464086681669298e-87,8.7876752111906985e-33,1.1768598162455908e-52,1.4153176000476021e-22,2.1574192095157401e-58,3.0495440137867992e-71,2.4543005930486138e-30,2.8229124932285584e-96,2.959572591198517e-99,8.3395955159699225e-102,3.0995997894004727e-46,2.8530826871812991e-49,5.0039242459826727e-98,5.3402204395196186e-106,3.3885763733269339e-105,6.2699210137970529e-110,2.1636511015213941e-40,2.5333245943507434e-82,5.1515075272004361e-40,2.4823015397110606e-36,3.7661157712607094e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.0796948825104768e-44,1.5695045252119273e-45,5.9888262635026171e-47,9.5316498094792546e-50,5.894110115070212e-48,1.5955940555526535e-49,3.5859411922077525e-55,2.9153570060404308e-56,1.3125942817242954e-49,1.111157874060835e-55,2.7170950853178075e-57,7.9180590533717407e-64,7.3805404858222315e-71,7.6956574635250672e-71,1.5381329323654958e-76,1.5381306132421396e-76,1.3417505416586923e-77,5.4859078558789379e-59,1.6503265426443245e-106,1.3122841690798203e-114,1.2379192104785969e-121,1.1684070509811254e-128,2.7265655486163758e-137,1.6142946342903911e-142,2.9261463205260746e-142,1.2599078499085806e-68,1.9323779419155003e-138,6.4052943897156428e-147,1.3726357055303556e-151,1.0163956661437991e-157,4.389811702064496e-151,3.5963583927854254e-87,7.5084613588542097e-97,9.6127039823889448e-64,2.4449015748991833e-70,4.5788415980722817e-80,1.2572680093495992e-60,1.0872790802022303e-63,8.8679366001434884e-82,2.744110808306109e-76,6.557801929072247e-82,5.575150133854922e-82,4.5638010584141035e-83,3.453277383524203e-83,1.3787177374540191e-88,8.1114673174551578e-89,8.4190482816043351e-86,2.9467460098202767e-95,2.9534960136415116e-95,2.6325740688869428e-98,5.4716494449137066e-105,2.6386056126684975e-98,2.3061424362425898e-105,1.8177142674143933e-95,1.8176728253679228e-95,3.709592131942309e-98,5.2557280129912063e-104,5.5500545555484978e-105,1.2436063870033299e-104,6.8948520431762439e-111,5.9432335032107857e-114,8.793874918801009e-73,6.696806990651579e-67,2.1346475313647448e-63,9.5937765041695747e-124,1.1114031202597519e-54,1.0504959087522241e-62,3.0336888142845227e-72,1.1378845054711077e-80,6.7012729234705863e-57
7e-15,0.003472586434965766,9.741078095723656e-19,9.7410772953942212e-19,9.3976962359006809e-19,9.3976965423615697e-19,1.1604698293746838e-25,1.1258062759383932e-20,5.7100263357605469e-26,3.8140972625125353e-26,5.4324410113758587e-21,6.29609061349913e-27,3.7969483888820105e-26,3.6631027109702152e-26,1.296828999699811e-33,1.2511830633449483e-39,4.4553145885041361e-21,5.1636219265990754e-27,4.1794587774022503e-34,9.9385163673109825e-22,2.5752745936845827e-28,4.0323494701968397e-40,9.5920480065333094e-34,3.1390120010825377e-47,1.4810561826956904e-51,2.3795469101671972e-27,1.5987147449590814e-48,4.9023322594229021e-41,2.4953434559354875e-47,1.8282720306497422e-48,6.9029911294575401e-22,6.6181567631338891e-36,9.6570418305568885e-35,2.7796921516109436e-27,4.0315526797840586e-60,2.0753657157360385e-42,4.0039538286798472e-47,2.3748969908021441e-48,5.9995687006879755e-35,8.1731104185571091e-43,1.2081907102790662e-47,1.2778915250766728e-34,1.2329125208187619e-40,2.0487060432656919e-55,5.4277584484783602e-36,2.176225782054088e-48,1.9410058540920815e-61,2.4627428292614895e-49,1.2793137585328452e-34,1.2342843901413777e-40,4.4436784268146251e-41,1.9094735021600844e-44,2.6906983401728028e-29,6.938491394173576e-56,1.7281083084888609e-57,7.9242838499931019e-65,5.4284278225833812e-37,5.2373584600751599e-43,4.0770603190912552e-50,1.9212572445732985e-54,4.4711752548345483e-66,1.9266185181683376e-70,1.071046213458228e-77,5.135034690248759e-63,3.2119565703971033e-64,1.4463403339402814e-42,2.8204459351675374e-52,1.0883928541236554e-61,3.0975380760864716e-72,1.7477188560778807e-73,4.2817414488360409e-74,5.0387835013552768e-71,5.2759422343017752e-70,2.0405767391273107e-79,2.2246620765526368e-83,4.775912217173432e-32,1.9435840830946643e-50,3.1383103088944777e-22,1.2011277221875979e-55,2.337196530308091e-67,1.3338608945812039e-29,1.9714050416156584e-91,7.4739429739447703e-94,7.7347197293836502e-96,1.5645595502179169e-44,4.7019978025140905e-47,7.0633186128615059e-93,3.238535097076619e-100,2.0549820299532468e-99,3.1709959098626555e-104,1.1758972135430823e-39,3.8897071027503662e-78,8.320612331721493e-39,4.009292790848307e-35,5.5890879165498546e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999976,0.0001,0.10889011,5.4612109117410473e-43,7.280704973024251e-44,2.8726554820592219e-45,1.4950702689933053e-47,2.9813761771924159e-46,2.5771218539567082e-48,1.8133709405632094e-53,1.4745388860515899e-54,2.1200321668432711e-48,5.6203601007653588e-54,1.3743378942887031e-55,1.3076665752421066e-61,4.1079068660444872e-68,4.2844538415950721e-68,2.9575236940218482e-73,2.9575080046218715e-73,2.5800317888543416e-74,2.7748814133392141e-57,5.704642100604598e-102,1.8144684259984168e-109,6.8465909439728559e-116,2.5848564663557226e-122,2.4126623710851739e-130,5.7137482295296679e-135,1.0357063776241739e-134,2.0807623907534271e-66,1.7099931519187683e-131,2.2671146289890229e-139,1.943337532122377e-143,5.7559285044392746e-149,2.5011592823222922e-145,2.4332411480448e-83,1.8136098190135474e-92,5.3516886636133707e-61,4.7012155089693077e-67,3.0979420226937503e-76,6.9849548465640944e-58,2.0862857336303617e-60,3.8241317370379947e-78,4.5319296429871413e-74,3.5665951573942099e-79,3.0359496992250593e-79,2.5271077503287348e-80,1.9225676360462655e-80,2.6428203701351719e-85,1.5541787727741618e-85,4.6873398993515244e-83,5.5845768919931454e-92,5.5970711395854839e-92,1.7553392985740037e-94,1.3018443913812109e-100,1.7592673734384664e-94,5.4866053478292159e-101,3.4952924382279397e-92,3.4950120668210407e-92,2.5008443512057422e-94,7.4639501898883298e-100,1.1876142146156928e-100,2.993015188521588e-100,5.9659937941876888e-106,1.8749523581016714e-108,5.934589806027845e-69,3.7205212874031014e-64,3.4929935447947397e-61,1.109655026538317e-117,1.8354802555140219e-52,5.8485541792738395e-60,5.8334939198995208e-69,7.698759438939344e-77,1.106740332791187e-54
1.5e-14,0.003472586434965766,2.0437163869557132e-18,2.043716032890014e-18,1.9716733376411955e-18,1.9716734732194772e-18,5.1339181719442829e-25,2.3619874039076258e-20,2.5261153770043129e-25,1.6873565800132569e-25,1.1397458990417372e-20,2.785382531503817e-26,1.6797697777466912e-25,1.6205564025451488e-25,1.2060731813219434e-32,2.4063480740230693e-38,9.3474121686123424e-21,2.2843804538251681e-26,3.8869699492874959e-33,2.0852126253587689e-21,1.1393358342811429e-27,7.7552519785245076e-39,8.9207665881925388e-33,1.2314431676016812e-45,1.1747682194496742e-49,1.0527114559921589e-26,3.172302966869596e-47,9.1118108799454121e-40,1.0099776352153356e-45,6.9318378662805882e-47,1.4482745935173161e-21,6.1549936383333011e-35,8.981189046179254e-34,1.2297356345826028e-26,6.1143818865694682e-58,1.9301267717193554e-41,1.5675881292160558e-45,4.5671412948095969e-47,5.5797108035772097e-34,1.5718902746422005e-41,4.7399745035441377e-46,1.1884580120423984e-33,2.3712040253109473e-39,8.0367922275629321e-54,5.0479051178402995e-35,8.5377893049797341e-47,1.5395332648320721e-59,9.6618751217356862e-48,1.1897810582581078e-33,2.3738425455714916e-39,8.5463344906231125e-40,3.6645388898066328e-43,1.1903648779851718e-28,5.5410014050806029e-54,2.7760386833290648e-55,2.5534710996967984e-62,5.0485321770409276e-36,1.0072797258538847e-41,1.599442395400867e-48,1.5239342939587832e-52,1.2122910065567396e-63,3.073920063908292e-68,3.4275392383590926e-75,7.7350678283622082e-61,9.7071729224125152e-62,2.7816893930220134e-41,5.4244573486130105e-51,4.1444177157470524e-60,2.2362198605148455e-70,2.1765874811714024e-71,9.8554366292015033e-72,1.4801695688247977e-68,7.7240251293788194e-68,5.1007801791327893e-77,1.1143541055375627e-80,2.1128648704928368e-31,7.6250797070041574e-49,6.5842877646205622e-22,9.5277264752308306e-54,7.5313536527293351e-65,5.901014388945288e-29,1.9694130153266937e-88,1.4787078204588279e-90,3.0613743518415724e-92,2.9997069490534318e-43,1.8390938381799971e-45,8.8632490255598526e-90,8.1308318980986631e-97,5.1593573248906371e-96,6.5504570215085561e-101,5.2021683596766359e-39,1.6565315760090769e-75,7.7385416023896896e-38,3.7287173515348415e-34,4.6055933086883782e-42,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999959,0.0001,0.10889011,1.0503247683215678e-41,1.2462301068370618e-42,4.9579775064650869e-44,5.2773527465809189e-46,5.7341280239958539e-45,2.3967654087351716e-47,3.4863005084691425e-52,2.8356705080963953e-53,1.9716602410330465e-47,1.0809347586929586e-52,2.6431959126415987e-54,5.130239602727739e-60,3.2572173199542517e-66,3.3985103340098114e-66,4.7187745161267447e-71,4.7187243046065063e-71,4.1167323521976521e-72,5.3369246987415503e-56,4.6828070894484905e-98,2.9790680280046079e-105,2.248265129899387e-111,1.6976415003906611e-117,3.1689138226677349e-125,1.5009406776123424e-129,2.7207094510485702e-129,8.1633978278715138e-65,2.2461417987024049e-126,5.955396643815931e-134,1.0209732430818862e-137,6.047995387459283e-143,7.3891546058815277e-140,7.78820731109716e-81,1.1627407114079913e-89,4.2449995021546451e-59,7.5012121764328387e-65,9.9156084876883736e-74,5.5240632493718099e-56,3.3190282342865318e-58,8.1244315964317771e-76,1.7779878274803522e-72,2.7389349568183354e-77,2.3353644228750951e-77,1.9892486181009349e-78,1.5250206961585365e-78,4.1984597471941288e-83,2.4675013441232074e-83,3.7182532936107929e-81,8.7338762507524976e-90,8.7527963838774874e-90,5.5071734787464256e-92,8.1766433701933763e-98,5.5191104010718638e-92,3.4457939278978657e-98,5.5772160967226838e-90,5.576318782333926e-90,7.964772186838037e-92,3.0351008097823422e-97,6.567152444915616e-98,1.90936084623379e-97,7.5704341272032912e-103,4.7602299905072437e-105,1.8927681373384755e-66,2.942383323643302e-62,1.3523229319743449e-59,5.6180046512511315e-114,7.2009544448031667e-51,4.6392513728554321e-58,9.3081322155194616e-67,2.4641866488987927e-74,4.3421127746198874e-53
3.1e-14,0.003472586434965766,4.1829335483993322e-18,4.1829320725923773e-18,4.0354801914264844e-18,4.0354807565401549e-18,2.1399059303666519e-24,4.8343548609540127e-20,1.052928518944263e-24,7.033194749563135e-25,2.3327447834329908e-20,1.1609893109598711e-25,7.0015704953478806e-25,6.7547584828309009e-25,1.017920305145841e-31,4.0913179893589303e-37,1.913156863401578e-20,9.5216463368689831e-26,3.2805878628866586e-32,4.2681593131535407e-21,4.749229442820653e-27,1.3185633948390908e-37,7.5290827250795011e-32,4.203434541705316e-44,8.0363255106945788e-48,4.3878833069264257e-26,5.4754960025898584e-46,1.5238212814799057e-38,3.5013640574949066e-44,2.3266712173126992e-45,2.9642255053518421e-21,5.1947776408507491e-34,7.5800410201587522e-33,5.125750193396922e-26,7.6213229621955726e-56,1.6290200991022295e-40,5.3294477248920714e-44,7.7637988912254333e-46,4.7092658513551239e-33,2.6725240354603593e-40,1.6180945555120967e-44,1.0030482189316133e-32,4.0315483511819865e-38,2.7430662522204568e-52,4.2604037559457913e-34,2.9145750712859932e-45,1.0530711159532028e-57,3.2983213870794713e-46,1.004165435507336e-32,4.0360346188795075e-38,1.4530616058752242e-38,6.2042236600691937e-42,4.9616469054033481e-28,3.6745661291217117e-52,3.6867094847064974e-53,6.7865338197001789e-60,4.2609405010851468e-35,1.7125974055838735e-40,5.4595727340291676e-47,1.0424895470446707e-50,2.4465098433128159e-61,4.2096257268361913e-66,9.3906816652490858e-73,9.5296292348539301e-59,2.3936467417208182e-59,4.7294920826217954e-40,9.2228028215207254e-50,1.3366539080678702e-58,1.2855659943324011e-68,2.0419978647831332e-69,1.603127805173999e-69,3.4842488616282666e-66,9.0833034664071118e-66,9.5785600757557131e-75,4.1879941881725978e-78,8.8067982081292805e-31,2.6029951007472263e-47,1.3476210829240316e-21,6.5182848449009525e-52,2.001722500573685e-62,2.4596564744262063e-28,1.4696165382571669e-85,2.1629276527343897e-87,8.9566331151126346e-89,5.0690302264365801e-42,6.2405520621958491e-44,9.6442238068083583e-87,1.7695618124178599e-93,1.1228658596229834e-92,1.0543401828449822e-97,2.168353337309153e-38,5.4348499160358119e-73,6.5316748636032198e-37,3.1470311700151706e-33,3.1708266421085235e-41,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999924,0.0001,0.10889011,1.7857579791060971e-40,1.7394306404989944e-41,6.9472730980599924e-43,1.4898330773686638e-44,9.7498495524744145e-44,2.02285578045582e-46,5.9231754757369747e-51,4.8204250746561698e-52,1.6640623947709097e-46,1.8378066619292026e-51,4.4939761021221961e-53,1.7513213845660361e-58,2.2266115868479499e-64,2.324978084552597e-64,6.4623208510158644e-69,6.4621832683547163e-69,5.638518146258624e-70,9.0743130146787586e-55,1.173892618747607e-94,1.4937996560418537e-101,2.2548566533263394e-107,3.4053552289806101e-113,1.2711784903621732e-120,1.2041683737691266e-124,2.1827903622691166e-124,2.7868567732238939e-63,9.0113760217332143e-122,4.7777558513124858e-129,1.6381575899430289e-132,1.9408088541926867e-137,1.9748851811882341e-135,2.1345599134131532e-78,6.3751742873251068e-87,2.9039921383196378e-57,1.0273806358829919e-62,2.7175517232934936e-71,3.7567620466625535e-54,4.5191716628175617e-56,1.3318215952640529e-73,6.0697092113107022e-71,1.7618459963368207e-75,1.5068600967892318e-75,1.3404912311766084e-76,1.0432999350178395e-76,5.7006602246659856e-81,3.3463324898205207e-81,2.5439437702364477e-79,1.150633358260276e-87,1.1529774606805786e-87,1.4519504560231887e-89,4.3077572337675046e-95,1.4549120334737508e-89,1.8151400372994523e-95,7.6390996294116843e-88,7.6366407778356247e-88,2.1614785999066057e-89,9.5534166592268362e-95,2.8155960516899933e-95,1.0366048705874307e-94,8.1203456507779981e-100,1.0212758061091395e-101,5.1510039693628465e-64,2.0010379093181269e-60,4.4987107067163753e-58,2.3957322921444094e-110,2.4582023135201054e-49,3.1738804308270776e-56,1.2749325802357332e-64,6.7537558590035617e-72,1.4823763961196195e-51
6.300000000000001e-14,0.003472586434965766,8.4613678979937835e-18,8.4613618840031888e-18,8.1630916017305914e-18,8.1630939045982782e-18,8.7202303767175624e-24,9.7791105793978166e-20,4.2907390028557692e-24,2.8660646777941655e-24,4.718723706909826e-20,4.7310417752581454e-25,2.8531766928149925e-24,2.7525991464101877e-24,8.3310645052096519e-31,6.7121970198461905e-36,3.8699726788183063e-20,3.8800835795748392e-25,2.6849681511637366e-31,8.6349515290715522e-21,1.9355640049685645e-26,2.1632320151699926e-36,6.1620943079486689e-31,1.3805834667036506e-42,5.2821245001385255e-46,1.7880856009593774e-25,9.0508806357962734e-45,2.4794004382779377e-37,1.1591605331482258e-42,7.5785175643252073e-44,5.99612713170064e-21,4.251597667759926e-33,6.2037385885146478e-32,2.0887698544178632e-25,8.4941965969033073e-54,1.3332578293536343e-39,1.7365452792069108e-42,1.2732863700234735e-44,3.8542752186286507e-32,4.3844215800372699e-39,5.3154269312973468e-43,8.2092644130335277e-32,6.6140833114098851e-37,9.0078686687490925e-51,3.4868751569699028e-33,9.5744391165966499e-44,6.920467924438616e-56,1.0835140311865268e-44,8.2184174886721264e-32,6.6214441366308122e-37,2.3838789354229171e-37,1.0093540872997351e-40,2.0218975730068989e-27,2.2310200014935312e-50,4.4799178146493562e-51,1.6498138671917094e-57,3.4873267111614585e-34,2.8096844172647211e-39,1.7931528482868344e-45,6.8520905821756178e-49,4.0143320085297004e-59,5.5345731190824986e-64,2.468567205486681e-70,1.0434262983052476e-56,5.2444233895253342e-57,7.7592209733943859e-39,1.5131014709022861e-48,3.9540235606021128e-57,6.2314270266705992e-67,1.5855330423678542e-67,1.9669180635619901e-67,7.1479540108618576e-64,9.3113769215767159e-64,1.4876118765631843e-72,1.301571391725117e-75,3.5888266658143094e-30,8.5508590556010684e-46,2.7259929579455606e-21,4.2851087726385027e-50,4.8665178375361288e-60,1.0023324747996992e-27,9.0014639279534042e-83,2.5476488734026683e-84,2.1101254315325525e-85,8.2160627881330967e-41,2.0257694899790755e-42,9.4866732142774729e-84,3.4814751149773961e-90,2.2091593861564861e-89,1.3697646534157737e-94,8.8361513994498097e-38,1.5857428265581023e-70,5.3464040817864615e-36,2.5756727515528518e-32,1.8910449513372843e-40,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999837,0.0001,0.10889011,2.9296280608203951e-39,2.098223338489494e-40,8.396496562093444e-42,3.6226528756288622e-43,1.5997450501539057e-42,1.6555801987881375e-45,9.7034840755729717e-50,7.9056331468763344e-51,1.3619186282703319e-45,3.015035277332528e-50,7.3726870306149831e-52,5.7530885227603378e-57,1.4614426277868948e-62,1.5283406206310139e-62,8.4966205538757849e-67,8.4962588083997284e-67,7.4153006522145584e-68,1.4888498381243532e-53,2.5751895422819726e-91,6.5541275413295895e-98,1.9786841015389195e-103,5.9765839144109558e-109,4.4608026601699648e-116,8.4510781203915149e-120,1.5319665174884377e-119,9.1554653724248622e-62,3.1631022669548512e-117,3.3529572036439325e-124,2.299230334250688e-127,5.4480097562895901e-132,4.2685222518159971e-131,5.6152449759181714e-76,3.3543063158802695e-84,1.908852122743833e-55,1.3510480955213452e-60,7.148482827343272e-69,2.4406863130923038e-52,5.874080048905011e-54,1.9422090622120911e-71,1.9940130175717305e-69,1.0345882075243823e-73,8.8944840426147017e-74,8.5556409192852091e-75,6.8583697140713919e-75,7.3694856412921791e-79,4.3158152777755794e-79,1.6725687484231859e-77,1.4060240976252796e-85,1.4085834075061174e-85,3.5494884811376876e-87,2.1015658941311963e-92,3.5559667862890418e-87,8.8533778356267104e-93,1.0046836663677637e-85,1.0040370821227911e-85,5.5764190575837223e-87,2.6785781590490189e-92,1.0227253004100901e-92,5.3491660961779821e-92,8.1803191183410877e-97,2.0576992335798083e-98,1.3361245130569382e-61,1.3000411113259466e-58,1.4061176388893936e-56,9.5357421009318406e-107,8.0751615007178344e-48,2.0864898872098773e-54,1.6767770226095844e-62,1.7766717901067976e-69,4.8702549581906308e-50
