Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654),S(11179),S(11193),S(12065),S(11559),S(10226),S(11013),S(13044),S(13047),S(14368),S(13836),C5H8(9850),S(15615),CHO(330),S(16928),S(16826)
0.0,0.002314566519871403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002314566519871403,3.4419613340807717e-23,3.4419613312426945e-23,3.3443605471085097e-23,3.3443605309156001e-23,4.7228038959403002e-32,6.8171536394154245e-24,5.3363063086626912e-31,3.5938138330965464e-31,3.227845088151919e-24,1.1449928925229582e-30,3.5785818324097142e-31,3.4771070138466876e-31,3.8415680231005177e-40,1.3626949129560078e-46,2.7034919759445829e-24,9.5899246131163356e-31,1.4458458167490267e-40,6.9489474645623271e-25,3.6761844032125929e-32,5.1287565981547334e-47,2.0062454675134128e-40,1.5346156495365611e-55,4.9244482666120076e-61,4.6426843526848073e-33,1.3647522066466628e-56,6.527207028538001e-48,5.2405568652265518e-56,6.1182275508457171e-56,1.9335666134607223e-25,1.0781901937086924e-40,4.2311220304622215e-40,4.8007089162229391e-33,4.6581775947065814e-72,1.3047263088989146e-51,2.4865191935669944e-55,4.9692845653444085e-58,5.0220460648535786e-41,2.7142487952175861e-51,1.7472822884999813e-57,2.7148206434850217e-40,9.6301100744727659e-47,2.3724010808276133e-66,9.0304164714752156e-41,4.2488531144443153e-56,8.4154670774747196e-73,1.8202323486904839e-56,2.7127091165376139e-40,9.6226199637302593e-47,6.389033008876591e-48,1.0237598074729723e-51,2.0103149599300393e-33,4.9499566637271651e-67,2.1421519682433387e-69,3.033519344122819e-77,4.7472799222297969e-43,1.6839723169769092e-49,5.0387462214492162e-58,1.6126075363819602e-63,5.3391645731253933e-80,7.9615911438209276e-83,3.6562913243183306e-92,1.5170909366214352e-74,1.7258366974239194e-76,1.8386127134513158e-50,1.7065567943547994e-62,4.6722081008909823e-73,1.0069454998686469e-84,6.8378398474963364e-87,4.0575175041198183e-88,5.4803223227530281e-87,2.6257581457176232e-85,2.7010815466485263e-93,5.8936834783473738e-98,1.0904414864105454e-36,9.9354250321364625e-61,2.436979333061702e-27,1.5852212767549473e-67,2.8025765880725169e-80,3.6106938653888916e-34,3.7152047153018633e-108,2.2403334523715751e-111,3.1018808991313268e-114,8.5736226839871275e-52,2.992537242139685e-55,-1.6351231867429618e-109,-2.3155132474580471e-117,-9.7776927164032044e-118,-1.3274764548519493e-123,1.4112512797788515e-48,-1.9072456284181646e-126,7.9761231252413757e-44,3.3867766834264442e-41,8.0924399464244517e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.8288066376618767e-51,2.3290615791755936e-53,2.5822552461165682e-55,1.7865817685640428e-58,1.2203667310032758e-53,2.2529724211535497e-56,4.9941422842741757e-62,4.290431735511949e-63,5.8955770693808709e-56,2.0118336160074109e-62,1.6788004442687992e-65,5.9551013858998567e-72,2.3345429290830632e-79,8.1175984641927886e-80,1.7994397633027668e-85,1.7994394888034456e-85,3.0545409111972246e-87,2.0097983498604948e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0533177446284493e-77,0.0,0.0,0.0,0.0,0.0,9.90852865183587e-99,1.0123084320833631e-109,4.7371321825472383e-73,1.560027711349796e-79,1.4380747756857288e-89
3.0000000000000002e-15,0.002314566519871403,1.1309301412510444e-22,1.1309301393860227e-22,1.0988613105871334e-22,1.098861299946078e-22,3.1035568303485481e-31,2.2399219153897894e-23,3.5067155489245973e-30,2.3616490796236429e-30,1.0605772937254209e-23,7.5242377774591378e-30,2.351639478107287e-30,2.2849560254555989e-30,3.6220493923545277e-39,1.674167865700707e-45,8.882899050489559e-24,6.3019494400666079e-30,1.3632258968954964e-39,2.2832255069294696e-24,2.4157782806583253e-31,6.301043224171097e-46,1.8916027652923615e-39,2.3238448253088617e-54,8.8640013294194762e-60,3.0509066979875294e-32,1.7572603985896867e-55,7.9814995227618786e-47,8.2450639368544291e-55,9.2294625040997676e-55,6.3531475031239192e-25,1.0165792096265692e-39,3.9893429409891975e-39,3.1547514039676081e-32,9.7019875526850676e-71,1.2301703281444408e-50,3.7651277831378323e-54,6.1051150562678254e-57,4.7350719833109752e-40,3.3346481546318132e-50,2.6458843964108886e-56,2.559687449303708e-39,1.183127596673535e-45,3.5924897527354393e-65,8.5143917127004579e-40,6.4339764013219881e-55,1.5147828969616037e-71,2.7563514423109919e-55,2.5576965883822416e-39,1.1822073849361908e-45,7.8493820399682813e-47,1.2576909266635496e-50,1.3210641215777778e-32,9.1960368938337676e-66,4.5917005753905792e-68,7.3690648522337267e-76,4.4760062972365877e-42,2.0688800932778959e-48,7.6300957957611689e-57,2.9026917651571394e-62,1.2893286534962801e-78,1.6605593249619714e-81,8.6706058042428936e-91,3.1593410470314042e-73,4.0871501791705804e-75,2.2588669525448856e-49,2.0966266683628459e-61,7.0678499584966677e-72,1.809313299367428e-83,1.4133490420469922e-85,9.5157686254247058e-87,1.2963658914597804e-85,5.4609947194181384e-84,6.3547239305964929e-92,1.5549737305763042e-96,7.1657583466372307e-36,1.5045071223029954e-59,8.0071989548141984e-27,2.8533981436338102e-66,6.8080562519026201e-79,2.3727415387419822e-33,1.0862943517742961e-106,7.1897413401279532e-110,1.0840895405591586e-112,1.0532452244762927e-50,4.5312577481937682e-54,6.7730323010157859e-108,8.9297792164900877e-116,3.7707681787162941e-116,5.1406938499160706e-122,9.2739367538984467e-48,6.8409406803399518e-125,7.5203446019287701e-43,3.1932465804121889e-40,7.5646343923163495e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.2468194208680393e-50,2.8421143811350673e-52,3.1997970601683292e-54,2.7242915995703226e-57,1.4993076888744338e-52,2.1242298108122197e-55,6.1356387536396076e-61,5.2710948222846038e-62,5.558685830931892e-55,2.4716808576488467e-61,2.0625250811196304e-64,9.0177206509518798e-71,4.2021461522211416e-78,1.4611660958456289e-78,3.7531124093394819e-84,3.7531117583848781e-84,6.3708934899340651e-86,2.4691801446387684e-65,1.5284699742993231e-118,1.5891394087980285e-126,3.01375638995335e-134,4.2676953474801327e-141,7.5036076946651696e-151,6.3805883941926299e-156,2.7375127883692713e-156,3.1093088261501914e-76,3.9438936658421085e-151,2.1183706101809725e-161,1.3287239353207223e-166,1.3738596744522401e-172,7.1523355500024932e-173,2.3497348077550246e-97,2.689845996929356e-108,8.5268344774248556e-72,3.2537709470986619e-78,3.4102905631940428e-88
7e-15,0.002314566519871403,2.507714587836092e-22,2.5077145777001028e-22,2.4366054373424861e-22,2.4366053795106655e-22,1.6867156136568161e-30,4.9667834116828914e-23,1.9058235782802708e-29,1.2835048967480934e-29,2.3517124357344076e-23,4.0892553098054609e-29,1.2780648921575554e-29,1.2418238836791405e-29,5.8501517834426175e-38,8.4681643336737155e-44,1.9696842802620397e-23,3.4249689145941015e-29,2.2018140204298425e-38,5.0628038150046768e-24,1.3129228320199197e-30,3.1871519627565834e-44,3.0552235315770673e-38,3.8378089799133687e-52,4.9349422109154006e-57,1.6581008921503368e-31,1.0046902036045868e-53,3.9943804114019235e-45,1.5514222409020281e-52,1.506870225222274e-52,1.4087414407644876e-24,1.6419277351468334e-38,6.4433831138398093e-38,1.7145382068864701e-31,1.8124964610746339e-67,1.9869086317196263e-49,6.2138865226520658e-52,3.0880160649149904e-55,7.6478583308996206e-39,1.686709337975994e-48,4.3696977817567929e-54,4.1342743866965821e-38,5.9844115696340649e-44,5.9329489977294638e-63,1.375201845577378e-38,1.0625743811427731e-52,8.4333762887498905e-69,4.5521305421436618e-53,4.1310589533779632e-38,5.9797571237030061e-44,3.97031863750648e-45,6.35726091348563e-49,7.1796964915979965e-32,5.7958082666491908e-63,1.0037022439174135e-64,5.6861296429572416e-72,7.229421149073136e-41,1.0464673149563954e-46,1.2601036411641738e-54,1.6160441670435894e-59,8.696399194943192e-75,3.1930743341008672e-78,5.866049267366572e-87,5.8858090420963213e-70,2.6786780247011248e-71,1.1425658443265067e-47,1.0605015035615447e-59,1.1497819927397929e-69,9.7225583234208564e-81,2.2743586880591369e-82,5.2456747597480036e-83,8.2772027258816698e-82,9.9130247745876976e-81,3.5940080082320108e-88,3.1369649937673969e-92,3.8944339100927367e-35,2.4847053166339763e-57,1.7754972015716709e-26,1.5886165523737197e-63,5.2532539167330325e-75,1.2895329349041681e-32,7.8956169338296266e-102,1.8964948968088142e-104,1.0503271039923332e-106,5.3222716888233885e-49,7.4760553701810173e-52,9.6324576400759143e-103,5.4562542585133329e-110,2.304007032176874e-110,2.677606391158036e-116,5.0401822074504331e-47,1.5388161005167294e-118,1.2146494610023874e-41,5.1575768992450357e-39,1.1334202999693311e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.1364716157194051e-48,1.3324521398497517e-50,1.5548288701997296e-52,4.3301930862601157e-55,7.5837066338030126e-51,3.4309333089399476e-54,3.103359517626452e-59,2.6661506512057733e-60,8.9781032557042925e-54,1.2502079820841669e-59,1.0432468032069752e-62,1.4892744479601978e-68,2.3392178685422575e-75,8.1348219016640616e-76,7.2167332704838611e-81,7.2167288662988545e-81,1.2250458310871198e-82,1.2489416061882134e-63,5.6113737084736357e-114,2.3336579619199875e-121,1.7702877662852531e-128,1.0027422386800258e-134,7.0519662588204508e-144,2.3986161920835819e-148,1.0290968886300007e-148,5.1350306042567294e-74,3.7066461984085701e-144,7.9636049988894707e-154,1.9980229489879644e-158,8.2635766915905763e-164,4.3020315096474266e-164,1.58978994356092e-93,6.4971214361718283e-104,4.7472468311027211e-69,6.2566883990731908e-75,2.3073733210052782e-84
1.5e-14,0.002314566519871403,5.2612832594313647e-22,5.2612832145897526e-22,5.1120934564472651e-22,5.1120932005993237e-22,7.4620294705400459e-30,1.0420506507427633e-22,8.4313628517375554e-29,5.6782253851991649e-29,4.9339753551386284e-23,1.8090833508641122e-28,5.6541587772109333e-29,5.4938285439255951e-29,5.4407410234294746e-37,1.6286488926157844e-42,4.1324668830184227e-23,1.5152035968872141e-28,2.0477249161904108e-37,1.0621958705974786e-23,5.808369531494841e-30,6.1297253640540801e-43,2.8414129572432481e-37,1.5056393832509849e-50,3.914522178677306e-55,7.3354341274458532e-31,1.9942356274319732e-52,7.6622993701741356e-44,6.2813269815021789e-51,5.8964451582101688e-51,2.9555949363846482e-24,1.5270210957831985e-37,5.9924523277816436e-37,7.5851126206555094e-31,2.7808070590531408e-65,1.8478581647289132e-48,2.4354326475173544e-50,5.9389665645532705e-54,7.1126512179588204e-38,3.2439815448307871e-47,1.7143333302505265e-52,3.8449400867984032e-37,1.1509568338890517e-42,2.3275903670429657e-61,1.2789614426525955e-37,4.1687154408039492e-51,6.6895436932196852e-67,1.7859034124697325e-51,3.8419498321200867e-37,1.1500616935912579e-42,7.6359483652223777e-44,1.2214273138151445e-47,3.1762978591905654e-31,4.6634631967316221e-61,1.6245010074100652e-62,1.8460527123592692e-69,6.7234867934589007e-40,2.0126301152615093e-45,4.9436070697929033e-53,1.2818876947215049e-57,2.40215843830029e-72,5.0949330614761941e-76,1.8774220468361642e-84,8.9974524826527611e-68,8.2151600955454469e-69,2.1974545060616635e-46,2.0396203702693677e-58,4.4147626253908737e-68,7.3411296736947197e-79,2.923846645204506e-80,1.3282874941318658e-80,2.4565683477824772e-79,1.4663094297307153e-78,9.273988328756188e-86,1.6219833662868522e-89,1.7228975809700825e-34,9.7480760695770178e-56,3.7250150910509266e-26,1.2601496000873477e-61,1.7055205499015799e-72,5.7048899555369823e-32,8.1530597332884402e-99,3.8967357636436945e-101,4.3172686012767071e-103,1.0221209464196965e-47,2.9288492962304723e-50,1.2177812127442238e-99,1.3801547019875484e-106,5.8279665805235928e-107,5.6827070862651911e-113,2.2297760129461218e-46,6.5332212173941723e-115,1.1296465924309919e-40,4.796643062257229e-38,9.4580788709006218e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.1857324866523201e-47,2.3093051034765721e-49,2.7187066270603722e-51,1.5480925053141369e-53,1.4585470291331782e-49,3.1908036223749854e-53,5.9681997612243658e-58,5.1275895689058104e-59,8.3497802700926265e-53,2.4044727257166472e-58,2.0064187573909974e-61,5.8427171752861383e-67,1.8552066007018551e-73,6.4526681629049223e-74,1.1514956632633105e-78,1.1514942536251206e-78,1.954690846459051e-80,2.4020328839868611e-62,5.1661517855394845e-110,4.2972019366526126e-117,6.5197837930348724e-124,7.3860856844894985e-130,1.0388361339011497e-138,7.0668998759910974e-143,3.0319675225244351e-143,2.0145819058265297e-72,5.4605836456467909e-139,2.3463251860386927e-148,1.1773537261013573e-152,9.7387874855790214e-158,5.0700289709011255e-158,5.0885057496645765e-91,4.1654400870910377e-101,3.7656587309692666e-67,9.98339111536483e-73,7.3854367652938946e-82
3.1e-14,0.002314566519871403,1.0768419716322764e-21,1.0768419529415173e-21,1.046306855703326e-21,1.0463067490614898e-21,3.1103030936888219e-29,2.132795311154522e-22,3.514337867271637e-28,2.3667826872106344e-28,1.0098471735669969e-22,7.540547403564196e-28,2.3567512846563426e-28,2.2899228505182212e-28,4.5919602391373895e-36,2.7690668679422321e-41,8.4580074979982265e-23,6.3156100306919273e-28,1.7282708333396724e-36,2.1740261587199073e-23,2.4210283754045329e-29,1.0421904764275363e-41,2.398144222488059e-36,5.1397629556569102e-49,2.6780336529572935e-53,3.0575328486408934e-30,3.442671686616766e-51,1.3011611472276637e-42,2.1779537797485453e-49,2.0103779598106376e-49,6.0493023864751663e-24,1.2887991900660307e-36,5.0575954612868699e-36,3.1616030264870151e-30,3.5371364620378258e-63,1.5595824441854465e-47,8.2976585274546717e-49,1.0097254201811092e-52,6.0030652924428267e-37,5.5154915110154117e-46,5.8523436654577938e-51,3.2451022401360738e-36,1.9568782536047949e-41,7.9455752838732761e-60,1.0794379534390781e-36,1.4230983039748736e-49,4.5764680866490093e-65,6.0966506634351501e-50,3.2425787330205633e-36,1.9553564195955133e-41,1.2982783961966439e-42,2.072544208801554e-46,1.3239361947618428e-30,3.1352861951140498e-59,2.1870752137589245e-60,4.9738254004683135e-67,5.6745945750747599e-39,3.4219223827088623e-44,1.6875871155745496e-51,8.7697534155260142e-56,4.9854683441044967e-70,6.9783780188410328e-74,5.1447048367047916e-82,1.1370952112013261e-65,2.0779032417622756e-66,3.7361713506194492e-45,3.4678079778074774e-57,1.445878178216204e-66,4.568320407920369e-77,2.8183830072959583e-78,2.4809413665830676e-78,5.8782470325808335e-77,1.7529282872401546e-76,1.7898497992155148e-83,6.2648623855710193e-87,7.1813363659933074e-34,3.3277735474634139e-54,7.6239039851936135e-26,8.6212850298419607e-60,4.5952150327835158e-70,2.3778941154814762e-31,6.2701044828822695e-96,5.9285717214639592e-98,1.3137878872993455e-99,1.732844332081899e-46,9.9701966373488339e-49,1.3432556349105383e-96,3.0448950554583649e-103,1.2857653577637212e-103,9.4889550866156615e-110,9.2940886552837792e-46,2.181967262997316e-111,9.534195775015403e-40,4.0483586403956411e-37,6.6328191367865427e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.7162371716881307e-46,3.2826541221115109e-48,3.8808664371917458e-50,4.4508897303188867e-52,2.479863854700934e-48,2.6929854927664419e-52,1.0146028755093143e-56,8.7176656966265294e-58,7.0471609461897849e-52,4.088129435739166e-57,3.411302963565047e-60,1.9945364835564775e-65,1.2687614822504977e-71,4.4143405716699118e-72,1.5771127604081636e-76,1.5771088971125636e-76,2.6772361609576819e-78,4.0839668137541138e-61,1.3318323859585005e-106,2.2159438091206744e-113,6.7245917218649571e-120,1.5236745757809051e-125,4.2856853930355255e-134,5.8309022065867203e-138,2.5016789234428891e-138,6.8772618246495267e-71,2.2529653748982834e-134,1.9360458993408911e-143,1.9429464773394085e-147,3.2143240133993739e-152,1.6733826379626967e-152,1.3946247785037494e-88,2.2838720120656799e-98,2.5762212388535101e-65,1.3674212206559948e-70,2.0242254719614928e-79
6.300000000000001e-14,0.002314566519871403,2.1782689084910137e-21,2.1782688323251872e-21,2.1165015007712182e-21,2.1165010662001722e-21,1.2674651104011217e-28,4.3142847970244464e-22,1.4321113034964941e-27,9.6447659617837451e-28,2.0427346665047612e-22,3.0727928034771245e-27,9.6038872692711152e-28,9.3315576981529019e-28,3.7582419320646405e-35,4.5429428536194566e-40,1.7108990366995426e-22,2.5736278013152327e-27,1.414486014002638e-35,4.3976839746826431e-23,9.8658147952291052e-29,1.7098229705156044e-40,1.9627440101339791e-35,1.6883629808843462e-47,1.7604795657036911e-51,1.2459584256794847e-29,5.6911524387883902e-50,2.1333848387911127e-41,7.2109612476087477e-48,6.6001160370384941e-48,1.2236719121947583e-23,1.0548049867046874e-35,4.1393255021157479e-35,1.2883674637035755e-29,4.0710307058117858e-61,1.2764218638033616e-46,2.7151839516803026e-47,1.656456489780865e-51,4.9131797474491026e-36,9.0487333974253995e-45,1.9225488692173435e-49,2.6559047212915014e-35,3.2104449953674026e-40,2.6100055337938947e-58,8.834554062319903e-36,4.6749682600906853e-48,3.0084219068269731e-63,2.0027948326174843e-48,2.653839797887067e-35,3.2079486101348637e-40,2.1299500021021829e-41,3.3866922343402417e-45,5.3951126591651009e-30,1.9502686347610494e-57,2.7225466447279845e-58,1.238681833577826e-64,4.6443173475778315e-38,5.6140258722633781e-43,5.54356567622322e-50,5.7650436943869599e-54,8.5062942276706158e-68,9.1775182491535819e-72,1.3529319532601264e-79,1.2951745858873299e-63,4.735612720366451e-64,6.1296044532883833e-44,5.6892933109854452e-56,4.3929198818333758e-65,2.5163052547954484e-75,2.1981797072625849e-76,3.6452558976984884e-76,1.2332586899731651e-74,1.8377522681391189e-74,2.7941777200218908e-81,1.957246200471729e-84,2.9264336401234079e-33,1.0932058274928591e-52,1.5421094282125032e-25,5.6677697765780936e-58,1.144405561815804e-67,9.6900226777167195e-31,3.8818225801478164e-93,7.1837464943347816e-95,3.1841437026238142e-96,2.8267027250051014e-45,3.2569253670568206e-47,1.3535041367470803e-93,6.1365160769268793e-100,2.5912623510990958e-100,1.2884099676689964e-106,3.787387588999332e-45,5.9257564775978374e-108,7.8032133496928601e-39,3.3133598949276578e-36,4.0468114869643561e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,6.0968868311203687e-45,4.0514803025743589e-47,4.7997338549834134e-49,1.1071604085719093e-50,4.0685018511184522e-47,2.2039838723821004e-51,1.6641544424925827e-55,1.4300988819461408e-56,5.7676509169914664e-51,6.7069657255256079e-56,5.5964112970985157e-59,6.5520123299351863e-64,8.3348177124960311e-70,2.9017452206238386e-70,2.0739695981843044e-74,2.0739594362390104e-74,3.5208104679645409e-76,6.7000895654912105e-60,2.9608660737372336e-103,9.8530629040257274e-110,5.9801768611588774e-116,2.7100274286600231e-121,1.5242247731604142e-129,4.1475813588187961e-133,1.7794719084352199e-133,2.2592031781274455e-69,8.0143381151233437e-130,1.3772603698290062e-138,2.7642717198247015e-142,9.1461779084720909e-147,4.7615172124717992e-147,3.6686808769304167e-86,1.2016706938716384e-95,1.6935891454768444e-63,1.7984137646017605e-68,5.3252833430197516e-77
1.2700000000000001e-13,0.002314566519871403,4.3811213641312492e-21,4.3811210567679584e-21,4.2568892907107091e-21,4.2568875370219203e-21,5.1147923721035778e-28,8.677264428911238e-22,5.7792128135344859e-27,3.892097460522042e-27,4.1084625208449083e-22,1.2399937042028363e-26,3.8756009129853723e-27,3.7657035607589101e-27,3.0384117897959024e-34,7.3521821842775473e-39,3.441056267049548e-22,1.0385609864418141e-26,1.1435654878959209e-34,8.8449885655136024e-23,3.9812963903246572e-28,2.7671363958078608e-39,1.586825072400883e-34,5.4666679370356328e-46,1.1402967870060351e-49,5.0279828270014561e-29,9.2455317347805159e-49,3.4515359038207868e-40,2.3442517717111448e-46,2.1365744482993971e-46,2.4611559933182664e-23,8.5277543696879333e-35,3.3464876760854643e-34,5.1991214628769589e-29,4.2199579812430151e-59,1.0319405994058688e-45,8.724050535937564e-46,2.6804324342920565e-50,3.9721943650483731e-35,1.46442206160029e-43,6.2256388058555533e-48,2.1471845616379553e-34,5.1956443258786564e-39,8.4505505622527949e-57,7.1424498363269476e-35,1.5138317096147628e-46,1.9485535665775319e-61,6.4854208711029341e-47,2.145515810869744e-34,5.1916053470106606e-39,3.4470207131000272e-40,5.4376568390290356e-44,2.1771724809229133e-29,1.1298451231498778e-55,3.1563761826066751e-56,2.8729140387590397e-62,3.7547813677695796e-37,9.0856132347033474e-42,1.7949262116919682e-48,3.7341352223245313e-52,1.2102506076235884e-65,1.1889926352946569e-69,3.5033341128296252e-77,1.3233449372764774e-61,9.6821209828977063e-62,9.9200783669413853e-43,9.2073831771338828e-55,1.2364363626637678e-63,1.1922724592016755e-73,1.3961144302509709e-74,4.1489317057427648e-74,2.2744637222555275e-72,1.6935500681397052e-72,3.5514034252415119e-79,4.9789719611575315e-82,1.1809483309040017e-32,3.5400523361702209e-51,3.1013125293784337e-25,3.6715511533269212e-56,2.6543158540166307e-65,3.9103420768277258e-30,1.9389576009982253e-90,6.881368807604764e-92,6.1009011253504672e-93,4.5230861965798033e-44,1.0429615709683665e-45,1.262904263906518e-90,1.1451962431279126e-96,4.835813426437196e-97,1.4597376369905059e-103,1.5283788790656598e-44,1.3428461867242654e-104,6.3087160257523737e-38,2.6787768744214576e-35,2.1579514347255683e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,9.867085245933311e-44,4.3747424322356586e-46,5.1880215888832936e-48,2.4079513245167392e-49,6.5844453950215023e-46,1.7817464969745409e-50,2.6919077570259096e-54,2.3140308955306115e-55,4.6629117041428191e-50,1.085426229866194e-54,9.0564844689093727e-58,2.1215417137807695e-62,5.3912076254162541e-68,1.8793306298143692e-68,2.6865447484459465e-72,2.6865184221854896e-72,4.5610726000558258e-74,1.0842982550791818e-58,6.2804724901459635e-100,4.1800284740752066e-106,5.0740191024283543e-112,4.5987830624792633e-117,5.1710657028372787e-125,2.8142030118427657e-128,1.207403602040896e-128,7.3155362868630385e-68,2.7199910825688341e-125,9.3467153197299339e-134,3.7517335682663179e-137,2.4826800680631563e-141,1.2924884980715068e-141,9.5058190575359802e-84,6.2273498222298657e-93,1.0970218060707798e-61,2.3301130344819189e-66,1.3800195424305741e-74
