Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622),S(10634),S(10654),S(11179),S(11193),S(12065),S(11559),S(10226),S(11013),S(13044),S(13047),S(14368),S(13836),C5H8(9850),S(15615),CHO(330),S(16928),S(16826),S(456),S(18023),CHO3(881),S(10202),S(18746),S(18747),S(18745),S(18626),S(19256),S(19255),S(18650),S(19434),S(18838),S(19740),S(19976),S(19862),S(20255),S(19528),S(19527),S(19431),S(19864),S(20911),S(19731),S(21226),S(21404),S(18071),C3H5O(710)
0.0,0.0031156173717949683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0031156173717949683,7.5687984498071619e-21,7.5687984040035344e-21,7.3207374215476563e-21,7.3207374187497526e-21,6.6489549238814896e-29,2.2296939256262723e-22,9.6195325451028344e-29,6.4364229348949909e-29,1.062296711184446e-22,2.7993773567213144e-29,6.4114629640344644e-29,6.2013326561423772e-29,2.5370726303245425e-37,6.6857249847037392e-44,8.7815663155452922e-23,2.3141292021916036e-29,8.6315959054361294e-38,2.0736608226315821e-23,1.0551715427885397e-30,2.2746087472121214e-44,1.6613059403515537e-37,2.2934274993105237e-52,1.7144364847701739e-57,2.0008768045013505e-30,3.1132436419772577e-53,2.8366364632162681e-45,1.2095650435166201e-52,2.5261438189498867e-53,9.6067504490372211e-24,4.6553624060105993e-39,4.5350649435116415e-38,2.179296752985548e-30,2.7146391510942332e-67,3.4192965905553729e-47,2.9623390435548458e-52,1.0303748635565959e-53,1.5989411083630061e-38,1.2792075242354234e-47,2.5537604820908431e-53,4.630291593389894e-38,1.2201801611911631e-44,1.3035826638946505e-61,3.8483950958549651e-39,2.3912251850768326e-53,3.4352173031665135e-68,4.0815360673367786e-54,4.6322514511295621e-38,1.2206966000129107e-44,2.5191226895556688e-45,7.3830697768128748e-49,8.1377943225142337e-32,1.9125906423152269e-62,1.0436376929255342e-64,1.241659716728792e-72,1.3385648460424052e-40,3.5274025912109166e-47,3.556586258985228e-55,2.6538183753111418e-60,2.391934959458841e-74,5.7456620342466007e-78,2.439084168933242e-86,4.1595242827902377e-70,5.8072282642279546e-72,3.3539816949440706e-47,7.9532042496705493e-58,4.7948670708469688e-68,2.2068687039845212e-79,2.6851905785157441e-81,1.7208594048047397e-82,5.0333253416727065e-80,2.2097608351820216e-78,8.410777323703328e-88,2.118907293625858e-92,1.0225181212166942e-34,2.6834747129389307e-56,1.4193420465568527e-24,1.8531882128098464e-62,2.4364652633326046e-75,2.7950423717440866e-32,1.3487225487900749e-101,1.0961885234692935e-104,2.2766443061646539e-107,6.1021880850907469e-49,3.530843567243383e-52,-3.6201766502983824e-103,-4.3070857692170435e-111,-1.1060437365679875e-110,-8.2566854115431119e-116,4.9378831161025249e-44,3.9100874199824379e-87,4.9102408055030939e-42,1.0707316495313162e-38,1.3212581790046192e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,8.5624677415680713e-48,4.0827210330692777e-49,1.0070027033773054e-50,1.0450770316058055e-53,1.0587283960378066e-50,1.0286265297496022e-52,1.8728594837178349e-58,1.5498402469454882e-59,1.4959742430827666e-52,7.7241169380020092e-59,4.9170907517711758e-61,1.2957576682714449e-67,7.9469721354021105e-75,5.6593250570039851e-75,1.0304536464344116e-80,1.0304529979904406e-80,5.251807276517973e-82,1.785279436085069e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2083243175372183e-72,0.0,0.0,0.0,0.0,0.0,2.7988721681922245e-92,1.8943508361942454e-102,7.4390460298962629e-68,1.8199506248849762e-74,2.3226105654152021e-84,6.4748744093719625e-64,3.7484866225545198e-67,1.5661191691577103e-86,7.956600738335829e-81,1.8023776180407073e-86,1.4407289863821578e-86,1.1971525673393148e-87,4.2757618126303158e-88,1.5559778617021352e-93,9.7420689345386833e-94,1.3714645495996338e-90,2.7045431371570635e-100,2.7067704981495607e-100,1.996999310077458e-103,9.7713498489329142e-111,1.9986440322816413e-103,3.8412376039289638e-111,9.2824035712678838e-101,9.2822842754620783e-101,1.7959217291689779e-103,2.5179265887825342e-109,2.5974091034645373e-110,3.0675011267708851e-110,6.7375073728886676e-117,4.9748876963324699e-120,5.9598046539540351e-77,3.6647781472596556e-71
3.0000000000000002e-15,0.0031156173717949683,2.4868909053439127e-20,2.4868908752443866e-20,2.4053851240461705e-20,2.4053851222075489e-20,4.3693132139722707e-28,7.3261374234197335e-22,6.3214070543823948e-28,4.2296493428609923e-28,3.4904025399617525e-22,1.8395905136851237e-28,4.213247063842927e-28,4.0751614280773877e-28,2.3920967781813231e-36,8.2138897207792295e-43,2.8853710178141412e-22,1.520713225418986e-28,8.1383610899915645e-37,6.8134621322402133e-23,6.9339866821256906e-30,2.7945190252861137e-43,1.5663740162755668e-36,3.4728989832420794e-51,3.0859815492725582e-56,1.3148618746415634e-29,4.006921013956577e-52,3.4007816442202105e-44,1.9023687769006076e-51,3.7502941556204651e-52,3.1565037683803394e-23,4.3893411641189643e-38,4.2759174176745742e-37,1.43210926545802e-29,5.6524886629576914e-66,3.2239079272148998e-46,4.4854899973214967e-51,1.2658856140745665e-52,1.5075730540491881e-37,1.5715973489980016e-46,3.867122128478278e-52,4.3657025257021611e-37,1.4990781880034845e-43,1.9739917503180928e-60,3.6284863887866399e-38,3.6209973166345372e-52,6.1833782899914618e-67,6.1806107748863366e-53,4.3675504297838478e-37,1.4997126728064007e-43,3.0949216406172955e-44,9.069784321402099e-48,5.3476934402826034e-31,3.551556205949956e-61,2.2361066827208605e-63,3.0151494560552932e-71,1.2620753123612802e-39,4.3336656213908504e-46,5.3856792589224207e-54,4.7768667294986832e-59,5.7721789653940544e-73,1.1983787876998424e-76,5.7840871997667313e-85,8.6592056481175967e-69,1.374856742689017e-70,4.1206057665340616e-46,9.7710788508044108e-57,7.251634218034575e-67,3.9626381658179259e-78,5.5440925592392317e-80,4.02753516606084e-81,1.1903429980130321e-78,4.5945554367605908e-77,1.9768641291445793e-86,5.5856692580370026e-91,6.7194048920428437e-34,4.0635466402805166e-55,4.6635462070438126e-24,3.3357382428968764e-61,5.9165234105936519e-74,1.8367423294725156e-31,3.9404145192518356e-100,3.5151533391933278e-103,7.9509967308724751e-106,7.4959650446118313e-48,5.3461222109350104e-51,1.4998776402877708e-101,1.6614117931946385e-109,4.266444050778218e-109,3.1994150329217704e-114,3.2448945912536045e-43,1.0166458679638249e-85,4.6296568911614808e-41,1.0095469989205224e-37,1.2341716333518563e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.0519600523671962e-46,4.9783048018200988e-48,1.2461107049901791e-49,1.5918190389389105e-52,1.3007237318000612e-49,9.6984759089536156e-52,2.3009167377794822e-57,1.9040839417611612e-58,1.4104896596788036e-51,9.4896266837310945e-58,6.0409953045653525e-60,1.9621467374077352e-66,1.4304376827929078e-73,1.0186776394229958e-73,2.1492279605272958e-79,2.1492264227928014e-79,1.0953761381069111e-80,2.1933441827300335e-61,7.3966909547801526e-111,6.2656741328028741e-119,3.350993491222664e-126,3.5252051772095683e-133,3.3302487986697101e-142,2.1630510135732776e-147,2.4533056138941119e-147,1.8297484651132832e-71,4.5150150070707403e-143,3.5868591759898456e-152,4.9828232870389637e-157,4.0105089848737409e-163,2.7846541747777012e-157,6.6373211205210876e-91,5.0335573293658432e-101,1.3390270386847805e-66,3.7958939675270451e-73,5.5079011629085631e-83,1.1653701999008065e-62,7.817651523370469e-66,3.6245398984612724e-85,1.2048561061692822e-79,3.2408298175726328e-85,2.5910307838398912e-85,2.1543918840076447e-86,7.696360597406798e-87,3.2450068492366622e-92,2.0316594122491141e-92,2.4686362379662113e-89,5.6373119301700963e-99,5.6419503467844102e-99,4.7330886594759189e-102,2.5950512323664723e-109,4.7369836873472245e-102,1.0201459016762812e-109,1.9360430273178599e-99,1.9360147372433134e-99,4.2584240945881438e-102,6.5243565378497663e-108,6.8712278502225122e-109,8.1499754797983036e-109,1.9822896908632017e-115,1.6058365392954437e-118,1.4132081236116777e-75,6.5959947324145162e-70
7e-15,0.0031156173717949683,5.5144101790665358e-20,5.514410015482163e-20,5.3336798726800974e-20,5.3336798626875863e-20,2.3746266699062906e-27,1.6244914956467407e-21,3.4355471470612152e-27,2.29872241817689e-27,7.739582194388633e-22,9.9977631881656476e-28,2.2898080920630523e-27,2.2147615336808734e-27,3.8635946899903228e-35,4.1546941145494723e-41,6.397991639781239e-22,8.2647369381733743e-28,1.3144674938823238e-35,1.510814478243004e-22,3.7684790086652011e-29,1.4135049388467284e-41,2.5299290552999373e-35,5.7353893621361144e-49,1.7180668606091211e-53,7.1459875487655856e-29,2.2879638106657081e-50,1.6244607538504976e-42,3.5747248960757545e-49,5.8241048493851601e-50,6.9992043260943023e-23,7.0894431319586346e-37,6.9062403181841519e-36,7.7832014913042684e-29,1.0502576276733427e-62,5.2070955284463686e-45,7.3995085282638133e-49,6.4028133095022299e-51,2.4349587651353055e-36,7.9493294909666193e-45,6.3865659641695861e-50,7.0512565901562479e-36,7.5825286904323385e-42,3.2599462274035841e-58,5.8605491240042618e-37,5.9800909800881437e-50,3.4424431199613812e-64,1.0207312713916729e-50,7.0542418009673523e-36,7.5857381744491565e-42,1.5654513881653725e-42,4.5825036027472366e-46,2.9063552308292192e-30,2.2282315781898657e-58,4.8652699783963815e-60,2.3156533005722787e-67,2.038441166617529e-38,2.1920259953538528e-44,8.8942902950381881e-52,2.6594383078134928e-56,3.849046648793961e-69,2.3042974543210072e-73,3.9130609658607627e-81,1.6020125678714537e-65,8.9478331835115602e-67,2.0842579757865434e-44,4.9423440406204117e-55,1.1754796179033381e-64,2.0886002012780241e-75,8.7058014534091904e-77,2.11597808955676e-77,7.5596025789212051e-75,8.2958523680097067e-74,1.0908148935208331e-82,1.0992815479708333e-86,3.6518508221391475e-33,6.7109663153035898e-53,1.0340866708033224e-23,1.8571536426365519e-58,4.5439546321502975e-70,9.9823023231360777e-31,2.7920733978103641e-95,9.0204186604530807e-98,7.4937134014231737e-100,3.7854490501570167e-46,8.8147961672125434e-49,2.1218721550724334e-96,1.0097960250135505e-103,2.593121953374642e-103,1.6348880183381873e-108,1.7635295703119257e-42,1.5690835058953868e-81,7.4776126258128807e-40,1.6305713080817572e-36,1.8379162852293029e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.3209434291339327e-45,2.3184954998458222e-46,6.0056571720259761e-48,2.5090095591148936e-50,6.5792556652649108e-48,1.5664466570256494e-50,1.1636845314863248e-55,9.6307880132124313e-57,2.2781494624118186e-50,4.799969209972783e-56,3.0556081456024078e-58,3.2404893142883654e-64,7.9621799312289849e-71,5.6713604757315112e-71,4.132630716944628e-76,4.1326203133460944e-76,2.1062857943895589e-77,1.1094294052918013e-59,2.6493428060273029e-106,8.9770044292889077e-114,1.9204268447071146e-120,8.0810680230630973e-127,3.0535358440802169e-135,7.9332728795758175e-140,8.9978344389815854e-140,3.0218520931445698e-69,4.1400310583973503e-136,1.3155296214637943e-144,7.3100477761765151e-149,2.3534451724432604e-154,1.5954126817968109e-151,4.490717823272051e-87,1.2158213558987606e-96,7.4548547825415901e-64,7.2990687341279646e-70,3.7265626782776614e-79,6.477481403326785e-60,1.5007801182620535e-62,1.57107263457602e-81,1.9898174282378365e-77,1.7706290031865771e-82,1.4201866979175336e-82,1.1946564245369716e-83,4.284812980333546e-84,6.2271124742858914e-89,3.8963811260971283e-89,1.3744040380474544e-86,1.0697767977605086e-95,1.0706404639533658e-95,3.1601095753458935e-98,6.1827143543176789e-105,3.1626612736836753e-98,2.4304617689042784e-105,3.7228058779990876e-96,3.722614480275862e-96,2.8735632771303729e-98,9.5358638473959727e-104,1.4838773391545318e-104,1.9633414016831946e-104,1.7173480928415296e-110,5.0722859197932312e-113,9.5428327053717828e-72,3.6662619738385616e-67
1.5e-14,0.0031156173717949683,1.1569448456183902e-19,1.1569447732486714e-19,1.1190268809985856e-19,1.1190268765779002e-19,1.0505347823127736e-26,3.4082474682099992e-21,1.5198859365247821e-26,1.016954760490837e-26,1.6237923200704772e-21,4.4230020986357669e-27,1.0130110302537391e-26,9.798104201812454e-27,3.593209645999697e-34,7.9905580866532602e-40,1.3423217854767645e-21,3.656313115976365e-27,1.2224777811567156e-34,3.1697610270981756e-22,1.6671809822146476e-28,2.7185385583964609e-40,2.3528781159856876e-34,2.2500520477910918e-47,1.3627898304855758e-51,3.1613842298866463e-28,4.5398376723147175e-49,3.0796685115509451e-41,1.4468103270553732e-47,2.2523002945766352e-48,1.4684606403940966e-22,6.5933035964733736e-36,6.422912381109083e-35,3.4432875766594825e-28,1.5999538353788719e-60,4.8426903420257583e-44,2.8982733361892818e-47,1.2313689361887e-49,2.264557159506331e-35,1.5288578089950272e-43,2.5055887303804518e-48,6.5577798243406314e-35,1.4583155476032337e-40,1.2788861460296728e-56,5.4504116447889411e-36,2.3461203247910826e-48,2.7305326117691226e-62,4.00455760936828e-49,6.5605569519105423e-35,1.4589328656271118e-40,3.0107677568125971e-41,8.7986455745351962e-45,1.2857716277853008e-29,1.7845576304580179e-56,7.8380138697000449e-58,7.4832166525564236e-65,1.8957860688877939e-37,4.2158381511046087e-43,3.4893219579334071e-50,2.109496592013848e-54,1.0509729417172303e-66,3.6766615278104891e-71,1.2523122996956437e-78,2.4269747002826663e-63,2.7196416756232653e-64,4.0085735694113952e-43,9.5054227059697492e-54,4.4910104394380938e-63,1.5368838599715295e-73,1.0943224721892955e-74,5.0816986371084673e-75,2.2290449559100649e-72,1.2191133004857814e-71,2.7522409931704167e-80,5.5579174468016161e-84,1.6155790516391827e-32,2.6328606379004948e-51,2.1695386331977186e-23,1.4731591355871682e-56,1.4684275878484682e-67,4.4161757319555505e-30,2.8169178242443058e-92,1.8059658951564559e-94,3.0013587623766435e-96,7.2628599688583264e-45,3.4500925026459443e-47,2.6701951748700179e-93,2.5424898422599614e-100,6.5290348917124847e-100,3.4108883896343108e-105,7.8018540927246942e-42,6.7028412246789337e-79,6.9543426576156928e-39,1.5164618509962762e-35,1.5213701911132255e-44,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.0233531119233035e-43,3.9865617707513578e-45,1.0414431565964397e-46,8.8974582613227215e-49,1.2653687334856014e-46,1.4568187303122836e-49,2.2376370606130458e-54,1.85215879173015e-55,2.1187143754294985e-49,9.231562525916275e-55,5.8767089209221788e-57,1.2713127190137722e-62,6.3139579582191653e-69,4.4986417160528356e-69,6.5938835952249331e-74,6.5938502979952747e-74,3.3608249747280113e-75,2.1337413583939652e-58,2.3327885155445138e-102,1.5809574558463517e-109,6.764377122823747e-116,5.6929159981671485e-122,4.3020750991508918e-130,2.2354138152545812e-134,2.5353883355840837e-134,1.1855474060206546e-67,5.8331432478122258e-131,3.7068675474721359e-139,4.1196025914057471e-143,2.6525855447703498e-148,4.7351781731023034e-146,1.4373718551822494e-84,7.7949136869382476e-94,5.9133347246209964e-62,1.1646493175886213e-67,1.1927815944749607e-76,5.1261812729171863e-58,2.3891600320847613e-60,3.3480307750610793e-79,7.8064533596228788e-76,1.3681451701490737e-80,1.1022146145001796e-80,9.422863998212359e-82,3.398761161512069e-82,9.907811965293826e-87,6.1942438726518396e-87,1.0902307729562929e-84,1.6760613426650716e-93,1.6773796288116572e-93,9.9322512970889971e-96,3.8903576798842792e-102,9.9400667543638842e-96,1.5292913104734549e-102,5.9401993464666809e-94,5.9395867675803921e-94,9.163815611179134e-96,3.9408215850055159e-101,8.2892824020240416e-102,1.2541324612897866e-101,2.1828598528375326e-107,1.2899434575096804e-109,3.0461127338312477e-69,2.9014335318991397e-65
3.1e-14,0.0031156173717949683,2.3679523929107206e-19,2.3679520912612266e-19,2.2903444444749437e-19,2.2903444260487717e-19,4.3788108840422541e-26,6.9757612771345688e-21,6.3351474448605252e-26,4.2388436796135754e-26,3.3234532003658246e-21,1.843577265840613e-26,4.2224052636718349e-26,4.0840192542934939e-26,3.0326533546929525e-33,1.3585725184300686e-38,2.7473610169308563e-21,1.524009479512239e-26,1.0317665390260587e-33,6.4876942000365038e-22,6.9491475698059954e-28,4.6221222155448138e-39,1.9858197432155883e-33,7.6806661439966177e-46,9.3228884478101148e-50,1.317719289084013e-27,7.8358056321900201e-48,5.2003653831482874e-40,5.0156992488831131e-46,7.6350598271193785e-47,3.0055414409209091e-22,5.5647184844312971e-35,5.4208933846138128e-34,1.4352214151997031e-27,2.0097604643269132e-58,4.0872125663554509e-43,9.8621571657949727e-46,2.0934036507173204e-48,1.9112822974275756e-34,2.599380884550756e-42,8.5534514387365196e-47,5.5347206085419987e-34,2.4794537043587994e-39,4.365378396914735e-55,4.6001237194234362e-35,8.0090701668661653e-47,1.8678955024591753e-60,1.3670601510799095e-47,5.5370658683696714e-34,2.4805034527169911e-39,5.1189654948112319e-40,1.4910477328212445e-43,5.3593199528833306e-29,1.1898488725759204e-54,1.0465385553571829e-55,1.9995966654633869e-62,1.6000363027836792e-36,7.1678677007236881e-42,1.1910981149753599e-48,1.4431138689869785e-52,2.1438263379751758e-64,5.0354818112494691e-69,3.4313963937246913e-76,3.0193659539928245e-61,6.7718705154251104e-62,6.815476430869574e-42,1.616136146162076e-52,1.4573322220649694e-61,9.1304176551724738e-72,1.0303087568408486e-72,8.7689761943243678e-73,5.2784220974062022e-70,1.4422385995723878e-69,5.1876422047690755e-78,2.096614641648217e-81,6.7340159693814819e-32,8.9879433914629039e-50,4.4403940084578563e-23,1.007852975069256e-54,3.9238658141087586e-65,1.8407429330449939e-29,2.1122929564046927e-89,2.6648156892657386e-91,8.8581752067706855e-93,1.2289920309830652e-43,1.1722904644586323e-45,2.9211026778787505e-90,5.5631272181328163e-97,1.4285957797552955e-96,5.5643285358671547e-102,3.2519476331348184e-41,2.2045177922554002e-76,5.8694915067100694e-38,1.2798912604792871e-34,1.0543185373271376e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.7399184137974468e-42,5.6010181569982941e-44,1.4690834597477563e-45,2.5283807548433275e-47,2.1514304768348483e-45,1.2295426380387528e-48,3.803032038975949e-53,3.14877120971137e-54,1.7881793001518409e-48,1.5695616160613061e-53,9.9916418344006368e-56,4.3399311237002443e-61,4.3170395536294256e-67,3.0776103690450742e-67,9.030832647569262e-72,9.0307413995908132e-72,4.6032037699516124e-73,3.6279014562976756e-57,5.9516432793255882e-99,8.068112847440475e-106,6.9046119141181823e-112,1.162228008904141e-117,1.756402088258655e-125,1.8253063150031592e-129,2.0702567936972473e-129,4.0472232123883063e-66,2.3817531638996511e-126,3.0268206765030234e-134,6.7276384670922411e-138,8.6637779516822753e-143,1.3028282837313235e-141,3.9395075171846556e-82,4.2739107838195224e-91,4.0454146252462093e-60,1.5951731617660468e-65,3.2691291828155594e-74,3.4908225471469017e-56,3.2573879150714054e-58,5.5018592862530025e-77,2.6649105737142769e-74,8.9005738377352077e-79,7.2295769792557707e-79,6.3747963591539992e-80,2.3251087324938378e-80,1.3493765985397146e-84,8.4221655311206181e-85,7.4588295555141346e-83,2.2156000741411781e-91,2.2172574885427668e-91,2.6274821322819196e-93,2.0566884994953056e-99,2.6294494748627669e-93,8.0844910072261813e-100,8.1361649675187682e-92,8.1344862445963119e-92,2.4933070669095746e-93,1.2575372611770196e-98,3.607075346223963e-99,6.8263770400680125e-99,2.349187864379463e-104,2.7766655010822021e-106,8.3034554103521708e-67,1.9758288449126391e-63
6.300000000000001e-14,0.0031156173717949683,4.7899670549708723e-19,4.7899658257332846e-19,4.6329786754888322e-19,4.6329786004012928e-19,1.7843888080673825e-25,1.411079635004115e-20,2.5816061366111017e-25,1.7273515398537013e-25,6.7227456774623748e-21,7.51262219467271e-26,1.7206525821214508e-25,1.6642594491920377e-25,2.4820451945740391e-32,2.2288771476519441e-37,5.5574154339536924e-21,6.210378242735315e-26,8.4444010715669537e-33,1.312372084649837e-21,2.8318541418905598e-27,7.5830716636952501e-38,1.6252758993990794e-32,2.5228419841776081e-44,6.1282168803208472e-48,5.3697731858375852e-27,1.2952381963359974e-46,8.5027376523356617e-39,1.6604901549530314e-44,2.4994049098832263e-45,6.0797045817243374e-22,4.5543870204027319e-34,4.4366492326366678e-33,5.84860005108704e-27,2.2671480251743402e-56,3.345143548575044e-42,3.2190759107238493e-44,3.4337965798638978e-47,1.5642797211986536e-33,4.2644935444274604e-41,2.8098496056048464e-45,4.5298094890044853e-33,4.0677746375335691e-38,1.4337732293927742e-53,3.7649257298246667e-34,2.6310202966487533e-45,1.2277316340261561e-58,4.490888218167079e-46,4.5317311904948683e-33,4.0694974155679704e-38,8.3981567675114419e-39,2.4302605215328553e-42,2.1839524316231777e-28,7.2933852458638861e-53,1.2838403960082821e-53,4.9074754305330064e-60,1.3095356836159765e-35,1.1759638285830764e-40,3.9123620630746955e-47,9.486031812801422e-51,3.5708795247111096e-62,6.6214722578624238e-67,9.02206191302924e-74,3.3553766785218835e-59,1.5058231627231085e-59,1.1181519433327235e-40,2.6514463346227599e-51,4.356593015409738e-60,4.6564682806023602e-70,7.9243288729502707e-71,1.1562263981250258e-70,1.0916181819353932e-67,1.4904141278242861e-67,7.9837651188335341e-76,6.4572255900578594e-79,2.7441496660544638e-31,2.9525938276634679e-48,8.9819105743449129e-23,6.6257130589744335e-53,9.6304134285966812e-63,7.5011615685903731e-29,1.2849636089133988e-86,3.1404227359795799e-88,2.0880087202681866e-89,1.997368949294582e-42,3.8155207189739164e-44,2.900731306587486e-87,1.1049172348778102e-93,2.8374013492216053e-93,7.3452566736237845e-99,1.3251858153289147e-40,6.4429454403572307e-74,4.8039195641160018e-37,1.0475209545756823e-33,6.3383012914176244e-43,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.8544833399522194e-41,6.8119322141900607e-43,1.7902334093907141e-44,6.1981863804064791e-46,3.5297148247203585e-44,1.0062971895720805e-47,6.2345231385273969e-52,5.1648643701471418e-53,1.4635071751621894e-47,2.5749960456955396e-52,1.6392082012166605e-54,1.4256805075560314e-59,2.8346263775946898e-65,2.0231055241950318e-65,1.187516400546235e-69,1.1874924027185431e-69,6.0537931404702571e-71,5.9521620317153077e-56,1.3166852704762732e-95,3.569930180044728e-102,6.1102993311673892e-108,2.0570639955794224e-113,6.2160678629793929e-121,1.2919763438096044e-124,1.4653684390552093e-124,1.3295726468894126e-64,8.4311116267143242e-122,2.1424420959004292e-129,9.5237300975638048e-133,2.4529079495224592e-137,3.7903323991476407e-137,1.0363486393861362e-79,2.2487734964628697e-88,2.659285831279723e-58,2.0978397033384439e-63,8.5998945434554381e-72,2.2738672885217212e-54,4.2450718675226035e-56,8.0368207792956187e-75,8.7543120020780708e-73,5.3281477173277578e-77,4.3904705698305176e-77,4.0995832706332623e-78,1.5283851951797551e-78,1.7548038737299351e-82,1.0917092476737702e-82,4.9036201738766466e-81,2.723885202456576e-89,2.7257412224686416e-89,6.462362882920865e-91,1.0096381351221984e-96,6.4667750330740042e-91,3.9684534302146026e-97,1.070033029164403e-89,1.069591527218356e-89,6.464966437233625e-91,3.5687772132384763e-96,1.3351401327244656e-96,3.5403718168881181e-96,2.3818274135520136e-101,5.6306497575751944e-103,2.1608859635132713e-64,1.2870459326554645e-61
