Time (s),Volume (m^3),C2H5(4),C5H11(5),C4H9(6),C3H7(7),C2H4(8),HO2(9),C3H7O2(10),C2H5O2(11),C7H15(12),S(13),S(14),C4H9O2(15),C4H9O2(16),C4H9O4(17),C7H15(18),S(19),S(20),CH3(21),CH3O2(22),S(23),C3H7O2(24),S(25),S(26),C3H6(27),C4H9O4(28),OH(D)(29),C4H8O3(30),H2O(31),C7H15(32),S(33),S(34),C4H8(35),C5H9O(36),C3H5(37),C2H4O(38),C3H5O2(39),CCCOO(40),C3H7O(41),CH2O(42),S(43),S(44),C3H5O2(45),S(46),S(47),C3H5O4(48),S(49),S(50),S(51),C7H14O(52),C7H15O(53),S(54),C4H7O2(55),C2H3O(56),C2H3O3(57),S(58),S(59),S(60),S(61),C2H3O(62),C3H6O4(63),C3H6O4(64),C7H13O(65),C4H8O(66),C3H6O2(67),C3H4(68),C3H4O2(69),C3H5O2(70),C3H4O(71),C3H4O(72),C3H4O(73),C3H4O(74),C3H4O3(75),C3H4O3(76),OO(77),C3H5O(78),H(79),C3H4O(80),C2H2O(81),C7H14(82),C3H4O3(83),C3H4O3(84),C3H4O3(85),C7H15O(86),C5H10O(87),C2H3O3(88),C2H3O5(89),C2H2O2(90),C2H2O2(91),CH2(T)(92),CO2(93),COO(94),CCOO(95),CH2O2(96),N2,Ar,He,Ne,C7H16(1),CH4(2),O2(3),C2H5O(129),C1OO1(908),S(8754),S(8790),CH3O(247),C7H13(796),S(9410),S(9409),C7H13(795),S(9556),S(9341),S(9702),S(9711),S(9715),S(9934),S(9933),S(9877),S(9356),S(3622)
0.0,0.0021371639885353825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0021371639885353825,2.9931459306459395e-23,2.9931459283442369e-23,2.9086093536060448e-23,2.9086093381464192e-23,3.9426607356404665e-32,6.6989528556267302e-24,5.0121357395630786e-31,3.3762281025337798e-31,3.1714214892346525e-24,1.2183607265433285e-30,3.3618367866377508e-31,3.266887131525763e-31,3.4900125758905904e-40,1.3407534353295926e-46,2.6570589917850325e-24,1.0207587805616755e-30,1.3169550992410328e-40,6.8441102988756695e-25,3.8960527405039747e-32,5.0593286725598971e-47,1.812053659629203e-40,1.4671356406224605e-55,4.6064110592952627e-61,4.2747183738820213e-33,1.2912196213036567e-56,6.4614380038985812e-48,4.9556889543286034e-56,6.5207480000097203e-56,1.8812677145285133e-25,1.216366997583314e-40,4.3344292219407722e-40,4.4157963651975917e-33,4.0502556938647606e-72,1.1413918943605264e-51,2.5730493701296767e-55,4.7007845912500051e-58,5.0010154217392728e-41,2.5201485340976904e-51,1.5757460138554366e-57,2.7487639924183142e-40,1.0559889675412346e-46,2.1887843581839927e-66,1.0190884079972303e-40,4.4840275869250868e-56,8.4086235123425322e-73,2.1160601428790307e-56,2.746549550318483e-40,1.0551382456042078e-46,6.3304378860025905e-48,1.0736277869180527e-51,2.1129992190665544e-33,4.3510259364733445e-67,1.8721808469225011e-69,2.8626152093120443e-77,4.7481401192702695e-43,1.8240866018614518e-49,5.2895999859758275e-58,1.6563678466076579e-63,4.4065955945509702e-80,8.4339153137388032e-83,3.6564546222237418e-92,1.4486064815035827e-74,1.6394137984911098e-76,1.7492551802366317e-50,1.5808072593646826e-62,4.559220802197554e-73,1.0363311036092453e-84,6.9302620160531776e-87,4.1038285941085896e-88,4.1890556983387611e-87,2.0115851317290694e-85,2.9601014454136587e-93,6.4352362859422627e-98,1.1213715430835899e-36,8.8134565648398327e-61,2.0677116923199546e-27,1.3562517127987356e-67,2.5934852343165836e-80,3.7313701895510077e-34,3.8228574120955085e-108,2.2876351121433552e-111,3.1346160888440582e-114,8.9940542117521637e-52,3.0972001625587919e-55,-1.6090628011730464e-109,-2.4603022521642172e-117,-9.2234387748248213e-118,-1.1979820081531446e-123,1.3037110246607759e-48,-1.696297031000699e-126,8.9147915361437647e-44,3.3733615809473314e-41,7.828839169694805e-52,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.6983970355942788e-51,2.2488036389911927e-53,2.4417230445682848e-55,1.6718810649057255e-58,1.2734835504786396e-53,2.2547605471288687e-56,5.3990585367579876e-62,4.6430853385017231e-63,5.9865003421892857e-56,2.0215917620937099e-62,1.601852389813376e-65,6.1538144561549031e-72,2.38514242359726e-79,8.1408222902202945e-80,1.9493527972954901e-85,1.9493525107325022e-85,2.9927000094610091e-87,2.1250184961979277e-66,0.0
3.0000000000000002e-15,0.0021371639885353825,9.8346222361000761e-23,9.8346222209746e-23,9.5568591922796234e-23,9.5568590906878039e-23,2.5908913265957787e-31,2.2010845145775483e-23,3.2936891746821123e-30,2.2186641707869482e-30,1.0420380871938384e-23,8.0063690802363509e-30,2.2092070194124129e-30,2.1468115313848405e-30,3.2905828404495304e-39,1.6472111850385713e-45,8.730333328496788e-24,6.7078422459855878e-30,1.2417003661283869e-39,2.2487789967558572e-24,2.560263178547263e-31,6.2157460246643428e-46,1.708507642945718e-39,2.2216609061663179e-54,8.2915347721681454e-60,2.8091004810714987e-32,1.6626101361437263e-55,7.9026808695565782e-47,7.7969934422868023e-55,9.8382909929395677e-55,6.1813082557070775e-25,1.1468601713954245e-39,4.0867468159129595e-39,2.9018088681879144e-32,8.4358685877173986e-71,1.0761693142138682e-50,3.8961555195278996e-54,5.7752440514208357e-57,4.7152430892989229e-40,3.0961821534689448e-50,2.3861294915983831e-56,2.5916911260156578e-39,1.2973576243859701e-45,3.3144418477883348e-65,9.6085466796816609e-40,6.790097611975196e-55,1.5135510634691193e-71,3.2043191457855377e-55,2.5896032307978498e-39,1.2963124537723289e-45,7.7773936550134307e-47,1.3189548139695689e-50,1.3885423486502955e-32,8.0834761094754342e-66,4.0130731587476942e-68,6.9539870309884984e-76,4.4768172992986581e-42,2.2410204700818028e-48,8.0099598531232066e-57,2.981460295194514e-62,1.0641481592340295e-78,1.7590725930674796e-81,8.6709931673346581e-91,3.0167460110024367e-73,3.8825092223133744e-75,2.149084845650572e-49,1.9421343753274321e-61,6.8969662792042867e-72,1.8621435844564688e-83,1.4324915936531924e-85,9.6247595949550992e-87,9.9092353710260164e-86,4.1836789107804211e-84,6.9642776319863459e-92,1.6978921442283077e-96,7.3690130044989379e-36,1.3346090528311466e-59,6.7938924282144475e-27,2.441252953574464e-66,6.3002055156853932e-79,2.4520430832932798e-33,1.1177933132443093e-106,7.3416855484053526e-110,1.0955498116152484e-112,1.1048952391796101e-50,4.6897409807760577e-54,6.6650369509380367e-108,9.4880853464613617e-116,3.5569927935771565e-116,4.6391432585594632e-122,8.567243636398684e-48,6.0841943912688386e-125,8.4053747928243994e-43,3.1805980541860896e-40,7.3183599132899325e-51,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.0866019257752506e-50,2.7442245626787842e-52,3.0257586380997145e-54,2.5494585041931074e-57,1.5645654926698257e-52,2.1259156076513875e-55,6.6331058155567564e-61,5.704354219443619e-62,5.6444134290259348e-55,2.4836694229856527e-61,1.9679888348848834e-64,9.318628416474604e-71,4.293224797709463e-78,1.4653462373748096e-78,4.0657874648129164e-84,4.0657867852502658e-84,6.2419106378953687e-86,2.6107361292349769e-65,1.3933369870720138e-118
7e-15,0.0021371639885353825,2.1807205136451119e-22,2.180720505424745e-22,2.1191295746400881e-22,2.1191295194271471e-22,1.4080930628823315e-30,4.8806656941066116e-23,1.7900483739584364e-29,1.2057957065222472e-29,2.3106036057532716e-23,4.3512825625044264e-29,1.2006559470565139e-29,1.166745354384275e-29,5.3147832665595346e-38,8.3318131866250728e-44,1.9358543593576567e-23,3.6455623033736393e-29,2.0055319179685212e-38,4.9864223400227008e-24,1.3914471995416263e-30,3.1440072439593176e-44,2.7594973272139394e-38,3.6690536012226413e-52,4.6162278747814506e-57,1.5266844618706722e-31,9.5062801380301169e-54,3.956765764108343e-45,1.4671976003807169e-52,1.6070723696762942e-52,1.3706379502760216e-24,1.8523508616444443e-38,6.6007044124109581e-38,1.5770694294883e-31,1.5761615683230811e-67,1.7381737420307475e-49,6.4301894558495655e-52,2.9211650874468515e-55,7.6158316378674526e-39,1.566090114676112e-48,3.9407107369796069e-54,4.1859643995996757e-38,6.5622007090293775e-44,5.4737570452770444e-63,1.5519241447642502e-38,1.121387805969201e-52,8.4265189255413134e-69,5.291950984361478e-53,4.1825922410455433e-38,6.5569142148194646e-44,3.9339053545012516e-45,6.6669912344206134e-49,7.5464259738240137e-32,5.0952777036888468e-63,8.7733378989288423e-65,5.3665529893055696e-72,7.2307304353311408e-41,1.133538135273009e-46,1.3228380190867487e-54,1.6598979506433494e-59,7.1796532921164088e-75,3.382504889595282e-78,5.8663131954832087e-87,5.6210505220802486e-70,2.5449655134370487e-71,1.0870365552467487e-47,9.8235710237598539e-60,1.1220714646215773e-69,1.0010301495886042e-80,2.3065006760400188e-82,5.3106348989266798e-83,6.3277963029528377e-82,7.5953779627589733e-81,3.9410516048839521e-88,3.4272953463188323e-92,4.0048983970873952e-35,2.2041173658675962e-57,1.5064605913423759e-26,1.3591566032477821e-63,4.862024196055871e-75,1.3326314593209638e-32,8.1294579726046631e-102,1.9378250562395666e-104,1.062117613417463e-106,5.5833425345438578e-49,7.7376357569326628e-52,9.4802995095977323e-103,5.7982672245090344e-110,2.1737155578639375e-110,2.417546976093274e-116,4.6561098169066687e-47,1.3692624938041148e-118,1.3575952068405744e-41,5.1371476015821443e-39,1.0966871227227791e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.0554314699300099e-48,1.2867665487225266e-50,1.4705580956093349e-52,4.0531393097167056e-55,7.9137895361344017e-51,3.4336538971029124e-54,3.3549763298054776e-59,2.8852947827704494e-60,9.1165654401634211e-54,1.2562718798315902e-59,9.9542865567460104e-63,1.5389681734635595e-68,2.3899211078782413e-75,8.1580799961661432e-76,7.817953515930675e-81,7.8179489181973635e-81,1.2002418813327373e-82,1.3205414126090763e-63,5.116561741124713e-114
1.5e-14,0.0021371639885353825,4.5752368844197428e-22,4.575236848052844e-22,4.446016666478162e-22,4.4460164222161478e-22,6.229403347163142e-30,1.0239828148054219e-22,7.9191733409891724e-29,5.334439922931589e-29,4.8477268101973669e-23,1.9250037450245481e-28,5.3117016029214818e-29,5.1616811309969355e-29,4.9428385306472248e-37,1.6024248196878617e-42,4.0614898700565435e-23,1.6127937244365433e-28,1.8651789405989431e-37,1.0461707050563243e-23,6.1557610871818454e-30,6.0467460724633109e-43,2.5663822721931034e-37,1.4394339628587175e-50,3.6617104757263053e-55,6.7540477807833868e-31,1.8869548015789967e-52,7.5910048291911812e-44,5.9404118090899487e-51,6.2892537961882524e-51,2.8756522986871723e-24,1.7227180168298606e-37,6.1387630399719632e-37,6.9769506910022999e-31,2.4186108671850518e-65,1.6165301692413245e-48,2.5202418148843379e-50,5.6180748849630032e-54,7.0828657559991102e-38,3.0119994886916346e-47,1.5460318731654943e-52,3.8930116391454474e-37,1.2620803030167517e-42,2.1474423146095316e-61,1.4433160498758131e-37,4.3994526134089749e-51,6.6841050977737991e-67,2.0761511666603019e-51,3.8898756268463726e-37,1.2610636063410868e-42,7.5659144000789015e-44,1.2809531627695772e-47,3.3385389727693665e-31,4.1002498078963318e-61,1.4201278200658878e-62,1.7424894094050454e-69,6.7247035715084359e-40,2.18008979033161e-45,5.1897259311311705e-53,1.3166738717148847e-57,1.9837365230591443e-72,5.3971928902843112e-76,1.8775073459578671e-84,8.5945092335676611e-68,7.8066971967830252e-69,2.090657096500244e-46,1.8893279020484094e-58,4.3088400713579034e-68,7.5623424700472048e-79,2.9669346832533039e-80,1.3461369513912909e-80,1.8783072366085684e-79,1.1236693729091573e-78,1.0175549590928099e-85,1.7731522088243939e-89,1.7717670693009412e-34,8.6472646182802986e-56,3.1605693624409848e-26,1.0781334844759996e-61,1.5786760824502711e-72,5.8955567906077854e-32,8.399658698168309e-99,3.9843164584066835e-101,4.3686476323736484e-103,1.0722793384101381e-47,3.0313845616940606e-50,1.198675226182505e-99,1.4668262967660445e-106,5.4989940985461231e-107,5.1329309254922018e-113,2.0598623549825189e-46,5.8157974792695142e-115,1.2625887604868211e-40,4.7776434152090417e-38,9.1533974892607504e-49,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.0298711466228725e-47,2.2305641115843245e-49,2.5718853495762169e-51,1.4493353691681465e-53,1.5220306470587665e-49,3.1933305679445535e-53,6.4520995551124123e-58,5.5490486474376975e-59,8.4785514219369818e-53,2.4161349565936782e-58,1.9144506791785761e-61,6.0376690633658486e-67,1.8954213383535892e-73,6.471100796491338e-74,1.2474231338213817e-78,1.2474216622373128e-78,1.9151087856625385e-80,2.539734822198029e-62,4.7126774838965978e-110
3.1e-14,0.0021371639885353825,9.3642687887868415e-22,9.364268637203326e-22,9.099789974209752e-22,9.0997889560835507e-22,2.5965231608620183e-29,2.0958153435501315e-22,3.3008483820923298e-28,2.2234869346354336e-28,9.9219418885899532e-23,8.0237199623990533e-28,2.2140091884583998e-28,2.1514780433258859e-28,4.1717317903423454e-36,2.7244794461285536e-41,8.3127347223535905e-23,6.7223794655031792e-28,1.5742024278209788e-36,2.1412268567678486e-23,2.5658270058676382e-29,1.0280818937789775e-41,2.1660191550415888e-36,4.9137609367803472e-49,2.505079007489147e-53,2.8152008784146628e-30,3.2574953987333828e-51,1.2891230714506337e-42,2.0597620677667695e-49,2.1444221751370683e-49,5.8856813914974619e-24,1.4539661894307151e-36,5.1810797302180266e-36,2.908110528989071e-30,3.0773339759279275e-63,1.3643421859721271e-47,8.5868290415294964e-49,9.5516877615182055e-53,5.9779263499769969e-37,5.1210707873013094e-46,5.2778012532498431e-51,3.2856726801865758e-36,2.1458114440959249e-41,7.3306149418962165e-60,1.2181522361886159e-36,1.501865722767695e-49,4.5727485372428286e-65,7.0874843979087908e-50,3.2830261535238668e-36,2.1440829471559246e-41,1.2863704786032521e-42,2.1736059243572895e-46,1.3915610997590362e-30,2.7571521918495116e-59,1.9122847653491767e-60,4.6956735259129573e-67,5.6756200702611858e-39,3.7066404761727514e-44,1.7716047361431077e-51,9.0077385584654672e-56,4.1187231371399468e-70,7.3923761002672033e-74,5.1449431213940105e-82,1.086569825700469e-65,1.9753114273189211e-66,3.5545915591819726e-45,3.2122758673505274e-57,1.4114787476596403e-66,4.710518012738947e-77,2.862095957617519e-78,2.518334129449474e-78,4.4956995754005238e-77,1.3436611508982632e-76,1.9653452980590393e-83,6.8539628328836003e-87,7.3850328711985407e-34,2.9519814890524646e-54,6.4686512068372074e-26,7.3760263066180253e-60,4.2542514031442841e-70,2.4573665174410948e-31,6.4649033620221743e-96,6.0673284382523269e-98,1.3306311942970306e-99,1.8179493159995463e-46,1.0319627633528777e-48,1.3224282870527762e-96,3.2367147615963261e-103,1.2134142705040276e-103,8.5758362911605044e-110,8.5858587682584535e-46,1.9434709440341342e-111,1.065622457497516e-39,4.0323229408547361e-37,6.4210769154531799e-48,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,3.4512380813010481e-46,3.1716537139957144e-48,3.6723774759871319e-50,4.1681766341697069e-52,2.5878004044971295e-48,2.695112839012605e-52,1.0968682560215784e-56,9.4341990900801671e-58,7.1558414725224429e-52,4.1079570724157507e-57,3.2549322963137682e-60,2.0610831466731682e-65,1.2962675518903148e-71,4.4269286572253453e-72,1.7084896477219944e-76,1.7084856146705879e-76,2.6230098062128014e-78,4.3180802224690872e-61,1.2150483180088057e-106
6.300000000000001e-14,0.0021371639885353825,1.8942329248793579e-21,1.8942328631082789e-21,1.8407333085895856e-21,1.840732893697863e-21,1.0580970288355435e-28,4.2394805528554758e-22,1.3451131760167267e-27,9.0608279679741469e-28,2.0070246725020506e-22,3.2696851825067134e-27,9.0222054786803779e-28,8.7673876054354003e-28,3.4143086304289312e-35,4.4697904407625345e-40,1.6815119751885277e-22,2.739385987676067e-27,1.2883896055646453e-35,4.3313359986099517e-23,1.0455875437980869e-28,1.686675551644513e-40,1.7727629491646676e-35,1.6141246240048565e-47,1.6467842001063196e-51,1.1472067945527897e-29,5.3850516254067859e-50,2.1137014015534205e-41,6.8196652581359884e-48,7.0403725090586582e-48,1.1905741160957121e-23,1.1899837100442393e-35,4.240387799227534e-35,1.1850678576280311e-29,3.5435205328575964e-61,1.1166286944717315e-46,2.809950731631305e-47,1.566957534897212e-51,4.8926047967417076e-36,8.4016469968556567e-45,1.7338066786884437e-49,2.6891063541019049e-35,3.5204045903659585e-40,2.4080012039862889e-58,9.9698426328208267e-36,4.9337199409583795e-48,3.0059782627096613e-63,2.3282889047207619e-48,2.6869407453426722e-35,3.5175691860118976e-40,2.1104119239593757e-41,3.5520194699467533e-45,5.6706877524120305e-30,1.7156242203559173e-57,2.3812651848374636e-58,1.1697971981194918e-64,4.6451542700914843e-38,6.0811331096502497e-43,5.8195597879294876e-50,5.9214940443920848e-54,7.0313505232183893e-68,9.7219868846845789e-72,1.3529970024445392e-79,1.2383517394117457e-63,4.5044403331123375e-64,5.8317027547927308e-44,5.2700618317799572e-56,4.2899784404320864e-65,2.5989667810900119e-75,2.2339698329451912e-76,3.7087685801981921e-76,9.4353822679329685e-75,1.4091900578757008e-74,3.0704892843697703e-81,2.1429238927286527e-84,3.0094410659055787e-33,9.6975460971613803e-53,1.308427215219764e-25,4.8491174573599345e-58,1.0598406724717453e-67,1.0013870166178261e-30,4.0057618269443336e-93,7.3596008029328559e-95,3.2283519982833429e-96,2.9657543537550092e-45,3.371323294580597e-47,1.3329574351494293e-93,6.5252503281566055e-100,2.4462563109289777e-100,1.1652368197311218e-106,3.4987798550748277e-45,5.2817229514917455e-108,8.7215310986337888e-39,3.3002355046091107e-36,3.9191053798495668e-47,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,5.662128194047577e-45,3.9159404380332632e-47,4.5435837590443397e-49,1.0372189688702503e-50,4.2455837353700874e-47,2.2057161888588739e-51,1.7990918886393678e-55,1.5476401700765064e-56,5.8565965355505268e-51,6.7394925388422195e-56,5.3398545240583728e-59,6.7705883380836677e-64,8.515558256461232e-70,2.9099911890751526e-70,2.246716272658245e-74,2.2467056642684957e-74,3.449463908548759e-76,7.0841421657170182e-60,2.7013623833789572e-103
1.2700000000000001e-13,0.0021371639885353825,3.8098436773906723e-21,3.8098434281166651e-21,3.7022405294169144e-21,3.7022388551431329e-21,4.2698977628508768e-28,8.5268115786912465e-22,5.4281360154611864e-27,3.6564520648575637e-27,4.0366355129485199e-22,1.3194462104455586e-26,3.6408660162022487e-27,3.5380354352633412e-27,2.7603505512248415e-34,7.233787402396777e-39,3.3819471121422456e-22,1.1054498378446991e-26,1.0416196168183705e-34,8.7115416360134837e-23,4.2194112128253053e-28,2.7296725589616632e-39,1.4332306279030868e-34,5.2263026039325406e-46,1.0666555927157165e-49,4.6294750510990152e-29,8.7482658165907554e-49,3.4197294568533903e-40,2.2170454977711503e-46,2.2791201380398129e-46,2.3945867034329895e-23,9.6206209219025038e-35,3.428189716749743e-34,4.7822605562128163e-29,3.6756171568571257e-59,9.0275189207833705e-46,9.0294537960917221e-46,2.5356119652801704e-50,3.9555598146926021e-35,1.3596998771752492e-43,5.6144516966709003e-48,2.1740224034086591e-34,5.697258808021179e-39,7.7965182081050974e-57,8.0602858749015464e-35,1.5976169873222176e-46,1.9469727189464538e-61,7.5394171622747267e-47,2.1722722498410504e-34,5.6926712759488523e-39,3.415394647120616e-40,5.7036920517812815e-44,2.2883794352383916e-29,9.9445715343741487e-56,2.7622289600225969e-56,2.7146368941573064e-62,3.7554541396425066e-37,9.8415595976709914e-42,1.8842917546990528e-48,3.8354766254039424e-52,1.0011396919948927e-65,1.2595324504794168e-69,3.5035149000220868e-77,1.2663032964379565e-61,9.2168718057892768e-62,9.4379582683791667e-43,8.5288954195710055e-55,1.2081760050373579e-63,1.2346256973640403e-73,1.4194988131007594e-74,4.2342890552278284e-74,1.7408511185698804e-72,1.2991489052334604e-72,3.904428956476584e-79,5.4538750148238325e-82,1.2144455747627901e-32,3.1402895731694279e-51,2.6313343451298863e-25,3.1412332466715811e-56,2.4595250547154536e-65,4.0410236423796196e-30,2.0020859218020595e-90,7.0569815313912272e-92,6.1918874379305088e-93,4.746291928097051e-44,1.0797529946040262e-45,1.2444143895747248e-90,1.218408896199513e-96,4.5677039885980424e-97,1.3212234793004306e-103,1.4119124425363541e-44,1.197841627741558e-104,7.0511530009050093e-38,2.6681660224188709e-35,2.0906412143827567e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,9.1634830037340784e-44,4.2299967955907986e-46,4.9130240698098966e-48,2.2566912258568712e-49,6.8710325125609615e-46,1.7831328209095873e-50,2.9101981679895459e-54,2.5042130923547002e-55,4.7348166717278013e-50,1.0906894796911791e-54,8.6412330061533524e-58,2.192298217430058e-62,5.5081754801632334e-68,1.8846339520889703e-68,2.9102641169988067e-72,2.9102366345527899e-72,4.4685580062893051e-74,1.1464410725575877e-58,5.7301513514838892e-100
2.55e-13,0.0021371639885353825,7.6410598244607923e-21,7.6410588230721424e-21,7.4252493650394957e-21,7.4252426391158194e-21,1.715313421244724e-27,1.7101476058954295e-21,2.1806027557669385e-26,1.4688786862004777e-26,8.0956566968999809e-22,5.3003584425696721e-26,1.462617312791598e-26,1.4213078886991784e-26,2.2194415930706927e-33,1.1637141309472833e-37,6.782649918817559e-22,4.4407130333003942e-26,8.375091911972513e-34,1.7471902326042782e-22,1.6950277101383157e-27,4.3912885137546004e-38,1.1524005663524651e-33,1.681491715957644e-44,6.8643378022765422e-48,1.8597470114935787e-28,1.4100360520320622e-47,5.5004698917575254e-39,7.1486873457817715e-45,7.3331396536749977e-45,4.8026144111666658e-23,7.735418785171725e-34,2.7563854399453998e-33,1.9211236221026791e-28,3.3815955247812971e-57,7.258455447609423e-45,2.8618543321295802e-44,4.0780952199693194e-49,3.1805347796068654e-34,2.1873774187470726e-42,1.8067825578544433e-46,1.7479646472664645e-33,9.1650766001880743e-38,2.5082677990191903e-55,6.4808397742793351e-34,5.1410781550574876e-45,1.2528737800479241e-59,2.4261897750186045e-45,1.746558519146849e-33,9.1577004341557277e-38,5.4942906121932622e-39,9.0347810755334116e-43,9.1929455151892974e-29,5.2670897923435028e-54,2.9283939551502593e-54,5.7579714689838465e-60,3.0195599761160591e-36,1.5832378747334561e-40,6.0624668468611001e-47,2.4682822124560692e-50,1.1974034729862068e-63,1.6210972834915915e-67,9.0061805939209833e-75,1.1463883560711928e-59,1.6698737093342681e-59,1.5183322200575341e-41,1.3720513375740913e-53,3.0827099121962383e-62,4.7948123383668654e-72,7.3893632250531489e-73,3.6623209393776305e-72,2.8435928527860251e-70,1.0603049838134794e-70,4.0650495763958385e-77,1.136639078371059e-79,4.8787046811222707e-32,1.0105796975463975e-49,5.2762806738813693e-25,2.0219691107419972e-54,5.2170862164962783e-63,1.6233505342725652e-29,8.0518893275593714e-88,5.2480398133492114e-89,9.2107871183439202e-90,7.4691671898627427e-43,3.4002489250323285e-44,1.0589204224404276e-87,2.0736902944422085e-93,7.7740780538222002e-94,1.2683730022171591e-100,5.6719462673711377e-44,2.3000368887262099e-101,5.6695880184593101e-37,2.1453849897343193e-34,9.954820815133258e-46,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,1.4741638258451953e-42,4.0762995479349838e-45,4.7369130716359513e-47,4.3772582100062013e-48,1.1053876243384507e-44,1.4335355967797868e-49,4.6771871721294856e-53,4.027146135660573e-54,3.8069348855217023e-49,1.754576828486204e-53,1.3899264061248087e-56,7.053933445871275e-61,3.5350785598344996e-66,1.2125431835884031e-66,3.744483760336948e-70,3.7444130489837764e-70,5.7502957390463968e-72,1.8441835768971784e-57,1.1927747010707913e-96
5.11e-13,0.0021371639885353825,1.5303470686851968e-20,1.5303466672807786e-20,1.4871244612216263e-20,1.4871217651526857e-20,6.8758065018092952e-27,3.4250814731377495e-21,8.7409043760135713e-26,5.8879777624246958e-26,1.621289716036515e-21,2.1245183407414459e-25,5.8628782722834867e-26,5.6972894624652156e-26,1.7798680185140772e-32,1.8668123118417131e-36,1.3583385731859473e-21,1.7799515914927706e-25,6.7163846466654192e-33,3.4992421369749626e-22,6.7944584045263551e-27,7.0444650990149702e-37,9.2419442085379612e-33,5.3929456093490632e-43,4.4033372054593458e-46,7.4546327965517343e-28,2.264115983408749e-46,8.8227335290060095e-38,2.296038852019928e-43,2.3526832105862273e-43,9.6186799530930888e-23,6.2034088077339758e-33,2.2104223411326426e-32,7.7006540009037762e-28,2.7618310353112587e-55,5.8207770938850838e-44,8.9133474790226751e-43,6.5388264165650958e-48,2.5507602967193594e-33,3.5089588144673983e-41,5.7974077938546209e-45,1.4016998296431893e-32,1.4701769707421023e-36,8.0436152388313277e-54,5.197303497660261e-33,1.6494842069264857e-43,8.0359400431290641e-58,7.7844805732047357e-44,1.4005739115115126e-32,1.4689949455267492e-36,8.8134573979446282e-38,1.4061415698770699e-41,3.6849884235025885e-28,2.4913746698384431e-52,2.7734534231998693e-52,1.0911851663904629e-57,2.4215373380164083e-35,2.5398254595351226e-39,1.9443873262972266e-45,1.5833619024825409e-48,1.2116072625259537e-61,2.0795991274232925e-65,2.3043102386491935e-72,9.2285877088076874e-58,2.6904030185787379e-57,2.4357770387464331e-40,2.2009934031033739e-52,6.9876608465052098e-61,1.4695025526881998e-70,3.2225994151470441e-71,2.3847160367014403e-70,4.2160946103438416e-68,7.8555003028985215e-69,3.5400367005677282e-75,1.9815451200168364e-77,1.9556251735680628e-31,3.2426732850036202e-48,1.0562704050021026e-24,1.297649923056005e-52,9.8876929826586056e-61,6.5070221568416744e-29,2.6226540302923369e-85,2.9701531705631162e-86,1.0427979958527596e-86,1.1481337392848202e-41,1.0461556068313344e-42,8.0400371485938699e-85,3.149193366110066e-90,1.1806046171708626e-90,1.0443534269931745e-97,2.2735731684286009e-43,3.7879379095749611e-98,4.5469412503620684e-36,1.7205810215040161e-33,4.3828220118593121e-45,0.88130563799999995,0.0,0.0,0.0,0.0098911899999999994,0.0001,0.10889011,2.3648810761883757e-41,3.6208291103996204e-44,4.2086808336906641e-46,7.8149831855954982e-47,1.7733440407573422e-43,1.1493269082298325e-48,7.4886514798194838e-52,6.4556989870091001e-53,3.0528476154891383e-48,2.814544609845324e-52,2.229038571705547e-55,2.2626953568330021e-59,2.2554151440234731e-64,7.7745027792080179e-65,4.8004585735778534e-68,4.8002773220416702e-68,7.3740724022527497e-70,2.9580291463604461e-56,2.4618349957335725e-93
