Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123)
0.0,0.002253063847106591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002253063847106591,4.337226550064079e-24,1.9551256400593443e-31,6.4866476429587751e-33,4.3017930438175038e-32,8.030770550120142e-42,0.0,0.0,3.0895426987266367e-22,1.1419854892111899e-33,2.0733753240220308e-48,1.3808275993493395e-48,1.7741538583965717e-53,-8.8488174571283513e-81,4.2210515219071971e-53,1.3210579593948984e-41,1.175178592811862e-28,1.0295591995432965e-39,-1.04579702212892e-91,2.0124637719812307e-84,8.3774357982027702e-55,1.1570780133125903e-47,2.6214839310272191e-43,-1.8129396930910965e-68,1.3649297697338972e-41,8.8198130885798204e-66,1.7485892358783328e-47,3.5509424734116052e-28,9.7991463790657168e-39,9.5608443662044007e-32,1.9607808793452945e-20,5.0593986243159832e-51,2.7541509868206128e-68,7.7423147164885617e-55,-2.9400387522369073e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.3951217870553634e-20,2.3951217345692393e-20,1.960780835773212e-20,1.4025339769836667e-22,1.1535859159012123e-22,5.7679296043241364e-23,4.4383538063218444e-29,9.3925602836673768e-28,5.3796995721304643e-29,6.9408866482197966e-28,6.208134848645374e-28,1.1451021160508828e-27,3.3878941972475893e-36,2.1991826381873899e-29,4.8901378210629749e-30,1.3888286020060646e-29,1.10037157379834e-29,4.0930058262153496e-31
3.0000000000000002e-15,0.002253063847106591,1.4250917252347811e-23,6.6371173112895908e-31,4.2626583609468854e-32,2.826895160451471e-31,7.5718746675564742e-41,0.0,0.0,1.0151357231082015e-21,7.5044769235678719e-33,1.9548946728405372e-47,1.301924683413071e-47,2.1796742115820816e-52,4.9806284797050805e-79,3.9798479907612681e-52,8.6812372588004089e-41,7.7226019785963472e-28,9.7072722765048002e-39,1.8344606314490238e-89,3.0481539333723476e-83,1.0292275595857921e-53,1.0909588938229954e-46,1.7226835085849469e-42,7.6446493241733436e-64,1.2869337475806004e-40,1.3355716247869776e-64,1.6486697092359749e-46,2.3334764417264211e-27,9.2391949883525048e-38,6.2828404997034086e-31,6.4425655487740726e-20,6.2158317641195898e-50,4.2166951410261427e-67,9.5119860241711376e-54,9.6921597119549756e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.8696856340880534e-20,7.8696852891792565e-20,6.4425652624432559e-20,4.6083241585983699e-22,3.7903522380040857e-22,1.8951761353110729e-22,2.9166317327812369e-28,6.1722537226510385e-27,3.5352301595974607e-28,4.561154014302327e-27,4.0796314123815954e-27,7.5249565402565179e-27,3.1943001735158181e-35,1.4451767853570344e-28,3.2135210811200072e-29,9.1265878188518582e-29,7.2310130908742091e-29,2.6896890845706786e-30
7e-15,0.002253063847106591,3.160005314339055e-23,1.6088563716061539e-30,2.3166769904209365e-31,1.5363652208062248e-30,1.2229801644597195e-39,0.0,0.0,2.2509548300817425e-21,4.078523078888272e-32,3.1574205774257794e-46,2.1028281033130931e-46,1.1025064192889383e-50,4.2317817528976703e-77,6.4280488213700504e-51,4.7180610395488939e-40,4.1970655757255867e-27,1.5678712914816996e-37,7.5948903313843156e-87,5.0351245670533131e-81,5.2059603937736052e-52,1.7620583456225653e-45,9.3622005998138861e-42,7.1475186936027811e-62,2.0785924695232822e-39,2.2057073669357737e-62,2.662849280268656e-45,1.2681935740352554e-26,1.4922697281424431e-36,3.4145869317297482e-30,1.4285687553732489e-19,3.1440493900010417e-48,6.9182061090596745e-65,4.811291429360826e-52,3.373608361156384e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7450170963653669e-19,1.7450169089149834e-19,1.4285685997587225e-19,1.0218446554535707e-21,8.4046845330186261e-22,4.2023423551451277e-22,1.5851232238612155e-27,3.354485089173399e-26,1.9213172455342934e-27,2.4788878078907144e-26,2.2171907742650847e-26,4.0896495072242786e-26,5.1592777708943561e-34,7.8542083311198844e-28,1.7464857148145047e-28,4.9601015902951036e-28,3.9298980356937409e-28,1.4617859249273118e-29
1.5e-14,0.002253063847106591,6.6298909592235303e-23,3.9143035400503998e-30,1.0249088048790597e-30,6.7969470198796553e-30,1.1374057189426675e-38,0.0,0.0,4.7225982048935974e-21,1.804340823437159e-31,2.9364158507002376e-45,1.955702388572308e-45,2.1204020545253044e-49,1.5748511112417946e-75,5.9781933234076267e-50,2.0872682283991777e-39,1.8567812837817216e-26,1.4581493361182742e-36,6.4394621531451151e-85,1.9761196206291761e-79,1.0012391376842917e-50,1.638739200783752e-44,4.1416833917793419e-41,3.1724646217483043e-60,1.9331292318025161e-38,8.6535043066363368e-61,2.4764967280802392e-44,5.6104873111059601e-26,1.3878384795233047e-35,1.5106130407935655e-29,2.9971927713847031e-19,6.0468236070113931e-47,2.7130406323541468e-63,9.2533743380336497e-51,2.7909450338157452e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.6611136993480545e-19,3.6611128700679498e-19,2.997192082946404e-19,2.1438656952451651e-21,1.7633320184988315e-21,8.8166604846170244e-22,7.0125651686958208e-27,1.4840237407111145e-25,8.499881821347955e-27,1.0966597873639724e-25,9.8088504367208402e-26,1.8092603640717694e-25,4.798223681926337e-33,3.4746919705967759e-27,7.7265032636474491e-28,2.1943485869948563e-27,1.738586609331978e-27,6.4669290188584351e-29
3.1e-14,0.002253063847106591,1.3569896115239281e-22,1.0185885444025718e-29,4.2720866639786783e-30,2.833140330526799e-29,9.5998719553967001e-38,0.0,0.0,9.6659055979714475e-21,7.5208238161562255e-31,2.4782564269462713e-44,1.6506640394776975e-44,3.605138998205792e-48,5.4521601356515425e-74,5.0455644911748696e-49,8.7000802269598889e-39,7.7393824322866025e-26,1.2306750548391986e-35,5.199151846969269e-83,6.7513567547051153e-78,1.7023205994583651e-49,1.3830797784697486e-43,1.7261999551341157e-40,1.1259546820900159e-58,1.6315566870545006e-37,2.9541127614771861e-59,2.0901541647245921e-43,2.3385476445377332e-25,1.1713328314199029e-34,6.2964956197159748e-29,6.1344392634874378e-19,1.0280938920805388e-45,9.26058099646315e-62,1.5732822896690813e-49,2.89267243769323e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.4933050535926231e-19,7.4933015970123862e-19,6.1344363939600695e-19,4.387894017386627e-21,3.6090475737807698e-21,1.8045239503323348e-21,2.9229426260538621e-26,6.1856648055036691e-25,3.5428773830927773e-26,4.5710669151350146e-25,4.0884978805089744e-25,7.5413065738116796e-25,4.0496906553578063e-32,1.4483039530268874e-26,3.2205818044066226e-27,9.1464229413473422e-27,7.2467285090139463e-27,2.6955185739801409e-28
6.300000000000001e-14,0.002253063847106591,2.7450841888602544e-22,2.9372247655592044e-29,1.7409706150358141e-29,1.1545645564569973e-28,7.8572747307831267e-37,0.0,0.0,1.9552602957904072e-20,3.0647911317271175e-30,2.0281970830682192e-43,1.3510671594898614e-43,5.9145471208510811e-47,1.8076486692661641e-72,4.1294846980232e-48,3.5453168039662362e-38,3.1538368262030264e-25,1.0072393005580463e-34,4.4065783600661591e-81,2.221393884687904e-76,2.7928030915816423e-48,1.1319532980861994e-42,7.033339055652357e-40,3.7704720616349518e-57,1.3353379927469358e-36,9.7045553021732113e-58,1.7106687627802832e-42,9.5297014560500694e-25,9.5867097362575395e-34,2.5658546701146013e-28,1.2408926088018098e-18,1.6866913561376706e-44,3.0420217416738004e-60,2.5811400962554826e-48,3.3383078083826391e-50,0.88168480800000004,0.0,0.0094599999999999979,0.10885,1.5157680355206003e-18,1.5157666269480092e-18,1.2408914394562613e-18,8.8758956330367723e-21,7.3004323847907061e-21,3.6502168584165013e-21,1.1911017588996297e-25,2.5206888920403644e-24,1.4437247643557849e-25,1.8627333737090304e-24,1.6660840337852135e-24,3.0731195023138653e-24,3.3144467704757215e-31,5.9018523567689264e-26,1.3124379305006353e-26,3.7272145910180833e-26,2.9530793032247099e-26,1.0984305563710669e-27
1.2700000000000001e-13,0.002253063847106591,5.5216475251412982e-22,9.432135074732159e-29,7.0261849594328462e-29,4.6595487138506992e-28,6.3529228665604743e-36,0.0,0.0,3.932632797256001e-20,1.2367935373495615e-29,1.6395576386884216e-42,1.0924512394896445e-42,9.5717597377648555e-46,5.8820787168744641e-71,3.3385411204785147e-47,1.4306850137067322e-37,1.2727128804029675e-24,8.1432892110037742e-34,4.1150275302720806e-79,7.2161088752211836e-75,4.5196995846292359e-47,9.1512356463563879e-42,2.8374484440058534e-39,1.232696805281206e-55,1.0795877507130955e-35,3.1425643459561168e-56,1.3830242775431177e-41,3.8456595582677885e-24,7.75062577055608e-33,1.0354371566937661e-27,2.4957875098427356e-18,2.7296855816540542e-43,9.8504883119637222e-59,4.1772719429595005e-47,4.2724093155996392e-49,0.88168480800000004,0.0,0.0094599999999999945,0.10885,3.0486401330989545e-18,3.0486344488929385e-18,2.4957827910244635e-18,1.78516787588786e-20,1.4683016815746983e-20,7.3415110954594403e-21,4.8065273430083366e-25,1.0172094173610222e-23,5.8259449358951412e-25,7.5169614510208783e-24,6.7233937717613056e-24,1.2401395202360184e-23,2.6796502465013763e-30,2.381611896813886e-25,5.2965493832899256e-26,1.504097630220457e-25,1.191699455459032e-25,4.4326001600057494e-27
2.55e-13,0.002253063847106591,1.1076270900742753e-21,3.3055375159004019e-28,2.8230454908577641e-28,1.8721349599669356e-27,5.108970660623711e-35,0.0,0.0,7.8875099178498493e-20,4.9685755904212933e-29,1.3180030005705007e-41,8.7863563904121884e-42,1.5397697603733294e-44,1.8975741854554602e-69,2.6843245462993974e-46,5.7473021693513436e-37,5.1127543198656771e-24,6.5477306543392293e-33,4.2648465735427594e-77,2.336849994780307e-73,7.2706206664601065e-46,7.3576437659371435e-41,1.1392080391048739e-38,3.9863051949137673e-54,8.680564889717562e-35,1.0113149819225675e-54,1.1120238862296469e-40,1.5448843037206948e-23,6.2320036928465518e-32,4.1595770571791168e-27,5.0055674565014819e-18,4.3912690723451964e-42,3.1699433929090247e-57,6.7201428034515605e-46,5.9638957797695559e-48,0.88168480800000004,0.0,0.0094599999999999893,0.10885,6.11437247732621e-18,6.1143496427471946e-18,5.0055485000924927e-18,3.58023646613037e-20,2.944744497061805e-20,1.4723733281065571e-20,1.9308056870462515e-24,4.0863415887909239e-23,2.340304482468327e-24,3.0197265948378307e-23,2.7009334498230229e-23,4.9818975430653392e-23,2.1546106142536003e-29,9.5670565511529042e-25,2.1279605142147727e-25,6.0422867504648453e-25,4.7873154904408284e-25,1.7806251795787293e-26
5.11e-13,0.002253063847106591,2.219150427695408e-21,1.2285847646204482e-27,1.1319899487239757e-27,7.506748220977204e-27,4.098624553640225e-34,0.0,0.0,1.5797792627659229e-19,1.9917252578315529e-28,1.0565285522062076e-40,7.0502948730738894e-41,2.4698865248359086e-43,6.0961067386128029e-68,2.1526663599808782e-45,2.3037331649657474e-36,2.0494250329449956e-23,5.2511909848990676e-32,4.809474197835903e-75,7.5922044418788127e-72,1.1662416352221024e-44,5.8998628394580357e-40,4.561228402812152e-38,1.2825089130204047e-52,6.961665963285922e-34,3.2450533879441888e-53,8.9180079435799769e-40,6.192618903004813e-23,4.9979819552314042e-31,1.6673553734256818e-26,1.0025087928428341e-17,7.0443043292891144e-41,1.0171352904185186e-55,1.0780607168064228e-44,8.8392068244617441e-47,0.88168480800000004,0.0,0.0094599999999999788,0.10885,1.2245789762445618e-17,1.2245698231584004e-17,1.0025011943081843e-17,7.1700215649626057e-20,5.8973338909826697e-20,2.9486712722499152e-20,7.7389318005545578e-24,1.6379905847295975e-22,9.3802084283699255e-24,1.2104486424573738e-22,1.0826615107183721e-22,1.9969694552450058e-22,1.7279663200637019e-28,3.8346098811106826e-24,8.5316447832989057e-25,2.4220331556806187e-24,1.918981587195198e-24,7.1372114043132693e-26
