Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971)
0.0,0.0021892766759125243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0021892766759125243,4.1031091070545013e-24,1.3282245324767415e-31,1.015801154846916e-31,4.1219431645441564e-32,1.353188240329015e-39,0.0,0.0,2.6353933321047096e-22,1.079282806009826e-33,2.0376033567491156e-48,1.6158286253924279e-48,1.4430431401180344e-46,-5.6108750380921786e-73,2.7491112670677155e-45,1.507376473002061e-41,1.1217450099160805e-20,9.5613176863772701e-32,-4.8288063071192717e-85,8.6874348566506721e-74,2.1680838309640648e-48,6.6404772130534881e-48,1.6715058095970321e-43,-3.0857391384849596e-56,1.2071354967812122e-33,2.7046632655181572e-65,1.1413598330074777e-47,2.8129884998959533e-28,1.0402212290259619e-30,8.8290625832546648e-32,1.439477525583314e-20,4.1927219910932239e-43,1.6554300173626511e-68,5.163243466876821e-55,-1.4875979572359771e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7514369064259043e-20,1.7514368740751147e-20,1.4394774948566244e-20,1.1448345737051546e-22,9.4243351445131731e-23,4.7121675807675218e-23,3.7395477010809354e-29,7.1176405926359571e-28,4.5319224755669135e-29,5.26946348591322e-28,4.7566000727412803e-28,8.6275460342844864e-28,3.4054068964225046e-28,1.8607381512864691e-29,3.5541957199120883e-30,9.5977260562329474e-30,7.5804928716249794e-30,5.9418265253051044e-30,1.286025882865032e-36,8.6965780100312811e-30,1.1296378325776149e-29,4.6799924604685974e-32,7.0834508547673012e-44,4.1579532105108043e-31,1.4920994187253992e-39,1.5922763790042482e-37,1.8897607335112905e-38,1.1793773204870379e-23,1.1217449747562471e-20,5.6821275350152176e-28,5.9699328337533112e-31
3.0000000000000002e-15,0.0021892766759125243,1.348167522561405e-23,4.5998862633106809e-31,6.6752650640493211e-31,2.7087082176153547e-31,1.2758632423579881e-38,0.0,0.0,8.6591519130121968e-22,7.09243072038489e-33,1.9211796338311481e-47,1.5234964171393952e-47,1.3605834753505575e-45,3.3184375679004755e-71,1.8065584743494308e-44,9.9056160050836693e-41,3.6857335168840801e-20,6.2831515589655116e-31,2.8313795583692914e-83,1.0673154176556602e-72,2.0441934463064024e-47,6.2610191517544947e-47,1.098427082783928e-42,1.8249942947994745e-54,7.9326045139550685e-33,4.0956327183725044e-64,1.0761391756046804e-46,1.848535265325975e-27,6.8357394347721938e-30,5.8019553295611529e-31,4.7297117154759063e-20,3.9531372258285009e-42,2.5274861591047545e-67,6.3434129696649236e-54,4.9330464529583823e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.7547210785299508e-20,5.7547208659390568e-20,4.7297115135576686e-20,3.7615978239642259e-22,3.0965660239642024e-22,1.5482830175750243e-22,2.457416427750257e-28,4.6773065368438406e-27,2.9781196688138126e-28,3.4627902558554077e-27,3.1257657141859098e-27,5.6695300907286935e-27,2.2378387871099474e-27,1.2227704554688888e-28,2.3356153163085554e-29,6.3070770234420282e-29,4.9814666634531574e-29,3.9046287882206794e-29,1.2125389655926404e-35,5.714891964857317e-29,7.4233342283808402e-29,3.0754387055185753e-31,6.6781747004459134e-43,2.7323727612347279e-30,1.406838364132985e-38,1.5012903971715383e-36,1.7817803687005898e-37,3.8750967618200408e-23,3.6857332858337554e-20,3.7339694137674058e-27,3.9230986336357304e-30
7e-15,0.0021892766759125243,2.98943489990654e-23,1.1716566954202294e-30,3.6278626226803718e-30,1.4721336134658787e-30,2.0607131041056556e-37,0.0,0.0,1.9200743554915582e-21,3.8545849273157182e-32,3.1030873338310149e-46,2.4606897636781261e-46,2.1975476213169422e-44,6.4025755695285991e-70,9.8182399068222606e-44,5.3834830032752001e-40,8.1727128898459536e-20,3.4147560574385313e-30,2.6601470043432608e-81,5.3986168826854029e-71,3.3016839181776886e-46,1.0112461694520801e-45,5.9695663758724375e-42,3.521144506988606e-53,4.3111974717342362e-32,6.7639704418690069e-62,1.7381263998601362e-45,1.0046386087718051e-26,3.7150755313070321e-29,3.1532363011154165e-30,1.0487620637095382e-19,6.3849059347234176e-41,4.1537547414133507e-65,3.2085841468554556e-52,1.8207469543330613e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2760467285207906e-19,1.2760466129822929e-19,1.0487619539714019e-19,8.3409247198389681e-22,6.8662906098954751e-22,3.4331453353440509e-22,1.3355501679136001e-27,2.5420139330370202e-26,1.6185404155492087e-27,1.8819511026275206e-26,1.6987855448278003e-26,3.0812657864960554e-26,1.2162166241226996e-26,6.6454799472582654e-28,1.2693596374571394e-28,3.4277589009584406e-28,2.7073185532326835e-28,2.1220806111315938e-28,1.9584382340896551e-34,3.1059119213316125e-28,4.0344204226903792e-28,1.6714874401339532e-30,1.0778756416512466e-41,1.484997604590236e-29,2.2722833101114987e-37,2.4248298150453815e-35,2.8779335403195012e-36,8.5926049085550594e-23,8.1727116341380024e-20,2.029330816795742e-26,2.1321185195910095e-29
1.5e-14,0.0021892766759125243,6.2720300696739597e-23,3.0541460348034785e-30,1.6049672876628323e-29,6.5127895256489396e-30,1.9165028053627319e-36,0.0,0.0,4.0283973454858525e-21,1.7052705869051089e-31,2.8860657279580258e-45,2.288505495294568e-45,2.0437592913299525e-43,1.1481095749470286e-68,4.343580022702699e-43,2.3816500329272927e-39,1.7146669938709439e-19,1.5106879147453095e-29,1.2184084212645485e-79,1.0382939000391188e-69,3.0706305808589939e-45,9.4047311328769587e-45,2.6408547893258872e-41,6.3141205396142753e-52,1.9072732958039251e-31,2.6536632067477452e-60,1.6164880903139594e-44,4.4445203058033125e-26,1.6435492324554075e-28,1.3949915257292131e-29,2.2003435474882035e-19,5.9380682370501893e-40,1.6291010393871133e-63,6.1709479345133267e-51,1.6284631141304764e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.6771956086499681e-19,2.6771950975078975e-19,2.2003430620069486e-19,1.7499549496269612e-21,1.4405715671673608e-21,7.2028579703095818e-22,5.9084574922685596e-27,1.1245866044890161e-25,7.1604016132309229e-27,8.3257507712884998e-26,7.5154260053621807e-26,1.3631515671366311e-25,5.3805415514047436e-26,2.9399517607746213e-27,5.6156726642913771e-28,1.5164402798973264e-27,1.197717518061224e-27,9.3880827714555849e-28,1.8213902645246207e-33,1.3740498305407845e-27,1.7848273351336536e-27,7.3950525845590336e-30,1.0013509702675914e-40,6.5697205914033209e-29,2.1133043333556137e-36,2.2551640058314144e-34,2.6766610006906049e-35,1.8027618312388469e-22,1.7146664383459882e-19,8.97775669428257e-26,9.4324901036342244e-29
3.1e-14,0.0021892766759125243,1.2837462069037851e-22,8.6557935622135425e-30,6.6897893094569962e-29,2.7147011095662991e-29,1.6175268597595831e-35,0.0,0.0,8.2450619719247532e-21,7.1078818858936351e-31,2.436062256887794e-44,1.9315245460867102e-44,1.7249275103729849e-42,1.9644957554564325e-67,1.810471970431934e-42,9.9271076385663609e-39,3.5094577248198686e-19,6.2968081370278485e-29,5.5795999150026066e-78,1.7653291672000026e-68,2.591611551417575e-44,7.9374983665224596e-44,1.10069010146303e-40,1.0803942499258938e-50,7.9498424025880717e-31,9.0590117023033344e-59,1.3643099045365574e-43,1.8525524869020256e-25,6.8505970309563354e-28,5.8145651051339514e-29,4.5035053128652387e-19,5.0116966746351142e-39,5.5608342669567812e-62,1.0492002055552635e-49,1.840847358239555e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.4794919240834537e-19,5.4794897935565527e-19,4.5035032892972078e-19,3.5816682989033952e-21,2.9484469355811978e-21,1.4742235238406898e-21,2.4627342497714591e-26,4.6874692652111284e-25,2.9845624355084058e-26,3.4703167165357727e-25,3.1325590114183041e-25,5.6818489770240489e-25,2.242702477371819e-25,1.2254159504115279e-26,2.3407307341135707e-27,6.3207842373322505e-27,4.9922928272481603e-27,3.9131143658394748e-27,1.5372603302782173e-32,5.7272325733015146e-27,7.4394680590468343e-27,3.0827057915757432e-29,8.4333123491668359e-40,2.7384478872434318e-28,1.7836888186110542e-35,1.9033991874225469e-33,2.2593111271957152e-34,3.6897633561487781e-22,3.5094554092973855e-19,3.7420825294863678e-25,3.9316238073833706e-28
6.300000000000001e-14,0.0021892766759125243,2.5969292703245467e-22,2.7206212360373766e-29,2.7261311337095468e-28,1.1063020065035349e-28,1.3238599977721704e-34,0.0,0.0,1.6678465810570602e-20,2.8965150671746037e-30,1.9941556554476783e-43,1.5808956987015018e-43,1.4117556586611313e-41,3.2458754823873375e-66,7.3777098627340093e-42,4.0453314069797307e-38,7.0990364714252937e-19,2.5659823714777587e-28,2.7436386668302083e-76,2.8961989492642991e-67,2.121099555179517e-43,6.4962791485277303e-43,4.4848545052124308e-40,1.7851160203498695e-49,3.2396008104454485e-30,2.9759752666257867e-57,1.1166075513214608e-42,7.5492458983670243e-25,2.7916542329904559e-27,2.369465397844002e-28,9.1098240349031166e-19,4.1017619709280154e-38,1.8266793320121013e-60,1.7213263445662679e-48,2.3178309933893417e-50,0.88168480800000004,0.0,0.0094599999999999979,0.10885,1.1084078775657212e-18,1.1084070093660653e-18,9.1098157887708736e-19,7.245048574360189e-21,5.96415909737749e-21,2.9820797770917139e-21,1.0035666803276842e-25,1.9101667676833706e-24,1.2162113640451989e-25,1.4141722816729926e-24,1.2765339614599667e-24,2.3153815135722713e-24,9.1391289664695635e-25,4.9935797767078785e-26,9.5387742069049319e-27,2.5757521483773341e-26,2.034385011870039e-26,1.5946140996606793e-26,1.2581797789224893e-31,2.333841266800431e-26,3.0316218592569104e-26,1.2564787216614082e-28,6.8728842352037998e-39,1.1159926850669983e-27,1.4599553600492107e-34,1.5579007960230885e-32,1.8494714353495661e-33,7.4637617825248293e-22,7.0990270355616085e-19,1.5249170459081863e-24,1.6021565494852775e-27
1.2700000000000001e-13,0.0021892766759125243,5.2236820482889217e-22,9.3699131690980873e-29,1.1001217213628195e-27,4.4648042467762701e-28,1.0703155662995357e-33,0.0,0.0,3.3545571830668887e-20,1.168886549567325e-29,1.6128314229581196e-42,1.2781971371156319e-42,1.1413677076000758e-40,5.2746299279020919e-65,2.9771896751973741e-41,1.6324588904783454e-37,1.4278183103487777e-18,1.0354889713165836e-27,1.4734397074013521e-74,4.6871096560279306e-66,1.714873182871712e-42,5.251887474327529e-42,1.8094247100382154e-39,2.9009047884814049e-48,1.3073228506348108e-29,9.6369079290007472e-56,9.0274332454434144e-42,3.0464570965972385e-24,1.1265576727603546e-26,9.561852307774761e-28,1.8322442244154083e-18,3.3161218214080073e-37,5.9148622212973134e-59,2.7857634599433588e-47,3.187846374779939e-49,0.88168480800000004,0.0,0.0094599999999999945,0.10885,2.2293229361682025e-18,2.2293194326032058e-18,1.8322408967422615e-18,1.4571623440430778e-20,1.1995429126730565e-20,5.9977154850403733e-21,4.0497573419834576e-25,7.7083669955510914e-24,4.9078494850729482e-25,5.7068194290971376e-24,5.1513847997253892e-24,9.3435885667616182e-24,3.6880473303543097e-24,2.0150894096820658e-25,3.8494631978480908e-26,1.0394310226655241e-25,8.2096517301095233e-26,6.4349786687937389e-26,1.0172364712744958e-30,9.4178053383175436e-26,1.2233950426770214e-25,5.0725513033893347e-28,5.5097762558861454e-38,4.5040212983661791e-27,1.1805086662552655e-33,1.2596453288190947e-31,1.4958199762332656e-32,1.5011740141367281e-21,1.4278145025642516e-18,6.1537142926505213e-24,6.4654138623808615e-27
2.55e-13,0.0021892766759125243,1.0478734184156726e-21,3.4428199090955014e-28,4.4194759929122636e-27,1.7939151233205614e-27,8.6061311434214946e-33,0.0,0.0,6.7280977239966901e-20,4.6957778606293526e-29,1.2977923549808194e-41,1.0278828552189748e-41,9.1772850862162027e-40,8.5037634570185532e-64,1.1959648534087774e-40,6.5578366487746511e-37,2.8636432923189914e-18,4.1597874684190184e-27,8.4991290806460249e-73,7.5401845061521764e-65,1.3788927038301982e-41,4.2225367656047118e-41,7.2655258765631723e-39,4.6769900636335359e-47,5.2517930602683173e-29,3.1012707080307155e-54,7.2585235613123589e-41,1.2238272007673423e-23,4.5256303888685231e-26,3.8412042264732693e-27,3.6747601723676587e-18,2.6662881154622466e-36,1.9033003408388463e-57,4.4815649106092743e-46,4.6755915359610382e-48,0.88168480800000004,0.0,0.0094599999999999893,0.10885,4.4711438065642026e-18,4.471129732051613e-18,3.6747468044598408e-18,2.9224030493525568e-20,2.4057352055563225e-20,1.2028679730085303e-20,1.6268090744390442e-24,3.0966108110097371e-23,1.9715039035010617e-24,2.2925551822361549e-23,2.0694230187418062e-23,3.7535140247000004e-23,1.4815690325679048e-23,8.0947050054517145e-25,1.5465266777344633e-25,4.1756196072722552e-25,3.2979946934210922e-25,2.5850692474198885e-25,8.1796913199967298e-30,3.7831063564216378e-25,4.9146448019874201e-25,2.0394392955010749e-27,4.3568297193955854e-37,1.8097584834341797e-26,9.4947798075458369e-33,1.0130287516277701e-30,1.2036466546717056e-31,3.0107622882338443e-21,2.8636279956868149e-18,2.4720747246360404e-23,2.5972941493417681e-26
5.11e-13,0.0021892766759125243,2.0995024579234661e-21,1.3160653330627382e-27,1.771572786382939e-26,7.1933124397817532e-27,6.9021645657091133e-32,0.0,0.0,1.3475656151796954e-19,1.8823745837068679e-28,1.0423707929521572e-40,8.2455617430370633e-41,7.3599797637121629e-39,1.3656811783878024e-62,4.7936948723306011e-40,2.6286055317819463e-36,5.7352758786267848e-18,1.6674415284450106e-26,5.138030641860409e-71,1.2095641667234466e-63,1.1058914828124183e-40,3.385903814463225e-40,2.9097037520793907e-38,7.5115957036667726e-46,2.1051606948446823e-28,9.9511779609305322e-53,5.8210511549850981e-40,4.9056698220307013e-23,1.8140887436200484e-25,1.5397360349919672e-26,7.3597612929361806e-18,2.1381855664520237e-35,6.1061860919515721e-56,7.1894192730509493e-45,7.1386461722295585e-47,0.88168480800000004,0.0,0.0094599999999999788,0.10885,8.9547485604412954e-18,8.9546921437156502e-18,7.359707708687647e-18,5.8525874366056252e-20,4.8178729770353624e-20,2.4089379723626064e-20,6.5204850233646336e-24,1.2412614080134628e-22,7.9020286443253083e-24,9.1896564084911857e-23,8.2952214534965244e-23,1.5045785222373448e-22,5.9388293504255663e-23,3.2444611947975814e-24,6.2001190855314682e-25,1.6737846395393031e-24,1.3219911026886386e-24,1.0362164035049647e-24,6.5607275170488734e-29,1.5162624654833576e-24,1.9700221799869117e-24,8.1885401840530317e-27,3.3820055103854931e-36,7.2575334881414166e-26,7.6190588329418642e-32,8.1274404323907354e-30,9.6676859065463051e-31,6.0299092448827167e-21,5.7352145630406128e-18,9.909192554101868e-23,1.0411154559598158e-25
