Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136)
0.0,0.003058923563780093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.003058923563780093,6.8168733068034973e-27,5.9049770625398153e-35,2.7252239788812422e-36,3.5743686079320247e-53,1.4913967101076532e-45,0.0,0.0,3.8652144695643642e-24,3.1438233371245505e-36,4.1170338871304538e-54,4.7331699773304481e-54,7.4454811402199079e-59,-3.7827662975707312e-90,1.5587115177949362e-59,6.5694285724733807e-47,5.5801603590500319e-32,1.3458448282052466e-43,-7.549777269589002e-101,4.5549878483203186e-94,1.4162981344669982e-60,3.453598954538734e-53,1.9604517502322575e-50,-1.0185550181928875e-74,7.3110556877096191e-46,3.2885721614757837e-72,2.2953925900954655e-52,3.388353775318292e-31,1.3269784392169433e-42,1.0151503787834032e-34,7.7170233265754476e-23,4.5910612812820093e-56,-4.0230239510049254e-78,6.6158009418020604e-60,-2.5513139611945103e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.7769708427608169e-23,8.7769708387822293e-23,7.7170230620969699e-23,1.7198359717429815e-24,1.4347960555554545e-24,7.1739823171444357e-25,4.078734553002407e-31,2.7367451307921045e-30,4.8864906265219572e-31
3.0000000000000002e-15,0.003058923563780093,2.2398298587842723e-26,2.0297498203676802e-34,1.7908615300238864e-35,3.8558056206991117e-52,1.4061740739904495e-44,0.0,0.0,1.2699991015293125e-23,2.0659410936285806e-35,3.8817750361526443e-53,4.4627063744492881e-53,9.1473043100232778e-58,2.1291572712483504e-88,1.469642178991882e-58,4.3170526969167567e-46,3.6669625214832273e-31,1.2689394094217118e-42,4.1840288914521962e-99,6.8990195516487482e-93,1.7400231228145357e-59,3.2562496543633852e-52,1.2883110484780409e-49,3.162946400511292e-71,6.8932810625836121e-45,4.9798376631248572e-71,2.1642271731418112e-51,2.2266324748842847e-30,1.2511510997907361e-41,6.6709881981625001e-34,2.5355933741236958e-22,5.6404463424710838e-55,1.216150389316706e-76,8.1279836492904264e-59,8.4415069256646967e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.8838618480889003e-22,2.8838618454743996e-22,2.5355932003235552e-22,5.6508880160184774e-24,4.7143285568070386e-24,2.357165618558936e-24,2.6803109103640281e-30,1.7984324848977039e-29,3.211121963285044e-30
7e-15,0.003058923563780093,4.9665796251588165e-26,5.0769398647218883e-34,9.7329451557743808e-35,5.7378040000930176e-51,2.2711846564130781e-43,0.0,0.0,2.8160853601902e-23,1.1227942265271553e-34,6.2696582108954036e-52,7.207995121919547e-52,4.6268275331019846e-56,1.8090323458685729e-86,2.3736931752224823e-57,2.3462230009980911e-45,1.9929144132192991e-30,2.0495294093343644e-41,1.6427028536807012e-96,1.1396024193211395e-90,8.801261561106872e-58,5.2593248895506875e-51,7.0021920905206667e-49,2.9527088516990114e-69,1.1133693139410254e-43,8.2242444045371737e-69,3.4955529310665819e-50,1.2101263236881739e-29,2.0207985938830419e-40,3.6255370455766874e-33,5.6224026694908372e-22,2.8530141896949732e-53,2.044354480952355e-75,4.1112453273536193e-57,3.0484009738335807e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.3946501833046906e-22,6.3946501690954531e-22,5.622401724924963e-22,1.2530219618030732e-23,1.0453502524989698e-23,5.2267585459418305e-24,1.4566894131090668e-29,9.7740885442179582e-29,1.7451733941677246e-29
1.5e-14,0.003058923563780093,1.0420080287206336e-25,1.2915463866035119e-33,4.3058564492157901e-34,5.3095086872940074e-50,2.1122450296625309e-42,0.0,0.0,5.9082590760014046e-23,4.967242789196638e-34,5.8309046975532764e-51,6.7036409714058972e-51,8.8985934347484645e-55,6.7322464146790703e-85,2.2075768281671523e-56,1.0379681070312169e-44,8.8166533594502001e-30,1.906100802764943e-40,1.4825659702330543e-94,4.4724306495799857e-89,1.6927100317575848e-56,4.8912537876656499e-50,3.0981383989412496e-48,1.3073238090143038e-67,1.0354543195872257e-42,3.2265640577650929e-67,3.2509270845363341e-49,5.3535986990381695e-29,1.8793806050653373e-39,1.6039375752629789e-32,1.1796021170464656e-21,5.4870939754525941e-52,3.5494489321002878e-74,7.90700525636339e-56,2.6516732208374242e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3416226848929074e-21,1.341622678606742e-21,1.179601699170601e-21,2.6288851551346894e-23,2.193182436024476e-23,1.0965944402044288e-23,6.4443844168646516e-29,4.324056002062822e-28,7.7206354411212993e-29
3.1e-14,0.003058923563780093,2.1327086128491964e-25,3.5569090437518418e-33,1.7947569492221921e-33,4.4791186308028005e-49,1.7827325366621847e-41,0.0,0.0,1.2092611301581392e-22,2.0704339466662591e-33,4.9212823313152074e-50,5.6579786705055509e-50,1.5129586833114629e-53,2.3306932339535075e-83,1.8631873684862203e-55,4.3264235312152587e-44,3.6749341722717942e-29,1.608746000279999e-39,1.3126934510628693e-92,1.5278958960917474e-87,2.8779778970919641e-55,4.1281820621465798e-49,1.2916581720889418e-47,4.6383429022177524e-66,8.7392172305749499e-42,1.1014776023281342e-65,2.7437726965423005e-48,2.2314727475766395e-28,1.5861941960635906e-38,6.6854901433171552e-32,2.4143257813370462e-21,9.3292969794781998e-51,7.6988072895662151e-73,1.3443702076846899e-54,2.9108349624131247e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.7459380160948985e-21,2.7459379898930813e-21,2.4143240395585362e-21,5.3805990335788655e-23,4.4888363626840467e-23,2.2444316119595883e-23,2.6861235203839205e-28,1.8023409793729773e-27,3.2180853853896945e-28
6.300000000000001e-14,0.003058923563780093,4.3141115879800293e-25,1.087826812033808e-32,7.3137419015329625e-33,3.66591265547305e-48,1.4590710975885497e-40,0.0,0.0,2.44613349285706e-22,8.4371380940207092e-33,4.027814213056714e-49,4.6309367984482784e-49,2.4821633360620367e-52,7.7272097202827566e-82,1.5249107359540601e-54,1.7630347763736339e-43,1.4975556012807717e-28,1.3166707543219214e-38,1.2397435738814899e-90,5.0265836226433326e-86,4.7215991125916587e-54,3.3786454946040272e-48,5.266014870071906e-47,1.5529916611601212e-64,7.1525712582056842e-41,3.6184692724333148e-64,2.2456207559310295e-47,9.0933714207152302e-28,1.2982133332215326e-37,2.7243733981445115e-31,4.883772966301484e-21,1.530572256432937e-49,1.8756248421232834e-71,2.2055883626011626e-53,3.5645799650309689e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.5545686708072815e-21,5.5545685640335411e-21,4.8837658684647622e-21,1.0883976758105278e-22,9.0801024548586887e-23,4.5401059576085791e-23,1.0946035862807019e-27,7.3446321388860322e-27,1.311379536703521e-27
1.2700000000000001e-13,0.003058923563780093,8.6769247657163308e-25,3.6683540000591896e-32,2.951433456828104e-32,2.9639039465749093e-47,1.1796295623365677e-39,0.0,0.0,4.9198858885857198e-22,3.4047725564253838e-32,3.256419847591772e-48,3.7443168729898223e-48,4.0170594438654071e-51,2.5143392696651421e-80,1.2328461161268823e-53,7.1145914936208923e-43,6.0433136201887247e-28,1.0644990376990012e-37,1.2854958460935474e-88,1.6324505676531447e-84,7.6412384061925906e-53,2.7314852780471672e-47,2.1270403156282163e-46,5.0766288840075789e-63,5.7826935277589503e-40,1.171749358505189e-62,1.8155225537481039e-46,3.6695854897228437e-27,1.0495766217060728e-36,1.0994077162934314e-30,9.8226667617635505e-21,2.4770512896386708e-48,5.0284290993085454e-70,3.5694964146207853e-52,4.7969112369444743e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1171829949465197e-20,1.1171829518585597e-20,9.8226381188262766e-21,2.189053208182456e-22,1.8262467598000073e-22,9.1314546574612408e-23,4.4171692280507795e-27,2.963886888370233e-26,5.2919469107489675e-27
2.55e-13,0.003058923563780093,1.7402580030925926e-24,1.3294444809198231e-31,1.1856643804772989e-31,2.3832286942202807e-46,9.4850710317056118e-39,0.0,0.0,9.8674213613593294e-22,1.367779366313777e-31,2.6184173720715658e-47,3.011179254193074e-47,6.4623053174154443e-50,8.110741881581929e-79,9.9127539118639661e-53,2.8580524592330919e-42,2.4277364130387257e-27,8.5592950069907145e-37,1.4465626170796277e-86,5.2838262234221171e-83,1.2292393082218428e-51,2.1961798286503786e-46,8.5605810247249631e-46,1.6414171432634505e-61,4.6496760492152416e-39,3.7708527869552266e-61,1.4597842456710954e-45,1.4741552204388909e-26,8.4393086297723534e-36,4.4165700812022814e-30,1.9700452054821101e-20,3.9849303326867952e-47,1.4499282205922798e-68,5.7424250607206032e-51,6.9347923014129254e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.240635238370997e-20,2.2406350652774306e-20,1.9700336989966632e-20,4.3902842260841301e-22,3.6626529746410904e-22,1.8314152091385224e-22,1.7744363609804382e-26,1.1906574264612134e-25,2.1258454047878877e-26
5.11e-13,0.003058923563780093,3.4854006199000656e-24,5.0406891696552351e-31,4.7527773435624269e-31,1.9113506437566866e-45,7.6070379140585998e-38,0.0,0.0,1.9762615032115796e-21,5.4827705866757772e-31,2.1000080192981293e-46,2.4157372323121688e-46,1.0366666250320369e-48,2.6052652197286491e-77,7.9496927911005997e-52,1.1456152760968499e-41,9.7315601993703881e-27,6.8644943642386784e-36,1.7223428794919329e-84,1.714955613724655e-81,1.9718552706661584e-50,1.7611286618898923e-45,3.4441313920995422e-45,5.2794101859383895e-60,3.7290040004713803e-38,1.2099854997517714e-59,1.1707059735748792e-44,5.9091330249608784e-26,6.7682661003186816e-35,1.7703778163506971e-29,3.9456013449475178e-20,6.3927160530235593e-46,4.3821236206941706e-67,9.212241658643668e-50,1.0497174241089375e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.4875396759886145e-20,4.4875389821490537e-20,3.9455552215685309e-20,8.7924261008464618e-22,7.3351981707404645e-22,3.6679547096107356e-22,7.1124848180774789e-26,4.7727135183596683e-25,8.5210325120180517e-26
