Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549),S(1413),S(1424),S(1776),S(1779),S(975),S(2129),S(1032),S(2133),S(2134),S(372),S(2383),S(1979),S(986),S(2393),S(1847),S(1351),S(1244)
0.0,0.0029514736735991058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0029514736735991058,8.3828889180810514e-23,3.59647209606762e-30,1.7231652166317957e-30,8.959419464730346e-31,1.9545449347744292e-38,0.0,0.0,1.3096566201559718e-21,7.1454165447507609e-33,2.8525890080556757e-46,2.678471216221983e-46,6.2106896854248624e-45,4.0462890411471393e-64,8.6354486641505035e-43,3.2666411718902463e-39,1.5542945657326666e-19,1.5684071123374975e-30,-1.840499670115061e-81,1.3625619719546493e-70,3.5206082163698702e-46,2.6588339718272355e-45,1.756222042285983e-41,-5.2671118875468594e-54,2.9499476479033095e-32,2.6709119064212764e-61,1.5032414780304744e-45,7.9292397996856809e-27,1.6879019612559988e-29,1.368307995607388e-30,1.8314735883225903e-19,1.6458651333018735e-41,2.2365725596519618e-64,3.0997549953777792e-51,3.0620052331789045e-51,0.88168480800000004,0.0,0.0094599999999999979,0.10885,2.3011738706380068e-19,2.3011738393592665e-19,1.8314735287508062e-19,5.867537371602509e-22,4.7952925181019585e-22,2.3976462688817772e-22,1.3665690131500904e-28,6.6364999209619366e-27,1.6551988823200117e-28,4.7419865048933969e-27,3.8896888751686362e-27,8.2790029889814365e-27,2.7768171981393791e-27,6.7962386150913933e-29,4.8601006428511106e-29,2.1499989276926297e-28,1.7218340880974279e-28,1.4910470935299308e-28,1.2171791813948772e-35,1.1505936364171474e-28,2.1525710764314938e-28,2.5066247593988514e-31,7.8541356145526096e-43,5.3743748277479562e-30,2.1104553007592601e-38,1.4519972274393993e-36,7.2789201273649416e-38,8.7436303165985302e-23,1.5542943817672244e-19,5.7992779784434065e-27,3.2537388514937202e-30,1.1331515246401773e-26,3.0587594323424771e-33,1.0382551967326543e-32,1.375194534664172e-44,5.7316474496738735e-38,6.9422154031416957e-38,2.1825284095029396e-40,2.7223174273280588e-39,2.4279417027035941e-47,2.8831607047963975e-49,5.4044572473015864e-53,2.595930795170306e-40,2.419190453973178e-40,9.4072861769902025e-61,6.166567288183217e-63,7.4699286424582409e-33,2.1823380477652912e-39,1.3673056685944965e-39,2.3522384484593549e-42,2.0919421868293926e-42,2.7143008133735687e-59,1.5217732396851538e-43,1.269068457527286e-65,2.4013173215050942e-36,1.9883846528323286e-52,3.1036560951070492e-56,3.1038601783003335e-56,1.9956485044683955e-60
3.0000000000000002e-15,0.0029514736735991058,2.7543904611336449e-22,1.2388293130921322e-29,1.1323659889881088e-29,5.8876302840013107e-30,1.8428569655993098e-37,0.0,0.0,4.3031601980914533e-21,4.6955607400118636e-32,2.6895934640491861e-45,2.5254183684008767e-45,5.8557935738039145e-44,3.8152532060671854e-63,5.6747225086953882e-42,2.1466497278567202e-38,5.106967846829106e-19,1.0306675303365281e-29,1.074613392227397e-79,1.6740138378244222e-69,3.3194315283788573e-45,2.506899922480251e-44,1.1541144582740924e-40,3.1151204057707689e-52,1.9385369851459931e-31,4.7945736254075959e-60,1.4173418676631612e-44,5.2106431851574863e-26,1.1091927162630436e-28,8.9917382000095044e-30,6.0176988455146141e-19,1.5518154820710732e-40,4.0163516621175807e-63,4.6784874264008454e-50,4.8207840642068405e-50,0.88168480800000004,0.0,0.0094599999999999979,0.10885,7.5609996749928812e-19,7.5609994694468755e-19,6.0176984540429119e-19,1.9279045983733687e-21,1.5755956564242878e-21,7.8779783467240375e-22,8.980307764823822e-28,4.361128367126185e-26,1.0877017323138825e-27,3.1161625437069579e-26,2.5560812379554567e-26,5.4404875116759687e-26,1.8247655729928988e-26,4.4660981321189626e-28,3.1937825482210989e-28,1.4128564310497252e-27,1.1314909625884742e-27,9.7983093637949143e-28,1.1476264442531819e-34,7.5610405465459835e-28,1.4145469823765971e-27,1.6472205278207816e-30,7.4049117223557262e-42,3.5317381846890796e-29,1.9898613552519253e-37,1.3690273897614011e-35,6.8630094951509376e-37,2.872907041128025e-22,5.1069666379134198e-19,3.810953849630396e-26,2.1381711897703271e-29,7.4464229723103635e-26,2.8839723584670927e-32,6.8229055913410674e-32,1.2965391895154794e-43,5.4041235262542627e-37,6.5455157445747466e-37,2.0578325143103877e-39,2.566762673547508e-38,2.9828168117921023e-46,3.5420409205287792e-48,8.1836525435072522e-52,2.4476275227364144e-39,2.2810006873947424e-39,1.6932686757638604e-59,1.1099599370093744e-61,4.9088169702559739e-32,2.0576346538701641e-38,1.2891738983599051e-38,2.2178441485505227e-41,1.9724178914546911e-41,4.8722320607608965e-58,1.4348556352825537e-42,2.2842747976620911e-64,1.5780069100933379e-35,2.4428373026470766e-51,4.6997087273252451e-55,4.7000760695236452e-55,3.5920931835212565e-59
7e-15,0.0029514736735991058,6.1076430101800239e-22,3.1146031887461972e-29,6.1541727162347281e-29,3.1998407226782576e-29,2.9764978409508405e-36,0.0,0.0,9.5418075834210396e-21,2.5519397683428723e-31,4.3441286392910044e-44,4.0789717004452259e-44,9.4580004032229108e-43,6.1622250800228519e-62,3.0840851399954273e-41,1.1666565499542073e-37,1.1324146017881662e-18,5.6014539470068896e-29,1.0003348115861287e-77,8.4674170279158403e-68,5.3613985476744757e-44,4.0490131478424134e-43,6.2722618354995104e-40,6.0103219039160346e-51,1.0535525656647901e-30,2.6415260682266632e-57,2.2892203920747889e-43,2.831870900973151e-25,6.0282212439404477e-28,4.8868140379906137e-29,1.3343592528892954e-18,2.506413943431638e-39,2.2121256018387521e-60,7.6485087721914335e-48,7.7548667340118609e-48,0.88168480800000004,0.0,0.0094599999999999945,0.10885,1.6765693736728865e-18,1.676569261963117e-18,1.3343590401329921e-18,4.2749154300787376e-21,3.4937091691843905e-21,1.7468546197022991e-21,4.8805918148998051e-27,2.3701779215594406e-25,5.9114086533295696e-27,1.6935665409516807e-25,1.3891745049663544e-25,2.9567861012452544e-25,9.9172036933511323e-26,2.4272218375881337e-27,1.735758902744933e-27,7.6785673072522117e-27,6.1494070662256558e-27,5.3251677506494012e-27,1.8535959042663301e-33,4.1092493196234761e-27,7.6877650646828171e-27,8.9526381248124917e-30,1.1953897397234432e-40,1.9194446938127403e-28,3.2139794036246064e-36,2.2112078701567543e-34,1.1085209695228751e-35,6.3703586864668611e-22,1.1324139447690317e-18,2.0711696845899742e-25,1.1620493633915383e-28,4.0469642943996892e-25,4.6580401756496757e-31,3.7084040446583119e-31,2.0930302516618417e-42,8.7284603361428705e-36,1.0571975431926795e-35,3.3240076132068553e-38,4.1458030327678091e-37,1.5082466122637846e-44,1.7908372900900033e-46,1.350946550184009e-49,3.9538168130137689e-38,3.684897356291059e-38,9.4229366358321525e-57,6.1774477622262977e-59,2.6678590735331132e-31,3.3234159702844946e-37,2.0822107902169155e-37,3.5824404530574195e-40,3.1859796379746435e-40,2.6838340357640428e-55,2.3181143182171142e-41,1.2712782752901532e-61,8.5760673808683364e-35,1.2354071540675246e-49,7.7588180807986208e-53,7.7608624906953003e-53,1.9991447471167278e-56
1.5e-14,0.0029514736735991058,1.2814394970844047e-21,7.9790270618017508e-29,2.7226131622655258e-28,1.4156401483768017e-28,2.7682055798732257e-35,0.0,0.0,2.0019155566071931e-20,1.128981522043393e-30,4.0401671866949788e-43,3.7935762762523311e-43,8.796127366618317e-42,5.7311946842791511e-61,1.3643969289798974e-40,5.1612820266240366e-37,2.3758502126115155e-18,2.4780832098311189e-28,4.5101257665346055e-76,1.6285183844000871e-66,4.9862212076092557e-43,3.7656435141834084e-42,2.7748320100954348e-39,1.0777735663528624e-49,4.6609154947850808e-30,2.0897903962685551e-55,2.1290157673017212e-42,1.252819396076757e-24,2.666885048851276e-27,2.161926382591981e-28,2.7995378190419142e-18,2.3310073464747855e-38,1.7500406792298954e-58,2.9925638468928007e-46,3.0395239828839204e-46,0.88168480800000004,0.0,0.009459999999999991,0.10885,3.5175078243579739e-18,3.5175073301540557e-18,2.7995368778084599e-18,8.968926614104381e-21,7.329927299728745e-21,3.6649638051910445e-21,2.159166299988964e-26,1.0485663165053282e-24,2.6151970430009798e-26,7.492337944384826e-25,6.145707415587252e-25,1.3080817376830931e-24,4.3873705408292691e-25,1.0737989665094665e-26,7.6790526345895461e-27,3.3969979909443704e-26,2.7204974368581967e-26,2.3558539322681509e-26,1.7238867217084058e-32,1.8179231926699338e-26,3.4010744120470789e-26,3.9609062662116797e-29,1.1108376333275186e-39,8.4917832943389439e-28,2.9891367617216905e-35,2.0564957505883731e-33,1.0310050539291621e-34,1.3365260752014358e-21,2.3758473059607755e-18,9.1628481743918981e-25,5.1409049412735269e-28,1.7903735407718972e-24,4.3320470289449398e-30,1.640820763643047e-30,1.9449882900316758e-41,8.1176056608099556e-35,9.8321001314727539e-35,3.0918218367356105e-37,3.8558094450772348e-36,2.8993059152006693e-43,3.4420180065932024e-45,5.2967179441092342e-48,3.6778935919878707e-37,3.4280971676078498e-37,7.4698174606362407e-55,4.8976947362846268e-57,1.1802783180754805e-30,3.0908745780296552e-36,1.9364945499224625e-36,3.3321543375064078e-39,2.9633504494743312e-39,2.1231797798635308e-53,2.1567728418131204e-40,1.0078821103114662e-59,3.7940102250110965e-34,2.3753982844975544e-48,3.0423772495844005e-51,3.0439981038675854e-51,1.5849643875118491e-54
3.1e-14,0.0029514736735991058,2.622888634096317e-21,2.2159651221268017e-28,1.1348382578675479e-27,5.9008833072516098e-28,2.3363722226189817e-34,0.0,0.0,4.0974064379429432e-20,4.7058184185052604e-30,3.4099733366492976e-42,3.2018652281577935e-42,7.4239331234985727e-41,4.8375045406737483e-60,5.687024217125951e-40,2.1513066235571718e-36,4.8627213407095227e-18,1.0329080877230856e-27,2.0400358948763589e-74,2.7688926927129839e-65,4.2083957598391746e-42,3.1781727104779174e-41,1.1565895488314547e-38,1.8441593921220276e-48,1.9427496309034734e-29,1.4268202457770055e-53,1.7968823123658347e-41,5.2219663635306357e-24,1.1116039610908825e-26,9.0112832656222524e-28,5.7298942692550231e-18,1.9673587363460866e-37,1.1948365867418449e-56,1.019507992395226e-44,1.0365219854353905e-44,0.88168480800000004,0.0,0.0094599999999999823,0.10885,7.1993832790807253e-18,7.1993812191538291e-18,5.7298903460341027e-18,1.8356907065188401e-20,1.5002327981345947e-20,7.5011646380972881e-21,8.9997187068279437e-26,4.3706032104518249e-24,1.090051261247997e-25,3.1229361685011661e-24,2.5616370551354508e-24,5.4523082317681946e-24,1.8287319015455732e-24,4.4757481210327042e-26,3.2008074589733308e-26,1.4159275826528973e-25,1.1339503560573358e-25,9.8196058762321802e-26,1.4549704667317456e-31,7.5773485223504799e-26,1.4176326804244421e-25,1.6511856383132719e-28,9.3606112582050627e-39,3.5396530268251978e-27,2.5229519724518843e-34,1.7357303998161284e-32,8.7026566929806939e-34,2.7355059982579188e-21,4.8627092253002197e-18,3.8192288806151998e-24,2.1428172497205759e-27,7.4625595091459835e-24,3.6562113102543414e-29,6.8410412518775314e-30,1.6389727979822955e-40,6.8512026177364339e-34,8.2982180040617501e-34,2.6102095892978449e-36,3.2545204996167888e-35,4.9246153799699316e-42,5.8447233771535261e-44,1.8059072192588738e-46,3.1054126215940574e-36,2.8950884396748248e-36,5.103922150789344e-53,3.3473655207708396e-55,4.919747210618235e-30,2.6087518011104758e-35,1.6343973622572262e-35,2.813025102639213e-38,2.5016094549545087e-38,1.4495893421529737e-51,1.8217772249899921e-39,6.8880175617501776e-58,1.5813751205094513e-33,4.0366554746244317e-47,1.0375246172477741e-49,1.038632367828048e-49,1.0832184944538449e-52
6.300000000000001e-14,0.0029514736735991058,5.3061818864413863e-21,6.8330180597752885e-28,4.6245747599681128e-27,2.4048444508688662e-27,1.9122113413623564e-33,0.0,0.0,8.2884733399078452e-20,1.9176688081174168e-29,2.7910061758177462e-41,2.6207036417667223e-41,6.0761097093146731e-40,3.9598688062454172e-59,2.317477750387081e-39,8.7666479422977229e-36,9.8364632227104276e-18,4.2091563640211473e-27,1.001833729632313e-72,4.5428140670227379e-64,3.444396181639048e-41,2.6011210865283135e-40,4.7131003112279391e-38,3.0470928362964728e-47,7.9168031175476859e-29,9.3570893402141258e-52,1.4706442435844882e-40,2.1279776900800939e-23,4.5298462287243752e-26,3.6721458210777949e-27,1.1590604441313256e-17,1.6101631242110824e-36,7.8356051263830023e-55,3.3409269846572102e-43,3.398372417831227e-43,0.88168480800000004,0.0,0.0094599999999999632,0.10885,1.4563128401944668e-17,1.4563120007637565e-17,1.1590588454003797e-17,3.7132700304072252e-20,3.0346987030149397e-20,1.5173496153328265e-20,3.6673844420442312e-25,1.7810418905199405e-23,4.4419508942242461e-25,1.2726131380134383e-23,1.0438805985226634e-23,2.2218423046224486e-23,7.4521792026852503e-24,1.8238653410838522e-25,1.3043829441228546e-25,5.769980456023355e-25,4.6209075462760914e-25,4.0015407900245735e-25,1.1908348663403833e-30,3.087753024903198e-25,5.7769773305158015e-25,6.7303852682859285e-28,7.6370354568416418e-38,1.4425336219906591e-26,2.0651031042799067e-33,1.4206843116170348e-31,7.1242665831513396e-33,5.5334638841512576e-21,9.836413851886925e-18,1.5563521739929254e-23,8.7320869561416654e-27,3.0410105616976955e-23,2.9923613285867526e-28,2.78923554861482e-29,1.3371981171523772e-39,5.6072642843566831e-33,6.7915425821060293e-33,2.1374847035772545e-35,2.6640122463455479e-34,8.0634965995862297e-41,9.5644974960149013e-43,5.9177264811907922e-45,2.5436948077054836e-35,2.3723782795770295e-35,3.3468474277907265e-51,2.1961882555395155e-53,2.0049391904031168e-29,2.1352166408215178e-34,1.3376635052405665e-34,2.3034376101844668e-37,2.0483228062640269e-37,9.5063135776449735e-50,1.4934172754386625e-38,4.5186318896875777e-56,6.4439116920818904e-33,6.6158618788924446e-46,3.401342333413151e-48,3.4086097628508956e-48,7.1064383720304219e-51
1.2700000000000001e-13,0.0029514736735991058,1.0674348294855065e-20,2.3192576670531422e-27,1.8662630778137854e-26,9.7062673237390796e-27,1.5460098723219642e-32,0.0,0.0,1.6670947701580135e-19,7.7388400052043674e-29,2.2566754370101535e-40,2.1190259550527107e-40,4.9124413944303908e-39,3.2024946505031559e-58,9.3519453959970093e-39,3.5377037904411494e-35,1.9783945489929054e-17,1.6985847311587097e-26,5.5230150918396087e-71,7.3524819536011228e-63,2.7848051097210213e-40,2.1028843721888524e-39,1.9018972925725735e-37,4.9517510765818499e-46,3.194782211725183e-28,6.0366120028577117e-50,1.1889737932642229e-39,8.5873361828449994e-23,1.8279975144595358e-25,1.4818760063602972e-26,2.331201387196206e-17,1.3017607765044409e-35,5.0548957781760801e-53,1.0774193990816308e-41,1.0962058457780213e-41,0.88168480800000004,0.0,0.0094599999999999268,0.10885,2.9290595501411382e-17,2.9290561626642651e-17,2.331194935617349e-17,7.4683616165380203e-20,6.1035735897671558e-20,3.0517878595091215e-20,1.4799152533903312e-24,7.1872878129701902e-23,1.7924738123028521e-24,5.1355668375268408e-23,4.2125268074194207e-23,8.9661146944357572e-23,3.0072891058305266e-23,7.3599088983002793e-25,5.2640694074647427e-25,2.3284468869493004e-24,1.8647436990190128e-24,1.6148010544456849e-24,9.6279743956324999e-30,1.2460014488537505e-24,2.3313095624479968e-24,2.7173970258672203e-27,6.135767848993352e-37,5.8221284758097223e-26,1.6699207653580633e-32,1.1487270506939002e-30,5.7624247139659545e-32,1.1129371814998946e-20,1.9783746257363537e-17,6.2805496569254366e-23,3.5237840231297437e-26,1.2271667207574141e-22,2.4191800813630913e-27,1.1267716970053338e-28,1.0743635590024324e-38,4.5332338835551082e-32,5.4906565156322113e-32,1.7300015371290262e-34,2.1543843559933439e-33,1.2998784496441587e-39,1.5400763839407422e-41,1.9067645865637226e-43,2.059890210130064e-34,1.9227141458188216e-34,2.1570900728458779e-49,1.417002559176916e-51,8.0917673733368496e-29,1.7264299236533652e-33,1.0814688050930003e-33,1.8641048299950055e-36,1.6574649442928742e-36,6.132843929439247e-48,1.2112648291305994e-37,2.9147480745431466e-54,2.6001856920839172e-32,1.0685484607897253e-44,1.0969175202489105e-46,1.1016059093696271e-46,4.5844685792169123e-49
2.55e-13,0.0029514736735991058,2.14170006500858e-20,8.4427427159514079e-27,7.4975095508671257e-26,3.9005400928031575e-26,1.2431443576400636e-31,0.0,0.0,3.3437258660445745e-19,3.109012279401048e-28,1.8148563950580189e-39,1.7042351641910734e-39,3.9500035439000306e-38,2.5766784078313945e-57,3.7567888703470336e-38,1.4211480276842998e-34,3.9678904037211503e-17,6.8236002176127107e-26,3.4403738636405455e-69,1.1829745046098549e-61,2.2393128454786119e-39,1.6907585749064456e-38,7.6399395158675581e-37,7.9836953936445259e-45,1.283412100740461e-27,3.855602258768296e-48,9.5600056020324116e-39,3.4497156665501196e-22,7.3434802176451207e-25,5.9530263817510041e-26,4.675478907942325e-17,1.0466713774895234e-34,3.2283913100940899e-51,3.4403321522419413e-40,3.5006412290860024e-40,0.88168480800000004,0.0,0.0094599999999998539,0.10885,5.8745437115820648e-17,5.8745301033610142e-17,4.6754529906687276e-17,1.4978276571554194e-19,1.2241095693346938e-19,6.1205521232826986e-20,5.944833743070033e-24,2.8872798959032161e-22,7.2003399830552047e-24,2.0630720636061793e-22,1.6922652130376706e-22,3.6018734754231241e-22,1.2080947841093483e-22,2.9564723780782292e-24,2.1149330759873435e-24,9.3538923899535238e-24,7.491088574688632e-24,6.4870108227981706e-24,7.7420904733259933e-29,5.0050979803300379e-24,9.3657066537509925e-24,1.0927504754255909e-26,4.8726499346919062e-36,2.339566836430085e-25,1.3432616287552985e-31,9.2387218050420018e-30,4.6375822957044948e-31,2.2321156312454594e-20,3.9678103682904909e-17,2.5230116413432497e-22,1.4155779488244477e-25,4.9296592328114333e-22,1.9450603673022341e-26,4.5360539142704771e-28,8.5327344141831024e-38,3.6448434851568172e-31,4.4146118977486503e-31,1.3940840949837205e-33,1.7332190726521744e-32,2.0749435249445536e-38,2.4528590552361618e-40,6.0759248399478408e-42,1.661713365012166e-33,1.5535540159245261e-33,1.3746042254039045e-47,9.0493202453160962e-50,3.2513952271966752e-28,1.3884156524244339e-32,8.6957047853331456e-33,1.5018047259510431e-35,1.3350314111295382e-35,3.9170405753281275e-46,9.8017551487977713e-37,1.8605182488862611e-52,1.0443739076788847e-31,1.712221326345173e-43,3.5013743434426785e-45,3.5313066690628739e-45,2.9268075934846737e-47
5.11e-13,0.002951473673599106,4.2927582902246595e-20,3.2107143703053087e-26,3.0056160611300934e-25,1.5645798052235573e-25,9.9706915921925532e-31,0.0,0.0,6.6975329556670659e-19,1.2463606069236794e-27,1.4560414318305004e-38,1.3674171378123428e-38,3.1679826908394285e-37,2.0691351015249633e-56,1.5058252837819502e-37,5.6964352229095112e-34,7.9468797182980943e-17,2.7352336689826727e-25,2.4451379100203073e-67,1.8982412751904367e-60,1.7961384090928545e-38,1.3558109217692199e-37,3.0621316176302134e-36,1.28231311700701e-43,5.144510006599924e-27,2.4372181678860548e-46,7.66681511256585e-38,1.3828055528168476e-21,2.9436266646171175e-24,2.3862603844031904e-25,9.3640164879273737e-17,8.3937068243860632e-34,2.0405027244347933e-49,1.0872550551785176e-38,1.1063076701377579e-38,0.88168480800000004,0.0,0.0094599999999997082,0.10885,1.1765475001070638e-16,1.1765420452982919e-16,9.3639126002437823e-17,2.9997033847263054e-19,2.4515229397648373e-19,1.2257631839701405e-19,2.3827232066011627e-23,1.1573500381046728e-21,2.8859016033256611e-23,8.2697915941145742e-22,6.7834100106500024e-22,1.4437929659385828e-21,4.8426246470855839e-22,1.1849628863243819e-23,8.4795887072452694e-24,3.7494932710106818e-23,3.0027877969340792e-23,2.6003030273602274e-23,6.209976621703149e-28,2.0059902142879289e-23,3.7544809074543866e-23,4.3891792162302538e-26,3.8136553578203482e-35,9.3836283473327471e-25,1.078139673905588e-30,7.4128799613716345e-29,3.7260445629501036e-30,4.4704599846539159e-20,7.946558903534109e-17,1.0113246631246468e-21,5.6742823781005397e-25,1.9759306828891342e-21,1.5597247974729966e-25,1.8259399476020438e-27,6.6805768344160133e-37,2.9228431950842661e-30,3.5400887923166488e-30,1.1229368660596092e-32,1.3915484199352712e-31,3.2778581730728346e-37,3.8584013668517751e-39,1.9122800324119952e-40,1.3413906058411168e-32,1.2580845605663237e-32,8.649815305265588e-46,5.7188818964533895e-48,1.3039188398150392e-27,1.11389852500769e-31,6.9738320169741228e-32,1.2091508257899605e-34,1.0743996643120959e-34,2.4760216505635091e-44,7.9613912784641249e-36,1.174655854851689e-50,4.184923744011878e-31,2.7257627317768623e-42,1.1056654901047996e-43,1.1245685661096623e-43,1.8482593565266448e-45
