Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107)
0.0,0.0029258854228698204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0029258854228698204,2.3118384164937815e-23,1.1363625669119102e-30,3.4626881042593142e-32,3.2787277413253033e-46,3.7815225109500532e-41,0.0,0.0,6.8905329607066168e-22,2.705806500100907e-33,2.5381446720821763e-47,2.0285998800559682e-47,3.2262102417667896e-52,-1.3933001050685742e-78,1.6192637661483677e-51,2.4773959091240266e-40,8.1109575282194127e-28,7.1110509644079148e-39,-3.1264131880472431e-89,3.4069764182439817e-82,1.932191852781722e-53,3.214359447068541e-46,3.0510741274687058e-42,-2.6450432939439538e-67,1.1799718878378886e-40,1.4928707058098622e-64,2.3630120317702517e-46,2.223821037722612e-27,6.7303748493653129e-38,4.0349590791267992e-31,8.1976203355048255e-20,5.320584745126637e-50,-3.047149710205799e-69,8.3376022044023235e-54,-5.5115107730533891e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0196580449209752e-19,1.0196580256855188e-19,8.1976201181317186e-20,3.1953497531718923e-22,2.6175752028145047e-22,1.3087879815625058e-22,7.6031058375410187e-29,3.0046407132339713e-27,9.2036569104446907e-29,2.1535795484406996e-27,1.8055181982394584e-27,3.6943522588158747e-27
3.0000000000000002e-15,0.0029258854228698204,7.5960439652006855e-23,3.8475367797008548e-30,2.2754814062088943e-31,3.2465329045972587e-45,3.5654363159205269e-40,0.0,0.0,2.2640329429568888e-21,1.7781016480631956e-32,2.3931065452011337e-46,1.9126831901380433e-46,3.9636288971873334e-51,7.842292625427403e-77,1.5267342348166389e-50,1.6280028867085548e-39,5.3300577505152841e-27,6.7047051492801542e-38,1.7108252466694569e-87,5.1603427908004153e-81,2.3738352223927605e-52,3.0306809542360198e-45,2.0049869416838094e-41,4.4971390966143307e-63,1.1125449010005665e-39,2.2606326909844671e-63,2.2279826254896708e-45,1.4613680897970471e-26,6.3457819562347183e-37,2.6515445174576047e-30,2.6935037771999707e-19,6.5367176978319623e-49,9.1670533046369094e-68,1.0243339336754082e-52,1.8155559943865409e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.3503049273513147e-19,3.3503048009468914e-19,2.6935036343547925e-19,1.0499003313136657e-21,8.6006017449928774e-22,4.3003033706589684e-22,4.9963253149920696e-28,1.9744781264998126e-26,6.0481155451538911e-28,1.4152093988107216e-26,1.1864833759988869e-26,2.4277171379953164e-26
7e-15,0.0029258854228698204,1.6843424060738328e-22,9.2636073969467584e-30,1.2366769830332743e-30,5.0871330476322322e-44,5.758730314695651e-39,0.0,0.0,5.0202513646856317e-21,9.6636041786299369e-32,3.8652105871856177e-45,3.0893220562063248e-45,2.004853771110212e-49,6.6631808015987071e-75,2.4659045474221378e-49,8.8478368496874821e-39,2.8967703265204651e-26,1.0829114003433361e-36,6.5556189634754087e-85,8.5241899278926781e-79,1.2007160492267997e-50,4.8949969411664562e-44,1.0896504502293132e-40,4.2039162968300815e-61,1.7969282595105446e-38,3.7334539087706073e-61,3.5985273314194461e-44,7.942217147046153e-26,1.0249398681204856e-35,1.4410567313347697e-29,5.9725515492777656e-19,3.3063587508674258e-47,1.4783596221368062e-66,5.1812207946598528e-51,6.2704249610051732e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.4289365148409374e-19,7.4289358278605658e-19,5.9725507729454805e-19,2.3280379226160446e-21,1.9070883480755535e-21,9.5354553173240587e-22,2.715389318733119e-27,1.073085738563532e-25,3.2870127643705376e-27,7.691354765715677e-26,6.4482788136696052e-26,1.3194112735328408e-25
1.5e-14,0.0029258854228698204,3.5338251527027471e-22,2.2311883068165927e-29,5.4710759179783924e-30,4.7225807061142715e-43,5.3557426129259201e-38,0.0,0.0,1.0532701539822976e-20,4.2751845627952564e-31,3.594690531169367e-44,2.8731988325978202e-44,3.8558493152522481e-48,2.4796798001633555e-73,2.2933337506576998e-48,3.9142794022609425e-38,1.2815310527737192e-25,1.007127820808887e-35,5.6106006154474494e-83,3.345477112846712e-77,2.3092859476898426e-49,4.5524214924361404e-43,4.820493323719809e-40,1.865376096384026e-59,1.6711765234811156e-37,1.4647214156282291e-59,3.34669474909909e-43,3.5136363276929272e-25,9.5321321065317386e-35,6.375234453003697e-29,1.2530646171662937e-18,6.3589896605793143e-46,2.4166186875559283e-65,9.9648481965512394e-50,5.1295833484737913e-51,0.88168480800000004,0.0,0.0094599999999999979,0.10885,1.5586198182416921e-18,1.5586195143217091e-18,1.2530642737170446e-18,4.8843072253469283e-21,4.0011398396776046e-21,2.0005759262619925e-21,1.2012846525505566e-26,4.7473298394210522e-25,1.4541696306714698e-26,3.4026548614020104e-25,2.8527182504747593e-25,5.8370738976788997e-25
3.1e-14,0.0029258854228698204,7.2328175560223994e-22,5.7273037124304166e-29,2.2804532256269056e-29,3.985179247579413e-42,4.5202636235590427e-37,0.0,0.0,2.1557655216809804e-20,1.7819760912748955e-30,3.0338668654697401e-43,2.4250934871179108e-43,6.5557799758266232e-47,8.5846215143770063e-72,1.9355637785674316e-47,1.631536656812114e-37,5.3416427618668446e-25,8.5001409157794792e-35,4.6617290062861504e-81,1.1429832718417561e-75,3.9262876915530272e-48,3.8422073762255001e-42,2.0091673210371199e-39,6.620167721492402e-58,1.4104695072805625e-36,5.0002338766236682e-58,2.8245996886549562e-42,1.4645441791360592e-24,8.0451025169270916e-34,2.6573079642592386e-28,2.5646831729352329e-18,1.0811700392718401e-44,4.8804611688592117e-64,1.6942498094607235e-48,5.244055943895282e-50,0.88168480800000004,0.0,0.0094599999999999945,0.10885,3.1900715487958203e-18,3.1900702820056561e-18,2.5646817413803919e-18,9.9968223115789609e-21,8.1892234008774684e-21,4.0946367361074837e-21,5.0071337886143382e-26,1.9787682939940011e-24,6.0611922221514215e-26,1.4182852190866481e-24,1.1890622478443245e-24,2.4329924469185671e-24
6.300000000000001e-14,0.0029258854228698204,1.463091000271926e-21,1.6265427582479104e-28,9.2930826548696528e-29,3.2616495998006046e-41,3.6996305825866312e-36,0.0,0.0,4.3607775877573608e-20,7.2616893891447783e-30,2.4829790496424184e-42,1.9849997447188112e-42,1.0755358397677566e-45,2.8461617771148278e-70,1.5841431302217635e-46,6.6485764091056597e-37,2.1767474691762937e-24,6.9568985170562518e-34,4.0858637502319957e-79,3.7608180838791066e-74,6.4414377694605874e-47,3.1445895636433491e-41,8.1866704275528014e-39,2.2168005677835906e-56,1.154390997531459e-35,1.6426284954258516e-56,2.3117719910461227e-41,5.9680933921793357e-24,6.5844745013855022e-33,1.0828670577707993e-27,5.1879188096413169e-18,1.7737714077237145e-43,1.103257786982918e-62,2.7796034392991033e-47,5.9602452845156027e-49,0.88168480800000004,0.0,0.0094599999999999893,0.10885,6.4529725980616858e-18,6.4529674358318784e-18,5.1879129759878611e-18,2.0221758409250164e-20,1.6565312836841712e-20,8.2827584389440861e-21,2.0404104777091639e-25,8.0635783957782814e-24,2.4699368413613235e-25,5.7795859601073774e-24,4.8454911801063996e-24,9.9145657341157404e-24
1.2700000000000001e-13,0.0029258854228698204,2.9427525454825245e-21,5.1525663343128364e-28,3.7502692351716766e-28,2.6369990351984548e-40,2.9911363863192833e-35,0.0,0.0,8.7708870425794735e-20,2.9304522527031485e-29,2.0073116968041805e-41,1.6051403200930792e-41,1.7405930658110192e-44,9.2610972038854808e-69,1.2807281375296834e-45,2.6829817412977016e-36,8.7841523288957199e-24,5.624493504439651e-33,3.947032212827683e-77,1.2217309505648872e-72,1.0424507268228761e-45,2.5422542140517774e-40,3.3030502830387727e-38,7.2470712922350345e-55,9.3329740199783991e-35,5.3192306166722871e-55,1.8690023459340641e-40,2.4083925301430174e-23,5.3233970728053163e-32,4.3698551522989704e-27,1.0434384183730961e-17,2.8706237321245138e-42,2.7720316406621247e-61,4.4984713063619519e-46,7.5227573540279785e-48,0.88168480800000004,0.0,0.0094599999999999771,0.10885,1.2978765049238908e-17,1.2978744217379711e-17,1.0434360642384766e-17,4.0671254322428807e-20,3.3317180975679327e-20,1.6659002177202535e-20,8.2337873170951764e-25,3.2540104703550263e-23,9.9670544718949855e-25,2.3323215352339827e-23,1.9553730917451441e-23,4.0009669349172165e-23
2.55e-13,0.0029258854228698204,5.902247858174269e-21,1.7878541320540273e-27,1.5066410060668424e-27,2.1203377471447964e-39,2.4051849484060053e-34,0.0,0.0,1.75914472425274e-19,1.177255304145571e-28,1.6138193917416478e-40,1.2911436825784936e-40,2.8000474104287129e-43,2.9874627851010863e-67,1.0297660552484012e-44,1.0777992335891266e-35,3.5287876495868673e-23,4.5224677273782216e-32,4.2069419750032586e-75,3.9567107680714834e-71,1.6769665114220941e-44,2.0440219156564356e-39,1.3263956393712866e-37,2.343322082399687e-53,7.5043116600559999e-34,1.7117996642987025e-53,1.502782396079155e-39,9.6750371068930436e-23,4.2803659249637297e-31,1.7554678761740582e-26,2.0927291334657437e-17,4.6180318383763682e-41,7.6314290479255167e-60,7.2369003513980861e-45,1.0393078754774278e-46,0.88168480800000004,0.0,0.0094599999999999528,0.10885,2.6030311362295792e-17,2.6030227676553582e-17,2.0927196764377355e-17,8.1568741156180702e-20,6.6819674422191748e-20,3.3411490984082584e-20,3.3075460086077753e-24,1.3072036715912091e-22,4.0037859335434327e-24,9.3694448255460957e-23,7.8551654092758225e-23,1.6072725953775035e-22
5.11e-13,0.0029258854228698204,1.1821927362925196e-20,6.6028863599002466e-27,6.0399395617059356e-27,1.7004951748122773e-38,1.9291149650500003e-33,0.0,0.0,3.5233932800648528e-19,4.7192263615187596e-28,1.293958695665983e-39,1.0362930047481673e-39,4.4915358862698786e-42,9.5962285688919716e-66,8.2582291269413997e-44,4.3202245707486206e-35,1.414506670425074e-22,3.6269761834605105e-31,4.8361284285230569e-73,1.2856752276994351e-69,2.6900187946911608e-43,1.6390938130617409e-38,5.3127248534437286e-37,7.5376215319264324e-52,6.0183520276125129e-33,5.4927780675622584e-52,1.2051850014426729e-38,3.8782117454568009e-22,3.4328125168635074e-30,7.0367596726793479e-26,4.191301124779742e-17,7.4081785407675694e-40,2.2415806823557724e-58,1.1609702253900831e-43,1.5301325610698614e-45,0.88168480800000004,0.0,0.009459999999999906,0.10885,5.2133249632183135e-17,5.2132914183187246e-17,4.1912632168924914e-17,1.6335769594146314e-19,1.3381969080003867e-19,6.691647391947271e-20,1.325703914881469e-23,5.2398641486985289e-22,1.6047486970462119e-23,3.7557171036674801e-22,3.1487260492296761e-22,6.4426841016628829e-22
