Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73)
0.0,0.004499392570942467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.004499392570942467,2.9851217453537279e-32,1.4318897517672283e-41,1.1791639275617222e-42,5.4187719189556964e-63,1.7395826817273881e-52,0.0,0.0,1.2325300731191434e-27,7.663502928033434e-41,1.9677419466518526e-64,2.2793881612566592e-64,9.4439536259178723e-68,-6.0004894392445053e-108,8.3052185387558885e-72,5.2792725923391437e-57,2.3259918639577723e-38,6.4290595814161391e-51,-1.1924346556319573e-117,4.3673588476739778e-111,2.4362541159107164e-70,5.5385445935238097e-63,5.0721565748953456e-61,-2.2763965507295198e-86,5.8314880510475968e-54,2.2575250922251504e-83,7.57500535649704e-61,3.1947638169986745e-36,7.1107953794676079e-50,2.7614613071490938e-40,1.8178628377100502e-27,1.8268352247940354e-65,-5.6112563156583813e-92,1.2087576909093897e-68,-9.6611997305573287e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7945895706697532e-27,1.7945895706397804e-27,1.8178628407753648e-27,5.4101944363875703e-28,4.6102698505333429e-28,2.3051349252666513e-28
3.0000000000000002e-15,0.004499392570942467,9.8082569594108085e-32,5.0922201800882302e-41,7.7487914718147565e-42,6.0920371670500894e-62,1.6401779493704719e-51,0.0,0.0,4.0497416790675729e-27,5.036016215391072e-40,1.8553010575716183e-63,2.1491412430716125e-63,1.1602570986812725e-66,3.3774184821562671e-106,7.8306343638225652e-71,3.4692361243088463e-56,1.5285089391712525e-37,6.0616847481904605e-50,6.8112754546823509e-116,6.6145328221009217e-110,2.9931120231117268e-69,5.2220554944943118e-62,3.3331560297037497e-60,5.9745526386039738e-84,5.4982601615518041e-53,3.4185379085421188e-82,7.1421476126203856e-60,2.0994162210835955e-35,6.704464214923551e-49,1.8146745719274739e-39,5.9729778851740475e-27,2.2443974999088186e-64,1.7158388420497005e-90,1.4850451158619271e-67,3.2302856467918163e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.8965085893542765e-27,5.8965085891573095e-27,5.9729779053175437e-27,1.7776353148135333e-27,1.5148029508899837e-27,7.5740147544498541e-28
7e-15,0.004499392570942467,2.1748742380591242e-31,1.3784533910595986e-40,4.2112995284698246e-41,8.8481146789008597e-61,2.6491357861069819e-50,0.0,0.0,8.9798620499600303e-27,2.7369653540458664e-39,2.9966146390706732e-62,3.4712454950425925e-62,5.8687385929232512e-65,2.869620129451046e-104,1.2647657131265718e-69,1.885453882588913e-55,8.3071137998084609e-37,9.7905393053824916e-49,2.8242551635837523e-113,1.0925652142572595e-107,1.5139567542944948e-67,8.4343984592757221e-61,1.8115847197668445e-59,5.4772237422402833e-82,8.8805232178287617e-52,5.6457454289976602e-80,1.153564617150885e-58,1.1409870713161518e-34,1.0828725534967707e-47,9.8623617564960305e-39,1.3244429158276028e-26,1.1352471962682963e-62,3.1603151403231519e-89,7.5115625421969904e-66,1.2864648506700002e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.307486687211594e-26,1.3074866871045474e-26,1.3244429267751527e-26,3.9417130893721857e-27,3.3589108911068189e-27,1.6794554455533944e-27
1.5e-14,0.004499392570942467,4.5629709251447037e-31,3.8715808227258169e-40,1.8630787758249395e-40,8.1747644369794547e-60,2.4637458171960725e-49,0.0,0.0,1.8840102991349007e-26,1.2108334870297677e-38,2.786940415404114e-61,3.2284062603482477e-61,1.1287125128283612e-63,1.0679214415625168e-102,1.1762552841010338e-68,8.3412440610983553e-55,3.6750671450093213e-36,9.1053852413812375e-48,2.8335749416991944e-111,4.287528176204416e-106,2.9117359913181684e-66,7.844130739193542e-60,8.0150892478443854e-59,2.3533957365142766e-80,8.2590531878488417e-51,2.2149589166721158e-78,1.0728360996659922e-57,5.0477267641138331e-34,1.0070917913036316e-46,4.3631088061969829e-38,2.7787331506600879e-26,2.1833793962223284e-61,6.1486412799257286e-88,1.4446712311633085e-64,1.255290120746217e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.7431583437849662e-26,2.7431583433113901e-26,2.7787331990920473e-26,8.2698686384987121e-27,7.0471267715493908e-27,3.5235633857746645e-27
3.1e-14,0.004499392570942467,9.3391627107144278e-31,1.1876493424500904e-39,7.7656346608643986e-40,6.895243003372818e-59,2.079397217901378e-48,0.0,0.0,3.8560585672543192e-26,5.0469642902044556e-38,2.3522272377506333e-60,2.7249069903042105e-60,1.9190667117206972e-62,3.6971483116960652e-101,9.9275663581990752e-68,3.4767721374419769e-54,1.5318317846527308e-35,7.6849304486643059e-47,2.7936025431058677e-109,1.4645053694451066e-104,4.950609031687825e-65,6.6204037223131876e-59,3.3413484827245413e-58,8.3173073457994462e-79,6.9706275304649888e-50,7.5613832845416282e-77,9.0547088032818185e-57,2.1039801109970778e-33,8.4998384652467749e-46,1.8186194649447376e-37,5.687313541173417e-26,3.7122424007756989e-60,1.4928345762947134e-86,2.4562698569501033e-63,1.5402695443716612e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.6145016570158647e-26,5.6145016550419192e-26,5.6873137430462276e-26,1.6926179736788658e-26,1.4423558532470151e-26,7.2117792662350123e-27
6.300000000000001e-14,0.004499392570942467,1.8891539927452842e-30,3.9960941551299442e-39,3.1645373404902623e-39,5.6433789409491484e-58,1.7018726278523055e-47,0.0,0.0,7.8001554228596329e-26,2.0566654131683158e-37,1.9252577834344952e-59,2.2304117587391057e-59,3.1484399580509211e-61,1.2257710695462086e-99,8.1251558599461403e-67,1.416800910693556e-53,6.2422975934262635e-35,6.2896959382172639e-46,2.9331102517580075e-107,4.8165692400823998e-103,8.1220148375364694e-64,5.4183900257333846e-58,1.3620398877499753e-57,2.7804950148645364e-77,5.7050779535813841e-49,2.4839958648073209e-75,7.4107674790865899e-56,8.5738327904596645e-33,6.9566536518533644e-45,7.4109727125538417e-37,1.1504474005593524e-25,6.0903526774932221e-59,4.0148018549134812e-85,4.0297867477307499e-62,2.079838869558293e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.135718828381428e-25,1.1357188275770347e-25,1.1504474828236154e-25,3.4238801933516099e-26,2.9176422054454131e-26,1.4588211027226939e-26
1.2700000000000001e-13,0.004499392570942467,3.7996268943363209e-30,1.4442826525380753e-38,1.2770331092991303e-38,4.5627417184350594e-57,1.3759254664098364e-46,0.0,0.0,1.5688350411536023e-25,8.2995751838613546e-37,1.556670826283819e-58,1.8036006381079359e-58,5.0953899573511547e-60,3.9885989055961247e-98,6.5689834994169224e-66,5.7174110891466709e-53,2.5190491883937259e-34,5.0850793705604906e-45,3.3108633013535337e-105,1.5632963930454666e-101,1.3144540250927697e-62,4.3805688528025569e-57,5.4998511634869797e-57,9.082791515919377e-76,4.6124286422304536e-48,8.0438043402367669e-74,5.9914129221281962e-55,3.4599288000042298e-32,5.6242998580686852e-44,2.9906622292382494e-36,2.3138793668007688e-25,9.8565742357291639e-58,1.1581960662699139e-83,6.5217682147157509e-61,3.0078308776939414e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2842561538757593e-25,2.2842561506296684e-25,2.3138796987742255e-25,6.8864046327561207e-26,5.8682149098991942e-26,2.9341074549495719e-26
2.55e-13,0.004499392570942467,7.6205625305219499e-30,5.4655610850333215e-38,5.1301264325797432e-38,3.6688573645089312e-56,1.10633633004698e-45,0.0,0.0,3.1464745498750751e-25,3.3341286001600257e-36,1.2518988227246356e-57,1.4507999234872533e-57,8.1971873023382227e-59,1.2866982346944702e-96,5.2818694922324488e-65,2.2967972076865489e-52,1.0119593114948846e-33,4.0887490872048208e-44,3.9441508027140729e-103,5.0539012239378082e-100,2.1146186317674451e-61,3.5221476864506368e-56,2.2121489582566077e-56,2.9357064612604343e-74,3.7087056778700665e-47,2.5886178411241195e-72,4.8174579850348647e-54,1.3899318669778131e-31,4.5223189717051609e-43,1.2014168394067836e-35,4.6407427927132917e-25,1.5856835331024974e-56,3.4990034582252883e-82,1.0491929411165142e-59,4.5508292349435851e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.5813308054030147e-25,4.5813307923627297e-25,4.640744126325949e-25,1.3811453511801228e-25,1.1769360319034698e-25,5.8846801595172973e-26
5.11e-13,0.004499392570942467,1.5262393135148563e-29,2.1235804667957117e-37,2.0564020740931954e-37,2.9424417659076908e-55,8.8727208495771039e-45,0.0,0.0,6.3017556112619055e-25,1.3364830527658431e-35,1.0043836569658852e-56,1.1644656272329878e-56,1.3150217489637004e-57,4.1333990174092856e-95,4.2359592207696516e-64,9.2065573124425175e-52,4.0564301236009546e-33,3.2791480288435721e-43,4.8572895076051625e-101,1.6364448220609368e-98,3.392333770521838e-60,2.8245338334413298e-55,8.8892752303766422e-56,9.4406501983428543e-73,2.974355675523049e-46,8.306378262720162e-71,3.8634955606407053e-53,5.5715284821514442e-31,3.6268680284957752e-42,4.8158677839343332e-35,9.2944676182579842e-25,2.5438457121678676e-55,1.0861108812226892e-80,1.6831722930197119e-58,7.0695467897181729e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.1754801106118953e-25,9.1754800583400254e-25,9.29447296403141e-25,2.7661551270835793e-25,2.3571651138217459e-25,1.1785825569108626e-25
