Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549),S(1413),S(1424)
0.0,0.002978305669255037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002978305669255037,3.5225385298848457e-30,5.5792148047846704e-39,4.4691356718270105e-38,5.6181033264048272e-39,2.5826491406591246e-46,0.0,0.0,3.2527031409968367e-26,7.4979086822796277e-39,8.0049139974729533e-59,2.9071283131691142e-59,1.4739978950888417e-55,-4.212162305188834e-91,3.2703288944239207e-57,4.2524189825589374e-52,5.2564385115433105e-26,4.2075335686037614e-38,-7.4736584927940522e-104,1.8703827234691067e-89,9.2538391463370562e-59,2.7650511493097711e-59,2.1087303934537487e-53,-4.4938577513356701e-68,7.521023614800003e-41,7.3083374705636385e-73,1.6040030601645218e-57,2.6725851512842404e-34,5.0731713620083075e-37,5.2179218984422809e-38,9.7262889596497876e-26,7.1844160335199353e-52,2.1566374513094803e-77,1.5136221853603887e-61,2.6485444080456543e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0127618326512619e-25,1.0127618210882013e-25,9.7262889163658586e-26,1.4068435861645745e-26,1.1903661883818087e-26,5.9518309393723511e-27,3.3471281975110142e-33,3.4596278355155425e-33,3.9603063353183326e-33,2.4547800986981629e-33,2.7974194096595027e-33,3.6265632399139336e-33,1.3117659629900697e-33,1.6720224701592102e-33,1.447021246366494e-35,5.0318112439155857e-36,4.1553500580415442e-36,2.1261926702544537e-36,3.839358573980194e-42,2.8052497523228144e-35,9.8623348405668766e-36,3.9520546120857338e-36,9.656786646912582e-50,2.2932927296351963e-36,3.3728025402348791e-45,6.312492783036181e-43,1.1232015689669342e-42,6.0661599069301807e-28,5.2564384193605637e-26,1.8880564249038006e-33,2.1775792579111652e-35,3.3535238555220695e-34,9.2303369573234152e-41,2.1850229849279499e-39,8.4682697551332322e-50,1.3881128714641326e-43,1.6424086185537374e-43,1.001920839235405e-45,9.7362439184257685e-46,2.2724397284229293e-57,6.9009542811947505e-58,1.1353382977780509e-61,2.6057052031872199e-47,3.846619678672395e-47
3.0000000000000002e-15,0.002978305669255037,1.1574055561051692e-29,1.9994947941823646e-38,2.9368610301743851e-37,3.6918965259237643e-38,2.435069447403631e-45,0.0,0.0,1.068745326491296e-25,4.9271971515788328e-38,7.5480017282473175e-58,2.7410070029026194e-58,1.3897693822484659e-54,2.4911934087831839e-89,2.1490730712296348e-56,2.7944467837811064e-51,1.7271154680155579e-25,2.7649506009254524e-37,2.459405554355423e-101,2.2978981899389013e-88,8.7250482701851532e-58,2.6070475684656202e-58,1.3857334167618731e-52,2.657796180313353e-66,4.9423868904417389e-40,1.3154295721806651e-71,1.5123456368906695e-56,1.756270218322994e-33,3.3337982875848688e-36,3.4289200581185199e-37,3.1957805583377995e-25,6.7738774835978181e-51,3.8817380261199619e-76,2.2919088280754828e-60,4.0105726918141285e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.327645939716279e-25,3.3276458637304553e-25,3.195780529894078e-25,4.6224847670933067e-26,3.9112020903402623e-26,1.9556010435032078e-26,2.199541115223086e-32,2.2734696849168706e-32,2.6024866978805804e-32,1.6131411936151968e-32,1.8383041584957547e-32,2.3831700914247688e-32,8.6201762346879113e-33,1.0987574864674054e-32,9.5089957484560879e-35,3.3066187223310419e-35,2.7306585324237606e-35,1.3972122818019016e-35,3.6199663829770299e-41,1.8434494970603638e-34,6.4809627812168832e-35,2.5970646861095042e-35,9.1044786864693936e-49,1.5070208567268497e-35,3.1800708697657258e-44,5.951778682680112e-42,1.059018685190747e-41,1.9931667586764644e-27,1.7271154074383254e-25,1.2407227705545228e-32,1.4309806339088681e-34,2.2037439429340617e-33,8.7028882830641034e-40,1.4358758129330871e-38,7.9838732354760271e-49,1.308792023267951e-42,1.5485565637590532e-42,9.446686156968653e-45,9.1798847871221295e-45,2.7918112267209112e-56,8.477993657221419e-57,1.7191736554704346e-60,2.4568152628893684e-46,3.6268372720057009e-46
7e-15,0.002978305669255037,2.5664212675880447e-29,5.5039226532298024e-38,1.5961217017856384e-36,2.0064656952040471e-37,3.9330099217837005e-44,0.0,0.0,2.3698266497332349e-25,2.6778246008237723e-37,1.2198726295547103e-56,4.4271461232730825e-57,2.2446872101028918e-53,4.8064811720120476e-88,1.1679737799762018e-55,1.5187211459429191e-50,3.829690544200829e-25,1.502690438340711e-36,1.1858803940045103e-98,1.1623050562834495e-86,1.4092273929741934e-56,4.2107670883235052e-57,7.5310182476436547e-52,5.1279591940235726e-65,2.6860796322070732e-39,7.3210211429442937e-69,2.4426657841881946e-55,9.5449459917325112e-33,1.8118467680389631e-35,1.8635433451437271e-36,7.0862953782595269e-25,1.0940831213924163e-49,2.1603808048670922e-73,3.7838126858771006e-58,6.6214812547788971e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.3786926439744842e-25,7.3786922310081218e-25,7.0862952236741054e-25,1.024984915067349e-25,8.6726584260479351e-26,4.3363292039647557e-26,1.1954018190955469e-31,1.2355812247227307e-31,1.4143938040740991e-31,8.7670712057546112e-32,9.9907825861400497e-32,1.2952010034530941e-31,4.6848780576374858e-32,5.9715032413749006e-32,5.1679288881471621e-34,1.7970750562510451e-34,1.4840532774005646e-34,7.5935434408050873e-35,5.8467901540934914e-40,1.0018735236097812e-33,3.5222619778876735e-34,1.4114490008362397e-34,1.4697839087661585e-47,8.1903279177359679e-35,5.1362948513074217e-43,9.6130209958914291e-41,1.7104765669858753e-40,4.4196302019707104e-27,3.8296902149768031e-25,6.743057723860328e-32,7.7770679096263787e-34,1.1976858469387528e-32,1.4056470640212402e-38,7.8037989978907067e-38,1.2887835822274836e-47,2.1138957511307902e-41,2.5011515003347912e-41,1.5257888063533161e-43,1.48268702393808e-43,1.4118742248353778e-54,4.2863357028237123e-55,2.8379268883930793e-58,3.9682399286420675e-45,5.8582534278315918e-45
1.5e-14,0.002978305669255037,5.3844534529901109e-29,1.5752485898796176e-37,7.0612539958834393e-36,8.8766056464861937e-37,3.6577785831196166e-43,0.0,0.0,4.9719894663633983e-25,1.1846696489113949e-36,1.1356076136297597e-55,4.1173355376444091e-56,2.0875998868564028e-52,8.6189197537481134e-87,5.1671107461591532e-55,6.7188228568089226e-50,8.0348398605627111e-25,6.6479017228618802e-36,1.6803703464507355e-96,2.2354086491775781e-85,1.3106077685573141e-55,3.9160781781092373e-56,3.3316190009500018e-51,9.1954808456919297e-64,1.1883214826346309e-38,5.8055395462337208e-67,2.2717227276947573e-54,4.2226834842930772e-32,8.0156091656265489e-35,8.244314548503133e-36,1.486732307353364e-24,1.0175167693674228e-48,1.7131716717263953e-71,1.4840228414335306e-56,2.5966165558756662e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.5480784458153869e-24,1.5480782631191198e-24,1.4867322389647945e-24,2.1504552562432837e-25,1.8195549670345657e-25,9.0977747950952086e-26,5.2884505858641378e-31,5.466210413842475e-31,6.2572698081894322e-31,3.8785519349462594e-31,4.4199215664923555e-31,5.7299682604506813e-31,2.0725898096070479e-31,2.6417894790696753e-31,2.2862891063392584e-33,7.9502575772233922e-34,6.5654496941827586e-34,3.3593824651563728e-34,5.4376186525727896e-39,4.4322796271729443e-33,1.5582484026978275e-33,6.2442562725890381e-34,1.3658665575009039e-46,3.6233989944496008e-34,4.7768484873750367e-42,8.9402849782980147e-40,1.5907766602414303e-39,9.2725557662521168e-27,8.034838404076083e-25,2.9831281404678617e-31,3.4405742898926256e-33,5.2985542604144086e-32,1.3072763096946636e-37,3.4524933492403242e-37,1.1975249522911496e-46,1.9659602745679961e-40,2.3261149321585337e-40,1.4190207676207975e-42,1.3789217036910386e-42,2.7146499516255985e-53,8.2381361112210976e-54,1.1126433921648212e-56,3.6906996039768059e-44,5.4488134035656483e-44
3.1e-14,0.002978305669255037,1.1020520873533107e-28,4.9208447602529754e-37,2.9432626884683295e-35,3.6999244795740494e-36,3.0871684488104011e-42,0.0,0.0,1.0176315780208537e-24,4.9379091243667792e-36,9.6028004965120655e-55,3.4750354621301962e-55,1.7619287257401677e-51,1.474739965256809e-85,2.1537371766187719e-54,2.8005224180773639e-49,1.6445135149253163e-24,2.7709602121656291e-35,2.215846390889867e-94,3.8006699253571417e-84,1.1061505986963789e-54,3.3051400941390843e-55,1.3885923929101963e-50,1.5734229404940929e-62,4.9531290356532243e-38,3.9696470744131694e-65,1.9173265353794737e-53,1.7600872742886319e-31,3.341044287299996e-34,3.4363724377431634e-35,3.0429370685808388e-24,8.5878075307817579e-48,1.1714112447796639e-69,5.0633029752086279e-55,8.8565153704703421e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.1684961709167024e-24,3.1684954094073702e-24,3.0429367835255886e-24,4.4013857964810039e-25,3.7241246450860218e-25,1.8620623058380958e-25,2.2043122573477887e-30,2.2784106400152445e-30,2.6081318529469596e-30,1.6166474789973633e-30,1.8422995088399291e-30,2.3883494448799982e-30,8.638912144450262e-31,1.1011408196108765e-30,9.5296284331405043e-33,3.3138033597563318e-33,2.7365917741960215e-33,1.4002479904231793e-33,4.5893316073992276e-38,1.8474438889652349e-32,6.4950474378590066e-33,2.6027192149468449e-33,1.1510355525186412e-45,1.5102939108670655e-33,4.0316489484194352e-41,7.5455779613047018e-39,1.3426151911168622e-38,1.8978401605587304e-26,1.6445129078367829e-24,1.2434191095677451e-30,1.4340906410779641e-32,2.2085229398473732e-31,1.1033360578805138e-36,1.439134667414953e-36,1.0089430645131855e-45,1.6592632629339688e-39,1.9632324587318045e-39,1.1976654149437179e-41,1.1637993260254887e-41,4.6129839559638466e-52,1.3987866975282745e-52,3.7932968081542419e-55,3.1152131276784109e-43,4.5996647874081824e-43
6.300000000000001e-14,0.002978305669255037,2.2292667913523349e-28,1.679557526819229e-36,1.1994031717989642e-34,1.5077402234038619e-35,2.5266938665965495e-41,0.0,0.0,2.0584971130235366e-24,2.0122250474576891e-35,7.8892292886988653e-54,2.844144587444599e-54,1.4420388448713925e-50,2.4366102835814977e-84,8.7765610204393033e-54,1.1412284077302773e-48,3.3265712350511468e-24,1.1291807997950246e-34,2.874929339552385e-92,6.2353164361939898e-83,9.0532346752750801e-54,2.7050382142048677e-54,5.657905497050598e-50,2.5997579577250419e-61,2.0184259726981534e-37,2.606889041508722e-63,1.5692209020135862e-52,7.1724469746330076e-31,1.3614930462530621e-33,1.4003396031159723e-34,6.1553434797295026e-24,7.0286228258330502e-47,7.6926926008348707e-68,1.6615398667594617e-53,2.9043802443733506e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.4093290701830949e-24,6.4093259669947236e-24,6.155342318115356e-24,8.9032063088699029e-25,7.533229718268289e-25,3.7666147910615105e-25,8.9826452748549821e-30,9.284640801661988e-30,1.0628223299461328e-29,6.5879237233249393e-30,7.5074661090860858e-30,9.7326470329753735e-30,3.5204019395718704e-30,4.4871850391291951e-30,3.8833578433191822e-32,1.3503912048563402e-32,1.1151746621766564e-32,5.7060788688954037e-33,3.7561013876884735e-37,7.5283755499774134e-32,2.6467650933769414e-32,1.0606260926024387e-32,9.3920938208781315e-45,6.1545158549099311e-33,3.2996788577544277e-40,6.1756302608168249e-38,1.0988609057027768e-37,3.8390072127352955e-26,3.3265687611355179e-24,5.0669963557222336e-30,5.8439934727717371e-32,8.9997983149153122e-31,9.0301535663226725e-36,5.865164842136339e-36,8.228962439699306e-45,1.3580097879398407e-38,1.6067907456240032e-38,9.8024688803651275e-41,9.5249254072852196e-41,7.559814683848896e-51,2.2887193339985731e-51,1.2428541923049315e-53,2.5500703752516624e-42,3.7660030678627297e-42
1.2700000000000001e-13,0.002978305669255037,4.4837010788711207e-28,6.1279221609745428e-36,4.8401956636757723e-34,6.0844207248506151e-35,2.0428001808842537e-40,0.0,0.0,4.1402292719613698e-24,8.1202398837042225e-35,6.4265295994727045e-53,2.2994564709565505e-53,1.1658505250273111e-49,3.959369052342208e-83,3.5417109707646989e-53,4.6053750747095055e-48,6.6906813248622902e-24,4.5567506986665321e-34,3.7044787458690823e-90,1.0090821304133787e-81,7.3193326104790971e-53,2.1869010918220371e-53,2.2826692844954757e-49,4.2248028376977338e-60,8.1452531679110434e-37,1.6851086786078094e-61,1.268670246726696e-51,2.8944031796143318e-30,5.4942347499081492e-33,5.650996699857753e-34,1.2380143856826553e-23,5.6824389478022743e-46,4.9725642876576033e-66,5.3688705807635348e-52,9.3724207917815159e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2890984664986981e-23,1.2890972142247318e-23,1.2380139169200232e-23,1.7906685064261889e-24,1.5151302735443825e-24,7.5756510930239907e-25,3.6248656501170774e-29,3.7467672351821796e-29,4.2889237143229207e-29,2.658522996767479e-29,3.0295983960320694e-29,3.9275577056417418e-29,1.4206399840836473e-29,1.8107629890821106e-29,1.5670963407186362e-31,5.4494256113165774e-32,4.5002230488406438e-32,2.3026545484040659e-32,3.0366987375727926e-36,3.0379926005239481e-31,1.0680877502261251e-31,4.2801370494126726e-32,7.5476344595579906e-44,2.483614213016949e-32,2.6677078674038683e-39,4.9928383499107984e-37,8.8841057407587252e-37,7.7213328543311451e-26,6.6906713415194131e-24,2.0447588408492498e-29,2.3583125232679981e-31,3.6317830644072009e-30,7.3005983034263795e-35,2.3673534719674934e-35,6.6070415704493899e-44,1.0979100813967501e-37,1.2990419669321277e-37,7.9254522211969793e-40,7.7004697578878364e-40,1.2207947783076796e-49,3.6843068306959559e-50,4.0035723469974497e-52,2.062383939151422e-41,3.0470385464509254e-41
2.55e-13,0.002978305669255037,8.992589171663947e-28,2.3318351684575852e-35,1.9444662634298106e-33,2.444256137495731e-34,1.6425892015866384e-39,0.0,0.0,8.3036979455496914e-24,3.2620868672842742e-34,5.2449839520283854e-52,1.8489654014158103e-52,9.3741360797234765e-49,6.382704378159647e-82,1.4227632663973651e-52,1.8500859816702811e-47,1.3418880102790649e-23,1.8305469937772024e-33,4.755589799883943e-88,1.6232520589036708e-80,5.8852300951183573e-52,1.7583169881444301e-52,9.1655758362606264e-49,6.8116514959128604e-59,3.2721270368904266e-36,1.0800573477802011e-59,1.0200809811946065e-50,1.1627448733370807e-29,2.2071549592591026e-32,2.2701286221760748e-33,2.4829694830418421e-23,4.5689921587523087e-45,3.1870775220342878e-64,1.7203672727244448e-50,2.9954037960764819e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.5854255039807567e-23,2.585420473333993e-23,2.4829675999252293e-23,3.5912993521184655e-24,3.0386900272986875e-24,1.5193449033015952e-24,1.4561606548244432e-28,1.5051575931542231e-28,1.7229222185372439e-28,1.0679875397750736e-28,1.2170557480475782e-28,1.577785000579541e-28,5.7070232794652785e-29,7.27409413471452e-29,6.2952693020170303e-31,2.1891475299032151e-31,1.8078332867598817e-31,9.2502372519247065e-32,2.4416705692721425e-35,1.2203927877283906e-30,4.2907385476084261e-31,1.7194535798844121e-31,5.9966503925726935e-43,9.9771537867151235e-32,2.14500353568778e-38,4.0145465441779657e-36,7.1435199867980492e-36,1.548595028653064e-25,1.3418839997631982e-23,8.2142354276884975e-29,9.4738536870393793e-31,1.4589358321353389e-29,5.8700478665661231e-34,9.5141684091332907e-35,5.2401914151284134e-43,8.8277713015683269e-37,1.0444976241642117e-36,6.3732029554062602e-39,6.1913456578193074e-39,1.9553983651338477e-48,5.8646531759579733e-49,1.2750399425434241e-50,1.6594362260034637e-40,2.4537380096027885e-40
5.11e-13,0.002978305669255037,1.8010443425649075e-27,9.0874220745069771e-35,7.794774248012846e-33,9.7978280013302579e-34,1.3174077914007745e-38,0.0,0.0,1.6630652715439237e-23,1.3076062553150813e-33,4.3310129702816588e-51,1.482931401482624e-51,7.5178408871923921e-48,1.0248541152152231e-80,5.7029536380102331e-52,7.4160705054854733e-47,2.6875192052416886e-23,7.3377050778583137e-33,6.0902722873524854e-86,2.6037427745806954e-79,4.7198966471790795e-51,1.4099975303997056e-51,3.6704702112928514e-48,1.0940676508773567e-57,1.3116242467750525e-35,6.8729660328154276e-58,8.1807205228514486e-50,4.6608313568841633e-29,8.8473293508289505e-32,9.0997493110914021e-33,4.9728597656784195e-23,3.6641799651266686e-44,2.0280408456444741e-62,5.4733530800084247e-49,9.4815240223144196e-49,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.1780632531327344e-23,5.1780430880081731e-23,4.9728522172973216e-23,7.1923014409027794e-24,6.085590152041288e-24,3.042794633729713e-24,5.8367647682740031e-28,6.0333794036142661e-28,6.906030865081784e-28,4.281006200541977e-28,4.8785350938521986e-28,6.3245038642486978e-28,2.2876469808887954e-28,2.9156922067587145e-28,2.5233627646732384e-30,8.7750939798829051e-31,7.2466151721957491e-31,3.7079099690677337e-31,1.9581362261301543e-34,4.891630204210321e-30,1.7199286461006128e-30,6.8926171259178476e-31,4.6974376070393824e-42,3.9992621148881976e-31,1.7202541029722554e-37,3.2195827784245294e-35,5.7292063549698158e-35,3.1015049747256117e-25,2.6875031292828803e-23,3.2926486524783244e-28,3.7975670247469183e-30,5.8478593406137325e-29,4.7075304325454905e-33,3.8169298679251218e-34,4.0911176713370747e-42,7.0795359127905188e-36,8.3764716055295456e-36,5.1122278745750835e-38,4.9648466331449125e-38,3.1098368726282697e-47,9.2140546039075223e-48,4.008175525597736e-49,1.332683591337532e-39,1.973833707648786e-39
