Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549),S(1413),S(1424),S(1776),S(1779),S(975),S(2129),S(1032),S(2133),S(2134),S(372),S(2383),S(1979)
0.0,0.003717433275781136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.003717433275781136,3.6050111325406232e-24,6.6468671224247494e-32,5.3048824237486588e-32,2.098822680161461e-32,4.1368211155271789e-40,0.0,0.0,1.42411510199833e-22,3.3457182087199115e-34,6.9487037663813087e-49,5.6755721954959455e-49,4.1366330110462898e-47,5.0893671810444591e-68,1.7035526228385227e-45,9.0028135020633884e-42,1.0024354304226544e-20,4.927509212292238e-32,-8.212256477090509e-86,2.6489336059727321e-74,1.2611048534737409e-48,4.627737364238598e-48,8.6132574691088994e-44,-8.1963633898520779e-57,6.108193888771755e-34,1.0802024668343817e-63,4.8909450625379185e-48,2.2236630633284523e-28,5.3641152744309779e-31,4.5615767430802467e-32,1.2911101014286575e-20,1.3746415492507373e-43,5.5220319635051141e-67,3.1097175380313064e-53,3.1699761958727088e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.568803776738366e-20,1.5688037579371977e-20,1.2911100785206976e-20,6.2332098980843799e-23,5.1329273429453972e-23,2.5664636751357106e-23,1.1801873715886033e-29,3.761043110523151e-28,1.4216923898437313e-29,2.5975577921529345e-28,2.2284940191027396e-28,4.53469456567904e-28,1.3732857037924898e-28,5.8615631628657737e-30,3.1057192459970952e-30,6.0405686305185021e-30,4.8040990927492863e-30,3.7389612119382418e-30,6.2585563187695706e-37,6.7582942924929048e-30,7.2414245776076622e-30,2.4279144353158644e-32,3.1337734437652283e-44,3.6683779848809692e-31,1.1145930074872491e-39,7.9936468293617778e-38,5.7098562857327076e-39,6.6904328292756818e-24,1.0024353569417176e-20,3.020697559235174e-28,2.0116878276427757e-31,4.6772485665734166e-28,1.0177586919646917e-34,7.5110044066039766e-34,8.4510925964196005e-46,2.4395640313598359e-39,2.9387787917539239e-39,1.5833745861286952e-41,1.7114313256764998e-40,3.2618495608596318e-49,5.2724189455704177e-51,7.7184120969480168e-55,1.5127808492646917e-41,1.5637750712785239e-41,1.0099162265738597e-62,7.638786401324727e-65,4.0663226348683475e-34,9.5961252087443046e-41,4.1640539683925416e-41,1.0980739482995461e-43,9.7522423881775943e-44,2.0343540132966635e-61,7.311210593120466e-45,1.7342500067360078e-67
3.0000000000000002e-15,0.003717433275781136,1.1845062394158513e-23,2.30335560418558e-31,3.4860661738270092e-31,1.3792276396217836e-31,3.9004317908527359e-39,0.0,0.0,4.6792366242077101e-22,2.1986150862307733e-33,6.5516576863485781e-48,5.3512574447101812e-48,3.9002539504873186e-46,4.7986671799420097e-67,1.1194773108559331e-44,5.916134250603258e-41,3.2937163892504453e-20,3.2380774720655883e-31,4.8214910809128305e-84,3.2544105753483694e-73,1.1890418499803407e-47,4.3632943068985377e-47,5.6601879579411523e-43,4.8475634280851412e-55,4.0139559345882808e-33,1.9430627049530854e-62,4.6114622352603223e-47,1.4612642772413794e-27,3.5249900258525753e-30,2.9976075536520569e-31,4.2422188383794639e-20,1.2960904792583295e-42,9.9333048116134875e-66,4.7052061939982787e-52,4.8191534700487894e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.1546408872612531e-20,5.1546407637107203e-20,4.2422186878414465e-20,2.0480542132637169e-22,1.6865328771296331e-22,8.4326644097193817e-23,7.755515613401651e-29,2.4715425650949912e-27,9.3425481711540899e-29,1.7069665493390996e-27,1.4644389154594466e-27,2.9799420866168391e-27,9.0244488585391701e-28,3.8518836244777845e-29,2.0409016933110352e-29,3.9695165037723791e-29,3.15697938191436e-29,2.4570316435964492e-29,5.9009251282349136e-36,4.441163061408123e-29,4.758650866583575e-29,1.5954912183059873e-31,2.954568537817428e-43,2.4106501723108789e-30,1.0509027678654022e-38,7.5368703778529258e-37,5.383589161236283e-38,2.1982850291815685e-23,3.2937159063757333e-20,1.9850297445337052e-27,1.32196626693117e-30,3.0736200739617757e-27,9.5960090119131407e-34,4.935841140356115e-33,7.9677979712817614e-45,2.3001600831808271e-38,2.7708481991812872e-38,1.4929033175881745e-40,1.6136361154750127e-39,4.0073290154889433e-48,6.4773470210615103e-50,1.1687593844288302e-53,1.426349069797992e-40,1.4744376313328473e-40,1.8178109630390527e-61,1.3749568102400001e-63,2.6721562942825384e-33,9.0477779462266281e-40,3.9261079915067147e-40,1.035331439214617e-42,9.1950042537315271e-43,3.6593545998330412e-60,6.893555148301903e-44,3.1215910390414723e-66
7e-15,0.003717433275781136,2.6265304471347677e-23,5.8756631113351032e-31,1.89460323643122e-30,7.4958486096059416e-31,6.2997950251035438e-38,0.0,0.0,1.0375706896391456e-21,1.1949004347034704e-32,1.0582071275112845e-46,8.6431445283630315e-47,6.2995006132408242e-45,7.7505727155860604e-66,6.0841113281587635e-44,3.2152886746960385e-40,7.3034579196717709e-20,1.7598246766604488e-30,4.5533107845892187e-82,1.646125764120498e-71,1.9204846848703529e-46,7.0473677572354916e-46,3.0761426064703632e-42,9.3528977491982957e-54,2.1814976156126014e-32,1.07886523838596e-59,7.4482064571773166e-46,7.9416529196952074e-27,1.9157554077008446e-29,1.6291344679770545e-30,9.406658736642535e-20,2.0933806607946745e-41,5.5152067825228176e-63,7.7503835888035999e-50,7.9357412863809641e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1429855279115146e-19,1.1429854607644936e-19,9.4066579185012871e-20,4.5413345948409207e-22,3.7397008093397759e-22,1.8698504177520424e-22,4.2149491869667992e-28,1.3432294767317867e-26,5.0774653983504636e-28,9.2769921233990565e-27,7.9589067467978005e-27,1.6195335427586497e-26,4.9045915867023524e-27,2.0934123973733856e-28,1.1091873810099146e-28,2.1573458380663662e-28,1.7157495866612965e-28,1.3353432493292337e-28,9.5308970313660613e-35,2.4136693548131625e-28,2.5862248172990595e-28,8.6713102295711913e-31,4.770120551842038e-42,1.3101422661579575e-29,1.6973788844056271e-37,1.2173237462731999e-35,8.6954658280430907e-37,4.8744578295928884e-23,7.3034552953534088e-20,1.0788202300350619e-26,7.1845985763734762e-30,1.6704442330494651e-26,1.5498986105301612e-32,2.6826576124854533e-32,1.28636516910199e-43,3.7151027592070502e-37,4.4753340995549793e-37,2.4113728245594464e-39,2.6062796311111647e-38,2.0264399185036454e-46,3.2751413768870339e-48,1.9295086224271693e-51,2.303959963782405e-39,2.3817530846990455e-39,1.0116777996952535e-58,7.6525511095738494e-61,1.4522638772330911e-32,1.461357296312797e-38,6.3412586597081978e-39,1.6722848554339622e-41,1.4851811521671794e-41,2.0317545799952268e-57,1.1136031390589476e-42,1.7373455594890814e-63
1.5e-14,0.003717433275781136,5.5106291472384463e-23,1.5345746357475684e-30,8.3817398204278e-30,3.3161973924524221e-30,5.8589373575516466e-37,0.0,0.0,2.1768672549607371e-21,5.2862463674556429e-32,9.8417547429982255e-46,8.0383639052681793e-46,5.858653082223663e-44,7.2083037541896836e-65,2.6916075506021319e-43,1.4224425032198075e-39,1.5322940493647177e-19,7.7854641019031255e-30,2.1115199710382924e-80,3.16593655139109e-70,1.7860896183298705e-45,6.5541643118960293e-45,1.3608632840446303e-41,1.67716460533203e-52,9.6509441659423056e-32,8.5502888650750556e-58,6.9269662627876244e-45,3.5133866924366781e-26,8.4753016213868455e-29,7.2072903568250031e-30,1.9735537241473981e-19,1.9468806042620075e-40,4.3709298752870023e-61,3.0378954372335862e-48,3.1120445802576884e-48,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.3980282242569928e-19,2.3980279271986356e-19,1.9735533622018271e-19,9.5278862512734908e-22,7.8460290247818103e-22,3.9230145702661603e-22,1.8646898819918734e-27,5.9424458953789899e-26,2.2462659640133728e-27,4.1041413208459699e-26,3.5210200490293825e-26,7.1648149235904291e-26,2.1697911825561152e-26,9.2612372214371136e-28,4.907057306176493e-28,9.5440973416478834e-28,7.5904756024077711e-28,5.9075582760984763e-28,8.863925997770828e-34,1.0678027499921615e-27,1.1441469764048405e-27,3.8363069227702014e-30,4.433451368114251e-41,5.7961157060507883e-29,1.5786112612379553e-36,1.1321411975195417e-34,8.0871705461313569e-36,1.0226802587107974e-22,1.5322928883668038e-19,4.7726986157013584e-26,3.1784658954404891e-29,7.390034562414914e-26,1.4414315194935653e-31,1.1869071274608242e-31,1.1955349640768035e-42,3.4551090164897272e-36,4.1621365536246374e-36,2.242779227563577e-38,2.4239076535611275e-37,3.8958728408945434e-45,6.2955321735010834e-47,7.5658865203031201e-50,2.1430033914860652e-38,2.2155316556924989e-38,8.0207133297303973e-57,6.0675131749259263e-59,6.4248522971227391e-32,1.3590956426970708e-37,5.8974886415520848e-38,1.5553550966310855e-40,1.3813173195881207e-40,1.6102086242418956e-55,1.0359483994743988e-41,1.3774656042307531e-61
3.1e-14,0.003717433275781136,1.127902768590039e-22,4.3588055215197974e-30,3.4936669678381258e-29,1.3822763168587993e-29,4.9449499044644569e-36,0.0,0.0,4.4554704291433424e-21,2.2034048308318846e-31,8.3068103306521722e-45,6.7844944054005917e-45,4.9446926227884153e-43,6.0840305679878723e-64,1.1219060635547597e-42,5.9289774817574728e-39,3.1361903694129272e-19,3.2451163741424356e-29,9.9686378336099372e-79,5.3828262674633221e-69,1.5074614469847509e-44,5.5316710702092073e-44,5.6721439971070674e-41,2.8697630430941583e-51,4.0226800199786112e-31,5.8438009125479081e-56,5.846339255297754e-44,1.4644401096558948e-25,3.5326525995207567e-28,3.0041233068294368e-29,4.0393289084359245e-19,1.6431596351878664e-39,2.9873549531312908e-59,1.0360272857379444e-46,1.0615692340578357e-46,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.9081128888470403e-19,4.9081116506567692e-19,4.0393273997849058e-19,1.9500953137515429e-21,1.6058654859957623e-21,8.0293276712113575e-22,7.7723214926136917e-27,2.4769135421346404e-25,9.3627879637061337e-27,1.7106773542675062e-25,1.467622039869247e-25,2.9864180429715821e-25,9.0440652183275271e-26,3.8602287845682439e-27,2.0453567189287648e-27,3.9781449298568029e-27,3.1638415370664516e-27,2.4623726328732348e-27,7.4811606947683618e-33,4.4507499764816995e-27,4.7690123224995213e-27,1.5991365027272411e-29,3.7371090933274846e-40,2.415959385441384e-28,1.3323736298937253e-35,9.5553740410644175e-34,6.8259305708108114e-35,2.0931488728900524e-22,3.1361855301763962e-19,1.989341940100042e-25,1.3248393435382549e-28,3.0802859577485412e-25,1.2165604595195804e-30,4.9480448269276656e-31,1.0076916067685227e-41,2.9160960694432447e-35,3.5128230649937287e-35,1.8931627880904187e-37,2.0458051481905899e-36,6.6188187059064915e-44,1.0692338850861009e-45,2.5800990173085456e-48,1.8091513287933796e-37,1.8706621828624521e-37,5.4815141173941027e-55,4.1472999521862293e-57,2.6780200394774826e-31,1.147084376451092e-36,4.977469428895203e-37,1.3128810089770731e-39,1.165947271076975e-39,1.1005147179199437e-53,8.7479740682203583e-41,9.4148996102740354e-60
6.300000000000001e-14,0.003717433275781136,2.2816629315372292e-22,1.3728339789241254e-29,1.4236982263156973e-28,5.6330756475730287e-29,4.0471979772696798e-35,0.0,0.0,9.0127169516666548e-21,8.9790394515431284e-31,6.7993006306526616e-44,5.552947576413272e-44,4.0469590736960376e-42,4.9798326815652648e-63,4.5718062140674026e-42,2.416082517859586e-38,6.3439822305220781e-19,1.3224023436618363e-28,5.2584407473423409e-77,8.8311766546277567e-68,1.2337825392333832e-43,4.5273167892911742e-43,2.3112921624659298e-40,4.7416786885528075e-50,1.6392630727302105e-30,3.8355979885000832e-54,4.784894600269706e-43,5.9676691639858244e-25,1.4395748918968296e-27,1.2241961886054931e-28,8.1708772103028608e-19,1.3448291675046314e-38,1.9607481323761233e-57,3.3979354638451909e-45,3.4820897990435321e-45,0.88168480800000004,0.0,0.0094599999999999979,0.10885,9.9282793056258287e-19,9.9282742599376499e-19,8.1708710624758904e-19,3.9446941205619416e-21,3.2483784149114315e-21,1.6241893057580158e-21,3.1672390902940702e-26,1.0093548343495766e-24,3.8153555928331168e-26,6.9711030245322405e-25,5.9806374450969539e-25,1.2169805757119619e-24,3.6855047266950025e-25,1.5730514468495264e-26,8.3350211285420998e-27,1.6211152050719229e-26,1.2892822074669467e-26,1.003430030051593e-26,6.1229565531109895e-32,1.8136745052635199e-26,1.9434057741620411e-26,6.5173569602647585e-29,3.0509478593002654e-39,9.8454719207837014e-28,1.0905212205651428e-34,7.8207487804397987e-33,5.5872582297564132e-34,4.2340847519475997e-22,6.3439625104058657e-19,8.10666251553657e-25,5.3987887657984028e-28,1.2552261379186759e-24,9.9567946302917731e-30,2.0170126733672224e-30,8.2256567573854072e-41,2.3866484794628174e-34,2.8750318724736937e-34,1.5498760827495856e-36,1.6744304125461778e-35,1.0842403753035099e-42,1.7504446400533535e-44,8.4580547105267799e-47,1.4814424760156227e-36,1.5322708427404431e-36,3.5959877409616766e-53,2.7215566399898458e-55,1.0913321009085719e-30,9.3884200247074043e-36,4.0737845393896395e-36,1.0747888680864861e-38,9.5445628698288057e-39,7.2232700429795182e-52,7.1672286034648421e-40,6.1777182579910427e-58
1.2700000000000001e-13,0.003717433275781136,4.5895050769545396e-22,4.7353422702045469e-29,5.7453463373128033e-28,2.2733818127781741e-28,3.2721124397375177e-34,0.0,0.0,1.8127370693348982e-20,3.6234847242285449e-30,5.4981019064574281e-43,4.4897730647965723e-43,3.2718734983304427e-41,4.026708726174194e-62,1.8449128121273238e-41,9.7499206835795734e-38,1.2759562836793074e-18,5.3364896651520602e-28,3.2531150285880647e-75,1.4292438092003411e-66,9.9749813952938818e-43,3.6601478488815143e-42,9.3260028519329789e-40,7.7055376195965116e-49,6.6151604762485418e-30,2.4771466484918371e-52,3.8684569476159899e-42,2.4082212224580151e-24,5.809333666543421e-27,4.9401820499627147e-28,1.6433965547203729e-18,1.0872527430084474e-37,1.2662961747649541e-55,1.0969849238990221e-43,1.1241907497645186e-43,0.88168480800000004,0.0,0.0094599999999999962,0.10885,1.9968600489596857e-18,1.9968580127999591e-18,1.6433940738005996e-18,7.9338334541211075e-21,6.5333553215752183e-21,3.2666780574715789e-21,1.2781047013785834e-25,4.0731959296611309e-24,1.539643186458305e-25,2.8131551459467969e-24,2.4134559156018758e-24,4.9110587758371119e-24,1.4872669947319526e-24,6.3478709441172046e-26,3.363623502991129e-26,6.5419290407286961e-26,5.2028333399919199e-26,4.0492922725010156e-26,4.9503308987956275e-31,7.3187523666525977e-26,7.8425801879066271e-26,2.6306843467042885e-28,2.4543160404621961e-38,3.9733399766488929e-27,8.8173676853375104e-34,6.3232197738302494e-32,4.5181547017386806e-33,8.5159511128115251e-22,1.2759483257494927e-18,3.27139358426581e-24,2.1786525095637531e-27,5.0653475312545578e-24,8.0497042420566903e-29,8.1448613407741231e-30,6.6154142248255811e-40,1.9295249037863777e-33,2.324363830527074e-33,1.2537285057577525e-35,1.3538215603882306e-34,1.7494056366326448e-41,2.8208423389792829e-43,2.7274545873568379e-45,1.1989269983043784e-35,1.2408046613790473e-35,2.3196247784045617e-51,1.7566502640602844e-53,4.4042151097266114e-30,7.5905887401442097e-35,3.2935603857947243e-35,8.6937517206546679e-38,7.7196712741279434e-38,4.6650270327711411e-50,5.8066556265689019e-39,3.9867326596514607e-56
2.55e-13,0.003717433275781136,9.2064766351907844e-22,1.7416144106070961e-28,2.3081009414524755e-27,9.1341471218310743e-28,2.6310694512873272e-33,0.0,0.0,3.6357320963282843e-20,1.4556654997445232e-29,4.4224853216253284e-42,3.6106264468720758e-42,2.6308036826656377e-40,3.2387521569035596e-61,7.4112926167359131e-41,3.9167131782513578e-37,2.559071158555993e-18,2.1437880385451521e-27,2.4060432360290022e-73,2.2993507533151297e-65,8.0207613732020391e-42,2.9428672655322714e-41,3.7455798419706345e-39,1.2423486995252229e-47,2.6574548026265021e-29,1.5850468313930266e-50,3.1104634814101186e-41,9.6743480217930682e-24,2.3337400721944399e-26,1.9845811400668448e-27,3.2960109153733167e-18,8.7420613820978752e-37,8.1024299834700416e-54,3.5092188858433292e-42,3.5961560751954975e-42,0.88168480800000004,0.0,0.009459999999999991,0.10885,4.0049196259342216e-18,4.0049114462458107e-18,3.2960009490049318e-18,1.5911879014514714e-20,1.3103113340715421e-20,6.5515582638451524e-21,5.1342811607646545e-25,1.6362897673236021e-23,6.184893994222072e-25,1.1301083821798853e-23,9.6953882654172051e-24,1.9728776302533056e-23,5.9746837392766407e-24,2.5500016506531554e-25,1.3512968582087453e-25,2.6280388116042571e-25,2.0900939636877349e-25,1.6266916283156134e-25,3.9804931956831299e-30,2.9399132413091204e-25,3.1505905835235953e-25,1.0573167645168193e-27,1.953936065840768e-37,1.5963794723965333e-26,7.0909618485109326e-33,5.0848096820467872e-31,3.6344797417427238e-32,1.7079662245156164e-21,2.5590391899705414e-18,1.3141842323055682e-23,8.7521202321366417e-27,2.0348192703034655e-23,6.4722789857129284e-28,3.2762371222568872e-29,5.2641663086825473e-39,1.551425066346055e-32,1.8688892015354864e-32,1.0091897110311932e-34,1.0886959525034049e-33,2.797410541182923e-40,4.4997879925373818e-42,8.7045265162005897e-44,9.659705961128578e-35,1.0009040422981682e-34,1.4806221893821806e-49,1.1226596705305089e-51,1.7694314543029471e-29,6.1037664980615111e-34,2.6482399578485083e-34,6.997317724386992e-37,6.212129860944214e-37,2.9850266469454496e-48,4.6884390645515442e-38,2.5469630455512619e-54
5.11e-13,0.003717433275781136,1.8445568735750051e-21,6.6611924621731368e-28,9.2525217256801145e-27,3.662581914851352e-27,2.1102097068165549e-32,0.0,0.0,7.2819792649638641e-20,5.8352576767000971e-29,3.5494312603073237e-41,2.8965695364400991e-41,2.1098784117032121e-39,2.5990688924779763e-60,2.9706968212599263e-40,1.5699697544362178e-36,5.1252959228105817e-18,8.5933465666164498e-27,2.1351957772223003e-71,3.6888946301825542e-64,6.4329134599542534e-41,2.3599341362031072e-40,1.5007017953829408e-38,1.9953746737415549e-46,1.0652340365812159e-28,1.0053701815786008e-48,2.4945079869216219e-40,3.8779348022664586e-23,9.3547664561967683e-26,7.955158098201962e-27,6.6012264098180609e-18,7.010768799851205e-36,5.1389880346651052e-52,1.1128308694436881e-40,1.1402916999481886e-40,0.88168480800000004,0.0,0.0094599999999999806,0.10885,8.021020140724176e-18,8.020987352738486e-18,6.6011864601192783e-18,3.1867037816564843e-20,2.6241846286100108e-20,1.312092952987144e-20,2.057947173093991e-24,6.5590083478009135e-23,2.4790469801669032e-24,4.5300298313050959e-23,3.8863778175376451e-23,7.9082123843856283e-23,2.3949421438607432e-23,1.022099914086758e-24,5.4170853836485376e-25,1.053444859554923e-24,8.3781039819387836e-25,6.520570395169659e-25,3.1924735502805489e-29,1.1783046393484762e-24,1.2629498820216377e-24,4.2423413344231226e-27,1.5366626809914027e-36,6.4006644617430435e-26,5.6888255400769716e-32,4.0788021749111809e-30,2.9173553087842315e-31,3.4206998149284942e-21,5.125167778835028e-18,5.2678245727793086e-23,3.5082621201795484e-26,8.1561870026110247e-23,5.1903537089011225e-27,1.3166940341674405e-28,4.1364352954869548e-38,1.2441614792618796e-31,1.4987443607269565e-31,8.1113954900597457e-34,8.7333735367717752e-33,4.4343413865580628e-39,7.0994452571925658e-41,2.7476534414913712e-42,7.778333611782461e-34,8.0787295779294531e-34,9.3463352002566935e-48,7.1042123305137915e-50,7.0940183635571856e-29,4.8958478077053154e-33,2.1238598511144877e-33,5.6229500787546006e-36,4.9900827970073914e-36,1.893384547828763e-46,3.7914266991987297e-37,1.6105641149152971e-52
