Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216)
0.0,0.011238088213918085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.281265710961098e-17,0.01123808821391809,3.4920762195748022e-19,1.0121794834589036e-25,1.6218681712009159e-29,7.3797662165094771e-29,2.0254878991190413e-40,0.0,0.0,2.244886331260082e-20,5.5369267698932764e-33,7.8776898217768345e-43,8.4794173431750095e-43,2.1089378058197039e-48,1.9161943395949994e-69,4.4195819862992e-44,2.6829918021810893e-33,8.7231073875145995e-25,2.7544289743971702e-37,4.0863701573139069e-82,7.7936026327603829e-72,3.1367706918913745e-49,7.547557689431487e-40,6.7864838737680484e-36,4.1308433042863188e-61,2.6248899172796258e-38,5.3864669386814393e-62,5.5337320049200739e-42,2.4671361407191217e-24,2.6953823921273466e-36,3.0436670640933697e-29,1.4751576231647634e-16,9.387812544872948e-49,3.1258876611683747e-62,9.160114567487105e-52,1.0026699971286001e-48,0.88168480800000004,0.0,0.0094599999999996406,0.10885,2.1092418791270037e-16,2.1092418721157874e-16,1.4751576077648987e-16,1.7065003104164654e-19,1.340042816111524e-19,6.7002140805392095e-20,5.6212561668305626e-29,1.2425046181021835e-26,6.5065183047640658e-29,7.3943400586224005e-27,3.5203400922886011e-27,1.7412674760824568e-26,1.4605914024609865e-35,2.8285895020513076e-29,4.452806684386142e-28
3.5875439906910745e-17,0.011238088213918097,9.7778144002882847e-19,2.8346280390263798e-25,9.796084738461782e-29,4.4573791696838054e-28,2.4046601009173711e-39,0.0,0.0,6.2856821651028133e-20,3.3443039632766551e-32,9.3523933630105247e-42,1.0066774050088417e-41,4.7176094889136418e-47,1.1657145456836591e-67,5.2469277229535733e-43,1.6205270392452943e-32,5.2687568612454433e-24,3.2700580789719215e-36,4.3932366260861647e-80,3.2160535774493002e-70,7.0168305310597943e-48,8.960460440908493e-39,4.0990365679706661e-35,1.9733880658674696e-59,3.116269299749893e-37,2.2227411769356536e-60,6.5696466165171009e-41,1.4901502246701178e-23,3.1999579754812831e-35,1.8383749148662864e-28,4.130441366806544e-16,2.1000161044462635e-47,1.2763314404814663e-60,2.0490814724616629e-50,1.5154972635598079e-47,0.88168480800000004,0.0,0.0094599999999989953,0.10885,5.9058772606005118e-16,5.9058772182527634e-16,4.1304412737913596e-16,4.7782008684087533e-19,3.7521198846417518e-19,1.8760599423098988e-19,3.3952383548180733e-28,7.5047277542824278e-26,3.9299365603588434e-28,4.4661813760590293e-26,2.126285421217984e-26,1.0517255398390375e-25,1.7312452486584824e-34,1.7084678718901982e-28,2.6894954080683403e-27
8.200100550151028e-17,0.011238088213918111,2.2349294703630668e-18,6.4816270921984363e-25,4.7163941184646422e-28,2.1460365781290907e-27,2.3609102980084844e-38,0.0,0.0,1.4367275583086651e-19,1.6101385960765333e-31,9.1822352767140711e-41,9.8836391740447117e-41,9.3212012505140799e-46,5.2625934183611057e-66,5.1514647285697363e-42,7.8021400216613704e-32,2.5366796270691798e-23,3.2105624143128076e-35,3.9209564964910022e-78,1.2722401139088713e-68,1.3864074537176477e-46,8.7974330940491757e-38,1.9735099728138663e-34,1.0275281300582346e-57,3.0595716564432397e-36,8.7929439666586224e-59,6.4501179636235351e-40,7.1744318323477302e-23,3.1417377148614818e-34,8.8509839446908308e-28,9.4410089418709218e-16,4.1492778936061216e-46,4.9968510864317883e-59,4.0486400980380443e-49,1.6308863619615679e-46,0.88168480800000004,0.0,0.0094599999999977029,0.10885,1.3499148019727126e-15,1.3499147815840944e-15,9.4410084940428552e-16,1.0921601981363939e-18,8.5762740198201475e-19,4.2881370098575368e-19,1.6346607383930688e-27,3.6132032208590147e-25,1.892094779447598e-27,2.1502740600240422e-25,1.0237149070510274e-25,5.0636055847262931e-25,1.6983120335941352e-33,8.2255354617339411e-28,1.2948764398681436e-26
1.7425213669070933e-16,0.01123808821391814,4.7492271077977611e-18,1.3784032972061424e-24,2.0597741032579737e-27,9.3723089061045568e-27,2.0881993678623332e-37,0.0,0.0,3.0530469420248133e-19,7.0319000088102328e-31,8.1215831416065209e-40,8.7420037736821807e-40,1.6586579182599987e-44,1.9870556948062525e-64,4.5564121718077227e-41,3.4073994450527395e-31,1.107834636953618e-22,2.839706099127198e-34,2.9561373486628744e-76,4.540543865059259e-67,2.4670379329656708e-45,7.781229763116743e-37,8.6188392970134463e-34,4.1005809449537955e-56,2.706156443729023e-35,3.1381393656479526e-57,5.7050562189035802e-39,3.133262831687694e-22,2.7788314280430745e-33,3.8654572977823126e-27,2.0062144443122946e-15,7.3834181528644016e-45,1.7724061394156599e-57,7.2043390008365797e-48,1.5001403789579306e-45,0.88168480800000004,0.0,0.0094599999999951199,0.10885,2.8685689522698737e-15,2.8685688632274258e-15,2.0062142487340162e-15,2.3208404195156775e-18,1.8224582282648746e-18,9.1122911410955627e-19,7.1389895976909734e-27,1.5779806494549127e-24,8.2632705634170411e-27,9.390811574542478e-25,4.4708320020793741e-25,2.2114094510458587e-24,1.5015195458904899e-32,3.5923057637007956e-27,5.6550671350062296e-26
3.587543990691074e-16,0.011238088213918198,9.7778286897324042e-18,2.842247586882652e-24,8.5991587762029153e-27,3.9127572780172798e-26,1.7552588385862776e-36,0.0,0.0,6.2856885099348927e-19,2.935681283338525e-30,6.8266800344350822e-39,7.348242913690675e-39,2.7975688740738673e-43,6.8940231124200498e-63,3.8299389039581323e-40,1.4225221241709589e-30,4.6249915255136052e-22,2.38694408502722e-33,2.0521145034763562e-74,1.5341534109092432e-65,4.1610198766308237e-44,6.5405921659925717e-36,3.5981980494660895e-33,1.4574094477796059e-54,2.274687485440461e-34,1.0603063664945339e-55,4.7954433818036016e-38,1.3080755214862483e-21,2.3357752495570452e-32,1.6137523911274515e-26,4.1304416850119976e-15,1.2453213345304687e-43,5.9689390049871161e-56,1.2151170718746716e-46,1.2852416745857339e-44,0.88168480800000004,0.0,0.0094599999999899521,0.10885,5.9058772467515332e-15,5.9058768750168739e-15,4.1304408685112206e-15,4.7782008574272712e-18,3.7521198778193453e-18,1.8760599388142763e-18,2.9803848588926047e-26,6.5877575453642599e-24,3.4497490899228764e-26,3.9204788291644225e-24,1.8664843933169765e-24,9.2321979659796676e-24,1.2618625181681593e-31,1.4997155404759653e-26,2.360880485313316e-25
7.277589238259036e-16,0.011238088213918316,1.9835057081865869e-17,5.7833886554222279e-24,3.5130429603949974e-26,1.5984913096480675e-25,1.4390695608398723e-35,0.0,0.0,1.2750982847668249e-18,1.1993227804829046e-29,5.5969248114507883e-38,6.0246351718877487e-38,4.5950148173598802e-42,2.2960000808484901e-61,3.1400151923984378e-39,5.8114664680725725e-30,1.8894599429583737e-21,1.9569609798677341e-32,1.3692663153900353e-72,5.0440019258389567e-64,6.8344870272614986e-43,5.3623721247996232e-35,1.4699831933151899e-32,4.9089600537518532e-53,1.864926126977633e-33,3.4860552256046118e-54,3.9315940068966802e-37,5.3439150555082826e-21,1.9150096664814306e-31,6.5927055705501277e-26,8.3788967282085359e-15,2.0454438498952246e-42,1.9591440539729522e-54,1.9958333631998805e-45,1.0657057945349297e-43,0.88168480800000004,0.0,0.0094599999999796184,0.10885,1.198049381126409e-14,1.1980492292606983e-14,8.3788933925367212e-15,9.6929217138628505e-18,7.6114431648835325e-18,3.8057215820522978e-18,1.2175822013234991e-25,2.6913130606189922e-23,1.4093320359742004e-25,1.6016434055279693e-23,7.6251981002317904e-24,3.7716531478233096e-23,1.0344475343448554e-30,6.1268158773301323e-26,9.6449775519050198e-25
1.465767973339496e-15,0.011238088213918546,3.9949614779214678e-17,1.1719481024214946e-23,1.4200329975789516e-25,6.4613759759259655e-25,1.1653995714444271e-34,0.0,0.0,2.5681616330804301e-18,4.8478640329595489e-29,4.5325349334878325e-37,4.8790704338853766e-37,7.4487155436398058e-41,7.4945432974532647e-60,2.5428655249412865e-38,2.349087205590243e-29,7.6374991478992945e-21,1.5847977486522882e-31,8.9726720824290551e-71,1.6360366366671419e-62,1.1078995995758642e-41,4.342587167622284e-34,5.9419223272636927e-32,1.6111740332874158e-51,1.5102653599803071e-32,1.1306935539849303e-52,3.1839064265993505e-36,2.1600956936136815e-20,1.5508244702793793e-30,2.6648774028115297e-25,1.6875809061789629e-14,3.3157520362731758e-41,6.3489944289134937e-53,3.2353315844482411e-44,8.715636973594348e-43,0.88168480800000004,0.0,0.0094599999999589509,0.10885,2.4129726842485227e-14,2.4129720703832555e-14,1.6875795578473096e-14,1.9522363349185913e-17,1.5330089690834808e-17,7.6650448438436311e-18,4.9216436523410449e-25,1.0878710823848227e-22,5.6967209275294715e-25,6.4740977698041466e-23,3.0822272591113516e-23,1.5245617293821524e-22,8.3768063093314295e-30,2.4765476795937799e-25,3.8986625711480262e-24
2.941786072366681e-15,0.01123808821391901,8.0179133826441089e-17,2.3806908888394407e-23,5.7099293462883498e-25,2.5981057599874209e-24,9.3802095959035804e-34,0.0,0.0,5.1543062527886071e-18,1.9493125255051244e-28,3.6481786149848242e-36,3.9273654415042826e-36,1.1995921959232455e-39,2.4221176367758363e-58,2.0467190957246584e-37,9.4455726525815898e-29,3.0710047841059836e-20,1.2755831177214619e-30,5.8437141622881301e-69,5.2708820076481551e-61,1.7842375083886612e-40,3.4952906484621448e-33,2.3892330820128034e-31,5.2211352065362915e-50,1.2155926795805455e-31,3.6426792070548003e-51,2.5626843486322323e-35,8.6856480612024385e-20,1.2482384401006859e-29,1.0715358071269853e-24,3.3869642717699883e-14,5.3399145397371344e-40,2.0445291957521778e-51,5.2104007538111111e-43,7.1093165750249234e-42,0.88168480800000004,0.0,0.0094599999999176159,0.10885,4.8428192513704239e-14,4.8428167830469276e-14,3.3869588501895273e-14,3.9181246309658333e-17,3.0767382550044339e-17,1.5383691268695209e-17,1.9789565657926678e-24,4.3742762502317406e-22,2.2906067315197415e-24,2.6032054702369788e-22,1.2393502423519246e-22,6.1301894164818858e-22,6.742213592715061e-29,9.9580148501845188e-25,1.5676418561110546e-23
5.89382227042105e-15,0.01123808821391994,1.606397865326193e-16,4.8842754721064713e-23,2.2899684271939348e-24,1.041968562625369e-23,7.5271236665013019e-33,0.0,0.0,1.0326667184634682e-17,7.8176769963783808e-28,2.9274338714791442e-35,3.1518888609785984e-35,1.9256096053748915e-38,7.7892364515301401e-57,1.6423626900960364e-36,3.7880941419874807e-28,1.2316102465460876e-19,1.0235751431356607e-29,3.815376039134099e-67,1.6924801598842293e-59,2.8640942885835434e-39,2.8047485323977646e-32,9.5819915070404776e-31,1.6813084464253325e-48,9.7543613308523236e-31,1.169587450017306e-49,2.0563919355870029e-34,3.4833319693671539e-19,1.0016327171936707e-28,4.2973404415611303e-24,6.785734598448058e-14,8.5717393627865438e-39,6.5631185948497512e-50,8.3638438183022539e-42,5.8388553362661236e-41,0.88168480800000004,0.0,0.0094599999998349459,0.10885,9.7025122291190306e-14,9.7025023300518125e-14,6.7857128555001159e-14,7.8499010990057573e-17,6.1641967497814207e-17,3.082098372353595e-17,7.9363830287204263e-24,1.7542759885035313e-21,9.1861994973683137e-24,1.0440012080595358e-21,4.9703505300524144e-22,2.4584751266234547e-21,5.4101323698179899e-28,3.9935496260449059e-24,6.2869993951063266e-23
