Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890)
0.0,0.003534254919067507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.003534254919067507,1.1698403426674976e-25,1.5725122249245812e-33,6.3177988485774615e-35,4.8418068698281756e-34,3.7356496903345701e-44,0.0,0.0,1.994339996355782e-23,2.3725037358463637e-35,1.73808099450313e-51,7.5376506658384603e-52,9.2047567373569757e-57,-3.3014040560635278e-86,9.1588969988944296e-57,1.1740635530501566e-44,1.5808079182135851e-30,5.0597023282189347e-42,-7.6129807059349703e-90,8.0744202386497637e-78,5.3843140113793477e-51,7.7419266427525972e-51,5.0568847029494085e-46,-2.4005608597942256e-69,4.0870413559408826e-44,1.0089697954347931e-68,2.0338976514278258e-50,6.0371004849601973e-30,4.8997045826831791e-41,1.5593186143011463e-33,8.8746185705166788e-22,4.5683861241332411e-54,3.1165126606251537e-72,5.3483079970794551e-58,-6.7903400670581042e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0419229687649696e-21,1.0419229551304862e-21,8.8746184636101771e-22,8.939680427824288e-24,7.413797397496354e-24,3.7068987017798585e-24,1.8197088534038232e-30,2.7350801210119276e-29,2.1859422035241025e-30,1.9058084801373519e-29,1.7577827995523896e-29,3.1966528185129779e-29,2.5264529966489762e-38,9.0441111327546206e-31,1.9502683800792799e-31,2.1703868282019743e-31,1.7172988172062214e-31,8.3250594616293896e-33,4.2774758705610039e-38,4.1522099138337143e-31,2.9210380227417842e-31,3.2670644800453452e-33,1.7908289992617784e-45,2.4560517026855242e-32,6.3701435816852583e-41,5.7593357968716198e-39
3.0000000000000002e-15,0.003534254919067507,3.843765377791355e-25,5.3744106751952463e-33,4.1517003465123917e-34,3.1817603304299557e-33,3.5221863452252831e-43,0.0,0.0,6.5528322035934403e-23,1.5590739649681731e-34,1.6387603632168239e-50,7.1069345125781007e-51,1.1308699598413099e-55,1.8582205165980865e-84,8.6355307433005087e-56,7.7152746610306704e-44,1.0388166155226644e-29,4.7705764283866479e-41,4.4161500415858192e-88,9.9199999127588668e-77,5.0766389835189363e-50,7.2995292503507141e-50,3.3230876863560663e-45,1.9880535061468662e-67,3.8534960803324326e-43,1.5278684943655198e-67,1.9176748219856335e-49,3.9672374187166598e-29,4.6197214126976201e-40,1.0246950802759999e-32,2.9159460420377722e-21,5.6125882540537973e-53,4.7334988645697532e-71,6.5707781154332265e-57,2.2429170702692723e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.4234611173798172e-21,3.4234610277817871e-21,2.9159459717849275e-21,2.9373228485864302e-23,2.4359613983067664e-23,1.2179807011456674e-23,1.1958085084722464e-29,1.7973383355306368e-28,1.436476097465771e-29,1.2523884272378517e-28,1.1551144004101849e-28,2.1006575317308503e-28,2.3820842255185755e-37,5.9432721641408983e-30,1.2816050338691306e-30,1.4262541848394779e-30,1.1285106386267712e-30,5.4707527709911528e-32,4.0330487950429704e-37,2.7285941717908341e-30,1.9195392572407602e-30,2.1469319597132915e-32,1.6884167327717601e-44,1.6139774655718858e-31,6.0061376963511186e-40,5.4302322382440562e-38
7e-15,0.003534254919067507,8.5231592846088935e-25,1.3252940937706461e-32,2.2563728897035667e-33,1.7292229826723796e-32,5.6888992706480154e-42,0.0,0.0,1.4530198211245502e-22,8.4732309495876094e-34,2.6468208595317309e-49,1.1478875859022059e-49,5.7200887249899823e-54,1.578835790833323e-82,1.3947680011292358e-54,4.193083644092861e-43,5.6457418940410486e-29,7.705202969119028e-40,4.0462970611762076e-86,5.0176615264419081e-75,8.1995420122496963e-49,1.1789822274149778e-48,1.8059977112435943e-44,1.743563324247002e-65,6.2239792145296232e-42,2.5232879233593478e-65,3.0973338172105224e-48,2.1561071413164926e-28,7.4615492846180104e-39,5.5689946789010603e-32,6.4657930133835012e-21,2.8389229478623087e-51,7.8033419204390024e-69,3.3235895482824182e-55,7.9645107631532514e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.5911524896530169e-21,7.5911520027072815e-21,6.4657926315746365e-21,6.5131895059042691e-23,5.4014757374809673e-23,2.7007378795682143e-23,6.498953392569382e-29,9.7681420773329136e-28,7.806927966711824e-29,6.8064587529114306e-28,6.2777952751380437e-28,1.1416615792377279e-27,3.847426530694345e-36,3.2300361571767012e-29,6.965248228814306e-30,7.7513808540371394e-30,6.133209544099953e-30,2.9732331168195168e-31,6.5139866054222613e-36,1.4829283811661535e-29,1.0432278046904093e-29,1.1668245439769158e-31,2.7258771944473094e-43,8.771639024898656e-31,9.7008567377959953e-39,8.7706677256662934e-37
1.5e-14,0.003534254919067507,1.7882029917479498e-24,3.30534522600513e-32,9.9822965932669899e-33,7.6501222468232762e-32,5.2908336427034833e-41,0.0,0.0,3.0484945555857308e-22,3.7485594879713705e-33,2.461555961182521e-48,1.0675715557586603e-48,1.1001215934468177e-52,5.8756119777069226e-81,1.2971588694408225e-53,1.8550199021978068e-42,2.4976757864842291e-28,7.1659821899076351e-39,1.7698534006418682e-84,9.6502525934203703e-74,7.6257291728108266e-48,1.096472168803378e-47,7.9895266008973035e-44,6.9162089401735277e-64,5.7884162481239963e-41,9.8994509668845268e-64,2.8805762600891232e-47,9.5386168800654546e-28,6.9393797250193396e-38,2.4637230088663057e-31,1.3565485793156422e-20,5.4599921233140406e-50,3.0610785597034939e-67,6.3921364282051174e-54,6.7745017667200998e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.5926533954379023e-20,1.5926531800131667e-20,1.3565484104034523e-20,1.3664908785428019e-22,1.1332492656313237e-22,5.6662463760585236e-23,2.8751326503759279e-28,4.3214252829569643e-27,3.4537795341649387e-28,3.011177285577554e-27,2.7772963509972088e-27,5.0507099241586027e-27,3.5781782532674352e-35,1.428965745318825e-28,3.0814283735431554e-29,3.4292104596807527e-29,2.7133315727516588e-29,1.3153567987496151e-30,6.0581322860661117e-35,6.5604513920381515e-29,4.6152394220838398e-29,5.1621324370091478e-31,2.5334090856786232e-42,3.8805895401343213e-30,9.0220288754934155e-38,8.156914573269138e-36
3.1e-14,0.003534254919067507,3.6600102459840581e-24,8.8828564510858012e-32,4.1608783732655897e-32,3.1887361611968297e-31,4.4655389289065612e-40,0.0,0.0,6.2394501562296412e-22,1.5624663929405359e-32,2.0774877576601254e-47,9.010528171950617e-48,1.8704501420738115e-51,2.0341480186946555e-79,1.0947974393281929e-52,7.7320425204172467e-42,1.0410742788416618e-27,6.048075522663499e-38,7.7008160639954784e-83,1.6407519629010724e-72,6.4361052102413629e-47,9.2541506669578015e-47,3.3300045210808848e-43,2.4174697344208876e-62,4.8854119920415159e-40,3.3794538468631244e-62,2.4311978992585166e-46,3.9758601977096057e-27,5.8568234628210784e-37,1.0269223268105035e-30,2.7764866701029645e-20,9.2832153629392289e-49,1.044945080469196e-65,1.0868082341596517e-52,7.2538114011870843e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.2597291764551092e-20,3.2597282785278885e-20,2.7764859660480492e-20,2.7968291204326454e-22,2.3194479456154099e-22,1.1597239927739507e-22,1.1984016723149951e-27,1.8012444482242244e-26,1.4395908687114849e-27,1.2551109118766629e-26,1.1576251054688875e-26,2.1052228407636489e-26,3.0199756689206102e-34,5.9561589561062615e-28,1.2843949226398468e-28,1.4293540997331811e-28,1.1309634340602289e-28,5.4826229982694378e-30,5.1130580659330296e-34,2.7344906653959132e-28,1.9237115966296565e-28,2.1517484210040158e-30,2.1353671631043155e-41,1.6175104775554311e-29,7.614660881102705e-37,6.8844708749938431e-35
6.300000000000001e-14,0.003534254919067507,7.4037572648464721e-24,2.65077438767102e-31,1.6956485908828258e-31,1.2994535870441526e-30,3.6549367065499369e-39,0.0,0.0,1.2621385884391422e-21,6.3671492802292976e-32,1.7002098973427509e-46,7.3750195056495154e-47,3.0686609921479857e-50,6.7441733790687759e-78,8.9602775489491403e-52,3.1508472590545909e-41,4.2424313161524293e-27,4.9500164912571051e-37,3.5861401891193793e-81,2.6918033003647052e-71,5.2676040933519038e-46,7.5739243649459268e-46,1.3568578193651353e-42,8.046303919379414e-61,3.9984397168273394e-39,1.1101861420965478e-60,1.989796496623863e-45,1.6201838553009686e-26,4.79348721304133e-36,4.1847626033987235e-30,5.6163609910097642e-20,1.523011295718773e-47,3.4326706658968915e-64,1.7830296579738021e-51,8.6649190613509604e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.5938786907788495e-20,6.593875031680574e-20,5.6163581219511882e-20,5.6574831483916209e-22,4.691826490646784e-22,2.3459133266858795e-22,4.8835231579501991e-27,7.3401637007285845e-26,5.8663751494472504e-27,5.1146445891429463e-26,4.7173832389567755e-26,8.5788912728944092e-26,2.4716835440558071e-33,2.427152187140739e-27,5.23399587758399e-28,5.8246926247893451e-28,4.6087351458484467e-28,2.2341884690660703e-29,4.1847656758979948e-33,1.114304054342764e-27,7.8392265265136179e-28,8.7691573211955453e-30,1.7430854795146581e-40,6.5915516336278069e-29,6.2323197534402431e-36,5.6346420776113399e-34
1.2700000000000001e-13,0.003534254919067507,1.4891781342070047e-23,8.7638811686810028e-31,6.8432575257544871e-31,5.2440946640158768e-30,2.9551564053912638e-38,0.0,0.0,2.5385355448113077e-21,2.5694437745447902e-31,1.3744197101901198e-45,5.9631764413100642e-46,4.9662181366968774e-49,2.1945579797304404e-76,7.2441178848515987e-51,1.2715076524384847e-40,1.7120104849032187e-26,4.0019733516867966e-36,1.8380130422223882e-79,4.356276389407788e-70,4.258746359674094e-45,6.1231998013792689e-45,5.4744292975951175e-42,2.6231231029533365e-59,3.2326444182182505e-38,3.5950568710615732e-59,1.608696175250804e-44,6.5381681311905588e-26,3.8754230539120291e-35,1.6887395686155437e-29,1.1296102190161627e-19,2.46481226468149e-46,1.1115541541898076e-62,2.8856335930620759e-50,1.142548729083314e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3262169528594067e-19,1.3262154762509863e-19,1.1296090612240961e-19,1.1378701382938018e-21,9.4365083225036686e-22,4.7182544895773653e-22,1.9706991943601971e-26,2.9620836601288973e-25,2.3673186947243796e-26,2.0639898830435383e-25,1.9036758437420454e-25,3.4619655222820987e-25,1.9982985657543722e-32,9.7945359192976863e-27,2.1121675193246576e-27,2.3505244160256506e-27,1.859831156843157e-27,9.0158784394435796e-29,3.3833011024705329e-32,4.4965936682025499e-27,3.1634801248693035e-27,3.539288237739895e-29,1.4018749970722431e-39,2.6600766570401313e-28,5.038911178870309e-35,4.5556098982665275e-33
2.55e-13,0.003534254919067507,2.9869949638015913e-23,3.1344078348430805e-30,2.7495332389780462e-30,2.1068424554803266e-29,2.3765022876446357e-37,0.0,0.0,5.091368700436653e-21,1.0322130299432413e-30,1.1048661028443302e-44,4.7958230806221889e-45,7.9891938658063204e-48,7.0797521474101405e-75,5.8246543373795798e-50,5.1079222400407195e-40,6.8775169032914882e-26,3.217850327385465e-35,1.0258227222350185e-77,7.007821772615195e-69,3.4243301279302075e-44,4.923227690341418e-44,2.1983153634454975e-41,8.4704763978757396e-58,2.5992572079995418e-37,1.1569400989335941e-57,1.2934847673186855e-43,2.6265259666180309e-25,3.1160955278518292e-34,6.7840405015110554e-29,2.2655554817895575e-19,3.9652328900581678e-45,3.5769887827209293e-61,4.6422639583158865e-49,1.6290637605671871e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.6598718440978856e-19,2.6598659122511636e-19,2.2655508306976183e-19,2.2820778581834314e-21,1.8925570965724141e-21,9.4627868017481632e-22,7.9165609863017551e-26,1.1899330194536198e-24,9.50982590389534e-26,8.2915136007472466e-25,7.6474865844421389e-25,1.3907463661798406e-24,1.6067634789662584e-31,3.9345912420008762e-26,8.4851665565114595e-27,9.4425723697077449e-27,7.4713503340698648e-27,3.6218176241987005e-28,2.7204216004933139e-31,1.8062820382212756e-26,1.2708402116990056e-26,1.4222438397446746e-28,1.1155304590162306e-38,1.0686836827887487e-27,4.0519791422803164e-34,3.6632239086415516e-32
5.11e-13,0.003534254919067507,5.9834766663934063e-23,1.1793213846981358e-29,1.1025017165276483e-29,8.4466260714749132e-29,1.9065090139421298e-36,0.0,0.0,1.0197191982585662e-20,4.1376896719377383e-30,8.8567723727614328e-44,3.8478590659941841e-44,1.2815941364491836e-46,2.2744583272166978e-73,4.6711581187522994e-49,2.0474957502153959e-39,2.7568320016352276e-25,2.5806805478315522e-34,6.0774313696990452e-76,1.1241169844233521e-67,2.7463029481679776e-43,3.9480079682739492e-43,8.8048231736052037e-41,2.7229077204847784e-56,2.0845725404348598e-36,3.7123761332260435e-56,1.0373397295801894e-42,1.0528368318200233e-24,2.499074286821519e-33,2.7193686069052898e-28,4.5374340991701682e-19,6.3610911729448238e-44,1.1476904375051874e-59,7.4473254834333018e-48,2.4458774737864694e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.3271685213433242e-19,5.3271447437868095e-19,4.5374154554842942e-19,4.570349602114808e-21,3.7902492268825133e-21,1.895125142057557e-21,3.1731978462065909e-25,4.7698096650801795e-24,3.8118200265138515e-25,3.3236437421379606e-24,3.0654787897496507e-24,5.5747637463083009e-24,1.2886061982275682e-30,1.5771001752163414e-25,3.4013594974966486e-26,3.7850321686934821e-26,2.9948729807421917e-26,1.4517498225129578e-27,2.1817875333605623e-30,7.2396496330524446e-26,5.0941387115710988e-26,5.7045093877883199e-28,8.764833515575624e-38,4.2843738695921046e-27,3.2502239971753575e-33,2.9382073710544243e-31
