Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849)
0.0,0.002385337571144126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002385337571144126,4.8922692846662293e-28,3.1767286422580179e-36,1.6612396476674453e-37,1.630413225561531e-36,9.5241933929991222e-47,0.0,0.0,9.5564841810147125e-25,6.1802806751808907e-37,3.5859146098042975e-55,5.18911486760234e-56,1.6332062368323745e-60,-9.9832805409442841e-94,4.4697772011004394e-62,5.7697159665344328e-49,2.5439068613258805e-33,5.3301481052415338e-45,-1.9051435278266004e-96,1.18742438718432e-83,5.8862253324945301e-55,3.1160488996253543e-55,9.8296935128975321e-50,-1.5245458370907491e-74,1.9936607160815906e-47,2.2910911134366311e-72,5.4962274492967246e-54,3.1881633963830971e-32,5.3605985762295544e-44,9.1031505861954587e-36,7.9891329565727722e-24,7.8167804305090229e-58,2.242111317970137e-76,1.9385563078413845e-61,-1.814494368963974e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.819737561826345e-24,8.819737424319834e-24,7.9891328923915094e-24,4.2347563810722406e-25,3.5510775472109651e-25,1.7755387738053967e-25,1.2852873116565894e-31,3.621343987453301e-31,1.5355006852862634e-31,2.6302047034226267e-31,2.7844904668798014e-31,4.0084915019554255e-31,8.0353560040207899e-41,6.4108370321483534e-32,1.4688986789502853e-33,1.0183714142320117e-33,8.3734419071556563e-34,6.469657643201468e-35,4.9874619509689485e-40,3.1435454879522777e-33,1.6180096530281847e-33,1.3815132491012832e-34,1.6509699368307814e-47,2.0745353278976409e-34,4.3194811982909251e-43
3.0000000000000002e-15,0.002385337571144126,1.6074602907682535e-27,1.098365724254669e-35,1.09167313063926e-36,1.0714145163454552e-35,8.9799615826618701e-46,0.0,0.0,3.139987751770105e-24,4.0613273527353203e-36,3.3809977720377818e-54,4.8925990293717574e-55,2.0065102567023526e-59,5.61916242097312e-92,4.214360906197268e-61,3.7915286752763129e-48,1.6717101719703956e-32,5.0255681062892371e-44,1.1156351406190598e-94,1.4588351794057414e-82,5.549869576692932e-54,2.9379880289395667e-54,6.4594892743652384e-49,1.2714126718919193e-72,1.8797372040548612e-46,3.4693663592284041e-71,5.1821568696499403e-53,2.095078768705781e-31,5.0542785497258677e-43,5.9820702871711998e-35,2.6250007296367449e-23,9.6034722119871569e-57,3.3957391818402408e-75,2.3816547368238523e-60,6.0141146419828922e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.8979136823012158e-23,2.8979135919397995e-23,2.6250006874604842e-23,1.3914194490453586e-24,1.166782199849711e-24,5.8339110005624071e-25,8.4461723807420868e-31,2.3797402860906888e-30,1.0090431410711057e-30,1.7284202154347685e-30,1.8298079909653191e-30,2.6341515042298938e-30,7.5761926407671628e-40,4.2128350654238315e-31,9.6527620544419444e-33,6.6921548123307114e-33,5.5025473796499271e-33,4.2514886385608749e-34,4.7024638670310583e-39,2.0657579535887249e-32,1.0632634670772929e-32,9.0785239219400939e-34,1.5565220860314876e-46,1.3632664150462388e-33,4.0726541228310959e-42
7e-15,0.002385337571144126,3.5643709350284583e-27,2.7867396435721871e-35,5.9330543183404648e-36,5.8229089048429165e-35,1.4504114173501347e-44,0.0,0.0,6.9625821304244203e-24,2.2072433100394136e-35,5.4607136552442294e-53,7.9023629267969249e-54,1.0149192896680776e-57,4.7742993362698055e-90,6.8068246692051095e-60,2.0606170887512916e-47,9.0853795591793088e-32,8.1170523539325434e-43,1.0449867559864396e-92,7.3789617479253584e-81,8.963879922338536e-53,4.7452819952067979e-53,3.5105085178913397e-48,1.1155686261900818e-70,3.0360597634717067e-45,5.7296867332238134e-69,8.369962010178678e-52,1.1386296431252862e-30,8.1634240607075305e-42,3.2511248093402937e-34,5.8206531550722303e-23,4.8575648525250764e-55,5.6075488551031027e-73,1.2046732530077853e-58,2.2092519801661304e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.4258080335398685e-23,6.4258075424453216e-23,5.8206529258534803e-23,3.0853181391556255e-24,2.5872099833587011e-24,1.293604992393443e-24,4.5903061905349853e-30,1.2933369404085687e-29,5.4839242296561468e-30,9.3935874821964624e-30,9.9446075810985946e-30,1.431603886713588e-29,1.2236696610352393e-38,2.2895818042197234e-30,5.2460638833215378e-32,3.6370399675578534e-32,2.9905143167423655e-32,2.3105892825312684e-33,7.5951878176431805e-38,1.1226927366444593e-31,5.7786051203789311e-32,4.9340096923462179e-33,2.5124403503834501e-45,7.4090687135425751e-33,6.5779597185649472e-41
1.5e-14,0.002385337571144126,7.478199682723953e-27,7.2266816787292781e-35,2.6248186335048276e-35,2.5760577837856289e-34,1.3489267015100889e-43,0.0,0.0,1.4607772685455703e-23,9.7648457525533396e-35,5.0784056224434752e-52,7.3494540411477302e-53,1.951953504901053e-56,1.7767355587552366e-88,6.3304648242143815e-59,9.1161970302864648e-47,4.0193705866381185e-31,7.5490086626978856e-42,4.7602294822914646e-91,1.4191607288411867e-79,8.336576019208447e-52,4.4131811175537382e-52,1.5529876227043378e-47,4.4290493699446173e-69,2.8235916228342974e-44,2.2478897399050798e-67,7.7842122056937137e-51,5.037296641106421e-30,7.5921352062336926e-41,1.4382973608378108e-33,1.2211956078541965e-22,9.342365843978087e-54,2.1999552350432308e-71,2.316902417220678e-57,1.9642552282801501e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3481595021674706e-22,1.3481592849073227e-22,1.2211955064478622e-22,6.4731056880560562e-24,5.4280573149059228e-24,2.7140286606121627e-24,2.0307478679883603e-29,5.7217213632909704e-29,2.4260837543968102e-29,4.1557226279872185e-29,4.3994936108720288e-29,6.3334141862123366e-29,1.1380353909199527e-37,1.0129091746325483e-29,2.3208568610168293e-31,1.609025973595507e-31,1.3230031196067856e-31,1.0222029577085915e-32,7.0636615920285897e-37,4.9667794140592534e-31,2.556454406289262e-31,2.1828274205245738e-32,2.3343166467610234e-44,3.2777808985907411e-32,6.1176350591544522e-40
3.1e-14,0.002385337571144126,1.5305887014756827e-26,2.0359358753168696e-34,1.0940988176062062e-34,1.0737479542322392e-33,1.1385199308463721e-42,0.0,0.0,2.9898160986404648e-23,4.0701583250185663e-34,4.2859000269837567e-51,6.2031068286955556e-52,3.3187534556057298e-55,6.1510145933785582e-87,5.3428858041264276e-58,3.7998111971002067e-46,1.6753423523099808e-30,6.3713472876860773e-41,2.1672940767026631e-89,2.4128697149729057e-78,7.0360558994965461e-51,3.7246843041622325e-51,6.4726222503417251e-47,1.5483164607410138e-67,2.3831052492141485e-43,7.6737928786719715e-66,6.5698467904257492e-50,2.099631953416316e-29,6.4077459979856322e-40,5.9950710102196482e-33,2.499455421588112e-22,1.5884113686319828e-52,7.5101170882684332e-70,3.9392566662462278e-56,2.2068833822743866e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.7593162140577867e-22,2.7593153084804182e-22,2.4994549989092484e-22,1.3248641460815165e-23,1.1109719036315622e-23,5.5548595313259326e-24,8.4644803936216854e-29,2.3849117650159527e-28,1.0112303016886377e-28,1.7321769477863953e-28,1.8337846736319067e-28,2.6398758323071335e-28,9.6049944969474015e-37,4.2219664873179119e-29,9.6737196208577418e-31,6.7066954431946138e-31,5.5145032999234765e-31,4.2607051969433503e-32,5.9617097370330837e-36,2.070229084694394e-30,1.0655741696890384e-30,9.0985790598523565e-32,1.966356929858593e-43,1.366243231356513e-31,5.1632892147408895e-39
6.300000000000001e-14,0.002385337571144126,3.0961381024922547e-26,6.363601466233643e-34,4.458746209447804e-34,4.3756002222847316e-33,9.3186206170261239e-42,0.0,0.0,6.0478966351814427e-23,1.6586124822120533e-33,3.5073407631222236e-50,5.0771972147148006e-51,5.4447496609906634e-54,2.0393042838222189e-85,4.3728336873444717e-57,1.5484615412733644e-45,6.8271021391546267e-30,5.2145935791093226e-40,1.0594439354375899e-87,3.9584971779889206e-77,5.7586262347720006e-50,3.0483961301595543e-50,2.637222997471609e-46,5.1536987505708606e-66,1.9504390302655327e-42,2.5209177165228893e-64,5.3770351423471013e-49,8.5561081190364413e-29,5.2443838986517836e-39,2.4430222622955494e-32,5.055971965219537e-22,2.6059561290202821e-51,2.4671302176103435e-68,6.4627778730768327e-55,2.7629672564994519e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.5816268948944787e-22,5.5816232046228338e-22,5.0559702427830176e-22,2.6799555708075582e-23,2.2472910713982358e-23,1.123645541065133e-23,3.449297910979251e-28,9.7186364340155781e-28,4.1207897100853972e-28,7.0587118616350268e-28,7.4727668114790752e-28,1.0757627858985719e-27,7.8611539895685081e-36,1.7204622295225317e-28,3.9420812927608677e-30,2.7330114027183584e-30,2.2471872604431509e-30,1.7362489577169932e-31,4.8793187858798534e-35,8.4362081224947936e-30,4.3422692268470427e-30,3.7078627442660034e-31,1.6031824173097268e-42,5.5675741307506751e-31,4.2258949273173432e-38
1.2700000000000001e-13,0.002385337571144126,6.2272846425913317e-26,2.1823557146399927e-33,1.7994944771418802e-33,1.7657678243544497e-32,7.5346357185907765e-41,0.0,0.0,1.2164069213641283e-22,6.6932581426784904e-33,2.8349053196322727e-49,4.1052745599910858e-50,8.8116064932783319e-53,6.6355753809781733e-84,3.5352958618310604e-56,6.2488861676172857e-45,2.7550371547685585e-29,4.2158728755834556e-39,5.6619718575785301e-86,6.4061131342830488e-76,4.655719190930858e-49,2.4644722994756543e-49,1.0639116397720564e-45,1.6801767845748921e-64,1.5768825854853898e-41,8.163328320827617e-63,4.3471718499507195e-48,3.4527715023758436e-28,4.2399576265377252e-38,9.8586853149933364e-32,1.0168992717166517e-21,4.2174180470173463e-50,7.9890421691161143e-67,1.0459247878379164e-53,3.7834054220586981e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1226237284813476e-21,1.1226222392941916e-21,1.0168985766379094e-21,5.3900755024838664e-23,4.5198767021395375e-23,2.2599383727233762e-23,1.3919284366306857e-27,3.9219022900126728e-27,1.6629018082564149e-27,2.8485067126592685e-27,3.0155949496580567e-27,4.3411814983014017e-27,6.3555528797377603e-35,6.94274577405388e-28,1.5907983493732931e-29,1.1028909042557805e-29,9.0683940799443308e-30,7.0064563403142224e-31,3.9447963928486574e-34,3.4043205379911286e-29,1.7522992123078448e-29,1.4964050561788712e-30,1.286270661987893e-41,2.2468152571392644e-30,3.4165819434082161e-37
2.55e-13,0.002385337571144126,1.248976867206081e-25,7.9962796840790263e-33,7.2304956149028753e-33,7.0936142772111979e-32,6.0595455386294629e-40,0.0,0.0,2.4396460391857418e-22,2.6888397003744263e-32,2.2783289510882776e-48,3.3016805700558269e-49,1.4175319627390685e-51,2.1404547085034012e-82,2.8425488031780473e-55,2.5104351751023158e-44,1.1067553400168792e-28,3.3898317533466075e-38,3.2549205154234218e-84,1.0304965626021344e-74,3.7435109272943373e-48,1.9814612273078966e-48,4.271350101405271e-45,5.4257009556114185e-63,1.2679142042621903e-40,2.6270578306351598e-61,3.4953545243809683e-47,1.3870529293196198e-27,3.4091974315352451e-37,3.9604470377832573e-31,2.0394984880035022e-21,6.7846768277106879e-49,2.5709014583863822e-65,1.6826210499193989e-52,5.5328518804511698e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2515414177804884e-21,2.2515354354111836e-21,2.0394956957321757e-21,1.0810063706951528e-22,9.064837154605623e-23,4.5324186642844258e-23,5.5915390143219091e-27,1.5755118819978974e-26,6.6800691766275213e-27,1.1443078549767244e-26,1.2114296737248781e-26,1.7439452370365053e-26,5.1102712936278677e-34,2.7889809699217614e-27,6.3905213475684171e-29,4.430541653917644e-29,3.6429622604864022e-29,2.8145781522182828e-30,3.1718449199751723e-33,1.3675361430792862e-28,7.0393628132146421e-29,6.0123219132253394e-30,1.0187299837559088e-40,9.0263489408811682e-30,2.74722785998854e-36
5.11e-13,0.002385337571144126,2.5015500504146297e-25,3.0512523208345054e-32,2.8995543512706102e-32,2.8435682193263488e-31,4.8616166479624328e-39,0.0,0.0,4.8861426831755039e-22,1.0778236965114871e-31,1.8253985391798167e-47,2.6491446090274934e-48,2.273953645748812e-50,6.8750983877825357e-81,2.279593312069516e-54,1.0063981962549423e-43,4.4363734791027021e-28,2.7185951063777788e-37,1.963464241746047e-82,1.6528888851694649e-73,3.0022639606446106e-47,1.5888905227137602e-47,1.7100664246152867e-44,1.7442021760027024e-61,1.0168479126629567e-39,8.4295667315269984e-60,2.803142601192879e-46,5.5599587160221919e-27,2.734126088721628e-36,1.5875330063356956e-30,4.0846771843574398e-21,1.0883971782622851e-47,8.2489348330898369e-64,2.6993006249888864e-51,8.4317714674527473e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.5093592417768972e-21,4.509335261773672e-21,4.0846659917060059e-21,2.1649033578082775e-22,1.8153914904677194e-22,9.0769578009561425e-23,2.2412402208632742e-26,6.3153823914285585e-26,2.6775513756542245e-26,4.5869318230923741e-26,4.8559784410879319e-26,6.9905409659190311e-26,4.0983619465475864e-33,1.1178982372544362e-26,2.5615730750238748e-28,1.7759613265867876e-28,1.4602640366046175e-28,1.1281614105509331e-29,2.5437344148392146e-32,5.4813015563219958e-28,2.8217053377351851e-28,2.4107736422293513e-29,7.9317960269298883e-40,3.6185098967665464e-29,2.2033599694468374e-35
