Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199)
0.0,0.0025160833364637346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0025160833364637346,4.5383925152143258e-23,2.9981705043165373e-30,8.7935794012408664e-32,5.3593791916884824e-31,1.180512651670989e-40,0.0,0.0,1.2343378585818268e-21,6.4294183268603487e-33,1.1320235322724873e-46,9.214368518058417e-47,1.4961386204966842e-51,-1.5861423077596414e-77,8.0749576491912768e-51,9.6095915497489714e-40,1.8162326432419592e-27,2.0610876642138265e-38,-1.1650425524335568e-81,8.1744814385699e-71,2.2645614709705113e-46,1.2905019266819789e-45,1.122878570369328e-41,-5.2336713580007528e-63,3.7425441594863827e-40,3.2609646662764265e-63,9.1716210472101962e-46,4.8651249762203547e-27,1.9472348730752901e-37,9.3249179927399242e-31,1.4578283357903493e-19,2.2234114130417981e-49,2.8934828061251027e-66,3.816905099394394e-53,-3.0095272418472143e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.826460692552602e-19,1.8264606532531734e-19,1.4578282890045796e-19,5.7471893042824295e-22,4.7000099131522336e-22,2.3500049645194954e-22,1.5866371017859221e-28,6.206973926011266e-27,1.925415251043173e-28,4.533799858179722e-27,3.8085509990060259e-27,7.7313314295917544e-27,4.1768678101669983e-35,7.8937398941513445e-29,3.8705572411151352e-29,1.7233454777364581e-28,1.3699673569358099e-28,3.8057310555844756e-30,1.1645673223304743e-35,9.4783878705747431e-29,1.6766439554010781e-28,2.4806297690673761e-31,7.5746904985949304e-43,4.2950206439581867e-30
3.0000000000000002e-15,0.0025160833364637346,1.4911933758713393e-22,1.0140064709283241e-29,5.778650716315643e-31,3.5218852134289241e-30,1.1130565465000422e-39,0.0,0.0,4.0556838397916479e-21,4.2250473730315732e-32,1.0673358498334664e-45,8.6878485055385537e-46,1.8381127109727324e-50,8.927748217735975e-76,7.6135304070868587e-50,6.3148737973748003e-39,1.1935242810863764e-26,1.9433111958011503e-37,6.7023820825858681e-80,1.0042932632111792e-69,2.1351582156617824e-45,1.2167585797535434e-44,7.3788972755510177e-41,4.3347130988727672e-61,3.5286843864975806e-39,4.9380319757920961e-62,8.6475277507854027e-45,3.1970820725191254e-26,1.8359642795985718e-36,6.1278031976520133e-30,4.7900072906249078e-19,2.7316193708597407e-48,4.4991789208102235e-65,4.6893402777960131e-52,9.9105765890717039e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.001227816554301e-19,6.0012275583009256e-19,4.790006983175574e-19,1.8883615590181288e-21,1.544288426401789e-21,7.7214421842084566e-22,1.0426468875575853e-27,4.0788684319572371e-26,1.2652724115961037e-27,2.9793541667536149e-26,2.5027620564094925e-26,5.080589047128409e-26,3.938189555335612e-34,5.1873129396893758e-28,2.5435109080120437e-28,1.1324841597159235e-27,9.0026425349542972e-28,2.5009085955998363e-29,1.0980210243000211e-34,6.2286522336683322e-28,1.1017945920405991e-27,1.6301393959178177e-30,7.141866440269309e-42,2.8224480370816825e-29
7e-15,0.0025160833364637346,3.3066059652575488e-22,2.4343752069264655e-29,3.1406163940679456e-30,1.9140944292965239e-29,1.7977804160813221e-38,0.0,0.0,8.9930529081822581e-21,2.296225089679234e-31,1.7238998851885911e-44,1.4032418654951805e-44,9.2974031555315698e-49,7.5854903269323148e-74,1.2296989024705085e-48,3.4319943316823011e-38,6.4865440393812276e-26,3.1387415713888958e-36,6.0195976825793279e-78,5.0798427187513705e-68,3.4486078366572859e-44,1.9652438424361411e-43,4.0102029107618871e-40,3.8016620426343664e-59,5.6993583531753476e-38,8.1552005167456356e-60,1.396705767823846e-43,1.7375444111419682e-25,2.9653600541605572e-35,3.3303276312491435e-29,1.0621319880808399e-18,1.3816889760630609e-46,7.3137785289732026e-63,2.371932051620503e-50,3.4115525818802207e-51,0.88168480800000004,0.0,0.0094599999999999979,0.10885,1.3307069260938563e-18,1.3307067857388054e-18,1.0621318209888658e-18,4.1872323760060123e-21,3.4242882207611448e-21,1.7121441387498417e-21,5.6665467668779343e-27,2.2167757983354935e-25,6.876463958926779e-27,1.6192141299447195e-25,1.3601966684607263e-25,2.7611890699128647e-25,6.3607715853785842e-33,2.8191852799435849e-27,1.382349476326505e-27,6.1548048138146508e-27,4.8927401674255656e-27,1.3591880968726278e-28,1.7734763333329561e-33,3.3851277021901462e-27,5.988013831735511e-27,8.8598515186200114e-30,1.1535424378599432e-40,1.5339600147247071e-28
1.5e-14,0.0025160833364637346,6.9375726286531344e-22,5.83794082621355e-29,1.3894420225652471e-29,8.4681476121691261e-29,1.6720067059928308e-37,0.0,0.0,1.8867835931675068e-20,1.0158526924614202e-30,1.6032457692564856e-43,1.3050743823049425e-43,1.7881285161096396e-47,2.8229675229986592e-72,1.1436406942846176e-47,1.5183126040338752e-37,2.8696463727198265e-25,2.9190878916230884e-35,2.5318703798765627e-76,9.7698439459827044e-67,3.2072755487356086e-43,1.8277054424482979e-42,1.7740642763168237e-39,1.5080332287431619e-57,5.3005078924898568e-37,3.1994757023096147e-58,1.2989611285244417e-42,7.6868950529394449e-25,2.7578398526500771e-34,1.4733368018175553e-28,2.2283943144504596e-18,2.6573467826315518e-45,2.8664595311887189e-61,4.561847519439876e-49,2.7774621576829467e-50,0.88168480800000004,0.0,0.0094599999999999945,0.10885,2.7918748774877925e-18,2.7918742565573778e-18,2.2283935752359604e-18,8.78496152533064e-21,7.1842771927187035e-21,3.592138721864437e-21,2.506871173488361e-26,9.8070122854889068e-25,3.0421355009940076e-26,7.1634026412465203e-25,6.0175093166126981e-25,1.2215495818235798e-24,5.9156351384789204e-32,1.2472027651919213e-26,6.115562524654368e-27,2.7228853541762711e-26,2.1645479996861002e-26,6.0130381660603503e-28,1.6493750364508346e-32,1.4975736011215617e-26,2.6490971314348126e-26,3.9198910073359879e-29,1.0728493759653897e-39,6.7863924366143338e-28
3.1e-14,0.0025160833364637346,1.4200071893008165e-21,1.4896560254495198e-28,5.7917071089108695e-29,3.5298288749145091e-28,1.4112326234840825e-36,0.0,0.0,3.8617581525539879e-20,4.2342724751511341e-30,1.3531145160156903e-42,1.1015355835324514e-42,3.0402022752667119e-46,9.773393531342286e-71,9.6522699367589715e-47,6.3285767552923885e-37,1.196117846078528e-24,2.4637043785752504e-34,1.0503842306083267e-74,1.6610854129654146e-65,2.7069446031237441e-42,1.5425668446969497e-41,7.3942046906942362e-39,5.271186212056239e-56,4.4736162840277713e-36,1.0922296821197577e-56,1.0963187084193541e-41,3.2040301429191872e-24,2.3276113353424144e-33,6.141122400160297e-28,4.5609182005215548e-18,4.5180778906223723e-44,9.782450081046019e-60,7.756171306361648e-48,2.8225163003634997e-49,0.88168480800000004,0.0,0.0094599999999999893,0.10885,5.7142094303446783e-18,5.714206842201616e-18,4.560915119350393e-18,1.7980369886054693e-20,1.4704212670107922e-20,7.3521068581757568e-21,1.0448999967175236e-25,4.0877298351060994e-24,1.2680049851548925e-25,2.9858300309183852e-24,2.5082017395473229e-24,5.0916269463988457e-24,4.9927835765517226e-31,5.1985185087981048e-26,2.5491120928288115e-26,1.1349456437958163e-25,9.0222097851107796e-26,2.5063305664605873e-27,1.3920844138828562e-31,6.2420905755654595e-26,1.1041895193770787e-25,1.634117089862143e-28,9.0553829654751039e-39,2.8288111046524511e-27
6.300000000000001e-14,0.0025160833364637346,2.8727334164543231e-21,4.2021156669630911e-28,2.3603725319687612e-28,1.4385526450689668e-27,1.1551175114634705e-35,0.0,0.0,7.8117790901048732e-20,1.725506941242322e-29,1.1074139037196754e-41,9.0163637134653784e-42,4.9877177391538834e-45,3.2404954710689056e-69,7.8997921048741585e-46,2.5789181799771468e-36,4.8742403895071337e-24,2.0164057228449963e-33,4.623829313537537e-73,2.7251632636699283e-64,2.2155013914007409e-41,1.2624845296970676e-40,3.0128512255154351e-38,1.7544927108519922e-54,3.6614044065030159e-35,3.5880852439147565e-55,8.9727310050178941e-41,1.3056587180514719e-23,1.9050210659200315e-32,2.5025397403670804e-27,9.2259629059924933e-18,7.4123609037854813e-43,3.2131241298576583e-58,1.272484574997834e-46,3.1864080055975989e-48,0.88168480800000004,0.0,0.0094599999999999788,0.10885,1.1558873136339926e-17,1.1558862589538509e-17,9.2259503500788958e-18,3.6370986861236484e-20,2.9743913762932303e-20,1.4871959013172598e-20,4.2579638495509063e-25,1.6657695311785659e-23,5.1671086791150243e-25,1.2167414867558092e-23,1.0221053182349318e-23,2.0748625317182539e-23,4.0863159424729992e-30,2.1183927152006067e-25,1.0388090451352634e-25,4.6249630920750198e-25,3.6765977585474251e-25,1.0213366996849195e-26,1.139368823756641e-30,2.5436401563319794e-25,4.4996309297973288e-25,6.6610518549470282e-28,7.4122369610905398e-38,1.1528572943554931e-26
1.2700000000000001e-13,0.0025160833364637346,5.7790913619470176e-21,1.3231101805834698e-27,9.5269479880845272e-28,5.8062442469935425e-27,9.3404953199140941e-35,0.0,0.0,1.5712108240528332e-19,6.9633450447892444e-29,8.9526065798252259e-41,7.2909784114847048e-41,8.0718293824623453e-44,1.0545553249719128e-67,6.3867032609017762e-45,1.0407010293365286e-35,1.9669724904636971e-23,1.630216331736843e-32,2.2461973916466998e-71,4.410267949303242e-63,1.7912079484140592e-40,1.0206548030698049e-39,1.215557790292129e-37,5.719907370094374e-53,2.9601539972402958e-34,1.1619079041809203e-53,7.2541905896360975e-40,5.2689154107528568e-23,1.5401644215607228e-31,1.0098871242199699e-26,1.8556040050260009e-17,1.1995920213115682e-41,1.0403645492006005e-56,2.0593687544583097e-45,3.9969790112481891e-47,0.88168480800000004,0.0,0.009459999999999958,0.10885,2.3248178949499709e-17,2.3248136388566288e-17,1.855598938168373e-17,7.3151421870008833e-20,5.9822636533959518e-20,2.9911326869027621e-20,1.7182322139933318e-24,6.7221123536569526e-23,2.0850970327441643e-24,4.9100982110694819e-23,4.1246529088158429e-23,8.3729833282137941e-23,3.3036878845959131e-29,8.5484157784365896e-25,4.1923223867008739e-25,1.8663800484888536e-24,1.4836720171682401e-24,4.1215019490438619e-26,9.2119274484052196e-30,1.026436981865823e-24,1.8158034315602697e-24,2.6895967840582317e-27,5.9940842113130941e-37,4.6531181926455476e-26
2.55e-13,0.0025160833364637346,1.1595429170121083e-20,4.5714332048224572e-27,3.828619882356418e-27,2.3333310505381042e-26,7.513008556452336e-34,0.0,0.0,3.1513915644342e-19,2.797450225605699e-28,7.1975577731144416e-40,5.8647710037898708e-40,1.2984809900961537e-42,3.4026676280429042e-66,5.1351773410134649e-44,4.1806602273842998e-35,7.9017451049559442e-23,1.3107999930120168e-31,1.2031555153015184e-69,7.0946877898799864e-62,1.440291906753829e-39,8.206180765757885e-39,4.8810542096760979e-37,1.847176176454838e-51,2.3801485872485019e-33,3.7391664356867785e-52,5.8327604901480449e-39,2.1166369779136756e-22,1.2383923185199836e-30,4.0569400077660841e-26,3.7216145272182837e-17,1.9297942248887276e-40,3.347569672864371e-55,3.3129944924708613e-44,5.4975148731407941e-46,0.88168480800000004,0.0,0.0094599999999999164,0.10885,4.6626704180843472e-17,4.6626533205320469e-17,3.7215941726678965e-17,1.4670909646894272e-19,1.1997736468305943e-19,5.9988716895086544e-20,6.9021386979595116e-24,2.7004088282021931e-22,8.3757878759258503e-24,1.9724951771036214e-22,1.6569636267772244e-22,3.3635978737535424e-22,2.6563769451246548e-28,3.433887116284137e-24,1.6843587655016256e-24,7.4976601819990383e-24,5.9602369702904353e-24,1.6556582656483109e-25,7.4076321348384774e-29,4.1231352493471765e-24,7.2944870334394225e-24,1.0817262315030744e-26,4.8219910879380958e-36,1.8699204307066586e-25
5.11e-13,0.002516083336463735,2.3242592074799806e-20,1.6845374683290118e-26,1.5358439956835677e-26,9.3597971749930894e-26,6.0295760698116445e-33,0.0,0.0,6.3122126877275406e-19,1.1214486983164297e-27,5.7708763496357839e-39,4.7072404571806068e-39,2.0828407199302847e-41,1.0935475309310108e-64,4.118110327932176e-43,1.675756051229357e-34,3.1673832703443545e-22,1.0512449576488487e-30,6.9426004654694544e-68,1.1380546873285451e-60,1.1551666781869327e-38,6.5803742093213108e-38,1.954871455138534e-36,5.9387302510986492e-50,1.9088364234834515e-32,1.1998082905455465e-50,4.6776704456224177e-38,8.4844721190611609e-22,9.9317479353907538e-30,1.6262159969507362e-25,7.4536159450261362e-17,3.0957015503826285e-39,1.0739154741308972e-53,5.3148023298091039e-43,8.0742649378832691e-45,0.88168480800000004,0.0,0.0094599999999998314,0.10885,9.3383409066403977e-17,9.3382723723884196e-17,7.4535343553365634e-17,2.9381166677379835e-19,2.4027595353327953e-19,1.2013811525161717e-19,2.7664032110809106e-23,1.0824433228880227e-21,3.3570098688591647e-23,7.9067067959957598e-22,6.6418987455268816e-22,1.3482793946115872e-21,2.1303756987259298e-27,1.3763057259112658e-23,6.753401443142234e-24,3.0054204325402132e-23,2.3891472196917102e-23,6.6363492191270999e-25,5.9418582927566694e-28,1.6525184392642671e-23,2.9239823529286428e-23,4.3461412012818812e-26,3.8709574291709262e-35,7.5008274187670719e-25
1e-12,0.002516083336463735,4.5545836154089233e-20,6.2416545011957035e-26,5.9513378935885236e-26,3.6266429174340944e-25,4.6461593094222136e-32,0.0,0.0,1.2351630899890891e-18,4.3398898853854734e-27,4.4383619804237153e-38,3.6279193527831189e-38,3.1955194705810084e-40,3.3556367434000996e-63,3.1684662222375262e-42,6.483493293787766e-34,1.2255243969789981e-21,8.089183031503169e-30,4.0169459187814934e-66,1.7460924854613282e-59,8.8899297481648862e-38,5.0621622587296363e-37,7.5509858185017143e-36,1.8225769725728701e-48,1.4688037736081718e-31,3.6770768737317477e-49,3.5992040144379046e-37,3.2828258218906234e-21,7.6423392733885481e-29,6.292215755556766e-25,1.4582246799125252e-16,4.7500649989751668e-38,3.2898706984380287e-52,8.1557539327158984e-42,1.1831973164742642e-43,0.88168480800000004,0.0,0.0094599999999996701,0.10885,1.82694700941557e-16,1.8269204925994475e-16,1.4581931117690222e-16,5.7475176271065353e-19,4.7002355406546372e-19,2.3501231269381414e-19,1.0701540324964676e-22,4.1881540017732116e-21,1.2985953591614004e-22,3.0592931258281404e-21,2.5699040020581063e-21,5.2167224699790654e-21,1.6392868357065593e-26,5.3240240321960119e-23,2.6143392967955024e-23,1.1628676599254887e-22,9.2441669115843162e-23,2.5675143685878425e-24,4.5737541968457589e-27,6.3922142101456285e-23,1.131359976683491e-22,1.6893189447559322e-25,2.9844356642433731e-34,2.9062941879552764e-24
1.023e-12,0.002516083336463735,4.6594863994219411e-20,6.4559974291219481e-26,6.159019610667898e-26,3.7531976282694728e-25,4.836330350641322e-32,0.0,0.0,1.2635693515186918e-18,4.4912685097261445e-27,4.619976111191779e-38,3.7764172915612301e-38,3.336023385034022e-40,3.5083248533736392e-63,3.2981248507798968e-42,6.7096240843375477e-34,1.2682689360561452e-21,8.4202107936680965e-30,4.2026165895890936e-66,1.8228667214219721e-59,9.2537325101474893e-38,5.2693092347405617e-37,7.8141977415228867e-36,1.9055081840481735e-48,1.5289104464486136e-31,3.84438404965726e-49,3.7464904158839992e-37,3.3973262473091177e-21,7.9550811609888304e-29,6.5116799568817936e-25,1.4917540274880424e-16,4.9589226296715858e-38,3.4395578568706946e-52,8.5143598531533319e-42,1.2350510124726178e-43,0.88168480800000004,0.0,0.0094599999999996631,0.10885,1.8689543655122678e-16,1.8689269238331773e-16,1.4917213582995201e-16,5.8796571405328684e-19,4.8082967842587324e-19,2.4041539355510357e-19,1.1074767632979659e-22,4.3342303731727195e-21,1.3438848695138261e-22,3.1659972490658847e-21,2.6595388178712447e-21,5.3986737802724229e-21,1.7063701345085658e-26,5.5097040343321042e-23,2.7055396659306138e-23,1.2034269425092184e-22,9.56659115067129e-23,2.6570628906195971e-24,4.7609322591241066e-27,6.6151446860766532e-23,1.1708203448879582e-22,1.7483336911085665e-25,3.1066009366165928e-34,3.0077110862370904e-24
2.047e-12,0.0025160833364637363,9.3531167929345802e-20,2.5311627121134096e-25,2.4722401325192226e-25,1.5063357543703432e-24,3.8821979531602828e-31,0.0,0.0,2.5290009579582028e-18,1.798048068821772e-26,3.6944039814576853e-37,3.0325555207094069e-37,5.3381693027795694e-39,1.1250477860616989e-61,2.6394370510549258e-41,2.6848876894989628e-33,5.0755828865736562e-21,6.7401104373309311e-29,2.6167498527239665e-64,2.9171293364920295e-58,7.409133114724582e-37,4.2156634970677333e-36,3.1165626991494797e-35,6.1101970943172488e-47,1.2238119507908341e-30,1.2308757325275883e-47,2.9986143270267522e-36,1.3596126760491968e-20,6.3677857004632759e-28,2.6060082067718697e-24,2.9845074915907034e-16,7.9370838416646571e-37,1.1003500583172123e-50,1.3630095377643148e-40,1.9343660262021558e-42,0.88168480800000004,0.0,0.0094599999999993249,0.10885,3.7391396255335241e-16,3.7390298084803921e-16,2.9843767548735383e-16,1.1760696130721296e-18,9.6176345274617469e-19,4.8088394345217886e-19,4.4302278289257697e-22,1.7345177072849976e-20,5.3756888382181016e-22,1.2670490322928628e-20,1.0643576710870529e-20,2.1605014297315964e-20,1.3658823637745275e-25,2.2039824805654553e-22,1.0838500301116482e-22,4.8161701100839282e-22,3.8285904723663413e-22,1.0631637891521733e-23,3.8136163012385295e-26,2.6459317999213482e-22,4.6856989553376934e-22,7.0613368460424318e-25,2.4964437695450374e-33,1.2070920851618434e-23
4.095e-12,0.002516083336463738,1.8833062146697971e-19,1.0064183312377518e-24,9.9502679173905549e-25,6.0610729461071582e-24,3.1239274640634991e-30,0.0,0.0,5.0628060033898253e-18,7.1988577730207525e-26,2.9503586854914069e-36,2.4420760792534402e-36,8.5343508636634893e-38,3.610012707693024e-60,2.1111058700896163e-40,1.0739401814740594e-32,2.0306400249064559e-20,5.3934333584156868e-28,1.6568969338312087e-62,4.6645401847715655e-57,5.9316858510697141e-36,3.3697757540472402e-35,1.2384555086903986e-34,1.9600889239213531e-45,9.7924233648923035e-30,3.9390903646812605e-46,2.3989588959816172e-35,5.4396253061018623e-20,5.09549401047226e-27,1.0426513766417894e-23,5.9698888158148277e-16,1.2695786789092315e-35,3.5155864036007087e-49,2.1809414150613862e-39,3.0739461963509131e-41,0.88168480800000004,0.0,0.00945999999999865,0.10885,7.4792890010882771e-16,7.478849676132061e-16,5.9693658010932174e-16,2.3514620487380206e-18,1.9229373839646785e-18,9.6147755097474268e-19,1.7709530326153399e-21,6.9392112941969199e-20,2.1487030288568011e-21,5.0694058052454284e-20,4.2584151175909845e-20,8.6434551778614458e-20,1.09295836139768e-24,8.8097992007672196e-22,4.3450594087856097e-22,1.9269208555100227e-21,1.5317934179312199e-21,4.2520161742341822e-23,3.0558749742062835e-25,1.0574398297490309e-21,1.8747376858881182e-21,2.8766495319317169e-24,2.0132121812587308e-32,4.8566426444185632e-23
8.191e-12,0.002516083336463741,3.8163535401223233e-19,4.0472165483677565e-24,4.0275914977139877e-24,2.4520617411822843e-23,2.5270693810875406e-29,0.0,0.0,1.0142183974137787e-17,2.8837453398257802e-25,2.3511975989871749e-35,1.9783473974789968e-35,1.3626818399096812e-36,1.1606078871529269e-58,1.6874011517776953e-39,4.2939621377703246e-32,8.1226222630068667e-20,4.314918433107086e-27,1.0618145246921513e-60,7.4504542161312008e-56,4.7501662134608797e-35,2.6901915811931983e-34,4.8882315911487608e-34,6.2980157759674065e-44,7.833427585580831e-29,1.2600525427277605e-44,1.9183945330444361e-34,2.1759345391816637e-19,4.0765490520953445e-26,4.1709509197541458e-23,1.1940149076280658e-15,2.0291940766053167e-34,1.1208967872144779e-47,3.4881938810751356e-38,4.941065005752522e-40,0.88168480800000004,0.0,0.0094599999999972987,0.10885,1.4958703287938251e-15,1.4956946224931142e-15,1.193805729691578e-15,4.6989967897115498e-18,3.8425194251846458e-18,1.9212950597751502e-18,7.071950199300673e-21,2.7755058274602089e-19,8.5788945811661253e-21,2.027932663169805e-19,1.7034840451323107e-19,3.4571826386015183e-19,8.7436934062917807e-24,3.5176454061106585e-21,1.7450600288083138e-21,7.7082766231789975e-21,6.1276233989411659e-21,1.6996297244029489e-22,2.4515289860168828e-24,4.2206675403734309e-21,7.499668252634152e-21,1.1917511360698917e-23,1.6355967755704032e-31,1.9645119523987735e-22
1e-11,0.002516083336463748,4.7027907414804908e-19,6.7972995298698623e-24,6.778920953062766e-24,4.1248602705812417e-23,6.5309632436478691e-29,0.0,0.0,1.2395888786112927e-17,4.8010815623236041e-25,5.954308738863047e-35,5.12232023896547e-35,5.8554547663705441e-36,9.1775931758599087e-58,4.2898363401023226e-39,7.1347210676781336e-32,1.3502362552157821e-19,1.0983677504886285e-26,1.6044698232719365e-59,3.2032748540262692e-55,1.2107867115335407e-34,6.8277769409748983e-34,8.0156232515067989e-34,4.9756802506686982e-43,1.9937179237307982e-28,9.8771454112200076e-44,4.8803015875088695e-34,3.6172098476476277e-19,1.0376875617472629e-25,6.9339908303138328e-23,1.4576473142148113e-15,8.7338754097068624e-34,8.7348556530135978e-47,1.5030125090501783e-37,2.1627500784545036e-39,0.88168480800000004,0.0,0.0094599999999967019,0.10885,1.8261208482202908e-15,1.8258288130670006e-15,1.4572996466246177e-15,5.7329354412945809e-18,4.6878757149862841e-18,2.3439964575148211e-18,1.173487140898132e-20,4.6134139275686862e-19,1.4232755609132117e-20,3.3713365009192433e-19,2.8319136214286324e-19,5.7465302439324554e-19,2.225604250714852e-23,5.8363663931600578e-21,2.913212022818253e-21,1.2814533976700818e-20,1.0186757071473636e-20,2.823231103281815e-22,6.2640231071435661e-24,7.0000917247895241e-21,1.2467983022732243e-20,2.0530798630963686e-23,4.2520909722119518e-31,3.3041953849302718e-22
1.6383e-11,0.002516083336463748,7.8305567206232109e-19,1.6500881437513819e-23,1.6486901004743939e-23,1.0027277635508569e-22,2.0658577685174989e-28,0.0,0.0,2.0348015825823994e-17,1.1566342539771699e-24,1.8667773860934733e-34,1.6215730215310494e-34,2.1708063715845213e-35,3.7465275374763532e-57,1.347244762096251e-38,1.715825022721464e-31,3.2484608138476514e-19,3.4514185606139231e-26,6.8911335440202836e-59,1.1877060629091566e-54,3.8069284946548815e-34,2.1427117654897826e-33,1.9050527048115612e-33,2.0309977414968458e-42,6.2644888907277231e-28,4.0282288462400763e-43,1.5331298120757332e-33,8.7027047586140409e-19,3.2607381127037668e-25,1.668329085745727e-22,2.3878660268976166e-15,3.2391134088085609e-33,3.5600471706300379e-46,5.5755468876997216e-37,8.0505068267150101e-39,0.88168480800000004,0.0,0.0094599999999945977,0.10884999999999999,2.9913994913928323e-15,2.9906969935164848e-15,2.3870297028897321e-15,9.3811556806834612e-18,7.6706889807706152e-18,3.8354851373226235e-18,2.81878432616024e-20,1.1098415255922692e-18,3.4182227660821955e-20,8.1114949842551516e-19,6.8135421374592638e-19,1.3824421766777873e-18,6.99339442820344e-23,1.4017900975988306e-20,7.0349998491120261e-21,3.0831803566269514e-20,2.4509283457197648e-20,6.7878234755227222e-22,1.9716289538957613e-23,1.6807203150509769e-20,2.9998526515013106e-20,5.0922513747657968e-23,1.3484309024817254e-30,8.0312265346530744e-22
