Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549),S(1413),S(1424),S(1776)
0.0,0.001742742121698064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.001742742121698064,1.1924328883856281e-26,1.5683343621186683e-34,3.1087255558977766e-34,7.7356071284307478e-35,4.0892697969575913e-42,0.0,0.0,8.5673771805428505e-24,1.4675770162815528e-35,1.2788418681349736e-52,5.9903435172776854e-53,5.0385533428621333e-50,-2.4923610391936116e-80,3.3449043013041506e-50,4.7208063731327308e-46,6.750833847975279e-23,2.9997472403403079e-34,-2.7935660170625036e-92,4.0151133637919026e-80,1.1484464886095887e-52,9.5124543013441079e-53,1.6786688590097053e-47,-7.1187367407486251e-61,1.7056933828654633e-36,6.5854422184243935e-67,1.0130927804123791e-51,6.9772700050994537e-31,3.3749339389720311e-33,3.115420027042845e-34,1.0148308672325516e-22,1.7057132024892885e-46,1.2081689718753647e-70,2.5270521861293116e-56,2.9728101253347804e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1582773387307091e-22,1.158277314235029e-22,1.0148308554111838e-22,3.6991245283059788e-24,3.084009928459781e-24,1.5420049655811918e-24,1.5414929159364746e-30,6.3188007846897637e-30,1.8540215373308326e-30,4.7338739282907405e-30,4.8664302767741154e-30,7.2118333988440228e-30,3.2120710446671044e-30,7.6806944406401984e-31,2.0840660328571858e-32,2.6795789635837007e-32,2.1901360480324347e-32,1.4461345634195229e-32,9.8423643854065117e-39,4.8804482764542172e-32,3.7916316353074741e-32,1.3175716724433626e-33,3.9541947058939151e-46,2.7563701722650093e-33,7.2729679298798434e-42,1.3528306596619438e-39,6.6783803577552483e-40,2.5415737677747027e-25,6.7508335920669356e-23,4.2739280773462279e-30,1.6062404198457981e-32,1.3586488305934352e-30,6.6698403571405265e-37,2.0940946964624261e-36,7.3398686066911516e-47,3.0536225507911289e-40,3.6727265610601031e-40,5.8640181934657647e-43,1.4415877756671312e-42,1.8415601349141062e-52,1.5530685408375882e-53,4.510676300748727e-57,4.2249653618647156e-44,4.9291784509157235e-44,1.2913951759373109e-64
3.0000000000000002e-15,0.001742742121698064,3.9179956711494376e-26,5.4984084440065705e-34,2.0428769074976018e-33,5.0834000391113883e-34,3.8555973865997785e-41,0.0,0.0,2.8149955301139617e-23,9.6440777899700594e-35,1.2057954528100764e-51,5.6480397387529098e-52,4.7506356390637906e-49,1.4740542609574271e-78,2.1980795089733363e-49,3.1022440810177284e-45,2.218131018617543e-22,1.9712624325265456e-33,1.6874399960969773e-90,4.9328530882037046e-79,1.0828209829202177e-51,8.9688815517578297e-52,1.1031224111026166e-46,4.2102245314147661e-59,1.1208841959553499e-35,1.1849728400247979e-65,9.5520165439061495e-51,4.585063038228404e-30,2.2178136866091169e-32,2.0472759719061487e-33,3.3344441062371626e-22,1.6082436082372887e-45,2.1739607702463019e-69,3.8251082601026762e-55,4.5022969532693924e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.8057682399848301e-22,3.8057680790132337e-22,3.3344440285538859e-22,1.215426021021641e-23,1.0133170406967261e-23,5.0665852123636133e-24,1.0129808234313117e-29,4.152354682489391e-29,1.2183567226177305e-29,3.110831389749521e-29,3.1979398238876684e-29,4.7392046691701272e-29,2.1107894996638771e-29,5.047312296877358e-30,1.3695291262651582e-31,1.7608661118009145e-31,1.4392322090933335e-31,9.5031696389277368e-32,9.2799435402957758e-38,3.2071508058020621e-31,2.4916436027758809e-31,8.6583456716451246e-33,3.7278880000523233e-45,1.811329675253613e-32,6.8573723838857925e-41,1.2755263789829563e-38,6.2967674196560241e-39,8.3508847489526838e-25,2.2181308504492166e-22,2.8085812025390637e-29,1.0555293910148036e-31,8.9282614987326486e-30,6.2887054427372943e-36,1.3761323950014604e-35,6.9197175037324731e-46,2.8791293668768928e-39,3.4628559020923563e-39,5.5289524684163502e-42,1.3592121916507502e-41,2.2624167851892514e-51,1.9079323662708401e-52,6.8300946272641756e-56,3.9835822369634289e-43,4.6476048738247781e-43,2.3244085080772322e-63
7e-15,0.001742742121698064,8.687741725744251e-26,1.4414120553040171e-33,1.1102595906858854e-32,2.7627211930988248e-33,6.2273761735190388e-40,0.0,0.0,6.2419477092666138e-23,5.2413475246894183e-34,1.9479736399615461e-50,9.1224622069246464e-51,7.6729908737462263e-48,2.8440139595839412e-77,1.1946068003828708e-48,1.6860016602982548e-44,4.9184637707048206e-22,1.0713381381574543e-32,1.7770052128156189e-88,2.4950929319203487e-77,1.7489200688315428e-50,1.4486044409714915e-50,5.9950363621311659e-46,8.1232105493674424e-58,6.091760977183257e-35,6.5868211718788225e-63,1.5427937704897152e-49,2.4918817041208258e-29,1.2053333671942245e-31,1.1126498225294921e-32,7.3937662604273114e-22,2.5975531270288381e-44,1.2084241214413255e-66,6.3075350595493042e-53,7.4314650989605378e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.438876380494193e-22,8.4388755056488307e-22,7.3937658382357579e-22,2.695071166765731e-23,2.2469171307083985e-23,1.1234585701802656e-23,5.5053222296494342e-29,2.2567140809378067e-28,6.6214937552541639e-29,1.6906690608303269e-28,1.7380105182386902e-28,2.575654231300714e-28,1.1471680508222939e-28,2.7431002912197217e-29,7.4430937480147985e-31,9.569922247794333e-31,7.8219123747359867e-31,5.164764872956615e-31,1.4988514527817252e-36,1.7430134932005274e-30,1.354153978871082e-30,4.7056846724458066e-32,6.0158874028496783e-44,9.8442079468552377e-32,1.1075734205080132e-39,2.0601732261906755e-37,1.0170363670589174e-37,1.8517176085627194e-24,4.9184628567468709e-22,1.5264024546068559e-28,5.7365717961876142e-31,4.8523080918527554e-29,1.0157194658792678e-34,7.4794409716956399e-35,1.1165597213999923e-44,4.6502232492557614e-38,5.5930285215470874e-38,8.9304072868686113e-41,2.1953463673968247e-40,1.1439287353384972e-49,9.6431100331224039e-51,1.127114048149211e-53,6.4347324154236141e-42,7.5079742095991342e-42,1.2930808394397082e-60
1.5e-14,0.001742742121698064,1.8227270746633097e-25,3.8971615354956451e-33,4.9117913822831011e-32,1.2222306341601955e-32,5.7915799065492187e-39,0.0,0.0,1.309585539431531e-22,2.3187728061209971e-33,1.812282156564269e-49,8.4840935360268232e-50,7.1360174797169134e-47,5.0998274504988492e-76,5.2849285176835496e-48,7.4588673465212046e-44,1.0319127271345826e-21,4.7395988914786685e-32,1.0288746929325437e-86,4.7986866494020543e-76,1.626528648413507e-49,1.3472208134154571e-49,2.6520666727821123e-45,1.4566557632692619e-56,2.694994352739861e-34,5.220693770169651e-61,1.4348247752234542e-48,1.1024081852628292e-28,5.3323936543120376e-31,4.9223616228392772e-32,1.5512407222198243e-21,2.4157673445734079e-43,9.5779385382950784e-65,2.4725824965206808e-51,2.9136598818327981e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7705089570279897e-21,1.7705085699965973e-21,1.5512405354423922e-21,5.6543495822994342e-23,4.7141074309267608e-23,2.3570537368137991e-23,2.4355484308391752e-28,9.983700004417907e-28,2.9293413618855753e-28,7.4795186557169566e-28,7.6889566541733276e-28,1.1394690790226252e-27,5.0750703139374729e-28,1.2135444690519624e-28,3.2928251668620386e-30,4.2337319320888845e-30,3.4604127079944302e-30,2.2848910720749914e-30,1.3939599222490349e-35,7.7110678163518176e-30,5.9907760775899923e-30,2.0818404810326909e-31,5.587292402611262e-43,4.3550959161881777e-31,1.0300697239122456e-38,1.9160068481312723e-36,9.4588190589909534e-37,3.8849749253168027e-24,1.0319123227998396e-21,6.7528017190148682e-28,2.537858641642364e-30,2.1466552646612933e-28,9.4463561139536091e-34,3.30924315885537e-34,1.0368501878443898e-43,4.3247847851095916e-37,5.201609151017566e-37,8.3059006203247275e-40,2.0417318951046139e-39,2.1988295199717294e-48,1.8524733403614337e-49,4.4169159648379076e-52,5.985360918004237e-41,6.9845824889284719e-41,1.0245664716633999e-58
3.1e-14,0.001742742121698064,3.7306476434746979e-25,1.1499105768953686e-32,2.0473223221929714e-31,5.0944920970048419e-32,4.8880894476134341e-38,0.0,0.0,2.6803684071376117e-22,9.6650529786140744e-33,1.5306083150754659e-48,7.1606152034730978e-49,6.0227739868106725e-46,8.7259817968778675e-75,2.2028402015610248e-47,3.108982144804013e-43,2.1120446258499793e-21,1.9755462561201398e-31,7.2232070341946748e-85,8.1587459060547868e-75,1.3727878388016739e-48,1.1370381081566183e-48,1.1053159474391051e-44,2.4924513882421463e-55,1.1233198577054999e-33,3.567357697611714e-59,1.2109858540332354e-47,4.5950264061329442e-28,2.2226332978367367e-30,2.0517248046808102e-31,3.1749675759313684e-21,2.0388941270485843e-42,6.5447190753528133e-63,8.4305128677510077e-50,9.9339151942025305e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.6237503584927564e-21,3.6237487452803092e-21,3.1749667974115018e-21,1.1572858909962043e-22,9.6484485124820105e-23,4.8242243452324146e-23,1.0151738776209061e-27,4.1613769601446269e-27,1.2209942420208518e-27,3.1175921848255588e-27,3.2048890821197737e-27,4.7495020562678119e-27,2.1153764781604983e-27,5.0582387613263605e-28,1.3725070939698315e-29,1.764691605371229e-29,1.4423590081245119e-29,9.5238152465810038e-30,1.1764998419943146e-34,3.2140874748505167e-29,2.4970585516077161e-29,8.6778439010829911e-31,4.7031215332773053e-42,1.8152945081722899e-30,8.6938657284190998e-38,1.6171184513345322e-35,7.9835430795516632e-36,7.9514857565011154e-24,2.1120429405146436e-21,2.8146827516044196e-27,1.0578229512694186e-29,8.9475842577287064e-28,7.972667061768113e-33,1.3796257699100065e-33,8.7250655864121509e-43,3.6500946620253621e-36,4.3901293212148142e-36,7.0109199291187931e-39,1.7232492366504449e-38,3.7343273085235219e-47,3.14242293759051e-48,1.5044469016900519e-50,5.0531918903855831e-40,5.8983348107581377e-40,6.993881139708065e-57
6.300000000000001e-14,0.001742742121698064,7.5465478392634114e-25,3.7464911643575099e-32,8.3429690249688164e-31,2.0760515355248493e-31,4.000643040099288e-37,0.0,0.0,5.4219394653270242e-22,3.9385658761389002e-32,1.2544256853999466e-47,5.8606606162740808e-48,4.9292900051853087e-45,1.4417080297856343e-73,8.9766141192256219e-47,1.2669244445357205e-42,4.2723052176344607e-21,8.05045130253085e-31,6.553936536925323e-83,1.3384968077857919e-73,1.1235523498236979e-47,9.3058061095277823e-48,4.5033180351271696e-44,4.1182396313169213e-54,4.5775846836168408e-33,2.3399565246047077e-57,9.9111936252977166e-47,1.8724963228602479e-27,9.0573435342754934e-30,8.3608819586798693e-31,6.4224159287927304e-21,1.6687078156657592e-41,4.2929230145135763e-61,2.7632667926811047e-48,3.2551120597307494e-48,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.3302282154594461e-21,7.330221641544124e-21,6.4224127562893116e-21,2.3409687554972851e-22,1.9516972602774174e-22,9.7584866640250041e-23,4.1368480974854582e-27,1.6957816345733017e-26,4.9755683015170708e-27,1.2704348822875141e-26,1.306008438417318e-26,1.9354455099805175e-26,8.6202663049355328e-27,2.0612392213248153e-27,5.5930440982419542e-29,7.1912029418129618e-29,5.8776824018217149e-29,3.8810003560376416e-29,9.629007431309123e-34,1.3097422813281101e-28,1.0175641571677638e-28,3.5365699599419752e-30,3.828926375479015e-41,7.3975447517437234e-30,7.1156076286207512e-37,1.3235423550844334e-34,6.5346084176645351e-35,1.6084492209569741e-23,4.2722983498183411e-21,1.1469966726652882e-26,4.3106811227196688e-29,3.646150508714252e-27,6.5251236630356256e-32,5.6242889122109936e-33,7.0990301678555576e-42,2.9873758766551514e-35,3.5930478106905242e-35,5.7392848551027673e-38,1.4104357041567705e-37,6.1129240026505875e-46,5.1320642490799424e-47,4.9201627051221152e-49,4.1383036046100832e-39,4.8329482508617167e-39,4.5774404966146001e-55
1.2700000000000001e-13,0.001742742121698064,1.5178584460556287e-24,1.3244528353288708e-31,3.3667808038012163e-30,8.377954398953861e-31,3.2344451060799918e-36,0.0,0.0,1.0905102872749928e-21,1.5893928549364554e-31,1.0169332146212143e-46,4.738356163156077e-47,3.9851864516872399e-44,2.3426208672197286e-72,3.6224056380762009e-46,5.1125913866616182e-42,8.5928135786574644e-21,3.2487154223200826e-30,7.1086117728101303e-81,2.1660901962839932e-72,9.0836785331267841e-47,7.5231658298448617e-47,1.8165634584352471e-43,6.6923725030742162e-53,1.8472585422426931e-32,1.5091567730528999e-55,8.0128757863042778e-46,7.5563539325259152e-27,3.6550412467387966e-29,3.3739873662562835e-30,1.2917291216339276e-20,1.3490878166345413e-40,2.7687350362190895e-59,8.9087933502966406e-47,1.0487673715525512e-46,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.4743164145594743e-20,1.4743137616979327e-20,1.2917278413912764e-20,4.7082584830174192e-22,3.9253388513744908e-22,1.9626695720224551e-22,1.6693724979317718e-26,6.8432287911340192e-26,2.0078267929739222e-26,5.1267721284407227e-26,5.2703242547784859e-26,7.8103784961233907e-26,3.4786609344908732e-26,8.3178664365984226e-27,2.2570486898087417e-28,2.9019664698744086e-28,2.3719034035537543e-28,1.566154196125747e-28,7.784836310276258e-33,5.2852746436106297e-28,4.1063252429176313e-28,1.4274089539130278e-29,3.0632591403229756e-40,2.9853413586969491e-29,5.7530582536948497e-36,1.0700856144991184e-33,5.2839168822048668e-34,3.2350444278470262e-23,8.5927858640508561e-21,4.6286353206712878e-26,1.739550800207244e-28,1.4713553830895604e-26,5.2753059710823608e-31,2.2714606150851499e-32,5.6727927629939259e-41,2.415182891891501e-34,2.904845451562625e-34,4.6420718011070671e-37,1.1403872065229209e-36,9.8491889573530514e-45,8.2309090289128111e-46,1.5791543332004289e-47,3.3498351485927508e-38,3.9161940552112594e-38,2.9391152960487685e-53
2.55e-13,0.001742742121698064,3.0443602598417869e-24,4.9460979172175048e-31,1.3525250279857932e-29,3.3657337583416257e-30,2.600736200826721e-35,0.0,0.0,2.1871514851252697e-21,6.3849806693801084e-31,8.2211865022054781e-46,3.8101888191168554e-46,3.2043042872817653e-43,3.7761593779484302e-71,1.4551513923012902e-45,2.0538269983146291e-41,1.7233779010833874e-20,1.3050784000159133e-29,8.4473245882364782e-79,3.4843225217072214e-71,7.3039063827829922e-46,6.0485387410034349e-46,7.2917000433367566e-43,1.078986493341471e-51,7.4208272551601781e-32,9.6301432238941558e-54,6.4427290216070731e-45,3.0355470876163413e-26,1.4683081596635705e-28,1.3554023000860105e-29,2.5906956119293484e-20,1.0847174250149957e-39,1.7667804051766734e-57,2.8421133373764709e-45,3.3414263432235954e-45,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9568956871099213e-20,2.9568850300456168e-20,2.5906904689506693e-20,9.4425339532780023e-22,7.8723691430498216e-22,3.9361851593418701e-22,6.7059863341390267e-26,2.7490672966516635e-25,8.0655762313174279e-26,2.0595354444380444e-25,2.1172009859581781e-25,3.1375914313503974e-25,1.3974522620018113e-25,3.3413431650503585e-26,9.0670986782538991e-28,1.1657787285035121e-27,9.5284182062527721e-28,6.2915584602753889e-28,6.2595334673344854e-32,2.1231126315627618e-27,1.6495993572050891e-27,5.7361791474540449e-29,2.4126168347618378e-39,1.1993579789323215e-28,4.62624750276206e-35,8.6047139627819049e-33,4.2499643366962998e-33,6.4882105067030743e-23,1.7233667676046429e-20,1.8594162643437807e-25,6.9881400286343683e-28,5.910518936646906e-26,4.241524939583029e-30,9.1394815411803221e-32,4.4578955250089246e-40,1.9419001158546794e-33,2.3356064052321045e-33,3.7357372459468661e-36,9.1707942967502191e-36,1.5705520493029766e-43,1.3007515629456417e-44,4.9935529063861871e-46,2.7001028248822826e-37,3.1631399328301339e-37,1.8591416602804218e-51
5.11e-13,0.001742742121698064,6.0977418266563525e-24,1.9078236529559426e-30,5.4216863624798982e-29,1.3492469035327577e-29,2.0858086038758645e-34,0.0,0.0,4.3804679458731233e-21,2.5594366800681513e-30,6.6645042219246421e-45,3.0561111909694802e-45,2.5697393596912807e-42,6.0624307200507245e-70,5.8325506625093009e-45,8.2326094953170631e-41,3.4515504718222231e-20,5.2313600034038634e-29,1.0486073445467987e-76,5.588499357228247e-70,5.8577009232079519e-45,4.8499276160472985e-45,2.9181944070844776e-42,1.7329563609134438e-50,2.9746079986504038e-31,6.0753856814821052e-52,5.1667552615309775e-44,1.2167867761887758e-25,5.8856605986188037e-28,5.4330774132720356e-29,5.1885943241172981e-20,8.6987034537146318e-39,1.114619902702785e-55,8.9644783820471043e-44,1.0512991251734974e-43,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.9220225786453389e-20,5.9219798605644504e-20,5.1885737089088165e-20,1.890986912384428e-21,1.5765418302919209e-21,7.8827115073593288e-22,2.6878784699436849e-25,1.1019506273390915e-24,3.2328224665779641e-25,8.2555863560839808e-25,8.4867172549350843e-25,1.2576886802459674e-24,5.6016360088074027e-25,1.339268036465092e-25,3.6345555632221246e-27,4.6729565438764261e-27,3.8194126036022048e-27,2.5219345704102408e-27,5.0200962073351997e-31,8.5096584540954131e-27,6.6123660712689236e-27,2.3009076419974831e-28,1.858637476630537e-38,4.8082453249667345e-28,3.7108559425710517e-34,6.9017204446808363e-32,3.4105844440652896e-32,1.2994445324484357e-22,3.4515058442400084e-20,7.4533598327824894e-25,2.8011650999224402e-27,2.3690259595626673e-25,3.4013857108586905e-29,3.6751859408166637e-31,3.4202976003470499e-39,1.5572765062031288e-32,1.873001073922451e-32,3.0011630907538527e-35,7.3570078728527576e-35,2.475988041043349e-42,2.015616342703714e-43,1.5485695917462766e-44,2.1760664194221126e-36,2.5596878548193168e-36,1.1533339193685085e-49
