Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118)
0.0,0.0031155438102605415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0031155438102605415,4.3366074504115162e-23,1.5497378923406833e-30,8.1916459382222067e-31,4.0527926356592505e-31,8.5328878108776379e-39,0.0,0.0,8.1714056342788302e-22,3.710797631500662e-33,7.973435582655819e-47,7.3169314980064181e-47,2.146834628211169e-45,-3.5460626597496088e-70,2.3394012214684965e-43,9.4833849511450064e-40,8.7606907238451832e-20,7.5530222720713493e-31,-2.2089292027500707e-82,2.2388582476905813e-71,1.0713977335410473e-46,7.004712631222311e-46,5.7079535902614891e-42,-1.333954506352295e-54,1.3029525398957234e-32,9.9582407780468901e-64,4.487566685460937e-46,3.7397139148163114e-27,8.1444505523051921e-30,6.6700391630204401e-31,1.0519752146069871e-19,5.9858774784291892e-42,7.8509025804584643e-67,1.4960653566081812e-53,-8.9404252243892603e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.312607893290661e-19,1.3126078757738385e-19,1.0519751847932412e-19,3.6368887572411854e-22,2.9771401008491271e-22,1.4885700552154589e-22,8.072461457683381e-29,3.6235513213270693e-27,9.7659033290973979e-29,2.5675554615736957e-27,2.124359225447021e-27,4.4881885830265299e-27,1.4668365531538288e-27,4.0133785278840263e-29,2.7358150222615792e-29,1.0079556548617369e-28,8.0658544302727429e-29,6.8333921532329154e-29,6.5123178563804975e-36,6.3585521847160867e-29,1.0474131140503127e-28,1.5226304372503155e-31,3.970268189474732e-43,3.0659956332403266e-30,1.1381908448330456e-38,7.8697290711442918e-37,4.2098619221662206e-38,5.0245920614953621e-23,8.7606897904703648e-20,3.111076262753932e-27,1.7880279553446232e-30,5.8170054005485268e-27
3.0000000000000002e-15,0.0031155438102605415,1.4248909151493396e-22,5.3446414058158936e-30,5.3830823350438291e-30,2.6632682910129403e-30,8.0452949720850664e-38,0.0,0.0,2.6848918506136788e-21,2.4385247217914876e-32,7.5178365701293543e-46,6.8988277396877432e-46,2.0241584562309138e-44,2.097248720760407e-68,1.5373205768322657e-42,6.2319381892534174e-39,2.8785126549340415e-19,4.9634146289021257e-30,1.2907613352192644e-80,2.7506094579285375e-70,1.0101752387247775e-45,6.6044416488680853e-45,3.7510098717062922e-41,7.8893880229036478e-53,8.5622593888000415e-32,1.5079621145711752e-62,4.2311340275920902e-45,2.4575262384665997e-26,5.3520674965266073e-29,4.3831685642595216e-30,3.4564899389904632e-19,5.6438266173043764e-41,1.2128575153329827e-65,1.8380230616774195e-52,2.9610265639624031e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.3128544083384805e-19,4.3128542932279319e-19,3.4564897430715717e-19,1.1949774158576229e-21,9.7820290636611781e-22,4.8910145633136812e-22,5.3047588895081735e-28,2.3811907948938204e-26,6.4175916115947731e-28,1.6872507258057595e-26,1.3960074789295109e-26,2.949380987957307e-26,9.639211565159644e-27,2.6373622402687969e-28,1.7978222687106251e-28,6.6237085545984088e-28,5.3004185842082969e-28,4.4905148034664186e-28,6.1401869455445937e-35,4.1784753288576453e-28,6.8830016194453324e-28,1.0005908933912052e-30,3.7431962245677514e-42,2.014800104858501e-29,1.0731529467868033e-37,7.4200369201661151e-36,3.9693121329188601e-37,1.650937356628913e-22,2.8785120415734813e-19,2.0444214235666975e-26,1.1749897759540291e-29,3.8226033353592656e-26
7e-15,0.0031155438102605415,3.1595768241041202e-22,1.3476903155687381e-29,2.9255907665514114e-29,1.4474445420558114e-29,1.2994381442389548e-36,0.0,0.0,5.9534650310339219e-21,1.325287168997078e-31,1.214253583411822e-44,1.1142747861307623e-44,3.2693239664900696e-43,4.0464480673984007e-67,8.3549951478378943e-42,3.3869204987606184e-38,6.3827888566846043e-19,2.6975079256268555e-29,1.203129050711652e-78,1.3912989907672399e-68,1.6315895141749528e-44,1.06671489284817e-43,2.0385597648686795e-40,1.5221795873181824e-51,4.653401279115614e-31,2.4904121161414645e-60,6.8339183814056074e-44,1.3356119149106661e-25,2.9087323022705844e-28,2.3821567272785005e-29,7.6643904005685392e-19,9.1156244600869359e-40,1.9793504653937187e-63,9.2969714088613605e-51,1.079673057945857e-51,0.88168480800000004,0.0,0.0094599999999999979,0.10885,9.5632852301497456e-19,9.5632846045490243e-19,7.6643893357922127e-19,2.6497304802846422e-21,2.1690568834767822e-21,1.084528458848756e-21,2.8830158415492543e-27,1.2941251724027415e-25,3.4878144385022629e-27,9.1698406858998668e-26,7.5869967409353129e-26,1.6029241639122356e-25,5.2387016905563644e-26,1.4333462415010966e-27,9.7708074459867878e-28,3.5998414837748172e-27,2.8806621276160738e-27,2.4404970340298071e-27,9.91735501967257e-34,2.2709040644852502e-27,3.7407658368058439e-27,5.4381770877893563e-30,6.0428773161433235e-41,1.0950105761593506e-28,1.7333279819290778e-36,1.1984582371759681e-34,6.4112440585690257e-36,3.6607739133604506e-22,6.3827855232045161e-19,1.111098173512177e-25,6.3858131767152412e-29,2.0775010573913576e-25
1.5e-14,0.0031155438102605415,6.6290579152053818e-22,3.4662736822738019e-29,1.2942832225062492e-28,6.4036131429383432e-29,1.2085034706728156e-35,0.0,0.0,1.2490639205319773e-20,5.8630850906352698e-31,1.1292932960315222e-43,1.0363104434190266e-43,3.0405346246288461e-42,7.2561722128079961e-66,3.696243983641429e-41,1.4983718811460809e-37,1.3391341036726601e-18,1.1933774880250572e-28,5.432920548043847e-77,2.6758479871216796e-67,1.5174138891102599e-43,9.9206121472314022e-43,9.018503771404849e-40,2.7295763440911519e-50,2.0586643124066068e-30,9.7704700349773881e-59,6.3556662542750546e-43,5.9087458533161433e-25,1.2868231464209636e-27,1.0538660618341815e-28,1.6080190313561457e-18,8.4776862293233597e-39,7.7595447506366161e-62,1.7880517409486461e-49,9.5096319885465785e-51,0.88168480800000004,0.0,0.0094599999999999962,0.10885,2.0064144961242199e-18,2.0064142193585235e-18,1.6080185602992991e-18,5.5592304021702814e-21,4.5507595858764113e-21,2.2753798686342351e-21,1.2754423176921951e-26,5.7252078548618298e-25,1.5430038974813263e-26,4.056737361273475e-25,3.3564870442678307e-25,7.0913343988455749e-25,2.3176014463582406e-25,6.3411031795531725e-27,4.3226303819439686e-27,1.5925697827746484e-26,1.2744048176599532e-26,1.0796757836696038e-26,9.2233594623725156e-33,1.0046432251357672e-26,1.6549178098365276e-26,2.4059841049434784e-29,5.6156874307360089e-40,4.844404094671211e-28,1.6120616505079408e-35,1.114603018322426e-33,5.9628742791857171e-35,7.6804463449803166e-22,1.3391326289419643e-18,4.9154951870703099e-25,2.8250831445260615e-28,9.1908591271370126e-25
3.1e-14,0.0031155438102605415,1.3568457189569151e-21,9.672067389022375e-29,5.3948123715972116e-28,2.6692336622367888e-28,1.0199776595222723e-34,0.0,0.0,2.5565098807705777e-20,2.4438475882278926e-30,9.5314668447807617e-43,8.7466753547066509e-43,2.5662096280570614e-41,1.2416082014042596e-64,1.540653876286885e-40,6.2454599119324519e-37,2.7408444502974003e-18,4.9742043898210362e-28,2.4503548494942705e-75,4.5496011420830656e-66,1.280703212119538e-42,8.3729201427041368e-42,3.7590135368781478e-39,4.6705206672763178e-49,8.5808668664876259e-30,3.3354216431578053e-57,5.3641620208695231e-42,2.4628668214810188e-24,5.3637020685361063e-27,4.392696089880342e-28,3.2911786098894966e-18,7.1551277254056067e-38,2.6483313083405053e-60,3.0400927863109928e-48,1.0579763861098082e-49,0.88168480800000004,0.0,0.009459999999999991,0.10885,4.1065856773311524e-18,4.1065845237241782e-18,3.2911766464444163e-18,1.1378205418361344e-20,9.3141439836111085e-21,4.6570723073176713e-21,5.3162332966937941e-26,2.3863644682727959e-24,6.4314656590664918e-26,1.6909184276795581e-24,1.3990418124131367e-24,2.9557895691333879e-24,9.6601636815545893e-25,2.643065108045006e-26,1.8017678887711071e-26,6.6381065920185329e-26,5.3119396381947576e-26,4.5002752476459356e-26,7.7845555897316178e-32,4.1874888056020738e-26,6.8980091947398309e-26,1.0029655740746026e-28,4.7325149824513512e-39,2.0192947092205669e-27,1.3606339796538296e-34,9.4074697754254002e-33,5.0331487009303749e-34,1.5719788480841047e-21,2.7408383033711433e-18,2.0488611740238398e-24,1.1775432048703699e-27,3.8309051137108274e-24
6.300000000000001e-14,0.0031155438102605415,2.7449004102097241e-21,2.9958985944845266e-28,2.1984276503039986e-27,1.0878055729956108e-27,8.3480039510450039e-34,0.0,0.0,5.1714463027997626e-20,9.9589083950286453e-30,7.8013943687953343e-42,7.1590548318223839e-42,2.1003078600839712e-40,2.0515574726629365e-63,6.2782092673228064e-40,2.5450472546828514e-36,5.5442647860121895e-18,2.0270151430586078e-27,1.1862577153319983e-73,7.4642986744288323e-65,1.0481992600617263e-41,6.8526791671461146e-41,1.5317748097943912e-38,7.7170406716267197e-48,3.4967470469430967e-29,1.0957204676819733e-55,4.3902573134489642e-41,1.003630753532621e-23,2.1857375208043994e-26,1.7900469866029383e-27,6.6574961506957465e-18,5.8560392672240027e-37,8.6990070553607338e-59,4.9876070605653359e-47,1.3124147610680609e-48,0.88168480800000004,0.0,0.0094599999999999806,0.10885,8.3069249797025552e-18,8.306920278695581e-18,6.6574881495637851e-18,2.301605614276972e-20,1.88408287526001e-20,9.4204156620117696e-21,2.1663681624853049e-25,9.7245520001781844e-24,2.620822669825152e-25,6.8905832447711156e-24,5.7011691789302462e-24,1.2044988879756678e-23,3.9365678863219134e-24,1.0770497430091052e-25,7.3424683397519912e-26,2.7050638416449612e-25,2.1646434974262948e-25,1.8338858792002742e-25,6.3713236118745856e-31,1.7063930895683013e-25,2.8109960237246782e-25,4.0880291840854608e-28,3.8617392841327304e-38,8.2292468186028363e-27,1.1136969363736386e-33,7.699889340042137e-32,4.1201612831788478e-33,3.1798461842997316e-21,5.5442397370135688e-18,8.3491996719847874e-24,4.7985484168173033e-27,1.5611109369867585e-23
1.2700000000000001e-13,0.0031155438102605415,5.5217091343600342e-21,1.0204073357995324e-27,8.8717487333900963e-27,4.3904192215689228e-27,6.7492463820881869e-33,0.0,0.0,1.040149715327619e-19,4.0189477956129869e-29,6.3079157531202683e-41,5.78854867782336e-41,1.6980609609048213e-39,3.3341143707097815e-62,2.5335098583268272e-39,1.0270322895666764e-35,1.1151104027302559e-17,8.1799212010307628e-27,6.2891771449007376e-72,1.2080689137317364e-63,8.4746780553496436e-41,5.5400791785081832e-40,6.1810537567700119e-38,1.2540661035345632e-46,1.411093256901637e-28,3.5482093510812908e-54,3.5493989680999598e-40,4.0500969510820103e-23,8.8204374159113776e-26,7.2236446064351729e-27,1.3390124767270269e-17,4.7344095967110711e-36,2.8166957423041257e-57,8.07187336625435e-46,1.7844197769870023e-47,0.88168480800000004,0.0,0.0094599999999999598,0.10885,1.6707591344305687e-17,1.6707572373650251e-17,1.3390092479193451e-17,4.6291360378467262e-20,3.7893862198878664e-20,1.8946936287726968e-20,8.7420670398879793e-25,3.9242860378832726e-23,1.0575925971590693e-24,2.7806609029150303e-23,2.3006777432057927e-23,4.8606861494453685e-23,1.5885820798294128e-23,4.3462726129997343e-25,2.9631520677540466e-25,1.0916150324292112e-24,8.73530904433827e-25,7.4005527568136166e-25,5.1512188745701732e-30,6.8858148171501336e-25,1.1343799574343741e-24,1.6504223083128546e-27,3.1036041372469773e-37,3.3212854021280546e-26,9.00548428735562e-33,6.2258180920870608e-31,3.3323579482552888e-32,6.3955764928655317e-21,1.1151002943750277e-17,3.369262683336349e-23,1.936427921249225e-26,6.299758534816191e-23
2.55e-13,0.0031155438102605415,1.1078123918235525e-20,3.7228855797543376e-27,3.5640631323155328e-26,1.7642389712114263e-26,5.4269660955928623e-32,0.0,0.0,2.0862310881582165e-19,1.614565477069958e-28,5.0730569131010678e-40,4.6553701167954684e-40,1.3653703574383645e-38,5.3761696610406353e-61,1.0177433376638181e-38,4.1257474581534832e-35,2.2364776789322887e-17,3.2860594755841299e-26,3.596149665418428e-70,1.9436609915004726e-62,6.8145703369378595e-40,4.4543431835027304e-39,2.482789116286305e-37,2.0218951306090313e-45,5.6686646048285886e-28,1.1418612700597161e-52,2.8539151753176924e-39,1.6270106030969078e-22,3.5433691467697504e-25,2.9018990317172049e-26,2.6855356140297966e-17,3.8066774507922322e-35,9.0635253996187348e-56,1.2985598388906302e-44,2.5978115434915981e-46,0.88168480800000004,0.0,0.0094599999999999181,0.10885,3.3508875113194588e-17,3.3508798904019066e-17,2.6855226432611451e-17,9.2840380147578411e-20,7.5998584838406315e-20,3.7999313260605637e-20,3.5117203043438525e-24,1.5764667159629761e-22,4.248366578771488e-24,1.1170540049422482e-22,9.24233193621485e-23,1.9526390898254494e-22,6.3816874853915825e-23,1.7459082498381552e-24,1.1904733822605743e-24,4.3852618444779311e-24,3.5091675671538637e-24,2.9729657765648932e-24,4.1421634250223384e-29,2.7659855213500622e-24,4.557190829506968e-24,6.6358867322128465e-27,2.4662419900826809e-36,1.3345671094234495e-25,7.2434201374660913e-32,5.0069913210375708e-30,2.6815306197484637e-31,1.2827019654220438e-20,2.2364370717555895e-17,1.3534959716144319e-22,7.779045146874836e-26,2.5307323958838523e-22
5.11e-13,0.0031155438102605415,2.2202142580260057e-20,1.4175430098892553e-26,1.4287157750361566e-25,7.0760072899655715e-26,4.3525710936739069e-31,0.0,0.0,4.1786786461053311e-19,6.4724752058903998e-28,4.0702634374547193e-39,3.7351520465507739e-39,1.0950399543889677e-37,8.6368946002535433e-60,4.0794137079655472e-38,1.6537424427954271e-34,4.4792099431093342e-17,1.3172134633749028e-25,2.1629830496340412e-68,3.1186837625168828e-61,5.4658048646273597e-39,3.571940347001536e-38,9.9499918458703452e-37,3.2473928672360279e-44,2.2722650859051895e-27,3.6639744502634121e-51,2.2887515906155921e-38,6.5218146661191618e-22,1.4203556215949521e-24,1.163221157246343e-25,5.3785715446112683e-17,3.0527532158548097e-34,2.907757929172912e-54,2.083197447339992e-43,3.9497697699816478e-45,0.88168480800000004,0.0,0.0094599999999998349,0.10885,6.7111246811633655e-17,6.7110941329890543e-17,5.378519552084194e-17,1.8593206607798589e-19,1.5220265401533768e-19,7.6101410541200739e-20,1.4075364073048466e-23,6.3191876155265386e-22,1.7027751115212426e-23,4.4776958507881499e-22,3.7047699566751553e-22,7.8270646335767667e-22,2.558087657260379e-22,6.9977507873542487e-24,4.7728667605273525e-24,1.7578253279699961e-23,1.4066430799197702e-23,1.1917071744604651e-23,3.3223606972922313e-28,1.1085803658816395e-23,1.8268491801008458e-23,2.664609928947502e-26,1.9325789207187063e-35,5.3522562388636074e-25,5.8130206281189046e-31,4.0171929227845112e-29,2.1539174008643878e-30,2.568983615130529e-20,4.4790471726693229e-17,5.4253692481588526e-22,3.1182027204871922e-25,1.0144228169620885e-21
1e-12,0.0031155438102605424,4.3493500294367072e-20,5.3456989731828755e-26,5.5285641029414732e-25,2.7410048557947486e-25,3.349568783612125e-30,0.0,0.0,8.1766685089247119e-19,2.5047542950033187e-27,3.1346680307622123e-38,2.8766011080152311e-38,8.4266421253617995e-37,1.3269512695365505e-58,1.5782771835912793e-37,6.3983025769535406e-34,8.7631702528396695e-17,5.0966370706430197e-25,1.2812755497012901e-66,4.7875864181189493e-60,4.206787394469579e-38,2.7479672544659827e-37,3.8481968434048201e-36,4.9867348582955961e-43,8.791876633223771e-27,1.1229161944392693e-49,1.7610825674479098e-37,2.5234268509090017e-21,5.4957194051627638e-24,4.500786014864403e-25,1.0522651441668536e-16,2.3488156824619291e-33,8.9085147160481389e-53,3.1967711663102497e-42,5.8986208919573241e-44,0.88168480800000004,0.0,0.0094599999999996753,0.10885,1.312962789735075e-16,1.3129509700098055e-16,1.0522450274294484e-16,3.6372746818909193e-19,2.9774380158955795e-19,1.4887222393851514e-19,5.4451030413279599e-23,2.4450080995679686e-21,6.5871119918904655e-23,1.7325329499756514e-21,1.4334637137918863e-21,3.0284398712732574e-21,9.8978595282358975e-22,2.7070711668591121e-23,1.8474075659291143e-23,6.8014603541411839e-23,5.4426400765356034e-23,4.6109979901198189e-23,2.5571191496663871e-27,4.2881435462947212e-23,7.0693443667822224e-23,1.0345390115804171e-25,1.4223191445842949e-34,2.0729581416117662e-24,4.4789900225102033e-30,3.0936966383173364e-28,1.662552261535585e-29,5.025955870088176e-20,8.7625404751475025e-17,2.0991343230434751e-21,1.2064979312165294e-24,3.9249201730953521e-21
1.023e-12,0.0031155438102605424,4.4494934297280084e-20,5.5304588651169314e-26,5.7213995048674903e-25,2.8366455406952768e-25,3.4866427478404051e-30,0.0,0.0,8.3647130218998566e-19,2.5921216893009227e-27,3.2629620160411184e-38,2.9943331648194919e-38,8.7714823092725869e-37,1.3853017673714838e-58,1.6333236533137304e-37,6.6214618470673172e-34,8.9646653185325079e-17,5.2744013711893729e-25,1.3405226898683942e-66,4.9981007636464481e-60,4.3789443656028254e-38,2.8604167106103879e-37,3.9823963242899104e-36,5.2060107236251582e-43,9.0985250291099206e-27,1.1740089517982521e-49,1.8331495825662863e-37,2.611440437491482e-21,5.6874031823039903e-24,4.6577675930345774e-25,1.0764602029873683e-16,2.4449331227485515e-33,9.3138480396309797e-53,3.3373322761185399e-42,6.1574834891844418e-44,0.88168480800000004,0.0,0.0094599999999996683,0.10885,1.3431520686660177e-16,1.3431398366853693e-16,1.0764393846095787e-16,3.720900331145632e-19,3.0458929523824314e-19,1.5229498203286734e-19,5.6350090384292515e-23,2.5302863301903659e-21,6.8168456283904499e-23,1.7929614927008606e-21,1.4834610440922145e-21,3.1340674139768533e-21,1.0243083972065011e-21,2.8014838663005128e-23,1.9118508797678807e-23,7.0386865414662094e-23,5.6324722461105812e-23,4.7718235295066597e-23,2.6617660020969696e-27,4.4376935527354183e-23,7.3159238949901397e-23,1.0706653805574525e-25,1.4801277515531818e-34,2.1452850289485439e-24,4.6623168590604309e-30,3.2203131597056687e-28,1.7306191163276715e-29,5.1415189822845482e-20,8.9640135752640629e-17,2.172348515598147e-21,1.2485788845107209e-24,4.0618147317682872e-21
2.047e-12,0.0031155438102605437,8.9259519431565209e-20,2.1872889827597561e-25,2.2901727065697352e-24,1.1378629914514299e-24,2.7914932016952815e-29,0.0,0.0,1.6741338899131042e-18,1.0377158073943149e-26,2.6163541207330249e-37,2.4009789813863297e-37,7.0220669985193854e-36,2.2211220987467115e-57,6.5354328765422709e-37,2.6495922441065663e-33,1.7935539457472613e-16,2.1108642269552735e-24,8.449782148573318e-65,8.0073582544108326e-59,3.5067587145451796e-37,2.2886825340758088e-36,1.5923656373601883e-35,8.3387585459771011e-42,3.6412297861955399e-26,3.7589537073926495e-48,1.4672440931547679e-36,1.0450969103263914e-20,2.2761504037793138e-23,1.8640688721779427e-24,2.1536497498362525e-16,1.956696836714071e-32,2.9801125476833287e-51,5.3426238609727202e-41,9.7351099304426775e-43,0.88168480800000004,0.0,0.0094599999999993353,0.10885,2.6871999373244741e-16,2.6871509850438313e-16,2.1535664370040545e-16,7.4430442469025216e-19,6.092766473419239e-19,3.0463966144740275e-19,2.2543311575403019e-22,1.0126039190564598e-20,2.7270238534687611e-22,7.1755764410385414e-21,5.9368905330146725e-21,1.2542388738630113e-20,4.0993448089635226e-21,1.1207289152196962e-22,7.6569576532980142e-23,2.8169331134474729e-22,2.254148115532721e-22,1.9097086333808652e-22,2.1316790101030511e-26,1.7749690614019821e-22,2.9285673500307869e-22,4.314477798051836e-25,1.0893764840371635e-33,8.6026604276182655e-24,3.7420159496911316e-29,2.5819843384693155e-27,1.3939136785113891e-28,1.0286477971462186e-19,1.7932931312760652e-16,8.6932665975193797e-21,4.996804527222891e-24,1.6254567180145131e-20
