Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141)
0.0,0.0021943791888704854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0021943791888704854,1.5757487587008863e-28,8.8301306847601643e-37,4.8720568610957917e-38,5.0520626941523728e-37,2.7858110234647995e-47,0.0,0.0,5.1266649256013292e-25,2.9403966384215702e-37,6.4273153333207258e-56,7.139184283829551e-57,3.329961018741005e-61,-2.7780364105411415e-95,3.5525137957808214e-63,7.3876175232119403e-50,6.7123688467873771e-34,1.2952391277128446e-45,-8.3414199519101385e-98,7.4740502571248604e-85,9.0062822018921777e-56,4.3061428934202968e-56,1.6743164515529448e-50,-1.285460577747669e-75,4.1195216223493648e-48,4.6346443065435351e-73,1.1291193733054715e-54,1.2078575768086611e-32,1.3149177900953273e-44,3.1557458035046654e-36,3.0085812232549811e-24,1.2897538658006865e-58,3.5194546661106959e-77,4.2450530703584669e-62,-2.0605238082554248e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.278805209556737e-24,3.2788051561173327e-24,3.0085812018092703e-24,2.2686531915421778e-25,1.9063902400227123e-25,9.5319511995574539e-26,7.4580028145223319e-32,1.4734958855314226e-31,8.8950861834313813e-32,1.078386608229824e-31,1.1712279305318363e-31,1.615557566261086e-31,2.4324407814004323e-41,3.7223956173234789e-32,5.302961248177235e-34,3.4487990997283928e-34,2.876027269860229e-34,2.386452419529292e-35,1.957354427695378e-40,1.1311494539971038e-33,5.5718052053049272e-34,7.2001093838915379e-35
3.0000000000000002e-15,0.0021943791888704854,5.1774609882910855e-28,3.0614105386882788e-36,3.2016376120967924e-37,3.3199271310750186e-36,2.6266219633826875e-46,0.0,0.0,1.6844756556181953e-24,1.9322606666618558e-36,6.0600252322287119e-55,6.731239078047409e-56,4.0910944182376346e-60,1.5636380133789884e-93,3.3495126209863561e-62,4.8547222085883048e-49,4.4109850841590745e-33,1.2212254327852618e-44,4.8959394164638419e-96,9.1824011801648572e-84,8.4916374558642537e-55,4.060076184978515e-55,1.1002607259303751e-49,1.0719365640329887e-73,3.8841202856428024e-47,7.0181752564017872e-72,1.0645981672819901e-53,7.9373496448336871e-32,1.2397795997069046e-43,2.0737757757435057e-35,9.88533788848977e-24,1.5845545938104395e-57,5.3298733288127346e-76,5.2153505414983392e-61,6.8352120930620677e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0773216757270147e-23,1.0773216406096923e-23,9.885337747560822e-24,7.4541432772950986e-25,6.2638511934369907e-25,3.131925596353014e-25,4.9009724230685619e-31,9.682972752297148e-31,5.8453413227801403e-31,7.0865404809523537e-31,7.6966405449527559e-31,1.0616520915597457e-30,2.2934441077645329e-40,2.4461452603175883e-31,3.484802764832543e-33,2.2663536171601216e-33,1.8899607138821296e-33,1.5682398944574332e-34,1.8455054711702746e-39,7.4332661131388624e-33,3.6614719159262045e-33,4.7315039027161429e-34
7e-15,0.0021943791888704854,1.1480462000441837e-27,7.818437913399203e-36,1.7400213121678661e-36,1.804308993575558e-35,4.2423945278667571e-45,0.0,0.0,3.7351419105679844e-24,1.0501417322885709e-35,9.7876377701026487e-54,1.0872092125512495e-54,2.0693293163751634e-58,1.3285379329121951e-91,5.4099646632684698e-61,2.6384434867917303e-48,2.3972739434353831e-32,1.972463656751677e-43,4.6099669874622852e-94,4.6445658631393431e-82,1.3715280380819041e-53,6.5576174714396566e-54,5.9795232887995876e-49,9.4053626062511506e-72,6.2734412669693177e-46,1.1590572584536277e-69,1.7194858775547186e-52,4.3137764658882502e-31,2.0024314406454632e-42,1.1270519176886822e-34,2.1919659594449524e-23,8.0148887877122559e-56,8.8019103551927663e-74,2.6379948081416575e-59,2.5309070134018264e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.3888434841902047e-23,2.3888432933352383e-23,2.1919658828531538e-23,1.652873367247084e-24,1.3889393387731961e-24,6.9446966918795338e-25,2.6635689451740733e-30,5.2624844496222385e-30,3.1768123066535531e-30,3.8513803870244268e-30,4.1829563178474397e-30,5.7698474957301337e-30,3.7042588736467373e-39,1.3294252474381362e-30,1.8939133397545173e-32,1.2317136502447329e-32,1.0271523374840916e-32,8.5230334640157597e-34,2.9807690024797126e-38,4.0398124307250586e-32,1.9899301198504223e-32,2.5714817148945138e-33
1.5e-14,0.0021943791888704854,2.4086479239786475e-27,2.0450615696491102e-35,7.69786068465851e-36,7.9822686475561479e-35,3.9455095471362644e-44,0.0,0.0,7.8364751451817433e-24,4.6458275059224931e-35,9.1023640567802323e-53,1.0111426402798341e-53,3.9798577525400869e-57,4.9440926551579272e-90,5.0313602883219496e-60,1.1672529127423842e-47,1.0605535818927936e-31,1.8344275489924686e-42,2.1194743110777039e-92,8.9326681210837836e-81,1.2755467022752739e-52,6.0986770313475319e-53,2.6452275162007275e-48,3.7340762702198464e-70,5.834415893852828e-45,4.5472514528737985e-68,1.5991519884171088e-51,1.9084143300332028e-30,1.8622981401604187e-41,4.9860766965405973e-34,4.598829489385557e-23,1.5414722778219221e-54,3.4531787781283825e-72,5.0735548782489611e-58,2.2726068422645526e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.0118864002017114e-23,5.0118855558596734e-23,4.598829150543591e-23,3.4677857518701093e-24,2.9140430009028607e-24,1.4570214995726082e-24,1.1783606790825924e-29,2.3281225753283887e-29,1.4054190970298796e-29,1.7038504560270165e-29,1.8505395075179243e-29,2.5525799236361192e-29,3.445029007706683e-38,5.8813660912626478e-30,8.378663749568641e-32,5.4490991888259532e-32,4.5441202918435769e-32,3.7705830665218516e-33,2.7721682432363283e-37,1.787208529815678e-31,8.8034488715627451e-32,1.1376324783510871e-32
3.1e-14,0.0021943791888704854,4.929857457850091e-27,5.818749352085977e-35,3.2086071811873984e-35,3.3271527547764905e-34,3.3300087330412524e-43,0.0,0.0,1.6039144513264078e-23,1.9364619482965787e-34,7.681845608979703e-52,8.5343205902964812e-53,6.7666393111571515e-56,1.7116288726567578e-88,4.2464461214494086e-59,4.8653576936808272e-47,4.420568093870476e-31,1.5482527988602035e-41,9.7447624351387273e-91,1.5187384439433497e-79,1.0765591834338183e-51,5.1472234205464552e-52,1.1024842159039859e-47,1.3053530639120379e-68,4.9242339757116914e-44,1.5523296165396099e-66,1.3496781523008418e-50,7.9545991419236179e-30,1.5717755160798022e-40,2.0782825202765693e-33,9.4125533042635692e-23,2.6208474761759192e-53,1.1788330728789482e-70,8.6261856687184331e-57,2.5793877453155771e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0257969428566724e-22,1.0257965909205251e-22,9.4125518919126727e-23,7.0975877436148424e-24,5.964231218367547e-24,2.9821156055206701e-24,4.9115937663829215e-29,9.7040146108034186e-29,5.8580090423963242e-29,7.1019426356464774e-29,7.7133669241372321e-29,1.0639591288364084e-28,2.9075968616922113e-37,2.4514463586006407e-29,3.492365280095094e-31,2.2712775081019424e-31,1.8940668792443781e-31,1.5716388262448698e-32,2.3397007924850359e-36,7.4493588309262994e-31,3.6694287041643933e-31,4.7419227245989647e-32
6.300000000000001e-14,0.0021943791888704854,9.9723008694851304e-27,1.8355157918920667e-34,1.3075290599345492e-34,1.3558365347652036e-33,2.7254385464967688e-42,0.0,0.0,3.2444494844832708e-23,7.8911906437876757e-34,6.2862979850158901e-51,6.9853537350431261e-52,1.1101351779378797e-54,5.6747007380085986e-87,3.4754616761525158e-58,1.9826961050885616e-46,1.8014027542992379e-30,1.2671585911717598e-40,4.8109591577862167e-89,2.4916007634125832e-78,8.8110462113391421e-51,4.2126394320570949e-51,4.4919318536854995e-47,4.3448979798732586e-67,4.0302107081131839e-43,5.0995558293307937e-65,1.1046320811356278e-49,3.2415397844518294e-29,1.2864106234233242e-39,8.4691074441585655e-33,1.9039987954024301e-22,4.2997745514561148e-52,3.8725572034087218e-69,1.4152187027453768e-55,3.2597169171534966e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.0750124270676742e-22,2.0750109929109937e-22,1.9039982198627842e-22,1.4357100618276437e-23,1.20645312270997e-23,6.0322655986225814e-24,2.0014863952546484e-28,3.9544349723099134e-28,2.3871528078637743e-28,2.8940786349269437e-28,3.1432364201225159e-28,4.3356871233754672e-28,2.3797058979358311e-36,9.9897027434623211e-29,1.4231519262492532e-30,9.2555657877656437e-31,7.7184143387383363e-31,6.4044675527793521e-32,1.9149096163031349e-35,3.0356244236419052e-30,1.4953107873587744e-30,1.9324185458438574e-31
1.2700000000000001e-13,0.0021943791888704854,2.0057285067380561e-26,6.3384299848062777e-34,5.2765048123038429e-34,5.4714433590280908e-33,2.203469794662133e-41,0.0,0.0,6.5255241889463475e-23,3.1844546260432814e-33,5.0809216400806561e-50,5.6482761831428025e-51,1.7966060813307885e-53,1.8464420962038675e-85,2.8097969976154569e-57,8.001368697428764e-46,7.2694523164189403e-30,1.0244666758621129e-39,2.591996704657427e-87,4.0321875441110422e-77,7.123530416742334e-50,3.4056930341289826e-50,1.8120920325276882e-46,1.4164476859286059e-65,3.2583262232244901e-42,1.6513554506395719e-63,8.9306113225177663e-49,1.3081057795578531e-28,1.0400314718544208e-38,3.4176623328392191e-32,3.8294805333704518e-22,6.9586482741906599e-51,1.2540087000061989e-67,2.2903634242535899e-54,4.4956794561950212e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.173438909651265e-22,4.1734331221987084e-22,3.8294782108159729e-22,2.8875761941706989e-23,2.4264825547625806e-23,1.2132412713575709e-23,8.0767835902336017e-28,1.5957903165268546e-27,9.6330981117163067e-28,1.1678903098974977e-27,1.2684359879704803e-27,1.7496424518517684e-27,1.923933889068828e-35,4.0312367571627259e-28,5.7430138958889524e-30,3.7350284154715563e-30,3.1147202077043937e-30,2.5844550842131216e-31,1.5481493815708375e-34,1.2249876945596702e-29,6.0342442504799003e-30,7.7986605470009545e-31
2.55e-13,0.0021943791888704854,4.0227642954126757e-26,2.3326942515939451e-33,2.1197193321920533e-33,2.1980274071642263e-32,1.7717607238568013e-40,0.0,0.0,1.3087692150372045e-22,1.2792698659832186e-32,4.0831399271643377e-49,4.5428399768841529e-50,2.8902158409150835e-52,5.9560110952165419e-84,2.2592088455856605e-56,3.2145674478694396e-45,2.9202866149410436e-29,8.2373613529477943e-39,1.4982669252787205e-85,6.4861752032729979e-76,5.7277947245784703e-49,2.7381957062644878e-49,7.2747262381269328e-46,4.5737415219359934e-64,2.6199001521020066e-41,5.3142523608378086e-62,7.1806674851923891e-48,5.2549420013504181e-28,8.3625121706339412e-38,1.3729484041161472e-31,7.6804232414819458e-22,1.1194551448848767e-49,4.0354434968847904e-66,3.6845927214221755e-53,6.6049861590112127e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.3702739315415377e-22,8.3702506821721674e-22,7.6804139113177805e-22,5.7911626960344655e-23,4.8664191463727392e-23,2.4332095489886774e-23,3.2445323068377235e-27,6.4106290265855237e-27,3.8697201451981907e-27,4.6916710748405466e-27,5.0955799029087483e-27,7.0286853091670301e-27,1.5469647368288129e-34,1.6193914174306767e-27,2.3070612174724459e-29,1.5004372335723279e-29,1.2512468309911168e-29,1.0382046156168765e-30,1.244797150742999e-33,4.9208615994556658e-29,2.4240845815505004e-29,3.1332834651379395e-30
5.11e-13,0.0021943791888704854,8.0569916631073535e-26,8.9235937928551857e-33,8.4970964147510154e-33,8.8109682434375089e-32,1.4209739625171624e-39,0.0,0.0,2.6212102282438691e-22,5.1279587329657585e-32,3.271021528408389e-48,3.6453170139928984e-49,4.6363724391110929e-51,1.9129916612884207e-82,1.8117754308075557e-55,1.2887451487359302e-44,1.1705802483482473e-28,6.6062316023965972e-38,9.0674692650492955e-84,1.0403460125392572e-74,4.5936392170175821e-48,2.1956725646415397e-48,2.9121794345953377e-45,1.4701210376677654e-62,2.1011168560039603e-40,1.7052037335239897e-60,5.7586036301231631e-47,2.1064259414730771e-27,6.7066005389744727e-37,5.5034178521214349e-31,1.538222558730231e-21,1.7958230130749603e-48,1.2948028788599703e-64,5.9108900876765902e-52,1.0092517334033973e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.6763872202828342e-21,1.6763779009078517e-21,1.5382188187941596e-21,1.1597752708744075e-22,9.7458032898493826e-23,4.8729015479363093e-23,1.3004916255067483e-26,2.569676356027845e-26,1.5510823365482918e-26,1.8806444761264277e-26,2.0425461596615103e-26,2.8174215065577971e-26,1.2406408214348778e-33,6.4909316100528038e-27,9.2475303464651837e-29,6.0144209380328724e-29,5.0155554168829251e-29,4.1613958753988796e-30,9.9828637616507557e-33,1.9723688940940621e-28,9.7168540495351886e-29,1.2562819869188241e-29
