Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549),S(1413),S(1424),S(1776),S(1779),S(975),S(2129),S(1032),S(2133),S(2134),S(372),S(2383),S(1979),S(986),S(2393),S(1847),S(1351),S(1244),S(174)
0.0,0.005717764376587323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.005717764376587323,3.7335783707632683e-32,1.2732515855320255e-41,2.7199666035425554e-40,1.9572738256752848e-41,7.1188927715919438e-49,0.0,0.0,1.0327344416635991e-27,5.5908313238355099e-41,1.5255590177627792e-62,6.2274072102369492e-63,5.9438910544471452e-59,2.2005574874796729e-90,3.3098100696130817e-61,1.83143035016927e-55,9.4056789986096791e-28,2.0683219822462994e-40,4.9192068677161064e-109,7.454722776938554e-95,3.3992054603527983e-62,5.0573573033059534e-63,7.2879390712547752e-57,-2.4593149244992171e-72,1.8980468230607492e-43,1.6191944317082879e-76,5.3273163371802711e-61,2.7215409788292364e-36,2.6166995734422229e-39,2.8496393736739192e-40,1.9448829796986037e-27,3.7728200374311996e-55,6.6581797958470461e-69,1.182440590501633e-64,1.4098331514769524e-49,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.9218138470555338e-27,1.9218138359294159e-27,1.9448829749298576e-27,4.4680369166345217e-28,3.8069836583730132e-28,1.903491829282485e-28,5.3693715147535007e-35,3.4891080450601367e-35,6.2953422286934974e-35,2.3410959087311153e-35,2.7625266103620727e-35,3.4724729720607132e-35,9.2370756472527518e-36,2.6729048128237471e-35,2.3007388209605424e-37,3.649515365115553e-38,2.886581424287193e-38,1.2059116828247835e-38,2.998616497033618e-44,3.827943020613491e-37,9.176469495055436e-38,1.0650252972080218e-37,5.6551141053052319e-52,4.0569923072051096e-38,3.9879038166193352e-47,5.5449670599769106e-45,1.526788686670384e-44,1.4920390473913655e-29,9.4056788884084827e-28,1.7029914634985183e-35,2.7105326308408468e-37,3.1792240034879363e-36,4.3350321547444971e-43,6.3989588943502225e-41,9.6708446539049508e-52,6.8414901548802653e-46,8.0213339235070581e-46,2.0347688332840821e-47,1.3980038912312588e-47,3.452127455650783e-60,1.7875987888285089e-60,1.5448910784969831e-64,5.0342884234459309e-49,8.5985101116025193e-49,1.0188081973296254e-72,8.8070212841678305e-75,1.5037208833366243e-40,2.1475006123076791e-47,3.4498549820985307e-48,1.8743660773181059e-50,1.8420170238538691e-50,5.345654728101136e-73,8.05420250828845e-52,1.7647253301223739e-77,5.1213281109324848e-46,7.1801642037313929e-65,2.9448264152929191e-69,2.9448647061996458e-69,3.8262947304849253e-74,4.981101454852677e-45
3.0000000000000002e-15,0.005717764376587323,1.2267471929496305e-31,4.6337202108534955e-41,1.787407131081435e-39,1.2862085203901424e-40,6.7121002229979074e-48,0.0,0.0,3.3932703174382586e-27,3.6739748742399308e-40,1.4384913604302659e-61,5.8715556399071085e-62,5.6042400138363758e-58,2.0748123987093827e-89,2.1750179552340972e-60,1.2035113703966811e-54,3.0904373549905786e-27,1.3591830111174797e-39,1.9555485934966954e-107,9.1586580995815455e-94,3.204965133391152e-61,4.768364835619176e-62,4.7892102207589608e-56,1.4545091708768442e-70,1.2472879067504716e-42,2.9061788671732333e-75,5.0228980758817985e-60,1.7884412025448447e-35,1.7195454266542518e-38,1.872620147193525e-39,6.3903296911565869e-27,3.5572302093931034e-54,8.1799951958226613e-68,1.7905221067491119e-63,1.3292598000646824e-48,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.3145311333239929e-27,6.3145310602095156e-27,6.39032965981911e-27,1.4680690656927598e-27,1.2508658827337491e-27,6.2543294142995476e-28,3.5284439208117691e-34,2.2928424115925972e-34,4.1369389238971862e-34,1.5384344493283687e-34,1.8153746173981764e-34,2.2819107921059018e-34,6.0700782565839088e-35,1.7564801969141459e-34,1.5119139860236499e-36,2.3982529172593591e-37,1.8968963348000214e-37,7.9245623461486011e-38,2.827266856713287e-43,2.5155050647647221e-36,6.0302513307603501e-37,6.9987372569011618e-37,5.3318171676165184e-51,2.6660233812821935e-37,3.7600234676102332e-46,5.2281116138433675e-44,1.439543559506057e-43,4.9024139295149459e-29,3.0904372825726542e-27,1.1191086655284847e-34,1.7812071441975207e-36,2.0892042014853123e-35,4.0873158347664489e-42,4.205033522008709e-40,9.1179325080975301e-51,6.4505475832414027e-45,7.5629716601603627e-45,1.9184964126710153e-46,1.3181176495901967e-46,4.2411512655293095e-59,2.1961487356970794e-59,2.3393684077851088e-63,4.7466197094800176e-48,8.1071870663568077e-48,1.8338296191246832e-71,1.5852424322770887e-73,9.8815937627940637e-40,2.0247862031896448e-46,3.252720394876358e-47,1.7672595890149029e-49,1.736758724763763e-49,9.6220393109682187e-72,7.5939896219884383e-51,3.1764623164499821e-76,3.3654440381235238e-45,8.8212847567253063e-64,4.4592730906850741e-68,4.4593420138540921e-68,6.8872842386574308e-73,3.2732547627225725e-44
7e-15,0.005717764376587323,2.7201786482671813e-31,1.3171576846210398e-40,9.714187081790459e-39,6.9902639232241776e-40,1.0841078447652019e-46,0.0,0.0,7.5242081538422675e-27,1.9967254903052052e-39,2.3249672310619038e-60,9.4834559715146985e-61,9.0516949254594887e-57,3.351128528538839e-88,1.1820746555744127e-59,6.5408225612680096e-54,6.8527087228269776e-27,7.3868639861892066e-39,2.4673978165147292e-104,4.632568758717051e-92,5.1765040699980695e-60,7.7016224836465843e-61,2.6028063369866521e-55,2.8063360413468439e-69,6.7787384274874315e-42,1.600506067352263e-72,8.1127387004649919e-59,9.7197887158382549e-35,9.3453553206962344e-38,1.0177282961313963e-38,1.4169860850230303e-26,5.7454641100242223e-53,4.1372262166029805e-66,2.9566832675575166e-61,2.1467863763364146e-47,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.4001785921386886e-26,1.4001785524025628e-26,1.4169860679917997e-26,3.2552822489922787e-27,2.7736579958885225e-27,1.3868289982871139e-27,1.9176317966252726e-33,1.2461099425780428e-33,2.2483354700172886e-33,8.3610566136862028e-34,9.8661659650310073e-34,1.2401688447229817e-33,3.2989554826469498e-34,9.5460841840751684e-34,8.2169204306436533e-36,1.3033981938896815e-36,1.0309218159406856e-36,4.3068268634384903e-37,4.5664624789261149e-42,1.367121084335645e-35,3.2773103229934346e-36,3.803660101042978e-36,8.6095086339662968e-50,1.4489252736869187e-36,6.0730056625102807e-45,8.4441896472431706e-43,2.3250800825274676e-42,1.0870569481329873e-28,6.852708329251334e-27,6.082111941856655e-34,9.6804731425175808e-36,1.1354365579543596e-34,6.6016314490958377e-41,2.2853562993207197e-39,1.4722514340493763e-49,1.0418607600587831e-43,1.2215340326445787e-43,3.0986636334915749e-45,2.1289552034276542e-45,2.1450276995605532e-57,1.1105751969030215e-57,3.8625497405748836e-61,7.6665827106511867e-47,1.3094637339531747e-46,1.020726748572703e-68,8.8236407980686096e-71,5.3704292234577251e-39,3.2703351949734603e-45,5.2536360251717944e-46,2.854394144922096e-48,2.8051257699389244e-48,5.356328702764563e-69,1.2265847379740104e-49,1.7680512962444587e-73,1.8290451457371101e-44,4.4615656279869147e-62,7.3636563588851885e-66,7.3640400397153951e-66,3.8340067145889223e-70,1.7787996649674746e-43
1.5e-14,0.005717764376587323,5.7070418312969393e-31,3.9016000616414766e-40,4.2975695132633023e-38,3.0924929253199007e-39,1.0082434957616571e-45,0.0,0.0,1.5786084004194727e-26,8.8335136806306548e-39,2.1645770544864774e-59,8.8197977928117894e-60,8.4182434443009761e-56,3.1166026139529015e-87,5.2294959238585122e-59,2.8936598254240674e-53,1.4377250868953537e-26,3.2679484770795341e-38,3.8517460060258466e-102,8.9096305128806427e-91,4.8142455824673651e-59,7.1626399731314019e-60,1.1514629811960584e-54,5.032339787839525e-68,2.9989137361640782e-41,1.2664741702269577e-70,7.5449952062526924e-58,4.3000342130335225e-34,4.1343850035749602e-37,4.5024296533280891e-38,2.9728921234543538e-26,5.3433870059529073e-52,7.9560300372051107e-65,1.1598055843906198e-59,1.9963041708094965e-46,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9376293969834795e-26,2.9376292211908845e-26,2.9728920481082028e-26,6.8297045852405292e-27,5.819238785344273e-27,2.9096193941889547e-27,8.4835974166105179e-33,5.5127899176669959e-33,9.9466294929734624e-33,3.6989313164470228e-33,4.3647915040748967e-33,5.486506498493105e-33,1.4594578382178789e-33,4.2231848190675046e-33,3.6351630951080295e-35,5.7662326491902317e-36,4.5607973409966513e-36,1.9053398379626131e-36,4.2468930537242681e-41,6.0481346122764758e-35,1.4498819525115839e-35,1.682738161898873e-35,8.0038197441814011e-49,6.4100419052239504e-36,5.6480063779754777e-44,7.8532507907711537e-42,2.1623668170251816e-41,2.2806878961594777e-28,1.4377249127775142e-26,2.6907260505759542e-33,4.2826409748642137e-35,5.0231675985591997e-34,6.1396368531019513e-40,1.0110504411772961e-38,1.3685903491942523e-48,9.6894945539551557e-43,1.1360488666479758e-42,2.8818171331693665e-44,1.9799616931885623e-44,4.1248622013043021e-56,2.1351590334802144e-56,1.5148350381264758e-59,7.1301718345622212e-46,1.2178698880957247e-45,8.0939657172572945e-67,6.9968407521752058e-69,2.375876294181689e-38,3.0414711784294856e-44,4.8859797073859332e-45,2.6546432338049868e-47,2.6088156321669883e-47,4.2482229489986795e-67,1.1408057025685316e-48,1.4019987871965657e-71,8.0916918506469946e-44,8.5797231440561873e-61,2.8884387276426712e-64,2.8887430257956094e-64,3.0407595731567606e-68,7.8683579737846048e-43
3.1e-14,0.005717764376587323,1.1680769286934141e-30,1.2577969449562265e-39,1.79131229083932e-37,1.289004871494982e-38,8.5096062565020837e-45,0.0,0.0,3.2309836415077235e-26,3.6819619414674644e-38,1.8307359313744458e-58,7.4439047413635205e-59,7.1049794678183006e-55,2.6303916764886121e-86,2.1797427677439127e-58,1.2061275871147807e-52,2.942633280302207e-26,1.3621375338128688e-37,5.2374267258950792e-100,1.5148336229566138e-89,4.0632149668318022e-58,6.0452343074708106e-59,4.7993465789855132e-54,8.6107665362530334e-67,1.2499991884907282e-40,8.6523408834144183e-69,6.3679571552269597e-57,1.7923286514382079e-33,1.7232832867682353e-36,1.8766905731803884e-37,6.0847034267835132e-26,4.5098060117912249e-51,1.3523885641611517e-63,3.9582057527345019e-58,1.6844674042581964e-45,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.0125303956020336e-26,6.0125296628681876e-26,6.0847031127277734e-26,1.3978533136370439e-26,1.191038661687177e-26,5.9551933147583093e-27,3.5361060725976469e-32,2.2978261573741163e-32,4.1459224458985781e-32,1.5417786801401125e-32,1.8193206112612456e-32,2.2868707701422267e-32,6.0832730810944115e-33,1.7602944456475639e-32,1.5151970443033718e-34,2.4034650865193259e-35,1.9010188769341743e-35,7.9417842234510877e-36,3.5843663631318771e-40,2.5209601156215259e-34,6.0433585806146208e-35,7.0139360879684516e-35,6.7499366778132864e-48,2.6718138873494413e-35,4.766903578678178e-43,6.6281243469066799e-41,1.8250319778728056e-40,4.6679491428664893e-28,2.9426325545490342e-26,1.1215411064751312e-32,1.7850788245785123e-34,2.0937404144169082e-33,5.1818365448375631e-39,4.2143055704083903e-38,1.1540430860672211e-47,8.1779078419227514e-42,9.5882224645537262e-42,2.4322520230876089e-43,1.6710735496713451e-43,7.0112194376281797e-55,3.6276725868048018e-55,5.1676949471298006e-58,6.0180293877818882e-45,1.0279532485912548e-44,5.5336310809227282e-65,4.7836062361697945e-67,9.9030518535304841e-38,2.5669935992862035e-43,4.1237583853097044e-44,2.2405197872638274e-46,2.2018296129987262e-46,2.9056042927989727e-65,9.6293579758977599e-48,9.5851363924761405e-70,3.3727544775447316e-43,1.4583980562164246e-59,9.8571257390410123e-63,9.8592068832411494e-63,2.079624553815807e-66,3.2788116049827474e-42
6.300000000000001e-14,0.005717764376587323,2.3628228556511709e-30,4.39606502335866e-39,7.299781703910531e-37,5.2527658500034801e-38,6.9647254800845769e-44,0.0,0.0,6.5357344077551208e-26,1.500419532174605e-37,1.5046207843737053e-57,6.0924452927353613e-58,5.8150305237351613e-54,2.1528060514911331e-85,8.8825544247211067e-58,4.9150348246800187e-52,5.9524487238423732e-26,5.550783323948364e-37,6.8687050216173909e-98,2.485234095294748e-88,3.3255187057122389e-57,4.9476578241278164e-58,1.9556371595783618e-53,1.4227575335070014e-65,5.0938135268771915e-40,5.6818412687621893e-67,5.2118143994451099e-56,7.3038343697163672e-33,7.0224715882758348e-36,7.6476136837828254e-37,1.2308322939309414e-25,3.6910234371745655e-50,2.217705631622114e-62,1.2995881169535666e-56,1.37797554251229e-44,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2162329948555998e-25,1.216232696262751e-25,1.2308321659516044e-25,2.8276125753456451e-26,2.4092627290640174e-26,1.204631367108433e-26,1.4409786622987949e-31,9.3637631044612263e-32,1.6894814966710344e-31,6.2828308758222722e-32,7.4138280432974827e-32,9.3191192924108224e-32,2.4789663248715299e-32,7.1732766461625859e-32,6.1744935645641853e-34,9.7942442131006828e-35,7.7467499040624063e-35,3.2363177154159622e-35,2.9336007650096501e-39,1.0272989219361249e-33,2.4627005057655169e-34,2.8582099354903006e-34,5.5158632800159905e-47,1.0887763293967556e-34,3.9014426278266824e-42,5.424747000012158e-40,1.4936855477086232e-39,9.4424690388967749e-28,5.952445766360541e-26,4.5703390273858737e-32,7.2742907433629501e-34,8.5320810329148933e-33,4.24103874827727e-38,1.7174106810021411e-37,9.428197327250184e-47,6.6931548140697127e-41,7.8474175285097113e-41,1.990670387842256e-42,1.3676646177605026e-42,1.1496195609605535e-53,5.9431577544276413e-54,1.6952725026679967e-56,4.9257155542467266e-44,8.4144282657725819e-44,3.6328642663444114e-63,3.1405345388256944e-65,4.0355367883866202e-37,2.1009389209185203e-42,3.3750700780934149e-43,1.8337515631922765e-45,1.8020665814363589e-45,1.9091396458878647e-63,7.8826975138327707e-47,6.2927561208659187e-68,1.3744131773156745e-42,2.3915199698508075e-58,3.2359620617720898e-61,3.2373293137440314e-61,1.3662535887871555e-64,1.3354385387361858e-41
1.2700000000000001e-13,0.005717764376587323,4.752316452881904e-30,1.6284580761556852e-38,2.945861962523771e-36,2.1197292938358478e-37,5.6309508825714404e-43,0.0,0.0,1.314523707653238e-25,6.0548714953078931e-37,1.2265759330454599e-56,4.925632035005108e-57,4.7013112888353297e-53,1.7404539939297639e-84,3.5844995919830567e-57,1.9834382729350018e-51,1.1972075837830901e-25,2.2399911266121266e-36,8.8880075891586513e-96,4.0220120139665859e-87,2.6886065482681376e-56,4.0000126244512971e-57,7.8908912039651761e-53,2.3121058046631047e-64,2.0555831949187065e-39,3.6755843951532456e-65,4.2136186310674255e-55,2.9474255723347826e-32,2.8338836388019153e-35,3.0861559878822827e-36,2.4755549587843848e-25,2.9840998640248883e-49,3.5857534840378581e-61,4.2037168137515284e-55,1.1129828180827837e-43,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.4461919277339136e-25,2.4461907227781763e-25,2.4755544423305616e-25,5.6871053049273654e-26,4.8456888683026004e-26,2.4228444445482596e-26,5.814969976571836e-31,3.7786990930253699e-31,6.8177860197448144e-31,2.5354055092074536e-31,2.9918129692465129e-31,3.7606832851915178e-31,1.0003745855134043e-31,2.8947262449015398e-31,2.4916738433752332e-33,3.952415048974192e-34,3.1261595645645193e-34,1.3059985030111677e-34,2.3717390893035207e-38,4.1455670610807299e-33,9.9381023456230453e-34,1.1534111895011664e-33,4.4456302601043715e-46,4.3936858407282126e-34,3.1542172774902619e-41,4.3857698421944261e-39,1.207605957307529e-38,1.8991498441423491e-27,1.1972063903068863e-25,1.8443368921665398e-31,2.9355032317109019e-33,3.4430603697525381e-32,3.4287669632607168e-37,6.9309984824048492e-37,7.5951323238510041e-46,5.4112407200033349e-40,6.3444319539047367e-40,1.6094207130559788e-41,1.1056976239271261e-41,1.8584341409581627e-52,9.5911310109254692e-53,5.4744299523768957e-55,3.9827955525059512e-43,6.8048050183586849e-43,2.3468572955046049e-61,2.0288944065165097e-63,1.628512967876954e-36,1.6985540663982798e-41,2.7286675542376174e-42,1.4825610550098918e-44,1.4569134430079167e-44,1.2353747153668895e-61,6.3755615772619173e-46,4.0652352144625243e-66,5.5463576445361624e-42,3.866712204090465e-57,1.0464578284512412e-59,1.0473423306813894e-59,8.838563316309662e-63,5.3835013332149334e-41
2.55e-13,0.005717764376587323,9.5313106205558377e-30,6.2509552788324348e-38,1.1834760509695081e-35,8.5154414432159328e-37,4.5278680526903502e-42,0.0,0.0,2.6364246959207794e-25,2.4323799719395759e-36,1.0025335523314949e-55,3.9605834799015817e-56,3.7801547686864583e-52,1.3993759021018585e-83,1.4399648729094721e-56,7.9679190644686402e-51,2.4011314973459604e-25,8.9985470119721881e-36,1.1432444068747511e-93,6.4702177223609165e-86,2.1618199489129843e-55,3.2161872689349329e-56,3.1691565068255874e-52,3.7278655195570011e-63,8.2577387063890888e-39,2.3604038537325564e-63,3.3880073863662685e-54,1.1840464917941964e-31,1.1384346503035455e-34,1.2397775931807592e-35,4.9649953378941553e-25,2.3994019484892548e-48,5.7578194475578714e-60,1.3498212011015354e-53,8.9318235261791269e-43,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.9061058826468397e-25,4.9061010420766284e-25,4.9649932631869171e-25,1.1405987590621164e-25,9.718453166315652e-26,4.8592266249239766e-26,2.3359813815098752e-30,1.5179873005364926e-30,2.7388312007875614e-30,1.0185294626420328e-30,1.2018779008160221e-30,1.5107499313697688e-30,4.0187291894565827e-31,1.1628652215399185e-30,1.0009512850796304e-32,1.5877708385971332e-33,1.2558460365262279e-33,5.2464771092276241e-34,1.9070200897455262e-37,1.6653296626404402e-32,3.9923558252371515e-33,4.6334691765400147e-33,3.5525608527472527e-45,1.7650284383821956e-33,2.5361849627671368e-40,3.5264285463433015e-38,9.7098816596018126e-38,3.8089515688350289e-27,2.4011267028918297e-25,7.4091087961512028e-31,1.1792568943154033e-32,1.3831396027701784e-31,2.756931536762793e-36,2.7847173549996262e-36,6.0634716329900295e-45,4.3509628551760488e-39,5.101304708838275e-39,1.2940963094044621e-40,8.890096250237028e-41,2.9830347099695439e-51,1.5342942287218543e-51,1.7519952311884721e-53,3.2031841042808038e-42,5.4746232551723485e-42,1.5023496555641518e-59,1.2989143140288338e-61,6.5420383962343446e-36,1.365739364850606e-40,2.1940314327837939e-41,1.1921017388974144e-43,1.1714294586635612e-43,7.9345491185730417e-60,5.130526135543798e-45,2.6024629410023085e-64,2.2280813203820311e-41,6.2087345558955742e-56,3.358503977476516e-58,3.3641820553792274e-58,5.673931227331664e-61,2.158191932148068e-40
5.11e-13,0.005717764376587323,1.9089326848366363e-29,2.4475143683910172e-37,4.7444052016359379e-35,3.4134130101683807e-36,3.6316410728062289e-41,0.0,0.0,5.2802284904970421e-25,9.75017785548453e-36,8.3017424355128051e-55,3.1764256469655648e-55,3.0316275237249083e-51,1.1221817346824891e-82,5.7720058892524712e-56,3.1939307977974158e-50,4.8089732875474492e-25,3.6070545987796876e-35,1.4659882787868881e-91,1.0379183092658526e-84,1.7337607624368738e-54,2.5792080564755826e-55,1.269717697349906e-51,5.9877699984129771e-62,3.3101024467794045e-38,1.508130773545133e-61,2.7171130503709518e-53,4.7462292773370684e-31,4.5633988853498564e-34,4.9696264362688648e-35,9.9438562938039163e-25,1.9242762945425146e-47,9.2026070535859919e-59,4.3122040028820533e-52,7.1356435295019669e-42,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.8259181491476303e-25,9.8258987458508705e-25,9.9438479773991849e-25,2.2843339483108018e-25,1.9463629853255093e-25,9.7318150940400159e-26,9.3635669524015005e-30,6.0848228415525258e-30,1.0978353473710328e-29,4.082762070730069e-30,4.8177061882931451e-30,6.0558118322551898e-30,1.6109017982506389e-30,4.6612381412831718e-30,4.0122185438438651e-32,6.3645326369870057e-33,5.0340213999933177e-33,2.1030332111641221e-33,1.5293859491291367e-36,6.6751481174692949e-32,1.6003277537285989e-32,1.8572854520726181e-32,2.8144216775911135e-44,7.0749807584074298e-33,2.0339705939766624e-39,2.8281256815564369e-37,7.7871121807910563e-37,7.6285383949767468e-27,4.8089540691080842e-25,2.9699254738140027e-30,4.7270292370633995e-32,5.5441748305845658e-31,2.210991737663287e-35,1.1165543495458816e-35,4.7944713866512405e-44,3.4893740983881667e-38,4.0911313443955679e-38,1.0378766239025131e-39,7.1290515437658296e-40,4.7640926612196844e-50,2.4339949413990931e-50,5.5602116960723612e-52,2.5701275791613843e-41,4.3955776111380337e-41,9.5370318753845742e-58,8.2470029030749628e-60,2.6223156479724935e-35,1.0952918223973784e-39,1.7595936888882717e-40,9.5609247804622294e-43,9.3943349024279199e-43,5.0700266628377665e-58,4.1212885630913461e-44,1.6521742178223903e-62,8.9311115589405402e-41,9.9226394202946676e-55,1.0718503951318875e-56,1.0754749077598352e-56,3.6218652559209048e-59,8.6153624623674573e-40
