Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549),S(1413),S(1424),S(1776),S(1779),S(975)
0.0,0.0030257426929553902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0030257426929553902,9.3333980276730659e-27,6.6975976403386036e-35,1.4093080445082453e-34,3.3920478062761441e-35,1.0575104729272574e-42,0.0,0.0,4.2206608450618319e-24,3.9756117033122164e-36,3.2067791953006432e-53,1.5675852218317394e-53,1.1711812558194549e-50,-5.5739257990947054e-81,1.6593058312513863e-50,2.1502943686990331e-46,5.4445197070810057e-23,1.3426772683141956e-34,-3.1431472760027185e-93,8.6488477381050175e-81,5.3174945949158041e-53,4.367123007251981e-53,6.9447019667958524e-48,-1.4716785155846287e-61,7.3723638784163966e-37,1.5373027565606297e-67,2.8739175432052376e-52,4.0036182232642366e-31,1.5132888469587452e-33,1.4015980880205364e-34,8.2377577478750681e-23,4.7526947816769444e-47,2.5870958779227823e-71,1.0416795619756684e-56,1.150584612925205e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.3772149938276591e-23,9.377214868895259e-23,8.2377576682799382e-23,1.8238192473525008e-24,1.521311623606047e-24,7.6065581211287552e-25,4.3736338705242367e-31,2.9620179876572837e-30,5.240813807640635e-31,2.1049143729849075e-30,2.0806868415410309e-30,3.3695611682121067e-30,1.1605602115605266e-30,2.1773111872234819e-31,1.6617834524153873e-32,1.3619015973059002e-32,1.0856648502277557e-32,6.9714302189396052e-33,4.3706297731311279e-39,3.5350270821469272e-32,2.0981906390872791e-32,6.3082462989080579e-34,1.611525766416966e-46,2.2154728107341823e-33,5.1278971298148949e-42,6.1618350140684876e-40,1.8472453638685081e-40,1.2420612287560824e-25,5.4445195057851613e-23,2.0045013181339431e-30,4.5582569212780105e-33,1.069478652795225e-30,2.9732724704975643e-37,2.84567968062316e-36,1.9610174101266192e-47,4.8254819690654768e-41,5.7822518483852845e-41,2.6917950994041432e-43,1.0565731753846139e-42,1.1402306559872486e-52,6.4088075835710669e-54,1.0977437181853358e-57,4.9149767068863068e-44,5.918011679540078e-44,1.7237546235657994e-65,9.7855539609595795e-68,4.1206456132387769e-36
3.0000000000000002e-15,0.0030257426929553902,3.0666894929520175e-26,2.3502914017725689e-34,9.2611682709498104e-34,2.2290604830093058e-34,9.9708138718893875e-42,0.0,0.0,1.38678864427509e-23,2.6125448998669866e-35,3.0235758880449717e-52,1.4780093488983582e-52,1.1042565660711757e-49,3.2965804486285217e-79,1.0904008474229322e-49,1.4130505522215066e-45,1.7889135818719992e-22,8.8233076857902361e-34,1.8987432540223843e-91,1.062572800682484e-79,5.01363781009368e-52,4.1175720819933123e-52,4.5636576835624698e-47,8.7039272957895378e-60,4.84469620650138e-36,2.7667537734364802e-66,2.7096935037459522e-51,2.6309490825516318e-30,9.9444694783111228e-33,9.2105016128217742e-34,2.7066917581390399e-22,4.4811118027040301e-46,4.6561170885126839e-70,1.5771339562792933e-55,1.742430754960596e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.081084855352693e-22,3.0810847732542557e-22,2.7066917058336677e-22,5.9925472310615143e-24,4.9985938942173031e-24,2.4992969491448473e-24,2.8741018579237691e-30,1.9464689301092384e-29,3.4439628713682316e-30,1.383229437158129e-29,1.3673084795392534e-29,2.214283015689549e-29,7.6265384623911613e-30,1.4308042901235496e-30,1.0920291213532512e-31,8.9496388994758793e-32,7.1343688854248599e-32,4.5812255000739582e-32,4.1208794436210358e-38,2.3230171306403543e-31,1.3788109903247899e-31,4.1454236359417353e-33,1.5193558396743525e-45,1.45588243754636e-32,4.8348754728134494e-41,5.8097309310443988e-39,1.7416898204986135e-39,4.0810581917874189e-25,1.7889134495918764e-22,1.317243689488502e-29,2.9954259318968517e-32,7.0280015421959476e-30,2.8033708676922869e-36,1.8700282482940402e-35,1.8488469439500162e-46,4.5497397011182018e-40,5.4518369187186045e-40,2.5379836907585297e-42,9.9619751944907765e-42,1.4008253007196199e-51,7.8733772867075079e-53,1.6622461363617837e-56,4.634150974846141e-43,5.5799058378305299e-43,3.1026770710404426e-64,1.7613567576182021e-66,2.70785340390749e-35
7e-15,0.0030257426929553902,6.8000607146687686e-26,6.1744967201130997e-34,5.0332475911122142e-33,1.2114476688917095e-33,1.6104387589496292e-40,0.0,0.0,3.0750536013425041e-23,1.4198615929585386e-34,4.8841085263961808e-51,2.3872151507640208e-51,1.783540976511704e-48,6.360392023232258e-78,5.9260870565773219e-49,7.6796207596239677e-45,3.9667211879336862e-22,4.7952756424022653e-33,1.996425298071771e-89,5.3746260079419963e-78,8.0977854333911246e-51,6.6504874028563055e-51,2.4802020613816202e-46,1.6793369666183537e-58,2.6329868690855196e-35,1.5392517835702654e-63,4.3765629046377798e-50,1.4298635059445893e-29,5.4046026681881583e-32,5.0057070147154039e-33,6.0017942963417152e-22,7.2376682993738795e-45,2.5903771636168713e-67,2.6028070000442845e-53,2.8766843947259873e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.8319703081203335e-22,6.8319698619332426e-22,6.0017940120734435e-22,1.3287811024119936e-23,1.1083829365787557e-23,5.5419146939601055e-24,1.5620104652322406e-29,1.0578634315301822e-28,1.8717172262275097e-29,7.517551007881957e-29,7.4310237677880356e-29,1.2034145490884434e-28,4.1448576098893091e-29,7.7761030459753129e-30,5.9349407170790576e-31,4.8639335884728238e-31,3.8773739332406691e-31,2.489796211486262e-31,6.6558438368019757e-37,1.2625069541087266e-30,7.4935379528626699e-31,2.2529640359309977e-32,2.4527656689722163e-44,7.9124153304155328e-32,7.8090717851675064e-40,9.3836071884951902e-38,2.81311271048123e-38,9.0493021023238874e-25,3.9667204690201355e-22,7.1589318976982939e-29,1.6279487170890384e-31,3.8195624012025348e-29,4.5278639850476825e-35,1.0163556753312599e-34,2.9845061003367047e-45,7.3485124405138334e-39,8.8055346894531084e-39,4.0993089520620125e-41,1.6090092532091272e-40,7.0837787554484994e-50,3.9806397994949341e-51,2.7439454889694638e-54,7.4853012948658099e-42,9.0133742522527406e-42,1.7265932620808741e-61,9.802002221335718e-64,1.471661482775204e-34
1.5e-14,0.0030257426929553902,1.4266833730635199e-25,1.6737888110157494e-33,2.2267116486574496e-32,5.3594573789692135e-33,1.497740078160636e-39,0.0,0.0,6.4515850912219658e-23,6.2814694093901875e-34,4.5431537565994031e-50,2.2201638049089601e-50,1.6587255646525669e-47,1.1405394317842933e-76,2.6216976027176058e-48,3.3974629320915268e-44,8.3223356955499302e-22,2.1214297429905239e-32,1.15143738461547e-87,1.0336783593445352e-76,7.5310934437655226e-50,6.1850556110413107e-50,1.0972089860164464e-45,3.0113916000790575e-57,1.164833244148476e-34,1.22042033485293e-61,4.0702817266558022e-49,6.3257152252229114e-29,2.3909959932069916e-31,2.2145245014319267e-32,1.2591997944881456e-21,6.7311582358628559e-44,2.0538217155235094e-65,1.0206604505149095e-51,1.1281398341235074e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.43337398269854e-21,1.4333737853054275e-21,1.2591996687279037e-21,2.7878305019630699e-23,2.3254272250842132e-23,1.1627136174378466e-23,6.9103239061067596e-29,4.6799869580007768e-28,8.2804643273135766e-29,3.3257643593625293e-28,3.2874844904368072e-28,5.3239049851602924e-28,1.8336848228109549e-28,3.440142676806978e-29,2.6256176557679473e-30,2.151803781519099e-30,1.7153498892660026e-30,1.101485655866275e-30,6.1900584171592343e-36,5.5853134505314777e-30,3.3151411623952532e-30,9.9672334752904101e-32,2.2793339122204948e-43,3.5004604633554693e-31,7.2626056551644246e-39,8.7269474786200591e-37,2.6162764300702216e-37,1.8985787366517688e-24,8.3223325150775754e-22,3.1671105916049478e-28,7.2020439563297484e-31,1.6897717207056398e-28,4.2109915700964996e-34,4.4966218919187402e-34,2.7732251768651765e-44,6.834244910098689e-38,8.1893008382711308e-38,3.8125520636571583e-40,1.4964078015070772e-39,1.3618818886270651e-48,7.6505694623257024e-50,1.0757921791170741e-52,6.9621204567543917e-41,8.384038455954502e-41,1.3686861115042909e-59,7.7704925682145424e-62,6.5106452752252432e-34
3.1e-14,0.0030257426929553902,2.920050205253977e-25,4.9524673131350404e-33,9.2813444503176663e-32,2.2339253785088858e-32,1.26409322253247e-38,0.0,0.0,1.3204654373956989e-22,2.6182268983449692e-33,3.8358098838930059e-49,1.8738294717813411e-49,1.3999600319950611e-46,1.9515261501992291e-75,1.0927663753907963e-47,1.4161204799578606e-43,1.7033561892754848e-21,8.8424858065794326e-32,8.0173987631832117e-86,1.7574760729930161e-75,6.3562324734542955e-49,5.2201397359395596e-49,4.57309518669582e-45,5.1527295357130827e-56,4.8552259794572841e-34,8.3429632751901985e-60,3.4353047646788506e-48,2.6366671656707439e-28,9.9660845220299482e-31,9.2305202636223918e-32,2.5772399530500973e-21,5.6810716440293115e-43,1.4040207818330723e-63,3.481579322027902e-50,3.8481724954410404e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9337273318036778e-21,2.9337265090353803e-21,2.5772394288599176e-21,5.7059158648929525e-23,4.7595045789182651e-23,2.3797523098653254e-23,2.8803344993977097e-28,1.9506991047918761e-27,3.451430947091352e-28,1.3862361515039757e-27,1.3702802600637598e-27,2.2190952215769148e-27,7.6431151689691301e-28,1.4339068611823644e-28,1.0944029235600596e-29,8.969088142633734e-30,7.1498733603627956e-30,4.5911818974683322e-30,5.2243972811125222e-35,2.3280414996297594e-29,1.3818083640832472e-29,4.1546141837169645e-31,1.9208027158576369e-42,1.4590591423481784e-30,6.1296645618450542e-38,7.3655573428485514e-36,2.2081808837686874e-36,3.8858747667382475e-24,1.7033548636003688e-21,1.3201059582365388e-27,3.0019359957546732e-30,7.0432399931595691e-28,3.5540586715838955e-33,1.8744854731061353e-33,2.3365933564916093e-43,5.7680758736168635e-37,6.9117374090770981e-37,3.217983144843452e-39,1.2629641253590362e-38,2.3137790911316747e-47,1.2990102751410191e-48,3.6676299814580338e-51,5.8770957936593869e-40,7.0784879475810113e-40,9.351431019209749e-58,5.3096083100911583e-60,2.7137620942879407e-33
6.300000000000001e-14,0.0030257426929553902,5.9068327854955634e-25,1.6173888595766518e-32,3.7822174751242827e-31,9.1034523422744785e-32,1.0345961974042737e-37,0.0,0.0,2.6710818151311947e-22,1.0669427989024945e-32,3.1416793803240513e-48,1.5336512708507859e-48,1.1457881191940058e-45,3.2243923572246761e-74,4.4530603374977435e-47,5.7707592312896333e-43,3.4456003015061992e-21,3.603359587928225e-31,7.2128590358088236e-84,2.8832965027563699e-74,5.2022320741180406e-48,4.2723385688384678e-48,1.8633482966008094e-44,8.513790452996317e-55,1.9785299458335948e-33,5.4766600310375059e-58,2.8115988459826802e-47,1.0744555567007368e-27,4.0612319858105324e-30,3.7614851998490654e-31,5.2133179855919917e-21,4.6496223667944035e-42,9.2165577816286514e-62,1.1420316974134782e-48,1.2621699076622304e-48,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.9344318113441323e-21,5.9344284585224538e-21,5.2133158494913483e-21,1.154203284662495e-22,9.6276143943389767e-23,4.8138072803248727e-23,1.1737450542403897e-27,7.9491989289697179e-27,1.4064684392814046e-27,5.6489861266841172e-27,5.5839635623408869e-27,9.0429268865569043e-27,3.1146096640516945e-27,5.843213089821899e-28,4.4597504858537621e-29,3.6549491599282643e-29,2.9136099269119151e-29,1.8709302769219104e-29,4.2758805785469426e-34,9.48678082806735e-29,5.6309438340970755e-29,1.6931075718328063e-30,1.5672751176848291e-41,5.9457975277992781e-30,5.0168563180714748e-37,6.0283518029235905e-35,1.8073535110258161e-35,7.8604627358970977e-24,3.4455948993161191e-21,5.3794975482860968e-27,1.2233044250660924e-29,2.8701407276642468e-27,2.9087843140356346e-32,7.6403788960126073e-33,1.9058706412889172e-42,4.7208293418624044e-36,5.6568481762072838e-36,2.6340624311450002e-38,1.0336644893043359e-37,3.7903592489664547e-46,2.125428125931819e-47,1.2016601637420092e-49,4.811840883083095e-39,5.7972300360466303e-39,6.1315439993443235e-56,3.4820392017657132e-58,1.105882610241331e-32
1.2700000000000001e-13,0.0030257426929553902,1.1880593608397375e-24,5.7273495327500857e-32,1.5263112304315091e-30,3.6737232102836902e-31,8.3645598284774067e-37,0.0,0.0,5.3723246553405702e-22,4.3056055668880033e-32,2.5436605545898837e-47,1.2399620223596794e-47,9.2633982800089198e-45,5.2395447551773303e-73,1.7969934303383062e-46,2.3287552744254312e-42,6.9300840171326312e-21,1.4541173677625758e-30,7.7834747225943577e-82,4.666168336332835e-73,4.2058936533348775e-47,3.4539925802062483e-47,7.5177371396276692e-44,1.3835435504641289e-53,7.9842546648773975e-33,3.5373877826569687e-56,2.2730981744241284e-46,4.3359088172860941e-27,1.6388894343802652e-29,1.5179277680161769e-30,1.0485464912363589e-20,3.7590766477546448e-41,5.952989325350769e-60,3.6873318035502534e-47,4.0743625813978887e-47,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1935831895759195e-20,1.1935818365638767e-20,1.048545629225441e-20,2.3214051838068225e-22,1.9363654459871255e-22,9.6818275654971995e-23,4.7365363081532008e-27,3.2078564133406278e-26,5.6756681285072099e-27,2.2796200962050108e-26,2.2533793904533449e-26,3.6492244495810623e-26,1.256884778140256e-26,2.3579722240726089e-27,1.7997102448882458e-28,1.4749348282261276e-28,1.1757714735187251e-28,7.5500391666673723e-29,3.45694904761222e-33,3.8282524373350441e-28,2.2723401684344604e-28,6.8330974555264703e-30,1.2594228912548661e-40,2.399440269495119e-29,4.0561147337012733e-36,4.8738616769840376e-34,1.4613312551917265e-34,1.5809622310118476e-23,6.930062216918012e-21,2.1708656832583815e-26,4.9365799743587098e-29,1.1582171676494614e-26,2.3516573419631123e-31,3.0846486988215094e-32,1.5304513372767671e-41,3.8166439069559516e-35,4.5733851458801217e-35,2.1300964212800071e-37,8.3569043069074082e-37,6.1160617896933551e-45,3.4213384093072884e-46,3.8707534029214923e-48,3.893109056591255e-38,4.693192908435066e-38,3.9511205884685231e-54,2.2446200407378085e-56,4.4628154746893458e-32
2.55e-13,0.0030257426929553902,2.3828897895683129e-24,2.1410382183669121e-31,6.1316640223978118e-30,1.4758733574089289e-30,6.7258019282915212e-36,0.0,0.0,1.077485067458818e-21,1.7296669938125015e-31,2.0511983832945294e-46,9.9707645041636754e-47,7.4483304460629321e-44,8.446636710831209e-72,7.2187891345339611e-46,9.3550839371852496e-42,1.3899033413094135e-20,5.8415113333377563e-30,9.2395468705805923e-80,7.506301582170349e-72,3.3818315456663087e-46,2.777086675612357e-46,3.0186688808749105e-43,2.2306503749302857e-52,3.207450275586604e-32,2.2637849023685777e-54,1.8276979363626657e-45,1.7418291534262746e-26,6.5837816058310108e-29,6.0978487567572268e-30,2.1029722212784738e-20,3.0224890404002459e-40,3.8096608153847433e-58,1.1797356231423583e-45,1.3029958585205632e-45,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.3938596566033477e-20,2.3938542212707994e-20,2.1029687584026044e-20,4.6557229968793186e-22,3.8835016359141353e-22,1.9417509527533116e-22,1.9027297530363821e-26,1.2886651301824529e-25,2.2799905388483399e-26,9.1577431839592263e-26,9.0523189673410868e-26,1.4659722006371774e-25,5.0491839399199295e-26,9.472282759613176e-27,7.2298400553692412e-28,5.9251296551492731e-28,4.7233267179106978e-28,3.0330142688719685e-28,2.7796131336284052e-32,1.5378218192913894e-27,9.1285057125911602e-28,2.7455272212255967e-29,1.0005216470210357e-39,9.6394363491186525e-29,3.2615490604921804e-35,3.919033468495234e-33,1.1752123185144953e-33,3.1707876001856856e-23,1.3898945837189624e-20,8.7208231312724938e-26,1.9831313677620451e-28,4.652706514751705e-26,1.8908437402912466e-30,1.2403066331939973e-31,1.2141984853364439e-40,3.068773814000953e-34,3.6772303842608388e-34,1.7135711212756672e-36,6.7194488652709837e-36,9.7811454215410461e-44,5.4457576142538329e-45,1.2326711854758335e-46,3.1348948572713801e-37,3.7837135692068763e-37,2.516859761558719e-52,1.4308657825901658e-54,1.7928781555410931e-31
5.11e-13,0.0030257426929553902,4.7728636970644902e-24,8.2632137738286198e-31,2.4579723563914464e-29,5.9164684515342111e-30,5.3942510078801115e-35,0.0,0.0,2.1580064067401428e-21,6.9334143106201474e-31,1.6545521795844094e-45,7.9974898575555492e-46,5.9733951889925396e-43,1.3563262366295259e-70,2.893531618968928e-45,3.7499328863084927e-41,2.7836860064240689e-20,2.3415578395858987e-29,1.150517903794307e-77,1.2040664161630858e-70,2.7122171103959781e-45,2.226950799062796e-45,1.2089284248767498e-42,3.5826853034914194e-51,1.2856986202999102e-31,1.4362267817948305e-52,1.4657570519323504e-44,6.9820752749576781e-26,2.6390953416750605e-28,2.4443077020138007e-29,4.2118090602152575e-20,2.4239126027835334e-39,2.4169675549391188e-56,3.7420405634285389e-44,4.1294966220088409e-44,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.7943983913218943e-20,4.7943766040336273e-20,4.2117951794509004e-20,9.3240147108943247e-22,7.7774867466021534e-22,3.8887439135787048e-22,7.6267187289881752e-26,5.1655733472430432e-25,9.1388866723439513e-26,3.6708663169497976e-25,3.6285996262729717e-25,5.8763031847633235e-25,2.0239546889685174e-25,3.7967738975329165e-26,2.8980710807704815e-27,2.3750680363534649e-27,1.8933297797990101e-27,1.2157746776958178e-27,2.2292163617379536e-31,6.1637507293600234e-27,3.6591526372492228e-27,1.1009563317790131e-28,7.8360559929942663e-39,3.8642318029198021e-28,2.6159918259477825e-34,3.1432261416268488e-32,9.4283718623691574e-33,6.3504121555963825e-23,2.7836509021094123e-20,3.4957041590730335e-25,7.9493247592078454e-28,1.8649411172072174e-25,1.5163657014639437e-29,4.9808433069351117e-31,9.4853065884467133e-40,2.4610275157383374e-33,2.9489817228594944e-33,1.3756018517617034e-35,5.3888393194870658e-35,1.5508270242089764e-42,8.5551937807675597e-44,3.8746529858215458e-45,2.5214948211818794e-36,3.0506594778790504e-36,1.5824164379952663e-50,9.0093757958078282e-53,7.1872475874871911e-31
