Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518)
0.0,0.0019293224364078188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0019293224364078188,4.3077601147416577e-30,1.0972329756055695e-38,8.2440241137964433e-38,1.0830153238158851e-38,7.4027413575945072e-46,0.0,0.0,5.6904468205479097e-26,2.0989947549320298e-38,2.5404272077275434e-58,9.2673332725047881e-59,4.6917040262621162e-55,-1.3983429603620255e-90,5.7509576667094989e-57,8.7633080618496469e-52,6.2798591530607478e-26,7.9868228602416776e-38,-1.7533246964842992e-102,6.1007218301038287e-89,1.6451603677756811e-58,5.9271698752488389e-59,4.3519555458920698e-53,-1.543463314711556e-67,1.4703175410903235e-40,1.4713982009305131e-75,5.0189972676660792e-57,4.787419265421609e-34,9.610740181266154e-37,9.8597429550371959e-38,1.1562153664442294e-25,1.9441230800385082e-51,4.7431116244075943e-80,2.0149187617543038e-64,-1.0922450686018832e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2066696155263279e-25,1.2066695953900233e-25,1.1562153612329778e-25,2.4610576796632713e-26,2.0816734072684289e-26,1.0408367028722989e-26,9.0515663201689799e-33,6.3627550292156763e-33,1.072451541107407e-32,4.6463941236262506e-33,5.41274483872574e-33,6.6815776483701212e-33,2.8714402755448652e-33,4.5261163003720412e-33,1.7499490088048315e-35,8.5831254544896741e-36,7.3230619398213997e-36,3.8941412242833607e-36,7.3187844493213661e-42,3.6002710839651225e-35,1.5179296416812841e-35,7.0584698956586911e-36,1.944474110238182e-49,2.7594800151171568e-36,4.4092586281217286e-45,1.1824525316051307e-42,3.0904066305142501e-42,1.0730732117848455e-27,6.2798590498751925e-26,3.4782149016383103e-33,5.9353466518122293e-35,4.1124596298011819e-34,1.7660153262703173e-40,1.7323449762279382e-39,2.3667409462059414e-49,5.9372006539176816e-43,7.0345394000704314e-43,1.8249165079517863e-45
3.0000000000000002e-15,0.0019293224364078188,1.4154068621424988e-29,3.9293934474180442e-38,5.417502053635497e-37,7.1169577707280954e-38,6.9797280085489832e-45,0.0,0.0,1.8697182569375107e-25,1.3793394154839452e-37,2.3955112628242959e-57,8.7377724003548433e-58,4.4236063401414012e-54,8.270200770022945e-89,3.7792001881286011e-56,5.7587453554434096e-51,2.0633821990299413e-25,5.2484834897929633e-37,1.0588655947293395e-100,7.4951695001142924e-88,1.5511511865587577e-57,5.5884722718804722e-58,2.859844445258068e-52,9.1284855650524471e-66,9.6620864990097619e-40,2.2281171248666415e-74,4.7321969111915018e-56,3.1460183051364563e-33,6.3156291367229495e-36,6.4792595134430588e-37,3.798993154415663e-25,1.8330301222751297e-50,7.1824769424118438e-79,2.4754714150412149e-63,3.6602124507559224e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.9647714396092857e-25,3.9647713072850061e-25,3.7989931201702965e-25,8.0863288513815753e-26,6.8397810778387124e-26,3.4198905339125641e-26,5.9481710205851803e-32,4.1812389183393802e-32,7.047537351988458e-32,3.0533446621798756e-32,3.5569465298956974e-32,4.3907509191922924e-32,1.8869464292552871e-32,2.9743044276228852e-32,1.1499663072501756e-34,5.6403393205405252e-35,4.8122976280397739e-35,2.5590069561561716e-35,6.9005674170155521e-41,2.3658919755572536e-34,9.9749659087077935e-35,4.6384238382103219e-35,1.8332084130158367e-48,1.8133724444362379e-35,4.1573008137972824e-44,1.1148837556512165e-41,2.9138122962527384e-41,3.5258117931640352e-27,2.0633821312222945e-25,2.28568401638869e-32,3.9003705659956599e-34,2.702472892694676e-33,1.6650999146339088e-39,1.1384025351601267e-38,2.2312848620514421e-48,5.5979313021706008e-42,6.632564836713623e-42,1.7206367393171446e-44
7e-15,0.0019293224364078188,3.1385106578038956e-29,1.0799155177363917e-37,2.9442963383701888e-36,3.8679115790893874e-37,1.1273324824191002e-43,0.0,0.0,4.1458971068288296e-25,7.4964100471245493e-37,3.8728305592679429e-56,1.411284140886165e-56,7.1447898459641957e-53,1.5956383004003274e-87,2.0539111501339406e-55,3.12975307693829e-50,4.5753251400425426e-25,2.8524363111536963e-36,1.0604078451452625e-98,3.7911416357867826e-86,2.5053439324235811e-56,9.0261971543659727e-57,1.5542181988565098e-51,1.7612527468051021e-64,5.2511332610207128e-39,3.679752730660052e-72,7.6432074219740887e-55,1.7097923121169704e-32,3.4324066965671622e-35,3.5213361873413261e-36,8.4238531473596666e-25,2.9606182653721019e-49,1.1861856398252042e-76,1.2521267290151907e-61,1.4866368962245979e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.7914487212679696e-25,8.7914480021144701e-25,8.4238529612436038e-25,1.7930532598805779e-25,1.516645194467986e-25,7.5832259451294226e-26,3.2326976359209433e-31,2.2724120989275092e-31,3.8301785807840774e-31,1.6594262783864882e-31,1.9331228367758772e-31,2.3862772954924677e-31,1.0255142309953248e-31,1.6164677826398391e-31,6.249810371192875e-34,3.0654008715722571e-34,2.6153783742580889e-34,1.3907641758831322e-34,1.1145450399970876e-39,1.2858092611409617e-33,5.4211760348557247e-34,2.520885222372513e-34,2.958647893309543e-47,9.8552801816819931e-35,6.7146680664875765e-43,1.8007053009082609e-40,4.7062532357570623e-40,7.818103198521203e-27,4.5753247715228356e-25,1.2422193554584707e-31,2.1197662904507148e-33,1.4687332225394749e-32,2.6893849467906499e-38,6.1871261869013442e-38,3.6007020398660465e-47,9.041496225135191e-41,1.0712584067465197e-40,2.7791064271124352e-43
1.5e-14,0.0019293224364078188,6.584717612163658e-29,3.0853516519259265e-37,1.3025579817722077e-35,1.7111638967843976e-36,1.0484413159748237e-42,0.0,0.0,8.6982551163222536e-25,3.3164119373982712e-36,3.6072289462730793e-55,1.3125229298212566e-55,6.6447818394462179e-52,2.8612652160106444e-86,9.0864882625436306e-55,1.3846028854554535e-49,9.5992091888024207e-25,1.2619175535494134e-35,5.3862486817073819e-97,7.2913109782832122e-85,2.3300164870451001e-55,8.3944855648519763e-56,6.8755313626458791e-51,3.1582883217184361e-63,2.3231008359558606e-38,1.44365236031015e-70,7.1083152282392395e-54,7.5641193881238386e-32,1.5184963970306424e-34,1.5578387583385535e-35,1.7673569384220288e-24,2.7534259892857452e-48,4.653674672118878e-75,2.4081671062004579e-60,1.4804345427825654e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.844480027981324e-24,1.8444797098279567e-24,1.7673568560843257e-24,3.7618871439911685e-25,3.1819735738381543e-25,1.5909867748812399e-25,1.4301424903297551e-30,1.0053148504310523e-30,1.6944675040256779e-30,7.3413006176312081e-31,8.5521333920208868e-31,1.0556887977453493e-30,4.5368739824812799e-31,7.1512386622424452e-31,2.7649113195616481e-33,1.3561326598674388e-33,1.1570428258554931e-33,6.1527372291810056e-34,1.0365461171457494e-38,5.6884084485542092e-33,2.3983274771850046e-33,1.1152416077802353e-33,2.7483043158226864e-46,4.359972393659924e-34,6.244763425022727e-42,1.6746884209806049e-39,4.3769109429232307e-39,1.6402682339245454e-26,9.5992075584720681e-25,5.4955768215626396e-31,9.3778437062090531e-33,6.4976607460646622e-32,2.5011730543484526e-37,2.7372991871918097e-37,3.3441178150528067e-46,8.4087450734568639e-40,9.9628850862323986e-40,2.5846464932211106e-42
3.1e-14,0.0019293224364078188,1.3477128973027591e-28,9.622157972481321e-37,5.4292982326527716e-35,7.1324266635324065e-36,8.8488436466400286e-42,0.0,0.0,1.7802972374151249e-24,1.3823381759341293e-35,3.0534880291393327e-54,1.1077708830549297e-54,5.6081739310863144e-51,4.8957241260633878e-85,3.7873940991901077e-54,5.7712662033415152e-49,1.9646969953266237e-24,5.259889226323295e-35,2.723046561661716e-95,1.2396711663862305e-83,1.9665295334864155e-54,7.0848541212054493e-55,2.8655721609475582e-50,5.4040969969093326e-62,9.6830833449529755e-38,4.9283031997291202e-69,5.9993882205899044e-53,3.1528548058876829e-31,6.3293539393487253e-34,6.4933393610757758e-35,3.617298686184415e-24,2.3238795578333781e-47,1.5886555971221395e-73,4.0944245888119733e-59,1.8481947820679025e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.7751491377822873e-24,3.7751478116649767e-24,3.6172983429869146e-24,7.6995274509084867e-25,6.5126071567486504e-25,3.2563035281990156e-25,5.9610581859352512e-30,4.190324682066659e-30,7.0628061969495959e-30,3.0599805327277373e-30,3.5646760012389922e-30,4.4002919118413284e-30,1.8910470406353095e-30,2.9807483540455508e-30,1.1524591349300962e-32,5.6525907621577363e-33,4.8227507402042874e-33,2.5645648484254055e-33,8.7484046326452747e-38,2.3710178402838943e-32,9.9966387479499067e-33,4.6485368012551228e-33,2.3141222533705356e-45,1.8173092827246871e-33,5.2705638582224424e-41,1.4134321804958467e-38,3.6941176033578647e-38,3.3571825940740197e-26,1.9646963157773072e-24,2.2906505123587726e-30,3.9088461297172386e-32,2.7083255514525507e-31,2.1109770622730918e-36,1.1410471593665929e-36,2.8148294150717628e-45,7.096940661238286e-39,8.4086272951313068e-39,2.1814795369097827e-41
6.300000000000001e-14,0.0019293224364078188,2.7261941503305238e-28,3.2799498017282507e-36,2.2124769511937762e-34,2.9065013153862553e-35,7.2423212292816139e-41,0.0,0.0,3.601241184516988e-24,5.633103907862839e-35,2.513794536322795e-53,9.0665593347731372e-54,4.5899658159165578e-50,8.0887234259041402e-84,1.5433739331880463e-53,2.3518230934766522e-48,3.9742462150012992e-24,2.1434315946784822e-34,1.466254667653621e-93,2.0337621186520632e-82,1.6094960270578239e-53,5.7984386514619806e-54,1.1675181302021027e-49,8.9291726065466404e-61,3.9459055430300209e-37,1.6189948502237091e-67,4.9101416889572364e-52,1.284804240157759e-30,2.5792439009410163e-33,2.6460685491956753e-34,7.3171761832799441e-24,1.9019562242310339e-46,5.2188612001810919e-72,6.7173390569244218e-58,2.5294358353855125e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.6364825497578252e-24,7.6364771457672419e-24,7.3171747847343044e-24,1.5574698221072759e-24,1.3173781620549527e-24,6.5868906058111108e-25,2.4291440645643297e-29,1.7075782980239622e-29,2.8781086738755338e-29,1.246957842434095e-29,1.4526234536630519e-29,1.7931409793093663e-29,7.7061127893874902e-30,1.2146613233903497e-29,4.6963017961081644e-32,2.303456853563664e-32,1.9652933302551753e-32,1.0450717780915005e-32,7.1600459913572381e-37,9.6619487344003916e-32,4.0736792053270014e-32,1.8943170881823762e-32,1.8851580028562809e-44,7.4056103390146897e-33,4.3136582749902033e-40,1.1568135592270969e-37,3.0234528569059485e-37,6.7910054423967388e-26,3.9742434458064713e-24,9.3345144294701198e-30,1.5928744325475943e-31,1.1036474069420865e-30,1.7277048297717767e-35,4.6505868791230972e-36,2.2914728261212916e-44,5.8084149613857198e-38,6.881950637140213e-38,1.7854905520076362e-40
1.2700000000000001e-13,0.0019293224364078188,5.4831525797836961e-28,1.1956901728130425e-35,8.9284127641827076e-34,1.1729036436826706e-34,5.855297594042863e-40,0.0,0.0,7.2431310608586062e-24,2.273212712115804e-34,2.0560744845679684e-52,7.3302079103660446e-53,3.7108557475999971e-49,1.3143310046872298e-82,6.228133083463398e-53,9.4906755881017312e-48,7.9933329215125822e-24,8.6497007393966616e-34,8.4315356327069449e-92,3.2912342470140448e-81,1.3012401259505363e-52,4.6877025950139705e-53,4.7097055823509482e-49,1.4510622166534354e-59,1.5923484475250151e-36,5.2426753302660743e-66,3.9696919794112513e-51,5.1847561471669994e-30,1.0408397417272481e-32,1.0678062650611327e-33,1.471690718383178e-23,1.5376694574156156e-45,1.6899705893692911e-70,1.0871197384258878e-56,3.6911111345164545e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.5359130143251168e-23,1.5359108335782502e-23,1.4716901540090453e-23,3.1324600399080214e-24,2.6495759750464393e-24,1.3247879050155887e-24,9.802537066798679e-29,6.8908361577846056e-29,1.1614282489568055e-28,5.0320318304083046e-29,5.8619812511846425e-29,7.2361194106148619e-29,3.1097595707846585e-29,4.9016283878064511e-29,1.895144469844264e-31,9.2954528293860665e-32,7.9308165234908868e-32,4.2173183350760053e-32,5.7886645168924095e-36,3.8989704318466014e-31,1.6439093908609787e-31,7.6445314579511258e-32,1.5100372707928031e-43,2.9884794705089093e-32,3.487479940059836e-39,9.3525239412230488e-37,2.4444256491839465e-36,1.3658627651179375e-25,7.9933217466042424e-24,3.7668898560981252e-29,6.4279556017706499e-31,4.4536358783135449e-30,1.3967873167355642e-34,1.8773331472874742e-35,1.8330164269423475e-43,4.6959041882337555e-37,5.5638206535578038e-37,1.4436403789780355e-39
2.55e-13,0.0019293224364078188,1.0997053132102449e-27,4.5476684898072042e-35,3.5868012589829881e-33,4.7118125497758115e-34,4.7081241281477288e-39,0.0,0.0,1.4526918742042454e-23,9.132017797947794e-34,1.6913764498422209e-51,5.8941394212280111e-52,2.9837323945756166e-48,2.118620724112404e-81,2.5019197647149682e-52,3.8126252502248657e-47,1.6031459403457191e-23,3.4747697837065984e-33,5.080892825899702e-90,5.2941895847335187e-80,1.0462827788831534e-51,3.7688996906210272e-52,1.8905852752903346e-48,2.3395621015471767e-58,6.3968033906826674e-36,1.6871478336583201e-64,3.1918239985928739e-50,2.0828266659045129e-29,4.1812758524941977e-32,4.2896045595693967e-33,2.9516273211000422e-23,1.2363586902007823e-44,5.4383999175284066e-69,1.7488840360220384e-55,5.6144513235201352e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.080434840878936e-23,3.0804260803838543e-23,2.951625053898854e-23,6.2822647404688097e-24,5.3138232902690783e-24,2.6569113137040814e-24,3.9377757822192487e-28,2.7681942647657201e-28,4.6655712565475741e-28,2.0214762483201997e-28,2.3548823655703483e-28,2.9069017244647369e-28,1.2492569175054163e-28,1.9690320707980528e-28,7.6130208571490084e-31,3.7341652820991261e-31,3.1859649537117549e-31,1.6941776917833149e-31,4.6543610934199351e-35,1.5662548030802368e-30,6.6039233384738502e-31,3.0710670909091124e-31,1.1921425759774523e-42,1.2005248750011252e-31,2.8041434374016312e-38,7.5199733181052003e-36,1.965534379950478e-35,2.739377811763051e-25,1.6031414511666252e-23,1.513238381804785e-28,2.5822457333101325e-30,1.7890623452669255e-29,1.1230738360066088e-33,7.5465834160580625e-35,1.443330237878474e-42,3.7757129258486579e-36,4.4735553612687799e-36,1.1609631996653712e-38
5.11e-13,0.0019293224364078188,2.202478900896436e-27,1.7717931767975273e-34,1.4378102084318456e-32,1.8887195907907287e-33,3.7759903920840587e-38,0.0,0.0,2.9094525818005004e-23,3.6605659689101368e-33,1.4176669666985462e-50,4.7273058037145753e-51,2.3928560778160457e-47,3.4013395592754542e-80,1.0028419887027351e-51,1.5282915192955789e-46,3.2107524645228932e-23,1.3928491611831615e-32,3.1492286028881144e-88,8.4912986056682399e-79,8.3910720688036092e-51,3.0220995027659655e-51,7.5671110165708196e-48,3.7577810557482117e-57,2.5641352710451507e-35,5.4135776447419206e-63,2.5596954849355617e-49,8.348930765052247e-29,1.6760496157474339e-31,1.7194715239607315e-32,5.9114621374572432e-23,9.9149972026304268e-44,1.7449621682727037e-67,2.8055724733601538e-54,8.7473053619292786e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.1694477257131646e-23,6.1694126098313406e-23,5.9114530495450214e-23,1.2581171280520553e-23,1.0641724744180882e-23,5.3208610437258609e-24,1.5783528876027436e-27,1.1096192647597303e-27,1.8700699630664133e-27,8.1030274802325871e-28,9.4394555290230354e-28,1.1652194921687967e-27,5.0076020086046351e-28,7.8923393190112508e-28,3.0515083179475967e-30,1.4968133591831104e-30,1.27707181395949e-30,6.7909768711933361e-31,3.7325752729228169e-34,6.2779161148916793e-30,2.6471494393381298e-30,1.2311027483117913e-30,9.2255496879698913e-42,4.8121713048899513e-31,2.2488594735369897e-37,6.0308198593312389e-35,1.5764252232268085e-34,5.4863703248773088e-25,3.2107344699725619e-23,6.0657477224180522e-28,1.0350828455193723e-29,7.1709245995208981e-29,9.0063636582737553e-33,3.0289770508567386e-34,1.1114240442959275e-41,3.0279141736063397e-35,3.5875446868262487e-35,9.3137004607423404e-38
