Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211)
0.0,0.005068738821569525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.174732450849233e-17,0.0050687388215695265,2.9983336625673196e-19,1.3415594150811471e-25,8.0626944452545329e-29,3.7103783679231219e-28,6.3842966342924918e-39,0.0,0.0,6.4036937556510124e-20,8.346956028922364e-32,9.0940074329552478e-42,9.78417763159362e-42,5.9473798725320105e-47,4.7485198248357696e-68,1.765719451533923e-43,4.3479317375457826e-33,2.7934282482747489e-24,4.9539112194454446e-36,1.0287876093217608e-79,1.5461289360795007e-70,8.204515785069937e-48,2.9378221808147239e-39,1.0906098364770126e-35,6.4590089627439528e-59,4.0312156017187957e-37,1.223378711433815e-59,6.4102782596639037e-41,6.9517768451267507e-24,4.7929148066035827e-35,1.7608618805034291e-28,1.5546762785538881e-16,7.8396391963099321e-47,4.9484924979531424e-62,7.3732266010698834e-50,1.0117982230773368e-47,0.88168480800000004,0.0,0.009459999999999625,0.10885,2.1984027209528326e-16,2.1984027038324415e-16,1.5546762349845701e-16,1.6658162018683626e-19,1.315252588876661e-19,6.5762629910376171e-20,5.8005180896915834e-28,1.1180119056582891e-25,6.8837294269551034e-28,7.5935773480850984e-26,4.2653850186115478e-26,1.5670806874942315e-25,5.6393497515150398e-34,2.9150658731997153e-28,2.0060765188354327e-27,3.6439151839966307e-25,3.2775002562939589e-25,2.0378657845343612e-27,6.9074105649524863e-36,4.038869731128296e-27
1.1689250862377854e-16,0.00506873882156953,8.3953587329359203e-19,3.7589786868007208e-25,4.8698795815115922e-28,2.2410739865733455e-27,7.579455337740629e-38,0.0,0.0,1.7930353275579499e-19,5.0415639659156728e-31,1.0796405809004424e-40,1.161580311854025e-40,1.3304050483392101e-45,2.888758134388201e-66,2.0962620982682843e-42,2.626150716315214e-32,1.6872306561820667e-23,5.8812833886078791e-35,1.0771971544007332e-77,6.3801601462383721e-69,1.8353173148079181e-46,3.4877823969688985e-38,6.5872865684359973e-35,3.0856298697878489e-57,4.7858590818717652e-36,5.0483068218242832e-58,7.6102822507834991e-40,4.1988731766282693e-23,5.6901484405618362e-34,1.0635605875550126e-27,4.3530936374766594e-16,1.7536958780700921e-45,1.5260465067022516e-60,1.6493614030525648e-48,1.5300224762629922e-46,0.88168480800000004,0.0,0.0094599999999989467,0.10885,6.1555275951324473e-16,6.155527491725287e-16,4.3530933743179833e-16,4.6642853499531837e-19,3.6827071164858823e-19,1.8413535864222699e-19,3.5035115995941428e-27,6.7527915687730738e-25,4.1577708411109959e-27,4.5865206550542071e-25,2.5762925640934016e-25,9.4651669493433358e-25,6.6943263691774106e-33,1.7606991296634738e-27,1.2116706721248703e-26,2.2009247488373016e-24,1.979610124092474e-24,1.2308708969611327e-26,8.2004780142359651e-35,2.4394772049048736e-26
2.6718287685435093e-16,0.005068738821569537,1.9189506784658409e-18,8.6042666235049737e-25,2.3446497495463657e-27,1.0789862079135218e-26,7.4415913020130052e-37,0.0,0.0,4.0983715354465814e-19,2.4272985998801794e-30,1.0599975636114058e-39,1.1404522493749102e-39,2.6286560103779964e-44,1.3041292450442099e-64,2.0581224854702846e-41,1.2643784695347044e-31,8.1232892593447445e-23,5.7742788829164457e-34,9.5511461739883906e-76,2.5239405220239416e-67,3.6262775280041527e-45,3.4243252360651975e-37,3.1714981386456263e-34,1.6066629483257514e-55,4.6987846558481581e-35,1.9970599912837496e-56,7.4718200320714292e-39,2.0215766498204284e-22,5.5866214432794896e-33,5.1205865244672261e-27,9.9499285854252929e-16,3.4650073089624625e-44,4.0527073950389877e-59,3.2588602132095045e-47,1.6481370569936743e-45,0.88168480800000004,0.0,0.0094599999999975936,0.10885,1.4069777249349742e-15,1.4069776751488812e-15,9.9499273184295906e-16,1.0661223585010224e-18,8.4176156422296024e-19,4.2088079567863973e-19,1.6867886706143872e-26,3.2511781095498607e-24,2.0017859182059036e-26,2.2082121980393566e-24,1.2403739826902791e-24,4.5570700345505442e-24,6.5721614398178373e-32,8.4770016930345853e-27,5.833677337996552e-26,1.0596505020612279e-23,9.5309702846667108e-24,5.9261131479618041e-26,8.051278348232636e-34,1.1745031487672167e-25
5.677636133154957e-16,0.005068738821569551,4.0778194532009112e-18,1.8336640829742437e-24,1.0239810062416556e-26,4.7122650386469183e-26,6.5820685880807418e-36,0.0,0.0,8.7090611668376711e-19,1.0600673285650753e-29,9.3755591048350939e-39,1.0087274368412075e-38,4.6775523034686717e-43,4.9241870256236043e-63,1.8203859005543378e-40,5.5218724826668468e-31,3.5476537857827573e-22,5.107284238410404e-33,7.1889847056926507e-74,9.0078542986189077e-66,6.452766363911595e-44,3.0287765299586727e-36,1.3850793842982714e-33,6.4117930822248199e-54,4.1560215127659401e-34,7.1273649843085081e-55,6.6087398288839284e-38,8.8287560069725505e-22,4.941303332890937e-32,2.2362947700676378e-26,2.1143599401734827e-15,6.1657945741502811e-43,1.0306433318298883e-57,5.7989674001477652e-46,1.5189900572045126e-44,0.88168480800000004,0.0,0.0094599999999948892,0.10885,2.9898276181216484e-15,2.9898274006927315e-15,2.1143593868432086e-15,2.2655099810676485e-18,1.7887430575820896e-18,8.9437158804243765e-19,7.3666374119693945e-26,1.4198745910115198e-23,8.7423095143675835e-26,9.6438422526355384e-24,5.4170391728430647e-24,1.9901918482789986e-23,5.8128435981687144e-31,3.7021234638738506e-26,2.5477242275162991e-25,4.6277719380774883e-23,4.1624248495027052e-23,2.5880889744461147e-25,7.1212652428573466e-33,5.1293628117363952e-25
1.1689250862377854e-15,0.005068738821569578,8.3957136602049968e-18,3.796858865168026e-24,4.2750099001067866e-26,1.9673186709116069e-25,5.5327349508872304e-35,0.0,0.0,1.7930509292091972e-18,4.4255913025658061e-29,7.8807235176318739e-38,8.4791358152376386e-38,7.8893735573699704e-42,1.7084590918219699e-61,1.5301438166126307e-39,2.3052726656338937e-30,1.4810755766616992e-21,4.2929800688541441e-32,4.996119371688904e-72,3.0436110842327526e-64,1.088353111163593e-42,2.5458685617692478e-35,5.7824573806868442e-33,2.2788881078579905e-52,3.4933859903467528e-33,2.4081752987205968e-53,5.5550434037523137e-37,3.6858315555816625e-21,4.1534630740815987e-31,9.3360913268818404e-26,4.3530944716002303e-15,1.0399511069348571e-41,2.7363271683756458e-56,9.7808051090327952e-45,1.3064923966211017e-43,0.88168480800000004,0.0,0.0094599999999894803,0.10885,6.1555272538677871e-15,6.1555263461451049e-15,4.3530921615555606e-15,4.6642851284238355e-18,3.6827051971440935e-18,1.8413528459349478e-18,3.075416185462806e-25,5.9276943612312013e-23,3.6497291701741247e-25,4.0261138284653661e-23,2.2615073161535562e-23,8.3086561815480304e-23,4.8859793394226758e-30,1.5455587504162066e-25,1.0636281140188593e-24,1.9320035195166376e-22,1.737730207495558e-22,1.0804759242395615e-24,5.9858537390718434e-32,2.1414071593285473e-24
2.3712480320823644e-15,0.005068738821569632,1.7032128704122181e-17,7.7901330558566495e-24,1.7465552126897179e-25,8.0374719366201831e-25,4.5362501976831461e-34,0.0,0.0,3.6373680992623514e-18,1.8080138799358453e-28,6.4610951921097428e-37,6.9519930174874111e-37,1.2958312898660221e-40,5.6900808691494965e-60,1.2545039886512018e-38,9.4177877818348728e-30,6.0506766407031428e-21,3.5196443157791711e-31,3.3477646616888283e-70,1.0007126513830388e-62,1.7876224262293543e-41,2.087255862906984e-34,2.362341806864035e-32,7.6761956569365997e-51,2.8640880596706299e-32,7.9175518136586966e-52,4.5543591726852944e-36,1.5057822249720526e-20,3.4052597843696665e-30,3.8140986531745797e-25,8.8305650071125446e-15,1.7081219317206349e-40,7.7371963051832784e-55,1.6064998272274465e-43,1.0917521303539114e-42,0.88168480800000004,0.0,0.0094599999999786608,0.10885,1.2486925922850626e-14,1.2486922214509285e-14,8.8305555698287963e-15,9.4618350320444481e-18,7.4706260876606957e-18,3.7353140543878246e-18,1.2563997522376143e-24,2.4216544758261937e-22,1.4910228633094668e-24,1.6447984815768485e-22,9.2389960836649324e-23,3.3943546910735822e-22,4.0057935730721953e-29,6.3140715980750854e-25,4.3452956930666621e-24,7.8928634116863441e-22,7.0991930280959556e-22,4.4140944459775184e-24,4.9075665361832574e-31,8.7483400818542302e-24
4.775893923771522e-15,0.005068738821569743,3.4307465309778557e-17,1.6044258842537171e-23,7.0604551245041136e-25,3.2491440817313694e-24,3.6738642224968987e-33,0.0,0.0,7.3261126194854032e-18,7.3084059200154218e-28,5.2323655103202448e-36,5.6303661044997503e-36,2.1005961380112295e-39,1.8574669189184457e-58,1.0159292727761082e-37,3.8068177720445313e-29,2.4457799547637367e-20,2.8502990326247907e-30,2.2142302483196783e-68,3.2460464638828371e-61,2.8978103056353656e-40,1.6903122955867878e-33,9.5491192398277508e-32,2.5195875039805672e-49,2.319411412012377e-31,2.5680378404272227e-50,3.6882364673972641e-35,6.0866106379917822e-20,2.7576673603621485e-29,1.5417202374595629e-24,1.7785511968768103e-14,2.7689363926101001e-39,2.302764140760437e-53,2.6042043028506025e-42,9.0653171707961799e-42,0.88168480800000004,0.0,0.0094599999999570219,0.10885,2.5149720850773721e-14,2.5149705861081334e-14,1.7785473821778298e-14,1.9056933275050622e-17,1.5046454314405175e-17,7.5232312420306058e-18,5.0785031314344912e-24,9.7886977108275362e-22,6.0268671894461501e-24,6.6485353208113248e-22,3.7345505709115675e-22,1.3720504452532764e-21,3.2439832584035144e-28,2.552216192960879e-24,1.7564604647948357e-23,3.190420485287405e-21,2.8696058108606548e-21,1.7842457271677025e-23,3.9742778426021832e-30,3.5362133663754662e-23
9.58518570714984e-15,0.005068738821569961,6.8868164577866856e-17,3.3623131237453389e-23,2.8394602336066898e-24,1.3066832093765629e-23,2.9575143026653523e-32,0.0,0.0,1.4704042381258986e-17,2.9387781933988256e-27,4.2114679729559591e-35,4.5325520547414344e-35,3.3829381590148364e-38,6.0038507600975523e-57,8.1770732496873543e-37,1.5307025707027391e-28,9.8343713335682222e-20,2.2941683304596579e-29,1.4691039995838398e-66,1.0459240018589542e-59,4.6668255268462777e-39,1.3605077847793168e-32,3.8397842606932948e-31,8.1660670127034342e-48,1.8668619070341004e-30,8.2732687926722776e-49,2.9686108893503042e-34,2.4473978644360802e-19,2.219610119770461e-28,6.1991939290818169e-24,3.5695429454568189e-14,4.4592774653361806e-38,7.0835619044558881e-52,4.1939870441951273e-41,7.6138245405273236e-41,0.88168480800000004,0.0,0.009459999999913744,0.10884999999999999,5.0475301066411167e-14,5.0475240793647835e-14,3.5695276067360783e-14,3.8247123505178694e-17,3.0198056551866551e-17,1.5099044700789044e-17,2.0419910611814692e-23,3.9359787307307982e-21,2.4233079385861808e-23,2.6733443001667375e-21,1.5016468701228692e-21,5.5169384762905226e-21,2.6110331686791683e-27,1.0262087703479153e-23,7.0628309820970355e-23,1.2828531591345479e-20,1.1538546552519914e-20,7.1743589331033137e-23,3.1988497519300539e-29,1.421891363542444e-22
1.9203769273906472e-14,0.005068738821570401,1.3802966722504631e-16,7.3065848909038576e-23,1.1391373841500857e-23,5.2421219397794544e-23,2.3739712604077347e-31,0.0,0.0,2.9461664797000196e-17,1.1786619588531027e-26,3.3794458534032553e-34,3.6382809263125297e-34,5.4303419551184806e-37,1.9312878069997498e-55,6.5615712613237581e-36,6.1387849892312616e-28,3.9440209167780356e-19,1.8409251197906222e-28,9.9390103216008141e-65,3.359314803287996e-58,7.4912607916853959e-38,1.0917176355278273e-31,1.5400258160361203e-30,2.6303735810510206e-46,1.4980356083699404e-29,2.6563684841336159e-47,2.3821189667674603e-33,9.8151480047074839e-19,1.7810965590118385e-27,2.4861577702876425e-23,7.1515358675846266e-14,7.1580982696082758e-37,2.2204251507178256e-50,6.7322661384808741e-40,6.6017506823603334e-40,0.88168480800000004,0.0,0.00945999999982719,0.10884999999999997,1.0112642293654363e-13,1.0112618121685153e-13,7.1514743525830573e-14,7.6627478950344919e-17,6.0501044171696857e-17,3.0250587956395413e-17,8.1888746898930212e-23,1.5784926304579976e-20,9.7179964801689655e-23,1.0721286185492911e-20,6.0222796735002441e-21,2.2125262314078664e-20,2.0951839699707061e-26,4.1153465338774307e-23,2.8326560567300478e-22,5.1448078315533975e-20,4.6274634537001861e-20,2.8772270534626333e-22,2.5668837963725378e-28,5.7023844053084093e-22
