Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549),S(1413),S(1424),S(1776),S(1779),S(975),S(2129),S(1032),S(2133),S(2134)
0.0,0.0022412214669945657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0022412214669945657,2.6039541621098622e-24,7.5372720530934934e-32,6.2365603366082634e-32,2.4224862932892705e-32,7.954963140102472e-40,0.0,0.0,1.9336744236687945e-22,7.0890238181177616e-34,8.7898759234584613e-49,6.7688374785688825e-49,7.1407751244718479e-47,3.8600687706201923e-68,1.1219526816171821e-45,6.4943773348023172e-42,7.5423896968313526e-21,5.8568698476879726e-32,-1.173293041409132e-85,2.5865813615640715e-74,9.735119531368325e-49,2.6818017253299284e-48,7.8748736169890853e-44,-1.2422971136930678e-56,6.9567620647040205e-34,1.8166710682583767e-63,5.0983865566516638e-48,1.6977308255133576e-28,6.3850352735406298e-31,5.4561505637625162e-32,9.8018392749519414e-21,2.1330881627239376e-43,9.7574710302415873e-67,3.6427421643678203e-53,3.7715717691509014e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1867834523678086e-20,1.1867834308467903e-20,9.801839079737332e-21,8.390984240689893e-23,6.9147968605518665e-23,3.4573984357897523e-23,2.684702411575631e-29,4.7411830217402513e-28,3.2509374110694842e-29,3.4980095847320844e-28,3.1792063429885097e-28,5.7200931613646118e-28,2.2319771379871389e-28,1.3358883823412193e-29,2.3870289137895203e-30,5.8325046663227084e-30,4.6103960351478231e-30,3.5516800025089993e-30,8.453175721139467e-37,5.7821459072672734e-30,7.0091203400912855e-30,3.3881035387488625e-32,4.5055862911395288e-44,2.8184787878828819e-31,9.7845816735152144e-40,1.0574213267561523e-37,1.3391429878152302e-38,8.3394750151409894e-24,7.5423891428997815e-21,3.7380797318265861e-28,4.115915414803519e-31,3.3048581145342628e-28,1.2398234540267746e-34,3.5010972662576411e-34,2.0086406529400689e-45,8.7848679109904821e-39,1.0637698845132278e-38,2.2743577984674306e-41,1.5154927135129726e-40,2.5851468127254548e-49,6.5756359856665905e-51,1.5676876290736007e-54,8.5199602523486937e-42,8.6507543571425388e-42,3.641660763326259e-62,1.7266239260760687e-64,4.9284297805679096e-34,1.945508619919387e-40,1.3485597620972595e-40,1.3419990421625875e-43,1.2732926727439178e-43
3.0000000000000002e-15,0.0022412214669945657,8.5558670030766243e-24,2.6126422027878619e-31,4.0983115262635648e-31,1.5919209890161556e-31,7.5003943895103604e-39,0.0,0.0,6.35350323641245e-22,4.6585018630957491e-33,8.2876457511906217e-48,6.3820501021742798e-48,6.7327305356386057e-46,3.6395877527601807e-67,7.3728305013422114e-45,4.2677333065204723e-41,2.4782136987481979e-20,3.8488001464800619e-31,6.8926125199142255e-84,3.1778050962489536e-73,9.1788278436286087e-48,2.5285550329386796e-47,5.1749520119005775e-43,7.3473000492033108e-55,4.5715864020140203e-33,3.266797423540607e-62,4.807049755016056e-47,1.115651661922913e-27,4.1958802793409687e-30,3.5854703199443779e-31,3.2206042288075275e-20,2.0111970927990895e-42,1.7546807747122322e-65,5.5096319910495582e-52,5.7381964474569455e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.8994312211204424e-20,3.8994310796966164e-20,3.2206041005236474e-20,2.7570366100805778e-22,2.2720037945399921e-22,1.1360019008934075e-22,1.7642325837040992e-28,3.1156344695450834e-27,2.1363297483722182e-28,2.2986919909342809e-27,2.0891927081677283e-27,3.7589182615127363e-27,1.466727814131658e-27,8.7786928503131123e-29,1.5686195680840959e-29,3.8327887189595103e-29,3.0296887734320535e-29,2.3339611131483403e-29,7.970138653688052e-36,3.7996944696501956e-29,4.6059935961877376e-29,2.2264779093251914e-31,4.2478089365111483e-43,1.8521452894249345e-30,9.2254730271190334e-39,9.9699796893029725e-37,1.2626243423714036e-37,2.7401131149830498e-23,2.4782133347360447e-20,2.4564522799641285e-27,2.7047443548945928e-30,2.1717634487660731e-27,1.1689761579974215e-33,2.3007489051386745e-33,1.8937121615519831e-44,8.2828740535571148e-38,1.0029828539409748e-37,2.1444104867386377e-40,1.42889561398105e-39,3.1759368098613998e-48,8.0782369260612766e-50,2.3738312328526358e-53,8.0332178077089428e-41,8.1566110846107096e-41,6.5547645871978426e-61,3.1078308643554718e-63,3.2386850026523143e-33,1.8343376041285957e-39,1.2714991860989403e-39,1.265321486546501e-42,1.2005413037957575e-42
7e-15,0.0022412214669945657,1.8971818431390046e-23,6.6690945784077571e-31,2.227344804887703e-30,8.6517948957944119e-31,1.2114281820738407e-37,0.0,0.0,1.4088212858098535e-21,2.5317962480345366e-32,1.3386246344308249e-46,1.0308025478795484e-46,1.0874375543217172e-44,5.8784676434711842e-66,4.0069681247001415e-44,2.3194185297678824e-40,5.4951691276699102e-20,2.0917390716118269e-30,6.5245753929490975e-82,1.6073745634689926e-71,1.4825210385334565e-46,4.0839864715526836e-46,2.8124057960427201e-42,1.4175888724794259e-53,2.4845574818416458e-32,1.8115538860864251e-59,7.764107352192932e-46,6.0633234215245913e-27,2.2803695640026655e-29,1.9486249951843964e-30,7.1413391399705487e-20,3.248383327180955e-41,9.7299618381345786e-63,9.0643033926964937e-50,9.4429215076017325e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.6465640941662991e-20,8.6465633255587416e-20,7.1413384427757729e-20,6.1134221261756155e-22,5.0379157420161731e-22,2.518957890700636e-22,9.588205370139382e-28,1.6932792932196626e-26,1.1610468300372107e-27,1.2492890480943561e-26,1.1354307082190463e-26,2.0428899999606825e-26,7.9713461297505993e-27,4.7710208236836259e-28,8.5251264213285784e-29,2.0830371288210255e-28,1.6465698099193977e-28,1.2684570158145633e-28,1.2873004398640628e-34,2.0650463477004827e-28,2.5032582020722702e-28,1.210077245835534e-30,6.8561912283678421e-42,1.0066080778012091e-29,1.4900689321885233e-37,1.6103134098092794e-35,2.0393860406713446e-36,6.0759023230891026e-23,5.4951671493437152e-20,1.3350280054888048e-26,1.4699695439665135e-29,1.1803046127910968e-26,1.888070037204058e-32,1.2505054870497906e-32,3.0564279083237565e-43,1.3378075764519909e-36,1.6199666101281413e-36,3.4637845956546148e-39,2.3079196922409776e-38,1.605821945262086e-46,4.0836484383220881e-48,3.9180443231907239e-51,1.2976528406160406e-39,1.3176909809126887e-39,3.6470990558867007e-58,1.7293536647352689e-60,1.7601640007659012e-32,2.9627465641062141e-38,2.0536635417588196e-38,2.0438058941730595e-41,1.939177688819605e-41
1.5e-14,0.0022412214669945657,3.9804064363638485e-23,1.7433245280024971e-30,9.8537850585442706e-30,3.8275910939370146e-30,1.1266521721035666e-36,0.0,0.0,2.955766246113049e-21,1.1200679515266091e-31,1.2450119582972709e-45,9.5867266129647519e-46,1.0113366882313585e-43,5.4671602149058065e-65,1.7726790430659571e-43,1.0261094990992321e-39,1.1529078840540653e-19,9.2538526354693613e-30,3.0425860863213019e-80,3.091398504404869e-70,1.3787742316630864e-45,3.7981650411427239e-45,1.244169011987576e-41,2.5420235455103736e-52,1.0991679761749522e-31,1.4350948818326693e-57,7.2207562514850886e-45,2.6824136731398077e-26,1.0088353826519281e-28,8.6207156654347749e-30,1.498280692894294e-19,3.0210505747860914e-40,7.7079470063910606e-61,3.5513862905371421e-48,3.7023594712156715e-48,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.8140827456630612e-19,1.8140824056312161e-19,1.4982803844554848e-19,1.2826172336208264e-21,1.056972233625926e-21,5.28486125524931e-22,4.2418108900339113e-27,7.4910653165129756e-26,5.1364568730371431e-27,5.5268541798521699e-26,5.023144634202598e-26,9.0377427174235301e-26,3.5265230235228549e-26,2.1106938071755398e-27,3.7715306805304972e-28,9.2153546525835284e-28,7.2844235482873498e-28,5.6116530229832747e-28,1.1972168991015495e-33,9.1357283376292729e-28,1.1074420259546779e-27,5.3536382431667349e-30,6.3695925844323951e-41,4.4532883501567465e-29,1.3858143280745014e-36,1.4976371940414541e-34,1.8967496083601001e-35,1.2747478708152825e-22,1.1529070088430889e-19,5.9061609012876894e-26,6.5031436888667769e-29,5.2216557797320943e-26,1.7559353406496605e-31,5.5329599732956321e-32,2.8393253650262598e-42,1.2441831087527374e-35,1.5065954505494671e-35,3.2217301339973892e-38,2.1464622769326829e-37,3.0866597220743528e-45,7.8469225622052718e-47,1.5357987332520264e-49,1.2070843777212965e-38,1.2258781969616805e-38,2.8904924042862732e-56,1.3707533629216881e-58,7.7870324744674964e-32,2.7554294490144027e-37,1.9099451957335808e-37,1.9009528991026308e-40,1.8036490467576427e-40
3.1e-14,0.0022412214669945657,8.1469928527860363e-23,4.9566820071458027e-30,4.10723815797477e-29,1.5954365861068077e-29,9.5089466142621964e-36,0.0,0.0,6.0496683105804993e-21,4.6686481857644049e-31,1.0508979971446832e-44,8.0912970915564102e-45,8.5356547243718723e-43,4.614418814386374e-64,7.388804204685343e-43,4.2769922912406277e-39,2.3596893686393576e-19,3.8571655951302327e-29,1.4556337848212134e-78,5.2560631164377104e-69,1.1636862954798709e-44,3.2056136641294552e-44,5.185601589858221e-41,4.3496014528104162e-51,4.5815208709056736e-31,9.8036521882559508e-56,6.0942912802635914e-44,1.1180760894695313e-25,4.2050000909678529e-28,3.5932628737540621e-29,3.0665734373477321e-19,2.5497504280801571e-39,5.2655624226335981e-59,1.2105685137954085e-46,1.2624598730238282e-46,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.712934464705504e-19,3.7129330473948805e-19,3.0665721517225268e-19,2.6251589468438807e-21,2.1633266322531689e-21,1.0816633524392964e-21,1.7680513190121958e-26,3.1224042128052341e-25,2.140952739541915e-26,2.3036883040239325e-25,2.0937332173553967e-25,3.7670859056380577e-25,1.4699156052738985e-25,8.7976909041303572e-27,1.5720514797414788e-27,3.8411184884933292e-27,3.0362731397953545e-27,2.3390337334661528e-27,1.0104546649648007e-32,3.8079002614261364e-27,4.6160154814394372e-27,2.2316983436278782e-29,5.3646968508925359e-40,1.8562520632184919e-28,1.1696619703950267e-35,1.2640290905348836e-33,1.6009901021772886e-34,2.6090623353673305e-22,2.3596857206124134e-19,2.4617879535931182e-25,2.7106219010315478e-28,2.1764671400194088e-25,1.4819979434739874e-30,2.3068234194455564e-31,2.3910834077236047e-41,1.050083500769801e-34,1.2715576790019427e-34,2.7197078497734998e-37,1.8116996646224291e-36,5.2421226393044209e-44,1.3318064744443427e-45,5.233802157827913e-48,1.019179993788939e-37,1.0353038773966996e-37,1.9740955957361441e-54,9.36392081442866e-57,3.245824851981978e-31,2.3256104343211803e-36,1.6119899526946337e-36,1.6046914454954114e-39,1.5225710325304296e-39
6.300000000000001e-14,0.0022412214669945657,1.6480714603311303e-22,1.562573798910827e-29,1.6737295244630009e-28,6.5017355753683222e-29,7.7825869816501009e-35,0.0,0.0,1.2237521014936812e-20,1.902507996361e-30,8.602822349635232e-44,6.6224730916435341e-44,6.9859499946459637e-42,3.7768888518757733e-63,3.010953603335627e-42,1.7428892472342337e-38,4.7732505058562657e-19,1.5718152244266904e-28,7.8996917838142773e-77,8.623104176542306e-68,9.5241870055805926e-44,2.6235683155997804e-43,2.1129094124600798e-40,7.1867848695696832e-50,1.8669929216163857e-30,6.429692376096666e-54,4.987819587505318e-43,4.5562166722687679e-25,1.713559596814132e-27,1.464273238572185e-28,6.2031556728938101e-19,2.0868129157870875e-38,3.4533894050604528e-57,3.9673380096902324e-45,4.1379463248901705e-45,0.88168480800000004,0.0,0.0094599999999999979,0.10885,7.5106340889930624e-19,7.5106283133845982e-19,6.2031504339119084e-19,5.3102090587920431e-21,4.3760077491208264e-21,2.1880040225340957e-21,7.2048311464284326e-26,1.2723951434635111e-24,8.7244039045590156e-26,9.3876510042837809e-25,8.5320709863177336e-25,1.5351061874789628e-24,5.9899824691070819e-25,3.58506835244469e-26,6.4062926134163105e-27,1.5652755525094568e-26,1.2372969163003267e-26,9.5316839185440632e-27,8.270110026888589e-32,1.5517157274822328e-26,1.8810552927611887e-26,9.0959884930570609e-29,4.3724914475560107e-39,7.5646864417834636e-28,9.5736471877094261e-35,1.0345807712400548e-32,1.3105458074533916e-33,5.2776880146178959e-22,4.7732356399838776e-19,1.0031899601616163e-24,1.1045920833858089e-27,8.869143389386152e-25,1.2129202705561677e-29,9.405218281696015e-31,1.9483762037085221e-40,8.5942778571222588e-34,1.0406899973864928e-33,2.2268676593438048e-36,1.4829224846209092e-35,8.581023184772095e-43,2.1773271587567745e-44,1.7134354702509561e-46,8.3480074820083991e-37,8.484249523167865e-37,1.2933219075580341e-52,6.1376223392188062e-55,1.3227355061277663e-30,1.9034380890707303e-35,1.3193245946620038e-35,1.3138262261971073e-38,1.2466214859597996e-38
1.2700000000000001e-13,0.0022412214669945657,3.3150353757412737e-22,5.3935067379632203e-29,6.7543171610058823e-28,2.6239416986461744e-28,6.2921026021859614e-34,0.0,0.0,2.4613420725152482e-20,7.6775484645985224e-30,6.9580940762941225e-43,5.3544265210784251e-43,5.647957324638575e-41,3.053917790940651e-62,1.2150363537661025e-41,7.0332787980658615e-38,9.6003654524893306e-19,6.3429793572271848e-28,5.1330537035579459e-75,1.3955361368798188e-66,7.7001744837952735e-43,2.1210135617992333e-42,8.5245192675603195e-40,1.1678946350509576e-48,7.5341466536501982e-30,4.1464913646033057e-52,4.0325007955294555e-42,1.8386360909155966e-24,6.9149813863060014e-27,5.9089972639176589e-28,1.2476307130569699e-18,1.6871118313123421e-37,2.2270675869606848e-55,1.2789664366916937e-43,1.3339534273960046e-43,0.88168480800000004,0.0,0.0094599999999999962,0.10885,1.510601808241362e-18,1.5105994775297442e-18,1.2476285988994969e-18,1.0680176029784055e-20,8.8012592652980228e-21,4.4006302297682697e-21,2.9074154123269761e-25,5.134677294503557e-24,3.5206149583889833e-25,3.7883384032293991e-24,3.4430718657777588e-24,6.1948331336889579e-24,2.4172259426701288e-24,1.4467061324348491e-25,2.5853072859851684e-26,6.3165856889411322e-26,4.9930453456108112e-26,3.8464608811314364e-26,6.6863461606381987e-31,6.2616784328857217e-26,7.5909400827367437e-26,3.6720107130571277e-28,3.5059734757436853e-38,3.0529820644945302e-27,7.7410549363413114e-34,8.3650340746748338e-32,1.0599072610300199e-32,1.0614926373618984e-21,9.600305462260107e-19,4.0483088853761574e-24,4.457519862046558e-27,3.5790370889344185e-24,9.8059625737818575e-29,3.7992923550923689e-30,1.5615248593095772e-39,6.948149783346177e-33,8.4135771505111073e-33,1.8018849771343539e-35,1.1991445621980707e-34,1.3825517913350803e-41,3.4992916564021558e-43,5.5106054343284804e-45,6.7598087873979075e-36,6.8768714947885901e-36,8.320691512233558e-51,3.9523973266957488e-53,5.3381926294371602e-30,1.5389729427030189e-34,1.0666427377845253e-34,1.0629652540834124e-37,1.0086419414443599e-37
2.55e-13,0.0022412214669945657,6.6498414536439327e-22,1.9845342227783305e-28,2.7134126237052829e-27,1.054255716844088e-27,5.0593645741693955e-33,0.0,0.0,4.936599735013523e-20,3.0843010562424916e-29,5.5994497779434171e-42,4.3058115902597366e-42,4.5412961966997207e-40,2.4561800015634034e-61,4.8809205467070558e-41,2.8253741334889044e-37,1.9254566034664131e-18,2.5481146103510577e-27,4.0542987139697342e-73,2.2450158342329579e-65,6.1915933158018071e-42,1.7053052957008011e-41,3.4228679932852364e-39,1.8829579376755939e-47,3.0266270695328045e-29,2.6457504301203379e-50,3.2423393527153159e-41,7.3861929808209729e-24,2.7779003660363687e-26,2.3737728718035818e-27,2.5022557992471744e-18,1.3565041819996774e-36,1.4210049511403568e-53,4.0799162077116966e-42,4.2546785314019445e-42,0.88168480800000004,0.0,0.0094599999999999927,0.10885,3.0296725048914596e-18,3.0296631419527374e-18,2.5022473062643082e-18,2.1419577000847454e-20,1.7651319459331221e-20,8.8256621282561625e-21,1.1679270041115467e-24,2.0627068126722681e-23,1.4142497550448168e-24,1.5218591990501134e-23,1.3831567124913507e-23,2.4885939410912804e-23,9.7105243845890374e-24,5.8114985799997584e-25,1.0386399091295298e-25,2.5375091544286063e-25,2.0058142651011495e-25,1.5452072655964294e-25,5.3765110820842784e-30,2.5153012698678299e-25,3.0494787547173449e-25,1.4762291682946253e-27,2.7733861391624715e-37,1.2266845992717965e-26,6.2258998441695099e-33,6.7271462810539718e-31,8.5281635159028849e-32,2.1289351092933673e-21,1.9254325042562094e-18,1.6262848536764104e-23,1.7906802944854832e-26,1.4377298613497212e-23,7.8842927638391724e-28,1.5293650603323261e-29,1.2341656103361602e-38,5.5865705984044247e-32,6.7648136871008274e-32,1.4512702815907035e-34,9.6457091910241129e-34,2.2045307089484769e-40,5.5525450884413849e-42,1.7495316424426077e-43,5.4524472599762658e-35,5.5576973644015427e-35,5.2836959361807331e-49,2.5145089947800603e-51,2.1447601333126291e-29,1.2375762988036603e-33,8.5765017284086323e-34,8.5592801250667654e-37,8.1226479167898681e-37
5.11e-13,0.0022412214669945657,1.3322966484677564e-21,7.5920752391847542e-28,1.0877091222815494e-26,4.2272471105356079e-27,4.0577141843290786e-32,0.0,0.0,9.8874259406620175e-20,1.2363837707793733e-28,4.4982136929670883e-41,3.4540149084630538e-41,3.6420154743591556e-39,1.9708381804316994e-60,1.9563872074073441e-40,1.1325056267997256e-36,3.8562849955541776e-18,1.0214060367086489e-26,3.8424177483647302e-71,3.6013826860306382e-64,4.9658231073487806e-41,1.3674285827852671e-40,1.3707532736341808e-38,3.024226720481245e-46,1.2132121170055573e-28,1.668990610857776e-48,2.6002289740232299e-40,2.9607281445138981e-23,1.1135150890147288e-25,9.515202853539251e-27,5.0114851504199776e-18,1.0878293814822418e-35,8.9636775817846092e-52,1.2867636224712188e-40,1.3414078957966251e-40,0.88168480800000004,0.0,0.0094599999999999858,0.10885,6.0677894902780535e-18,6.0677519594969234e-18,5.0114511069185693e-18,4.2896247384815195e-20,3.5349668749366396e-20,1.7674843988021681e-20,4.6812417432217908e-24,8.2682641547588626e-23,5.6685165983335867e-24,6.1003398518953121e-23,5.5443435515536082e-23,9.9754164516460265e-23,3.8924379538330957e-23,2.3293347675832599e-24,4.1638857826359765e-25,1.0171528293821974e-24,8.0402447453470919e-25,6.1939219319271262e-25,4.3123005959621187e-29,1.0081302785229172e-24,1.2224014327806304e-24,5.9262598502053109e-27,2.1544072211722377e-36,4.9190167925394334e-26,4.9956396499718002e-32,5.3968735288259831e-30,6.8488103150632768e-31,4.2637992531316174e-21,3.8561883959094305e-18,6.5188458409793205e-23,7.1778723663808184e-26,5.7627214337176043e-23,6.322558858514856e-27,6.1553349249893567e-29,9.5730309769352918e-38,4.4800477847215629e-31,5.4248942112479432e-31,1.1678139245391509e-33,7.7418386824914839e-33,3.4752224316558387e-39,8.6716224792454359e-41,5.4674355926637458e-42,4.4002834020107838e-34,4.50255487961783e-34,3.3022692671767053e-47,1.5774366631118535e-49,8.5995515705434748e-29,9.9274809568318093e-33,6.8782457819927166e-33,6.8842441908831953e-36,6.534330417515175e-36
