Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228)
0.0,0.0023890065466098264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0023890065466098264,5.0999489296899292e-30,1.083180973121704e-38,7.9984174998704266e-38,1.0535983050404935e-38,5.8319418706691804e-46,0.0,0.0,5.0976112494232023e-26,1.5644469049772426e-38,2.2153807134895373e-58,8.0291804666468606e-59,3.8958181572062337e-55,-1.7139382168755156e-90,7.372582770190271e-57,9.3854561613708216e-52,7.2892738414669436e-26,7.6679921747216067e-38,-1.6613158119777797e-102,6.7019490692276535e-89,1.9395279932659171e-58,6.5182685673207006e-59,4.6979080135829366e-53,-1.3996550872012832e-67,1.4464577568397525e-40,8.3591923636062191e-76,4.2569573864223163e-57,4.5385608307724817e-34,9.2118850119623091e-37,9.4299861723953953e-38,1.336441255687691e-25,1.7468863572599803e-51,2.7953556360715697e-80,1.3839174400135558e-64,-1.0068719926460149e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3974737495900524e-25,1.3974737301348862e-25,1.3364412494024035e-25,2.2046481189287584e-26,1.8642760064568307e-26,9.3213800266299182e-27,6.5561823276590748e-33,5.9416554754266395e-33,7.7670323055875991e-33,4.2850590640956685e-33,4.918096438374288e-33,6.2540519160865353e-33,2.4633890123485287e-33,3.2772242797715689e-33,2.0302889723190819e-35,8.5857363918654508e-36,7.2042364493262155e-36,3.7901022177805557e-36,6.8025669903707766e-42,4.0796676236203283e-35,1.5880268079572813e-35,6.311666480990529e-36,1.7840739200225668e-49,3.1885567356910751e-36,4.9868169921103635e-45,1.100425425601946e-42,2.2390998786229861e-42,9.7057305519390633e-28,7.2892737105238111e-26,3.2675550991097292e-33,4.3456112404345838e-35,4.8908877302098626e-34,1.6915899356552727e-40,2.4802325828821963e-39,1.720967670530285e-49,3.543660166789907e-43,4.1981326357207428e-43
3.0000000000000002e-15,0.0023890065466098264,1.675697534435798e-29,3.8772978660032108e-38,5.2561035020290403e-37,6.9236460565877875e-38,5.498688467679436e-45,0.0,0.0,1.6749294254435528e-25,1.0280651129663906e-37,2.0889560499803419e-57,7.5703710657545453e-58,3.6731997702944514e-54,1.0136721530844194e-88,4.8448395256984366e-56,6.1675855408043479e-51,2.3950470386793447e-25,5.0389662124697955e-37,1.0025897870623528e-100,8.2338205092560697e-88,1.8286978050472971e-57,6.1457941411589403e-58,3.0871863429874398e-52,8.2779615334268337e-66,9.5052936843806212e-40,1.265820488992256e-74,4.0137023289046089e-56,2.9824827798297056e-33,6.0535243477936464e-36,6.1968479486658328e-37,4.3911639506596067e-25,1.6470641277038123e-50,4.2330079150371163e-79,1.7002413121922098e-63,3.3736188225967044e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.5916993203641143e-25,4.5916991925158839e-25,4.3911639093562947e-25,7.2438412664928291e-26,6.1254761522564748e-26,3.0627380724126387e-26,4.3083477217986032e-32,3.9045163790290789e-32,5.1040490102937003e-32,2.815895923033113e-32,3.2318918891084775e-32,4.1098054638006363e-32,1.6187984700352486e-32,2.153604191936861e-32,1.3341897236448006e-34,5.6420551371200132e-35,4.7342123551943196e-35,2.490638499078138e-35,6.4138482915792266e-41,2.6809239285480322e-34,1.0435604495437898e-34,4.1476671361691997e-35,1.6820134786955942e-48,2.0953371614232589e-35,4.7018558704776834e-44,1.0375439294341042e-41,2.1111515215469407e-41,3.189025616073724e-27,2.3950469526310038e-25,2.1472504453181627e-32,2.8556873331243511e-34,3.214011380506161e-33,1.5949274593490511e-39,1.629872336727012e-38,1.6226278858474587e-48,3.3411649407072463e-42,3.9582389149694687e-42
7e-15,0.0023890065466098264,3.7156773279663029e-29,1.0645514955192546e-37,2.8565800185785344e-36,3.7628513017368933e-37,8.8812212011731024e-44,0.0,0.0,3.7139740393739606e-25,5.5873105373575517e-37,3.3764719347406698e-56,1.2227309648150268e-56,5.9327711172456235e-53,1.9557650662500199e-87,2.6330629069291995e-55,3.3519488455636338e-50,5.3107559580434241e-25,2.7385683328237854e-36,1.0028772175186304e-98,4.1647638574269929e-86,2.9536237763051654e-56,9.9263600479197824e-57,1.6777793277466194e-51,1.5971519788783931e-64,5.1659199633170596e-39,2.0905127788374529e-72,6.4827322202687158e-55,1.6209143709899789e-32,3.2899585711977118e-35,3.3678517659097625e-36,9.7369276329687183e-25,2.6602558711004335e-49,6.9908016462601796e-77,8.6000508709942891e-62,1.3684738878709568e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0181593227718583e-24,1.0181592532891399e-24,9.7369274084942508e-25,1.6062414207423035e-25,1.3582563690171829e-25,6.7912818248926116e-26,2.3414909754615337e-31,2.1220195015471756e-31,2.7739368838161861e-31,1.5303781010167578e-31,1.7564627847807688e-31,2.2335896393215391e-31,8.7978169304584325e-32,1.1704358769147373e-31,7.2510250080200164e-34,3.0663335847549174e-34,2.5729409009591594e-34,1.3536075221170735e-34,1.0359328124439878e-39,1.4570220711849659e-33,5.6715233244599584e-34,2.2541690137390145e-34,2.715029581459142e-47,1.1387697648612818e-34,7.5942074026817117e-43,1.6757900089632732e-40,3.409832649500458e-40,7.0713167907493644e-27,5.3107554903895022e-25,1.1669837665671187e-31,1.5520037963773881e-33,1.746743347459866e-32,2.5760466264080155e-38,8.8581861121936473e-38,2.6208080252142338e-47,5.3964822953610495e-41,6.3931492550085198e-41
1.5e-14,0.0023890065466098264,7.7956374792372277e-29,3.0381386908701902e-37,1.2637524908590164e-35,1.6646855511298826e-36,8.2597113783400706e-43,0.0,0.0,7.7920635578266305e-25,2.4718262852023924e-36,3.1438178460269132e-55,1.1371646865738738e-55,5.5175839870335324e-52,3.5070455977824918e-86,1.1648655214959645e-54,1.4829023053302951e-49,1.1142172225659776e-24,1.2115424386973341e-35,5.086386861319123e-97,8.0098917410879203e-85,2.7469251560135376e-55,9.2316592440775981e-56,7.422208200455428e-51,2.8640203709524325e-63,2.2854026115870652e-38,8.2015689522483027e-71,6.0290550369667763e-54,7.1709238304339599e-32,1.4554774415251877e-34,1.4899373418979691e-35,2.0428451585554978e-24,2.4740845874877839e-48,2.7426506254244032e-75,1.6540151425578498e-60,1.3609872844070431e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.1361378265322828e-24,2.1361375191408484e-24,2.0428450592480339e-24,3.3699510364549546e-25,2.8496696796917527e-25,1.4248348309124086e-25,1.0358738793433436e-30,9.3878122930686625e-31,1.2271876228374603e-30,6.7703918515410358e-31,7.7705899015956065e-31,9.8813984577016041e-31,3.8921535916326591e-31,5.1779996187994817e-31,3.2078489815599498e-33,1.3565454422260513e-33,1.1382686162662191e-33,5.988357048236813e-34,9.6343568756312503e-39,6.4458523924304387e-33,2.5090812883084836e-33,9.9724590901846278e-34,2.5225850233191956e-46,5.0379142681638094e-34,7.0627521097859564e-42,1.5585152141497776e-39,3.1712128191646901e-39,1.4835896477301123e-26,1.1142170156759657e-24,5.1627349258281013e-31,6.8660634060833663e-33,7.7275781060252348e-32,2.3957674968495896e-37,3.9189969658122496e-37,2.437427099483722e-46,5.0188220176853748e-40,5.9457395230969035e-40
3.1e-14,0.0023890065466098264,1.5955560038608086e-28,9.4650885503055192e-37,5.26755191243805e-35,6.938699465985736e-36,6.9711980514466299e-42,0.0,0.0,1.5948243757098649e-24,1.030300190525414e-35,2.6594049321932758e-54,9.5976839123669989e-55,4.6568245841561773e-51,6.0007056507283517e-85,4.8553494218909946e-54,6.1809953473107091e-49,2.2804998476448647e-24,5.0499176442763553e-35,2.5680487872397163e-95,1.3618485586541088e-83,2.3183997833157482e-54,7.7914361415599962e-55,3.0934711084373082e-50,4.9005752128060928e-62,9.5259517301389511e-38,2.799832057841345e-69,5.0885001949912396e-53,2.9889644414023182e-31,6.0666807680994716e-34,6.2103152160780631e-35,4.1811485842608332e-24,2.0881179548699977e-47,9.3627752096253328e-74,2.8121986156552817e-59,1.6972262901437779e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.3720937232118112e-24,4.3720924419518499e-24,4.1811481703304134e-24,6.8973503781000899e-25,5.8324795135022374e-25,2.9162397195151572e-25,4.3176880748944504e-30,3.9130015201673725e-30,5.1151143105521158e-30,2.8220161500677615e-30,3.2389155791760983e-30,4.1187367004244454e-30,1.6223166803741407e-30,2.1582730416188249e-30,1.3370834916349385e-32,5.6543125331807832e-33,4.7444976232052335e-33,2.4960490322549831e-33,8.1313606995570687e-38,2.6867323804780289e-32,1.0458281246127583e-32,4.1567065944768536e-33,2.1250178225568182e-45,2.0998875404032258e-33,5.9609459842443421e-41,1.3153827754696176e-38,2.676505930246551e-38,3.0365045199209342e-26,2.2804989852920593e-24,2.1519165169004353e-30,2.8618932897648951e-32,3.220976920472899e-31,2.0220169427921639e-36,1.6336163095081915e-36,2.0572284164048753e-45,4.2358648102945134e-39,5.0181792579548522e-39
6.300000000000001e-14,0.0023890065466098264,3.2275414184580605e-28,3.2238093013517045e-36,2.1465658307765045e-34,2.8275585555264446e-35,5.7055693978221821e-41,0.0,0.0,3.2260608805103548e-24,4.1985298339944576e-35,2.1864186036646051e-53,7.8552329448976318e-54,3.8113445623396741e-50,9.9144710185116478e-84,1.9785712410874775e-53,2.5187900216677342e-48,4.6130625840278173e-24,2.0578675573245787e-34,1.3812620489566612e-93,2.2342154285307693e-82,1.8974826226428406e-53,6.3767517955434978e-54,1.2604162240176463e-49,8.0971902010027095e-61,3.8818744742808954e-37,9.197727232335422e-68,4.1646391033613776e-52,1.2180183280793422e-30,2.4722037886524523e-33,2.5307352812099834e-34,8.4577499764308011e-24,1.7090016369039376e-46,3.0757522087251782e-72,4.6137163089009118e-58,2.3208816947032468e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.8440010732099963e-24,8.8439958520134512e-24,8.4577482896445662e-24,1.3952069503176753e-24,1.1798032031731378e-24,5.8990158641291864e-25,1.7594698733836285e-29,1.5945680287029981e-29,2.0844232299899429e-29,1.1499863111685655e-29,1.3198746984820234e-29,1.6784061477494754e-29,6.6110243599140001e-30,8.7950221332605716e-30,5.4486580903225309e-32,2.3041594771358287e-32,1.9334056113765273e-32,1.0171517772247201e-32,6.6550405110792727e-37,1.0948492500889612e-31,4.2618021526925113e-32,1.693890648080614e-32,1.7326517202098806e-44,8.5571346240585149e-33,4.878699975753106e-40,1.0765664450079205e-37,2.1905860817777337e-37,6.1423300038267195e-26,4.6130590698988968e-24,8.7691681865208307e-30,1.1662361167222208e-31,1.3125559951639453e-30,1.6548990962835061e-35,6.6579709185005236e-36,1.6838007597996927e-44,3.4668030327950508e-38,4.107080721339258e-38
1.2700000000000001e-13,0.0023890065466098264,6.4915158584767061e-28,1.1746054387188152e-35,8.6624427524896778e-34,1.1410483851353356e-34,4.6128655662644423e-40,0.0,0.0,6.4885357498909769e-24,1.6942970851648529e-34,1.7835753777719127e-52,6.3508664585279864e-53,3.0813678523976847e-49,1.6110264158793587e-82,7.9843486614304729e-53,1.0164463263716235e-47,9.278178001716138e-24,8.3044153813096018e-34,7.9366578770124022e-92,3.6156704418959344e-81,1.5340709036658996e-52,5.1552790957907762e-53,5.0848172127538856e-49,1.3158535527194725e-59,1.5665097565791679e-36,2.9784410781747175e-66,3.3669851014656249e-51,4.9152472304732735e-30,9.9764472658437484e-33,1.0212645678221851e-33,1.701093092386364e-23,1.3816754747874063e-45,9.9599296131531877e-71,7.4667567808869696e-57,3.384906234177953e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.778779799979814e-23,1.7787776929969242e-23,1.7010924116940396e-23,2.8061189527732125e-24,2.3728868476724514e-24,1.1864433626053061e-24,7.100163905704033e-29,6.4347920600856035e-29,8.4114801460453263e-29,4.6407098542471981e-29,5.3262831226658366e-29,6.773116093368331e-29,2.6678438036665768e-29,3.5491424905927254e-29,2.1987558717606865e-31,9.2982962375101035e-32,7.8021420270105255e-32,4.1046530764515909e-32,5.3803970489046492e-36,4.418140834599738e-31,1.719826409980766e-31,6.8356962948614091e-32,1.3903246048856797e-43,3.4531736257622283e-32,3.9443062362933814e-39,8.7037595322091173e-37,1.7710597584199617e-36,1.2353963929752888e-25,9.2781638206623498e-24,3.5387489618837028e-29,4.706282380102781e-31,5.2966794701698707e-30,1.3379307786816352e-34,2.6875146548859255e-35,1.3614312657536171e-43,2.8027992337541969e-37,3.320443099999511e-37
2.55e-13,0.0023890065466098264,1.3019479181265137e-27,4.4661139694214478e-35,3.479964013259467e-33,4.5838564946604485e-34,3.7091206728411619e-39,0.0,0.0,1.3013492927733222e-23,6.8063809032722665e-34,1.4596896921702778e-51,5.106664787958125e-52,2.4775975971337718e-48,2.5969752772488403e-81,3.2074296783865115e-52,4.0833016326356646e-47,1.8608368616956065e-23,3.3360641830810584e-33,4.7804326920207745e-90,5.8162067762691736e-80,1.2334945589685307e-51,4.1449002024837037e-52,2.0414571205989441e-48,2.1215482046596855e-58,6.2930094335187324e-36,9.5849790893231425e-65,2.7072314955782661e-50,1.974560753709043e-29,4.0077557373697893e-32,4.1026399093821162e-33,3.4117205471546549e-23,1.1109377999391637e-44,3.2051718240454656e-69,1.2012064373964363e-55,5.1470286915840088e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.5675320759623779e-23,3.567523611780455e-23,3.4117178126761721e-23,5.6278156732499946e-24,4.758946704966529e-24,2.3794731065176338e-24,2.8522231541817755e-28,2.5849937266839383e-28,3.3789947058309575e-28,1.8642749047647732e-28,2.1396827359547994e-28,2.7209056450564861e-28,1.0717308401520836e-28,1.4257339180655665e-28,8.8327100013780447e-31,3.7353139735365084e-31,3.1342789946655641e-31,1.6489211619414457e-31,4.3261156530941178e-35,1.7748108067402622e-30,6.9089065521245631e-31,2.7461204302273635e-31,1.1014157775948732e-42,1.3872047374624453e-31,3.1714670655677682e-38,6.9983478839859853e-36,1.4240838108713657e-35,2.4777163614207988e-25,1.8608311648797861e-23,1.421590497312074e-28,1.8906146428355296e-30,2.1277345467530018e-29,1.0757576714098196e-33,1.0802160984136924e-34,1.0948693441074958e-42,2.2535862796684601e-36,2.6697967825303014e-36
5.11e-13,0.0023890065466098264,2.6075463593483298e-27,1.7397383773292849e-34,1.394991766376783e-32,1.8374395466212105e-33,2.9747906323578497e-38,0.0,0.0,2.6063437039441157e-23,2.7283354375879018e-33,1.2116800836390115e-50,4.095728630563995e-51,1.9869655297524901e-47,4.169634218245607e-80,1.2856435830284413e-51,1.6367924041097496e-46,3.7268588968277983e-23,1.3372518472980745e-32,2.9622219927212003e-88,9.3289993376558443e-79,9.8924978000463343e-51,3.3237089919913256e-51,8.1733232977922401e-48,3.4075591707842096e-57,2.5225343127064433e-35,3.0755752985007906e-63,2.1710953982161221e-49,7.9149633870896684e-29,1.6064974972335702e-31,1.6445300530052597e-32,6.8329405181746275e-23,8.909272632580732e-44,1.0284242268524087e-67,1.9270019594437437e-54,8.0176756484541003e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.1450081908130283e-23,7.1449742625917089e-23,6.8329295571799673e-23,1.1270700022901302e-23,9.5306367317850143e-24,4.7653173800445611e-24,1.1432518120946694e-27,1.0361856851701755e-27,1.3543965208605201e-27,7.4728999895806453e-28,8.5768495921088926e-28,1.0906654307533224e-27,4.2960025331931861e-28,5.7147431680207562e-28,3.540430182769351e-30,1.4972789651748697e-30,1.256357959416935e-30,6.6095958435060911e-31,3.4693717663893124e-34,7.1138585685486926e-30,2.7694075424802448e-30,1.1008327832288782e-30,8.5796653130696663e-42,5.5604892100315594e-31,2.5434573550213449e-37,5.6125203448523173e-35,1.1421557363644839e-34,4.9623290314684258e-25,3.7268360614779184e-23,5.698389979881172e-28,7.5784646771644189e-30,8.528508652791145e-29,8.6270274723486385e-33,4.3346894511244472e-34,8.7837612606611979e-42,1.8072727670077148e-35,2.1410541241018863e-35
