Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259)
0.0,0.0018986235914028172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0018986235914028172,2.2100768443425377e-28,1.5356186973940511e-36,8.3283519886981685e-38,8.4937636761592421e-37,5.6474774757819672e-47,0.0,0.0,7.3209841332230275e-25,5.1575325873918003e-37,1.4523207048992123e-55,1.704320206384744e-56,8.3185686249752097e-61,-1.0419147895664377e-94,8.219340203957246e-63,1.520638719666478e-49,1.0152284553909613e-33,2.3792634204289051e-45,-4.4777100027966428e-105,2.4599368318785323e-98,6.4629511232447573e-63,8.962405114979746e-56,3.2538686103598283e-50,-3.6340584544804628e-77,7.9448105527924411e-48,1.4888179019532495e-74,2.4723683705389881e-54,1.8578717711848308e-32,2.4085043770533261e-44,5.1312989338299003e-36,4.0276166074109838e-24,2.9695565887266647e-58,1.1750223298494558e-76,1.0805993690364093e-61,-5.5479916952767872e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.406264391840901e-24,4.4062643069732666e-24,4.0276165769329617e-24,3.240790950672132e-25,2.7215998481244634e-25,1.3607999295591695e-25,1.2317820931124363e-31,2.2816569740847826e-31,1.4707716743951156e-31,1.6810154359872274e-31,1.8405838327767509e-31,2.5092256894476207e-31,4.5070013825319952e-41,6.1038029268098569e-32,7.2048075200434359e-34,5.454393948423725e-34,4.6009088663979338e-34,3.7532477263193838e-35,3.0958087996284943e-40
3.0000000000000002e-15,0.0018986235914028172,7.2616816070398359e-28,5.3192501527700343e-36,5.472917266786938e-37,5.5816163128691838e-36,5.3247646448188081e-46,0.0,0.0,2.4054662701655582e-24,3.3892357339566202e-36,1.3693270704985445e-54,1.6069324811245164e-55,1.0219954167204245e-59,5.8644930271419292e-93,7.7496625713596484e-62,9.9927734177491164e-49,6.6715009942707884e-33,2.2433054441392271e-44,8.2184818055778375e-103,3.7261214129700377e-97,7.9401952126389989e-62,8.4502643078381509e-55,2.1382466960499876e-49,1.0645209466115576e-73,7.4908211468204277e-47,2.2544955286977388e-73,2.3310899274355441e-53,1.2208871377337594e-31,2.2708754881289153e-43,3.3719963697995767e-35,1.3233596770548547e-23,3.6483119597887744e-57,1.7794681852787403e-75,1.3275934006374497e-60,1.8398950391169129e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.4477725306439761e-23,1.4477724748738183e-23,1.3233596570264414e-23,1.0648308291189554e-24,8.9423954507570643e-25,4.4711977615012899e-25,8.0945664083198537e-31,1.4993745454197574e-30,9.6650690417581852e-31,1.1046672680853813e-30,1.2095264926278321e-30,1.6489196968013768e-30,4.2494583196619459e-40,4.0110696932096507e-31,4.7345873018681697e-33,3.5843158821044067e-33,3.0234542789668152e-33,2.466419448742982e-34,2.9189052151654265e-39
7e-15,0.0018986235914028172,1.6101993170583165e-27,1.3555711240811803e-35,2.9744124267555406e-36,3.0334877731116279e-35,8.6003041488661892e-45,0.0,0.0,5.3338603440465362e-24,1.8419760614444424e-35,2.2116132543332923e-53,2.5954690530047724e-54,5.1693858760031224e-58,4.9827328012928398e-91,1.251686370616355e-60,5.4308716985760527e-48,3.6258147533393539e-32,3.6232772017738316e-43,3.4890648818273638e-100,6.155351572980408e-95,4.0162501063908725e-60,1.364840727849931e-53,1.1620558706888131e-48,9.9366426128622946e-72,1.2098807697298899e-45,3.7233168992549338e-71,3.7650597196220578e-52,6.6352552572020868e-31,3.6678069878437402e-42,1.8326064665616306e-34,2.9344058197188103e-23,1.845364541697205e-55,2.9386577859963359e-73,6.7151459930509351e-59,6.7950494361602537e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.2102778646237585e-23,3.2102775615251597e-23,2.9344057108687739e-23,2.3611435115212832e-24,1.9828763850294221e-24,9.9143821214660365e-25,4.3992151020213313e-30,8.148773375396017e-30,5.2527479774422159e-30,6.0036258055404682e-30,6.5735126254840339e-30,8.9615186067337437e-30,6.8635171677923532e-39,2.1799263463938164e-30,2.5731435150438774e-32,1.9479972628496957e-32,1.6431812526761984e-32,1.3404436349079042e-33,4.714470857406859e-38
1.5e-14,0.0018986235914028172,3.378262695335792e-27,3.5358784283337612e-35,1.3158806960219177e-35,1.3420154659783805e-34,7.9984478133729137e-44,0.0,0.0,1.1190649562405199e-23,8.1489029709308075e-35,2.056758012861141e-52,2.4138781366524077e-53,9.9420681389950647e-57,1.8542972273850734e-89,1.1640895412032881e-59,2.4026298231987265e-47,1.6040597087271801e-31,3.3697143388812009e-42,3.1272847436372222e-98,2.4159860761483705e-93,7.7242777828126076e-59,1.2693201991995899e-52,5.1406799948127695e-48,4.3987795372810468e-70,1.1252113151316826e-44,1.4607436112901064e-69,3.5015707666822813e-51,2.9354362451661234e-30,3.4111278575026688e-41,8.1074491255691433e-34,6.1564968315553139e-23,3.5491165049628552e-54,1.1528994735638485e-71,1.2914981775390159e-57,6.0820376814106466e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.7352874564760712e-23,6.7352861155684816e-23,6.1564963500030034e-23,4.9537594636176787e-24,4.1601421758553051e-24,2.0800711747787871e-24,1.9462085192271855e-29,3.6050163653419697e-29,2.3238106075256259e-29,2.656003577620731e-29,2.9081213083681006e-29,3.9645747405953784e-29,6.3831970004428996e-38,9.6439733241682396e-30,1.1383573993088029e-31,8.6179362224749452e-32,7.2694307702804809e-32,5.9301100176293284e-33,4.3845414994654336e-37
3.1e-14,0.0018986235914028172,6.9143937141493038e-27,1.002855595631805e-34,5.4848243775471997e-35,5.59375730543473e-34,6.7506830119905314e-43,0.0,0.0,2.2904232281506005e-23,3.3966049350466027e-34,1.7357615130833723e-51,2.037380907567203e-52,1.6903704986004682e-55,6.4194914125136006e-88,9.8248593506192514e-59,1.0014677445395331e-46,6.6859933143676302e-31,2.8440310800575586e-41,2.708177860310483e-96,8.2557258237916793e-92,1.3132934193660403e-57,1.0712921224486288e-51,2.1425167867621813e-47,1.5606402459806536e-68,9.4967570475889677e-44,4.9866489870477771e-68,2.9553111038247684e-50,1.2235402312003675e-29,2.8789839932947642e-40,3.3793240059195998e-33,1.2600673761266707e-22,6.0342878103168818e-53,3.9357314705212499e-70,2.195836827507662e-56,6.880529610579725e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.378530233575432e-22,1.3785296746623683e-22,1.2600671754075134e-22,1.0138953717258611e-23,8.5146422014150228e-24,4.2573214627150872e-24,8.1121004064808564e-29,1.5026326084981449e-28,9.6860044892156346e-29,1.107068008929522e-28,1.2121548941900651e-28,1.6525026874155479e-28,5.3874034288108881e-37,4.0197585265411351e-29,4.7448607330981578e-31,3.5921024348652392e-31,3.0300224224867691e-31,2.4717625165332318e-32,3.7005379091512313e-36
6.300000000000001e-14,0.0018986235914028172,1.3986672800677144e-26,3.1542183273259891e-34,2.2350999011810662e-34,2.2794895799973471e-33,5.5250751658589086e-42,0.0,0.0,4.6331414849214655e-23,1.38413550967784e-33,1.4203992606504365e-50,1.6676019940349462e-51,2.7732187385667386e-54,2.1282886528042416e-86,8.0410495253402974e-58,4.0811159217347512e-46,2.7245736508494854e-30,2.3276802498325086e-40,2.5021503279255463e-94,2.7174125770254809e-90,2.1545740466243177e-56,8.767743880873166e-51,8.7291847813148771e-47,5.2252283771238656e-67,7.7725635367998396e-43,1.6381620765329966e-66,2.4187461166169896e-49,4.9859882923403394e-29,2.3562872523264962e-39,1.3770916131890978e-32,2.5489007244875261e-22,9.8998686031146044e-52,1.2929227343745591e-68,3.6025040528114811e-55,8.6693075749617696e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.7885314876626286e-22,2.7885292100656247e-22,2.5488999065477382e-22,2.0509191624582493e-23,1.7223516030039446e-23,8.6117594901953704e-24,3.3056968477018945e-28,6.1233029114928984e-28,3.9470656357381953e-28,4.5113590056742062e-28,4.9395924495780232e-28,6.7340308492020378e-28,4.4092881200825754e-36,1.6380596183362992e-28,1.9335479352988186e-30,1.4637987955438619e-30,1.2347485239028665e-30,1.0072482797119151e-31,3.0286750852203861e-35
1.2700000000000001e-13,0.0018986235914028172,2.8131299168268703e-26,1.0868269161291501e-33,9.0196722737275826e-34,9.1987959786036761e-33,4.466916212273053e-41,0.0,0.0,9.3185848502445242e-23,5.58561698562422e-33,1.1479949487442546e-49,1.3484081517381301e-50,4.4880728263963554e-53,6.9249454635517394e-85,6.5009106394798079e-57,1.6469796323451387e-45,1.0994846624988414e-29,1.8818714574656713e-39,2.5464926712799144e-92,8.8341098632392888e-89,3.4868403601907279e-55,7.0882074234154975e-50,3.5212605100039347e-46,1.7080845775840563e-65,6.283922985704951e-42,5.3047436803539422e-65,1.9554788031197539e-48,2.0120679778540139e-28,1.9049995049469295e-38,5.5571769685037962e-32,5.1265592709092993e-22,1.6021662395414562e-50,4.1867638332850295e-67,5.8302158001216828e-54,1.1929168326828174e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.6085271087800192e-22,5.6085179176793578e-22,5.12655597016602e-22,4.1249065057393246e-23,3.4640758812293173e-23,1.7320385358946087e-23,1.3339754440039351e-27,2.4710242501500483e-27,1.5927921701683603e-27,1.8205346875990668e-27,1.9933451770548769e-27,2.7174799597918754e-27,3.5647994706604943e-35,6.6101997187295748e-28,7.8026708411544556e-30,5.9070701080635375e-30,4.9827518239432291e-30,4.0646346760828067e-31,2.4485952768081848e-34
2.55e-13,0.0018986235914028172,5.6420824673056418e-26,3.9941804036912865e-33,3.6234347094505587e-33,3.6953857757995456e-32,3.5917292466501912e-40,0.0,0.0,1.8689498987844049e-22,2.2438730425922991e-32,9.2247753716872122e-49,1.0845154855730555e-49,7.2199608885741698e-52,2.2336872403799704e-83,5.2270140879907771e-56,6.6168122797377345e-45,4.4168481455608517e-29,1.5131423167569514e-38,2.8275476047994577e-90,2.8651163837384788e-87,5.609146164312511e-54,5.698887767022161e-49,1.4134790153472075e-45,5.5226940565882777e-64,5.052665572596123e-41,1.70712239471398e-63,1.5722996692609423e-47,8.0829051990485409e-28,1.5317387115478535e-37,2.2324362235327087e-31,1.0281843762759167e-21,2.5774323647246268e-49,1.3473349089852401e-65,9.379255006780478e-53,1.7500347433043626e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1248490802921188e-21,1.1248453880442555e-21,1.0281830503031008e-21,8.2726402539617683e-23,6.9473224996692573e-23,3.4736636410479953e-23,5.3587007687279544e-27,9.926624200162462e-27,6.3983897092008888e-27,7.3134810918095212e-27,8.0076916018230672e-27,1.0916687867695982e-26,2.8663215696377045e-34,2.6553781923037589e-27,3.1344548608507579e-29,2.3729885972340019e-29,2.0016714065750207e-29,1.6328020369683889e-30,1.9688027505167946e-33
5.11e-13,0.0018986235914028172,1.1300096669274107e-25,1.5267166035603836e-32,1.4524725930592778e-32,1.4813085064536721e-31,2.8805822069422502e-39,0.0,0.0,3.7431436889481474e-22,8.9945756969711786e-32,7.3887881414547991e-48,8.7026059799840016e-49,1.158185063654542e-50,7.1738510163782072e-82,4.1917727909781366e-55,2.6527597839528331e-44,1.7704643903393946e-28,1.2135132824960311e-37,3.3388086283717413e-88,9.3358230320425999e-86,8.9974483793977947e-53,4.5696464595358164e-48,5.6571881772506839e-45,1.7762935154722017e-62,4.052145846640989e-40,5.4776723583459828e-62,1.2609122343040865e-46,3.2400021566310694e-27,1.2284272586972813e-36,8.9486365684823606e-31,2.0592282344132724e-21,4.1346608776402811e-48,4.3231539987341996e-64,1.5046274644099204e-51,2.6717835137885553e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2528307999904413e-21,2.2528159998566615e-21,2.0592229193491435e-21,1.6567144112194828e-22,1.3913008080392406e-22,6.9565136240596641e-23,2.1478848476674212e-26,3.9790451738710583e-26,2.5646138619579903e-26,2.9315861057205262e-26,3.2098529707558556e-26,4.3759073824598644e-26,2.298738873413213e-33,1.0643344871866409e-26,1.2563991411889565e-28,9.5119781958106799e-29,8.0235762721702202e-29,6.5446392017595873e-30,1.578911261664237e-32
