Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59)
1e-12,0.001403831209071487,2.0003323718137921e-31,7.9130961829413195e-39,7.8130767122547266e-39,1.7031762663609519e-37,1.4966138095468565e-45,0.0,0.0,1.8107410654610185e-25,1.0369103933730009e-35,1.2934424255183847e-56,5.1809005033294294e-59,3.964595130611294e-58,1.2499679354130824e-99,1.4989080733630374e-67,6.717571301583966e-55,1.0718256834028201e-34,2.7552356337531106e-44,2.1314333436833763e-98,2.8857850255960173e-88,4.642665476023991e-57,1.0551914282110103e-57,4.0804181113633916e-54,5.0641870568852975e-74,1.1770759792525233e-47,6.4857815239965861e-68,1.8473914536453031e-54,9.0186408711848863e-32,3.2374402651698028e-43,3.9382044704923461e-36,2.3641728900081918e-26,8.2822944977164598e-57,2.2471100417487269e-73,4.7745354375554797e-59,4.3587281681605078e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2009134364186564e-26,2.2008867864218868e-26,2.3641773590743636e-26,7.9148632423858595e-26,6.7904596793190503e-26,3.3952368133739077e-26,2.578045737279875e-29,1.1473011875519308e-30,3.0016556489445306e-29,8.1165469290082173e-31,1.1024488586101937e-30,1.0798220598790441e-30,4.7847739275083114e-39,1.2820473378896534e-29,1.5347743213866275e-33,4.333432367801098e-34,4.0206824307895537e-34,6.7415853206237424e-35,4.9543084590853137e-37,2.8793707342313212e-33,8.1962829232430196e-34
1.023e-12,0.001403831209071487,2.0463232576812754e-31,8.1878998628807303e-39,8.0855810684756991e-39,1.7625795847791813e-37,1.5578582320646398e-45,0.0,0.0,1.8523762250686469e-25,1.0730765403184275e-35,1.3463443079042182e-56,5.3935139594239096e-59,4.1389154609216933e-58,1.306840812792782e-99,1.5602450661218282e-67,6.953078468426111e-55,1.1092079300931262e-34,2.8679843148523344e-44,2.230031177887645e-98,3.0126668976692256e-88,4.8326552410761721e-57,1.0983692814098581e-57,4.2225379790521137e-54,5.2946133933645825e-74,1.2252438231769945e-47,6.7808842203528702e-68,1.9229894898888766e-54,9.3331974726302444e-32,3.3699215366657079e-43,4.0755631068904995e-36,2.4185319178347348e-26,8.6464609603204221e-57,2.3493532454132482e-73,4.98446924008738e-59,4.5502227325352964e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2515190176766662e-26,2.2514914381731467e-26,2.4185365427740912e-26,8.0968174300228354e-26,6.9465650056259353e-26,3.473289719734308e-26,2.6679596639361243e-29,1.1873173350698525e-30,3.1063437303528321e-29,8.3996404419671157e-31,1.1409006132176125e-30,1.1174846329711162e-30,4.9805745853235612e-39,1.3267610309115483e-29,1.5883020720149927e-33,4.4845737080802934e-34,4.1609157934459883e-34,6.9767100926959559e-35,5.1570454703180907e-37,2.9797967967562766e-33,8.482155663971208e-34
2.047e-12,0.001403831209071487,4.0934446518376265e-31,3.2559690067783202e-38,3.2355143810744345e-38,7.0530892161976065e-37,1.2469014186803552e-44,0.0,0.0,3.7060473593846374e-25,4.29456166070275e-35,1.0699233377048561e-55,4.4802739063684313e-58,6.6239070468057447e-57,4.177087340544394e-98,1.2484512521670238e-66,2.8649156795548791e-54,4.437990114215605e-34,2.2952296147901523e-43,1.420717921005296e-96,4.8171293612171249e-87,3.8687532194452936e-56,8.7839369385212195e-57,1.6762660096693882e-53,1.695627579814574e-72,9.8055442141777492e-47,2.1707739539112401e-66,1.5389018595125632e-53,3.7350757427203534e-31,2.6969267819903327e-42,1.6310098242739058e-35,4.8385051131446183e-26,1.3837843627147088e-55,7.5202423731915487e-72,7.9782141561486887e-58,7.2518843280518719e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.5044408518923873e-26,4.5043304842124124e-26,4.8385236210417416e-26,1.6193073719268538e-25,1.3892642747279142e-25,6.9463502375198744e-26,1.067392689711702e-28,4.7515627993887688e-30,1.2427810606281244e-28,3.3615137883379861e-30,4.5657987820297146e-30,4.4720946927242756e-30,3.985922162178522e-38,5.3080920479402214e-29,6.3542920578175283e-33,1.7945377982125594e-33,1.6650308482846143e-33,2.7912303338226213e-34,4.126801844516024e-36,1.1923511270587982e-32,3.3944087282656709e-33
4.095e-12,0.001403831209071487,8.1857970195176225e-31,1.2982906449409768e-37,1.2942120221348201e-37,2.8212304330125107e-36,9.9758684692435387e-44,0.0,0.0,7.4133953055932958e-25,1.7182763214857217e-34,8.439919685383092e-55,3.8415394918820143e-57,1.059304878681977e-55,1.3316209622667424e-96,9.9825033435995929e-66,1.2105579423254184e-53,1.7747249012088995e-33,1.8358414719062758e-42,9.0710502357328178e-95,7.6898222919416865e-86,3.0963609907813713e-55,7.0158791096647079e-56,6.6001259729205155e-53,5.4258989507895945e-71,7.8429666225570411e-46,6.9450927341497333e-65,1.2308049375844142e-52,1.4942911023192721e-30,2.1571393116179541e-41,6.5251780549347621e-35,9.6777105732673515e-26,2.2129923539332427e-54,2.4055023452088719e-70,1.2762348485784017e-56,1.1612256546502108e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.0097779648044689e-26,9.0093364444458489e-26,9.6777846116676887e-26,3.2366965396269267e-25,2.7768805175729477e-25,1.3884517922116289e-25,4.2678795534783476e-28,1.900963086010394e-29,4.9691585951993796e-28,1.3448727020928941e-29,1.8266382897944743e-29,1.7891540395338254e-29,3.1881434012708687e-37,2.1224033445977205e-28,2.5405825677049202e-32,7.1781650153119741e-33,6.6601948667789539e-33,1.116050061089545e-33,3.3002683144123392e-35,4.7691073700466614e-32,1.3579314192174684e-32
8.191e-12,0.001403831209071487,1.6362947222496819e-30,5.1829183256403329e-37,5.1748643871649971e-37,1.1280446300523857e-35,7.9780846253618603e-43,0.0,0.0,1.4828113901376167e-24,6.8740170516395427e-34,6.5666428132888734e-54,3.470411961334417e-56,1.6923928342157928e-54,4.2260556910487724e-95,7.9741863279498304e-65,5.334357828232327e-53,7.092350022313723e-33,1.4674533400420828e-41,5.7976832291246964e-93,1.2241870990536784e-84,2.4781242172482896e-54,5.5921987290303917e-55,2.55871429652072e-52,1.7348208570324183e-69,6.2691512141479767e-45,2.2204162298155443e-63,9.8368667336652494e-52,5.9769013547848087e-30,1.7242781219866535e-40,2.6099562647005893e-34,1.9353158678232547e-25,3.5356539142764113e-53,7.68746551277147e-69,2.0400792349940224e-55,1.8689404064524008e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.8018426423412947e-25,1.80166606390722e-25,1.9353454769919639e-25,6.464043630353541e-25,5.5457304972761946e-25,2.7729112674758688e-25,1.7051311107983972e-27,7.6035671571035552e-29,1.9853134437584982e-27,5.3795137256408928e-29,7.3062313242203968e-29,7.1563323405068701e-29,2.5483962965980388e-36,8.4796247019697209e-28,1.0149283108401585e-31,2.8701501272466013e-32,2.6630894265221599e-32,4.458917506906796e-33,2.637130646385329e-34,1.9066559004947584e-31,5.4309353085747161e-32
1e-11,0.001403831209071487,1.9967728486919035e-30,8.6083390270191841e-37,8.5986897593014763e-37,1.874361760977291e-35,2.0297983318309064e-42,0.0,0.0,1.8102847307223875e-24,1.1428304010577366e-33,1.611821256954167e-53,1.0151347562174464e-55,7.2792026548478984e-54,3.2658259118345125e-94,2.0255684454808483e-64,9.6634513356951553e-53,1.1778100455242925e-32,3.730919606301211e-41,8.6374683214142038e-92,5.2350898747347093e-84,6.3113947705808509e-54,1.4162553701712537e-54,4.1214574294640211e-52,1.3585094385620761e-68,1.5938935022404248e-44,1.7388103295203436e-62,2.5004760636369406e-51,9.9349517716141023e-30,4.38388251942251e-40,4.3383330500559673e-34,2.3623708657027001e-25,1.5207875878329774e-52,6.0155994857555468e-68,8.7824613182429878e-55,8.151061521764979e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.199531097560073e-25,2.1992376232941855e-25,2.3624200741582909e-25,7.8828688077980796e-25,6.7629823777680288e-25,3.3815674843101527e-25,2.8308870934631781e-27,1.2638922806011036e-28,3.2960553031379279e-27,8.9424178613993326e-29,1.2144596110286404e-28,1.1895485811283683e-28,6.4791576249196404e-36,1.4078120093908578e-27,1.684821550800534e-31,4.7690926570709639e-32,4.4251193448495099e-32,7.4027716723778074e-33,6.7016223734676895e-34,3.1676974085526627e-31,9.0264648001847495e-32
1.6383e-11,0.001403831209071487,3.2687086591289971e-30,2.0694828986610778e-36,2.0679550649487836e-36,4.5077184479279074e-35,6.3768361072362107e-42,0.0,0.0,2.965764185090873e-24,2.7497963302396115e-33,4.982062813292563e-53,3.3724820165912437e-55,2.6992086615652045e-53,1.3298040089636199e-93,6.3590567010772419e-64,2.493852256738959e-52,2.8311624509077687e-32,1.1717489632576502e-40,3.7068811102197238e-91,1.9387435047300774e-83,1.9836970194528736e-53,4.4402783547279216e-54,9.6355477653275279e-52,5.5398414414907283e-68,5.005846517613546e-44,7.0906813377221598e-62,7.8524200537397911e-51,2.3900809046695012e-29,1.3768213569081475e-39,1.0436856555265123e-33,3.869221087628902e-25,5.6392946523190241e-52,2.4528956191546374e-67,3.257274591601972e-54,3.0317329669382532e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.6027623909052711e-25,3.602056453347805e-25,3.8693394515561156e-25,1.2889149132634166e-24,1.1058017619989912e-24,5.5291919354175219e-25,6.8030819178685327e-27,3.04060179453015e-28,7.9209670159178576e-27,2.1514013825216971e-28,2.9216615142602222e-28,2.8617440816241329e-28,2.0348726203513766e-35,3.383223622809637e-27,4.0485189254091972e-31,1.1469452064405897e-31,1.0642386878671216e-31,1.7790069150653908e-32,2.1043054487324349e-33,7.617242983972012e-31,2.1713178313145959e-31
3.2767e-11,0.001403831209071487,6.5215176184233172e-30,8.2575259368700957e-36,8.2551313039591161e-36,1.7993534803107335e-34,5.0919008745360913e-41,0.0,0.0,5.931706033842121e-24,1.099962192542538e-32,3.6229779369292576e-52,3.5471215779795907e-54,4.2908152338163768e-52,4.1159947012107168e-92,5.0544467766852053e-63,1.2413165346487143e-51,1.1277635975353738e-31,9.3377359322224478e-40,2.3697603241645492e-89,3.0397198406019796e-82,1.5886766285152424e-52,3.4993645549499454e-53,3.4456079078842671e-51,1.7650288232194423e-66,3.9891609077171581e-43,2.259406960597131e-60,6.2540570458467114e-50,9.5539542038812949e-29,1.0971969783621974e-38,4.1719607018012009e-33,7.7322997148314752e-25,8.9653994843049468e-51,7.8031690949458188e-66,5.1891977297829877e-53,4.9875619987502803e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.2013650226593279e-25,7.1985445550235459e-25,7.7327725429169953e-25,2.5622085862617145e-24,2.1981869449448927e-24,1.0991659638356002e-24,2.7071149156415107e-26,1.2154619989291136e-27,3.1519663932640191e-26,8.6015306732023417e-28,1.1678858261635767e-27,1.1439548807652607e-27,1.6216017737933436e-34,1.3463064135392299e-26,1.6103602350107856e-30,4.5784667969054744e-31,4.2486088340650055e-31,7.0791184742296544e-32,1.6746758562545622e-32,3.0391172083971289e-30,8.6760121032025277e-31
6.5535e-11,0.001403831209071487,1.2979421127665541e-29,3.2885731284501526e-35,3.2886181735726868e-35,7.1673705574938102e-34,4.0580663689949405e-40,0.0,0.0,1.1863734412854321e-23,4.3999820942449993e-32,2.4893853679167856e-51,3.9511850892747834e-53,6.7767890738109307e-51,1.2344272981587413e-90,3.991649401047135e-62,6.408535234912619e-51,4.473728120741947e-31,7.412508293821955e-39,1.5138630325818188e-87,4.6757598584217407e-81,1.2735697692616173e-51,2.7181832028094974e-52,1.1330337593393039e-50,5.5987673297681285e-65,3.1666435899566977e-42,7.1688151893186599e-59,4.9588587523073187e-49,3.8163088562760089e-28,8.7098004411967116e-38,1.6664813265004022e-32,1.5439575945682796e-24,1.4162654058529535e-49,2.4677330126307294e-64,8.2311962831313139e-52,8.4160321310035521e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.438564604164534e-24,1.4374390918379686e-24,1.5441462158109505e-24,5.0627349377713387e-24,4.3433980297799767e-24,2.1719830268740595e-24,1.0716626645603762e-25,4.8553917407503502e-27,1.2477790440898405e-25,3.4371881314060704e-27,4.6650963470970992e-27,4.5696645938212841e-27,1.287264402293806e-33,5.3299045684703702e-26,6.3698118453466032e-30,1.8239332799278818e-30,1.6927607978366763e-30,2.8024101481205528e-31,1.3258344498027265e-31,1.2094015581247165e-29,3.4628967635393407e-30
9.999999999999999e-11,0.001403831209071487,1.9672894755464109e-29,8.4187492750634758e-35,8.4209822867467907e-35,1.8349949634071678e-33,1.8867802061973802e-39,0.0,0.0,1.8103275502713871e-23,1.1342089735891732e-31,1.0011112906163853e-50,2.5402352600300442e-52,5.8784393358318502e-50,1.8954126147936191e-89,1.8261773036062737e-61,2.017215598975817e-50,1.1378717548783296e-30,3.4226012185682809e-38,5.1487348318779796e-86,3.8744261404671031e-80,5.9830700885323917e-51,1.2092649905219321e-51,2.2806886657190565e-50,9.5251936912757965e-64,1.4621083823923998e-41,1.2201838188415059e-57,2.2847952674712204e-48,9.8149389989065228e-28,4.0216040383316441e-37,4.2859228612829069e-32,2.350647499832922e-24,1.2290888969916645e-48,4.1736593391947807e-63,7.198300085094551e-51,8.196464635332105e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.1914899171010125e-24,2.1885999578799188e-24,2.3511315619310075e-24,7.5993103069668877e-24,6.5194507105889395e-24,3.2604334451090817e-24,2.7166407549067599e-25,1.2488347928795855e-26,3.1631460055598484e-25,8.845435603742945e-27,1.19978794828457e-26,1.1753112733321687e-26,5.9437258313931268e-33,1.3512375627406026e-25,1.6126367307569111e-29,4.6707856773480007e-30,4.3358301640466383e-30,7.1040762184610471e-31,6.0926730907950785e-31,3.0914356954739301e-29,8.8950518410111749e-30
