Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173)
0.0,0.0027113218211508986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0027113218211508986,2.3679842199625703e-26,2.2742257506644518e-34,4.0197092218723308e-34,1.0649469859743657e-34,3.4897615472784559e-42,0.0,0.0,8.4197572034910567e-24,1.0517564099835247e-35,1.8749634609543531e-52,9.8538406956148067e-53,5.5713528757741211e-50,-1.0195994405486225e-79,1.0720253337905166e-49,1.1997915978773723e-45,1.2326300381884588e-22,3.894807395324359e-34,-6.5707685453797001e-92,1.1089478849510881e-79,2.7635931440222086e-52,2.6950254936653837e-52,3.4319715316490571e-47,-1.068045667846466e-60,2.4344779723417391e-36,9.085105321224228e-70,1.5327962138143236e-51,1.0844045063795126e-30,4.361471825768625e-33,3.9876293614091223e-34,1.8196570152520917e-22,2.1228608847246892e-46,1.9684042946143042e-73,5.0761301017158184e-59,-2.578991949771158e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.0928489353701697e-22,2.0928489043421175e-22,1.8196569952653188e-22,3.6380471159860778e-24,3.028891041934572e-24,1.5144455217419432e-24,9.7494456079776919e-31,7.3092424668923227e-30,1.1708383214480319e-30,5.2572218450688952e-30,5.1510926173309309e-30,8.3995378911296745e-30,3.0280057763619669e-30,4.8542394465483609e-31,3.8025954603187963e-32,3.8262759920644668e-32,3.0550826208903588e-32,2.0265479477686977e-32,1.123610391431258e-38,8.3606429055108112e-32,5.623096192248255e-32,1.2960486156099488e-33,4.4227968245329484e-46,4.9622215870079948e-33,1.2458665741962219e-41,1.5455318758280502e-39,4.2459473262837083e-40,2.6205008460784846e-25,1.2326299872226654e-22,5.067062113856773e-30,1.0764281121797344e-32,2.7595316183424901e-30,8.6065398848253146e-37
3.0000000000000002e-15,0.0027113218211508986,7.7805245957248749e-26,7.9628376592252553e-34,2.6415232259152418e-33,6.9982250122220232e-34,3.290346621672277e-41,0.0,0.0,2.7664918558104625e-23,6.9115423435080107e-35,1.7678448936847519e-51,9.2907669575755678e-52,5.252989607419253e-49,6.0302057331166602e-78,7.0447369579918158e-49,7.8843445160610806e-45,4.0500700318796603e-22,2.5594448341299259e-33,3.8883259639511913e-90,1.3624219048775074e-78,2.6056735753019437e-51,2.5410233192629675e-51,2.2552945543659324e-46,6.3167273644730057e-59,1.5997997884120996e-35,1.375744456544897e-68,1.4452077519557539e-50,7.1260866470615787e-30,2.8661100281356232e-32,2.620442117359182e-33,5.9788728694657648e-22,2.0015543311823314e-45,2.9839512767841499e-72,6.2363880557385608e-58,8.5809078270354719e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.8765034667525911e-22,6.8765032628539609e-22,5.9788727381241116e-22,1.1953579528325311e-23,9.9520673542241515e-24,4.9760336822027407e-24,6.4067775263120258e-30,4.803216385434205e-29,7.6940791511242989e-30,3.4547457593822032e-29,3.3850036747190856e-29,5.5196962222212495e-29,1.9898323460001502e-29,3.1899282588790892e-30,2.4988485117183076e-31,2.5144098869278431e-31,2.0076256829708561e-31,1.3317314856605392e-31,1.0594040876010953e-37,5.4941351140491394e-31,3.6951775028065778e-31,8.5169038229466969e-33,4.1698115927816501e-45,3.2608894948902398e-32,1.174674559762825e-40,1.4572160656759852e-38,4.0033259348383413e-39,8.6102167569372654e-25,4.0500696969616044e-22,3.329783577791838e-29,7.0736703334916737e-32,1.8134061925089549e-29,8.1147365501151504e-36
7e-15,0.0027113218211508986,1.7252499857701897e-25,2.0812233439332727e-33,1.4356105301033106e-32,3.8033900958193002e-33,5.3144086265997071e-40,0.0,0.0,6.1343962923949885e-23,3.7562737934898045e-34,2.8556406458636692e-50,1.5006037451676199e-50,8.4843704684367464e-48,1.1634618897763715e-76,3.8286580313183933e-48,4.2849684607013071e-44,8.9805894684152908e-22,1.3910025365162921e-32,3.7296742878812865e-88,6.8912985903978068e-77,4.2085582080705481e-50,4.1041270398966021e-50,1.2256778702044133e-45,1.2187492865921089e-57,8.6945632899895904e-35,2.2720533804748006e-66,2.334227908615001e-49,3.8728727917514186e-29,1.5576683917070569e-31,1.424153202910556e-32,1.3257499548122426e-21,3.2328102939853858e-44,4.9248434724382871e-70,3.1544499412859611e-56,3.2689802459254303e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.5247897845877735e-21,1.5247896737733288e-21,1.3257498834309261e-21,2.6505738510229983e-23,2.2067606942200225e-23,1.1033803498766911e-23,3.4819407144174932e-29,2.6104433595138558e-28,4.1815603461406376e-29,1.8775791303391409e-28,1.8396757501768007e-28,2.9998345276774001e-28,1.0814305474154049e-28,1.7336548224506702e-29,1.3580700780294459e-30,1.366526933107898e-30,1.0911007755719933e-30,7.2376703088060722e-31,1.7110981801908222e-36,2.9859371529279216e-30,2.00824866066572e-30,4.6287977706963117e-32,6.7311198412032656e-44,1.7722261709407966e-31,1.8972827430141053e-39,2.3536291339771956e-37,6.4660396861465092e-38,1.9092217778648339e-24,8.9805876482089453e-22,1.809664644787645e-28,3.8443856335889532e-31,9.855457844099441e-29,1.3106513406334232e-34
1.5e-14,0.0027113218211508986,3.6196548081523687e-25,5.6062874641752824e-33,6.351141582193194e-32,1.6826248764262337e-32,4.9425001610355448e-39,0.0,0.0,1.2870209124223646e-22,1.6617760999906232e-33,2.6562431345627993e-49,1.3955956440782235e-49,7.8906183836550774e-47,2.0863080129702059e-75,1.6937958445913128e-47,1.895669053198073e-43,1.8841626518386109e-21,6.153794554781744e-32,1.7703729175455521e-86,1.3253729657425582e-75,3.9140389468423253e-49,3.8168996449081446e-49,5.4222224451392646e-45,2.1854620609897207e-56,3.8464742281267732e-34,8.9137966468578252e-65,2.1708734412635172e-48,1.7133586393979345e-28,6.891124216448649e-31,6.3004528749944122e-32,2.7814749386723356e-21,3.0065695327670649e-43,1.932048179956427e-68,6.0668349546923323e-55,3.0369320191350335e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.1990683136314828e-21,3.1990678233885425e-21,2.7814746228815098e-21,5.5609981429121159e-23,4.6298623551707998e-23,2.3149311898251801e-23,1.5404079312856505e-28,1.1548599010368755e-27,1.8499190562789955e-28,8.3064094353351549e-28,8.1387243429590619e-28,1.3271265189379735e-27,4.7842481875682658e-28,7.6696754124222693e-29,6.0081037500507009e-30,6.0455138339974879e-30,4.8270288089810856e-30,3.2019447501414082e-30,1.591353502579061e-35,1.3209743018099773e-29,8.8844922058607757e-30,2.047813713562819e-31,6.2545921039563906e-43,7.8403551791084899e-31,1.76451635098092e-38,2.1889256696557615e-36,6.0136283073726152e-37,4.0056213808169711e-24,1.8841618465796671e-21,8.0059538667683519e-28,1.7007558976812713e-30,4.3600467650690503e-28,1.2189280565063042e-33
3.1e-14,0.0027113218211508986,7.408503532804014e-25,1.647718823677075e-32,2.647266552784294e-31,7.0135141222775641e-32,4.1714628736085854e-38,0.0,0.0,2.6341850622512751e-22,6.9265759413086883e-33,2.2426012165234799e-48,1.1778904338302091e-48,6.659660338719078e-46,3.5697856319447505e-74,7.0600150090816463e-47,7.9014696223782732e-43,3.8563693325928804e-21,2.5650078561699523e-31,8.4079348059415406e-85,2.2534184661563505e-74,3.3034439694311244e-48,3.2214314377564466e-48,2.2599337757965508e-44,3.7394903574791757e-55,1.6032767670014235e-33,3.0429717323668251e-63,1.8322098545314015e-47,7.1415739343739699e-28,2.8723395925265108e-30,2.6261374043082118e-31,5.6929234989082433e-21,2.5375320514256255e-42,6.5954754601194772e-67,1.0314990831384325e-53,3.5641067761884885e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.5476239845942231e-21,6.5476219411778365e-21,5.6929221826382343e-21,1.1381816708902458e-22,9.4760406506408366e-23,4.7380203763376619e-23,6.4206661546487719e-28,4.8136545842607728e-27,7.7107573651833127e-28,3.4622551314841593e-27,3.3923606352234924e-27,5.5316914686065007e-27,1.9941572469037722e-27,3.1968428393038842e-28,2.5042833481415169e-29,2.5198740413620761e-29,2.0119885713130836e-29,1.3346256728111024e-29,1.3430999401972492e-34,5.5060152189624559e-29,3.7032106916920129e-29,8.5359166430452443e-31,5.2698101656134292e-42,3.268017817348227e-30,1.4892618904459093e-37,1.8474603714323783e-35,5.0756419416570706e-36,8.1984181811592475e-24,3.8563659761366109e-21,3.3370184992631429e-27,7.0890433321300391e-30,1.817336838548747e-27,1.0287695317597571e-32
6.300000000000001e-14,0.0027113218211508986,1.4986357301178006e-24,5.3502341311425352e-32,1.0787758713192207e-30,2.8580787625648074e-31,3.4141157464499077e-37,0.0,0.0,5.3285196957565078e-22,2.8226210542298049e-32,1.8366488792389529e-47,9.6405526655894373e-48,5.4505539016686729e-45,5.8981378478480204e-73,2.8769780738545411e-46,3.2198851640722061e-42,7.8007797771441205e-21,1.045254170343173e-30,4.2835714728358323e-83,3.6969299659321053e-73,2.7036908153633457e-47,2.6365237653678295e-47,9.2081956748028643e-44,6.1786856988287391e-54,6.5334359915398404e-33,9.9964723878105611e-62,1.499557471651841e-46,2.9102282304667788e-27,1.1704934655237576e-29,1.0701646419482915e-30,1.1515814989448399e-20,2.0768187179881649e-41,2.1666496686464409e-65,1.6922871494728059e-52,4.6394469512862899e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3244729778025699e-20,1.324472145100362e-20,1.1515809625584618e-20,2.3023333771166545e-22,1.9168297137024689e-22,9.5841487764076965e-23,2.6164388087267863e-27,1.9615887518833656e-26,3.1421540036896769e-27,1.4108873202942709e-26,1.3824045777945369e-26,2.2541924453363328e-26,8.1262952581253881e-27,1.3027218487036814e-27,1.0205101860511621e-28,1.0268614652144921e-28,8.1989557766186466e-29,5.4386680609384481e-29,1.0992542099677154e-33,2.2437026524214041e-28,1.5090785260496692e-28,3.4786544453046385e-30,4.2983416446752543e-41,1.331752577959562e-29,1.2189006581846116e-36,1.5120628026871387e-34,4.1543796059212275e-35,1.65840021595823e-23,7.8007660994255172e-21,1.3598514669257477e-26,2.8888215733877704e-29,7.4056946728651086e-27,8.4198551367329616e-32
1.2700000000000001e-13,0.0027113218211508986,3.0142690110381145e-24,1.886881447736576e-31,4.3533513598658071e-30,1.1533911437217913e-30,2.760238583492858e-36,0.0,0.0,1.0717214298114182e-21,1.1390582196306327e-31,1.4868329079777222e-46,7.7944354051237391e-47,4.4066283536212121e-44,9.5842720807121856e-72,1.1609775040909137e-45,1.2993638911902982e-41,1.5689588998435601e-20,4.2180694043292636e-30,2.3657258514491626e-81,5.9828939116309619e-72,2.1858776652572675e-46,2.1315030517773696e-46,3.7149904732970836e-43,1.004065713637996e-52,2.6365336414960001e-32,3.2370982035886385e-60,1.2123487906373685e-45,1.1744071002463842e-26,4.7234661242207722e-29,4.3185931992035384e-30,2.3161575450845644e-20,1.6790412412682254e-40,7.0159851323095878e-64,2.7387715122385703e-51,6.5400752485365068e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.6638919170950478e-20,2.6638885567737821e-20,2.3161553805294798e-20,4.6305887628307841e-22,3.8552409700926191e-22,1.9276205689392379e-22,1.0558372168739539e-26,7.9158842508026593e-26,1.2679838555613715e-26,5.6935645629482177e-26,5.5786209517993652e-26,9.096670529368424e-26,3.279324433600793e-26,5.2569992651007239e-27,4.1182290037230527e-28,4.143843052347156e-28,3.3086437401914786e-28,2.1947451821636206e-28,8.8872299835965573e-33,9.0541251043606902e-28,6.0898145530270582e-28,1.4039734095916604e-29,3.4515747097186078e-40,5.3743654111989077e-29,9.8548822458198718e-36,1.222497239083968e-33,3.3591176283281992e-34,3.3355131627274281e-23,1.5689533802842851e-20,5.4876017765402918e-26,1.1657684242557905e-28,2.9884909561627718e-26,6.8071659839392353e-31
2.55e-13,0.0027113218211508986,6.0457856787987176e-24,7.0361847030116801e-31,1.7488427429678453e-29,4.6336528419308181e-30,2.2194222708535363e-35,0.0,0.0,2.1494704843878856e-21,4.5758803403729971e-31,1.1986392449407292e-45,6.2676778760746305e-46,3.543190887673924e-43,1.54506403641058e-70,4.6638047173182788e-45,5.2197975464881866e-41,3.1467160769920178e-20,1.6944914899954687e-29,1.3900426341247938e-79,9.6244267696106588e-71,1.7576000652925277e-45,1.7137641497765397e-45,1.4916475026923706e-42,1.618799724823585e-51,1.0591530379731664e-31,1.0417398210554953e-58,9.7479451178717684e-45,4.7178480825034288e-26,1.8975204888505487e-28,1.734873206347259e-29,4.645300629525649e-20,1.3500301489048222e-39,2.2577478640917539e-62,4.4059818294163697e-50,9.7425794927569127e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.3427209181349991e-20,5.3427074190287725e-20,4.6452919340670093e-20,9.2869074364874601e-22,7.7319033268130001e-22,3.8659520004053065e-22,4.2414249050629952e-26,3.179980277508074e-25,5.0936404541681396e-26,2.287231556182993e-25,2.2410537874689542e-25,3.6543274669486819e-25,1.3173767819984612e-25,2.1117981393098941e-26,1.6543935807118209e-27,1.6646702863681472e-27,1.3291530085252557e-27,8.8167647399688989e-28,7.1459428020427214e-32,3.6370638102762762e-27,2.4464174759190159e-27,5.641519106775788e-29,2.7381898117960118e-39,2.1591187167805181e-28,7.9245432530323574e-35,9.830159212454056e-33,2.701592216527666e-33,6.6897236605176977e-23,3.1466939038151031e-20,2.204483548033829e-25,4.6831435741198067e-28,1.2005113775659562e-25,5.4732632580841978e-30
5.11e-13,0.0027113218211508986,1.2109819413503555e-23,2.711847827232158e-30,7.010241492670186e-29,1.8575708652754305e-29,1.7799659250888473e-34,0.0,0.0,4.3050091296889515e-21,1.8342573778902232e-30,9.6631250231173571e-45,5.0273111415120067e-45,2.8415540157346011e-42,2.4809671295501491e-69,1.8693972795078546e-44,2.0923171814763126e-40,6.3022117629660531e-20,6.7923315358904383e-29,8.4937585082054892e-78,1.5438149242633176e-69,1.409592524935575e-44,1.3742519527614772e-44,5.9732639364576986e-42,2.5998895845618489e-50,4.2455861381797379e-31,3.342696357359787e-57,7.817523101939622e-44,1.891135566856303e-25,7.6061687103864533e-28,6.9541934655628136e-29,9.3035507673332512e-20,1.0826617397414258e-38,7.2440379279729675e-61,7.0682144066436787e-49,1.5005272190403575e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0700343410277003e-19,1.0700289299772085e-19,9.3035159120723053e-20,1.859877646617281e-21,1.5484587475901007e-21,7.7422950886614694e-22,1.7000807816276842e-25,1.2746840496289045e-24,2.04167003237604e-25,9.1683259599054432e-25,8.9832042766358532e-25,1.4648245103465092e-24,5.2806743665815947e-25,8.4646600302693447e-26,6.6316815699206145e-27,6.6727711266374298e-27,5.3278631939632962e-27,3.5341720780405716e-27,5.7310062546143327e-31,1.4577663689923821e-26,9.8064477354417645e-27,2.2625512783608496e-28,2.1387534194975766e-38,8.6557223472396034e-28,6.3563079868579274e-34,7.8844424597208301e-32,2.1676739648986678e-32,1.3398083072414044e-22,6.3021228831584942e-20,8.8365665492824284e-25,1.8772235061298768e-27,4.8119720176480992e-25,4.3892614165762398e-29
